Jak rozróżnić naukowca od PSEUDONAUKOWCA?
🔗 https://www.youtube.com/watch?v=8Q8tf_4apRA

1:  Mamy, jak powiedziałby Terry Pratchett, ciekawe czasy.
930:  Krótko mówiąc, czy osoby, na których patrzymy z rewerencją, że to są doktorzy, profesorowie, eksperci, czy oni traktują poważnie takiego człowieka?
939:  Czy traktują poważnie siebie nawzajem?
941:  Kto kogo recenzuje?
943:  Kto za kim stoi?
945:  Kto ma jakie plecy?
947:  W jakiej jednostce jest aktualnie zatrudniony?
949:  W nauce polskiej możecie zobaczyć zarówno zatrudnienia aktualne, jak i historyczne.
954:  Jeśli ktoś się powołuje na profesora bez przerwy i zaprasza go na przykład do TVP, to może się okazać, że on jest profesorem owszem, ale emeritusem, emerytowanym.
965:  Niekoniecznie może jego umysł jest tak bystry i świeży jak profesora, który dopiero zaczyna karierę naukową albo profesora, który jest emerytowany, ale wciąż aktywnie wykłada i jest zatrudniony w jednostce naukowej.
976:  Pamiętajmy, że uniwersytety niechętnie odsyłają na emerytury profesorów, bo najczęściej jest tak, że ci ludzie dysponują już taką wiedzą, dorobkiem i doświadczeniem, że po prostu szkoda pozbawiać studentów możliwości kontaktu z nimi.
988:  Mówcie, sprawdzam, jak ktoś przed wami maluje autorytet, ponieważ malowane autorytety, tak samo jak malowane ptaki, charakteryzują się tym, że są przez kogoś malowane, a zatem ktoś dbał o to, żeby ten wizerunek był dobry i przypudrowany ślicznie i nienaganny.
1006:  I im bardziej ktoś eksponuje to, wreszcie, że jest doktorem lub profesorem, na przykład zakłada sobie profil na LinkedInie, który zaczyna się od doktor albo profesor,
1016:  to patrzcie na to tak, jak każe nam na to patrzeć popkultura, która maluje przed nami profesorów Moriarty, doktorów Doomów, doktorów Oktopusów i innych przedstawicieli środowiska naukowego, którzy zbłądzili i zanadtoż panowali swoimi tytułami naukowymi.
1033:  I oczywiście potem doprowadziło to do sytuacji, w której konieczna jest interwencja jakiegoś superbohatera w Rajdusach i Pelerynie.
1041:  Wy takimi superbohaterami możecie być na co dzień.
1043:  Możecie sprawdzać ludzi.
1045:  Możecie orientować się, kto jest naukowcem, a kto tylko na niego pozuje.
1050:  Kto jest autorytetem, a kto jest malowanym autorytetem.
1053:  Czego Wam serdecznie życzę i mam nadzieję, że te narzędzia, które sobie dzisiaj szybko omówiliśmy i które wszystkie podlinkuję Wam w opisie do tego filmu, do czegoś się Wam przydadzą.
1062:  A tymczasem na razie i do następnego.
