Rywalizacja szkodzi. Wszystkim
🔗 https://www.youtube.com/watch?v=zbWs55x_ISI

0:  Wyobraźcie sobie następującą sytuację.
242:  Dlaczego czekam na kogoś, żeby ocenił, czy mój sukces jest faktycznie moim sukcesem, czy też jest sukcesem wedle...
250:  wytycznych innych ludzi, wedle innych rankingów, wedle jakichś zewnętrznych norm, które zostały ustalone, czy często też zadaję sobie pytanie, na ile jestem wartościowy czy wartościowa w zawodzie, który wykonuję.
264:  Gwarantuję Wam, że te wątpliwości, które mamy, to nie jest coś, co powstaje w nas naturalnie.
271:  To jest indukowane.
272:  Najpierw może być indukowane w domu, jak rodzic porównuje nas z naszym rodzeństwem, prawda?
278:  O, ten braciszek robi coś lepiej, to rób tak, ten braciszek.
284:  Albo jakiś kuzyn już w twoim wieku miał rodzinę, dzieci, dom i świetną pracę, a ty wciąż siedzisz przed Netflixem.
293:  A potem pójdziemy do szkoły i ta forma miękkiego nacisku zyska wymiar
301:  instytucjonalny, czyli nie będziemy już poddawani przemocy symbolicznej, tylko instytucjonalnej.
305:  Nagle to instytucja nam powie, proszę bardzo, tu są wyraźne wytyczne, ten jest lepszy od kogoś innego.
311:  Żeby Wam to zilustrować, sięgnę do najlepszego przykładu, jaki znam, znaczy moich własnych studiów, gdzie uczestniczyłem w rankingach, różnego autoramentu rankingach, a że spędziłem 10 lat na tej uczelni,
325:  to jest to dość dobra próba i jest to jedna trzecia mojego życia.
329:  I pamiętam pierwszy moment, kiedy wklikałem się w te rankingi i przeczytałem, że są one tworzone przez uczelnie i wydziały w celu ustalania kolejności studentów ubiegających się o rozmaite zasoby.
341:  Potem przeczytałem o szansie wygranej, przybliżonej szansy bycia wygranym.
347:  lepszym od dowolnej innej losowo wybranej osoby z rankingu.
351:  Osoby na tej pozycji mają równe szanse 50% wygranej ze sobą.
355:  To były rankingi, w oparciu o których otrzymywałem stypendia, z których się utrzymywałem.
360:  I ja do dzisiaj nie wiem, dlaczego dostawałem stypendia, ponieważ ja widzę tutaj tylko abstrakcyjne liczby.
366:  4,88, 54, 84, 99.
366:  Widzę też miejsce w rankingu, ex aequo, jak w peletonie.
375:  podczas wyścigu, moja pozycja pierwsza, moja pozycja jedna, druga, egzekwo, egzekwo, egzekwo, moja pozycja siódma, druga, trzynasta, dziewiąta, szansa wygranej 95%, 98,9%, 100% się raz zdarzyło.
386:  Co mi mówią te rankingi ponad to, że ktoś był ode mnie lepszy albo że ja byłem lepszy od kogoś innego?
400:  Te rankingi nie mówią Wam, jaka jest sytuacja materialna studentów, którzy w nich uczestniczyli.
406:  Te rankingi nie mówią Wam, czy ktoś dostał ocenę dostateczną raz dlatego, że miesiączkował albo dlatego, że babcia mu zmarła i przez to była ocena niższa, bo nie dało się opanować stresu i był przez to też spadek w rankingu.
421:  Te rankingi nie mówią Wam o tym.
424:  Jakie wyrzeczenia ludzie musieli poczynić, żeby się znaleźć na tej pierwszej, drugiej, dziewiętnastej, trzeciej, osiemdziesiątej, ósmej pozycji.
433:  Te rankingi wreszcie nie mówią wam tego, kim są ludzie, którzy w nich uczestniczą, a już na pewno nie mówią wam tego, kim się stali uczestniczywszy w tych wszystkich rankingach.
446:  Nie mówię wam o reperkusjach psychologicznych, które mają na przykład studenci ścigający się ze sobą po to, żeby dostać paręset złotych do czynszu.
455:  Te rankingi to są zimne zestawienia cyfr, które uświadamiają nam tylko jedno, że w naszym społeczeństwie liczy się wyłącznie rywalizacja, liczy się to, żeby być pierwszym.
466:  I teraz wytłumaczcie mi, jak w realiach tego rodzaju rywalizacji mamy zrozumieć jako ludzie,
472:  Narrację, którą sprzedają nam coachowie i trenerzy personalni, psychoterapeuci, psychologowie, psychiatrzy.
479:  Jesteś najwartościowszy.
481:  To ty, ty jesteś idealna.
484:  Jesteś unikatowym człowiekiem.
486:  Jesteś jedyna i wyjątkowa w swoim rodzaju.
490:  Co? !
492:  Skoro cały czas jesteśmy porównywani, zestawiani, skoro cały czas jesteśmy redukowani do liczby w rankingu, jak nagle ma nam się coś przestawić, kliknąć w umyśle, że jednak jesteśmy unikatowi, że jednak jesteśmy indywidualni?
507:  No oczywiście w ten sposób ustawione są także wszystkie konkursy, olimpiady, certyfikaty, zestawienia, rankingi szkół, rankingi uczelni, rankingi osób.
519:  No i naturalnie także wszelakiego alternamentu konkurencje sportowe, dlatego kompletnie mnie nie dziwi to, że jak naukowcy przeprowadzają badania nad tym, jak wpływała na nas rywalizacja, to od razu wyniki tych badań wskazują na albo
534:  Edukację, w tym zwłaszcza edukację wyższą, gdzie doprowadzono do tego, że rankingi i systemy rywalizacyjne w zasadzie teraz regulują przepływ naukowy, albo sportu.
545:  Co więcej, ten akurat artykuł adresuje problem nieuwzględniania wyników sportowców w zakresie ich najważniejszych możliwych wyników, to znaczy wyników badań lekarskich, po tym jak już osiągają sukcesy.
559:  Ponieważ wolimy się skupiać na tym, jak atleci, sportowcy i zawodnicy,
564:  Realizują zadania swe, to znaczy na przykład zwyciężanie w konkurencjach sportowych i uczestnictwo w nich in their prime, to znaczy wtedy, kiedy czują się najlepiej, wtedy, kiedy są zdrowi, kiedy są w stanie ze sobą rywalizować, a potem są już tym śmieciem, który można wyrzucić i ewentualnie śmiać się potem, że uczestniczy w reklamach po to, żeby zarobić na swoje życie, ponieważ ciało już mu na to nie pozwala.
588:  To robi z nami rywalizacja w skrajnym przypadku, to znaczy prowadzi do wycieńczenia fizycznego organizmu.
595:  Ale równocześnie, żeby odejść od przykładu sportowców, mamy do czynienia także z psychologicznymi skutkami tego rodzaju rywalizowania.
603:  Jest to wypalenie zawodowe?
606:  Jest to przekonanie o gasnącej naszej wartości na rynku pracy?
612:  Są to różnego rodzaju zjawiska na pograniczu agezmu, że ktoś ma 40, 50, 60 lat, czuje się bezwartościowy, bo porównuje się go z pracownikiem, który ma 20 lub 30 lat?
625:  Zamiast, żeby wykorzystać doświadczenie starszej osoby, która może czegoś nauczyć tych wszystkich, którzy jeszcze nie podążyli w jej ślady?
634:  To są reperkusje psychologiczne, o których nie mówimy bardzo prostego powodu.
638:  To znaczy wtedy, kiedy czujemy się silni i wtedy, kiedy nie mamy najmniejszego problemu, żeby zyskiwać te pierwsze pozycje w rankingach, bo bez najmniejszego problemu to mogłem robić na studiach doktoranckich i nawet się nie spociłem.
654:  To potem się okazuje, że już nie jest tak łatwo.
657:  No i prech chce, że jeżeli człowiek już jest na takiej pozycji, że zdaje sobie sprawę po nie w czasie, o Boże, co ja zrobiłem ze swoim życiem, to wtedy już jest za późno i zazwyczaj również człowiek jest w takiej pozycji, że nikt go nie słucha, bo zwykle wtedy zaczyna już z tymi, wiecie, sukcesami i osiągnięciami być różnie.
678:  Bardzo jestem ciekaw, czy cokolwiek co mówię na temat gier wideo rezonowałoby w środowisku akademickim, gdyby nie to, że dalej jestem w stanie zwyciężać w różnych rankingach i publikować publikacje w wysoko cenionych czasopismach i dynamicznie dbać o rozwój samego siebie, dokształcać się i wciąż jeszcze mam na to siły psychiczne i fizyczne, tylko że zadaję sobie pytanie, jak długo?
702:  I co wtedy, jak przestanę?
704:  Czy nagle moje tezy przestaną rezonować?
707:  Nagle przestaną ludzie się nimi przejmować?
710:  I odpowiedź na to pytanie tkwi w innych badaniach.
714:  Były przeprowadzone mianowicie badania dotyczące tego, jak...
718:  rywalizacja w realiach edukacyjnych wpływa na nasz stan psychosomatyczny, to znaczy na nasz stan umysłowy, psychiczny oraz równocześnie fizyczny i przede wszystkim, czy faktycznie wiąże się to z motywacją,
732:  Pozytywnie wpływa na motywację.
734:  Wiele osób uważa, że jeżeli się porównujemy ze sobą, to wtedy czujemy się zmotywowani do tego, żeby być lepszymi, bo widzimy tego, wiecie, pierwszego przed nami, nie zdając sobie sprawy z tego, że on też wpatruje się w plecy innego zawodnika, którego usiłuje naśladować i że ten ciąg nie ma końca.
752:  I jak przeczytamy sobie wyniki tych badań, to nagle się okazuje,
756:  że nie znaleziono żadnych korelacji tego rodzaju.
760:  Okazało się mianowicie, że tak pojęta motywacja, czy tak pojęta rywalizacja wpływa wyłącznie pozytywnie na postawy, które są zorientowane na naszym ego.
773:  na kształtowaniu naszego bardzo często fałszywego przekonania o doskonałości i o tym, że jesteśmy lepsi od kogoś innego, bo zwyciężyliśmy w jakimś śmiesznym konkursiku, mamy jakiś śmieszny złoty pucharek, mamy jakiś śmieszny medal,
789:  A nie, że zwyciężamy dla siebie, że zmieniliśmy coś w naszych umiejętnościach, że nauczyliśmy się jakiegoś mistrzostwa, że osiągnęliśmy coś, co chcieliśmy osiągnąć sami dla siebie, a nie dla naszych rodziców, nie dla naszych nauczycieli, nie dla szacunku ulicy i nie dla szpanów wśród kolegów, koleżanek i całego środowiska, które nas otacza.
813:  Nie dlatego, że nasi znajomi
816:  Wmówili nam, że to, że mają na przykład lepsze samochody, lepsze komputery, czy lepsze zarobki, lepszą pracę, lepszych partnerów, to w takim razie my też powinniśmy ich mieć, tylko uwzględnialiśmy wyłącznie nasze wewnętrzne przekonanie.
832:  I babacze wskazują, że głównym problemem jest tutaj jedno i drugie uczucie zwane schadenfreude oraz envy, czyli zazdrość.
841:  Schadenfreude to jest oczywiście ten moment, kiedy się cieszycie, że komuś pójdzie źle, a envy, zazdrość to to uczucie, które się pojawia wtedy, kiedy chcecie.
849:  Chcecie, żeby u was też było tak jak u tego drugiego, tylko jest jeden zasadniczy problem.
854:  Nie macie pełni danych.
856:  I w jednym i w drugim przypadku nie wiecie, co się kryje za sukcesem drugiego człowieka, który jest od was wyżej w rankingu i nie wiecie również, co kryje się za porażką człowieka, który jest za wami.
868:  Ale i w jednym i w drugim przypadku chętnie powiemy, że on jest lepszy od nas, albo my jesteśmy lepsi od tego gorszego.
874:  Nie mając żadnych danych.
876:  Z zazdrością jest bardzo podobnie, to znaczy zazdrościmy komuś jakiejś pozycji społecznej, która jest w danym etapie rozwoju rzeczywistości i społeczeństwa uznawana za...
886:  prestiżową, ale nie zdajemy sobie sprawy z tego, jakie wyrzeczenia mogły stać za tym, że ktoś taką pozycję osiągnął, z jakimi zmaga się problemami zdrowotnymi, czy życie zawodowe jest równie piękne jak życie rodzinne albo odwrotnie, czy życie zawodowe jest tak samo wspaniałe jak to życie rodzinne, któremu komuś zazdrościmy.
909:  To są realne problemy, których by nie było, gdyby nie indukowana w nas od maleńkości rywalizacja przez rodziców, przez nauczycieli, przez uniwersytety, jeżeli się zdecydujemy tam już udać, ale także przez media społecznościowe, w których nieustannie jesteśmy bombardowani informacjami, że komuś poszło coś lepiej.
931:  Co więcej, jeżeli komuś pójdzie coś lepiej, gwarantuję Wam, że będzie mieć więcej reakcji na poście, więcej reakcji na zdjęciu, więcej interakcji i więcej zasięgów, ponieważ tak ułożyliśmy naszą kulturę, że patrzymy na tych wszystkich, którzy są na świeczniku, równocześnie nie zdając sobie sprawy z tego, że te osoby na świeczniku mogą równocześnie mieć podpalaną żyć przez ten świecznik i wcale nie musi być im tam dobrze, ale skoro już się tam znalazły, to usiłują dalej grać tę rolę.
961:  Kategoria gry jest równie istotna.
964:  Mianowicie inne znowuż badania psychologiczne pokazały, że drugim problemem, jaki trapi nasze rywalizujące społeczeństwo jest nie tylko schadenfreude oraz zazdrość czy zawiść, ale także rzecz, z którą ja się bardzo często mierzę rozmawiając ze studentami i nie ukrywam, bardzo często kapitulując przed skalą tego problemu, a mianowicie tak zwany syndrom oszusta.
990:  Czym jest syndrom oszusta?
991:  W dużym skrócie z syndromem oszustwa związane jest przekonanie, że ktoś będzie zawsze lepszy od nas w związku z powyższym.
1001:  My się czujemy tak, jakbyśmy byli oszustem, jakbyśmy tylko udawali, że jesteśmy tym najlepszym sportowcem, albo tylko udawali, że jesteśmy tym najlepszym z matematyki, albo tylko udawali tym, że jesteśmy tym najlepszym inżynierem, albo tym najlepszym programistą, a nagle się pojawia
1019:  My Journey albo Dali tworzy grafiki lepsze od naszych i my spływamy potem, bo zdajemy sobie sprawę, że teraz ktoś jest lepszy od nas, jest to maszyna i co my mamy teraz zrobić w społeczeństwie, które jest...
1030:  cały czas ukierunkowane na rywalizację.
1033:  I jak czytamy w przepięknym fragmencie tegoż artykułu, czyli rzecz porównywalna, powiedzmy, ze studentami pierwszych lat albo z absolwentami, maturzystami, abiturientami liceów, czytamy tutaj mianowicie coś takiego, że
1058:  Współzawodnictwo ukierunkowane właśnie na edukację prowadzi bardzo często do uczucia zwątpienia w samego siebie i zwątpienia w swoją własną wartość.
1071:  Wątpliwości w zakresie tego, czy właśnie jesteśmy tym oszustem, fraudem.
1075:  Następnie prowadzi do tego, że tworzymy jakiś rodzaj roli społecznej.
1082:  Jak tutaj piszą, the charade that can currently fool others.
1088:  Jakaś rola, którą odgrywamy po to, żeby udawać przed innymi, że wszystko jest w porządku, a tak naprawdę wewnętrznie przeżera nas ten kwas, przeżera nas to poczucie, że jesteśmy nie na swoim miejscu.
1104:  Dlaczego w zasadzie to się dzieje?
1106:  No oczywiście dlatego, że równocześnie postrzegamy sukcesy innych jako coś, co warto byłoby zrealizować samemu, ale nie zdajemy sobie sprawy z tego, co za tymi sukcesami jak zawsze stoi.
1119:  To prowadzi do niepokoju, to prowadzi do zwątpienia, może to prowadzić do depresji, wreszcie prowadzi do wypalenia zawodowego i nagle z tego wolnego rynku, o który tak pieczołowicie zabiegamy,
1131:  Tracimy wartościowego pracownika.
1134:  Nagle z tej edukacji, w której pono liczy się motywowanie do tego, żeby być ambitnym, tracimy wartościowego ucznia.
1140:  Nagle z tej nauki, w której chodzi przecież o to, żebyśmy mieli jak najlepsze wynalazki w Polsce, żebyśmy byli w stanie faktycznie stać na barkach olbrzymów i później urosnąć do takich rozmiarów, żeby ktoś na naszych barkach także mógł spocząć,
1157:  Także się okazuje, że nie ma tej stabilności, że czujemy, że nigdy nie będziemy tym olbrzymim, zawsze będziemy tym karłem.
1165:  Zawsze będziemy tym kimś, kto jest tylko gorszym synem wybitniejszych władców.
1174:  Żeby zacytować przepiękne zdanie z filmowego Władcy Pierścieni.
1181:  I to, moi drodzy, jest główny problem, moim zdaniem, tych zjawisk wypalenia, zwątpienia w samego siebie, które ja widzę pośród bardzo często studentów, którzy potrafią przyjść do mnie i powiedzieć, że są beznadziejni albo że się nie nadają.
1198:  Albo że to, co zrobili, to jest okropne, to się do niczego nie nadaje.
1204:  I zobaczcie, jaki to jest paradoks.
1205:  Robimy to sami, mimo że równocześnie sytuacja rywalizacyjna doprowadziła do tego, że jesteśmy święcie przekonani o tym, że gdzieś tam będzie jakiś sędzia sprawiedliwy, który za dobre wynagradza, a za złe karze.
1218:  Sędzia, który nam wystawi ocenę, który jest kompetentniejszy od nas.
1223:  I to on oceni, czy my jesteśmy gorsi, czy lepsi.
1226:  Ale zaraz, zaraz, zaraz.
1227:  Skoro myślimy, że jest taki sędzia, który nas oceni, to dlaczego oceniamy sami siebie?
1234:  To jest właśnie, moi drodzy, syndrom oszusta.
1237:  Boimy się tej oceny.
1238:  W związku z powyższym będziemy grać rolę kogoś, kto umniejsza swoje osiągnięcia nieustannie.
1245:  bo boi się bycia porównywanym, więc myśli sobie całkiem taktycznie i sprytnie, to dobrze, to ja przejmę inicjatywę i pokażę się jako ten gorszy, skromniejszy może.
1255:  I dzięki temu zyskam parę punktów społecznych.
1257:  Tylko, że wiecie na czym polega problem?
1260:  Mianowicie problem polega na tym, że jak czytamy w poradniach psychologicznych i psychoterapeutycznych, na przykład tej Psychomedic Online,
1268:  swoją drogą mającej infolinię także na temat właśnie syndromu oszustwa.
1272:  Przejawami jego jest obawa przed zdemaskowaniem, że nic nie potrafimy, że nie zasługujemy na sukces, brak wiary w komplementy i pochwały otrzymywane z zewnątrz, poczucie bycia niegodnym sukcesu lub niegodną sukcesu, przekonanie, że osiągnięcia są wynikiem dobrego losu, szczęścia, niepracy i kompetencji i wreszcie poczucie bycia niewystarczającą, niedoświadczonym, niedoświadczoną.
1297:  Nagle się okazuje, że to właśnie przekonanie, że jestem gorszy, że źle mi coś wychodzi, że nie jestem tak dobra jak inni, jest indukowane z zewnątrz przez mechanizmy rywalizacji, które tak nas spalają, że w którymś momencie zaczynamy działać autoagresywnie.
1316:  Zwracamy się przeciwko sobie zamiast...
1319:  zwracać się przeciwko tym, z którymi konkurujemy, czyli rywalizacja przestaje działać, mniej więcej możemy powiedzieć, opierając się na te badania, po ukończeniu szkoły licealnej i na początku studiów, czyli w momencie wchodzenia w okres dorosłości,
1337:  ubezwłasnowolniamy ludzi i doprowadzamy do tego, że wytrącamy im z rąk najlepszą broń, jaką możemy mieć, to znaczy przeświadczenie o własnej wartości, o tym, że możemy coś dobrego dla społeczeństwa zrobić, niezależnie od tego, jak bardzo za prestiżowe nasze zajęcie uzna rodzic,
1359:  Pracodawca, kolega, koleżanka z pracy, znajomy.
1365:  To nie ma żadnego znaczenia, co myślą o tobie inni, ponieważ spoiler alert, wszyscy w którymś momencie umrą i nie masz nigdy gwarancji.
1376:  jak długo ludzie, którzy cię oceniają wokół, będą w ogóle w twoim życiu istotni.
1381:  Może, by nie być aż tak funebrycznym, po prostu wyjadą gdzieś, znikną z twojego życia.
1387:  I co ci wtedy z tego, że czerpałeś czy czerpałaś tak dużo walidacji i wartościowania od takiej osoby,
1395:  która w którymś momencie ona znika z twojego życia.
1398:  Po jaką cholerę się przejmować tym?
1401:  Jest 8 miliardów ludzi na planecie.
1404:  Wszystkim nie dogodzicie.
1406:  Nie ma szans.
1407:  Zawsze się znajdzie ktoś, kto będzie oceniał was jako gorszego, gorszą od innych.
1413:  I zawsze znajdzie się także ktoś, który będzie robił coś innego.
1417:  Dlatego też...
1419:  Po co ja mogę poradzić i to, co mnie uratowało lat temu parę dopiero, jak wyzwoliłem się z okowów myślenia w taki sposób, to dobierać sobie odpowiednio grono znajomych.
1430:  Wybierać wokół siebie ludzi, którzy ciągną was w górę, a nie w dół.
1436:  Którzy pokazują wam, co można osiągnąć, ale równocześnie nie zmuszają was do wyścigu nieustannego i do przekrzykiwania się, kto ma lepiej i kto jest lepszy.
1447:  Ludzi, którzy pomogą wam w tym wyścigu, podadzą pomocną dłoń, ale równocześnie potem puszczą samopas, żebyście mogli sami się sprawdzić.
1456:  Nie będą cały czas was podpierać, żeby było wszystko w porządku, ale równocześnie nie będą spychać nogą w dół.
1463:  To jest najgorsza rzecz, jaką może nas spotkać w życiu i może bym nie musiał tego wszystkiego mówić,
1470:  Gdyby nie fakt, że system, który nas ubezwłasnowalnia i który nas udupia już istnieje.
1477:  Więc szczerze powiedziawszy zdumiewają mnie mówcy motywacyjni różnego autorementu, którzy mówią nam, że jeszcze bardziej trzeba zapierdalać.
1485:  Jeszcze bardziej trzeba w tym wyścigu i jeszcze, jeszcze batogiem pogrzbiecie, dajesz więcej z siebie, jeszcze zażyj sterydy, to będziesz szybszy, albo jeszcze się postaraj, jeszcze te 8 godzin snu, eee, to dla lamusów, 4 godziny wystarczą, a pozostałe na naukę wykorzystaj.
1504:  Przeraża mnie to, bo nie muszą tego robić, ponieważ już istnieją instytucje takie, których niestety jedynym i wyłącznym sukcesem jest to, że umieją to doskonale robić.
1515:  Mamy konkursy, olimpiady, rankingi, oceny, procenty, wskaźniki wydajności, zestawienia, porównania.
1526:  I równocześnie nieinstytucjonalne elementy, jak chociażby rodzice, którzy nie wiedzą jak wychowywać swoje dziecko, tylko cały czas zestawiają je z innymi po to, żeby nie wiem w zasadzie co zrobić, poza wzbudzeniem w swojej progeniturze uczucia niższości względem kogoś, kto jest bardziej faworyzowany przez rodzica, to jest oczywiście najgorsza sytuacja w przypadku rodzeństwa.
1549:  No i wreszcie w gronie znajomych, gdzie to jest, no nie oszukujmy się, naturalne, ludzie lubią ze sobą rywalizować, ale czasem robią to przyjacielsko, tylko problem polega na tym, że taka przyjacielska rywalizacja w żadnym stopniu wam nie pomoże, jak rywalizujecie już na łonie zawodowym i na łonie rodzinnym, a wśród gronie znajomych chcecie po prostu odpocząć, zainspirować się kimś i dostajecie takiego gościa, gościa, który cały czas tu patrzy, że u niego jest lepiej, u niej jest lepiej.
1579:  O!
1579:  Okropność!
1580:  Więc jedyne, co można zrobić, to po prostu, no brutalnie mówiąc, pozbyć się takich ludzi ze swojego życia, wybrać sobie inne grono znajomych, takie, które będzie nas ciągnąć w górę.
1589:  Tutaj trochę mogę sobie podbać rękę z ludźmi, którzy mówią, że jeżeli chce się osiągać sukcesy, no to fajnie jest otaczać się ludźmi, którzy osiągają sukcesy.
1598:  Tylko, że właśnie kluczowa kwestia polega na tym,
1602:  żeby ci ludzie osiągający sukcesy nie mieli w sobie tego toksycznego genu rywalizacji.
1606:  Bo to jest najgorsza rzecz, którą możemy sobie sprzedać.
1609:  Z jednej strony, tak, zmieniamy otoczenie, wydaje nam się, że otaczają nas ambitni ludzie, poszliśmy na elitarny uniwersytet, ho ho ho, i wydaje nam się, że zmieni się nasze życie, a nagle się okazuje, że kończymy ten uniwersytet albo idziemy już do tej wymarzonej pracy i zostaje w nas taka pustka.
1626:  I dlatego wam powiedziałem, że prędzej czy później ludzie z naszego życia znikają, choć może to brzmieć brutalnie.
1631:  Bo tak, prędzej czy później zostaniecie w czterech kątach waszego gabinetu, sypialni, domu, pomieszczenia, stacji i równocześnie czterech ścianach waszej głowy sami ze swoimi myślami.
1651:  Bogowie niech wam dadzą, by te myśli nie były czarne.
1654:  Bo wtedy cała ta motywacja zewnętrzna, wszystkie te rankingi, wszystkie te puchary, medale i znajomi, i nauczyciele, i rodzice, i ludzie, którzy już umarli i z wałku was nie są, a których zdanie było tak cenne...
1669:  Na nic się wam nie zdadzą, ponieważ to, co w was zostanie, to wszystkie te przejawy syndromu impostora.
1677:  Obawa przed zdemaskowaniem, poczucie bycia niegodnym sukcesu, brak wiary w to, że jesteście dobrzy, przekonanie o tym, że cokolwiek macie w życiu, to nie przez waszą ciężką pracę, tylko dlatego, że wam poszczęściło i najgorsze i najsmutniejsze z tego wszystkiego, poczucie niewystarczalności, poczucie bycia gorszym.
1698:  I to jest najgorsza nomen omen rzecz, z jaką możemy zostać.
1702:  I wydaje mi się, że w momencie, w którym byśmy wyeliminowali toksyczne przyjawy rywalizacji z naszego społeczeństwa, byłoby lepiej.
1709:  Tak, dlatego właśnie między innymi nigdy na tym kanale nie było żadnej topki.
1715:  Dlatego między innymi na tym kanale nigdy nie było ogrywanych żadnych gier kompetytywnych, a jak były, to były stosownie wyśmiewane i dlatego między innymi na tym kanale zawsze wyśmiewam rankingi, nawet jeżeli uważacie, że to są niewinne.
1730:  Bo na tym polega problem i to kiedyś pięknie Michel Foucault powiedział, że władza to nie jest tylko coś, co się manifestuje jakoś wyraźnie, że ktoś jest premierem, nam coś nakazuje, albo jest jakaś instytucja władzy, sąd i nam coś nakazuje.
1744:  Czasem jest też coś takiego jak mikrofizyka władzy, taka malutka niby gra, która ma nas oswoić z jakimś mechanizmem.
1752:  Albo taka mała sytuacja społeczna, której roli nie doceniamy.
1757:  To jest ta mikrofizyka.
1758:  Tak może się przekraść do naszego życia rywalizacja i akceptacja dla wszelkich jej przejawów.
1764:  No i co najważniejsze, przekonanie, że jest to recepta na wszystko.
1768:  Kiedyś, jak pięknie powiedział Stephen Fry odnośnie do wolności słowa...
1774:  Wolność słowa nie jest celem samym w sobie, jest środkiem do osiągnięcia o wiele lepszych i doskonalszych celów.
1780:  Wolności, pokoju, dobrobytu, dialogu.
1784:  Tak samo jest z rywalizacją.
1786:  Ona nie jest celem samym w sobie.
1788:  Jak jest celem samym w sobie, prowadzi, macie to udowodnione w badaniach już na tym etapie i w wypowiedziach psychoterapeutów, do bardzo złych myśli.
1798:  Ale jeżeli zostanie użyta do osiągnięcia krótkotrwałego celu i zmyślnie wykorzystana i pozostanie środkiem tylko, to wszystko jest w porządku.
1808:  Więc jedyne co powinniśmy zrobić odnośnie do rywalizacji, to pamiętać o tym, że ona jest po prostu środkiem i równocześnie walczyć z wszystkimi instytucjami, osobami,
