MARNA propaganda to wciąż PROPAGANDA (Wiadomości TVP 24.10.2020)
🔗 https://www.youtube.com/watch?v=xTP8CzwEdkY

1:  Dziś na poważnie dwie myśli, które podsuwam wam do zastanowienia się nad nimi.
191:  Choć bardzo bym oczywiście chciał tego uniknąć.
194:  Jak sami za chwilę zobaczycie, ciężko to zrobić, jeżeli przynajmniej stara się człowiek myśleć.
204:  Ponad 120 osób może zostać ukaranych przez sąd po wczorajszym proteście na ulicach Warszawy.
210:  Najbardziej agresywni za czynną napaść na funkcjonariuszy.
213:  To była już druga niespokojna noc.
219:  Jaki jest news?
221:  Informacja, która by była neutralna brzmiałaby, wczoraj na ulicach Warszawy ludzie wyszli, żeby protestować przeciwko wytrukowi Trybunału Konstytucyjnego, z którym się nie zgadzają.
233:  To jest informacja.
235:  To, co zostało tutaj przedstawione, jest interpretacją.
238:  Interpretacją faktu, który nie został jeszcze podany ludziom do wiadomości w programie pod tytułem Wiadomości.
244:  Co więcej, mamy jeszcze headline, nagłówek na pasku, słynnym pasku, zresztą już informacyjnym, który doczekał się miliardów memów.
254:  Zero tolerancji dla agresji.
256:  Znów jest to interpretacja.
258:  Co więcej, to już jest wartościowanie interpretacji, która została podana, bo interpretacją było to,
265:  że jest agresja na ulicach, ponieważ ludzie wyszli interpretować, protestować w obrębie takiej, nie innej sytuacji w kraju.
275:  Natomiast zero tolerancji dla agresji jest odpowiedzią na to, czyli spekulacją.
279:  To znaczy, jak my powinniśmy jako widzowie traktować te interpretacje informacji.
288:  Krótko mówiąc, nawet nie wiemy, co się stało, a już dostaliśmy wnioski.
294:  Tak wygląda propaganda.
295:  Bo jaka jest najkrótsza definicja propagandy?
297:  Samosprawdzająca się przepowiednia.
299:  Druga krótka definicja propagandy, pomylenie następstwa z przyczynowością.
306:  Czyli tak zwane post hoc ergo propter hoc.
308:  Jeżeli coś po czymś następuje, to nie oznacza, że automatycznie z tego wynika.
314:  I to jest taki bardzo podstawowy mechanizm propagandowy, który się sprawdza i który jest niesłychanie skuteczny, bo w tej chwili mamy już ustawioną narrację.
322:  A ile ona trwa?
324:  Trwa dokładnie 11 sekund.
327:  Po wyroku Trybunału Konstytucyjnego w sprawie aborcji eugenicznej.
331:  To jest kłamstwo.
334:  Wyrok Trybunału Konstytucyjnego nosi tytuł Planowanie rodziny, ochrona płodu ludzkiego i warunki dopuszczalności przerywania ciąży.
340:  Nie ma słowa na temat aborcji eugenicznej.
344:  Eugenika, jak wiadomo, jest techniką takiego aniejennego planowania przyrostu populacji ludzkiej i manipulowania pulą genetyczną, żeby była ona dobra, stąd grecki prefiks eu, tak samo jak eutanazja z kolei to jest dobra śmierć.
362:  Więc mówienie o tym jako o abarcji eugenicznej od razu ustanawia nam po raz kolejny interpretację i mówi, co mamy myśleć o czymś.
368:  Mimo, że, przypominam, wiadomości TVP nie są konstruowane z myślą o tworzeniu przekazu dla lekarzy, albo studentów medycyny, albo doktorów medycyny, czy profesorów medycyny, tylko mają trafić do przeciętnego człowieka, który ma zrozumieć, co się dzieje na ulicach.
384:  Więc on już rozumie teraz dwie rzeczy.
386:  Po pierwsze, aborcja eugeniczna, czyli coś bardzo złego, ponieważ przeciętnie eugenika kojarzy się z nadzizmem.
391:  A po drugie, jest jakaś agresja na ulicach, czyli niedobrze się dzieje.
395:  To w zasadzie dlaczego się tak dzieje, skoro ludzie powinni też protestować przeciwko eugenicy?
401:  Nie, no chyba nie chcemy obozów koncentracyjnych znowu.
404:  Jesteśmy na 13 sekundzie materiału.
407:  14, przepraszam.
409:  a do wychodzenia na ulicę, mimo rosnącej liczby zachorowań na COVID-19, namawiają niektórzy politycy.
415:  I to jest piękne, to znaczy już wiadomo, że nie dość, że ludzie protestują przeciwko zakazowi eugeniki, czyli protestują przeciwko zakazowi nazizmu, czyli protestują przeciwko zakazowi obozów koncentracyjnych, to jeszcze do tego wszystkiego dowiadujemy się, że robią to w trakcie pandemii.
434:  Teraz, aby...
437:  Kto ogłosił ten wyrok w trakcie pandemii?
442:  Ludzie to ogłosili, feministki to ogłosiły, kampania przeciw homofobii, o której już zapomnieliśmy, bo była wrogiem zeszłego miesiąca, teraz już nie jest wrogiem.
453:  Teraz mamy innego wroga.
455:  No nie, nie, to Trybunał Konstytucyjny wtedy ogłosił w osobie magister Julii Przyłębskiej, swoją drogą członkini PZPR-u, jak wielu wybitnych polskich postaci na scenie politycznej, zwłaszcza na prawicy.
469:  Bardzo dużo ludzi ma życiorysy PZPR-owskie.
472:  No nic dziwnego, że zrobiła karierę, biorąc pod uwagę jej tytulaturę, no bo wiadomo, PZPR to była taka polinka, dzięki czemu się można było wybić.
483:  Kończąc te złośliwości, jeżeli się ogłasza w takim, a nie innym czasie tego rodzaju komunikat, o którym się wie, dobrze się wie, że wzbudzi protesty społeczne, robi się to celowo.
495:  To jest tak, jakbym jakiś, nie wiem, zdajmy na to Piotruś, robił mi coś takiego przez cały dzień.
500:  Trick, trick, trick.
503:  W którymś momencie, po dwudziestym, trzydziestym razie, może jak ktoś jest święty po pięćdziesiątym, zapuści fangę w nos Piotrusiowi.
514:  I wtedy Piotruś powie, ojej, przemoc, przemoc, nie wiem, dlaczego on nie używa przemocy, aaaaaa!
523:  To jest mniej więcej reakcja polskiego państwa na poziomie Piotrusia w piaskownicy.
530:  Czyli jesteśmy już w piaskownicy.
532:  To nawet nie jest propaganda.
533:  Ja w zasadzie nie powinienem się zajmować analizą retoryki tego przekazu, ponieważ jestem przekwalifikowany do tego.
539:  Jest to w stanie zrobić Adaś z pierwszej C, który dobrze wie, że jeżeli kopnie Piotrusia w żyć sześć razy, to Piotruś się mu odwinie w którymś momencie.
552:  Ale...
554:  Najwyraźniej jesteśmy w takim cudownym państwie, a nie innym.
561:  Kontynuujemy.
563:  Marcin Tulicki.
564:  Marcin Tulicki będzie nam sprzedawał koniec.
567:  Agresja, która rosła z minuty na minutę, to już druga z rzędu bardzo niespokojna noc na ulicach Warszawy.
575:  To jest prawda.
576:  Niewątpliwie rosła agresja.
578:  Tylko zauważmy, że cały czas nie wiemy z jakiego powodu.
580:  To jest ciekawe.
581:  W wiadomościach nie rozpoczęto od informacji, od wiadomości.
586:  Cały czas to będę podkreślał.
587:  Mamy tylko i wyłącznie interpretacje, konsekwencji i skutków społecznych wiadomości, której treści jeszcze nie znamy.
595:  Wiemy na razie, że jest tłum, który jest wściekły, który wrzeszczy i teraz jest policja, która nam wyjaśni, że tłum jest wściekły i wrzeszczy.
603:  Agresja, bardzo dużo emocji ze strony części tłumu.
607:  W kierunku policjantów lecą kamienie, leci farba, leci pirotechnika.
613:  Tu zniszczony policyjny radiowóz.
615:  Tu pomnik amerykańskiego prezydenta Ronalda Reagana.
620:  To jest ciekawe, bo dostajemy dwie takie przebitki z tego, co się stało i to jest oczywiste.
625:  Wandalizm należy potępiać.
628:  Też, szczerze powiedziawszy, trudno mi doceniać.
631:  Ja się dziwię aktywistom, że wybierają tego rodzaju mocne środki, bo nie trzeba tego robić wcale, ponieważ to jest dokładnie tak, jakbyśmy chcieli, żeby ktoś nas nie rozstrzelał, a równocześnie dalibyśmy mu takie pudełko nabojów do browninga.
646:  No być może tych nabojów nie należałoby dawać, bo najprawiej zostaną one wystrzelone w naszym kierunku i materiał TVP właśnie pokazuje, że tak jest scenariusz, takie są konsekwencje i tak to wygląda.
659:  Anglosasi mają takie ładne powiedzenie taste of your own medicine.
663:  Niestety takie są konsekwencje wyboru
668:  ostrej formy konfrontacji, ale równocześnie musimy pamiętać o trykaniu Piotrusia w głowę albo kopaniu go w żyć, tak?
675:  Piotruś w którymś momencie może nie wytrzymać i to Piotruś nie będzie winien, ponieważ został sprowokowany.
684:  Ciekawostka, to jest kolejny element.
687:  Jakiego zgromadzenia?
698:  Wiadomości, tak?
700:  Jakiego zgromadzenia?
701:  Gdzie to zgromadzenie?
702:  O której to zgromadzenie?
703:  Ile tam było osób?
705:  Czy to było 120 osób ze 100 tysięcy, czy 120 osób z 10 tysięcy, czy 120 osób z 1000, czy 120 osób ze 120 osób?
713:  Bo w ten sposób możemy wyliczyć procent niebezpiecznych zachowań.
719:  No pamiętajmy, że były też takie jak Marsz Niepodległości, który pozostawiał za sobą zgliszcza i jakieś 20-30% uczestników Marszu Niepodległości wszczynało burdę.
729:  I wtedy znaliśmy liczbę maksymalną, całościową wszystkich uczestników marszu i liczbę
737:  Wandali zatrzymanych.
739:  Można było wyliczyć procent.
741:  Tutaj tego nie wiem.
743:  Najpewniej 100.
745:  100%.
745:  120 osób się zgromadziło.
747:  No i teraz oczywiście przechodzimy do tego, żeby wskazać winnych.
753:  Ta kobieta stojąca na dachu samochodu to Marta Lempart.
757:  Lewicowa aktywistka, która robi co może, aby emocje ludzi rozgrzać do czerwoności.
764:  Cele.
765:  A byście nie wiedzieli, jak rozgrzać emocje ludzi do czerwoności, to już wiecie, że trzeba uzić wulgalizmu!
773:  Wulgalizm!
775:  I ludzie się wtedy oszaleją!
778:  To jest jak Joker w filmie Nolana.
782:  Zwariują!
783:  Wystarczy uzić wulgalizmu!
787:  Gdzie ja żyję?
792:  No skanduję.
795:  Babka skanduje, jest wściekła, jest aktywistką.
797:  Co ma innego robić?
799:  Aktywisci robią takie rzeczy, tak jak lobbyści lobbują.
806:  Być może jej winą jest to, że nie jest lobbystką spółki srebrnej, tylko jest aktywistką lewicową.
813:  Ale aktywiści prawicowi robią dokładnie to samo.
815:  Taka jest rola aktywistów.
817:  Jest totalny chaos.
818:  Blokujemy ronda, blokujemy ulicę.
820:  W środę nie idziemy do roboty.
824:  To nie jest totalny chaos, tylko to jest plan demonstracji.
827:  Demonstracja nie służy temu, żeby wywołać totalny chaos.
829:  Demonstracja służy temu, żeby demonstrować, jak sama nazwa wskazuje, i żeby za pośrednictwem wywoływanego szumu i chaosu, niewątpliwie również w pewnym sensie, tak, tak,
841:  zwrócić uwagę na jakiś problem.
844:  Tak więc w dalszym ciągu nie wiemy, przypominam, jest w tym momencie 23 sekunda materiału, my w dalszym ciągu nie wiemy, kto protestuje, przeciwko czemu protestuje, dalej nie wiadomo przeciwko czemu protestuje, bo mamy tylko interpretację, nie dostaliśmy faktu.
860:  Nie wiemy, gdzie jest demonstracja, nie wiemy, ile jest w niej osób, wiemy tylko, że jest jakaś babka w czerwonej kurtce, która skanduje wulgalizm, który to wulgalizm, podjudza ludzi, po prostu to jest tak, jakby, nie wiem, wyszedł w Braveheartzie wódz i powiedział wszystkim, że no, to teraz bądźcie bzitcy dla swoich wrogów i oni wszyscy...
884:  runeli, żeby siec i na odlew mieczami.
888:  Tak wygląda podżeganie do demonstracji.
894:  Głównym miejscem protestów jest prywatny dom prezesa Prawa i Sprawiedliwości Jarosława Kaczyńskiego.
899:  Duży ten dom jest prywatny tak swoją drogą, jak tak patrzę tych ludzi, to w niezłej chawirze mieszka prezes, jeżeli oni się tam wszyscy miesz... A przepraszam, to był tylko błąd językowy codziennikarza.
909:  Codziennikarz, nawiasem mówiąc, genialny termin Terry'ego Pratchetta.
917:  Mimo, że protesty to wynik wyroku Trybunału Konstytucyjnego.
921:  No wreszcie!
923:  Wreszcie wiemy, czego wynikiem są protesty.
926:  Może trzeba było od tego zacząć, codziennikarzu.
932:  Bo to jest twój obowiązek, tak?
934:  Znaczy masz podać informacje, to nie jest felieton.
937:  To nie jest publicystyka.
940:  na blogu polityki, gdzie sobie możesz pisać takie rzeczy, tylko to jest wiadomość informacyjna, ma być syntetyczna.
946:  Czyli zaczęliśmy od interpretacji, potem zaczęliśmy od wartościowania interpretacji, potem od etycznych konsekwencji interpretacji, potem oczywiście naturalnie wcześniej było selekcjonowanie wydarzeń, które będą podpierać tę tezę, czyli cały czas mamy sprawozdającą się przepowiednię.
961:  Zobaczymy, czego się dowiemy na temat wyroku Trybunału.
964:  Warto zaznaczyć, że orzeczenie nie dotyczy ani przypadków, w których kobieta zachodzi w ciąży w efekcie gwałtu, ani tych, w których przez uszkodzony płód zagrożone jest życie kobiety.
976:  Ale kłopot polega na tym, że właśnie dotyczy także tych przypadków z tego względu, że po pierwsze zgłaszalność gwałtów w Polsce jest na poziomie błędu statystycznego i to są rzeczy, które się powinno przede wszystkim zaadresować zanim zaczniemy załatwiać sprawę od innej strony niż powinniśmy, czyli mówiąc wprost od dupy strony.
995:  A po drugie kwestia jeszcze bardziej poważna to jest to, że właśnie niestety wszyscy lekarze mówią, że
1003:  ograniczenia tak zwanego kompromisu aborcyjnego grożą takim, a nie innym konsekwencją dla badań prenatalnych.
1010:  Tak więc informacja, gdybyśmy nie mieli wcześniej interpretacji tego rodzaju faktów, a nie samych faktów, gdyby wreszcie
1021:  zamiast batorzenia jakiejś nic nieznaczącej aktywistki lewicowej, na przykład poproszono kogoś o komentarz w tej sprawie, to dowiedzielibyśmy się czegoś więcej.
1029:  Myślę, że te 20 sekund, które były materiału, to był bardzo dobry moment na to, żeby zapytać paru lekarzy, co myślą na dany temat.
1039:  Ale nie, no przecież oczywiste jest to, że jaki lekarz, no przecież trzeba zaprosić publicystę, wybitnego publicystę magazynu sieci, no naturalnie, że tak.
1053:  Oczywiście rzetelne dziennikarstwo zrobiłoby w ten sposób, że mielibyśmy komentarz kogoś z sieci, potem kogoś z najwyższego czasu, potem kogoś z gazety wyborczej, potem kogoś z krytyki politycznej.
1065:  Także było pełne spektrum polityczne, bo chyba o to chodzi, żeby wiadomości były obiektywne.
1071:  Tych, którzy doprowadzają do burd, zamieszek, agresji i tak naprawdę to oni później nadają ton tym demonstracjom, które przeradzają się właściwie w rozruby.
1081:  Błąd.
1084:  Nadanie tonu to jest właśnie praca codziennikarzy.
1088:  To codziennikarze nadają ton.
1091:  To codziennikarze wybierają wiadomości, które wy widzicie.
1094:  To codziennikarze pokazują wam zdjęcia i to codziennikarze łączą kropki.
1099:  Tylko różnica między codziennikarzem a dziennikarzem z misją jest taka, że dziennikarz tak jak chociażby w Stanach Zjednoczonych, gdzie też wiadomo, że jest w dużym stopniu spolaryzowana scena polityczna i publicystyczna, ale jednak tam jest taki etos dziennikarstwa, które stara się trzymać władzę za rękę.
1121:  U nas nikt nie trzyma w tej chwili władzy za rękę.
1125:  Ponieważ dziennikarstwo opozycyjne, czyli niestety u nas codziennikarstwo, zajmuje się tylko i wyłącznie batorzeniem ludzi, którzy głosowali na partię rządzącą i członków tejże partii rządzącej, zamiast żeby łączyć kropki i pokazywać ludziom konsekwencje różnych działań władzy, a nie selekcjonować informacje po to, żeby kogoś oczernić.
1145:  Tak więc nadała, ktokolwiek tutaj nadał czemukolwiek ton, na pewno nie bojówkarze, którzy się pojawiają zawsze wtedy, gdzie jest dym, bo wiadomo, są bojówkarzami, albo aktywiści, którzy zarabiają na tym, że lobbują za jakąś sprawą, tylko nadają ci tutaj ton dziennikarstwo polskie, które jest żałosne i wszystkie uniwersytety, które wydają potomstwo w postaci tych codziennikarzy, powinny...
1169:  jeden za drugim odbierać im tytuły magisterskie, bo oni absolutnie nie zasługują na to, żeby legitymować jakimkolwiek tytułem szkoły wyższej w zakresie dziennikarskim.
1177:  Agresją nie tylko w Warszawie, bo to na przykład protest w Szczecinie.
1182:  O, dowiedzieliśmy się, że poprzednie powidoki były z Warszawy.
1185:  Prawdopodobnie, bo wciąż nie wiadomo, gdyż nikt nam o tym nie powiedział.
1188:  Teraz wiemy, że Szczecin, ale oczywiście wiemy to w określonym celu.
1190:  Patują także ci, którzy przynajmniej w teorii powinni świecić przykładem.
1195:  To na przykład profesor nauk humanistycznych z Uniwersytetu
1198:  Uniwersytetu Szczecińskiego.
1226:  Profesor użył brzydkiego słowa!
1229:  Brzydkie słowa!
1230:  Ja przecież profesor nie może!
1236:  To ja mogę na swojej farmie!
1239:  Albo ja mogę w donie!
1241:  Profesor!
1242:  Profesor nie może używać brzydkich słów!
1244:  Jest profesorem!
1250:  Najwyraźniej nie może.
1252:  Musimy się tutaj ukorzyć przed tymi moralnymi autorytetami z telewizji, w telewizji.
1260:  Inna rzecz, że profesor Inga Iwasiów nie musiała tak powiedzieć, oczywiście, ale powiedziała z jakiegoś powodu.
1271:  Tak zakładam, że profesor, zwłaszcza nauk humanistycznych, jak zostało precyzyjnie przywołane,
1279:  Dysponuje w swoim leksykonie całym arsenałem słów, których by redaktorzyna z TVP w połowie nie zrozumiał.
1289:  Ale oczywiście wtedy też mamy batogi na naukowców, prawda?
1292:  Bo powiemy, że używają słów jakieś klasistowskie, wywyższanie się, bo mówią tak, żeby prosty człowiek nie zrozumiał.
1302:  A jak mówi tak, żeby prosty człowiek zrozumiał, to jest też źle, bo o, profesor auziwa wulgalizmów, byzitko.
1313:  I oczywiście to wszystko bierze się jeszcze z jednej kwestii, to znaczy z myślenia post-PZPR-owskiego i post-komunistycznego, bo to za komuny była narracja przeciwko naukowcom.
1325:  I to prezes jeden, drugi i trzeci.
1329:  Bo mieliśmy kiedyś trzy bliźniaki.
1331:  Był łaskaw mówić o wykształciuchach.
1333:  Ludwikowi Dornowi tego nigdy nie zapomnę.
1335:  I później ta narracja została podchwycona.
1338:  Niestety.
1340:  I wiele razy powracała.
1346:  Dlaczego?
1348:  Dlatego, że to się, moi kochani, sprzedaje.
1350:  Niestety.
1351:  W Polsce...
1353:  Z różnych względów, o tym można byłoby zrobić osobny film, może kiedyś zrobię, pozycja naukowców jest jaka jest i w dużej mierze jest to wina naukowców, którzy mają swoje za kołnierzem z różnych dziedzin, ale jest to też wina polityków i mediów, którzy zapraszają naukowców w roli autorytetów jednego miesiąca, kiedy ich potrzebują,
1378:  Natomiast jak trzeba, to pokazują bardzo radośnie właśnie różnice klasowe.
1385:  I to jest świństwo, to co zostało tutaj zrobione, zwłaszcza z podkreśleniem profesury nauk humanistycznych.
1391:  Jeszcze ze strzałeczką, żebyśmy wiedzieli, że tutaj pani profesor Iwasiów stoi.
1395:  Swoją drogą serdeczne pozdrowienia dla pani profesor.
1398:  Mam duży podziw dla wszystkich, którzy mają tytuł naukowy i wychodzą na ulicę i potrafią powiedzieć to, co należy.
1404:  Bo profesor Iwasiów zajmuje się tematyką właśnie to, bliską temu, co widzimy.
1412:  I mam niesamowity szacunek do ludzi, którzy nie tylko zajmują się tym w pracy badawczej, ale także potrafią to wcielać w życie.
1418:  Nie ma ich wielu.
1419:  Zwłaszcza wśród ludzi zajmujących się niestety problematyką lewicową.
1423:  Bardzo często wybierają opcje tchórzliwe.
1427:  To to samo miejsce i delikatnie zmieniony repertuar wulgaryzmów w wykonaniu posłanki Koalicji Obywatelskiej.
1431:  Witam Was i wcale nie jestem tu dzisiaj jako posłanka.
1434:  Jestem jako k***a na matka.
1442:  Na nowo, bzitki wulgaryzm.
1445:  Prawdopodobnie teraz powinniśmy powołać jakiegoś eksperta z zakresu językoznawstwa, żeby nam wyjaśnił, dlaczego nie powinno się używać wulgaryzmu w przestrzeni publicznej, o ile w ogóle nie powinno się.
1455:  Ja na przykład jestem zwolennikiem używania wszystkich słów, oczywiście pod warunkiem, że zna się także inne.
1461:  Mamy czystą nienawiść, czystą agresję, czystą wulgarność.
1465:  Karol Gatz to musi być jakiś wybitny człowiek, nie?
1470:  Skoro został powołany tutaj, prawda?
1472:  Zgooglajcie, kim jest Karol Gatz.
1475:  Ze zdziwieniem stwierdziłem, że nawet nie ma profilu w Wikipedii, więc no, ale spoko.
1479:  Wybitny ekspert.
1480:  Mało tego, przyłączyłem się do tego parlamentarzyści, więc to już jest w ogóle... Mało to, a nie mało tego.
1485:  ...kuriozalne.
1486:  Przyłączył się także szef Platformy Obywatelskiej.
1489:  Borys Budka zachęca... Oczywiście, że musi być szef Platformy... No to naturalnie, że przecież wszystko jest winą Platformy Obywatelskiej.
1496:  Wszystko, absolutnie.
1498:  My to doskonale wiemy.
1499:  Już dlaczego nam to cały czas przypominacie?
1503:  Dziś w internecie do wychodzenia na ulicę, mimo szalejącej pandemii koronawirusa.
1508:  Dziennie w Polsce koronawirusem zakaża się mniej więcej 13 tysięcy osób.
1514:  Pod koniec marca, gdy Borys Budka wypowiadał te słowa, zachorowań było ponad 50 razy mniej.
1520:  Dla nas najważniejsze jest zdrowie i życie Polaków.
1523:  Dla nas ktoś, kto zachęca do wzięcia udziału w tych wyborach, będzie miał krew na rękach.
1528:  Wtedy lider Platformy chciał wymienić kandydata na prezydenta i...
1533:  I teraz zobaczmy, co tu się stało.
1535:  Przeszliśmy, skoro już mamy załatwione sprawę protestu, no bo wiadomo, to była agresja, profesor nauk humanistycznych się w to włączyła i oczywiście wiemy, że wszyscy profesorowie nauk humanistycznych powinni poddawać swoje dyplomy i w ogóle nie powinno się humanistom płacić, tylko się powinno płacić neurobiologom na przykład, no bo to jest nauka prawdziwa, a nie humanistyka.
1554:  No więc skoro już wszystko to mamy odhaczone, no to teraz trzeba zrobić z tego sprawę polityczną, no bo
1560:  To jest oczywiste, że trzeba proces każdy zrobić polityczny.
1564:  Polecam Chicago 7 w tym kontekście na Netflixie.
1569:  No więc proste.
1570:  Jeżeli mamy coś zrobić z tego politycznego, no to trzeba wziąć posłów Platformy Obywatelskiej, którzy są absolutnymi ekspertami od tego, żeby sobie strzelać w kolano.
1579:  Ja absolutnie nie będę tutaj bronił Borysa Budki, który zachował się, no jak każdy niestety polityk polskiej opozycji ostatnio, to znaczy jak totalny hipokryta.
1588:  Ponieważ prawda jest taka, że wszyscy od samego początku powinni byli chórem mówić o tym, że należy eliminować zakażenia.
1595:  I jest oczywiste, że w tym momencie jedyną osobą, która ma krew na rękach są ci, którzy ogłosili teraz, w tych okolicznościach, przy wzroście zakażeń, wyrok Trybunału Konstytucyjnego w sprawie, która polaryzuje Polaków.
1611:  Jest nieistotne.
1613:  Czy to jest kwestia aborcji, czy to jest kwestia uboju rytualnego, czy to jest kwestia wymiany stolarek okiennych.
1620:  Ponieważ zostało to ogłoszone w momencie takim, żeby ludzie popełniali błędy.
1627:  Żeby zaczęli demonstrować, bo wszyscy wiedzieli, no ludzie przecież zdajecie sobie sprawę z tego, że każda partia polityczna ma strategów,
1636:  że są sztaby kryzysowe, które odpowiadają za szacowanie zagrożeń tego rodzaju zgromadzeń.
1641:  Ludzie wiedzą, jakie są procesy i konsekwencje.
1644:  No nie trzeba być geniuszem, żeby zobaczyć zależność między ogłoszeniem takiego wyroku, a taką reakcją społeczną.
1651:  Więc jedyną osobą, która tutaj ma krew na rękach, są ludzie, którzy w takim, a nie innym momencie ogłaszają taki i nie inny wyrok.
1660:  A Boruc Budka jest nikim w tym kontekście.
1662:  I to, że się pojawia w tym materiale, świadczy tylko i wyłącznie o braku tego, co każdy materiał propagandowy potrzebuje mieć, to znaczy czytelnego wroga.
1670:  Bo pani w czerwonym na furgonetce, profesor nauk humanistycznych, słabo się sprawdzają w roli wroga.
1676:  No ale...
1678:  Lider partii opozycyjnej, uuuu!
1680:  Tasty!
1681:  Tasty!
1682:  O, o, o!
1682:  O, o, o!
1683:  Wirusolog!
1705:  Czyli jednak, czyli co, czyli profesorowie jednak są dobrzy, tak?
1709:  A przepraszam, to chodzi o te, którzy nie używają wulgalizmów.
1715:  Co można innego powiedzieć?
1716:  Pan profesor ma oczywiście rację.
1718:  To znaczy, jeżeli pójdzie się na demonstrację i zacznie się demonstrować, to można się zarazić w sytuacji, w której jest pandemia.
1723:  To jest oczywiście prawda.
1724:  Natomiast prawda, która tutaj nie pada, to to, że jeżeli się przegłosuje sprawę, która polaryzuje społeczeństwo w trakcie pandemii, to społeczeństwo wtedy będzie demonstrować w taki sposób, w jaki przyzwyczaiło się do demonstracji.
1736:  Czyli na ulicach.
1738:  A zatem kto sobie nie zdaje sprawy zagrożenia?
1741:  Kto je wykorzystuje cynicznie?
1744:  Kto tryka Piotrusia i sprawdza, kiedy Piotruś się odwinie?
1747:  Bo już będzie miał dość stukania po głowie albo kopania po dupie?
1752:  Ojej, przepraszam, uziłem brzydkiego słowa, już się zamykam.
1756:  To opinia eksperta.
1758:  Twarde dane są takie, że gdy w marcu w Hiszpanii manifestacje zorganizowały feministki, liczba zachorowań z dnia na dzień drastycznie się zwiększyła.
1767:  A wiecie, co by było, gdyby demonstracje zorganizowali piekarze?
1772:  Wtedy by się nie zwiększyła.
1776:  Na przykład gdyby demonstrowali za tym, żeby można było na przykład oddawać chleb ubogim, jak już nam się skończy taka możliwość, bez konieczności płacenia podatku od darowizn.
1790:  W Polsce się płaci podatek wtedy w takich sytuacjach.
1793:  Nie można oddać chleba, który się nam kończy.
1795:  Jednego z piekarzy kiedyś nasze cudowne państwo skazało za to.
1798:  Była słynna sprawa na pół Polski.
1800:  No to nie, aby piekarze protestowali w takiej sprawie, nie byłoby wzrostu zakażeń.
1805:  Tylko jak feministki protestują.
1808:  Wtedy jest wzrost zakażeń.
1809:  Znaczy, tak samo jakby protestowali na przykład zwolennicy TVP, nie byłoby wzrostu zakażeń.
1814:  Ale, ale, ale, ale, jak będą protestować przeciwnicy TVP, wiecie co będzie wtedy.
1823:  Wiecie co będzie.
