Wczesne wstawanie jest zdrowe TYLE ŻE NIE
🔗 https://www.youtube.com/watch?v=M6FASU9Luyg

1:  Miguel de Cervantes Saavedra, Benjamin Franklin, Elon Musk oraz Jeff Bezos.
135:  Rzecz polega na tym, że moja doba wtedy nie kończyła się o godzinie 21 czy 22, tak jak kończy się doba Marka Warbelga albo Tima Cooka, po to, żeby mogli wstać o świcie, a w zasadzie nawet przed świtem.
149:  Tylko cała rzecz polega na tym, że...
152:  Jakoś oni, mimo że mają swój styl, swój rytm dobowy, są stawani na piedestale, natomiast wszyscy ci, którzy mają przesunięty godzinowo rytm dobowy, ale relatywnie wykonują dokładnie taką samą pracę w tym samym czasie...
168:  Im się przytyka etykietę lenia, albo kogoś gnuśnego, który siedzi pod pierzyną do godziny 11 i pochrapuje, i później będzie sobie oglądać telewizję naturalnie do godziny 3, pewnie po południu, a potem to już w ogóle będzie tak zmęczony i tak wykończony, że będzie chrapać smacznie już o godzinie 17, gdy w tym czasie Mark Wahlberg będzie cieszył się świetnym zdrowiem, bo on już ćwiczył o godzinie 2.45 nad ranem.
196:  I teraz zastanówmy się nad jedną rzeczą, przez chwilę.
199:  Zróbmy taki eksperyment myślowy.
201:  Załóżmy, że wszyscy ci panowie się mylą.
204:  Załóżmy, że mylą się wszyscy ci, którzy przez całe życie powtarzali wam, że wstawanie o godzinie 6, o godzinie 7 albo o godzinie 8 jest dla was dobre.
212:  Załóżmy, że mylą się szefowie wszystkich korporacji na całym świecie, nawiasem nie wszystkich, którzy zachęcają, a ściśle mówiąc, zmuszają pracowników do przyjęcia właśnie takiego rytmu dobowego i wyznaczają bardzo często, to jest w zasadzie norma, z pewnymi nielicznymi odstępstwami od tej reguły, godziny pracy od 8 do 16 albo do 17.
233:  No i teraz załóżmy, że oni wszyscy się mylą.
236:  Załóżmy przez jeden moment, że to nie jest rzecz, która towarzyszyła ludzkości od zarania dziejów, tylko pojawiła się w bardzo określonych realiach historycznych i już z nami pozostała.
248:  Jakież są te określone realia historyczne?
251:  No otóż jeżeli sobie zobaczymy na chociażby to jak w ikonografii przedstawiano ludzi pracujących, pracujących w polu, pracujących przy zwierzynie, myśliwych, piekarzy, rolników.
264:  Wszyscy oni, niezależnie od tego, czy będziemy patrzeć na malunki naskalne czy nagrobne w starożytnym Egipcie, czy też będziemy się przyglądać temu, w jaki sposób klasy pracujące wczesne w czasach feudalnych przedstawiano w średniowieczu,
280:  I niezależnie od tego, czy przejdziemy sobie jeszcze później w historii, zobaczymy jak przedstawiano z kolei pracujących na roli w wieku XVIII, XIX i jeszcze dalej.
291:  Albo jak z kolei i w jakich okolicznościach przyrody przedstawiano klasy pracujące już po rewolucji przemysłowej, gdzie wciąż potrzebowaliśmy piekarzy,
303:  usługodawców i dostawców, którzy by o wczesnych godzinach porannych dostarczali wszystkie produkty ludziom miast, których oni potrzebują, to wydaje mi się, że dojdziemy do interesującej konkluzji, jak sobie przejrzymy te wszystkie obrazy.
317:  Otóż okazuje się, że we wszystkich tych przypadkach
321:  Było to wymuszone nie tym, że ktoś tak narzucił godziny pracy, tylko i wyłącznie dlatego, że w tych czasach to będzie konkluzja, która zmieni wasz światopogląd.
338:  Słońce było jedynym źródłem światła tak skutecznym, żeby można było przez cały czas w relatywnie niskich kosztach oświetlać nam nasz warsztat pracy.
352:  Słońce było konieczne do tego wreszcie, żebyśmy mogli wykonać te wszystkie obowiązki, które były konieczne do tego, żeby klasy pracujące mogły usługiwać klasom wyższym, ponieważ mniej więcej do XIX wieku, oczywiście z różnicami w różnych rejonach świata,
369:  Społeczeństwo było urządzone w taki sposób, że klasy pracujące wspomagały klasy wyższe.
376:  Niezależnie od tego, czy było to mieszczaństwo, czy też arystokracja, czy w średniowieczu panowie feudalni.
383:  Przecież na Ciemnym Zamku trzeba było wykonać szereg prac, zanim panowie na Włościach łaskawie wstali ze swoich łóż i zajęli się tymi pilnymi, ważnymi sprawami, którymi się zajmowali na on czas królowie i szlachcicowie.
398:  To znaczy...
401:  Bardzo ważnymi sprawami, nie zadawajcie głupich pytań, ale żeby oni mogli to zrobić, to służba wcześniej musiała napalić w kominku, przygotować jedzenie, nakryć do stołów, wyprowadzić zwierzynę, wyjść w pole, zaorać rzeczone pole, czasem zebrać splony itd., itd., itd.
418:  I nie dało się tego wszystkiego robić w nocy.
421:  Nie dało się tego wszystkiego robić o godzinie 17.30.
423:  Trzeba było to zrobić o świcie, trzeba było to zrobić o czwartej, trzeba było to zrobić o piątej nad ranem, trzeba było to zrobić o szóstej nad ranem.
432:  I ikonografia i historia sztuki utrwaliły te nasze zwyczaje i tak samo utrwalił jej język.
438:  Nieprzypadkowo pojawiło się powiedzenie, kto rano wstaje, temu Pan Bóg daje.
442:  No tak, ponieważ słońce jest właśnie jednym z tych darów, który umożliwiał pracę ludziom.
448:  Przecież zauważmy, że w średniowieczu nielicznych, naprawdę nielicznych stać było na to, żeby kupować świece chociażby do oświetlania pomieszczeń.
459:  Świece były niesłychanie drogie.
461:  Potem wprowadzenie lamp...
464:  a już później lamp gazowych, sprawiło, że coraz więcej ludzi miało już dostęp do tych udogodnień, ale wciąż nie klasy pracujące.
472:  Klasy pracujące wciąż musiały dostarczać, dowozić i usługiwać klasom wyższym.
479:  I dopiero w XIX wieku, późnym XIX wieku, pojawia się ten fetysz wśród niższych klas, czy klasy średniej, zwłaszcza artystycznej, zwany splinem, prawda?
492:  Czyli tym dużym skróciem rzeczy ujmując życia nocnego, przechadzania się wieczorami po uliczkach i oczywiście spania do godziny 11 czy do godziny 13.
505:  I to pojawiło się wtedy tylko i wyłącznie dlatego, że umożliwiła to rewolucja przemysłowa.
510:  I co ciekawe, filozofowie przełomu XIX-XX wieku mówili, że w przyszłości, w świecie przyszłości, jak już wymyślimy maszyny, które będą nam pomagać, czas pracy będzie się skracał.
523:  Bo ludzie zdawali sobie sprawę z tego, że nie będzie takiej konieczności, żeby wstawać wcześnie.
528:  No ale oczywiście nastał kapitalizm i wraz z kapitalizmem przetrwały tam te nawyki.
533:  W dalszym ciągu się nam mówi, że tak, że musimy wstawać wcześniej.
536:  Teraz już nie tylko klasy pracujące muszą wstawać wcześniej, ale wszystkie.
540:  Klasa średnia wstaje wcześniej, klasa wyższa wstaje wcześniej, klasa najniższa wstaje wcześniej.
546:  Całe społeczeństwo wstaje o godzinie 6 czy 7 czy 8, zapierdziela do roboty i uczestniczy w tym, co się nazywa kulturą zapierdolu.
556:  Który już coraz częściej polega na tym, używam tego określenia celowo, ponieważ są już angielojęzyczne publikacje naukowe mówiące o naszych bullshit jobs, które wykonujemy w ciągu całego swego dnia, z tego względu, że musiały one powstać dlatego, że mamy kult pracy dla samej pracy.
572:  Większość już zawodów właśnie opartych na wykonywaniu prostych prac fizycznych jest coraz częściej zastępowanych przez maszyny.
579:  W związku z powyższym ci ludzie zostają bez pracy, ale ponieważ nie mamy czegoś takiego jak uniwersalny dochód podstawowy, to wymyślamy pracę dla wszystkich po to, żeby mogli się o niej czymś zająć.
589:  Ale nie o tym mówię.
591:  Mówię o tym wczesnym wstawaniu.
593:  Ponieważ wczesne wstawanie zyskało jeszcze jeden argument, który ma nam zamaskować to, że tak naprawdę chodzi o to, żeby korporacjom nabijać kabzę.
601:  Otóż ukazał się szereg artykułów, a tutaj jest jeden z nich.
605:  które dowodzą tego, że wczesne wstawanie nie jest dobre dla naszego zdrowia.
611:  Oczywiście to nie chodzi o to, że ono nie jest dobre dlatego, że taki układ gwiezdny i słoneczny nam nie sprzyja.
617:  Chodzi o wczesne wstawanie skorelowane z koniecznością czy powinnością zawodową, która to wczesne wstawanie determinuje, a mianowicie np.
627:  odwiezieniem dzieciaków do szkoły, pójściem samemu do szkoły, pójściem do pracy.
631:  I zwykle to się realizuje w jakichś godzinach porannych, od 6 do godziny 8.
636:  I okazuje się, co pokazuje ten radosny i kolorowy wykres, że ci, którzy wstają wcześniej...
643:  Mają o wiele wyższy wyrzut kortyzolu, czyli hormonu stresu, odpowiedzialny m.in.
648:  za nasze złe samopoczucie.
649:  No i nic dziwnego, że mają wyrzut kortyzolu z tego względu, że oni nie wstają wcześniej dlatego, że takim dyktuje ich wewnętrzny zegar biologiczny.
657:  Jeżeli zmienią sobie strefę czasową, to będą wstawali o takiej samej godzinie, bo się do tego przyzwyczaili.
661:  Nie, oni wstają o tej godzinie dlatego, że społeczeństwo im to narzuciło i społeczeństwo to wymusiło.
667:  Jest pewną niesłychaną perwersją, że wmawia nam się, mimo że istnieją studia naukowe mówiące coś absolutnie odwrotnego, że wczesne wstawanie jest zdrowe.
676:  Ze własnego doświadczenia mogę powiedzieć, że ilekroć ktokolwiek zmuszał mnie do wstania przed godziną 11, czułem się fatalnie.
683:  Pamiętam, jak w gimnazjum ktoś gnialny wpadł na pomysł, że o godzinie 7.10 zaczną się zajęcia, znaczy lekcje,
692:  I o tej siódmej dziesięć, żeby pójść w ogóle dojść na siódmą dziesięć do szkoły, to musiałem wstać jakoś o piątej, szóstej i zjeść wtedy śniadanie.
698:  Oczywiście miałem mdłości.
699:  O tej siódmej dziesięć co było?
700:  No co było?
701:  No coś mogło być innego jak nie matematyka.
703:  No to jest oczywiste, że matematyka jako przedmiot oczywiście wymagający
707:  Kreatywności i nakładów intelektualnych jest świetnym przedmiotem nadającym się na godzinę 7.10.
713:  A jeszcze większy paradoks polega na tym, że przecież to wszystko, co wam powiedziałem w dzisiejszym vlogu, czyli ten krótki rys historyczny dotyczący korelacji między wczesnym wstawaniem a zawodami, dotyczył bardzo specyficznej grupy zawodowej.
726:  To znaczy generalnie pracy fizycznej.
729:  Ludzie oddający się pracy kreatywnej w inny sposób funkcjonują, czego innego potrzebują.
736:  I dostosowanie wszystkich zawodów i wszystkich naszych osobowości, wszystkich naszych zwyczajów do jednego wzorca, który został wypracowany wskutek wyzysku klas pracujących przez wszechwiecza, no nie jest chyba najlepszym pomysłem.
754:  Zmierzam zatem do tego, że powinniśmy odpuścić sobie i przestać utożsamiać wczesne wstawanie z jakimś etosem pracy, z jakąś moralnością wyższego rzędu, której musimy przestrzegać albo jakimś wzorcem, do którego się powinniśmy dostosowywać.
772:  Wstawajmy o tej godzinie, o której możemy i chcemy wstawać, ba, dopasujmy pracę, jaką wykonujemy i zawód, jaki wykonujemy i profesję, jakiej się podejmujemy.
783:  do tego, o jakich godzinach nam się dobrze pracuje.
786:  Jeśli pracuje się Wam dobrze w godzinach popołudniowych i wieczornych, wybierzcie freelancing, jeśli macie taką możliwość.
793:  Jeżeli natomiast dobrze się czujecie z tym, że ktoś Wam narzuca godziny pracy od 8 do 16, czy od 9 do 17, macie czytelny grafik i dobrze się z tym czujecie, świetnie.
805:  Ale nie narzucajcie tego jako wzorca innym, nie mówcie o tym.
810:  Co ty, do tej 11?
811:  To co?
812:  Grało się wczoraj, tak?
813:  Filmy się oglądało, no, tak?
815:  Zaspałeś taki, gnuśny jesteś, no, leniwy, tak?
820:  W krainie lenistwa w Roigla pod grzytem sobie siedzisz, tak?
825:  Co?
826:  A ja tutaj pracuję, ja już od siódmej już dzieciaki do przedszkola zakupy zrobiłem, to zrobiłem, zawiozłem, odwiozłem, wróciłem, wykonałem mnóstwo, a ty co?
836:  Ty wstajesz dopiero.
838:  Tak, chciałobyś odpowiedzieć.
840:  Kretynie, wstaję o to późno, ale zasypiam później niż ty.
845:  To znaczy wtedy, kiedy ty o 21.30...
849:  przed filmem, to ja dopiero zaczynam mój czas kreatywny i skończę go być może o godzinie 3 lub 4 nad ranem wtedy, kiedy Mark Wahlberg zapierdziela na siłowni.
860:  Zatem, jak zawsze, żyjmy i dajmy żyć innym, ale przede wszystkim nie wycierajmy sobie gęby z tartym argumentem o tym, że coś jest dla kogoś innego zdrowe, tylko dlatego, że mówi nam to mądrość ludowa, kto rano wstaje, temu Pan Bóg daje, a nie badania naukowe prowadzone przez...
881:  angielskich tym razem naukowców z Uniwersytetu Westminster nad wyrzutem kortyzolu powiązanym z wczesnym wstawaniem i zwłaszcza obowiązkami porannymi.
890:  Do następnego.
