Po co uczyć się na PAMIĘĆ?
🔗 https://www.youtube.com/watch?v=j7qmMBu3oTE

0:  Odkąd tylko pamiętam, niewiele pamiętam.
259:  Ale ponieważ nie pamięta, to jest z nią coś nie tak, więc na pewno nie żywi pozytywnych uczuć i z tego już oczywiście bierzemy daleko idące konsekwencje, dla związku chociażby.
271:  A przecież dokładnie to samo będzie się działo w szkole.
274:  Ba, po szkole, na studiach, ba, po studiach.
278:  Ile razy słyszeliście różnego rodzaju audycje dziennikarskie w rodzaju, o, jest pan naukowcem?
284:  No to wymień nazwiska wszystkich naukowców.
288:  Egzaminowanie ludzi z wiedzy, z wiedzy zapamiętanej, jest traktowane jako pewnego rodzaju papierek lakmusowy, którym sprawdzamy, czy osoba z nami rozmawiająca, aby na pewno jest wykształcona.
301:  Problem polega na tym, że dzisiaj wiemy, że ludzie wykształceni, a co, wiedział to już Sokrates, będą raczej mówić coś zgoła innego, to znaczy, nie, nie, moja wiedza jest ograniczona, muszę zajrzeć do źródeł, muszę to sprawdzić, wiem, że nic nie wiem.
314:  To nie jest maksyma, pod którą by się podpisali mnemotechnicy, zwolennicy i propagatorzy metod pamięciowych w nauczaniu, którzy uważają, że memoryzowanie i zapamiętywanie wszystkiego jest wartością samą w sobie.
326:  I to, że ja będę w stanie teraz walnąć wam recytaty w 40 tysięcy dat z historii, uczyni ze mnie historyka.
332:  Nie.
332:  Historykiem będzie ktoś, kto będzie w stanie na przykład przeczytać kilka dokumentów historycznych i powiedzieć ten jeden jest falsyfikatem.
341:  Albo będzie w stanie wyciągnąć z tych dokumentów historycznych narrację, która nie będzie politycznie albo ideologicznie obciążona.
349:  historią jednej ze stron, tylko będzie umiał to zniuansować odpowiednio.
352:  To jest praca historyka.
354:  Historyk nie służy do tego, żeby enumerować poszczególne daty i je wyliczać.
358:  To nie o to chodzi.
360:  A ile razy jesteśmy z tego odpytywani?
362:  Ile razy udowadnia się nam, że czegoś nie wiemy, bo czegoś nie pamiętamy?
367:  To samo, moi drodzy, dotyczy nauki języków obcych.
370:  Ile razy się wam zdarzyło, że nie znaliście jakiegoś słowa i ktoś wydał z pogardą usta i powiedział,
376:  Można nie znać tak podstawowego słowa, bo oczywiście uczymy się jak z fiszeczek, tak?
382:  Słówka prujemy, bo przecież tak się uczymy języka naturalnego, prawda?
387:  Mamusia do pięcioletniego Piotrusia mówi, Piotrusiu, posłuchaj, dzisiaj się uczymy wszystkich słów z kategorii kuchnia.
396:  Posłuchaj uważnie, teraz będziesz się uczyć, zrób sobie z tego fiszki.
401:  Nie, języka uczymy się troszeczkę inaczej.
405:  To się nazywa immersive learning, czyli nauczanie imersywne.
409:  Na czym polega nauczanie imersywne, to możemy przeczytać nawet na stronach Cambridge.
413:  Nauczanie imersywne albo polega na tym, że wyjeżdżamy do jakiegoś kraju, nie wiem, na przykład w wymianę w ramach Erasmusa i się uczymy, albo oglądamy filmy, słuchamy piosenek.
427:  udzielamy się w komentarzach internetowych i dyskusjach, uczęszczamy na różnego rodzaju warsztaty i kursy, gramy w gry wideo,
437:  To jest nauczanie imersywne, więc jeśli kiedykolwiek się zastanawialiście, jak to się stało dziwnym trafem, że 7-8 lat nauki w szkole i ciągle ten język obcy jest dla was, nomen omen, obcy, a tymczasem zagracie sobie w jedną grę strategiczną parę razy i nagle, nie wiadomo kiedy, uczycie się słów nazywających poszczególne oddziały i znacie tę terminologię lepiej,
460:  Po angielsku niż po polsku.
463:  To jest nauczanie imersyjne.
465:  No i właśnie, czym jest ta imersja?
467:  No to jest zanurzenie, zanurzenie w jakimś środowisku.
471:  To może być środowisko nasze, naturalne.
473:  Rodzimy się w Polsce, więc będziemy poznawać język polski.
476:  Dlatego też w rodzinach dwujęzycznych łatwiej jest o to, że poznajemy dwa języki naraz i bardzo często miksujemy je ze sobą.
482:  To nie jest tak, że będziemy znali jeden perfekcyjnie i drugie perfekcyjnie.
485:  Będziemy je znać funkcjonalnie, kontekstowo.
488:  Jeżeli jesteście zainteresowani w ogóle tą problematyką imersji, to mega Wam polecam książkę szwajtarskiej narratolożki Mary Lou Ryan, która to napisała o wirtualnej rzeczywistości i narracji.
500:  Ja wiem, że to może troszeczkę odstraszać, ale nie mniej, ta jej książka jest takim bardzo dobrym korpusem i wprowadzeniem do właśnie różnych form zanurzania w fikcyjnej rzeczywistości, ale właśnie nie tylko fikcyjnej rzeczywistości, bo także rzeczywistości cyfrowej, tej, która nas otacza.
515:  No i skoro już mówimy o rzeczywistości cyfrowej,
519:  to wróćmy do tego, co mówi Stigler, bo wydaje mi się, że to może być interesujące.
523:  Historycznie, zauważcie, jak to wyglądało.
525:  Przekazywaliśmy sobie informację.
527:  A, Platon twierdził, że to, co jest przekazywane ustnie, jest lepsze od tego, co jest zapisane.
533:  O tym jest cały dialog Fajdros, gdzie pismo jest przedstawione właśnie jako taki zatruty podarunek, że z jednej strony może to być dobre lekarstwo na pamięć i mądrość naszą, ale z drugiej strony, jeżeli to lekarstwo przydawkujemy i będziemy wyłącznie polegać na tym, co jest zapisane,
549:  no to wtedy możemy nie pamiętać już, czyli nie będziemy w stanie wykorzystywać swojego mózgu w sposób, który Platon uważał za wartościowy.
558:  Czy coś wam to nie przypomina po tylu latach?
562:  O tym właśnie pisze Stiegler.
564:  Mianowicie, że zanim w ogóle zaczęliśmy funkcjonować w naszej rzeczywistości, to...
572:  Przyszła technologia.
573:  Technologia, która umożliwia nam skuteczniejsze zapamiętywanie.
577:  Steve Stigler nazywa to tertiary retention, czyli retencją trzeciego stopnia.
581:  Protezą zewnętrznej pamięci.
584:  Innymi słowy są to obiekty, które albo...
588:  zapisują albo konwertują na kontrolowalne i przekazywalne sygnały różnego rodzaju treści, prawda?
595:  Może to być w formie fonogramu albo filmu, radia, telewizji, internetu i tak dalej, i tak dalej.
600:  I za pośrednictwem tych retencji trzeciego stopnia, czyli tych protest pamięciowych, my dzisiaj funkcjonujemy.
607:  I teraz pojawia się kluczowe pytanie.
609:  Dlaczego nikt o tym nie mówi, że zmieniła się na tyle nasza technologia, że nie mamy już tylko tej pamięci krótkotrwałej, czyli retencji pierwszego stopnia i pamięci długotrwałej, retencji drugiego stopnia, ale posługujemy się właśnie tymi retencjami trzeciego stopnia i jesteśmy w stanie dzięki temu osiągnąć znacznie więcej, bo już nie musimy obciążać mózgu zapamiętywaniem niepotrzebnych danych, bo one są gdzieś zapisane.
633:  Po co pamiętać datę rocznicy, na przykład jak można ją mieć w kalendarzu?
637:  I przypomnienie o niej.
638:  Po co zapamiętywać setki dat, skoro można sięgnąć do smartfonu?
643:  Po co mamy zapamiętywać słówka, skoro możemy kontekstowo zrozumieć ich znaczenie?
648:  Skoro możemy zanurzyć w jakimś środowisku i zacząć je przyswajać z zewnętrza, które nas otacza?
655:  z tych właśnie protest pamięciowych, które nas otaczają.
658:  I to naprawdę nie musi być tylko ten nieszczęsny smartfon.
661:  Możecie sobie czytać książkę na Kindle i będziecie mieli tam wbudowany słownik, który wam tłumaczy po angielsku angielskie słowa i uczycie się tego szybciej.
669:  Możecie właśnie grać w grę wideo, która chociażby jest poświęcona, no nie wiem, rozwojowi Imperium Rzymskiego, bo któż by nie myślał o Imperium Rzymskim, i tam będziecie mieli zapisane
678:  różnego rodzaju dane dotyczące tego okresu historycznego i zapamiętacie je.
682:  To dotyczy także światów fikcyjnych.
684:  Jak zastanawialiście się, czemu waszej głowy trzymają się informacje bezużyteczne, jak się śmiejemy, wiedza bezużyteczna o fikcyjnych rasach, fikcyjnych planetach, nieistniejących artefaktach i zjawiskach, a nie pamiętacie tego, co uważacie albo co powiedziano wam, że jest ważne,
704:  to może to nie chodzi o to, że zapamiętujemy rzeczy, które, no nie wiem, jakoś są z nami emocjonalnie związane, tylko, chociaż to też jest istotne, ale może chodzi o formę transmisji tych rzecz, jak to mówi Bernard Stiegler, retencji, czyli tych obiektów.
718:  Może po prostu, jeżeli słuchamy świetnie przygotowanego materiału lore'owego z Warhammera 40000 na kanale LUTIN9, pozdrawiam fanów kanału LUTIN9, to zapamiętujemy szybciej, ponieważ jesteśmy bombardowani obrazem,
731:  muzyką, tekstem, narracją pozakadrową, są cztery komunikaty, które macie naraz na ekranie.
737:  W tym momencie nawet w moim ograniczonym formacie vloga, gdzie jest jedna gadająca głowa i ewentualnie drugi kadr, macie mniej bodźców niż w takim jednym materiale lore'owym.
748:  Ale równocześnie i tu i tam będzie więcej bodźców niż w szkolnym podręczniku, który będzie mieć nieatrakcyjną ilustrację i tekst i ponadto absolutnie nic.
757:  Lub w wykładzie.
759:  Dlaczego do dzisiaj cały czas upieramy się na tym, żeby robić to, co było słuszne w XIX wieku, kiedy nie mieliśmy tych zewnętrznych magazynów pamięciowych, na wyciągnięcie dosłownie ręki i musieliśmy iść do szkoły lub na uczelnię, żeby spotkać człowieka, który dokona tej transmisji?
777:  swoich własnych retencji drugiego stopnia do naszych, żeby ta jego pamięć długotrwała się przepisała na naszą i żebyśmy my mogli sobie zapisać w naszym magazynie pamięciowym, białkowym, mózgowym, to co przyswajamy.
789:  Wtedy wykład miał sens, wtedy lekcje miały sens, bo nie było innego sposobu i innej formy pozyskania tych informacji.
798:  Dlaczego nie zmienia się nic dzisiaj?
801:  I od razu szybko powiem.
803:  Jak wyobrażam sobie taki wykład, który byłby nowoczesny i wykorzystywałby retencję trzeciego stopnia?
808:  Bardzo prosto.
809:  Macie w formie podcastowej na Spotify wykład.
813:  Słuchacie go, notujecie sobie to, czego nie zrozumieliście, a następnie idziecie na uczelnię i przez półtorej godziny nie macie potrzeby słuchania biernego i bezrefleksyjnego kogoś, kto coś wam opowiada, czy napomina was, czy ocenia, tylko pytacie wykładowcy, bo nie rozumiem tego fragmentu i dyskutujecie na ten temat.
837:  Czy nie jest to bardziej zaawansowana forma nauki?
841:  A oczywiście, jeżeli ktoś nie przesłuchał tego wykładu wcześniej na spoty, to ma problem.
845:  Po prostu.
847:  Albo zakładamy, że wszystko rozumie.
849:  Po prostu.
851:  Co robi taki system?
853:  Daje bazę, czyli wykład na przykład do wprucia na pamięć dla ludzi, którzy są nieambitni, a dla ludzi, którzy są ambitni, daje szansę
861:  Na wyjście jeszcze wyżej.
863:  Na osiągnięcie czegoś, co jest niemożliwe w obecnym systemie, który jest rozerwany między XIX wiekiem a XXI wiekiem.
871:  A dlaczego jest rozerwany?
873:  Ponieważ cały czas udajemy, że nie ma smartfonów i nie ma komputerów i nie ma internetu.
876:  I czas wreszcie przestać to udawać.
878:  Filozofowie już orientują się i to całkiem dawno temu, akurat Stiegler oczywiście współcześnie też tworzy, ale to są jego przemyślenia sprzed 10-15 lat niejednokrotnie i
889:  Wszyscy na to wskazują, że coś trzeba zmienić, a my cały czas udajemy, że te przemyślenia także nie istnieją.
896:  I oporujemy, ponieważ tak jest bezpieczniej.
899:  Bo wydaje się, że ojej, coś stracimy w ten sposób, jeżeli będziemy cały czas wykorzystywać technologię.
905:  A tymczasem ta technologia nie jest od nas w żaden sposób odseparowana.
908:  I to też jest coś, co filozofowie podkreślają.
911:  Smartfon pozbawiony człowieka już nie jest...
914:  Ważny, nie jest istotny.
916:  To jest synergia technologii i człowieka w tym momencie.
920:  To nie jest to samo, co książka, ponieważ to my dokonujemy interakcji z tymi urządzeniami, my decydujemy, co nam się będzie wyświetlało, my decydujemy, jaką część czasu poświęcimy na to, żeby pogłębić te źródła informacji, które mamy na wyciągnięcie ręki.
934:  Podobnie w szkole.
935:  Tak, oczywiście, że problemem jest to, że ludzie w jakiś sposób zniechęcają się do nauki, ponieważ to jest bardziej zachęcające.
945:  A może by trzeba było sobie zadać pytanie naukowe, dlaczego?
951:  Dlaczego smartfon jest bardziej atrakcyjny?
954:  Co sprawia, że ludzie zanurzają się szybciej w tych treściach?
959:  W jaki sposób możemy to wykorzystać w nauce?
962:  Bo to są konkretne techniki.
965:  bardzo intensywnie i głęboko na nas oddziałujące.
969:  Kolory, tylko zawsze mówię, że jak ktoś uważa, że jest uzależniony od smartfonu i chce włączyć profil monochromatyczny, zobaczymy, jak będzie chętnie sięgał po TikToka.
977:  Po kolorach, interfejsy atrakcyjnie przygotowane, treści, które podsycają naszą ciekawość, infinite scrolling, nieskończone przewijanie, tak?
985:  Przewijamy nie dlatego, że jesteśmy znudzeni, tylko dlatego, że jesteśmy zaciekawieni tym, co dalej.
991:  Znudzeni byliśmy wcześniej, jak sięgnęliśmy po smartfona.
994:  W momencie, jak sięgnęliśmy, już nie jesteśmy znudzeni, tylko dostajemy bodźce dopaminowe, ponieważ oddziałuje się na naszą ciekawość, na niewiadomą.
1001:  Gdybyśmy wiedzieli, jakie następne treści są, to byłoby dalece mniej atrakcyjne i dlatego tę mechanikę się wdraża.
1008:  I dlatego ona właśnie, ta mechanika jest uzależniająca, a nie sam smartfon w sobie.
1013:  I trzeba to precyzyjnie rozróżniać.
1015:  Te wszystkie rzeczy, o których mówię, to jest czubek góry lodowej.
1019:  I żeby zrozumieć, jak to funkcjonuje, trzeba zacząć się nad tym namyślać.
1023:  I zadać sobie pytanie, ok, jak mogę to, czego się dowiedziałem od projektantów aplikacji, projektantów doświadczeń użytkownika, przenieść następnie do edukacji.
1033:  I wiecie, co mamy?
1034:  Aż sobie zajrzałem przy okazji researchowania tematu pamięci, jak to wygląda na mojej ulubionej, zintegrowanej platformie edukacyjnej.
1042:  Bo ludzie myślą sobie, że będzie w internecie i tu będzie taki obrazek i będą loga i e-pub i udostępnij, zaloguj się i cyfrowa szkoła, to takie nowoczesne.
1055:  To nie jest nowoczesne, to jest podręcznik z taką samą idiotyczną ilustracją, z takimi samymi żenującymi mottami, z takim samym prostackim tekstem, który jest w żaden sposób niedostosowany do tego, jakie są nasze indywidualne upodobania, z takimi samymi bullet pointami i z takimi samymi audiobookami, jakie miała sobie pani od angielskiego, która chodziła sobie z magnetofonem w latach 90. i puszczała piosenki.
1081:  Wystąpił błąd, sweodrogo, zabawne.
1083:  I jak wygląda lekcja mnemotechniki?
1085:  Haha, na podstawie fragmentu opisu przebiegu bitwy pod Cecorą w 620 narysuj schemat, który mógłby służyć jego zapamiętaniu.
1094:  Przepraszam, z jakiego powodu ja mam zapamiętać te informacje?
1099:  Jaka kryje się w tym wartość, że ja będę w stanie zrekonstruować wydarzenia tej bitwy?
1103:  Przecież to jest poroniony kretynizm.
1106:  Nie na tym to polega.
1107:  Można byłoby tę bitwę przedstawić w formie gry wideo i uczestniczylibyśmy w niej i w dalszym ciągu nie bylibyśmy w stanie zapamiętać sekwencji wszystkich ruchów, bo to nie ma żadnego sensu.
1117:  My nie jesteśmy strategami studiującymi taktykę różnych generałów.
1121:  Wtedy to jest troszeczkę istotniejsze.
1124:  Natomiast...
1125:  W tym konkretnym przypadku jest to klasyczny przykład wiedzy bezużytecznej podanej najgorzej.
1129:  I co ja mam sobie schemat narysować albo sobie zastosować mnemotechnikę polegającą na grupowaniu wyrazów czy przypisywaniu jakichś obrazów do tego wszystkiego?
1138:  To jest krytynizm kompletny.
1140:  I teraz zauważcie.
1142:  Dokładnie w ten pamięciowy sposób uczy się zapamiętywania lektur.
1146:  W ten sposób się zabija w nas miłość do literatury.
1149:  Sprowadza się literaturę do sekwencji wydarzeń, którą musicie, no cóż, zapamiętać.
1154:  I jak zapamiętaliście sekwencję wydarzeń, to znaczy, że przeczytaliście, no nie książkę, tylko opracowanie, o czym mówiłem w tym filmie złośliwym o liście lektur.
1164:  Ludzie, którzy faktycznie przeczytali książkę, będą pamiętać jedną scenę, dwie sceny.
1169:  I będą je pamiętać bardzo często w formie takiej, jak ja zapamiętywałem, wizualnej.
1174:  Opiszą tę scenę tak, umieją, tak, zapamiętali, ale to dlatego, że jej doświadczyli.
1180:  I tym właśnie jest imersja.
1182:  Jeżeli jesteście zanurzeni w jakiejś rzeczywistości, to jej doświadczacie.
1186:  Szybki test.
1187:  Przypomnijcie sobie swoje oburzenie na jakąś tezę, którą głosi ktoś niekumaty w danym temacie, podczas gdy wy w tym temacie jesteście zanurzeni latami.
1196:  To oburzenie i to, że nie wiecie od czego zacząć prostowanie tej wypowiedzi, to właśnie efekt tego efektu,
1204:  zanurzenia.
1205:  Doświadczyliście czegoś, w związku z powyższym trwalej zapisało się to śladami pamięciowymi w naszych neuronach.
1212:  Na tym polega różnica między potężnym zapamiętywaniem różnego rodzaju najbardziej absurdalnych rzeczy w grach wideo, a naszą usilną próbą wmawiania sobie, że nasze mózgi nie są przystosowane do tego, żeby zapamiętywać doświadczenia, tylko do tego, żeby
1233:  zapamiętywać czytany tekst.
1235:  Tymczasem we were never born to read.
1238:  Za to, do czego się urodziliśmy?
1240:  No otóż do doświadczania świata.
1243:  I na tym polega ta różnica.
1245:  Bo
1247:  Ilekroć będziemy chcieli zapamiętać jakąś informację, będziemy się koncentrować na tym, będzie ten syndrom określany przez językoznawców myśleniem o różowym słoniu.
1256:  Nie będę myśleć o różowym słoniu.
1258:  O czym pomyśleliście o różowym słoniu?
1260:  Klasyczny problem.
1261:  We were never born to read.
1263:  Natomiast urodziliśmy się do doświadczania świata, do przeżywania emocjonalnego, wizualnego.
1269:  Mamy oczy, moi drodzy, i uszy do tego, żeby poznawać bodźce audiowizualne.
1275:  Więc media audiowizualne oddziałują na nas silnie nie dlatego, że są uzależniające, tylko dlatego, że przypominają nam to, z czym się stykaliśmy, jak przyszliśmy na tę planetę i zaczęliśmy ewoluować na sawannie.
1289:  Wtedy nie czytaliśmy, ale poznawaliśmy świat oczyma i uszami.
1295:  Na tym polega ta potęga mediów audiowizualnych, że oddziałują na nasze najbardziej wytrenowane zmysły.
1303:  Abstrakcyjne myślenie oczywiście jest potrzebne, natomiast nikt nie powiedział, że nie należy trudnych, skomplikowanych treści uczyć właśnie za pośrednictwem imersywnego nauczania i technik imersywnego nauczania wykorzystujących wielobodźcowe oddziaływanie, wielokanałowe.
1319:  Jeżeli, krótko mówiąc, ten cały...
1323:  Gigantyczny korpus informacji, który mamy zebrany od przedwieczy w formie tekstowej, bo taka formuła była najskuteczniejszą formułą zapisu przez wiele, wiele lat, pisemna.
1337:  Jeżeli możemy do tego korpusu sięgnąć przez telefon, albo przez internet, albo przez jakąkolwiek encyklopedię, to potraktujmy to jako bazę i pracujmy nad resztą, nad budową, pracujmy nad tym, co wymaga kreatywności, co wymaga łączenia kropek, co wymaga wyjścia poza ten korpus wiedzowy i przede wszystkim rezygnacji z tego suchego recytowania zapamiętanych rzeczy, bo nie ma w tym żadnej cnoty, jako się rzekło.
1363:  Jesteście w stanie zrobić doktorat, nie pamiętając niczego.
1367:  Ba, jestem w stanie wykładać.
1370:  Bez notatek, robię to od 10 lat.
1373:  Każdy mój wykład w ramach każdego kursu, a prowadzę kilkanaście, jest robiony nie z pamięci.
1379:  Tylko awista, jak mawiają muzycy.
1380:  Mam sobie obrazy, ponieważ wiem, że obrazy na mnie oddziałują na prezentacji, patrzę na slajd i myślę sobie, o, z czym mi się to w tym roku skojarzy.
1389:  Skutkiem czego?
1390:  Mój wykład za każdym razem będzie inny, tak długo, jak długo nie będę cytował tych samych ludzi, bo oczywiście, jeżeli cytujecie jednego człowieka za każdym razem, który jest dla was jakoś inspirujący, no to siłą rzeczy będą się wam kojarzyły podobne rzeczy.
1404:  Ale jeżeli patrzycie na obraz i odbijacie się od niego, to może bardzo często się okazać, że powiecie coś nowego, coś bardziej interesującego, co ma tę zaletę, że jeżeli cyklicznie wygłaszacie podobne prezentacje, referaty, wykłady czy wypowiedzi, to za każdym razem powiecie coś innego.
1419:  I nie będzie to nudne dla słuchacza.
1421:  Będzie to naturalne.
1423:  Tak, powinna być naturalna nasza mowa i nasz sposób myślenia, nasz sposób uczenia się.
1428:  Więc zerwimy, moi drodzy, z zapamiętywaniem nieustannym,
1432:  informacji przede wszystkim z czynieniem tego cnoty samej w sobie, z egzaminowaniem innych ludzi, czy zapamiętali coś.
1438:  Jeżeli uczycie, jeżeli prowadzicie zajęcia, korepetycje, szkolenia, dajcie ludziom źródła i zaraz zobaczycie, jakie wyzwanie będzie przed wami.
1447:  Jakież to wyzwanie?
1448:  A mianowicie takie, że okaże się, że z tych źródeł cholernie ciężko się korzysta.
1453:  Na bieżąco.
1454:  Nagle się okazuje wszystko zniuansowane, trudne, nagle nie jest tak proste jak w podręczniku, który trzeba tylko wpruć na pamięć, zakuć, zdać, zapomnieć i będzie okej.
1462:  Nie!
1463:  Nagle się okazuje, że tu jest problem, bo ten pisze co innego, tamten pisze co innego, ci się nie zgadzają, tu jest pewien konsensus, ale tutaj ktoś mówi, że o, trzeba zrobić coś nowego i nagle trzeba sobie z tym wszystkim zacząć radzić i równocześnie, równie nagle...
1477:  orientujemy się, ale ja nie mam do tego żadnych narzędzi, ponieważ ani szkoła, ani jeżeli poszliście na studia, uniwersytety, takich narzędzi wam nie dają.
1485:  Musicie sobie je sami wypracować, sami zastanowić się nad sobą, jak to jest moja metoda zapamiętywania różnych rzeczy, czy przeżywam je, czy muszę mieć stosunek emocjonalny do tych informacji, czy też muszę poznać je w formie wizualnej, a może połączenie wszystkich ich.
1500:  wszystkich tych elementów.
1501:  Może to właśnie sprawi, że będziecie skutecznie wypracowywali te swoje retencje drugiego stopnia, te, które mamy w głowie.
1507:  I będziecie ćwiczyć pamięć długotrwałą.
1509:  Ja w swojej pamięci długotrwałej na przykład potrafię mieć nawet cytaty.
1513:  które zapamiętałem.
1514:  Jakim cudem, skoro ja nie jestem w stanie zapamiętać linijki dialogowej, którą usłyszałem 6 minut temu w grze wideo?
1518:  Jeżeli nie wierzycie, to wpadnijcie na streamy, które mamy na tym kanale.
1522:  Ludzie już się przyzwyczaili, ale dla nowych osób w dalszym ciągu jest to zdumiewające.
1526:  Jak to jest w ogóle możliwe?
1528:  No tak to jest możliwe, że nie uważam tych informacji za istotnych, nie przeżywam ich.
1532:  Nie zapamiętuję więc, bo mój umysł je odcedza.
1536:  I tu przechodzimy do drugiej kwestii, która jest w moim przekonaniu równie często zaniedbywana.
1541:  Nie zastanowiliście się kiedyś, jak to jest, że w naszej rzeczywistości z jednej strony mamy strumień informacji na TikToku, Instagramie, Twitterze, gdziekolwiek indziej i nasz umysł tego nie zapamiętuje, a potem nagle naturalne dla was jest to, że macie siąść sobie przy stole i teraz macie swojemu mózgowi powiedzieć, ej, ej, teraz się przełącz z trybu filtrowania informacji i zapominania na tryb koncentracji i zapamiętywania.
1570:  Jeżeli nie jesteście dobrymi psjonikami i nie władacie mocami nadprzyrodzonymi, to nie jesteście w stanie wydawać takich rozkazów swojemu mózgowi, bo on się przyzwyczaja.
1582:  Jeśli więcej razy w życiu będziecie dawali sobie okazję do tego, żeby zapominać, a nie zapamiętywać informacje,
1590:  Spoiler alert!
1591:  Będziecie je częściej zapominać, będziecie częściej filtrować informacje niechciane i wyszukiwać, wyłuskiwać dopiero te, które oddziałują na Was wieloma bodźcami.
1601:  I tak dlatego właśnie zapamiętamy rzecz, którą racjonalnie myśląc, a teoretycznie nie oceniamy jej dobrze, nie waloryzujemy jej jakoś, ale jest dla nas...
1610:  Cenna, bo została przeżyta, bo albo wywołała śmiech, albo wywołała zachwyt, jakieś emocje.
1615:  A sucha informacja przyswojona z podręcznika, nawet powtórzona mnemotechniką 17 razy, będzie się trzymać w waszej głowie krótko.
1623:  I potem się zorientujecie, o Boże, to po co mi były te studia, po co mi była ta szkoła, skoro nic nie pamiętam.
1632:  To jest zdanie, które sobie powtarzam najczęściej,
