Musimy porozmawiać o odpoczynku
🔗 https://www.youtube.com/watch?v=iQMPYRA2ggA

0:  Na tapczanie siedzi leń, nic nie robi cały dzień.
555:  To jest problem właśnie i to dowód zarazem na to, że nasz mózg wcale nie potrzebuje tej motywacji i koncentracji, której coachowie LinkedIn'owi uczą, żeby zacząć myśleć.
569:  Nie, wręcz przeciwnie.
570:  I znane są anegdoty związane właśnie z tym zespołem stanu spoczynkowego, że najlepsze pomysły kreatywne przychodzą na przysłowiowej toalecie, pod prysznicem albo na spacerze.
582:  Dlaczego?
582:  Dlatego, że jesteśmy skoncentrowani na innych czynnościach.
585:  Najczęściej manualnych, repetytywnych, nudnych.
589:  które sprawiają, że odpływamy myślami w to miejsce, które tak rzadko nawiedzamy, jak pracujemy, mianowicie do wnętrza nas samych.
601:  I po to jest pierwszy rodzaj fizycznego odpoczynku.
606:  Jeżeli chodzi o drugi rodzaj odpoczynku po fizycznym, jest to odpoczynek umysłowy.
612:  No i tutaj od razu mówię, że problem polega na tym, że bardzo często ciężko jest odpoczywać umysłowo tym osobom, które mają pracę umysłową, kreatywną i mogą się w trakcie tej pracy irytować, mieć trudności z koncentracją i tak dalej, i tak dalej.
628:  Najczęściej pomaga w takich sytuacjach urlop, przerwa od tej czynności, dłuższa przerwa najlepiej.
636:  Myślenie takie korporacyjne, że no już piąteczek i piąteczek to pizza z naszym zespołem i potem weekendzik i prowadzi tylko do tego, że w niedzielę nie myślimy już o niczym innym tylko o tym, że w poniedziałek trzeba wstać do pracy i zresztą to samo dotyczy szkoły.
656:  I w momencie, w którym już zaczynamy myśleć, muszę jutro wstać do pracy, muszę jutro wstać do szkoły, to jest precyzyjnie ten moment, kiedy przestajemy wypoczywać, bo zaczęliśmy myśleć o tym, od czego mieliśmy umysłowo odpocząć.
668:  Więc odpoczynek umysłowy to jest coś trudnego do osiągnięcia w momencie, gdy odbywa się z czkawką co weekendową, czy co tygodniową.
675:  Ja z tego względu staram się odpoczywać umysłowo tak często, jak to jest tylko możliwe i stosować tak zwaną metodę trójpolówki, która jest możliwa w przypadku akurat mojej pracy kreatywnej.
686:  Przez część roku zajmuję się jedną częścią pracy, przez inną część inną częścią pracy i przez jeszcze inną część roku inną częścią pracy.
694:  Może być to na przykład, nie wiem, dydaktyka, pisanie artykułów naukowych albo pracowanie nad książką.
700:  Trzy różne typy aktywności.
702:  I przez to, że one się nie przeplatają, nie mam takiego wrażenia, że cały czas robię to samo i nigdy ta praca się nie kończy.
710:  Tylko właśnie jest w jakiś sposób rozłożona i umysł jest w stanie zregenerować się, nawet jeżeli wykonuje tę samą pracę w sensie zawodowym, to jednak inny jej obszar.
722:  ale naturalnie najlepsze i najważniejsze są wakacje.
726:  I jest straszne, bo jest wiele takich krajów, Stany Zjednoczone tutaj przodują pod tym względem, w których płatny urlop wypoczynkowy, zwłaszcza dwu-trzymiesięczny, po prostu nie istnieje.
736:  Kraje z największym indeksem szczęścia najczęściej są właśnie tymi, w których ten urlop wypoczynkowy jest.
742:  W Polsce jest z tym różnie, głównie z uwagi na to, że bierzemy nadgodziny i czujemy się czasem bardziej odpowiedzialni za zbezpół, niż jesteśmy odpowiedzialni za samych siebie.
751:  Trzecim typem wypoczynku, o którym chyba mówi się najczęściej, jest wypoczynek sensoryczny.
756:  Wypoczynek sensoryczny oznacza ni mniej, ni więcej to, że w momencie, w którym jesteśmy zaangażowani w siedzenie przed ekranem, w wszelakiego rodzaju aktywności, które wymagają od nas pełnej koncentracji na obrazie,
772:  Nasz wzrok się męczy i są różne sposoby, sposób grafików taki najprostszy na to, żeby oko się nie męczyło, to mieć gdzieś widok na zielone, tak zwane, na jakiś park i spojrzeć sobie tam, żeby odpoczął troszeczkę wzrok, wstać na 5 minut, rozciągnąć się, wykonać jakieś proste ćwiczenie.
792:  I w ten sposób jesteśmy w stanie zażyć tego odpoczynku sensorycznego.
796:  Tak samo poleca się, żeby minimum na dwie godziny przed snem odstawić wszystkie ekrany, zwłaszcza tym ludziom, którzy mają problemy ze snem.
803:  To jest też coś, co ja się staram robić, ale od razu mówię, że nie jest to idealne.
808:  Jest za mną ekran, który jest nad łóżkiem, to mówi samo za siebie.
813:  Więc to nie jest tak, że jestem w stanie odpoczywać na wszelkie możliwe sposoby i u mnie ten odpoczynek sensoryczny to jest coś, nad czym cały czas staram się pracować.
821:  Na pewno dobrym sposobem jest czytanie chociażby nie na tablecie, tylko na czytniku, dlatego że czytnik ma podświetlenie z boku, a nie od spodu.
831:  więc wzrok się mniej męczy i dobre jest też myślenie o naszych oczach właśnie w tego typu sytuacjach.
837:  I na przykład zainwestowanie nie w pierwszej kolejności w dobrą kartę graficzną, tylko w dobry monitor.
842:  W drugiej kolejności warto zainwestować w dobre krzesło, bo kręgosłup.
845:  Więc myślmy w pierwszej kolejności o tym, w jaki sposób ten układ pracy, który mamy, wpływa na nasze zdrowie i dobrostan psychofizyczny.
854:  I to też jest duża i ważna część tego, o czym mówimy, tego odpoczynku sensorycznego.
860:  Czwarty typ odpoczynku, chyba najtrudniejszy do osiągnięcia dla mnie, to jest odpoczynek kreatywny.
867:  On jest istotny dla wszystkich, którzy pracują w branży kreatywnej, czyli dla game designerów, dla grafików, dla programistów, dla freelancerów, dla ludzi, którzy sami sobie organizują pracę, dla naukowców itd., itd., itd.
880:  Wszystkich ludzi pracujących umysłowo, ale nie tylko, bo także kreatywnie i pamiętajmy, że pula zawodów, w których będziemy pracować kreatywnie tylko się powiększa.
889:  Nie będzie się zmniejszać.
890:  Będzie się zawsze powiększać i coraz większa liczba z nas będzie pracować kreatywnie.
894:  To oczywiście dotyczy też wszystkich uczniów.
897:  Odpoczynek od kreatywności jest bezwzględnie konieczny, nie da się być kreatywnym 10 godzin dziennie.
903:  Kreatywność to jest pewien wyż, to jest stan, w którym właśnie nasz umysł jest wypoczęty i może tworzyć, więc jeżeli nie jesteśmy wypoczęci, będziemy mieli cały spadek kreatywności, cały czas, a to z kolei będzie indukować dalsze spadki kreatywności, bo będzie nas frustrować tym, że czegoś nie zrobiliśmy.
922:  i będziemy myśleć o tym, że czegoś nie zrobiliśmy, a jeżeli będziemy myśleć o tym, że czegoś nie zrobiliśmy, nie zrobimy nowej rzeczy.
928:  I to jest taka spirala, w którą się wpada i w którymś momencie, na samym końcu tej spirali, jest najgorsze słowo, jakie możemy do siebie powiedzieć, to znaczy jestem beznadziejny, nic nie umiem, nie nadaję się.
940:  A to są słowa człowieka, który jest zmęczony, wykończony, wycieńczony, który nie wierzy w siebie, bo nie miał tego momentu eureki dawno, a moment eureki, jako się rzekło, mamy wtedy, kiedy ten nasz układ stanu spoczynkowego jest możliwy do osiągnięcia, czyli albo jak śpimy i...
956:  przyślij nam się jakiś pomysł, albo jak wypoczywamy, jak uprawiamy jakąś aktywność fizyczną, pływamy i wtedy wpadamy na najlepsze pomysły.
964:  Ja dosłownie na wszystkie pomysły swoje, które jestem kiedykolwiek dumny, kreatywne, wpadałem zawsze wtedy, kiedy nie byłem skoncentrowany.
972:  Nigdy mi się nie zdarzyło, żeby przy okazji tak zwanego syndromu pustej kartki nagle i niespodziewanie
982:  wpaść na pomysł, bo wpatrywałem się w ten migający na ekranie kursor, tak?
986:  I dzięki temu, że się wpatrywałem na ten migający na ekranie kursor, to po prostu przyszło do mnie, Boże, ja już wiem, co mam napisać, bo długo patrzyłem na migający kursor.
995:  Nie, to nie działa.
997:  To frustruje.
998:  To może sprzyjać wtedy, kiedy mamy do wykonania jakąś repetytywną, rzemieślniczą pracę.
1004:  Tak, wtedy rzeczywiście działa to coachowe stwierdzenie, no wstań i po prostu zabierz się do pracy i napierdalaj, tak, to jest rozwiązanie.
1016:  No nie zawsze.
1017:  To znaczy, jeżeli nie jesteśmy wypoczęci kreatywnie, nic nam nie da to, że wstaniemy.
1022:  Ponieważ biologicznie jest niemożliwe to, żeby człowiek sam sobie zasadził kopa w żyć i zmusił się do pracy.
1030:  A skoro nie jest to biologicznie możliwe, może to być też utrudnione psychologicznie.
1035:  Właśnie dlatego, że nasz mózg ma taką wredną właściwość, że jeżeli cały czas mówimy sobie, że mamy nie myśleć o różowym jamniku, pomyślimy o różowym jamniku.
1045:  W momencie, w którym to powiedziałem, wyobraziłem sobie jamnika z różowym futrem i się przeraziłem.
1050:  Tak funkcjonuje nasz mózg, więc nie możemy sobie mówić, teraz się muszę skoncentrować, to jest ten moment, to jest właśnie teraz muszę to zrobić, bo precyzyjnie wtedy przestajemy się koncentrować.
1061:  Dlatego na przykład jak chcę u siebie samego wytworzyć taką aurę do pracy, aurę kreatywności, to puszczam sobie zapętloną muzykę, ambientową najczęściej.
1074:  Bardzo często jest to prosty, nieangażujący utwór, może to być też lo-fi, który przez swoją repetytywność właśnie
1087:  przynajmniej u mnie indukuje takie wrażenie wykonywania powtarzalnej czynności i przez to zaczynam odpływać myślami do wnętrza, do siebie i coś się zaczyna dziać, zaczyna się dziać magia.
1100:  I drugie takie mam doświadczenie dotyczące koncentracji.
1103:  Kiedyś grałem na fortepianie i pamiętam koncert, który dawałem
1106:  I ja zawsze grałem z pamięci, z nut, znaczy bez nut, a uczyłem się oczywiście z nut, potem zapamiętywałem cały utwór, do dzisiaj pamiętam wszystkie układy, klawiszy, bo mam lepszą pamięć mechaniczną niż ejdetyczną.
1122:  Zrobiłem kiedyś straszny błąd.
1123:  Podczas tego koncertu spojrzałem na wypolerowaną klapę fortepianu i zobaczyłem w niej swoje palce migające po klawiaturze.
1132:  W momencie przestałem pamiętać, co mam zagrać, bo uświadomiłem sobie, że jestem w tej czynności.
1139:  złamałem swoją imersję, złamałem swoje zanurzenie, które było wtedy tym zanurzeniem w muzyce, czyli czymś bardzo nieuchwytnym.
1147:  I sprawiłem, że wszystko runęło nagle, cała ta iluzja runęła.
1152:  I ja sobie uświadomiłem, zaraz, zaraz, ja wykonuję absurdalną czynność, klikam palcami w klawiszy, to się nie powinno udawać.
1160:  No i właśnie.
1161:  I to był ten moment, kiedy koncentracja przyszła i wszystko zepsuła.
1165:  I...
1166:  Myślę sobie, że każdy, kto się kiedykolwiek uczył do egzaminu i popijał kolejne energetyki, będzie dobrze rozumiał, o czym mówię.
1174:  To nie jest ten moment, kiedy pochłaniamy wiedzę sami, tylko to jest ten moment, kiedy usiłujemy ją w siebie wtłoczyć.
1180:  I nic dziwnego, że po dwóch tygodniach ona się wytłacza i nie ma jej.
1185:  Ulatuje, jak fugazis wilka z Wall Street.
1190:  Kolejnym typem wypoczynku, o którym pisze nasza badaczka, jest wypoczynek emocjonalny.
1196:  I to jest coś, co chyba jest najrzadziej wymieniane jako podstawa wypoczynku, a powinno być nauczane z myślą o wszystkich ekstrawertykach i wszystkich empatycznych ludziach, którzy nie myślą o sobie, tylko chcą cały czas pomagać innym i myślą o tym, angażują się emocjonalnie.
1215:  starają się pomóc i co więcej, frustruje ich niesamowicie to, jeśli tego nie mogą zrobić, zatręczają się tą myślą i w którymś momencie uświadamiają sobie, że w tym całym dbaniu o innych zapomnieli dbać o siebie i zatracili się właśnie w tej
1234:  pożądanej bądź co bądź empatii, do tego stopnia, że zaczynają szkodzić powoli sobie, są wyczerpani, mają deficyt energetyczny.
1243:  I tutaj moja metafora, której bardzo lubię używać, samolotu.
1248:  Mianowicie, w momencie, w którym lecicie samolotem, jest zwykle taki etap instruktażu, kiedy się mówi o tym, co należy zrobić z maską tlenową, jeżeli się podróżuje z dzieckiem.
1261:  I odruch pierwszy nasz, nie no oczywiście, dajemy maskę dziecku.
1267:  Wpierw sobie, potem dziecku.
1270:  Dlatego, że jeżeli mamy maskę dziecku i omsknie nam się ręka, bo zaczniemy się dusić, to wtedy jest zagrożenie, że zginie i dziecko, i my.
1280:  Więc wpierw musimy sobie dać tę maskę sobie, a potem natychmiast dziecku.
1284:  I dokładnie to samo dotyczy kontroli swoich rezerw energetycznych.
1291:  Jesteśmy w stanie...
1293:  Do only this much for the others.
1297:  Zrobić tyle, jak mawiają Anglosasi, ile jest w ogóle fizycznie możliwe dla innych.
1303:  I nic więcej.
1305:  Bo musimy zostawić dla siebie tę energię.
1308:  Jeżeli my będziemy na deficycie energetycznym i zaczniemy pomagać innym, skończy się to na tym, że ani nie pomożemy dobrze drugiemu człowiekowi, ani nie pomożemy dobrze sobie.
1319:  Więc jeżeli chcemy pomagać innym, dbajmy o swój odpoczynek emocjonalny i jeśli zaangażowaliśmy się, czy to w związku, czy to w relacji zawodowej, w pomoc drugiej osobie, potem niech przyjdzie etap pomocy samemu sobie.
1334:  odbudowania rezerw energetycznych, jeżeli to była trudna sytuacja, jeżeli pomagaliśmy komuś z depresją, czego nawiasem mówiąc się nie powinno robić, powinno zawsze się dążyć do tego, żeby druga osoba poszła na terapię, ale oczywiście, że będziemy empatycznie próbować pomóc.
1348:  Pamiętajmy, żeby się w tym nie zatracić, bo odpoczynek emocjonalny jest bardzo istotny, zwłaszcza wtedy, kiedy jesteśmy zaangażowani w bardzo intensywny sposób.
1360:  No i wreszcie jest odpoczynek społeczny, który też przydaje się ekstrawertykom, bo czasem jest właśnie taki moment, że trzeba odpocząć sobie od tych wszystkich relacji społecznych i wycofać się do siebie, zastanowić się nad swoją egzystencją, tym, kim jesteśmy, co chcemy w życiu robić.
1378:  Dlaczego jest tak, że po szkole i po studiach nagle wpadamy w panikę, że my w zasadzie nie wiemy, co chcemy robić w życiu?
1384:  Ponieważ nikt nam nie dał szansy na to, żebyśmy się nad tym zastanowili.
1388:  Kiedy byśmy mieli to zrobić, jak byliśmy zaangażowani cały czas w życie rówieśnicze, w odpieranie bullyingu, w radzenie sobie ze stresującymi sytuacjami w szkole, z egzaminami, z biopolityką i różnych instytucji edukacyjnych, w których jesteśmy, także na studiach, potem z opresyjnym szefem.
1403:  Kiedy w zasadzie mamy to zrobić?
1405:  Kiedy mamy zastanowić się nad sobą?
1407:  A wiem kiedy, jak śpimy, a nie przepraszam, ponieważ odejmujemy sobie czas na sen po to, żeby na przykład obejrzeć coś na Netflixie albo zagrać w grę komputerową, ponieważ mamy poczucie wtedy przesypiania życia, przesypiania tego czasu na odpoczynek.
1420:  Potrzebujemy tych kilku godzin dla siebie i nie przesadzam mówiąc o kilku godzinach.
1426:  żeby znaleźć w nich miejsce na te różne przejawy odpoczynku, bo nie wystarczy, jeżeli będziemy odpoczywać tylko fizycznie, albo jeżeli będziemy odpoczywać tylko emocjonalnie.
1438:  Musimy zastanowić się, jaki typ odpoczynku jest nam potrzebny.
1442:  I wreszcie jest też odpoczynek duchowy, o którym mówi nasza autorka.
1446:  Ten, który sprawia, że myślimy o tym, co poza.
1449:  I oczywiście możemy nie być wierzący, ale wtedy będziemy w dalszym ciągu poszukiwać jakiejś
1456:  duchowej, intelektualnej, abstrakcyjnej wartości, która jest czymś addytywnym, dodatkowym względem naszej nudnej, codziennej egzystencji.
1466:  Czyli nie wiem, będziemy czytać filozofów albo słuchać mądrych dokumentów na Netflixie, dokształcać się.
1472:  To jest właśnie ten obszar skomplikowany,
1475:  spiritualny, nazwijmy, duchowy, intelektualny, abstrakcyjny, metafizyczny, jakkolwiek chcemy to nazwać, ten, w którym sięgamy poza, zastanawiamy się nad, nie wiem, naszymi przodkami, może sobie zrobimy drzewo genealogiczne.
1487:  Wszystko jedno.
1489:  To naprawdę, i wierzcie mi, to nie chodzi o to, to tak, że tutaj przytyk mały w stronę wszystkich osób wierzących.
1496:  To nie chodzi o to, żeby pójść do kościółka i wyklepać paściorek to co niedziela, tak?
1501:  Nie.
1502:  No nie o to chodzi.
1503:  To chodzi o dojrzały namysł duchowy.
1506:  Więc chodzenie do kościółka co tydzień i klepanie paciorków to jest dokładnie ten sam problem, który mają ludzie, którzy chodzą sobie codziennie do pracy i klepią te 8 godzin bezrefleksyjnie, a potem wracają wykończeni do domu i myślą tylko o tym, żeby pójść do łóżka, zawinąć się w kokon i obejrzeć Netflixa.
1523:  I to jest dokładnie ten sam problem.
1525:  To znaczy problem mechanizacji naszego rozwoju osobistego i naszego życia zarazem.
1532:  I żebyście nie myśleli, że odwołuję się tylko do TED Talka Sandry Dalton Smith.
1537:  Nie, w żadnym razie.
1538:  Są badania naukowe prowadzone przez psychologów.
1542:  Książka Cloudy Hammond, The Art of Rest, którą polecam naprawdę każdemu, kto uważa, że to wszystko, co ja powiedziałem, to jest jakaś utopia i idylla.
1552:  i kto zmaga się z przemęczeniem i nie wie, w jaki sposób sobie z tym poradzić.
1557:  Podtytul tej książki jest bardzo znaczący.
1559:  Poszukiwanie wytchnienia we współczesnym świecie.
1562:  Kiedy jest potrzebne wytchnienie?
1564:  Wytchnienie jest potrzebne wtedy, kiedy się dusimy, kiedy jest tak dużo już bodźców, tak dużo rzeczy się dzieje, taka duża presja ze strony rodziców, pracodawców, nauczycieli, partnerów życiowych, że nie wiemy, gdzie jesteśmy w tym wszystkim my i zaczynamy się dusić, potrzebujemy wziąć oddech.
1583:  I tego wytchnienia, jak pisze Claudia Hamon, możemy szukać naprawdę w wielu różnych aktywnościach.
1590:  Może być to zarówno sport, może być to przechadzka po lesie, może być to gra komputerowa.
1597:  Cokolwiek, co nas będzie faktycznie i autentycznie relaksować.
1601:  Bo pamiętajmy, i to jest też pewien paradoks, o którym się zapomina, że nie każda gra komputerowa relaksuje.
1608:  Julian Kuklic mówi o takim zjawisku jak playber, czyli połączenie...
1612:  Play, gry, zabawy i labor, pracy, pracozabawa.
1618:  To jest ten moment, kiedy grindujemy w grze 40 poziomów, żeby wreszcie móc się pobawić, tak?
1625:  To nie jest odpoczynek przez ten etap grindowania, ten etap, w którym się stresujemy, że musimy zrobić N rzeczy, żeby wreszcie...
1633:  zanurzyć się w tym świecie.
1635:  Wybierzmy sobie taki tytuł, w którym faktycznie wypoczniemy, jeżeli jesteśmy przemęczeni, przepracowani.
1641:  To samo dotyczy także sportu.
1644:  Wybierzmy taką aktywność fizyczną, która jest ogólnorozwojowa.
1648:  Może, nie mówię, że to dla każdego działa, ale może nie jest dobrym pomysłem
1652:  Od razu pójście w sport zwyczynowy, bo zauważcie, że grywalizacja aktywności sportowej jest też dużym zagrożeniem.
1660:  To znaczy tak samo jak codziennie musimy zwiększać swoje wykładniki, wymierną wartość naszej pracy i coraz więcej te słupki mają iść tak w górę i stąks i aaaah!
1672:  To tak samo może być ze sportem, że jeszcze kilometr dalej, jeszcze więcej, szybciej pobiegnę, lepiej pobiegnę i potem ortopeda, tak?
1680:  Na przykład, bo nie wiem, biegaliśmy źle albo nie konsultowaliśmy się z trenerem, więc to mówię oczywiście do osób, które się nie znają na sporcie, chcą wypoczynku i nagle sobie pomyślą,
1691:  tak, tak, moi znajomi, którzy uprawiają sport od siódmego roku życia, pływają, jeżdżą na rowerze, chodzą po górach, tak, i oni teraz biegają, to ja też zacznę biegać, pójdę sobie, kupię sobie New Balance'a i będę biegał, mam taki fajny zegarek i będę sobie na nim patrzył, puls mój, jak to wszystko rośnie i kalorie spalam.
1711:  No i potem się okaże, że coś robimy źle i zdrazimy się do sportu na przykład na całe życie i będzie jeszcze gorzej.
1716:  Więc wybierzmy coś, co jest nawet krótkotrwałe, trwa 20 minut, pół godziny, ale przynajmniej wyjdziemy na zewnątrz, odetchniemy świeżym powietrzem, popatrzymy na zielone, wrócimy.
1728:  Jak jesteśmy w Krakowie przerąbane, wtedy jest smog.
1731:  Ale postarajmy się znaleźć w tym wszystkim pewien balans i równowagę.
1736:  I o właśnie balansie
1737:  W balansie i równowadze jest ta książka o tym wytchnieniu, które mamy znaleźć dopasowując do siebie jedną z tych metod wypoczynku, o której dzisiaj wam powiedziałem.
1749:  Jedną z, dwie z, trzy, może wszystkie, nie wiem, w zależności od naszych indywidualnych potrzeb.
