Jak walczyć z wypaleniem
🔗 https://www.youtube.com/watch?v=rvnoWRo1gno

0:  Mawia się, że najcenniejszą z walut jest czas.
726:  Albo która próbowała tego i nie widzi, że to jest dla niej.
731:  Rozmowa z samym sobą oznacza, że musicie wygospodarować czas dla siebie
736:  w którym na przykład nic nie robicie.
739:  I nie wyrzucać sobie, że, ale nic, ja nie mówię, żeby przeglądać TikToka, nie, nic.
743:  Po prostu myślicie nad sobą, nad tym, co się dzieje w waszym życiu.
748:  I jeżeli dzieją się złe rzeczy, to staracie się myśleć o tym, co was od tych złych rzeczy odciągnie.
755:  Dlatego ja bardzo często uciekałem w różne fikcyjne światy.
759:  Ja do nich nie uciekałem po to, żeby zapomnieć o problemach.
764:  Ja do nich uciekałem, żeby nie zwariować.
768:  Mam taką teorię, że świat fikcyjny wyobcowuje nas porówno, wszystkich, nieważne czy jesteśmy Marokańczykiem, Senegalczykiem, Polakiem, Ukraińcem czy Amerykaninem.
779:  W związku z powyższym tam bardzo często możemy się spotkać z innymi ludźmi i nawiązać kontakt, którego byśmy nie nawiązali w niejednej innej rozmowie przypadkowej w pracy, w szkole, w domu, gdziekolwiek indziej.
793:  Druga zaleta tego podejścia jest taka, że bardzo często możemy formę eskapizmu, o którym nie myślimy w pierwszej kolejności.
800:  Takim eskapizmem może być muzyka.
803:  Znalezienie godziny w waszym dniu, żeby nałożyć słuchawki, usiąść na kanapie i posłuchać jednej płyty od początku do końca i myśleć w trakcie, jak słuchacie, albo po prostu dać myślom sobie spokojnie płynąć, to też może być taki eskapizm.
821:  Już wyrządzicie sobie przysługę, której ja sobie nie wyrządzałem w takim stopniu, w jakim powinienem, a zważcie, że mówi to do was człowiek, który podczas najgorszych swoich dni pracoholizmu, bo w sumie należy nazwać pracoholizmem to, co ja miałem, więc w toku tych swoich najgorszych dni wciąż znajdował czas 2-3 godziny nagranie, czytanie, oglądanie filmów, seriali, a są ludzie, którzy tego nie robią i wypalają się jeszcze szybciej.
849:  A mnie jednak się udało jakoś, na powrót, rozniecić w sobie iskrę.
854:  No ale to dlatego, moi drodzy, że ja przeszedłem do innego tematu, do innej dyscypliny.
859:  Ja już się nie zajmuję literaturą.
861:  Pisałem recenzję za recenzją, napisałem kilkaset recenzji, różnych książek i powieści.
867:  Kochałem czytanie różnych gatunków.
869:  Została mi już tylko fantastyka.
871:  Jedyna rzecz, której mi nie zdołały obrzydzić studia.
875:  Oczywiście sarkam bardzo często w różnych dyskusjach, że klasykę znam, bo znam, że współczesną literaturę znam, bo znam, ale jak ludzie pytają mnie, dlaczego wybieram fantastykę, to prawda jest taka, że wybieram po prostu literaturę, którą kochałem za dzieciaka i dalej ją czytam, ponieważ to pozwala mi sięgnąć do czasu z mojego życia, który nie był jeszcze skażony tym złem, od którego starałem się później uciec.
902:  Więc tak, jeżeli mówicie mi, że ktoś wam obrzydził na przykład muzykę albo obrzydził sztukę, teatr, książki,
910:  Bardzo możliwe, że musicie po prostu znaleźć sobie inne medium, albo że musicie sięgnąć w swej pamięci do czasów, kiedy to medium jeszcze was nie drażniło i zastanowić się, co w nim kochaliście.
923:  Bo sztuka po to jest, moi drodzy, ona nie tylko nas oczyszcza, tak jak Grecy mówili o katarzis, ona daje nam coś znacznie ważniejszego, to znaczy daje nam dystans i oddech.
934:  W świecie i w czasach, w których cały czas gonimy za kolejnymi deadline'ami, nigdy
940:  Nigdy nikt nie daje nam się cieszyć z sukcesu.
944:  Jedyny sposób na zachowanie dystansu, to jest właśnie zyskanie tych kilku minut na posiedzenie sobie przy kominku metaforycznym i rozniecenie tego ogniska, rozniecenie tego płomienia, zadbanie o to, żeby on nie zgasł.
960:  Bo prędzej czy później wrócicie znowu do pracy, znowu będziecie robili bezsensowne rzeczy, tak jak David Graeber pisał o bullshit jobs, podlinkuję wam w opisie tę książkę.
970:  gównianych pracach, mówiąc wprost, które wykonujemy i co do których wiemy, że one po prostu służą tylko temu, żebyśmy dostali kwit z wypłatą.
980:  Nic nie produkujemy, nic nie tworzymy, a człowiek jest istotą, która opowiada historię, która tworzy, która emocjonuje się tym, no nie jest w stanie żyć poza całkowicie tym światem.
991:  Nawet jeżeli ktoś nigdy nie zdobył jakichś szlifów literackich, artystycznych i po prostu opowiada dobre dowcipy,
999:  to wciąż opowiada historię.
1001:  Nie możemy się kompletnie odciąć od tego.
1004:  Więc jeżeli ktoś nam odbiera sztukę i odbiera nam możliwość ucieczki, to musimy w ramach swojego własnego instynktu samozachowawczego zadziałać, żeby sobie tego odebrać i nie dać.
1015:  Bo naprawdę nie da się w nieskończoność przeżyć na strzałach dopaminowych, które daje nam rozrywka,
1023:  która nie ma charakteru narracyjnego, artystycznego.
1026:  Wiecie dobrze, o jakiej rozrywce mówię.
1028:  Nie zamierzam absolutnie niczego stygmatyzować w tym momencie żadnego z mediów, ale każdy z nas ma taką rozrywkę, co do której dobrze wie, że nie jest sztuką, tylko jest rozrywką.
1037:  Wyłącznie.
1039:  I nie, nie mówię tu o grach komputerowych, nie mówię tu o mangach, filmach, anime, serialach, nie.
1045:  Mówię tutaj na przykład o reality show różnego autoramentu.
1048:  Albo o rzeczach, które po prostu są płynną, my na nie nie zwracamy uwagi, bo potrzebujemy zabić ciszę.
1055:  O tym mówię.
1057:  Bo jak oddajemy się tego rodzaju... ...płochej rozrywce, to dobrze wiemy, że ona taka jest.
1064:  I póki sobie to uświadamiamy, to jest wszystko w porządku.
1067:  Natomiast absolutnie nie należy tego stygmatyzować, bo to nie ma żadnego sensu.
1071:  Wiele razy mówiłem, że głównym powodem, dla którego jesteśmy odsuwani od kultury jest klasizm i snobizm.
1079:  To właśnie on sprawia, że przestajemy sięgać po te płyty, których słuchaliśmy w dzieciństwie.
1086:  Że przestajemy wzruszać się na, nie wiem, słoniku Dumbo.
1091:  Przestajemy oglądać filmy Disneya, bo to dla dzieciaków.
1095:  Albo inne głupie rzeczy robimy, ponieważ ktoś nam coś powiedział.
1100:  Nie.
1101:  Jeżeli jesteś w stanie być równocześnie menadżerem wysokiego szczebla i cieszyć się z kolejnego filmu Pixara w kinie, to znaczy, że nie dałeś sobie zabić wewnętrznego dziecka.
1114:  A to uważam osobiście, że ta kreatywność i to wewnętrzne dziecko, o którym często mówię, są bardzo blisko siebie rzeczy, bo jako dzieci jesteśmy mega kreatywni, ciekawi właśnie jesteśmy tymi pytajnikami, które zamienia się później na kropki.
1128:  Wewnętrzne dziecko razem z tym ogniem kreatywności jest po prostu zastępowane przez tego zimnego nadzorca z batem, który mówi nam, jesteś beznadziejny, możesz lepiej, kiedyś było dobrze, a jakbyś taką decyzję podjął, to byłoby lepiej, a jakbyś inną decyzję podjął, to kto wie co, a ten zarabia więcej od ciebie, a ten ma więcej od ciebie, a ten ma lepszego partnera, a ten ma gorszego partnera i porównuj się z wszystkimi.
1154:  Tak, bo to z pewnością jest bardzo zdrowe.
1157:  żeby nieustannie znajdywać kolejne powody do tego, żeby nie cieszyć się kolejnym swoim dniem, bo może być lepszy, bo może być coś szybciej zrobione, bo może być coś lepiej zrobione.
1169:  Tak, zawsze może być lepiej zrobione.
1171:  Oczywiście, że tak.
1172:  Cały system, w którym żyjemy ekonomicznie, opiera się na tym, że nie ma końca.
1177:  Zawsze jest następne ogniwo w łańcuchu dostaw.
1181:  Zawsze jest następny kamień milowy po poprzednim kamieniu milowym.
1185:  Naprawdę niewiele jest osób, które potrafią siąść ze swoim zespołem i powiedzieć, słuchajcie, ostatnie dwa miesiące piliłem was strasznie, teraz przez najbliższe dwa miesiące będę cieszyć się razem z wami z wykonanego projektu.
1200:  No nikt tak nie mówi praktycznie.
1203:  I to jest no coś, co jest naturalne w serialiach, w których no niestety musimy gonić za kolejnymi projektami po to, żeby napędzać cały czas tę maszynę.
1212:  Sztuczną maszynę, nie mającą nic wspólnego z ogniem kreatywności, nie wyrzyskującej w żadnym razie dobrze tych momentów, w których my wiemy, że jesteśmy najbardziej produktywni, kreatywni, płodni twórczo.
1228:  Gdyby tak było, to dla nikogo w pracy nie byłby problem, jakbym powiedział na przykład, no nie mówię akurat o mojej pracy, ale hipotetycznie o dowolnej.
1237:  Słuchajcie, ja potrzebuję jednego dnia, ja wam wszystko dowiozę z najbliższego tygodnia, pozostałe dni odpoczywam.
1244:  No zadajcie sobie pytanie, ile osób by wyśmiało takiego człowieka, a tymczasem nauka mówi, przeprowadźmy eksperyment.
1252:  Jeżeli, jeżeli Ci się uda, proszę bardzo, możesz tak pracować.
1255:  I są takie firmy, to się nazywa ładnie turkusowe zarządzanie, które pozwalają sobie na tego rodzaju eksperymenty i nawet jeżeli, nawet jeżeli nie mają słupków na poparcie swoich sukcesów, to wiecie co mają?
1269:  Mają zadowolonych i kreatywnych ludzi.
1272:  I to jest ich sukces.
1274:  To jest może sukces niewymierny, ciężko policzalny, trudno dokumentowalny, ale jest to nieprawdopodobny sukces.
1281:  I o to chodzi, moi drodzy, także w edukacji, o której tak często mówię na tym kanale, bo tam powinno chodzić o to, żebyśmy nauczyli się kreatywności, nauczyli się przede wszystkim dbać o nią i rozpoznawać, kiedy są nasze momenty kreatywne, kiedy jest moment na odpoczynek, a kiedy jest moment na projekt.
1298:  Nie byłoby wtedy problemu z prokrastynacją, czyli z łaciny, odkładaniem na później.
1302:  Prokrastinus po łacinie to odkładać sobie jakiś projekt.
1306:  Więc jak też ktoś wam myli prokrastynację z odpoczynkiem, to zmyjcie mu głowę.
1311:  Bo prokrastynacją nie jest to, że sobie odpalacie fajny film, na który czekaliście już dawno.
1316:  No powiedzmy, że nie na Netflixie, bo wiemy, co się dzieje z Netflixem.
1322:  Ale film, to gdziekolwiek, na jakiejkolwiek platformie, na który czekaliście.
1327:  Albo do kina idziecie.
1329:  Nie dajcie sobie wmówić, że to jest prokrastynacja.
1331:  Prokrastynacja byłaby wtedy, jakbyście siedzieli przed projektem w kompie i zamiast robić ten projekt, to byście sobie klikali w mediach społecznościowych cokolwiek, żeby tylko mysz się ruszała i programy monitorujące aktywność w firmach rejestrowały jej ruchy.
1345:  To jest prokrastynacja.
1347:  Albo wymyślacie sobie jakiś inny projekt, który jest niby ważny, ale tak naprawdę jego wyłączną funkcją jest to, żeby tamten przepchnąć dalej.
1355:  I żebyśmy o nim nie myśleli.
1356:  To jest prokrastynacja.
1358:  I to robimy wtedy, kiedy nie jesteśmy kreatywni, bo ktoś nam powiedział, masz być kreatywny od 8 do 16.
1364:  Co to w ogóle jest za tekst?
1367:  A co jeśli ja jestem kreatywny od 17 do 23?
1371:  Podaję przykład bardzo częsty w dyskusjach osób z chronotopem nocnym i z osobami z chronotopem dziennym, czyli tzw.
1378:  słów ze skowronkami.
1380:  To jest podstawowa rzecz, którą powinien każdy zarząd, każdy management rozpoznać.
1384:  To znaczy, kto wśród pracowników jest w takim systemie zmianowym, a kto w innym.
1389:  Kto jest produktywny czy kreatywny wtedy, a kto nie.
1392:  No ale skąd ludzie mają to wiedzieć, jak nikt ich tego nie nauczył?
1396:  A tego się nie uczy, moi drodzy, przez to, że chodzicie na lekcje 45-minutowe rozdzielane przerwami 5-minutowymi, bo w ten sposób się możecie co najwyżej nauczyć tyrania własnego zdrowia, tak jak ja styrałem własne zdrowie.
1409:  Tylko uczycie się tego przez rozmowę z drugim człowiekiem, który jest tutorem, przewodnikiem, doradcą zawodowym, mądrym coachem, terapeutą.
1418:  Albo przyjacielem, który jest ogarnięty.
1420:  Tak się uczycie rozpoznać momenty kreatywne.
1423:  Albo w rozmowie z samym sobą.
1426:  Zadajecie sobie pytanie, na przykład takie prowokacyjne, jak ja zacząłem kiedyś.
1431:  No i co z tego, że jest 2.30, ja się nagle obudziłem.
1435:  Mam próbować zasnąć?
1437:  Nie.
1438:  Ja sobie podejdę do kompa i coś napiszę.
1441:  I potem się okazywało, że to były najlepsze moje teksty.
1444:  Totalnie randomowo, losowo.
1446:  Albo inny przykład.
1448:  Wpadałem na pomysł, wiem, jest środa akurat, nie miałem żadnego zlecenia, więc pójdę sobie na spacer.
1455:  Tak od.
1456:  Ale cóż, 23, co z tego, że jest 23?
1458:  Ale byłaby czwarta nad ranem albo 11, jakie to ma znaczenie?
1462:  Chcesz iść, robisz to.
1464:  I póki możesz.
1465:  A bardzo często jest tak, że w tym okresie, kiedy właśnie przeżywamy swój pierwszy spadek produktywności i wypalenie, czyli niestety obecnie okres studiów i późnej szkoły, że wtedy jeszcze mamy czas na takie rzeczy, nie ma rodziny, nie ma zwierząt do opieki, kredytu, spłacenia, mieszkania do ogarnięcia itd.
1481:  I możemy mieć takie odpały.
1484:  Ale niech to będą odpały dla nas, nie dla znajomych, których nie chcemy rozczarować i wtedy sobie przyszyjemy uśmiech, bo jest pajac i pajac się musi uśmiechać, tak?
1493:  Bo jest impreza.
1495:  Nie, zrób coś dla siebie.
1498:  Podziękujesz sobie potem.
1500:  Bo w którymś momencie człowiek zaczyna doceniać takie momenty sam na sam.
1505:  Bo co możesz wtedy zrobić?
1506:  Możesz tylko myśleć.
1508:  To jest wszystko, co nam wtedy zostaje.
1510:  I takie dawanie sobie swobody na błądzenie myślami, to jest luksus i komfort dla wielu osób, które już są na etapie pracoholizmu i nie mogą z niego wyjść.
1522:  albo są na etapie wypalenia i nie mogą rozniecić na nowo iskry.
1527:  I chcieliby znaleźć taki moment, ale są tak strasznie zajęci wyrzucaniem sobie i samobiczowaniem się, że nawet nie wpadną na to, że to jest możliwe.
1536:  Więc zrobienie czegoś głupiego nawet dla siebie, czegoś, co jest irracjonalne, bezsensowne, to może być wbrew pozorom coś, co przyczyni się do nagłego wzrostu waszej kreatywności w jakimś innym obszarze, w jakiejś innej dziedzinie.
1550:  Też mówiłem wam sporo w innych materiałach o metodzie trójpolówki, którą ja stosowałem.
1555:  Tak, nie mogłem zrobić jednej rzeczy.
1557:  Okej, trudno, przechodzę do innego projektu, do innego zadania.
1563:  Tam też sobie nie poradziłem?
1564:  Trudno, przechodzę do trzeciego.
1566:  Może tam się uda i do skutku.
1569:  A potem jak wreszcie złapiecie w jednym miejscu, a, to jest to, cuglę i pędzicie z tym koniem wyścigowym naprzód, to nie zażynajcie go do samej mety, co?
1583:  W trzech czwartych odpuśćcie.
1586:  Wróćcie do innego projektu.
1589:  Żeby została tam zawsze taki bufor w tej głównej rzeczy, którą chcecie się zajmować, żebyście nigdy nie dojechali do stu.
1597:  Bo jeżeli się dojedzie do stu, to człowieka kusi, żeby sprawdzić, co jest, jak pociśniemy tę wajchę dalej.
1604:  Co będzie, jak będzie 110?
1605:  A co będzie, jak będzie 120?
1607:  A może stać mnie na 140?
1609:  I co mi z tego, że pracowałem na 180%?
1612:  Jedyne co mi z tego, to to, że ludzie, których spotykałem, wtedy patali mnie po ramieniu i mówili, Krzysiu, Krzysiu, jaki ty zdolny, ha, ha, ha, ha.
1620:  I co mi z tego?
1623:  Dzisiaj brutalnie mówię, jak ktoś opowiada mi właśnie takie pracoholiczne kawałki typu, że, o, wiesz co, ja teraz 20 godzin pracuję, no, teraz jest wprawdzie 20, ale to jest moje śniadanie, to ja tylko mówię, okej, nie ma problemu, tylko wiesz co, musi cię być stać.
1641:  Musi ci być stać na prywatnych lekarzy, musi cię stać na prywatne badania, o, albo przypadkowo się zdarza, że musisz wywalić 4-5 tysięcy złotych, bo te badania są teraz i później nie będzie i przez najbliższe 4 miesiące.
1656:  Mam nadzieję, że masz taką gotowiznę w zaskórniakach swoich.
1661:  Albo żeby pojechać do innego miasta, żeby znaleźć tam lekarza, ponieważ wyjesz z bólu.
1666:  Bo ci wysiada po kolei wszystko.
1668:  I tak, możemy oczywiście memić, moi drodzy, że to dotyczy, że ludzie po 30 już kręgosłup boli.
1674:  Tylko, że problem polega na tym, że czas jakiś temu ludzi po 40-50 dotykały takie rzeczy.
1679:  A teraz zaczęły dotykać pokolenie moje, czyli pokolenie milenialsów.
1685:  A potem czytamy w raportach, że zaczyna to dotykać ludzi, którzy mają 20 lat.
1689:  I przestaje być wesoło.
1693:  bo za bardzo żyłujemy swoje organizmy.
1696:  I zauważcie, ja nie mówię, odpuścić kompletnie, nic nie robić.
1699:  Ja mówię, nie rób 100%, rób 75% i to być może wystarczy, bo zostawisz sobie ten bufor, te 25%, które być może pozwolą Ci później, następnego dnia, łatwiej rozniecić płomień kreatywności.
1716:  Ten buf, powiedzmy, że to jest, trzymając się cały czas już tej wyświechtanej metafory, że to jest ten żar, który jest trzymany przez popiół.
1723:  Dorzucisz brewiona, dorzucisz trochę chrustu, podpalisz i znowu się tli ogienek w kominku.
1732:  O to chodzi, moi drodzy.
1734:  Tylko tyle.
