Dlaczego testy na czas są ZAWSZE głupie
🔗 https://www.youtube.com/watch?v=WRX9AiaZwBg

0:  Czy egzaminy na czas są skuteczne?
633:  I naprawdę nie chcę pisać tego akapitu wcześniej, który będzie się rozprawiał z mitami, ale bardzo często muszę.
641:  I dlatego potrzebuję większej objętości tekstu, a skoro potrzebuję większej objętości tekstu, potrzebuję więcej czasu, żeby zebrać myśli i to zrobić.
650:  Oczywiście czas również pozwala nam spojrzeć na dany temat z różnych perspektyw.
655:  Pozwala też ostudzić emocje, spojrzeć z dalszej perspektywy, oszacować to, przedyskutować z kimś innym.
664:  W sytuacji egzaminacyjnej, w której ktoś nam narzuca tego rodzaju limit czasowy, automatycznie pozbywamy się możliwości zadawania ludziom zadań kreatywnych, czyli takich, które faktycznie sprawdziłyby ich wiedzę i skonfrontowały z realnym do rozwiązania problemem.
680:  Wyobraźcie sobie na przykład, że macie coś zakodować i ktoś wam mówi, że macie na to 5 minut.
685:  To nie są realne sytuacje, z którymi się będziecie kiedykolwiek mierzyć w życiu zawodowym, a jeśli będzie takie miejsce pracy, które czegoś takiego wymaga, należy natychmiast się zwolnić i iść do innej pracy, ponieważ znak to, że macie do czynienia z debilem,
700:  który nie będzie chciał zrobić dobrego produktu i go zaprojektować, tylko będzie chciał zarobić szybki pieniądz.
706:  A to nigdy nie jest dobry zwiastun, bo zazwyczaj prowadzi to do tego, że zespół jest wykończony, że jest dużo nadgodzin i że produkty, które są produkowane przez tenże zespół, no nie spełniają oczekiwań klientów, bo na przykład przyspiesza się proces ich produkcji.
721:  Zobaczcie, że to przyspieszanie absolutnie nie zawsze jest pozytywne.
727:  Robienie czegoś na chybcika i na szybko nie jest traktowane w naszej cywilizacji nawet jako coś automatycznie dobrego, a jednak ci studenci, którzy szybko coś rozwiążą, to dobrzy studenci albo dobrzy uczniowie.
738:  Gdzie tu sens i logika?
740:  No nie ma tutaj sensu i logiki, nie mówię zdroworozsądkowo, tylko znowu na podstawie tych konkretnych badań, które się tutaj pojawiają.
747:  Następnie, testy, które są znowu obarczone jakimikolwiek limitami czasowymi, nie są miarodajne.
753:  Dlaczego nie są miarodajne?
756:  No cóż, no mogę się tylko uśmiechać, ponieważ zacząłem od tego ten film.
760:  Zakładamy, że większość egzaminatorów chce się dowiedzieć, jak przyswoili wiedzę ich uczniowie czy studenci, a nie to, w jaki sposób reagują na ograniczenia czasowe.
771:  Sprawdzacie w ten sposób tylko to, jak szybko ktoś jest w stanie wykonać jakieś zadanie.
777:  I jeszcze do tego wszystkiego oczywiście są na wielu egzaminach, zwłaszcza na uczelniach, dodatkowe instytucje nadzoru.
784:  Pamiętam mój egzamin z gramatyki historycznej, gdzie asystenci profesora przechadzali się cały czas hałaśliwie po sali, zaglądali przez ramię, czy oczywiście ktoś nie ściąga, no i skutkowało to tylko tym, że ludzie w większym stresie pisali.
798:  Do tego wszystkiego jeszcze nakładało się świadomość, że jeśli się tego egzaminu nie zda, no to wtedy ma się w zasadzie pierwszy rok już z głowy i można podchodzić do następnego, bo egzamin z gramatyki opisowej historycznej czy egzamin z literatury staropolskiej na moich studiach polonistycznych były traktowane jako takie, które są absolutnie najważniejsze.
817:  Jeżeli się ich nie zda, to w zasadzie cały pierwszy rok jest już do restartu.
822:  To wystarczy w zupełności jako stresor?
825:  To nie, to jeszcze nakładamy ten jeden.
827:  Półtorej godziny na egzamin.
830:  Rozumiem, że profesorowie mają tylko półtorej godziny w ciągu dnia?
834:  Bo oczywiście to moglibyśmy tłumaczyć względami praktycznymi w przypadku Centralnej Komisji Egzaminacyjnej, że tak, że to jest trudne logistycznie i tak dalej, bo wcale nie istnieją egzaminy zdalne i zanim zaczniecie wrzeszczeć, że one są niemiarodajne, przypominam, że British Council razem z Cambridge robili tego rodzaju egzaminy w trakcie COVID-u, FC, CAE i tak dalej i jakimś cudem one były wydawane, w związku z powyższym tak, jest to realnie do zrobienia.
859:  I wcale też nie oznacza to wyższego kosztu.
862:  Da się to zrobić inaczej.
864:  No i wreszcie, wcale nie powiedziane, że nie można dać zadania o charakterze praktycznym i kreatywnym.
870:  na którego wykonanie będzie trzeba mieć po prostu czas.
875:  I w swoim czasie podejść do tego rozwiązania i zapewniam Was, że kwestia ściągania jest do uniknięcia.
882:  Dlaczego to wiem?
883:  Ponieważ od sześciu lat tak egzaminuję.
886:  Najdłuższy mój egzamin, jako się rzekło, dwa tygodnie.
889:  I tak się składa, że poziom zdawalności dalej się kształtuje na poziomie 70-80%.
894:  Ciekawe dlaczego.
896:  Jak to jest, że ludzie mają dwa tygodnie na zrobienie egzaminu,
901:  Mają linki do źródeł, mają linki do PDF-ów, mogą korzystać z internetu, mogą korzystać z telefonu, mogą korzystać ze wszystkiego, z moich własnych publikacji, z moich książek, wszystko jest dostępne w murze, a wciąż ktoś nie zda.
913:  Ciekawe dlaczego.
913:  Może dlatego, że rolą egzaminu nie jest sprawdzenie tego, jak szybko ktoś googla, tylko rolą egzaminu jest sprawdzić, jak dobrze coś zrozumiał.
922:  A rozumienie jakiegoś zagadnienia, o, to wcale już nie jest coś, co egzaminy na czas sprawdzają.
928:  Egzaminy na czas sprawdzają to, jak szybko jesteśmy w stanie sięgnąć do naszej pamięci.
933:  To, co więcej, jest najczęściej pamięć krótkotrwała, ludzie zakuwają do egzaminu,
937:  piją energolę, co nawiasem mówiąc, wcale nie wpływa pozytywnie na wzrost umiejętności poznawczych i kognitywnych, podlinkuję wam w tej sprawie inny film, jeśli nie zapomnę, a mam nadzieję, że nie zapomnę.
946:  Do tego wszystkiego jeszcze nie śpią, w związku z powyższym ślady pamięciowe w pamięci krótkotrwałej nie utrwalają się, nie przechodzą do pamięci długotrwałej i potem dziwią się, że tydzień po takim egzaminie nic nie pamiętają.
957:  Czyli nie dość, że nie sprawdzamy
959:  poziomu zrozumienia danego zagadnienia, to jeszcze do tego wszystkiego działamy na szkodę edukacji, ponieważ ci ludzie później nie będą tego rozumieli, nie będą tego wiedzieli.
971:  A zatem jeśli, przynajmniej ze swojego doświadczenia, mogę powiedzieć, że zaprowadzenie powszechnej możliwości korzystania ze źródeł, czyli ściągania, nie sprawiło, że nagle 100% ludzi zalicza egzaminy, to przypuszczalnie jest to test godny wykonania.
987:  Ale o czym ja mówię?
988:  Przecież te testy już robiono.
992:  W 1960 roku
995:  Czytamy, że popularność testów na czas i testowania na czas bierze się wyłącznie ze względów praktycznych i administracyjnych.
1002:  W żadnym wypadku nie jest to wsparte jakimikolwiek racjonalnymi względami, które by wiązały czas wykonania danego zadania ze skutecznością opanowania jakiegoś zagadnienia.
1014:  I to dotyczy zarówno lekcji, które są określone albo 45 minutów, albo półtora godzinne, samych egzaminów państwowych, egzaminów językowych, egzaminów na prawo jazdy, wszelakich, które jesteście sobie w stanie wyobrazić.
1028:  I bardzo często się dzieje tak, i to jest kluczowe, że te limity czasowe mogą doprowadzić do tego, że będziemy mieli błąd pomiaru.
1036:  No a moi drodzy, błąd pomiaru to już nie jest coś, co byśmy chcieli uzyskać w przypadku egzaminów, które podobno mają być obiektywne.
1042:  Błąd pomiaru charakteryzuje się tym, że w warunkach, w których jesteśmy, nie jesteśmy dostatecznie wyizolowani laboratoryjnie od wpływu czynników zewnętrznych.
1052:  Jakie to mogą być czynniki zewnętrzne?
1054:  Problemem już egzaminu, który jest ustawiony na środę godzinę 14 jest to, że na przykład część społeczeństwa menstruuje, chociażby, w związku z powyższym musi być na ciężkich prochach, żeby pójść na egzamin.
1069:  Czy obiektywnie porównujemy osobę na ciężkich prochach, którą bolą trzewia, z osobą, która nie ma ciężkich prochów, ale ma świetny i fantastyczny dzień i się dobrze czuje?
1080:  Nie.
1081:  Jakie jest rozwiązanie tego problemu?
1083:  Rozwiązanie tego problemu, które będzie sprawiedliwe dla wszystkich jest takie, że dajemy trzy dni na egzamin i każdy może podejść w danym dniu, kiedy chce.
1092:  Problem rozwiązany, bez konieczności dyskryminowania, bez konieczności mówienia, że akurat ci wszyscy, którzy menstruują muszą mieć specjalne traktowanie, bo o tym też będziemy za moment mówili w naszym artykule.
1105:  Co więcej, jeżeli możemy jeszcze bardziej rozszerzyć tę kategorię, proszę bardzo, wszystkie osoby z wszelakiego rodzaju niepełnosprawnościami, prawda?
1115:  Ludzie, którzy potrzebują więcej czasu na napisanie, ponieważ są dyslektykami, dysgrafikami, dyskalkulikami.
1122:  O co czytamy w tym tekście?
1123:  No nie wierzę, że testy, które są robione na czas są mniej inkluzywne.
1129:  Bo założenie właśnie, że ci najlepsi studenci to będą ci najszybsi, którzy sobie poradzą, którzy nie tylko sobie poradzą z czasem, ale poradzą sobie także z bólem, poradzą sobie z tym, że jest im źle, poradzą sobie z tymi wszystkimi czynnikami, które psuły nam pomiar.
1145:  No ale tak naprawdę sobie z nimi nie poradzą.
1147:  My będziemy wtedy sprawdzali ich odporność na stres, nie będziemy sprawdzali w dalszym ciągu poziomu opanowania materiału, ponieważ bardzo często się może okazać, że ten poziom opanowania materiału jest, jako się rzekło wcześniej, iluzoryczny, że on będzie się utrzymywał przez trzy najbliższe dni, bo każdy potrafi zakuć i wyrecytować to potem, dwa dni później, ale nie każdy potrafi wykorzystać tę wiedzę miesiąc później albo dwadzieścia lat później.
1171:  I wiecie, co jest zabawne?
1172:  Zwykle właśnie potrafią wykorzystać tę wiedzę ludzie, którzy są tak zwanymi nieukami, którym nie poszło na tym egzaminie, ale którzy wykorzystywali tę wiedzę praktycznie, którzy projektowali coś i uczyli się, ponieważ chcieli tego.
1186:  Nagle oni coś umieją.
1189:  Może tu się też rozwiąże tajemnica, bardzo często podnoszona przy komentarzach czy na live'ach, jak to jest, że ja zapamiętuję niektóre rzeczy, a innych nie.
1199:  Że nie zapamiętuję tego, co usłyszę w grze wideo 6 sekund wcześniej, albo tego, co mi ktoś powiedział, ponieważ to jest w mojej pamięci krótkotrwałej, a będę pamiętać eony rzeczy, które kiedyś przeczytałem.
1210:  ale przeczytałem z własnej woli i nikt nade mną nie stał z kańczugiem, nie chlastał mnie po plecach, żebym pracował szybciej.
1218:  A wciąż mówimy o człowieku, który jednak miał zdolności kognitywne, które są charakterystyczne dla wszystkich ludzi lubiących rozwiązywać abstrakcyjne zadania.
1228:  A co w przypadku ludzi, którzy nie mają takich predyspozycji?
1232:  No otóż te testy nie są po prostu dla nich.
1234:  Jeszcze przecież w XX wieku, jak świetnie przywołują w tym tekście, używaliśmy przynajmniej w angielszczyźnie określenia retarded, prawda?
1242:  Zresztą to nawet w Boracie się pojawiło w którymś momencie, na określenie kogoś, kto jest w jakikolwiek sposób niepełnosprawny umysłowo.
1250:  To się bierze z łacińskiego retardare, co znaczy?
1253:  No cóż znaczy retardare?
1255:  A no być powolnym.
1256:  Czyli ten, kto jest powolny, ten jest głupszy.
1260:  Mówiłem, że do tego dotrzemy w analizie.
1264:  I czy to się ogranicza do edukacji?
1267:  Jak ktoś wolniej sobie radzi z opanowaniem jakiegoś programu?
1272:  Jak ktoś wolniej radzi sobie z ukończeniem danej gry?
1276:  Jak ktoś wolniej sobie radzi z poradzeniem sobie z jakimkolwiek problemem?
1280:  Co wtedy mówimy?
1282:  I mówimy, że jest ograniczony?
1285:  Bardzo często się zdarza tak, że ludzie, którzy robią coś wolniej, sprawiają, że ich otoczenie reaguje z niecierpliwieniem, że wyrywa im coś i chce zrobić szybciej.
1296:  Tak, by zrobienie czegoś szybciej było cnotą samą w sobie.
1300:  Tak, są sytuacje w życiu, że trzeba coś zrobić szybciej.
1303:  Na przykład, gdy trzeba kogoś uratować z przedpędzącego pociągu.
1306:  Wtedy trzeba robić rzeczy szybciej.
1308:  I jeżeli ktoś się ociąga i jest powolny, to należy go odepchnąć i pomóc osobie, która jest w potrzebie.
1313:  To jest jedna z takich sytuacji, kiedy trzeba coś zrobić szybko.
1317:  I przypadkowo ona wiąże się z wysiłkiem fizycznym.
1320:  Haha.
1321:  Natomiast jeżeli chodzi o wysiłek umysłowy, robienie czegoś szybko absolutnie nie jest tożsame z robieniem tego dobrze.
1328:  I znowu macie tutaj milion odniesień, które dokumentują ten fakt.
1332:  No i wreszcie, ostatnia kwestia.
1335:  Testy, które są na czas, nie są sprawiedliwe, nie są miarodajne dla wszystkich.
1340:  Z jakiego powodu?
1341:  Ono właśnie jest takiego, że rozwiązaniem faktu, że mamy w społeczeństwie osoby z różnego rodzaju niepełnosprawnościami, było to, że one dostają nagle specjalny traktament.
1352:  Dwie godziny więcej.
1353:  O, możesz jeść i pić.
1356:  O!
1357:  O!
1357:  A może dostaniesz jeszcze dodatkowo inny rodzaj testu?
1361:  Co to powoduje?
1363:  No powoduje to, że większość, 70% ludzi, będzie z ciupineczkę większą niechęcią patrzeć na tę uprzywilejowaną mniejszość.
1374:  Oczywiście to był bardzo duży eufemizm, bo najczęściej prowadzi to do postępującej nienawiści.
1380:  Dobrym tego przykładem jest chociażby to, w jaki sposób administrowane są właśnie te dodatkowe godziny dla osób, które na przykład mają zaświadczenie o tym, że są dysgrafikami czy dyslektykami, ale to jest takie zaświadczenie, wiecie, takie posmarowane zaświadczenie.
1399:  Dobrze wiecie, że takie są, nie oszukujmy się, że takich nie ma.
1402:  Jak reaguje otoczenie rówieśnicze?
1405:  Reaguje tym, że bardzo często, i to się powtarza niejednokrotnie w komentarzach, neguje istnienie samego zjawiska dysgrafii i dyslekcji.
1413:  No co już jest antynaukowym szuryzmem.
1416:  Ale robi to właśnie dlatego, że w pierwszej kolejności zostali w pewien sposób zdyskryminowani.
1422:  I tak większość można w takich realiach zdyskryminować z tego względu, że my mierzymy złe rzeczy przez to, że nałożyliśmy limit czasowy.
1432:  To jest, zauważcie, źródło problemu.
1434:  Źródłem problemu nie jest to w tym momencie, co ludzie myślą na swój temat albo to, że ktoś jest dysgrafikiem.
1440:  To nie jest jego wina.
1441:  Źródłem problemu jest to, że wprowadziliśmy system, który mierzy czas wykonywania jakiegoś zadania, a nie wszyscy absolutnie w edukacji są jednakowi.
1451:  Nie wszyscy będą w jednakowym czasie dane zadanie wykonywać.
1454:  A zatem zamiast, żeby wyleczyć problem u źródła,
1459:  leczymy jakieś zupełnie sztuczne objawy, które się pojawiły później, które nie mają nic wspólnego z tym problemem.
1465:  To jest mniej więcej tak, jakbym, powiedzmy, zranił się bardzo potężnie, musiał pójść do szpitala, założono mi szwy, ale, no, lekarz się pomylił, tak, i powiedzmy użył złego szwu albo wykonał jakiś błąd w sztuce lekarskiej, no i mnie spuchła ta rana, spuchła mi blizna, no i musiałem ją później smarować i tak dalej, i tak dalej.
1485:  No to niechybnie
1488:  Trzeba zlikwidować nić i szwy, bo one szkodzą.
1493:  No nie, może trzeba się zastanowić nad tym, jak wyeliminować problemu źródła.
1498:  Tym źródłem mógł być błąd lekarski lub źle dopasowany szef.
1503:  To mógłoby być źródło.
1504:  Na tym polega, moi drodzy, różnica między myśleniem proaktywnym a reaktywnym.
1509:  Jeżeli reagujemy wyłącznie, to reagujemy na jakiś efekt, a jeżeli działamy proaktywnie, to staramy się pomyśleć, no co w następnym razie usprawni nasze postępowanie i sprawi, że nie będziemy musieli na przykład zastosować tych wszystkich środków zaradczych.
1524:  Co więcej jeszcze, moi mili, jak czytamy dalej w tym tekście, znowu było mnóstwo badań, zobaczcie, od 2001 roku do 2019, które pokazały, że absolutnie nie jest tak, że tego rodzaju rozwiązania są sprawiedliwe.
1539:  Bardzo często jest tak, że ludzie, którzy nie mają żadnych niepełnosprawności, również źle sobie radzą podczas testów na czas.
1549:  A zatem, mimo że nie mają tego papierka,
1551:  ponieważ nie są zdiagnozowani na jakąś z, no na przykład medialnie głośnych korup,
1558:  w dalszym ciągu są dyskryminowani.
1560:  Na przykład w moich tak zwanych czasach śmiano się w ogóle ze zjawiska dyskalkulii.
1565:  Ja nie wiedziałem wtedy, że to, że mnie się mylą różne cyferki, na przykład 6 z 9 nice, to oznacza to, że niekoniecznie mam problem z działaniami arytmetycznymi, ale mi się mylą cyferki.
1578:  No nie wiem dlaczego, nigdy nie byłem w stanie stwierdzić, nie byłem zdiagnozowany na dyskalkulię.
1583:  Nie będę w tym momencie rozstrzygał, czy ją mam, czy nie, ponieważ kompletnie nie wpływa to na moje życie obecne.
1589:  Ale sam fakt, że diagnostyka tego zjawiska była niższa, że nie mówiono o tym, mógł sprawić, że byłem w jakiś sposób wykluczony czy dyskryminowany podczas egzaminów, które sprawdzały umiejętność liczenia na czas.
1602:  Mnie się zawsze wydawało na przykład, że mój wynik jest dobry, się okazywał później, że pokazywał mi nauczyciel egzaminowy, że w tym momencie popełniłem błąd.
1609:  Ja miałem na myśli, oczywiście, że tak, no naturalnie.
1612:  Rozumiałem problem, ale nie widziałem problemu.
1616:  tego momentu, w którym popełniłem błąd, który nie wpłynął na wynik, nawiasem mówiąc, i to jest najzabawniejsze.
1621:  Bardzo często.
1623:  To, moi drodzy, jest dowód na to, że bardzo często nałożenie takiego limitu czasowego może wpłynąć na to, że będziemy mieli błędy w pomiarach.
1632:  I tak możemy oczywiście przez następne dwie dekady wyróżniać kolejne niepełnosprawności i narażać się na to, że kolejni ludzie, którzy są nieempatyczni, będą je wyśmiewać, ale możemy również wyeliminować problemu źródła.
1644:  Ponieważ nie będziemy musieli administrować dodatkowych pięciu godzin czy dwóch godzin dla osób z dyskalkulją, dyslekcją, dysgrafią, jeżeli po prostu wszyscy będą pisali w swoim czasie.
1654:  Skoro już i tak się upieramy przez egzaminach stacjonarnych, to nie ma to absolutnie żadnego znaczenia.
