Studia są dla wszystkich, ale nie dla każdego
🔗 https://www.youtube.com/watch?v=lxJtXwXHhRQ

0:  Jak nie pójdziesz na studia, to będziesz rowy kopać.
178:  Dlatego, że jeżeli już zadajecie to pytanie, to znaczy, że rozważacie, czy jest to słuszne.
185:  A na studia, czy na edukacji, która jest bardzo wyprofilowana, która jest bardzo wąska, która daje nam wąskie również i wyspecjalizowane kwalifikacje, idą zasadniczo ci, którzy są absolutnie i stuprocentowo pewni, że tego chcą.
201:  Troszeczkę się zmieniło od czasów, w których jeżeli nie poszliśmy z naszej macierzystej wioski do budynku zwanego szkołą lub jeszcze dalej nie wyjechali do miasta, gdzie był budynek zwany uniwersytetem, to nie dowiedzielibyśmy się niczego.
217:  Dzisiaj jest bardzo dużo ścieżek, za pośrednictwem których możemy się czegoś dowiedzieć, ale tylko jedna ścieżka, która daje wam taki polar i poblask, ooo, magister, doktor, certyfikowany pracownik, hohoho!
238:  To jest problem główny.
239:  Ludzie nie idą na studia dlatego, żeby się czegoś dowiedzieć, żeby zdobyć kwalifikacje, tylko żeby mieć na rynku pracy papierek, więc pierwszy i naczelny argument dla wszystkich tych, którzy się zastanawiają nad tym, czy iść na studia, czy nie iść, zastanowić się nad tym, czy zawód, w którym się widzimy, wymaga papierka, czy nie wymaga papierka.
261:  Jeśli wymaga papierka i idziemy na studia tylko po papierek, można iść na trzy lata studiów licencjackich, umknąć z uczelni, z byle jakim w zasadzie kierunkiem studiów i zrobić na studiach dokładnie to, co można w takich sytuacjach.
275:  Jeśli idziemy po papierek i nie zależy nam specjalnie na całej reszcie, to przynajmniej wykorzystajmy ten czas, żeby się jakoś rozwinąć kreatywnie.
282:  Oczywiście są też ludzie, którzy nie idą na studia po papierek, tylko idą na studia z drugiego powodu, to znaczy ktoś im kazał.
290:  I nie chcą rozczarować rodziców, nie chcą rozczarować nauczycielki, bo już mają olimpiadę, więc to już pójdą.
298:  I to jest następny problem, to znaczy bardzo często trafiają na studia i kończy się to nieprzyjemnie.
303:  Jest na przykład taki znakomity film, który został opublikowany na oczywiście YouTubie tak zagranicznym i dotyczący uczelni, co do której chyba nikt z nas nie miałby wątpliwości, iż jest uczelnią znakomitą, a mianowicie Uniwersytetu Harvarda.
316:  na którym, to i bardzo polecam ten film wszystkim, którzy właśnie są podatni na to, że ho ho, rankingi uniwersyteckie, prestiżowa uczelnia, mury oblane kwasem, żeby wyglądały na starsze, tradycje, flagi, togi, birety, biret to ten śmieszny kapelusz, który mają absolwenci szkół amerykańskich lub doktorzy w Europie,
338:  to obejrzyjcie to i zorientujcie się, jak to wygląda z perspektywy studentki, która się zetknęła z toksynami, z klasizmem, z elityzmem i wszystkimi innymi problemami, które wiążą się z systemem przygotowanym właśnie do tego, żeby nie tyle służyć społeczeństwu, ile
358:  wyłaniać taką elitarną grupę ludzi, która będzie się kisić w swoim sosie i być absolutnie przekonana o własnej doskonałości i wielkości.
368:  To jest właśnie problem z elityzmem.
371:  Nie jest problemem z elityzmem na przykład stwierdzenie, edukacja jest dla wszystkich, ale nie jest dla każdego.
379:  bo jest to prawda, edukacja jest dla wszystkich, jest w Polsce przynajmniej bezpłatna i chwała Bogom za to, natomiast nie oznacza to, że ona jest dla każdego, ponieważ są ludzie, którzy z edukacji nie chcą skorzystać.
392:  Są ludzie, którzy z edukacji nie korzystają, ponieważ nie mają odpowiednich potem kwalifikacji, znaleźli się w niewłaściwym miejscu i w niewłaściwym czasie i są wreszcie ludzie, którzy nie chcą marnować czasu na uczenie się w tym żółwim tempie,
406:  Wiesz, to jest 20 lat edukacji, jeżeli to wszystko zliczycie i dodacie studia do edukacji maturalnej i jeszcze do tego, jeszcze dorzucicie na sam koniec doktorat, nagle się okazuje, że dwie dekady życia spędzacie w budynkach, w których uczy się metodami XIX-wiecznymi.
423:  We wszystkich tych przypadkach edukacja jest ultranieefektywna, w związku z powyższym tak nie jest dla każdego.
429:  I nie jest elitystycznym twierdzenie, że edukacja nie jest dla każdego.
433:  Elitystyczna jest ta edukacja.
436:  Elitystyczny jest model, w którym za każdym razem idziecie do szkoły czy na uniwersytet po to, żeby dostać papierek, który będzie was kwalifikował do myślenia o sobie, ohoho, teraz jestem w górnych percentylach społeczeństwa.
450:  Nie, nie jesteś w górnych percentylach społeczeństwa.
452:  W górnych percentylach społeczeństwa można być wtedy, jeżeli rzeczywiście się pracuje nad sobą, masz jakieś kwalifikacje i to społeczeństwo chce cię, samo cię plasuje w tych górnych percentylach.
462:  Nie plasuje cię w górnym percentylu społeczeństwa to, że masz papierek z fajnym, błyszczącym logo uczelni.
467:  Nie.
468:  Tak samo nie czyni cię lepszym człowiekiem to.
471:  że masz papierek z tej czy innej uczelni.
473:  Nie czyni lepszym człowieka to, że ma papierek z Harvarda, niż człowieka, który ma papierek z Uniwersytetu Mikołaja Kopernika w Toruniu.
480:  Nie ma to żadnego znaczenia.
482:  Natomiast niestety jesteśmy wychowani do myślenia, że ma to znaczenie i to fundamentalne.
488:  Bardzo często znaczenie dla nas samych, bo dzięki temu sami sobie podbudowujemy pewność siebie.
494:  Ja bym od razu wtedy bił na alarm, jeżeli potrzebujemy podbudować siebie i dlatego zdobywamy jakiś papierek, to znaczy, że z naszą pewnością siebie jest nieprawdopodobnie źle, a z naszymi sposobami podbudowywania pewności siebie jest jeszcze gorzej.
511:  Bo tylko praca nad sobą i uwewnętrznianie w sobie przekonania, że tak, udało się nam zdobyć jakieś kwalifikacje, robimy coś lepiej, jesteśmy lepszym człowiekiem dzisiaj niż byliśmy wczoraj, to w nas buduje pewność siebie.
525:  Nie to, że dostaniemy od kogoś ocenki, albo dostaniemy stypendium, albo dostaniemy wysoką średnią.
531:  Chodzenie na studia tylko po to, żeby znaleźć się w tym elitystycznym kręgu ludzi, którzy skończyli studia i myślą o sobie przez to, że są lepsi, jest fatalne i zauważcie też, że zawsze dotyczy to pracy umysłowej lub kreatywnej.
545:  Rzadko kiedy się zdarza, żeby ktoś, kto zdobędzie kwalifikację mistrza,
550:  Sztuk walki, mistrza krawiectwa, mistrza stolarstwa, mistrza jakiejkolwiek pracy, fizycznej pracy, która wymaga nie tylko wysiłku umysłowego, ale także kwalifikacji siłowych, fizycznych, taktycznych, strategicznych.
567:  Ktoś może być mistrzem sztuki wojennej.
570:  Ileż filmów jest na ten temat, w których podziwiamy mistrzów, a nie traktujemy ich jako elitystów.
577:  Jak to jest?
578:  Jak to jest, że mistrz sztuk walki nie jest postrzegany jako o Boże, ten bubek wywyższa się, że ma czarny pas.
587:  A spróbujcie w internecie komuś powiedzieć, że macie magistra z farmacji na przykład i wobec tego troszeczkę lepiej się znacie na lekach i możecie dyskutować na ten temat.
599:  To już nie wspomnę.
600:  Spróbujcie komukolwiek powiedzieć, że
603:  Nie no, wiesz, 15 lat pracuję nad tym zagadnieniem, jestem technikiem dentystycznym, wiem o tym troszeczkę więcej niż ty, który przeczytałeś ostatnio artykuł w Focusie na ten temat.
614:  Spróbujcie to powiedzieć.
615:  Momentalnie ludzie rzucą się wam do gardła, elitysta, wywyższa się, chwali się, co za kogo się uważa.
626:  Dlaczego ludzie tak reagują?
628:  Ponieważ podskórnie czujemy, że ten system właśnie wychowuje nas wszystkich na ogólnowykształconych erudytów będących mistrzami wszystkich dziedzin, w tym zwłaszcza dziedzin umysłowych i abstrakcyjnych.
645:  Dlaczego mieliśmy ostatnio całą awanturę o maturze z WF-u?
649:  Podlinkuję Wam mój komentarz na ten temat tutaj.
653:  Główny argument WF-istów, którzy byli za tym projektem brzmiał, musimy to zrobić, żeby WF był traktowany poważnie.
662:  Pomijając jakie to jest śmieszne, że maturka sprawi dopiero, że ktoś zacznie poważnie podchodzić do tężyzny fizycznej, a nie na przykład pokazanie konsekwencji i grania sobie ze zdrowiem, albo konsekwencji złego odżywiania się i pokazanie jakie mogą być pozytywne aspekty ruchu fizycznego, jaka dawka endorfin na przykład, albo pozytywne aspekty dobrej diety, to że się czujemy świetnie i nie boli nas nic, pomijam to wszystko.
691:  To jest absurdalne także z tego względu, że przypuszczam, że większość z tych WF-istów, czy ludzi lubiących aktywność fizyczną, sportowców wreszcie, i także tych, którzy mylą sport z aktywnością fizyczną, gdzieś tam jest święcie przekonanych, że społeczeństwo nie patrzy na nich tak, jakby patrzyło na przykład na profesora fizyki.
714:  I tu jest problem.
715:  Bo zauważcie, że przez to, że wyrabia się w nas takie przekonanie,
720:  zaczyna to promieniować na bardzo dużo dziedzin i doprowadzać lawinowo, łańcuchowo do różnego rodzaju reakcji w społeczeństwie.
729:  Ja bym nie chciał musieć wstydzić się na przykład tego w dyskusji, że mam doktora, to ja to schowam skrzętnie, żeby żadnego ptysia różowego nie urazić, bo on chciał być taki mądry i powiedzieć Krzysztofowi, jak
746:  jak należy mówić po polsku, bo mu się tak wydaje i nawet tego nie sprawdził.
751:  I myśli sobie chociażby, że trzeba mówić HO HO HO HO OPERA, a nie OPERA, bo nie wie o tym, że akcent proparoksytoniczny łaciński z trzeciej sylaby od końca przenosi się uzualnie na akcent paroksytoniczny na drugą sylabę od końca, ponieważ polszczyzna lubi drugą sylabę od końca.
769:  No i chciał się pochwalić, ale nie umie.
771:  No to Krzysztof mu powie w odpowiedzi, no dudno, nie pouczaj mnie, bo mam tu doświadczenie w tym zakresie, tak?
779:  Nie, żebym jakoś specjalnie lubił te studia, które skończyłem, ale przynajmniej się tego tam dowiedziałem.
790:  A tymczasem dla ludzi, którzy nie przywiązują do tego wagi, powiedzenie mam doktorat jest dokładnie tym samym, jak powiedzenie
799:  Mam lampę, mam kamerę, mam jamnika, wprawdzie jest on plusowy, ale co tam.
806:  normalna rzecz, którą się po prostu ma i tyle?
812:  Z tą może różnicą, że jeżeli rzeczywiście ma się dyplom, ukończenie jakiegoś kursu, certyfikatu, studiów i tak dalej, to jest to po prostu skrót myślowy, w tym sensie, że nie musimy się nikomu teraz wytłumaczyć i wyspowiadać z podstawowych kompetencji, bo wszyscy zakładamy, że okej, to oznacza, że je ktoś nabył, tak samo jak mamy mistrza karate i powiemy mu
834:  Ty, ty, bo wiesz, ja... Ja... Ja widziałem taki film, że on zrobił... Tak?
840:  I cegła padła i mistrz karate na to... Panie Jezus, pierwsze widzę!
848:  A może stolarz do was przyjdzie zrobić wam regał i wy powiecie sobie, panie, ja tak myślę, że my po taniości zrobimy.
856:  Nie, że tam drewno damy na półkę, tylko taką płytę, o, taką płytę fajną, prasowaną, z wiórów.
864:  I stolarz na to mówi, ja mam 10 lat doświadczenia w stolarce, robiłem regały, ja bym radził, żeby takie podpórki tutaj zrobić, taką kratownicę, żeby ta półka się nie wygieła, bo jeżeli to nie będzie drewno, to na przykład...
878:  To nie będzie estetyczne.
879:  Nie, nie, nie, nie, nie, nie, nie, nie.
881:  Ja to widziałem na YouTubie taki regał, ale nie widziałeś, czy tam jest jakieś drewno konkretne, bo to na YouTubie widziałeś, więc nie wiesz, jaki jest skład typu.
891:  Nie, nie, nie, ale ja widziałem.
893:  To ty się nie wywyższaj, że masz 10 lat doświadczenia nade mną, co?
899:  Dlaczego te dwie sytuacje z tym karateką i ze stolarzem brzmią absurdalnie?
904:  Dlatego, że nie mówi się nam w toku edukacji, że karatecy i stolarze to jest wymarzony zawód i musicie się uczyć rachować i uczyć się mówić i mieć piąteczki ze wszystkiego, bo inaczej pójdziecie kopać rowy, a nie zostaniecie stolarzem.
923:  Nie, przepraszam, tak się nie mówi.
924:  Nie mówi się, o, jeżeli nie będziesz się uczył arytmetyki, geometrii, to zostaniesz jakimś byle profesorem, a nie stolarzem.
932:  Logiczne, prawda?
933:  Cały system edukacji jest ustawiony po to, żeby nam mówić, że jest jeden cel nasz, to znaczy zyskanie tych kwalifikacji charakterystycznych dla naprawdę wycinka pewnego społeczeństwa, pracowników umysłowych i pracowników kreatywnych.
948:  I...
948:  Jak myślałem na ten temat, to tak się złożyło, że natrafiłem na znakomity film na YouTube.
952:  Już drugi raz Wam dzisiaj polecam jakiś film, a mianowicie, dlaczego designerzy i pracownicy kreatywni są elitystycznymi dupkami?
961:  Znakomite pytanie.
963:  Film odpowiada na to pytanie, przewołując głównie przykłady z zakresu właśnie designu, grafiki, wskazując chociażby, że ludzie nabywają trochę takiej ezoterycznej wiedzy o różnych trendach w sztuce, artystycznych i...
977:  Dla nich na przykład, ponieważ mają wyrobiony gust, coś może się okazać ładne i estetyczne, a my na to spojrzymy i sobie pomyślimy, a to jest jakieś dziwactwo kompletne.
986:  A tymczasem designer będzie w tym widział walkę z trendem, który był popularny w latach 40., 50. i 60.
992:  To jest znakomicie, to jest swoją drogą film Diabeł ubiera się u Prady, gdzie szefowa takiego wielkiego magazynu uświadamia praktykantkę, że ty myślisz, że możesz się nie interesować modą, a tymczasem nosisz sweter, który zaprojektował ten, a ten projektant 20 lat temu.
1009:  To dobrze pokazuje właśnie, że to bycie elitystycznym dupkiem, wywyższanie się, bardzo często wiąże się z tym, że ktoś ma bardzo konkretną wiedzę i równocześnie jest częścią społeczności, która współdzieli wiedzę na temat tego, jak długo
1027:  zajęło zdobycie wszystkich tych kwalifikacji, więc ludzie się niecierpliwią wtedy w rozmowach i mówią, daj mi spokój, mam te 10 lat doświadczenia za sobą, ale tylko pracownicy umysłowi i kreatywni usłyszą w odpowiedzi na to, nie bądź dupkiem, nie wywyższaj się, bo stolarz tego nie usłyszy.
1046:  Na tej samej zasadzie, moi drodzy, działa budowanie jakichkolwiek innych autorytetów w szkolnictwie.
1052:  I oczywiście można sobie powiedzieć, że no tok, tok, tok, wpływ na młodych ludzi będzie miał, bo prędzej tutaj wstaw nazwę aktualnie popularnego zespołu, albo aktualnie popularnego youtubera, albo aktualnie popularnego celebryty, aniżeli na przykład nielubiana przeze mnie, jak wiadomo, Olga Arystokarczuk.
1071:  Tylko, że jest jeden problem.
1073:  Na lekcjach języka polskiego nie dowiecie się, że...
1076:  Nie no, jak nie będziecie rozumieć, co śpiewa Tako na Fide, to... No to wiecie, to będziecie kimś gorszym.
1086:  Tylko elita intelektualna kraju to wie.
1090:  Nie!
1091:  Dowiecie się tego o dowolnej pisarce, pisarzu, którzy są na listach lektur.
1097:  Na tym polega kształtowanie właśnie autorytetu i naszego...
1102:  uwewnętrznionego bardzo głęboko przekonania, że są rzeczy wyższe i są rzeczy niższe, a tymczasem to przekonanie jest całkowicie fałszywe, o czym przekonał się każdy, kto może mieć, nie wiem, 7 doktoratów, ale nie umie rury naprawić w swoim kiblu.
1118:  Jeżeli nie umie tejże rury naprawić, to z perspektywy jego egzystencji o wiele istotniejsza jest kwalifikacja naprawienia rury i możliwość zadzwonienia po hydraulika.
1128:  I nagle się okazuje, że ten hydraulik jest kluczowy
1131:  dla tego człowieka, bo on może sobie wymyślać najróżniejsze teorie w ciszy własnego domu, ale jeżeli ta rura nie zostanie naprawiona, to się w tym własnym domu utopi.
1141:  Dlatego właśnie dzielenie społeczeństwa podług tego, kto jest lepszy, kto jest gorszy, kto ma jakie kwalifikacje, a kto inne, jest złe.
1151:  Nie jest złe dlatego, że o, że w ten sposób budujemy elity, a elity naszego kraju umierają, bo taka narracja jest.
1157:  Nie.
1157:  Jest złe dlatego, że buduje...
1160:  Fałszywe elity, to znaczy ludzi, którzy są właśnie w tym sosie cały czas sulani, na uczelniach i w innych miejscach, tworzą taką bardzo zamkniętą społeczność i wydaje mi się, że są lepsi od innych.
1176:  A bardzo często jest tak, że ci ludzie nabierają kwalifikacji iluzorycznych.
1180:  To nie jest tak, że każda uczelnia, którą ukończycie, daje wam faktycznie rewelacyjne kwalifikacje.
1187:  Jest dużo uczelni, które ukończycie, a które dadzą wam iluzję i złudzenie, że macie jakiekolwiek kwalifikacje.
1194:  I co więcej, bardzo często ludzie to dobrze wiedzą.
1198:  Ale mimo to...
1200:  będą się wywyższać.
1202:  Ponieważ im to jest potrzebne do egzystencji, ponieważ ktoś ich tego nauczył, ponieważ tak działa społeczeństwo, dowolne rozwiązanie sobie wybierzcie.
1211:  Natomiast przyczyna tego jest jedna.
1214:  Edukacja nie przygotowuje nas do tego, żebyśmy funkcjonowali w społeczeństwie i jest przeciwskuteczna z perspektywy funkcjonowania państwa.
1221:  Z perspektywy dobrze prosperującego państwa dobre byłoby, gdyby każdy na przykład umiał opłacać podatki.
1228:  Gdyby każdy wiedział, jakie są zasady dobrze funkcjonującej demokracji.
1233:  Gdyby każdy wiedział, co należy robić, a czego nie należy robić, więc miał określony barometr etyczny.
1241:  To nie są rzeczy, których się nauczycie w toku edukacji.
1244:  Najczęściej jest zwykle tak, że dowiadujemy się czegoś, co ma charakter historyczny.
1249:  Zamiast języka polskiego, który was by przygotowywał do tego, żebyście umieli napisać podanie, petycje, żebyście umieli się wypowiadać, żebyście nie mieli żadnych problemów z czytaniem i przyswajaniem komunikatów, mamy historię literatury.
1262:  Gdyby ktokolwiek powiedział, o, wprowadźmy filozofię do szkół i etykę, co by było historia filozofii i etyki?
1269:  Myślimy w sposób abstrakcyjny i teoretyczny.
1273:  Nie można budować programu nauczania, który jest w 100% teoretyczny, bo w ten sposób tworzycie dwie grupy ludzi.
1280:  Naukowców, którzy się do tego nadają i wszystkich innych, którzy nie nadają się do bycia naukowcami.
1290:  To z kolei oznacza, że dużą część ludzi możecie po drodze skrzywdzić, to znaczy możecie wyłonić trzecią grupkę ludzi, którym się wydaje, że są naukowcami.
1299:  I potem zostają ministrami nauki.
1302:  Albo piszą podręcznik do historii teraźniejszości.
1306:  Albo zakładają kanał na YouTubie i walą sobie doktorat zamiast imienia.
1311:  O, to są problemy, moi drodzy, które możemy wyłonić.
1316:  Ludzie, którzy nabywają kwalifikacje, a my, jako przeciętni ludzie nieumiejący albo niemogący w żaden sposób te kwalifikacje zweryfikować, możemy zrobić dwie rzeczy.
1325:  Albo im zaufać, albo zanegować to.
1328:  I w jednym i w drugim przypadku robimy źle.
1330:  Jeżeli ufamy naukowcowi, nie sprawdzając go,
1333:  to wtedy wprawdzie robimy dokładnie to, czego nas nauczyła szkoła i podręczniki, których nikt nie weryfikuje, ale równocześnie ryzykujemy, że możemy zostać zmanipulowani.
1342:  Jeżeli zanegujemy autorytet naukowy i na przykład powiemy, że a co tam, profesor znający się na szczepieniach, ja wiem swoje, to możemy na przykład umrzeć.
1352:  Też niefajne rozwiązanie.
1354:  I w jednym i w drugim przypadku tracimy.
1357:  A tracimy właśnie dlatego, że został stworzony system, który daje ludziom nadzieję na to, że będą kimś lepszym.
1364:  I kupczy tą nadzieją, sprzedaje ją, tworzy ludzi, którzy uwierzyli we własną gwiazdę, której nie ma.
1371:  Albo tworzy faktycznie gwiazdy, wypalające się niesamowicie szybko, ponieważ ilość presji i ciężaru, który spoczywa na ich barkach, jest nie do zniesienia.
1383:  Niezależnie od tego, czy mowa o sportowcach, których organizm przestaje funkcjonować po kilkunastu latach uprawiania sportu wyczynowego, czy mowa o nauczycielach, pracownikach ataki miejskich, wypalających się zawodowo w trzeciej czy czwartej dekadzie swojego życia.
1399:  to jest nieefektywne z punktu widzenia państwa.
1402:  Tak samo nieefektywne z punktu widzenia funkcjonowania państwa są zastępy pracowników fizycznych, którzy w ogóle wstydzą się faktu, że nie mają studiów, a tymczasem powinni być z tego dumni, ponieważ dobrze rozpoznali swoje kwalifikacje, dobrze rozpoznali to, gdzie mogą się najlepiej realizować,
1420:  I wcale te studia są im niepotrzebne.
1422:  Powiedziałbym wręcz, że te studia byłyby dla nich przeszkodą.
1425:  Powiedziałbym wręcz, że byłyby przeszkodą również dla ludzi współstudiujących, a nadających się do tego.
1431:  I wreszcie są również zawadą dla ludzi nauczających, ponieważ o wiele łatwiej jest nauczać grupę ludzi, którzy są zdeterminowani i zdecydowani do tego, żeby przyswajać jakąś gałąź wiedzy, niż ludzi, którzy zostali tam po prostu zgromadzeni z przypadku.
1446:  Dlaczego korepetycje działają?
1449:  Dlaczego szkolenia działają?
1451:  Dlaczego studia podyplomowe i zaoczne działają?
1454:  Dlatego, że na nich zazwyczaj pojawiają się ludzie, którzy mają określone zapotrzebowanie.
1459:  Dlaczego edukacja podstawowa nie działa, a przypomnę powinna być publiczna i bezpłatna?
1464:  Dlatego, że uczy się tam rzeczy, które są niepotrzebne dla 60% ludzi.
1469:  gdyby kwalifikacje tam zdobywane umożliwiały nam na przykład niesamowicie sprawne porozumiewanie się i to w wielu językach, programowanie dla wszystkich, żeby nie było, bo każdy w którymś momencie powinien wiedzieć, jak wygląda nasza rzeczywistość i znać to,
1485:  jakim językiem posługują się maszyny, zwłaszcza kiedy one stają się coraz bardziej zaawansowane, zwłaszcza gdy cały czas mamy rewolucję w zakresie rozwoju sztucznej inteligencji i modeli generatywnych.
1496:  Następnie kompetencje obywatelskie, wszystkie inne, te krótko mówiąc, które nam realnie przydają się w życiu,
1503:  to ludzie by nie czuli, że marnują czas w szkole.
1506:  Ludzie by nie czuli również, że potrzebna jest jakaś reforma, bo dostawaliby to, czego potrzebują.
1513:  Umieć czytać, umieć mówić, umieć liczyć i rozumieć komunikaty.
1518:  To jest tylko tyle.
1520:  Dlatego ja się tak bulwersowałem na przykład wiele razy w odniesieniu do list lektur, ponieważ listy lektur są przeciwskuteczne w budowaniu naszej umiejętności wypowiadania się.
1529:  To żywa mowa i żywa literatura, teraz pisana dzisiejszym językiem, umożliwia nam nauczenie się języka dzisiejszego.
1537:  A jak chcecie być naukowcem, zajmować się historią literatury, no oczywiście, musicie znać literaturę nie tylko XIX wieku, XVIII, a i XVII i XVI.
1547:  I co więcej, nie tylko polską, tylko także inne.
1551:  I tutaj macie właśnie ten mit ogólnego wykształcenia.
1553:  Ogólne wykształcenie nie polega na tym, że przeciętny pracownik żabki ma znać całą klasykę.
1559:  To jest absolutnie niepotrzebne i zbyteczne.
1561:  Powiedziałbym nawet, że bardzo często może być tak, że jeżeli literatura narodowa jest stawiana cały czas na piedestale, to w społeczeństwie możemy kształtować wartości, które są niezbędne.
1574:  narodowe i konserwatywne.
1576:  A potem niesamowicie się zdumiewać, że takie partie wygrywają wybory.
1581:  No, wygrywają dlatego, że my wszyscy mówimy w Polsce językiem konserwatywnym, tak nawiasem mówiąc, abyście się zastanawiali, i patriotycznym.
1592:  Bo taki język nam został zaprezentowany.
1595:  Nie było żadnej alternatywy w kanonach lektur.
1598:  Dlatego nawet ludzie, którym się wydaje, że myślą i rozumują postępowo, tak naprawdę bardzo często mówią językiem, który absolutnie postępowy, dzisiejszy i współczesny nie jest.
1608:  Tylko jest językiem XIX-wiecznej Polski, która jeszcze przypominam do tego wszystkiego, miała bardzo istotny argument za tym, żeby kształtować dyskurs narodowy zwoleńczy, bo nie wiem, nie była niepodległa,
1622:  to jakim cudem chcemy dzisiaj funkcjonować w naszej rzeczywistości w taki sposób, żeby nie kształtować w sobie postawy polonocentrycznej, że istnieje tylko Polska, a cała reszta to jest albo do podbicia, albo do składania nam pokłonów?
1636:  Jeśli czytamy literaturę ludzi, którzy właśnie byli w takiej sytuacji, że chcieli Polskę wynieść na piedestał,
1645:  Siłą rzeczy będą w nas się te wartości umacniać i siłą rzeczy będą one w którymś momencie kulminować do pozycji radykalnych.
1652:  Bo jeśli dzisiaj nie ma takiej sytuacji, że nie ma Polski, Polska nie jest pod jakimkolwiek jarzmem zewnętrznym, to jeśli będziemy wmawiać ludziom, że nie no, że Polska ma być bardziej wolna niż jest w tej chwili, to ludzie się będą radykalizować.
1668:  Stąd macie cały ten dyskurs o tym, że o, jest Unia i ona nas zniewala.
1671:  No właśnie dlatego, że ludziom wcześniej daliście język mówienia o niewoli i język mówienia o wyzwalaniu narodu.
1680:  Przysłuchajcie się temu, jak różne partie komunikują się z wyborcami.
1685:  Wszyscy używają tego języka.
1687:  Niezależnie od tego, z której strony politycznej barykady się wyłaniają, wszyscy mówią tym językiem, bo wszyscy mają ten język dany.
1695:  A tymczasem ja bym wolał, żeby mówili poprawnie i logicznie.
1699:  A nie żeby mówili sztucznym językiem stworzonym w innym czasie, w innym miejscu i przez innych ludzi.
1706:  Ale nie będzie tego z tego względu, że cały czas nasz system kształci albo wybitnych, albo przeciętnych, albo niespełnionych naukowców.
1716:  A przekonanie, że 80% społeczeństwa powinno mieć stopnie naukowe albo tytuły naukowe uczelni wyższych,
1725:  nie prowadzi do niczego dobrego, to znaczy prowadzi do tego, że większa część społeczeństwa będzie po prostu nieszczęśliwa.
1733:  Dlatego jak się zastanawiacie o tym, czy iść na studia, wpierw się zastanówcie, dlaczego się nad tym zastanawiacie.
1739:  Ja byłem pewien, że chcę iść na studia, byłem pewien, że na nich zastanę więcej niż 5 lat, byłem pewien, że będę chciał robić doktorat.
1747:  To był od samego początku mój plan.
1749:  Nie wahałem się.
1751:  Nie zastanawiałem się.
1752:  Jedyne co, to starałem się w szkole zawsze mieć wszędzie możliwie najlepsze oceny, o niestety, tak swoją drogą, i najlepsze osiągnięcia, ażeby nie mieć później problemu z wyborem, tak?
