Wiedza za kasę. Po co nam podręczniki w XXI wieku?
🔗 https://www.youtube.com/watch?v=4jhHdC3UEdk

0:  Antyszczepionkowcy, płaskoziemcy.
545:  A zatem postawienie na tablety albo jakiekolwiek inne urządzenia, które by uczyły nie tylko i wyłącznie tej wiedzy, która tam jest zgromadzona, ale przede wszystkim multitaskingu, zarządzania swoim czasem i przede wszystkim również poruszania się po sieci i wyszukiwania materiałów naukowych, byłoby rozwiązaniem w moim przekonaniu genialnym, ale właśnie problematycznym pod względem tego, że uderzałoby w pewne lobby.
570:  Ale zaraz, zaraz, zaraz, przecież uświadommy sobie, że istnieją już rozwiązania tego typu.
576:  Przecież Ministerstwo Edukacji i Nauki prowadzi portal e-podręczniki i na rzeczonym portalu e-podręczniki możemy zapoznać się z większą częścią podstawy programowej już funkcjonującej, tu nawet możemy ją fizycznie przejrzeć i te materiały, które są tutaj dostępne, jako żywo przypominają to, z czym mamy do czynienia w większości podręczników.
598:  Otóż okazuje się, że da się zrobić edukację cyfrową, tylko co z tego, że mamy tego rodzaju portal epodręczniki.pl, skoro uczniowie w dużej części wykluczeni cyfrowo nie mają możliwości wyświetlenia rzeczonego portalu.
613:  Pomijam, że w większości szkół komputery są wyłącznie w pracowniach informatycznych, co zakrawa o pośmiewisko, bo powinny być w każdej sali, ale do tego naprawdę nie trzeba jakiegoś wysoko zaawansowanego sprzętu.
628:  Nie wszyscy musimy być schronieni za pecetami.
631:  W szkołach czy koleżach anglosaskich już od dłuższego czasu praktykuje się wydawanie uczniom czy studentom iPadów albo tabletów, na których wgrane jest co więcej już oprogramowanie usprawniające naukę.
644:  I w ten sposób również możemy uczyć posługiwania się rozmaitymi aplikacjami, które albo pomagają nam zarządzać czasem, albo pomagają nam zorganizować swoją wiedzę, albo wspomagają w ogóle proces zapamiętywania i uczenia się.
656:  Tego rodzaju aplikacji jest legion cały.
659:  I to owszem nie jest dużo, bo wszystko wciąż zależy od nauczyciela, ale moim zdaniem jest to duży krok na drodze do tego, żeby wreszcie trochę chociaż unowocześnić polskie szkolnictwo.
672:  Bo zawsze powtarzam, że mamy coś, co ma w zasadzie niewiele krajów, to znaczy dostęp do...
678:  darmowej i bezpłatnej oświaty.
680:  Właśnie rzeczone, przywołane przeze mnie kraje przed chwilą anglosaskie takiego komfortu nie mają i większość uczniów kończy i studentów z kredytami studenckimi.
690:  Nie każdego też stać na to, żeby pójść do drogiego koleżu, jak na przykład do Eton, gdzie właśnie rzeczone iPady się pojawiają.
697:  A to wszystko oznacza, że jeżeli polski podatnik i tak łoży na utrzymanie polskiego szkolnictwa podstawowego, ponadpodstawowego i wyższego, to niech chociaż,
707:  Dzięki za oglądanie!
710:  kontrybuuje, przykłada się do zwiększenia kompetencji także cyfrowych młodego pokolenia.
716:  No i najważniejsza kwestia.
717:  Zauważmy, jakie to niesie ze sobą oszczędności.
720:  Przecież pieniądze na wyprawkę szkolną częściowo są też pieniędzmi na podręczniki.
725:  Przecież kaucje za podręczniki, które są pobierane przez rodziców, bardzo często są pobierane po to, żeby podreperować budżet szkolny, bo podręcznik został zniszczony na takiej zasadzie, że jest zagięty jeden róg, aha, to inkasujemy pełną opłatę w takim razie.
738:  No i wreszcie pamiętajmy o kosztach ukrytych.
741:  I wreszcie, na sam koniec, pamiętajmy również o najgorszym koszcie ukrytym, jakim są zwyrodnienia kręgosłupa, wynikłe z tego, że dzieciaki chodzą do szkół dźwigając gigantyczne tornistry, jak nieprzymierzając Oliver Twist albo inny bohater XIX-wiecznych powieści o wyzysku dzieci i o kładzeniu im na barki dosłownie ciężaru, którego nie są w stanie podźwignąć.
765:  Ja sam mam zwyrodnienie kręgosłupa lędźwiowego, które będzie skutkowało tym, że będę musiał prawdopodobnie za kilkanaście lat się w pełni rehabilitować.
773:  I to zwyrodnienie kręgosłupa oczywiście, że pojawiło się od momentu, w którym zacząłem nosić ciężki tornister do szkoły wypełniony książkami, bo przecież w 90% szkół nie można dać szafek na książki.
785:  A zatem podręcznik, i to jest ostatnia rzecz, która chciałbym, żeby wybrzmiała w tym vlogu, to nie tylko jest problem finansowy, edukacyjny i powiedzmy również fizyczny czy psychofizyczny, ale to także jest pewna iluzja i złudzenia.
801:  Zgłodzenie, że jesteśmy w stanie wydać książkę, która przez ileś lat będzie uniwersalna, będzie wszystkich w jednakowym stopniu zapoznawała z pryncypiami danej dyscypliny czy danego przedmiotu i, co najgorsze w tym wszystkim, wytwarzała przekonanie, że to, co jest w podręcznikach, jest prawdą.
821:  A jedyna prawda jaka jest w nauce to to, że każdą wiedzę jesteśmy w stanie zakwestionować, że nauka polega na nieustannym, krytycznym przyglądaniu się swoim osiągnięciom i ich wiwisekcji, ciągłej, nieufnej i sceptycznej.
838:  Bo to jest właśnie podstawa rozwoju naukowego i w momencie, w którym uwierzymy w to, że to co się pojawia w Wikipedii,
845:  w encyklopedii Britannica, w encyklopedii PWN albo w podręczniku nowej ery do nauczania biologii czy historii, to jest święta i objawiona prawda, to w tym momencie będziemy mieli dokładnie o ten rząd wielkości większe problemy z rozeznawaniem tego, co jest półprawdą, co jest fałszem, a co jest postprawdą i fake newsem w sieci.
868:  Właśnie dlatego, że jesteśmy nieprzystosowani do tego, jak wyszukiwać informacje w sieci,
873:  biorą się z tego właśnie takie problemy.
876:  Dajcie mi znać w komentarzach, czy chcecie, żebym poruszał jeszcze ten wątek, bo noszę się z zamiarem poopowiadania o tym, w jaki sposób wyszukiwać wiarygodne i wartościowe informacje w sieci i także jak, korzystając wyłącznie z materiałów cyfrowych, docierać do rzetelnych źródeł informacji.
898:  No to tyle.
899:  Do następnego.
