Eskapizm w fantastyce
🔗 https://www.youtube.com/watch?v=43q2cOhqVhU

1:  eskapizm.
615:  Bardzo często mówimy o feminizmie, coraz częściej mówimy o społecznościach LGBTQ.
621:  Pojawiał się też temat imigrantów.
623:  To są tematy polityczne, społeczne, które rozpalają debatę w ten czy inny sposób.
627:  Tutaj możemy dyskutować już wchodząc w dyskusję polityczną na temat tego, czy rzeczywiście w XXI wieku powinniśmy się zastanawiać na temat podstawowych praw człowieka, ale to jest dyskusja na inny odcinek i raczej do serii dla każdego coś przykrego.
642:  Natomiast fakt, że w sztuce pojawiają się te tematy, bardzo często, i to jest coś, co mnie martwi, determinuje nasz wartościujący osąd.
652:  To znaczy powiemy, tak, to jest wybitne, ponieważ porusza ważny problem społeczny.
657:  Nie, to jest wybitne dlatego, że wow, to było świetnie napisane, siadłem i nawet nie zorientowałem się, jak minęły cztery godziny.
666:  Gdy tymczasem w momencie, w którym tyle mówimy o tym, że literatura umiera, cywilizacja się rozpada, nikt nic nie czyta, to chyba czytanie powinno być wartością samą w sobie, skoro tak to ciągle podkreślamy.
678:  To dlaczego ktoś, kto pochłonie w 8 godzin podtera, jest gorszym czytelnikiem od tego, kto przeczyta ważny reportaż o imigrantach?
687:  Ja nie twierdzę, że...
688:  tego rodzaju sądy są powszechne.
691:  Ja tu nie mówię o też indywidualnych opiniach, mówię o raczej pewnym dyskursie, który pojawia się w kulturze.
697:  Czy tego chcemy, czy tego nie chcemy i oczywiście jego przyczyny mogą być najróżniejsze.
701:  Od poglądów waszej polonistki w szkole, poczynając, a skończywszy na poglądach osoby, która układa listę lektur na maturę, czy tudzież ludziach, którzy odpowiadają za programy w Ministerstwie Nauczania i podstawy programowe.
715:  Powiedzieliśmy tylko i wyłącznie o edukacji, a jeszcze moglibyśmy powiedzieć o różnych lobbystach, grupach nacisku, pisarzach, ich poglądach politycznych, poglądach redaktorów, np.
723:  redaktorów wydawnictwa Znak, które dopuściło do druku powieść, w której znajdziemy brutalne, ekstremalne opisy gwałtów.
734:  Jakby to nikogo nie zdziwiło, co jest dość przerażające.
739:  I moja teza jest taka, że nie zdziwiło dlatego, że to jest znak.
743:  Bo gdyby to wydał Dom Horroru albo jakiekolwiek wydawnictwo kojarzone z horrorem i przedostałoby się to na przykład do Wyborczej czy do Tygodnika Powszechnego, to pewnie ktoś by spojrzał właśnie z tym takim gestem, że no proszę, no to nic cifnego, że no to w takim środowisku się już takie rzeczy dzieją.
765:  Gdyby tak nie było i gdybym nie miał racji, to o temacie, który pojawił się w internecie dwa dni temu i rozgorzał, byłoby dziś wszędzie głośno i wszystkie media by się o tym rozpisywały, tak jak się rozpisywały o tym, że na konwentach dochodziło do molestowania seksualnego i o tym nagle było wszędzie głośno.
785:  Ponieważ znaleźliśmy grupę społeczną, do której ta teza pasowała.
789:  To znaczy właśnie tych leniwych utracjuszy, którzy czytają o smokach, księżniczkach i kosmitach, zamiast żeby zająć się gliną ludzką i tym, co jest interesujące, tym, co jest ważne społecznie.
806:  Albo, wariant drugi, mniej humanistyczny, a bardziej techniczny, żeby zajęli się produkcją i coś wyprodukowali wreszcie, i zrobili coś, przyczynili się do rozwoju gospodarki.
818:  Ale zauważmy, że te dwie tezy nie różnią się od siebie.
820:  One są formułowane z takiej samej klasistowsko-wyższościowej pozycji.
825:  Że oto człowiek, który robi coś, co kocha i bez żenady mówi, ja to kocham dlatego, że mi to sprawia przyjemność.
833:  że to jest moja rozrywka, że ja wtedy wypoczywam, zapominam o świecie, który mnie otacza.
839:  To nie jest argumentacja, która trafia do kogokolwiek, bo mamy bardzo głęboko zakodowane w sobie to, że każdą chwilę naszego życia powinniśmy spędzić albo na tym, żeby przyczyniać się do rozwoju rzeczywistości na takim planie mikro, to znaczy produkować coś, chodzić do pracy,
859:  kontrybuować do społeczeństwa czymkolwiek, albo z drugiej strony, że powinniśmy nie tracić czasu.
866:  Co to znaczy tracić czas?
868:  Dlaczego?
869:  Powrócę znów do tego.
871:  Nie powiemy, że ktoś, no znowu zmitrężył czas na dwie godziny opery, no ileż można, ale powiemy, że marnuje czas, bo jest sesja, a poszedł sobie na koncert Daft Punk'a.
883:  Albo, alternatywa, marnuje życie, bo w Sylwestra gra w grę komputerową, zamiast żeby spotkać się ze znajomymi, odwołuje się do słynnego mema, będę grał w grę.
895:  I teraz dlaczego tak się dzieje?
897:  Dlaczego odmawiamy ludziom czerpania przyjemności z tego, z czego czerpią przyjemność?
901:  No właśnie dlatego, że jest pewien dyskurs, któremu ulegamy.
905:  I teraz na...
907:  Sam koniec w zasadzie.
908:  Chciałbym zwrócić Waszą uwagę na jedno zasadniczą rzecz.
912:  To znaczy, że ucieczka tak potępiana, ona ma dwa wektory, nazwijmy to.
918:  To znaczy, uciekamy skądś i zazwyczaj uciekamy dokądś.
922:  No i wiem, prostackie.
923:  Ale zastanówmy się przez chwilę nad tym, co to oznacza.
927:  Jasne, uciekamy od świata, który nas turbuje, który sprawia, że odczuwamy jakąś boleść egzystencjalną, jak Artur Schopenhauer, memiczny już.
937:  Ale z drugiej strony, jeżeli uciekamy skądś, to musimy uciec dokądś.
941:  I właśnie to daje nam fantastyka.
944:  To znaczy, daje nam rzeczywistość, do której możemy uciec.
948:  To nie jest moje rozróżnienie.
949:  Na ten pomysł wpadł Tolkien w eseju Drzewo i Liść, mówiąc, że nie należy karać człowieka, który chce uciec z więzienia zwanego rzeczywistością.
957:  Bo najwyraźniej, jeśli w tym więzieniu czuje się represjonowany, to należy mu dać nadzieję.
964:  Należy mu dać jakiś cel.
967:  I to, że on ucieka z tego więzienia i to mu się udaje, powinno być przez nas traktowane raczej jako coś bardzo pozytywnego niż negatywnego.
977:  A drugi cytat, który zawsze powtarzam, kiedy tylko mogę, bo uważam, że jest to jedna z najmądrzejszych definicji fantastyki i eskapizmu, jakie usłyszałem w całym swoim życiu, należy do krytyka literackiego amerykańskiego, Douglasa Barbera, który w recenzjach książek Gaia Gavrila Kea powiedział kiedyś, że są one an escape that brings us home.
997:  Ucieczką, która sprowadza nas do domu.
1000:  Bo fantastyka, bo to, co sprawia wam przyjemność, nie tylko fantastyka zatem, ale wszystko, co oferuje jakiś inny świat, co sprawia, że zapominacie o Bożym świecie, jak to się mawia, że tracicie poczucie czasu, a równocześnie nie macie świadomości, że oto obcuję ze sztuką wysoką, z przekazem artystycznym, który nie jest komercją.
1029:  Ale nie musimy właśnie, prawda?
1032:  Możemy czerpać z tego przyjemność.
1034:  I taka sytuacja jest właśnie ucieczką do świata, w którym możemy odnaleźć paradoksalnie odpowiedź na wiele trapiących nas frasunków i problemów.
1048:  To właśnie w fantastyce możemy odnaleźć tę odpowiedź na to pytanie, które sobie zadajemy w rzeczywistości, bo wtedy się dekoncentrujemy.
1058:  Spuszczamy trochę gardę.
1060:  Stajemy się może bardziej tolerancyjni i otwieramy się na inność prawdziwym tego słowa znaczeniu, bo czym jest fantastyka, jak nie projektowaniem innych światów?
1069:  Nie jest rzeczą przypadku, że w czasach pandemii tak dużo oglądamy Netflixa, gramy w gry wideo, czytamy książki, bo cóż nam innego zostało?
1080:  Ale to nie musi być tylko w czasie pandemii.
1082:  Potraktujcie to jako pewną, ja wiem, lekcję na przyszłość.
1088:  Może właśnie teraz uciekamy dokądś, a nie tylko uciekamy skądś.
1094:  I może właśnie tam znajdziemy odpowiedzi na trapiące nas wątpliwości i pytania.
1100:  Zatem nie przekreślajcie fantastyki czy popkultury czy czegokolwiek innego jako eskapizmu.
1106:  Nie traktujcie tego jako przejawu tchórzostwa.
1110:  Człowieka, który nie chce wypowiadać się na temat rzeczywistości, który nie chce mówić o brzemiennych społecznie tematach, który nie chce rozpalać się dyskusją polityczną.
1119:  Spróbujcie znaleźć w tym jakąś mądrość, inną mądrość.
1123:  I dajcie temu drugiemu człowiekowi szansę na to, żeby się realizował w zupełnie innym dyskursie.
1129:  I być może jak ze sobą porozmawiacie, to odkryjecie coś wspólnego.
1136:  Z tą myślą bym chciał Was dzisiaj pozostawić, inaugurując cykl moich luźnych przemyśleń, a czasem bardziej precyzyjnych na temat fantastyki i fantastyczności.
1147:  To akurat towarzyszyło mi od samego początku, odkąd w wieku 9-10 lat zacząłem czytać fantastykę i nie przestałem nigdy.
1155:  Nie przeszkodziło mi w tym absolutnie nic.
1158:  Ani zamiłowanie do innych mediów, ani zamiłowanie do innych typów narracji, ani edukacja polonistyczna, która robi absolutnie wszystko, żeby tylko wytrzebić ze mnie tę pasję.
1169:  To zostało ze mną i pomogło mi w życiu w bardzo wielu przejawach i bardzo wielu problemach.
1178:  Zatem eskapizm to nie jest tylko i wyłącznie ucieczka.
1182:  Eskapizm to jest pewna szansa i nadzieja i marzenie.
