🔴 Chociaż krowie dasz kakao, nie wydoisz czekolady | LIVE #3
🔗 https://www.youtube.com/watch?v=TTa-380ajUY

2:  Witajcie serdecznie.
179:  Jak w ogóle będziecie chcieli częściej live'y tego autoramentu, a nie tylko i wyłącznie takie, które będą się odbywać z jakiejś okazji, to dawajcie mi znać.
188:  Co sądzę o polskiej scenie booktube'owej w Polsce i chociażby o takim kanale jak Bestselerki?
193:  Ja szczerze powiedziawszy kojarzę
196:  wielkiego booka bodajże, jeśli mnie pamięć nie myli, ale nie wiem, czy to jest w wersji blogowej, czy vlogowej, ale dobra robota tam się robi.
205:  Myślę, że BookTube jako pewna idea jest dobry, natomiast mam wrażenie, że jest troszeczkę hermetyczny i bardzo cierpi z tego względu, że dużo zajadłych fanów na przykład fantastyki narzeka na formułę recenzji książki jako wideorecenzji.
219:  Ja też mam z tym pewien problem i jest powód, dla którego na tym kanale nigdy nie było
223:  recenzji.
224:  Jak mogę hejtować francuski?
225:  Przepraszam, to dlatego, że nie umiem mówić po francusku.
228:  Dlatego też zawsze z pewną dozą zazdrości maskowaną ironią i złośliwością mówiłem, że to jest galicka łacina.
237:  Co sądzę o polskich autorach fantastyki, na przykład Anecie Jadowskiej.
240:  Aneta Jadowska wciąż jest przede mną, za co strasznie Anetę Jadowską przepraszam, jak również większość polskich pisarek fantasy.
246:  To straszne.
247:  Jest bardzo dużo rzeczy przede mną niestety.
250:  literacko.
250:  Tam gdzieś się piętrzy Malazańska Księga Poległych, którą kupiłem i to uważam, że to już jest połowa zwycięstwa.
255:  Nie zacząłem jeszcze czytać, ale już kupiłem.
258:  Skąd nazwa tego streamu?
259:  Pyta Erin.
260:  Erin, nasz stream nazwany jest tak na cześć myśli nieuczesanych Stanisława Jerzego Leca.
265:  Tak Krzysztof poleca polskiego pisarza.
268:  Niech to zostanie zapisane złotymi zgłoskami w tablicach marmurowych.
272:  I w wielkich annałach historii jamników i magów ognia.
275:  Tak, polecam Stanisława Jerzego Leca, to jest jeden z najlepszych polskich aforystów.
280:  A poza tym, no nie oszukujmy się, to jest ciekawy prospekt, nakarmić krowę KKM i oczekiwać czekolady.
286:  Jakieś porównanie Politechniki Wrocławskiej i AGH?
291:  Wiecie co, jeżeli chodzi o ten, odpowiedź na to pytanie jest bardzo prosta.
294:  Tak się bawi, tak się bawi, AGH!
298:  I to jest coś, co usłyszałem od rektora Akademii Górniczo-Kłótniczej na inauguracji, więc wiecie, dla samego fanu słyszenia tego na inauguracji, a nie Gauda Musiki Tur i tak dalej, warto iść na AGH.
313:  A poza tym, z tego co pamiętam, jeżeli chodzi o rankingi Politechnik, to Agiech jest tylko i wyłącznie za Politechniką Warszawską i Poznańską, więc jeżeli ktoś się przejmuje rankingami, to here's your thing.
329:  Czy może ktoś kojarzy Nila Shustermana?
333:  Kosiarzy, kosiarzy.
334:  Coś kojarzę, ale bardzo mgliście, co oznacza, że musiałem nie czytać, tylko widziałem jakąś recenzję.
340:  Jak to dobrze, że stream, bo muszę się uczyć dat z historii na pamięć.
343:  Just Stop Motion YouTube narzeka i się nie dziwię.
347:  Daty to nie jest historia.
348:  Historia to jest narracja, zresztą po francusku.
351:  Tutaj będzie prezent dla miłośników języka francuskiego.
355:  Histoire znaczy, no właśnie, opowieść, narracja, a nie wymienianie z pamięci dat i przypisywanie ich do wydarzeń.
362:  Potrzeba tak na maturę i jest tak w vademekum.
365:  Nie wiem, dlaczego powiedziałem to głosem guślarza z Wiedźmina.
370:  Co sądzę o nowym laureacie nagrodnika?
372:  Nie wiem, nie czytałem.
373:  Szczerze?
374:  Postanowiłem interesować się nagrodą nika tylko wtedy, kiedy będzie to dostawał ją jakiś fantasta albo ktoś, kto pisze w moich klimatach, tak jak to było w wypadku Radka Raka.
384:  O, zaksiążkowane Marta F. Poleca i strefę czytacza z naszego kręgu booktubowego, więc to dla was informacja.
395:  W Dark Souls jest już od Księdza Krokodyla prośba, żeby nazwać czarodzieja Jamnikos.
400:  Zostanie to rozważone.
402:  Czy zakupiłem wreszcie... O, tak, to jest ten moment, kiedy umykają mi różne rzeczy, bo jest dużo wypowiedzi na czacie.
408:  Witamy przy okazji OB-13 w gronie Trybutariusza, jeśli nie mając kryty Trybutariuszy pierwszego kręgu, czyli kręgu Magii Ziemi.
415:  jak znajomych Glena Cooka, tam po prawej mojej, gdzie nie widzicie niczego, jest cała czarna kompania Glena Cooka, uwielbiam absolutnie.
425:  Pewnie, że jest herbatka Palitko, pewnie, że jest Palitko, przepraszam za przekręcenie.
432:  Zawsze jest herbata.
432:  Czy zakupiłem wreszcie, pyta Karta Wamińska, trylogię Wojen Makowych?
436:  Nie, jeszcze nie.
437:  Postanowiłem kupować książki wtedy, kiedy przeczytam poprzednie.
441:  To jest oczywiście straszna pułapka, bo prawda jest taka, że nigdy te stosiki się nie kończą.
448:  Witam was serdecznie, wszystkich gromadzących się, jest was tu ośnieśmielająco sporo.
453:  Co sądzę o trylogii Meta, czytałem tylko pierwszy tom, ale polecam, jeżeli ktoś lubi postapokalipsę zdecydowanie.
459:  Jak pracowałem na krakowskim rynku, pisze Agnieszka, sprzedając pamiątki, to jedynymi osobami, które chciały mnie okraść, przy tym były to ściereczki z napisem Kraków, były 70-letnie francuski.
469:  Oto i kombatantska historia z Krakowa, gdzie dzieją się różne rzeczy.
472:  Opowiadałem wam prawdopodobnie już na live'ach anegdotę o Bonner Place, bo tak nazwano kamienicę bonnerowską i nieszczęśni amerykańscy turyści, którzy przyjeżdżali do Krakowa, kisnęli ze śmiechu w opór.
484:  widząc ten ucieszny prospekt i robili sobie selfie przed wielkim, rżniętym w marmurze napisem Bonner Place, ale bardzo możliwe, że mówiłem to ostatnim razem, powstrzymujcie mnie na wszelki wypadek, moja pamięć niestety nie jest zbyt dobra.
499:  Ja zdradziłam teraz, pisze Agnieszka AGH, bo zacząłem drugi kierunek na UJ.
502:  Nie skomentuję tego w żaden sposób.
504:  Jaką nieoczywistą książkę mam następną w kolejce do czytania?
507:  Nieoczywistą?
510:  Prawdopodobnie będzie to coś naukowego, to by brzmiało bardzo nieoczywiście, ale jeżeli chodzi o beletrystykę, nie snułem chyba jeszcze żadnych planów.
519:  Przyznam wam szczerze, że moje tempo czytania bardzo spowolniło od czasu, kiedy muszę nadrabiać bardzo dużo różnych rzeczy.
526:  w innych mediach.
527:  Natomiast szykuje się też do powtórki fundacja simowa, bo nie ukrywam, że serial jest absolutnie znakomity.
532:  Jeżeli nie śledzicie, to naprawdę warto, mimo że jest z tygodnia na tydzień, a nie można go zbingować.
537:  Więc pomyślałem sobie, że warto byłoby sobie rzecz odświeżyć, bo och, jak ja to dawno czytałem.
543:  Mam następną pytanie, czy odpowiedź na pytanie, jaki był wpływ wypraw krzyżowych na pieśń o Rolandzie?
549:  Czy może być odpowiedź, że Roland został wybielony i pozbawiony strachu przed śmiercią?
553:  To jest, Pawle, pytanie powyżej mojej pokrywki.
555:  Pieśń o Rolandzie czytałem bardzo dawno temu, o przepraszam, Rolandzie, i zrównoważyłem z Tobie samej parodię pod właśnie takim tytułem, który przywołałem w pierwszej kolejności.
564:  To było tuż obok Dziewicy Nowoorleańskiej, którą napisałem wtedy, kiedy czytałem Dziewicę Orleańską Woltera.
569:  Kiedyś może dotrę do tych wszystkich moich parodii, Wam gdzieś podlinkuję.
575:  Czytam was dalej.
577:  Czy pozdrowię Discord Pajęczynę, bo tam jest dużo fanów.
580:  Bartolino prosi.
581:  Pozdrawiam najserdeczniej Discord Pajęczynę, jakkolwiek nazywa się tak od najbardziej nieprzyjemnej wydzieliny na świecie, która oplotła biednego Froda Bagginsa w filmie Jacksona, przez co nie jestem w stanie oglądać wszystkich scen z Shellobą, zawsze je przemijam, mimo że jestem fanem Władcy Pierścieni.
601:  Nie da się!
602:  Niemniej pozdrowienia.
605:  Mam sprawdzian z dziadów, części drugiej.
607:  You sweet summer child, nie pomogę ci w żaden sposób.
611:  Nic nie pamiętam na temat ten.
613:  Nic absolutnie.
614:  Jaka jest moja opinia na temat UAM?
616:  Taka na temat wszystkich innych uczelni, na których nie wykładałem.
618:  To znaczy nic nie wiem na jej temat.
620:  Okazjonalnie tylko znam niektórych ludzi.
621:  Stamtąd na UAM-ie sprawdźcie i łapcie profesora Kochanowicza albo doktora Jakuba Alejskiego.
627:  Oni zajmują się grami fantastyką.
629:  Czy znam gry z serii The Moon to the Moon?
633:  Chyba tak, tak.
634:  Wydaje mi się, że gdzieś kiedyś albo oglądałem jakieś recenzje na ten temat, albo grałem coś z tych dwóch rzeczy, ale to było bardzo, bardzo dawno temu.
644:  Jak się dostać na Discorda?
645:  Pyta Marta, bo jak klikam w link profilu, to nie mogę wejść.
648:  Moi drodzy, link do Discorda jest w opisie tego vloga.
651:  Powinien działać.
651:  Jeżeli nie będzie działał, to wygeneruję następny, ale prawie na pewno powinien działać.
656:  Chociaż z drugiej strony zawsze jest taka możliwość, że nie działa, to wtedy mi dajcie znać.
662:  Czy duży jest próg wejścia, pyta Ark, over real life w Total War Hammer?
666:  Bo nie wiem, czy się nie odbija, jak grałem tylko w proste RTSy.
668:  Jest dość duży, jeżeli nie grałeś w inne Total War'e, ale jeżeli grałeś na przykład w Three Kingdoms albo Rome Total War, to już pewne mechaniki są za tobą.
677:  Osobiście polecam na poziomie normalnym, zwykłym, bez żadnych szaleń z legendarnym, bo wtedy nie ma możliwości zapisu, granie wysokimi elfami i zaczynanie się na Ulfuanem frakcją Tyriona.
688:  To nie Tyrion Lannister w prawdzie, ale inny Tyrion, Król Feniks.
692:  I myślę, że tak jest najprościej.
693:  Bardzo dobry film, swoją drogą, na temat wejścia w Total War Warhammer zrobił Angry Joe na swoim kanale.
699:  To było z okazji premiery drugiej części.
702:  Czy grałem w Cyberpunka 2077?
703:  Jeśli tak, to co sądzę o warstwie fabularnej?
707:  Grałem, nawet rantowałem na ten temat w filmie ponadgodzinnym, sugerującym, co powinno zostać naprawione w Cyberpunku.
713:  Pochlebiam sobie, że pewne rzeczy, które wytknąłem, zostały naprawione.
717:  Warstwa fabularna jest wybitna i to byłby świetny film, natomiast jako gra RPG z otwartym światem nie spełniło absolutnie i całkowicie moich oczekiwań.
725:  Ja, jeżeli byłby reklamowany jako looter shooter, świetna gra absolutnie.
731:  Czy czytałem Zastępy Anielskie od Mai Lidiko-Ssakowskiej?
733:  Czy są warte przeczytania?
734:  Nie czytałem Mai Lidiko-Ssakowskiej, czytałem Grillbar Galaktykę.
739:  Czy Dark Souls będzie grany magiem, czyli piromantą?
741:  Oczywiście Samui, to oczywiście, że tak, naturalnie.
744:  Nati Holmo.
745:  Czy czytałem może Berserka, najlepsza manga Dark Fantasy jaka jest?
748:  Wielu z was mi ją poleca, mój problem polega na tym, że komiksy i manga to...
752:  Jedyne medium, którego nie śledzę.
754:  Nie umiem czytać komiksów, niestety.
756:  Mogę się uśmiechnąć z radością do szkolnictwa, ponieważ kształci się wiele umiejętności, natomiast no niestety nie wszystkie.
762:  I prawda jest taka, że jeżeli ktoś nie podszedł na własną rękę do komiksów w porę, no to może mieć gorszy próg wejścia.
769:  Z komiksów przeglądałem tylko V for Vendetta, kiedyś i Sandmana Gaimana.
776:  Właśnie poszedłem sobie i piszę, Jakub, na kolejne studia, czyli na kulturoznawstwo, na GH, machamy.
781:  I na pierwszych zajęciach będzie u jednej z prowadzących, czyli że daty to nie historia.
785:  No tak, właśnie tak jest.
788:  Właśnie tak jest.
789:  Czy grałem może w Somme i czy co o niej sądzę?
792:  Nie, nie grałem w Somme.
793:  Czy to jest na podstawie Huxleya?
794:  Jeśli tak, to jestem zainteresowany.
796:  Czy ekscytuję się na nadchodzący baner w Genshinie, Tartalia i Hutao?
800:  Hutao...
801:  ma gini ognia.
802:  Nieważne, że ona pracuje w zakładzie pogrzebowym i wymachuje dzidą.
806:  Liczy się dla mnie to, że jest piromantką, co oznacza, że prawdopodobnie dołączy do Yanfei, a może nawet ją zastąpi, ponieważ wbrew moim najszczerszym chęciom, najwyższy damage, jaki mi się udało, output uzyskać Yanfei, to jest jakieś 40 tysięcy.
819:  Dla tych z was, którzy nie grają w Genshin'a, to znaczy, że strasznie lamie.
824:  Skąd moje podejście do lektur, pyta Zoya Chmielewska, czy wszystkie są zbędne, jeśli nie wnoszą nowych współczesnych wartości, które wynikły wraz z postępem naukowym?
833:  Moje podejście do lektur jest troszeczkę inne i pozwólcie, że posłużę się przykładem Dark Soulsów, które już padły na czatach, okej?
841:  Wyobraźcie sobie, że macie, może tak być zresztą, 70-letnią babcię, która nigdy w życiu nie zagrała w żadną grę wideo.
849:  I wyobraźcie sobie, że chcecie to zrobić.
852:  I teraz wyobraźcie sobie, że w waszej próbie statystycznej badawczej oprócz 70-letniej babci jest jeszcze 6-letnie dziecko.
860:  I teraz myślę, że to są dwie grupy odbiorcze, które mogą być jeszcze nie wkręcone w gry wideo, stąd je podaję.
866:  I teraz, co dacie tym dwóm osobom do ogrania?
870:  Czy dacie sympatyczny, łatwy interactive movie, w którym musimy klikać tylko co jakiś 5 minut jakiś przycisk, żeby się coś zadażyło na ekranie?
880:  Czy też dacie wymagającą grę, przy której odpadają tacy ludzie jak ja, którzy mają na swoim koncie 10-12 tysięcy godzin grania?
890:  Dokładnie to samo myślę o dawaniu dzieciom Pana Tadeusza czy innych trudnych książek.
894:  To nie chodzi nawet o poruszanie tematów współczesnych, to chodzi o obniżanie progu wejścia.
899:  Jeżeli mamy książkę, która porusza trudne problemy, niech będzie napisana banalnym językiem, prostym językiem.
904:  Tutaj wkracza literatura dziecięca i młodzieżowa.
907:  Bardzo doniosłe i uniwersalne problemy są poruszane, ale narracja jest prosta.
911:  I odwrotnie, jeżeli mamy błahy temat, to wtedy możemy sobie szaleć z narracją.
916:  Problem z literaturą głównonurtową, w tym i z Olgą Tukarczuk, ale i tak z takimi klasykami jak np.
921:  Ulysses Jamesa Joyce'a jest taki, że i jedno i drugie ma bardzo wysoki próg wejścia.
926:  Dokładnie tak samo jest z klasyką.
927:  Dlatego właśnie uważam, że zachęcanie do czytania właśnie w ten sposób jest bez sensu.
932:  I jeszcze jest drugi element.
934:  No, po co my w ogóle się interesujemy sztuką, jak nie po to, żeby właśnie dowiadywać się czegoś o naszym świecie, tym, które nas otacza?
941:  Szczerze powiedziawszy, dla mnie jest troszeczkę miałkie czytanie literatury XIX-wiecznej i dowiadywanie się czegoś na temat XIX-wiecznego kapitalizmu, podczas gdy żyjemy w erze kapitalizmu kognitywnego, gdzie na przykład w Genshinie możemy utopić setki dolarów, nawet nie zdając sobie z tego sprawy.
958:  Co więcej, mając do dyspozycji kartę kredytową, która nawet nie jest tradycyjnym pieniądzem fidustrialnym.
967:  To, ile się zmieniło od czasów XIX wieku do XX, ba, tyle, ile się zmieniło w ciągu ostatnich 50 lat, jeżeli chodzi o rozwój technologiczny i to, jaki on ma wpływ na ekonomię i społeczeństwo, to wszystko sprawia, że książki naprawdę powinny być aktualizowane.
981:  Rozgadzał się Krzysztof oczywiście.
986:  Czy jakieś nadchodzące premiery filmowe mnie interesują?
989:  Pytanie od Jędrzeja.
990:  Moi drodzy, Duna, Denis Villeneuve.
993:  po znakomitym The Arrival, które zostało zaszlachtowane w tłumaczeniu absolutnie polskim, bo to chyba jest nowy początek i to jest spoiler, nawiasem mówiąc, tak samo jak tytuł What Happened To Monday znakomitej dystopii został przetłumaczony na Siedem Sióstr po polsku i to też jest spoiler, więc nie wiem dlaczego.
1015:  Tak więc tak, na pewno Dune'a, bo Villeneuve ekranizacją tego opowiadania Teda Chianga, nie pamiętam oryginalnego tytułu, ale właśnie w ramach filmu The Arrival pokazał swój absolutny kunszt i maestrię, więc bardzo, bardzo czekam.
1029:  No i jeszcze trzecia część fantastycznych zwierząt i jak je znaleźć.
1033:  Crimes of Dumbledore, Secrets of Dumbledore, nie pamiętam, ale of Dumbledore i to się liczy.
1040:  Arcymagnificencja Szymon, o, pisze, co myślę o tym, że jeszcze nie kupiłem podręcznika od angielskiego i pani ma do mnie pretensje, choć szkoła ma być darmowa.
1049:  A nie da się czasem tego podręcznika gdzieś zdobyć w jakichś źródłach podejrzanej proweniencji?
1054:  Na przykład Library Genesis albo Swojski Chomikuj?
1058:  Hmm?
1061:  Jak nie, to moja propozycja dekonstruowania tego systemu, jego demontażu, skrzyknąć się, skserować podręcznik, zeskanować, wrzucić do rzeczonego Library Genesis i niech będzie dla ludzi.
1077:  Wtedy będziemy mieć edukację darmową.
1080:  Czy jakieś książki z klasyki są?
1083:  Pyta serio życie, które lubię.
1086:  Zawsze to jest pytanie, które sprawia mi bardzo dużo problemów, ale myślę, że poszedłbym w Mistrza i Małgorzatę.
1092:  Tak myślę, to przynajmniej było wesołe.
1094:  Jaki smak świeczuszki na dziś?
1096:  Dzisiaj Sojang, który się nazywa Błogość, czyli
1099:  Ciemna czekolada i biała czekolada jest niezmiennie mój ulubiony, ale czekajcie i zaglądajcie na profil Sojangu, nawiasem mówiąc, to dla was zrobię segment, który nie jest segmentem reklamowym, tylko jest serdecznym poleceniem pracy mojej studentki byłej już, absolwentki Wydziału Humanistycznego, mianowicie jak chcecie to wbijajcie, oczywiście teraz nie zadziałało, o jest,
1122:  na Instagrama, na sojang.pl, tu się można skontaktować z tym sklepikiem i zakupić świeczuchę dla ciebie.
1128:  Bardzo to polecam, bo sam używam i zaznaczam jeszcze raz, to nie jest reklama, tylko serdeczne polecenie, więc wbijajcie sojang.pl na Instagramie, jeszcze nie ma sklepu, ale prawdopodobnie wkrótce będzie, jeszcze też można na Facebooku się kontaktować.
1143:  Dobra, wracam.
1145:  I miałem... Dobrze, czyli świeczka jest za nami.
1150:  Jaki kac, moi drodzy, nie ma żadnego kaca, dzisiaj jest niedziela, na szczęście, kac jest w sobotę po piątku, come on.
1159:  I'm a man of culture.
1162:  Czy będzie dzisiaj coś o Olce Tokarczuk?
1164:  Śmieję się dlatego, że na streamach mamy taki zwyczaj z gier, że wtedy muszę popić zwykle i właśnie popiłem.
1170:  Dlaczego jej tak nie lubię?
1171:  Bardzo proste pytanie i zawsze udzielam na nie jednakowej odpowiedzi.
1175:  Uważam tę twórczość za nudną, nieinteresującą i przede wszystkim cierpiącą na ten problem, na który nawiasem mówiąc, cierpi dużo pisarzy amerykańskich, to znaczy brak dobrego redaktora.
1185:  Tak jak w ikonografii Ogrodniku przedstawia się z sekatorami, tak samo w ikonografii, która by dotyczyła redaktorów, powinno się ich przedstawiać z czerwonym pisakiem, ponieważ rolą redaktora jest wykreślać to, co jest zbędne.
1199:  I moim zdaniem fabularyzowana antropologia kulturowa, jaką uprawia Olga Tukarczuk w swojej twórczości, nic mi nie mówi o świecie więcej niż to, czego bym się mógł dowiedzieć z naprawdę przeciętnego dokumentu na Netflixie.
1214:  Od jakiej pozycji zacząć swoją przygodę z fantastyką tak zwaną dorosłą, pyta Pat, żeby nie czuć się przytłoczonym i się nie poddać.
1224:  Myślę, że imię wiatru, Patryka Rotfusa.
1227:  To jest książka wybitna pod względem literackim, znakomita pod względem światotwórczym.
1233:  Nie jest prosta, to nie jest coś, od czego bym polecał zaczynanie przygodą z fantastyką, ale zaczynanie przygodą z fantastyką dorosłą, bardziej dojrzałą, myślę, że to jest dobry pomysł i warto temu dać szansę.
1243:  Ja strasznie żałuję, że przeczytałem tak późno na przykład.
1247:  Palitka Pityta myśli, że skoro teraz matura będzie trudniejsza, mniej osób zdecyduje się pójść do liceum i więcej będzie zainteresowanych zawódkami i technikami i mniej osób pójdzie na studia.
1254:  Myślę, że coraz mniej osób będzie chodziło na studia i to jest zdrowa tendencja, bo w dzisiejszych czasach studia powinny być naprawdę dla ludzi, którzy są po prostu mega zajawieni jakimś tematem i zainteresowani, bo szczerze z perspektywy wykładowcy
1266:  i dla nauczycieli akademickich i dla studentów jest lepiej, jeżeli po prostu są ludzie, którzy są zainteresowani.
1272:  Nikt nie lubi grupy, w której wszyscy siedzą i każdy sobie zdaje sprawę z tego, że jest tutaj dlatego, że musi albo dlatego, że rodzice chcieli.
1280:  Więc myślę, że jeżeli są jakieś predyspozycje indywidualne do tego, żeby pójść w jakimś kierunku, który jest bardziej techniczny albo nastawiony na kształcenie konkretnej umiejętności, to na pewno warto iść niekoniecznie na studia.
1294:  Studia są dla ludzi, którzy są naprawdę zaangażowani albo chcą pracować w takim zawodzie, gdzie rzeczywiście przydaje się wiedza teoretyczna i ogólna z jakiegoś zakresu.
1303:  A jeśli chodzi o studia humanistyczne, to mówię to jako przedstawiciel branży humanistycznej, to powinien być naprawdę dodatek i trzeba mieć...
1312:  Dobry i sensowny plan na to, co robić w życiu, bo można robić niesamowite rzeczy, ale trzeba być przygotowanym na stres, który wiąże się z pracą w branży kreatywnej.
1321:  Ciągłą niepewność, poszukiwanie pracy, próbowanie się w różnych sektorach, ale to bardzo wynagradza, tylko to jest praca dla długodystansowców.
1330:  Jak ktoś jest krótkodystansowcem, chce mieć szybko efekty, studia humanistyczne nie są dobrym pomysłem.
1335:  Co sądzę o kanale Pająki?
1338:  skoro jesteśmy oboje współtwórcami polskiego Booktube'a.
1340:  Ja nie sądzę, że jestem częścią Booktube'a.
1345:  Nie mam do tego predyspozycji w tym sensie, że nie robię na ten temat filmów, mimo że wykształcenie mam literaturoznawcze i czasem się na temat literatury wypowiem, ale tak czy inaczej tego kanału nie znam.
1358:  Powinienem poznać z tego, co widzę.
1363:  Kamienica powinna być wąska i wysoka, by pasowało.
1367:  Nie mógłbym się bardziej zgodzić Bigomeza, absolutnie.
1371:  Trochę słabo jest to, Panda.pl pisze, że jak ktoś ma dużą wiedzę z historii, nie ma głowy do dat i nie ma zamiaru wiązać historii, żeby zmusić do uczenia.
1378:  No tak, wiecie, no to jest problem, że ta historia jest związana z datami.
1382:  Niestety, niestety.
1383:  Nic nie zrobimy.
1384:  Czy Arcymago planuje zorganizować jakieś mitingi w odrażającym, realnym świecie?
1388:  Myślę, że drugą częścią tej odpowiedzi odpowiedziałeś sobie na to pytanie.
1392:  Nie no, pewnie przy okazji jakiegoś konwentu, ja lubię spotkania przy okazji, jeżeli chodzi o spotkania takie organizowane specjalnie, to nie jest jeszcze myślę po temu czas, ani moje możliwości czasowe też na to nie pozwalają za bardzo.
1407:  Hmm.
1410:  Pozdrowienia serdeczne.
1411:  O, Gutkain, widzę, jest polecany też absolutnie.
1414:  Nie czytałem ani Preczeta, ani Tolkiena, choć książki autorów mam na półkach.
1417:  Pisze Abnormal Sausage.
1420:  Mort Preczeta.
1421:  No, mort jest dobry.
1423:  Co mam poradzić?
1424:  Co mam poradzić?
1426:  Och, teraz przeskoczyłem nagle na koniec czatów.
1429:  Będą straszne rzeczy.
1429:  Przegapiłem super czat od Brego, za który serdecznie dziękuję.
1436:  Arcymagos ma kujący głos.
1438:  To dlatego, że nie krzyczę przy Wiedźminie.
1440:  Co to za świetna muzyka w tle?
1442:  Baba Yago to jest Jesse Gallagher's Spirit of Fire.
1446:  Cieszę się, że się podoba.
1449:  Martyna jest fanką tych ledów.
1451:  To chodzi o to, że są różowe, tak?
1453:  Witamy serdecznie wszystkich na czatach.
1455:  Wieszcie co, muszę zastosować znowu moją sprytną taktykę, to znaczy będę skakał tam i nazad, bo i tak wszystkiego nie jestem w stanie przeczytać, co jest przerażające.
1462:  Czy oglądałem serial Carnival Row?
1464:  Tak, polecam wam ogromnie, to jest świetny elban fantasy, chyba jedno z lepszych obok cienia i kości, więc jeżeli podobał się wam Shadow and Bone, to Carnival Row jest dobrym pomysłem.
1477:  Dobrze.
1479:  Lera pisze, oglądam streamy i filmy i mam pytanie, czy potrzebuję przeprowadzić malutki wywiad na wykłady, czy byłaby taka możliwość?
1485:  Chciałbym przybliżyć...
1487:  Pana, czyli pewnie chodzi o mnie, pasję w mojej grupie.
1489:  Oczywiście możesz się skontaktować ze mną na Discordzie, coś wymyślimy.
1493:  Nie kojarzę Krzysztofa Pietruszki.
1496:  Następnie, Nebula pisze, że najgorzej nauczone przedmiot szkoły to chemia i absurdalne wymagania w zakresie podstawowym.
1503:  I wyczytuję ten komentarz, dlatego że przypomina mi to, że jeden, jedyny raz, kiedy miałem korepetycję, to było w liceum.
1508:  Okazało się mianowicie, że Krzysztof nie był w stanie przejść przez zbiór Krzysztofa Pazdry, więc musiałem mieć korepetycje z nauczycielem akademickim z Agiechu, co zabawne.
1516:  I jeszcze zabawniejsze jest to, że podczas tych korepetycji okazywało się, że ale przecież ty wszystko rozumiesz, przecież wszystko jest w porządku.
1522:  Po czym wracałem do szkoły i dostawałem jeden.
1525:  Sztuka jest po to, żeby wywoływać emocje.
1527:  Zawsze.
1527:  Od tego jest.
