🔴 Na początku było Słowo, a na końcu Frazes | LIVE #5
🔗 https://www.youtube.com/watch?v=-gwsCcfNMCs

3:  Witajcie serdecznie.
726:  Naprawdę świetna sprawa.
727:  Lepsze pod wieloma względami niż Avengers.
731:  Anime Doktor Stone jest mi nieznane, Dawidzie, niestety, niestety.
736:  Czy dam się zaprosić do Agiechowskiego Radia 1.7, żeby pogadać o wybranych przez siebie filmach motywach?
741:  Pewnie, oczywiście, z rozkoszą wbijam.
745:  Skontaktuj się ze mną, najlepiej Jakubi na Discordzie, ustalimy sprawy wszystkie.
749:  Witamy wszystkich dołączających świeżo.
753:  Czy lubię piwa kraftowe, pyta Michał.
756:  Tak, jak najbardziej, bardzo.
759:  Zwłaszcza to z browaru agiechowskiego.
760:  To nie jest product placement, ale tak się bawi, tak się bawi, AGH.
765:  Zawsze mnie cieszy to, że mamy browar na kampusie.
768:  Nie, a poza tym bardzo lubię piwo, które się nazywa Długi Weekend, też jest kraftowe.
772:  Wiecie dlaczego?
772:  Bo na etykiecie jest jamnik.
775:  Czy znam Benten?
776:  Tak, Freddy, oglądało się Bentena, bardzo lubiłem.
779:  Świetna, świetna animacja.
782:  Cezaria Magento dopytuje w imieniu narzeczonego, którego pozdrawiam, czy oglądałem Doom Patrol i jeśli tak, to co o nim sądzę?
789:  Nie powiem ci, co sądzę, albowiem chyba nie oglądałem Doom Patrol.
792:  Widziałem tylko film Doom, który, oczywiście ten na podstawie gry, ale jeszcze był drugi film Doom, bodajże, ale mogę się mylić i przekręcać tytuł, który był o jakiejś dziwnej zarazie zombie za murem.
803:  Czy oglądam Newsroom?
803:  Tak.
804:  Tak, Pol Poliko, oglądam.
806:  Co sądzę, pyta Julek, o poziomie nauczania angielskiego w liceach.
809:  Uuu, bardzo źle sądzę.
810:  Czy obecny poziom powtarzania tematów od gimnazjum jest wystarczający i należy pozostawić naukę uczniom, czy lepszy był wymagający tok zajęć?
815:  Całkowita reforma nauczania języka angielskiego w kierunku immersive learning, oglądanie seriali wspólne, filmów, a nie tylko tłuczenie słówek przez cały czas.
824:  Najgłupsza rzecz, jaka istnieje, to będzie... Okej, tu będzie krótszy rant, okej?
828:  Naj...
828:  Bardziej idiotyczna rzecz, jaka istnieje, to jest uczenie słówek kategoriami.
831:  Nie jestem w stanie zrozumieć, dlaczego jest to tak nauczane.
834:  Nie ma żadnych badań, które wskazują, że to jest skuteczne.
837:  W odróżnieniu od badań nad immersive learningiem, czyli nauczaniem przez zanurzanie się w jakąś rzecz, która nas cieszy.
842:  Gra wideo, serial, film, książka, wszystko jedno.
846:  Zastanówmy się może w ten sposób, czy jeżeli się uczymy języka polskiego albo dowolnego języka ojczystego, to mamusia mówi, dobrze, dobrze, to dzisiaj się uczymy mebli.
855:  To jest krzesło, to jest stół, to jest nakastlik, to jest łusio, to jest łóżko, to jest zgrubienie od łusia, a łusia jest zdrobnieniem od łóżka.
865:  I tak dalej.
867:  Nikt tak nie uczy.
869:  Nikt.
869:  Nikogo.
870:  Nigdy.
871:  Więc nie jestem w stanie zrozumieć, dlaczego uczy się w ten sposób języka.
874:  Ja przez trzynaście coś lat uczyłem się języka angielskiego i nie byłem w stanie przełamać blokady językowej.
879:  Dopiero w momencie, w którym zacząłem po pierwsze mieć niestety indywidualne lekcje z tłumaczem przysięgłym, który nie katował mnie zdaniem
886:  Krzysztof po angielsku się mówi wyłącznie krótkimi zdaniami.
890:  Jak zauważyliście zapewne, ja bez przerwy stawiam przecinek, moje zdania są coraz dłuższe, więc uznawałem to za gwałt na swojej tożsamości i psychice.
897:  Chciałem móc wypowiadać się tak, jak bym chciał, a nauczyciele mi na to nie pozwalali.
901:  Dopiero ta tłumaczka pokazała mi, w jakich konstrukcjach angielskich używać, żebym zachował zdania podrzędne i dopiero teraz postawiłem kropkę.
908:  Więc rozumiecie, że w moim przypadku akurat było to bardzo pilna rzecz, bo też potrzebowałem języka do innych sytuacji życiowych.
917:  Nie patrzenie w sylabusy, pisze hejter, to największa naiwność przyszłego studenta.
920:  Tak, patrzcie pilnie w sylabusy i oceniajcie wszystko.
923:  Jeżeli sylabus jest napisany niechlujnie językowo, to też to jest jakiś trop, nie?
933:  Patruję dalej.
933:  Dlaczego uczniów się udziedzinia, pyta Fade to Black, i uniemożliwia samokształcenie przez blokowanie czasem kartkówka, klasówka, odpowiedź?
940:  Myślę, że to jest cały czas to samo, to znaczy sen o urawniłowce, czyli z rosyjska mówiąc wyrównaniu...
947:  poziomu, wyrównaniu szans.
949:  Tylko problem polega na tym, że jak się wyrównuje poziom, to tego nas nauczył zbój prokrust koło Aten.
956:  To znaczy albo trzeba jednego ściąć o głowę, tego bardziej ambitnego, a tego, który z kolei nie dostaje do jakiegoś poziomu, ciągnąć na siłę za uszy.
964:  I jednego i drugiego się krzywdzi, a korzystają wyłącznie ludzie, którzy...
971:  pasowują się w ogół i stosują się do reguły sieć w końcu, a znajdą cię na przykład, prawda?
977:  I dlatego też szkoła moim zdaniem promuje tego rodzaju aspekty nauczania.
983:  Czy kojarzę anime jak Princess Nonononoke, Spirited Away, Vampire Hunter?
987:  Wszystkie trzy.
988:  Bardzo lubię, aczkolwiek u mnie na pierwszym miejscu jest zdecydowanie Ergo Proxy.
993:  Uczenie słówek tematycznie ma sens tylko przy nauczaniu pod konkretny zawód.
996:  Tu się zgodzę, jakby, tu się zgodzę.
998:  Grimhawk jeszcze w wątku języka angielskiego dopowiada, że za czasów Burning Crusade uczył się angielskiego, czytając opisy questów ze słownikiem.
1004:  Ja z kolei, jak wychodził Potter, byłem tak strasznie nachajpowany Potterem i tak strasznie chciałem czytać dalej Pottera, że stwierdzałem, nie, nie, nie, to ja muszę w takim razie nauczyć się czytać po angielsku i pamiętam, że od czwartego tomu chyba Pottera czytałem wszystkie już po angielsku.
1022:  Czy słucham Dungeon Sinfów?
1025:  Nie wydaje mi się ono 44, ale jestem kiepski w nazewnictwie nurtów muzyki.
1031:  Czy mógłbym wymienić jakiś przedmiot szkolny, który w obecnym systemie jest dobrze nauczany?
1035:  Myślę, że historia, wyjąwszy to jedno zastrzeżenie, które mieliśmy, nie?
1039:  To tak, wtedy tak.
1043:  Co do pozostałych, obawiam się, że nic.
1047:  Ja przez 10 lat edukacji szkolnej, pisze Kotejs, niczego się nie nauczyłam.
1052:  Zaczęłam się faktycznie uczyć języka dopiero jak zacząłem oglądać filmy, grać w gry i pisać po angielsku.
1056:  Pro tip dla Was wszystkich.
1058:  Oglądanie seriali, nawet jeżeli czujecie, że znacie dobrze język angielski, wrzućcie sobie napisy po angielsku.
1062:  Nic nie, aż będą szkodzić, a zawsze wpadnie jakieś słówko.
1066:  Popatruję.
1067:  Ładna bluza.
1068:  Dziękuję serdecznie.
1069:  Zawsze taka sama magowska.
1072:  Pewnym wyzwaniem jest zdobywanie jej kopii.
1076:  Podpatruję dalej.
1077:  Czy w mojej opinii jest różnica między adaptacją, pisze We Tomasz, a ekranizacją?
1081:  Czy ekranizacja to tylko szczególny przypadek adaptacji?
1084:  Oczywiście, że ekranizacja to tylko szczególny przypadek adaptacji.
1086:  Bardzo mnie bawi dzielenie włosa na czworo terminologicznego, ponieważ, niech to wybrzmi, są trzy typy adaptacji.
1093:  Jedna to jest adaptacja, druga to jest remediacja, a trzeci to jest taki przypadek, jak macie w fabułach transmedialnych typu Matrix.
1100:  W pierwszym przypadku robimy bardzo prosty przekład intersemiotyczny, przekład z języka jednego medium na drugi.
1106:  To jest ten kazus, kiedy ludzie mówią, że nie ma zgodności fabularnej, bla, bla, bla.
1111:  To nie jest kazus Wiedźmina.
1113:  Drugi przypadek to jest remediacja, to znaczy bierzemy pewne komponenty świata, postaci, bohaterów, lokacje i przedstawiamy je w realiach innego medium.
1122:  Na przykład gwint, ten growy gwint jest remediacją gwinta, który się pojawia w grze wideo Wiedźmin czy Dziki Gon, bo tam się on pojawia jako minigra, a tutaj się pojawia jako tytuł samodzielny i ewoluuje.
1134:  Natomiast trzeci typ, czyli fabuła transmedialna, to jest to, co macie w Marvelu.
1138:  I to jest model, który w tym momencie stosuje Netflix, ale z wyłączeniem gier wideo i z książek niestety w większości.
1144:  Książki w większym stopniu są jeszcze włączone, gry w żadnym praktycznie.
1149:  Natomiast Netflix rozwija w tym momencie własne uniwersum transmedialne, to znaczy mamy animkę już, mamy serial i jeszcze będziemy mieli prequele.
1158:  Za moment nie zdziwię się, jeżeli będzie jakiś film i to zacznie się łączyć w takie nowe MCU.
1162:  W tym momencie pół Hollywoodów to idzie, dlatego też stosowanie takiej starożytnej kategorii, jaką jest adaptacja fabuły, co więcej, do takiego serialu jest dużym błędem, bo Netflix, owszem, jeśli coś adaptuje, to coś podobnego, co Wiedźmin 3.
1175:  Dziki Gon, czyli świat.
1177:  A adaptacja świata, moi kochani, rządzi się innymi warunkami niż adaptacja fabularna, bo tutaj nie jest...
1185:  problem tego, czy mamy zgodność zdarzeń 1 do 1.
1188:  Tutaj może być sobie dowolna fabuła, jaką chcemy, ale jest jedna świętość, wyglądy postaci, nazwy lokacji, spójność wszystkiego, lore, krótko mówiąc, wiedza o całej tej rzeczywistości.
1200:  Tutaj serial Netflixowy bardzo cierpi.
1204:  Tokio Ghul nie kojarzę, ale moja dyplomatka, którą serdecznie pozdrawiam, teraz pisze pracę licencjacką na ten temat, więc będę musiał wreszcie obejrzeć.
1212:  Julia pierwszy raz zdążyła na Q&A.
1214:  No to pozdrowienia, Julio Przygodo.
1215:  Cieszę się, że wpadłaś.
1218:  Ambiencik z tytułami docenione.
1219:  Bardzo się cieszę, że się podoba.
1222:  Dlaczego nauczyciele zadają tak dużo prac domowych, mimo że muszą to wszystko sprawdzać, a potem czekają na to, że nie mają czasu, bo muszą to sprawdzać, gdzie tu jest sens?
1228:  Nie ma tutaj sensu, oczywiście poza tym, że trzeba będzie, jak dobrze wiecie, zrealizować podstawę programową.
1237:  I tyle, jeżeli nauczyciel rzeczonej podstawy nie jest w stanie zrealizować na lekcjach i nie organizuje sobie odpowiednio czasu, to zrzuca większość rzeczy do zadań domowych.
1246:  No, jest dużo systemów edukacyjnych, w których zadania domowe w ogóle nie funkcjonują.
1250:  Często jestem poprawiany, że nie, nieprawda, Krzysztof, w systemie anglosaskim też są zadania.
1254:  Aha, tak, to znaczy tak zwane course assignments, które są, dotyczą czegoś zupełnie innego, na przykład mamy projekt albo esej do napisania.
1262:  ale on jest semestralny na przykład, albo na trzy miesiące, to jest coś zupełnie innego niż zadania z dnia na dzień, które sprawiają, że cztery godziny człowiek siedzi.
1271:  Zawsze jest zapis live'u Euronym, zawsze jest.
1275:  Podpatruję dalej, podpatruję dalej.
1278:  Będzie pomagało mi w wychwytywaniu pytań, jeżeli będziecie mnie oznaczać.
1282:  To jest właśnie ten jeden element, który nie jest, jak zauważycie zapewne,
1306:  realizacją jakiegoś wątku fabularnego, tylko to jest właśnie nieodwzorowanie pewnego prawa, pewnej prawdy w świecie, prawa zarządzającego tą fikcyjną rzeczywistością.
1314:  Jest to pewien problem.
1316:  I jest bardzo.
1321:  Bardzo opłacalne.
1322:  Zobaczcie, jak jest tworzony Genshin Impact, właśnie wywołany wcześniej.
1326:  Dodatkowy świat równa się dodatkowa fabuła.
1328:  I jak długo ludzie na to wciągają.
1331:  Black Clover nie jest kojarzone animka, niestety, Piotrze.
1334:  Cytrus pyta, czy historia literatury ma jakiś nienaciągany sens.
1336:  Czytanie wszystkich lektur ze spisu danego przedmiotu na studiach jest jakakolwiek wartościowe.
1341:  Jeżeli mamy filologa do wykształcenia, to tak, musi on znać historię literatury, ale pamiętajcie, że historia literatury to nie jest tylko historia klasyki, to jest też historia kryminału, historia fantasy, historia science fiction, historia powieści sensacyjnych, itd., itd., historia reportażu, historia faktografii, historia intymistyki, jest tego bardzo dużo, a jest nauczana tylko poezja i proza, niestety.
1364:  Jaka jest różnica między informatyką i informatyką stosowaną na AGH?
1368:  Musisz pytać w ASPGN ludzi, którzy tam studiują, bo moja wiedza na ten temat jest czysto teoretyczna.
1374:  To znaczy zazwyczaj przedmiot, który się nazywa, czy kierunek stosowany oznacza, że jest jakiś element wdrożeniowy, czyli jest to kierunek praktyczny, ale z nazewnictwem jest tak, że jest z nim bardzo różnie naprawdę.
1385:  Czy śledzę, co się dzieje w MCU?
1387:  Pyta Marfes.
1388:  Na bieżąco.
1389:  Wszystko oglądam praktycznie i tak przychylam się do opinii, że Spider-Man jest jednym z najlepszych filmów.
1394:  Nie wiem, czy najlepszym.
1396:  Na pewno on par z Avengersami.
1399:  O, to na pewno.
1400:  Jaka świeca się igni?
1402:  Błogość czekoladowa.
1403:  Czy oglądałem Peaky Blinders?
1404:  Pyta Max Wojciechowski.
1405:  Tak, na początku.
1407:  Pierwszy sezon bodajże obejrzałem.
1408:  Trochę not my cup of tea, ale bardzo doceniam kinematografię i klimat.
1413:  Za mało magów.
1415:  Czy grałem w JRPG?
1415:  Nier Automata jest przede mną, Persona nie oglądałem niestety, Final też przede mną.
1423:  Krzysztofie, a propos Gwinta, pyta Mickas, czy widziałeś grafiki kart?
1426:  Tak, widziałem, bardzo mi się podobają.
1427:  Wspaniała rzecz, absolutnie.
1429:  Farbowanie włosów z Krzysztofem w tle, pisze Onigrisawako.
1434:  Mam nadzieję, że nie omsknie ci się w trakcie przy okazji jakiegoś większego rantu.
1442:  Co sądzę o Assassin's Creed Origins?
1444:  Pyta David O. I który z nowych Assassinów wolisz?
1448:  Wolę zdecydowanie Odyssey.
1449:  Uważam, że i fabularnie i światotwórczo jest to jedna z najlepszych odsłon serii, tuż za najlepszą odsłoną serii, to znaczy oczywiście całą trylogią Ezja.
1459:  Czy wiem, jak działa robienie koła naukowego?
1461:  Bardzo dużo roboty jest na osobie, która, znaczy na głowie i na barkach osoby, która podejmie się takiego trudu.
1468:  Dobrze więc postarać się o opiekuna koła naukowego, który Wam pomoże w rozruszaniu tego od strony administracyjnej i jednak ustawić sobie poziome zarządzanie w ramach koła samego.
1478:  To znaczy, żeby to było projektowe, warsztatowe, nie, że jedna osoba mówi, no, no, to robimy, a reszta mówi, tak, tak, to rób.
1487:  Bo to nie ma sensu, więc nie ma sensu też zakładać koła naukowego, jak nie ma zaangażowanych w to ludzi, którzy są naprawdę podjarani tematem i jak nie ma finansowania.
1495:  A to jest coś, co Wam zapewni opiekun koła naukowego i też, żeby mieć finansowanie, musicie mieć jakiś fajny projekt do zrealizowania naukowy, typu konferencja, typu, nie wiem, wernisaż prac, cokolwiek, wybudowanie robota, w zależności od tego, jaki to jest oczywiście typ kierunku.
