🔴 Okno na świat można zasłonić gazetą | LIVE #29
🔗 https://www.youtube.com/watch?v=x8IefhhaVxk

82:  Dzięki za uwagę!
322:  Spróbuj, to jest moja rada, oczywiście poza tym, żeby się konsultować z osobami, które są Ci w stanie pomóc fachowo, długoterminowo, to na teraz, ponieważ rzecz jest jutro, mogę Ci sprzedać taką samą radę, jaką daję wszystkim, którzy w ogóle prezentują, tzn.
336:  pamiętajcie, że żyjemy w czasach właśnie wielobodźcowych, tak?
339:  Jest dużo różnych bodźców, które na nas oddziałują,
342:  W związku z powyższym, im bardziej wielobocowa będzie prezentacja, tym nam się będzie ją przyjemniej przygotowywało, bo się zaangażujemy a tutaj w szukanie sobie filmu, a tu na jakiś cytat, a tu jakaś grafika i będzie bardzo dużo różnych rzeczy rozpraszających nas i dobrze, ponieważ ludzie na sali też będą rozproszeni, też będą gmerać po telefonach, więc waszym celem jako osoby prezentujące jest to, żeby ludzi zaktywizować, pokazać im różne rzeczy.
367:  To może być naprawdę cokolwiek i nie zgodzę się, że to jest zależne wyłącznie od tematyki, bo niektórzy uważają, że to, kto humanistom to... Boże, jakie nieznoczne podziały na humanistów i ścisłowców, ale powiedzmy, że osobom lubiącym sztukę, literaturę i tak dalej łatwiej jest w ten sposób mówić, a co ma zrobić biedny fizyk, który przedstawia wzór?
385:  No to takim ludziom, którzy w ten sposób myślą, pozwólcie, że sprzedam wam trzy słowa.
391:  Neil deGrasse Tyson.
394:  Następnie zobaczcie, jak wyglądał jego TikTok i wtedy wyleczycie się ze stwierdzenia, że fizyk nie może w atrakcyjny sposób przedstawiać, także wizualnie atrakcyjny sposób, nawet najbardziej skomplikowanych teorii astrofizycznych.
405:  Dziękuję Iksilmundu za bycie jamnikłajem i podarowanie wsparcia.
408:  Łukasz G. dołączy do gram wspierających dzięki temu.
410:  Serdecznie dziękuję za wsparcie kanału.
413:  Czy ja rozpoznaję myśli nieuczesane w tytule?
415:  Bierne obserwatorzy jak najbardziej.
417:  Myśli nieuczesane towarzyszą tym live'om praktycznie od samego początku.
421:  Czasem mi się zdarza troszeczkę przetworzyć myśl Leca, a czasem coś w stylu Leca spróbować samemu napisać, więc jeżeli kiedykolwiek się Lec przypominał wtedy, kiedy Krzysztof był autorem jakiegoś zwrotu, to ja się bardzo cieszę.
435:  Dishonored miało bardzo nierówną konkurencję w naszej sądzie, o której wspominaliśmy sobie przed chwilą.
439:  Jeszcze raz przypomnę, o jakiej sądzie mówimy.
441:  Jest to prawda, ale dlatego w Death of the Outsiders zagramy sobie niezależnie, moi drodzy, jak przyjdzie jakaś wokacyjna, spokojna pora, kiedy będzie też posucha na rynku growym, a często, wbrew pozorom, się tak dzieje.
455:  Wiem, że affordancja, pisze Stefan Szywczenko, tośmy zaczęli od pytań, to funkcjonalność rzeczy, na którą wskazuje jej wygląd.
462:  Jaki jest sens w takim razie dzielić affordancję na ukryte i jawne, skoro ukryta de facto nie spełnia kryterium z definicji?
469:  Wiesz co, odpowiem Ci najprościej, to znaczy w przypadku gier wideo możesz mieć affordancję ukryte różnego rodzaju przedmiotów,
476:  Podał przykład z Bethesdy, to znaczy nie wiem czy wiecie, ale komódki w grze The Elder Scrolls V Skyrim tak naprawdę to są regały, tylko że opuszczone pod podłogę.
486:  W efekcie obiekt jakim jest w grze cyfrowej regał spełnia dwie funkcje, czyli ma dwie affordancje.
492:  Jedna to jest przechowywanie książek, a druga to jest przechowanie czegokolwiek, co się przechowuje w komódkach.
497:  Nie wiem, co się przechowuje w komódkach.
498:  Czy ja wyglądam jak ktoś, kto wie, co się przechowuje w komódkach?
501:  Ja wiem, co się przechowuje w regałach, okej?
504:  I tak samo zresztą możemy mieć affordancje ukryte takich przedmiotów, które nie rozpoznajemy w świecie rzeczywistym z uwagi na ich jakąś funkcję, którą mogłyby pełnić, ale nie pełnią, ponieważ nie ma takiego obiektu w naszym świecie.
516:  Więc wyobrażam sobie, że można byłoby to pojęcie także zastosować do przedmiotów, których nie jesteśmy w stanie określić funkcji od razu w pierwszej kolejności.
523:  Może dlatego.
525:  Sorbet Shad Cookie ma pytania dotyczące konfrontacji.
528:  Muszę skonfrontować koleżankę na temat jej zachowania w stosunku do mojego OECD.
532:  To znaczy, wiesz co, czyli obsessive compulsive disorder, jak domniemuję.
537:  Najprostsze rozwiązania w takich sytuacjach sugerują nam, żebyśmy mieli kogoś, kto będzie moderował taką rozmowę, czy będzie świadkiem.
545:  To jest jedna kwestia, jeżeli oczywiście nie jesteście w jakiejś przyjaznej komitywie.
549:  To samo dotyczy, moi drodzy, debat.
552:  Ja nie bez powodu lubię udzielać się w takich debatach, w których jest moderator, bo tym jest debata.
556:  Nie jest debatą zaproszenie do rozmowy jednej osoby reprezentującej pogląd skrajny.
562:  Powiedzmy takim skrajnym poglądem w Polsce, bardzo piętnowanym, mogłoby być to, że być może uczniów nie należałoby bić.
569:  Sądzę, że to jest bardzo skrajny pogląd, który...
571:  Jest wbrew wszystkim zwolennikom starej, dobrej, pruskiej edukacji.
575:  No i naprzeciwko takiej osoby można byłoby postawić kogoś, kto na przykład mówi o wychowaniu bezstresowym.
581:  Co Wam wyjdzie z takiej debaty?
583:  Wyjdzie Wam również z debaty, no na przykład...
586:  nazisty i osoby, która jest całkowicie wolnościowa.
589:  To znaczy nic wam nie wyjdzie z takiej debaty, bo to nie jest debata.
592:  W debacie musi być moderator i ten moderator musi być wścieklej, piekielny i inteligentny, znać dwie strony sporu, znać ich argumenty i piętnować różne przypadki sofizmatów, nadużyciarystycznych i tak dalej, albo wprost kłamstw.
605:  Dlatego lubię podcasty, zwłaszcza takie podcasty, w których siedzi trzecia osoba i na bieżąco sprawdza w internecie i mówi dede, dede, dede, dede.
613:  Jakie badania amerykańskie, w jakim czasopiśmie i tak dalej, i tak dalej.
618:  Ale to była lekka dygresja.
620:  W takich relacjach międzyspołecznych możemy stawiać o wiele łatwiej na taki stary, prosty dialog, zwłaszcza jeżeli chodzi o nasze obserwacje i uczucia.
628:  I wtedy właśnie, żeby to nie miało charakteru konfrontacyjnego, polecam retorykę ja.
633:  To znaczy ja czuję, ja odbieram coś, żebyście nie...
636:  konfrontowali osoby, z którą rozmawiacie, właśnie z jakąś waszą postawą oceniania tego, co ona robi.
642:  A jeżeli mówicie o swoich odczuciach i o swoich przemyśleniach, no to nigdy nie będziecie się mylić, ponieważ to są wasze odczucia i wasze przemyślenia.
650:  A jak zaczniecie używać tego zwrotu w drugiej osobie, no to automatycznie narażacie się na sytuację, ale taka nie była moja intencja, nie chciałem...
660:  Nie obchodzi nas to, tak?
661:  Nas obchodzi to, jak się my poczuliśmy, jak chcemy to zakomunikować, więc to bym bardzo polecał.
665:  Swoją drogą, sporo o tym mówi Anna Szulc, która była na naszym kanale w ostatnim cyklu naszych rozmów, które mamy.
672:  Wiecie pewnie, ci, którzy bywacie często tutaj na live, za co serdecznie dziękuję, że mamy taki cykl naszych rozmów.
679:  W tym cyklu rozmów, co ciekawe, moi drodzy, zwykle poruszamy taki temat, który się może wydać ludziom bardzo zdumiewający.
686:  To znaczy, bardzo dużo jest takich komentarzy, które wskazują na to, że na tym kanale się wyłącznie krytykuje.
691:  Więc na tym kanale się wyłącznie krytykuje tak długo, jak się długo klika w filmy, które wyłącznie krytykują.
695:  Natomiast jak się zjedzie na dół, ja wiem, to jest bardzo trudne, to tutaj mamy na przykład taki cykl rozmów i jedna z nich aż 30 tysięcy wyświetleń, więc widzicie dysproporcje.
704:  To jest rozmowa z Anną Szulc, która jest
706:  praktyczką, matematyczką, nauczycielką i właśnie bardzo dużo mówi o komunikacji bez przemocy i komunikacji bezstresowej.
711:  To tak w ramach tego, że na tym kanale się nie podaje rozwiązań.
713:  Te rozwiązania są tak samo tutaj dostępne, jak są dostępne od 50 lat w pedagogice, tak nawiasem mówiąc.
719:  Po prostu trzeba poszukać, jak zawsze.
723:  Od lat wypowiadam opinie w pierwszej osobie i piszę, Friedax, ludzie i tak traktują to jako atak, no ale to jest problem, wiesz, Friedax, wychowawczy.
728:  Jeżeli spotykasz się z czymś takim, że przez całe życie oceniają cię niezależnie od tego, czy chcesz tego, czy nie, no to będzie problem.
735:  Nie bez powodu jestem przeciwnikiem tego, żeby u ludzi oceniać za absolutnie wszystko.
739:  Wiecie co, nawet w grach wideo.
741:  Nie bez powodu nie lubię bardzo gier kompetytywnych, ponieważ ja po prostu nie potrzebuję już być oceniany w kolejnej konkurencji, w kolejnej sferze życia.
748:  Chcę mieć spokój, skoro już i tak muszę wytrzymywać ocenianie na 120% moich możliwości, to odpuszczam sobie przejmowanie się ocenianiem w innych sferach i to troszeczkę pomaga.
758:  No nie mówię, że w 100% rozwiązuje problem, ale troszeczkę pomaga.
763:  Belzar jest w trakcie czytania malazańskiej Księgi Poległych Eriksona.
767:  Ale wiem, że istnieją jeszcze powieści malazańskie Ellesmonta.
770:  Czy czytałem?
770:  Może nie czytałem, a mam na półce.
772:  Liczy się?
772:  Liczy się?
778:  O, o!
779:  Mam nadzieję, że się liczy.
782:  Nie no, żartuję, mam strasznie dużo rzeczy jeszcze do przeczytania z Malazanu, ja jestem na etapie cały czas Bram Domu Umarłych i no nie mogę rozpędzić się za bardzo, ponieważ jest właśnie za dużo czynników, które mnie rozpraszają, ja dlatego w ciągu roku akademickiego wolę sobie nadrabiać seriale, filmy i gry, natomiast jeżeli chodzi o książki, to mam takie żelazne serie, do których wiem, że zajrzę na pewno, to znaczy na pewno jak wyjdzie kolejny Tom Kelkadę, to zajrzę,
804:  ale tak długo, jak długo nie wyjdzie, to nie rzucam się do tego, bo wiem, że po prostu Erickson chociażby, no i El Salamon też, tak nawiasem mówiąc, potrzebują czasu.
813:  No to jest tak, by zacząć czytać chociażby z archiwum burzowego świata Sandersona popołudniami.
818:  Znaczy, życzę powodzenia, niektórzy tak potrafią, ale wiecie, niektórzy też potrafią zagrać we wszystkie części Dark Souls i następnie wyrecytować z pamięci to, co przeczytali w opisach przedmiotów.
828:  Ja nie jestem w stanie, mam pamięć złotej rybki, w związku z powyższym czekam na taki czas, kiedy rzeczywiście będę mógł doznać pełnej imersji
834:  i zanurzyć się w jakiś cykl, od której godziny mówicie dobry wieczór.
838:  Bardzo ważne pytanie, Odelcia, bo nie było jeszcze na pewno takiego pytania tutaj.
842:  Ja zazwyczaj robię różnego rodzaju eksperymenty społeczne, to znaczy zdarza mi się na przykład pisać dzień dobry o godzinie 2.20, wtedy, kiedy przeglądam maile.
851:  To jest bardzo interesujące, bo większość ludzi może wtedy pomyśleć, ojej, Krzysztof tak wcześnie wstaje, a tak naprawdę ja jeszcze nie poszedłem spać, standardowo, więc lubię się tym bawić.
862:  Nie świeci się jedna lampka odświetlająca twarz, świeci się, moi drodzy, tylko świeci się troszeczkę inaczej z tego względu, że teraz biurko jest stojące, w związku z powyższym to światło może inaczej padać, poza tym ja biegam teraz i latam, dzieją się rzeczy.
876:  Zastanawiałem się, czy by tutaj sobie nie dać jakiejś większej lampy, ale wtedy byłoby mi tutaj bardzo ciepło już i nieprzyjaźnie.
883:  Aleksa pisze, że nie przeszła z olimpiady, miała 30 na 60 punkcików.
900:  Czyli na olimpiadę zawitały one.
903:  Fajnie.
904:  Ale napisałem do organizatorów, czy jest możliwość uargumentowania tego.
907:  Ooo, bardzo dobrze.
908:  Zobaczymy, co z tego wyjdzie, bo chcę wiedzieć, co miałem źle, a nie tylko punkciki.
912:  No moi drodzy, mnie tylko może serce rosnąć na coś takiego, bo zauważcie, tego rodzaju oddolna presja właśnie uświadomi ludziom,
919:  że te metody są niewystarczające dla niektórych, a jeżeli będą niewystarczające, to zrobią tak każda firma prędzej czy później, czy każda organizacja, żeby mieć święty spokój, zmienią sposoby oceniania tylko po to, żeby nie musieć się
935:  męczyć i przedzierać przez tabuny maili, bo pamiętajcie, że to jest wyłącznie z tego względu, że ludziom niektórym się nie chce napisać paru zdań i wolą zdecydowanie bawić się w rachmistrzów i buchalterów, co nawiasem mówiąc wcale nie jest, i to mówię jako osoba, która musiała kiedyś ocenić paręset osób, i to parę razy w życiu, to wcale nie jest takie proste.
953:  Ponieważ jeżeli musicie to zrobić wedle jakiejś skali, to cały czas rachujecie, w związku z powyższym przeprowadzacie operacje matematyczne dla kilkuset osób, następnie zestawiacie ze sobą wyniki, to jest gehenna absolutna, o wiele prościej jest skreślić komuś 2-3 zdania i dać ocenę pod tytułem zaliczone lub jeszcze nie.
970:  Zresztą, swoją drogą, Amma Schultz właśnie uświadomiła mi, że w ogóle nie ma sensu żadne sformułowanie typu niezaliczone albo jeszcze nie.
978:  Jeżeli nie ma zaliczenia, to znaczy, że nie ma zaliczenia.
981:  Nie musimy podkreślać bytu, niebytu, niebytem bytu.
984:  Wystarczy, że zaznaczymy, ok, jest zaliczone, past, możesz iść dalej.
989:  Natomiast nie trzeba cały czas człowieka piętnować, jeszcze nie, niezaliczone, niezrobione.
994:  bo nie na wszystkich tego rodzaju presja działa.
996:  Ja uważam, że w ogóle na nikogo ta presja nie działa, ale do tego, żeby udowodnić tę tezę, musielibyśmy przeprowadzić badania na na przykład 40-latkach przez 40 lat ich życia i sprawdzić, czy rzeczywiście ten mores i dyscyplina coś dały.
1009:  Ponad oczywiście wrzody żołądka, bo to, że one w którymś momencie się u nas wytrącają z uwagi na stres, to akurat wiemy i mamy udowodnione.
1018:  Czego nie mamy udowodnionego, to tego mistycznego uodporniania się na stres pod wpływem niekonstruktywnej krytyki.
1026:  Tego nikt jeszcze nie udowodnił, ale niesamowicie z dużym zaangażowaniem czekam na ten moment.
1032:  Tak samo jak czekam na moment udowodnienia przez nauczycieli, którzy teraz świeżo się oczywiście zbierają i protestują przeciwko decyzjom ministry Nowak.
1040:  Bardzo czekam na to, aż podadzą wreszcie wyniki badań, jak to przez ostatnie 20-30 lat polskiej edukacji te wszystkie...
1050:  pikujące wskaźniki, które mają, nie są skorelowane w żaden sposób z zadaniami domowymi.
1056:  To jest fascynujące, że wybieramy sobie jeden czynnik, który nam pasuje, ale nie myślimy o wszystkich innych czynnikach, to znaczy nauczyciele wybierają o szmartfony, które są zakazane w szkole, w związku z tym nie można z nich korzystać, więc ciekawi mnie to, natomiast nie wybierają wszystkich innych czynników, które są równolegle, między innymi właśnie przeciążenia zadaniami, między innymi przeciążenia skalami punktowymi, między innymi niepotrzebnej presji, itd., itd.
1078:  Tych czynników jest bardzo dużo,
1080:  I jak powiedziałem ostatnio, chyba w odcinku, jeśli mnie pamięć nie myli, ostatnim, to, że w ogóle byliśmy w stanie zignorować badania, które były w tym raporcie Młode Głowy, które ja ciągle i z uporem maniaka Wam pokazuję, one były na 200-tysięcznej próbie, natomiast równocześnie uwzględniamy raporty PISA, które są na próbie 6-tysięcznej, pokazuje tylko skalę tego wyparcia, więc system selekcjonowania sobie argumentów, oj, nie znoszę tego, tylko po to, żeby oczywiście pasowało nam to do jakiejś tezy.
1107:  dramat.
1109:  Czeris przy okazji dziękuję Ci za miesiąc wsparcia.
1111:  Na 100 tysięcy chcę przygody z świętym Piotrem.
1114:  Nie mam zielonego pojęcia, czym to jest, ale domyślam się, że chodzi o 100 tysięcy subskrypcji, na które Wy czekacie bardziej niż ja, co jest równocześnie niesamowicie miłe, ale także niesamowicie zabawne, biorąc pod uwagę to, że YouTube również usiłuje rozgrywać twórcami i cały czas nastawiać ich na to, żeby coraz więcej i coraz częściej produkowali filmy i materiały.
1134:  I moi drodzy, nie wiem, czy wiecie, ale ostatnia jest taka duża fala
1137:  krytyki tego całego systemu, głównie za granicą oczywiście, no bo w Polsce, no wiadomo, w Polsce stoimy na stanowisku, że pracujemy do ostatniej szarej komórki, do ostatniej zdrowej, niezrakowaciałej komórki.
1149:  Do tego momentu pracujemy.
1151:  Natomiast na Zachodzie jest pewna refleksja, chociażby po tym, jak Tom Scott, słuchajcie, naprawdę jeden z bardziej wartościowych popularyzatorów nauki, powiedział, mam dość, po 10 latach i jego teza była niesamowicie prosta.
1165:  Zaraz wam ten film zresztą podlinkuję.
1167:  Jestem po prostu zmęczony.
1169:  To było wszystko, co on powiedział, to wyciszę, żeby na mnie grało i tyle.
1173:  On nie powiedział, że o, że wypaliłem się, że mam... Nie, jestem zmęczony, chciałbym robić to dalej, ale mam dość.
1179:  I to tylko pokazuje, że ta gra w osiąganie coraz wyższych osiągów ma swój limit, ma swój kres, nawet w przypadku prac, które wydawałoby się są sympatyczne lub dla niektórych w ogóle pracami nie są.
1191:  Jamniczy Piroman, uwielbiam nick.
1193:  Jak radzić sobie z matematyką w szkole, zapytuję, jako osoba nienawidząca cyferek, numerków, wzorów, a także ogółu logicznego myślenia.
1200:  Mam wrażenie, że raczej nie lubisz tak zwanego logicznego myślenia, wyrażanego w cyfrach, ciągach, sekwencjach i tak dalej.
1207:  Możesz się odnaleźć w zupełnie innych obszarach logicznego myślenia, na przykład znajdywania relacji pomiędzy poszczególnymi zdaniami.
1214:  Jest dla mnie sekretem i tajemnicą, dlaczego logiki się nie uczy wszystkich,
1220:  na zdaniach, ponieważ przepraszam w tym momencie wszystkich matematyków, ale wszyscy będziemy używać języka naturalnego, natomiast nie wszyscy będziemy zapisywać koniunkcję i alternatywę za pomieszczeniem symboli.
1231:  Nie wszyscy.
1232:  Przykro mi, nie wszyscy.
1233:  Więc powinno się raczej uczyć logiki na zdaniach, na przykład zdaniach kauzalnych, które mają swoją przyczynę i mają swój skutek,
1239:  To już by naprawdę bardzo poprawiło naszą komunikację, jakość debat i dyskusji.
1244:  Ja nawet na studiach nie miałem czegoś takiego.
1246:  Oczywiście, że logika była logiką matematyczną, natomiast nie miała nic wspólnego z filozofią, chociażby jej dziedzinami.
1252:  Więc mam wrażenie, że to nie jest tak, że nie lubisz logiki, tylko może właśnie tego, w jaki sposób jest reprezentowana.
1258:  No to mogę ci powiedzieć, jako człowiek z dyskalkulio, któremu się myliły zawsze cyferki, było mu wszystko jedno, w którą stronę idzie.
1265:  No tylko mogę ci powiedzieć, że miałem ten sam problem i żyję, nie?
1269:  I co więcej, używam w dalszym ciągu działań matematycznych, ale po prostu posiłkuję się zawsze kalkulatorem, nie dlatego, że nie wiem, jak obliczyć proporcje w głowie, bo wiem, ale wiem, że się mi pomyli, ponieważ myli mi się PESEL, numer dowodu osobistego, numer konta.
1282:  Gehenną dla mnie absolutną, wiecie, w tych systemach bankowych jest coś takiego, jest wpisywanie co którejś cyfry albo litery hasła do banku.
1291:  Boże, ja sobie to muszę za każdym razem rozrysować autentycznie, to znaczy muszę sobie rozrysować kwadraciki mojego hasła i następnie pod spodem kwadraciki i zobaczyć, co przechodzi mi do czego, bo ja tego w mózgu nie widzę, nie jestem w stanie sobie tego zwizualizować.
1305:  Jest to na pewno jakaś właściwość umysłu, z którą muszę sobie człowiek radzić, a jak widać, da się radzić, tak samo jak ludzie z dyslekcją sobie radzą w życiu, pod warunkiem oczywiście, że nie natrafiają na właściwe osoby w swoim życiu i na swojej drodze.
1318:  Brianowi też dziękuję bardzo za 6 miesięcy wsparcia.
1320:  Trzymajcie się na sesji, pisze Brian.
1322:  I właśnie, moi drodzy, dla wszystkich studentów kieruję też i w ogóle zdających egzaminy te słowa otuchy.
1328:  Pamiętajcie, o tym błagam, że egzaminy to jest coś, co należy potraktować ad absurdum.
1332:  Jeżeli widzicie, że zaczyna Wam się coraz bardziej wkradać takie myślenie,
1337:  O Boże, to jest punkt przełomowy, od tego wszystko zależy, stypendium, życie, życie zawodowe, rozwój, kariera.
1344:  Okej, to już jest za dużo, to znaczy w tym momencie zacznij myśleć ad absurdum.
1349:  Jak mawiała zawsze moja mama i to uwielbiam i od niej się tego zwrotu nauczyłem, to znaczy odnieś tę sytuację, którą masz do najbardziej skrajnej, radykalnej.
1357:  Ja tak grindowałem przed magisterką, po czym trafiłem do szpitala na dwa tygodnie,
1361:  dokładnie w terminie, kiedy miałem oddać magisterkę.
1365:  I wiecie, co zrobiłem?
1366:  Nie oddałem w terminie magisterki.
1368:  Wiecie, co się stało?
1370:  Nic.
1370:  Dalej została wyróżniona.
1373:  Da się?
1373:  Da się, tylko że po prostu czasami działa siła wyższa i wtedy taką racjonalizacją drobną możemy sobie powiedzieć, że okej, to nie jest najważniejsza rzecz w życiu, bez spiny są drugie terminy, nie bez powodu funkcjonuje także na studiach jako pożekadło i idiom, a pomijając już absolutnie ten aspekt, zawsze się można dogadać z prowadzącym, zawsze można pójść indywidualnie opowiedzieć, że jest jakaś trudna sytuacja.
1395:  Ja na przykład, to mogę powiedzieć ze swojej perspektywy, uwielbiam jak ktoś przyjdzie do mnie i powie wprost,
1400:  Ale Krzysztof był problem, byłem u lekarza i tak dalej, miała sprawy, tydzień później, po co mam czytać na przykład jakiś rozdział czy jakiś esej, który został napisany na kolanie po to, żeby go wysłać, skoro i tak dostanę te 30 innych esejów, nie, wysłanych przez ludzi, którzy nie byli u lekarza, ja je będę czytał sobie, a ten człowiek w trakcie, jak ja czytam te eseje, a tego się nie czyta w ciągu, nie wiem, godziny, no sobie napisze swój.
1421:  Więc ja byłbym głupcem mówiąc, że o, że tu jest taki ważny termin.
1425:  I wiem, że od razu się może powstać nam w głowie takie założenie, że nie wszyscy tak postąpią, ale nie macie gwarancji, póki nie spytacie.
1432:  Więc to jest jedna część moich słów o tuchy tradycyjnie sesyjnych, a druga część, pamiętajcie o tym, żeby w dniu egzaminu już się nie uczyć, tylko iść na spacer.
1442:  To jest akurat coś, co się przydaje, ponieważ ruch w tym przypadku się przydaje.
1446:  A druga kwestia i druga moja rada, jeżeli macie na taką możliwość, na dzień wcześniej tak się zmęczyć, siłowo, na siłowni, na basenie, gdziekolwiek, na rowerze, wszystko jedno, co możecie zrobić, żeby pójść spać, ale pójść spać na takiej zasadzie, żeby się kompletnie nie denerwować egzaminem, ponieważ będziecie tak wykończeni,
1463:  że nie będziecie mieli siły na nic.
1465:  To był mój sposób i on za każdym razem działał z bardzo prostego powodu, to znaczy znowu mamy jedna jedyna rzecz, którą wiemy na temat tego, jak funkcjonuje nasza pamięć i mózg, jest taka, że w trakcie snu przechodzi nam materiał zapamiętany z pamięci krótkootrwałej do długotrwałej, to się neuroplastyczność fachowo nazywa i mówię to praktycznie co każde Q&A.
1483:  Ale to jest ważne, ponieważ nikt nam o tym nie mówi i przez deficyty snu i poprawianie sobie osiągów energetykami na dzień przed egzaminem możemy osiągnąć efekt przeciwny do zamierzonego.
1492:  Oczywiście, że znajdziecie ludzi, na których to działa, ale pamiętajcie, że to też działa bardzo krótkotrwalowo.
1498:  Och, przy okazji dziękuję serdecznie dołączającym, do grona wspierających zbiorczo Michałowi Pęksie, Ani Łanowskiej oraz Mad Mańkowi.
1507:  Bardzo Wam serdecznie dziękuję.
1508:  Gdzieś mam jamnika, którymi się witamy tradycyjnie.
1510:  To jest piękny jamnik włóczkowy, którego kiedyś dostałem, bodajże na Dniach Fantastyki od którejś z widzek, za co niezmiennie dziękuję.
1516:  Tych jamników jest już bardzo dużo, tu jest cała szuflada, nie bez powodu.
1519:  A, a tu jest manierka.
1521:  To z kolei dostałem na Pyrkonie, ale zawartość manierki nie jest z Pyrkonu.
1524:  Zawartość manierki to jest Colgate Plax.
1527:  a tak naprawdę jest to mana dla tego manierka.
1530:  Mam planach to podświetlić jakoś, żeby ładnie wyglądało.
1536:  Agata pisze, że promotorka powiedziała, że nie można się uskarżać w mailach i że nikomu się nie chce pracować.
1544:  No to tam trafiłaś na złą osobę.
1546:  Po prostu tak się bardzo często zdarza.
1548:  Ja nie jestem w stanie niestety odpowiadać za to, że obecny system dał ludziom złudzenie, które znowu moja mama, której często przywołuję z uwagi na jej złoty język, nazwała osobliwie...
1561:  takim zjawiskiem uwierzenia we własną gwiazdę, to znaczy człowiek, który się nie nadaje do jakiejś pracy, trafia do jakiejś pracy, która tak się składa w tym czasie, bardzo obniżyła wymogi wstępne dla niej, bo nie musicie zdać żadnego egzaminu, tak jak prawnicy czy lekarze przed przystąpieniem do nauczania akademickiego, po prostu możecie wbić z takimi wynikami, jakie macie i podśrubować je sobie publikacjami za dużo punkcików w czasopismach naukowych i ktoś, kto jest sprytny, jest w stanie ten system ograć,
1590:  tylko dlatego, że o, że tutaj będą jakieś apanarze finansowe się wiązały, bo akurat na uczelni one mogą być spore, jeżeli człowiek jest sprytny, podkreślę raz jeszcze.
1598:  Natomiast taki sprytny człowiek wcale nie musi mieć powołania, pasji, wiedzy, kompetencji dydaktycznych.
1604:  Bardzo często na uczelnie także, pamiętajcie, trafiają ludzie, którzy nie mają ukończonego studium pedagogicznego.
1609:  Nie wszystkie uczelnie tego wymagają.
1611:  Moja na przykład wymaga, ale w Krakowie jest parę uczelni, które mają z tym pewien problem albo tego nie sprawdzają i nie weryfikują.
