🔴 Przed jamnikiem uderz czołem, jamnik górą chociaż dołem | LIVE #2
🔗 https://www.youtube.com/watch?v=n62fW7lX9yc

1:  Witajcie serdecznie na drugim livestreamie w trybie Q&A.
200:  Jak Dominika do nas wpadnie, to zobaczy to, a ja jej niezależnie zresztą przekażę.
205:  Więc stąd w dużym skrócie jest związana historia z jamnikami, z tym jest związana historia z jamnikami, plus oczywiście pamiętajmy, że to są jamniki, które mają szczególne miejsce w popkulturze Stanisław Lem miał dwa jamniki, jeśli mnie pamięć nie myli, i paru innych twórców, których cenię, również miały jamniki, w tej chwili oczywiście sobie nie przypominam.
225:  Miłośnicy jamników twierdzą również, że wywodzą się one ze starożytnego Egiptu, ale ja akurat w to nie wierzę.
233:  Popiję.
236:  Towarzyszy nam album, tym razem Jeremy'ego Sola, czyli tego, który odpowiada za muzykę do The Elder Scrolls Skyrim i innych skutkowych słów.
245:  Konkretnie jest to track Newl z albumu The No-Verner Diaries, swojego drogą albumu, który
252:  towarzyszył mi przy czytaniu z Archiwum Burzowego Świata.
256:  Ja sobie oczywiście muszę przełączyć na czat na żywo, bo istnieje właśnie szansa, że pomijam jakieś pytania.
262:  Mam nadzieję, że tak nie będzie się działo.
265:  Jamnik Pajmon.
266:  Tak, Genshin Impact widzę, że jest silny na czacie.
270:  Ja dzisiaj też
272:  Też researchowałem, bo bardzo, bardzo poważne badania prowadziłem w Krainie i na Zoom'y, ale śmieję się tylko trochę, bo zamierzam o Genshin Impact'cie napisać właśnie w nadchodzącej książce.
282:  Czy planuję kolejne poziomy wspierania?
284:  Nie tu, nie na YouTubie.
286:  I chcę, żeby ten program wsparcia na YouTubie był najbardziej inkluzywny i żeby każdy, kto chce w tym uczestniczyć, mógł rzucić grosz Wiedźminowi Gervantowi, który nie umie grać w gwintę.
299:  Jaką herbatkę lubię najbardziej?
301:  Bardzo się cieszę, że padają ważne i istotne pytania.
304:  Herbatka niezmiennie ta przeze mnie polecana, pozdrowienia dla Five for Clocka mogą mnie sponsorować, to New York właśnie z ich sklepu, która ma w sobie zielone liście, to jest Buncha, jeśli mnie pamięć nie myli, a oprócz tego są tam kawałki białej czekolady.
319:  Ja wiem, że biała czekolada to nie jest to samo, co ciemna czekolada i też najbardziej lubię gorzką, ale ta herbatka, wspaniałość.
326:  Dziękuję Mepsien za trybut jeszcze do tego wszystkiego.
330:  Dziękuję też z Gretku, że twierdzisz, że z Gwintem idzie coraz lepiej, ale to byłoby straszne, gdyby po 60 godzinach Wiedźmina nie szło lepiej.
340:  Choć powiem wam, że to doświadczenie powrotu do Wiedźmina to było coś absolutnie magicznego dla mnie, bo uświadomiłem sobie, jak bardzo można grę, w którą się gra po raz kolejny, po naprawdę długim czasie, postrzegać jako coś absolutnie nowego.
355:  Rozmaryn z Five O'Clock poleca jeszcze Basia, no proszę.
358:  Jaką kawę?
359:  Jaka kawa?
360:  Moi drodzy, jeżeli chodzi o kawę, mam najprostszy ekspres w świecie, to znaczy taki kapsułkowy, wiem, to niejogologiczne.
366:  ale równocześnie odsyłam te zużyte kapsułki w torbie.
370:  Mam nadzieję, że dzięki temu jestem bardziej ekologiczny do recyklingu.
374:  I zwykle jest to albo latte, albo café au lait, czyli z mlekiem.
379:  czy książka będzie bardziej przystępna niż poprzednie publikacje, pyta Kupson.
383:  Bardzo słusznie, że o to pyta.
386:  Już się wam tłumaczę, dlaczego, dlaczego poprzednie publikacje nie były przystępne.
390:  Otóż nie były przystępne dlatego, że były pisane na UJ-cie, na wydziale polonistyki, gdzie miałem bardzo trudne zadanie, to znaczy wiedziałem dobrze, że żadna osoba, która dostawała stypendia albo wszelkie granty, nie granty i zasługi,
406:  się ścieliły jej pod stopy, nie zajmowała się nigdy w historii tego wydziału fantastyką, więc wiedziałem, że jeżeli się tym zajmę, to muszę być najlepszy.
414:  I niestety to było strasznie takie dołujące doświadczenie w moim życiu, dlatego między innymi dzisiaj tak jestem przeciwny Wyścigowi Szczurów, bo brałem w tym udział przez 10 lat.
424:  I jednym z efektów tego było to, że wyrobiłem sobie taki styl pisania, jakim ludzie pisali o wszystkich tam, no właśnie,
432:  Tokarczuk, Sławomirach, Skuty, Dodach, Masłowski, Pawła, Hille i tak dalej, i tak dalej.
441:  Dlaczego?
442:  Dlatego, że jeżeli chcecie komuś, kto się z wami nie zgadza, sprzedać jakąś ideę, robicie tak jak Harvey Specter z The Suits, tak?
450:  Czyli idziecie w retorykę.
452:  sprzedajecie mu tę ideę jego językiem.
455:  I to jest dokładnie to, co ja zrobiłem z fantastyką.
458:  Skutek tego jest taki, że te dwie książki są w programach różnych studiów i powolutku, powolutku się wdrażają na różnych uniwersytetach do otwarcia na fantastykę.
467:  I nie ukrywam, że I take my pride from that, że jakoś kontrybuowałem do tego, tak?
473:  No ale teraz usiłuję z tego wyjść, tak, bo już nie muszę w ten sposób walczyć o fantastykę i staram się pisać swoim językiem i mam nadzieję, że ta trzecia książka taka nie będzie.
482:  Jak będzie dalej napisane nieprzystępnym językiem, to macie mi za to zmyć głowę.
487:  Dziękuję, że... Tak, kubek, ten kubek, to wiecie.
490:  Kubek nie tylko jest ładny, kubek jest praktyczny, bo ma satyczkę.
494:  Aaaa, i dzięki temu herbatka nie stygnie.
497:  Mmm.
501:  Dlaczego jamnik?
502:  Panie karmazynie, już tłumaczyłem dlaczego jamnik, więc będzie ten stream nagrany, więc można w razie czego odtworzyć sam początek.
510:  Tam jest ta moja kombatancka historyjka dotycząca jamników.
513:  Na razie będę odpowiadał, że to po prostu szlachetne zwierzęta.
518:  Jaką książkę ostatnio czytałem, pyta Wiktoria, i mogę wreszcie odpowiedzieć na to pytanie twierdząco, bo jakiś czas nie czytałem w ogóle, bo miałem doła i literatura nie była czymś, w czym miałem najszybszą imersję.
531:  I były to Rytmy Wojny, tom drugi Brandona Sandersona, a w tym momencie się zaczynam zagłębiać w koło czasu Jordana, ponieważ rychło, rychło, rychło będzie serial na podstawie tego i chcę sobie przypomnieć.
543:  A druga rzecz, którą w tym momencie czytam, bo czytam równolegle
547:  To jest, to jest, to jest, to jest, o wreszcie wiem, malazańska księga poległych, o którą wszyscy zawsze pytają i wszyscy mówią, żeby to przeczytać, więc się zaczynam zagłębiać.
556:  Smoky Ergley poleca fantastyczne książki, jakie znaleźć, który też jest trybutariuszem, bardzo za to dziękuję, będę starał się na bieżąco ogłaszać, jeśli ktoś stanie się trybutariuszem.
566:  Kto wie, to wszystko zależy od weny Dominiki.
568:  Ja działam w taki sposób, że robię wszystko wtedy, kiedy mam wenę.
570:  W związku z powyższym też mam taki układ z Dominiką, że wtedy kiedy
593:  ma wenę i chce, to może coś narysować.
596:  Nie jest to żadne zlecenie z deadline'ami, bo ja czegoś takiego nie uznaję i nie znoszę.
601:  Czy planujemy z prowadzącym bez schematu więcej rozmów, na przykład przy okazji drugiego sezonu Wiedźmina?
605:  Filip, mam nadzieję, że słuchasz.
607:  Trzeba coś zrobić.
608:  Na pewno coś zrobimy, na pewno coś zrobimy.
610:  Mamy swoje plany, chcemy też z Radkiem Pislą coś nagrać niebawem, ale to będziemy wam ogłaszać na bez schematu.
616:  Jak chcecie, to subujcie tam też.
618:  Jaką mam opinię o trylogii husyckiej Andrzeja Sapkowskiego?
621:  Lepszą niż o pięcioksięgu wiedźmińskim Andrzeja Sapkowskiego z wyłączeniem opowiadań.
626:  To znaczy, w moim prywatnym rankingu tego, co Andrzej Sapkowski napisał, na pierwszym miejscu są opowiadania wiedźmińskie.
632:  Nie ma lepszych opowiadań w polszczyźnie.
636:  Trade with that.
638:  Jestem skłonny bronić tej tezy długo.
641:  Drugie miejsce, Trylogia Hucycka.
643:  Absolutnie rewelacyjny i wyjątkowy jak na polski grunt przejaw fantastyki historycznej na poziomie Gaia Gavrila Kea.
649:  Na trzecim miejscu, Pięcioksiąg Wiedźmiński, potem Długo, Długo Nic, Sezon Busz, Długo, Długo Nic i Żmija.
660:  Czy mam jakieś przewidywania co do serialu Amazona w uniwersum Lotra?
664:  Pyta Julia i szczerze powiedziawszy, chciałbym mieć bardzo dobre przewidywania, ale nie do końca tak jest.
671:  Mam nadzieję, że to będzie zgodne z duchem Tolkienowskim, ale dlaczego mam zwątpienie?
676:  To znaczy, Lotr udał się dlatego filmowy, że to nie był film.
681:  Znaczy, Lord of the Rings w reżyserii Petera Jacksona to była nagrana sesja LARPu.
687:  LARPu, w którym wszyscy się świetnie bawili, do tego stopnia, że aktor grający Aragona, czyli niesamowity Viggo Mortensen, kupił konia, na którym jeździł.
695:  Do tego stopnia, że aktor, który grał króla Feodena i jego imienia już nie pamiętam i nazwiska, chciał miecz z planu.
702:  Oni po prostu roleplayowali, dlatego to tak wyszło, dlatego tak to czuć, dlatego Hobbit nie wyszedł tak dobrze.
708:  I obawiam się, że jeżeli Amazon nie będzie podchodził do tej produkcji podobnie, to może się to nie udać.
713:  Jak się nazywa w czytnik z funkcji tłumaczenia pojedynczych słów w języku angielskim?
716:  Kindle.
718:  Po prostu Kindle.
718:  Grabka, ja zostałem dziś podwójnym trybutariuszem, bo mi YouTube hajs dwa razy podrąbał.
723:  To jest bardzo oburzające.
724:  Napisz do YouTube'ów, żeby coś z tym fantem zrobili.
729:  Nie wiem szczerze powiedziawszy, jak się za to zabrać, ale zresearchuję temat.
734:  Odezwi się też na Discordzie.
738:  Dzięki Adamie, że podoba ci się, że jakość tego, co opowiadam na żywo nie różni się praktycznie od wysokiego poziomu montowanego bądź co bądź filmu, ale mam dla was i dla Adama złą informację, to znaczy taki sekret maleńki, ja filmów nie montuję, to znaczy ja wszystko robię w OBS-ie dokładnie na jednym wejściu, longiem nagrywam wszystko,
758:  Taka narracja, jak jest dla Was teraz, jest też narracją, która wchodzi do serii dla każdego coś przykrego albo na vlogi, albo jako recenzję.
765:  To jest taki mój mały challenge, ja w ten sposób też sam siebie kontroluję, jak mówię, czy dobrze intonuję, czy dobrze moduluję głos, bo to jest dla mnie ważne pod wykłady i pod szkolenia, które prowadzę i wszelkiego tego rodzaju wystąpienia.
776:  Dlatego też jakbym nagle się zaczął jąkać, to uznałbym, że to nie jest chyba zbyt dobry pomysł, prawda?
782:  Dlatego też filmy wychodzą czasem regularnie, a czasem nieregularnie.
786:  Bardzo dbam o to, żeby mieć wenę wtedy, kiedy je dla was nagrywam i żeby rzeczywiście przejąć się jakimś tematem.
791:  Stąd też czasami nie zajmuję stanowisk na tematy, co do których moglibyście się spodziewać, że zajmę.
797:  Wiem, że nie lubisz horrorów, więc to musimy zamknąć.
801:  Cokolwiek polecasz, co jest horrorem, nie obejrzyj, żartuję.
804:  Straszne wyzwanie, przejść Dawn of War lub Gothic 3, zmierz bugów.
807:  Gothica chcę przejść w całości, jak zostanie wreszcie zremasterowany.
813:  Czy polecam studia polonistyki?
814:  Tak, ale nie na Wydziale Polonistyki Uniwersytetu Jagiellońskiego.
817:  Pozdrowienia dla wszystkich tam pracujących.
819:  Zwłaszcza, że jak ja chodziłem na Wydziale Polonistyki na studia, to jeszcze były takie jednostki, dla których warto było.
826:  Coraz mniej.
827:  Dużo profesorów starszych odchodzi, a młoda kadra nie ma wiedzy, ale ma ten sam poziom snobizmu, więc ja bym z tym nie handlował.
837:  Hej, Julia, zaraz będę oczywiście skakał, wiecie, po tych pytaniach, żeby mi coś nie umknęło.
843:  Słyszałem kiedyś, jak się wypowiadałeś negatywnie na temat Krzysztofa Gonciarza.
845:  Ja Krzysztofa Gonciarza oglądam od samego początku, jak Krzysztof Gonciarz nagrywa filmy.
849:  Wtedy, kiedy jeszcze zrobił pierwszy odcinek Zapytaj Beczkę, ja go subowałem.
853:  Wypowiadałem się negatywnie jedynie na temat tego kierunku, który obrał retorycznie w dyskusji w tym programie, którego nazwy nigdy nie pamiętam, a kanał sportowy.
864:  Mianowicie bardzo nie lubię jak człowiek nie zajmuje stanowiska jaskrawo i radykalnie i zdecydowanie i nie broni swoich racji.
870:  Nie lubię sytuacji, w której możemy powiedzieć, że no ten film komuś by się podobał, ale znaleźliby się tacy, którym by się nie podobał.
877:  Ja takiej retoryki nie znoszę i to krytykowałem.
882:  Jaki team w Genshinie w tym momencie?
885:  Bennett, bo musi być Bennett, nie ma lepszego supportu.
887:  Yanfei, który mam na C6, jestem z tego bardzo dumny.
891:  Baal, który świeżo wydropowałem.
894:  Bardzo, bardzo dobra postać, muszę powiedzieć, jeżeli chodzi o support Electro.
897:  A na sam koniec Zhongli dotarczy.
902:  co polaziłem studentom pierwszego roku, którzy planują karierę naukową.
905:  Jedźcie natychmiast na konferencję, ale natychmiast i nie ma takich, że o, bo to dla profesorów, dla doktorów, co ja tam wiem.
914:  Nie, jedźcie natychmiast na konferencję.
916:  Najwyżej się będziecie nudzić, ale od czego jest smartfon.
919:  Natomiast na konferencji, później w przerwie kawowej zacznijcie rozmawiać z tymi ludźmi, których referaty was zainteresowały.
925:  W ten sposób można znaleźć inspirację i spróbować samemu zrobić referat.
929:  A od referatu do swojej pierwszej publikacji naukowej jest już niewiele.
933:  A naprawdę, jeżeli chcecie robić karierę naukową, myśleć o tym sensownie i poważnie i na przykład planujecie to zrobić jeszcze w takim obszarze, w jakim ja, trzeba mieć nieskazitelny dorobek.
942:  Ironclad.
944:  Nie do dyskusji.
949:  Hate Park ten program się nazywał.
950:  Macie rację, absolutnie.
952:  Jeżeli chodzi o Uniwersytet Jagielloński, ja generalnie odradzam tylko i wyłącznie Wydział Polonistyki.
957:  Innych wydziałów nie znam.
958:  Wiem, że Collegium Juridicum i Collegium Medicum, czyli Prawo i Medycyna, to są jedne z najlepszych praw i medycyn, jakie można mieć w ogóle w Polsce.
965:  Wiem też, że na innych wydziałach jest względnie dobrze.
968:  Wiem, że też Filologie Obce mają się dobrze na UJ.
970:  Wydział Polonistyki się wyodrębnił z Filologii Wszystkiej, bo kiedyś był Wydział Filologiczny,
976:  i być może dlatego rozdał się zarówno administracyjnie, jak i pod względem nadętego ego.
984:  Natures of Middle-earth, czwarty, czternasty tom History of Middle-earth i tego, co książka czyni z kanonem Tolkiena.
991:  Ja mam wątpliwości względem tych wszystkich praktyk tolkienowskich, które zmierzały do retkonowania jego własnego kanonu, więc do History of Middle-earth podchodzę jako do takiego gigantycznego repozytorium lore, wiedzy na temat tego świata i staram się nie myśleć w kategoriach kanonu czy apokryfu.
1008:  Apokryf to jest to, co jest ukryte, nie apokryfos po grecku.
1013:  Jak przekonać kuzyna w podstawówce, pyta dalej Julia, zaraz przeczytam trybut, że nauka sama w sobie nie jest niczym nudnym czy przykrym, kiedy tak bardzo jest zrażony do tego przez szkołę.
1023:  Chodzi mi o poszerzenie wiedzy o rzeczach ciekawych.
1027:  Ja zaciekawiłem się nauką dopiero wtedy, kiedy sam się tym zainteresowałem.
1033:  Jeżeli się sam nikt nie zainteresuje, to jest bardzo ciężkie.
1038:  Być może najlepsze byłoby to, żeby znaleźć w zainteresowaniach twojego kuzyna coś takiego, co ma potencjał do rozwinięcia się w cokolwiek naukowego czy popularnonaukowego.
1048:  Przykład prosty.
1049:  Ktoś gra w gry historyczne, zaczynamy rozmawiać o historii starożytnego Rzymu, nie?
1053:  W ten sposób.
1054:  Podszedłbym do tego w zakresie inżynierii wstecznej.
1057:  Witamy drzewo w gronie trybutariuszy.
1059:  Mepsyen z kolei uczynił trybut, za co bardzo dziękuję.
1063:  Za Zhongli'ego, bo to daddy.
1064:  Zhongli.
1066:  Nie oszukujmy się, wszyscy w Polsce mówią o nim Zhongli, nikt nie mówi Zhongli.
1070:  Zwłaszcza, że to po chińsku się inaczej czyta.
1076:  Mihojo przytuliło pieniążek, nawet mnie nie denerwujcie z tym, ponieważ miałem 90 wishy przygotowanych na Baal, czyli 9 puli, teoretycznie powinienem mieć już wtedy pity, oczywiście nie było, więc zdenerwowany kupiłem sobie następne 10 wishy i od razu jest Baal.
1093:  Nie róbcie nigdy tego, co ja zrobiłem, nigdy.
1097:  Ja mam limit, limit kwot, które planuję płacić Mihojo,
1103:  Ten limit wynosi najdroższa gra AAA za jaką kiedykolwiek zapłaciłem gotówkę.
1108:  I wciąż rekord przynależy do CD Projektu Red, bo kupiłem kiedyś edycję kolekcjonerską.
1112:  W momencie, w którym osiągnę ten pułap, Michał nie zobaczy już ani grosza.
1115:  To jest taki mój sam mechanizm zabezpieczenia się przed wpadnięciem w tę bańkę.
1121:  Kogo bym wybrał, dlaczego Balthazara Gelta, Teklisa, a może Nagasza?
1126:  Myślę, że wybrałbym jednak Nagasza, z tego względu, że po prostu nie pojawił się jeszcze na arenie Warhammer Total War, więc bardzo chętnie bym zobaczył, co potrafi, a poza tym, no nie poradzę, mam słabość do nekromantów i magusów, a Teklis jest za bardzo takim pierdołowatym, świętoszkowatym bohaterem, żebym się nim zainteresował.
1144:  To już Tyrion ma ciekawszy lore.
1146:  Tak, tak, będzie zapis streamu, nie martwcie się, jak zawsze.
1151:  Czołem witam wszystkich przybywających najserdeczniej.
1155:  Co myślę o ograniczenia grania w gry online w Chinach?
1157:  To pytanie prędzej czy później musiało paść, a padło od Dominika.
1161:  Ograniczenie wolności czy słuszna walka z uzależnieniami?
1163:  Moi kochani, nie ma czegoś takiego jak uzależnienie od gier komputerowych, okej?
1168:  jest uzależnienie.
1170:  Jeżeli ktoś się uzależnia od substancji psychoaktywnych albo od herbaty, jak ja, to się może uzależnić od innych rzeczy, ale nie ma czegoś takiego w grach wideo, co by czyniło je inherentnie, czyli samoistnie uzależniającymi.
1184:  I będę bronił tej tezy, póki na WHO nie pojawi się, na listach WHO, nie pojawi się również uzależnienie od telenower brazylijskich, uzależnienie od paradokumentali, uzależnienie od powieści groszowych, uzależnienie od literatury, uzależnienie od seriali, uzależnienie od filmów, uzależnienie od wszystkich innych mediów.
1202:  Rozumiecie, do czego zmierzam, tak?
1203:  Więc, krótko mówiąc, tę decyzję chińską oceniam jako bardzo szkodliwą dla całego medium.
1208:  ale równocześnie pamiętajcie, że to nie jest jedyna wolność, która jest zagrożona w Chinach i ona akurat jest ze wszystkich nich najmniej istotna.
1215:  O wiele bardziej im się przejmuje obozami koncentracyjnymi, których jak widać nie przejmuje się nimi kompletnie Disney, bo potrafi podziękować władzom miasta w kreditsach do Mulan aktorskiej za to, że udzieliły swojej przestrzeni.
1230:  Witamy Prometa w gronie trybutariuszy.
1234:  Zongliego czyta się Zhong, to już w ogóle jestem przerażony w takim razie.
1238:  Uzależnienie od propagandy, grzybobrania, sportu, no właśnie tak.
1241:  I weźmy pod uwagę jeszcze jedną bardzo ważną rzecz.
1244:  Pamiętajcie, że w Chinach największy sektor gier to jest rynek mobilny.
1250:  Stąd sukces takich firm jak MiHoYo.
1253:  I w grach mobilnych są mechaniki, które były projektowane przez tych samych ludzi, którzy pracowali dla kasyn w Las Vegas.
1261:  Przez tych samych psychologów behawioralnych swoją drogą, bo to naukowcy niestety opatentowali różne tego rodzaju metody, oczywiście to było pod przykrywką przeciwdziałania uzależnieniom, ale można było przytulić piękne granty, nie?
1273:  I niestety mechaniki hazardowe w grach wideo, no one są uzależniające i tu bym powiedział, że mogą być bardziej uzależniające od faktycznego hazardu, z tego względu, że te zastrzyki dopaminowe są częstsze i bardziej zniuansowane i jeszcze z uwagi na imersję, której nie mamy w kasynie.
1290:  Imersję, czyli to zanurzenie w fikcyjny świat, są dwa bardzo potężne uczucia, to znaczy ten dryk do hazardu,
1297:  Jeszcze zaryzykuję.
1299:  Zobaczymy, czy mam szczęście.
1300:  I drugie potężne uczucie, znaczy tęsknota za fikcyjnym światem.
1304:  Połączenie tych dwóch rzeczy działa jak najlepszy narkotyk.
1308:  I tu jest problem.
1309:  O tym się powinno mówić.
1311:  O ograniczeniu mechanik hazardowych i freemium wszelkiego rodzaju w grach wideo.
1318:  Jakie książki bym dodał do listy lektur?
1320:  Jeżeli chodzi, musisz sprecyzować, Tadeuszu, czy chodzi ci o polskie, czy zagraniczne?
1325:  Więc może odpowiem od razu.
1327:  Z Polski bym dodał Roberta Wegnera, bo uważam, że jego opowiadania mogłyby się spodobać, a z zagranicznych Nila Geimana też opowiadania.
1334:  Czy można się spodziewać streamów na kanale z Wiedźmina Drugiego, jak CDP zrobi remake?
1337:  Jak będzie remake, na pewno.
1340:  Szefcy Witkacego, Fox Ghost, pisze abstrakcyjne arcydzieło z niesamowitym językiem, komentarzami społecznymi i wspaniałą zabawową formą.
1346:  Koncepcja, czyli nieprzystępna, nieaktualna książka, niezrozumiałe napisana.
1351:  To nie jest powieść.
1352:  Dramatów się nie czyta, dramaty się ogląda na deskach teatru, okej?
1356:  Jeżeli ktokolwiek wam każe czytać tragedię, komedię, komediodramat lub dramat, możecie mu śmiało powiedzieć, że jest idiotą i podpisać mnie pod tym.
1364:  Czy będzie kiedyś stream z Hollow Knight?
1367:  Pyta Mikołaj Janiec.
1368:  Kto wie?
1369:  Nie wiem, nie robię planów.
1371:  Dominiko...
1372:  Po pierwsze, teraz brawa, bardzo proszę o brawa na czacie dla Dominiki, która, bo to właśnie Dominika Klimczak, która odpowiada za emoji amnicze i za inne wspaniałości, właśnie do nas dołącza i to jeszcze w dodatku w gronie trybutariuszy, będę musiał porozmawiać z Dominiką na ten temat potem, mieliśmy inną umowę, więc możecie Dominice wysyłać emoji, te, które zaprojektowała lub wszelakie inne i podziękować jej bardzo, bardzo, bardzo za to, co dla nas zrobiła.
1402:  Czytam dalej.
1403:  Z książek poświęconych alchemii właśnie zacząłem.
1405:  Namiestnika pióra pana Przechszty.
1406:  O, Przechszta jest znakomitym absolutnie pisarzem.
1411:  Tak samo zresztą jak równie rzadko, mam wrażenie, pojawiający się w różnych omówieniach i programach popularyzatorskich i mówiących o fantastyce, to znaczy Krzysztof Piskorski, autor Cieniorytu.
1423:  Absolutnie znakomity pisarz.
1426:  Patrzę dalej.
1428:  O, bardzo mnie cieszy to, co widzę na czacie dla Dominiki.
1431:  Witamy Gudka w gronie trybutariuszy najserdeczniej.
1435:  A wiecie co?
1435:  Ja też użyję sobie emoji jamniczej, bo czemu by nie?
1438:  I oczywiście, że użyję jamnika ognia.
1440:  No naturalnie, że tak.
1442:  Dziękuję Mike Smith za trybut i za pozdrowienia nie tylko dla mnie, ale także dla wszystkich oglądających.
1449:  Bardzo się cieszę.
1450:  Co sądzę o najnowszych nominacjach do nagrody Nike?
1464:  Mniej więcej to.
1466:  Czy oglądałem Critical Role z Matthew Mercerem?
1470:  Nie, nie oglądałem, a powinienem.
1472:  Czy filmy w klimacie post-apo cenię?
1475:  Przy okazji jeszcze witam Roberta Górskiego w gronie Trybutariuszy.
1479:  Tak, bardzo lubię postapokaliptyczne filmy, ale jeszcze bardziej lubię katastroficzne, czyli wszystkie rzeczy typu Pojutrze albo 2012 i tak dalej.
1486:  Och, och, bardzo lubię takie rzeczy.
1489:  Lista lektur to w istocie koncepcja czytania na rozkaz, abominacja, zgadzam się z tym absolutnie, dlatego też staram się wyślizgiwać jak piskorz z wszelkich propozycji, które się pojawiały w komentarzach pod filmem, za które oczywiście dziękuję, żebym sformułował własną listę lektur.
1503:  Wciąż myślę, jakby to zrobić w taki sposób, żeby zdekonstruować, czyli zdemontować trochę ten koncept listy lektur jako kanonu, który ma mierzyć naszą erudycję, bo w gruncie rzeczy o to chodzi w kanonie, nie?
1515:  Czy jakieś rady dla osób chcących zostać pisarzami?
1518:  Tak, wybierajcie na początek pisanie do czasopism i portali, dołączcie natychmiast do grup facebookowych typu beta readingu i tak dalej i piszcie krótkie formy.
1531:  W krótkiej formie najlepiej szlifuje się warsztat.
1533:  Zresztą, hej, to jest to, co ja robię na YouTubie.
1535:  Myślicie, że jest łatwo zrobić w 5 minut recenzję filmu albo serialu?
1539:  Nie.
1540:  Ale ja to robię mimo to, bo chcę ćwiczyć się w umiejętności argumentacji w tak krótkim czasie.
1545:  Ze studentami też to czasem ćwiczę i mówię, słuchajcie, 5 minut macie mi sprzedać koncepcję pracy dyplomowej.
1551:  I tyle.
1552:  I zresztą to jest też taka pięciominutówka, czyli flash presentation jest bardzo teraz popularna na konferencjach zagranicznych i często też się używa tego w korporacjach.
1558:  I bardzo uważam, że to jest dobry pomysł.
