🔴 Kij bez kierunku nie będzie drogowskazem | LIVE #27
🔗 https://www.youtube.com/watch?v=N8q4yU142oY

81:  Dzięki za uwagę!
447:  w ogóle chcieli, nie wiem, na przykład nie tylko wierzyć w to, że są częścią rodziny, ale faktycznie się nią czuć, no to tak, to ci ludzie opowiadają, w jaki sposób należy podchodzić do ludzi po ludzku, bo najwyraźniej tego już musimy szkolić, moi drodzy, bo trochę o tym zapomnieliśmy.
467:  Nie wiem, ale podejście jak śmiesz.
469:  Odnośnie indywidualnego podejścia, pisze Rudy List, w ten sposób płynnie przejdziemy do pytań, moi drodzy.
472:  Mam nadzieję, że w ogóle muzyka nie jest za głośno.
475:  Do ucznia nawet przy dużych grupach muszę polecić dobre CKU.
478:  Nie mam pojęcia.
479:  Ach, już wiem, co to może być.
481:  To może być Centralna Komisja Uzupełnień Rany Boskie albo coś innego.
485:  Dorośli ludzie mają zajęcia z dorosłymi ludźmi.
487:  Często można zapytać o radę, poprosić o pomoc lub radę.
489:  Jeżeli to nie jest Centralna Komisja Uzupełnień,
492:  Poczujcie się ostrzeżeni, tak się to kończy, jeżeli Krzysztofa konfrontujecie z akronimami i ich nie rozwijacie.
499:  Poznałem czytając o doktrynach i teoriach państwa, pisze król kościelny, czy oglądałem Five Nights at Freddy's albo Chłopów i moi drodzy, i tutaj muszę was zaskoczyć, ja byłem o tyle, tyle.
512:  od zrobienia recenzji chłopów, ponieważ poszedłem w końcu w doborowym towarzystwie na tychże i muszę wam powiedzieć, że byłem zdumiony, to znaczy to jest dobry film, to jest świetnie zrealizowany film, on ma dobrą muzykę, on w niczym nie przypomina tego okropnego dzieła Reymonta, które czytałem, przez które brnąłem i uważałem, że należy je skrócić o jedną czwartą,
536:  I oni właśnie to zrobili, więc jest idealnie.
540:  Dokładnie to, co należało wyciąć, zostało wycięte, a zostały ładne widoczki, quest rodem z Wiedźmina Trzeciego Dzikiego Gonu w jakimś welen lub białym sadzie, jeszcze dobrze podjęty wątek feministyczny i do tego fantastyczna muzyka, o czym nikt nie mówi praktycznie i rewelacyjna technika kinematograficzna, to akurat...
560:  Dla mnie było oczywiste, ponieważ znam twojego Wincenta, widziałem też materiał na gałęzi na temat chłopów, więc cóż mogę więcej rzec.
568:  Jestem zaskoczony i moi drodzy mogę śmiało powiedzieć, myliłem się, nie należało zakładać, że będzie to beznadziejne.
574:  Polska kinematografia potrafi zaskakiwać.
577:  I co chyba najdziwniejsze z tego wszystkiego, Mirosław Baka, którego znienawidziłem w Cyberpunku w Widmie Wolności, tutaj grał tak dobrze, że ja go nawet nie usłyszałem.
588:  Nie wiem, co się stało.
590:  Nie mam zielonego pojęcia, ale niech ludzie robią podobne rzeczy i niech wnioskują z tego, że da się zrobić produkcję, która zadowoli nawet zaprzysięgłego wroga tego bogoojczyźnianego, chłopomańskiego nurtu w polskiej prozie.
604:  I jeszcze do tego wszystkiego człowieka, który przeczytawszy klasykę w swoim czasie stwierdził, że będzie już czytał głównie fantastykę.
612:  Więc Krzysztof w fali kłopów.
613:  Tak jest, moi drodzy.
616:  Mateusz Borowiec, dzięki za wsparcie 12 miesięcy.
619:  Rok wsparcia, dziękuję Ci jeszcze bardziej.
620:  Praktyki i licencja to granulat dla depresji.
623:  Niedobrze to brzmi, moi drodzy.
625:  Ja się postaram wspierać jeszcze wysiłek wszystkich licencjuszy piszących prace dyplomowe.
630:  Pierwszym takim moim kamyczkiem był ten materiał na temat tego, czym są seminaria dyplomowe.
635:  Ja wiem, że dla niektórych to może brzmieć egzotycznie.
638:  Ale tam w razie czego jest podlinkowana tablica Trello, która jest gotowcem.
642:  Jeżeli chcecie sobie samoorganizować pracę przy większych projektach, to nie musi być wyłącznie praca licencjacka czy magisterska, czyli praca dyplomowa.
649:  Więc podejrzewam, że jeżeli osiągniecie studia, a słuchacie tego jeszcze studiów nieosiągnąwszy, to może się to Wam przydać.
655:  Zwłaszcza, że przy okazji tego filmu dowiedziałem się, że praktyką powszechną na wielu uczelniach technicznych i ścisłych jest to, żeby seminariów dyplomowych praktycznie w ogóle nie było i żeby się ograniczały one tylko do prezentacji pracy.
665:  To dla mnie było bardzo dziwne.
667:  CKU to jest ciężki karabin umocowany.
668:  Wiedziałem, wiedziałem, że źle.
671:  Centrum kształcenia ustawicznego, pisze istota żyjąca.
674:  To nie brzmi zdecydowanie jak ciężki karabin umocowany, jak również nie brzmi jak Centralna Komisja Uzupełnień.
681:  Ludzie z zasobów ludzkich, pisze Karolitka, biomasy, czyli HR w korpo to raczej indywidualne podejście, nie bardzo.
687:  Do czasu, moi drodzy, to jest kwestia...
689:  roszady na stanowiskach i zmiany światopoglądowej.
692:  Zawsze będę powtarzał, że jeżeli chcemy reform i chcemy zmian, jedynym sposobem nie jest czekać na to, aż przyjdzie minister i wszystko zmieni, tylko zmieniać oddolnie, ponieważ tylko na drodze tego rodzaju właśnie oddolnego, ustawicznego, możemy powiedzieć, kształcenia, jesteśmy w stanie wpływać na zmiany mentalnościowe i światopoglądowe.
710:  Przepowiedziałem, i teraz niech jeszcze raz to pójdzie w świat,
714:  że zmieni się minister, zmieni się rząd, prawdopodobnie do tego dojdzie, nic nie zmieni się w ciągu najbliższych czterech lat w edukacji, mimo że zostaną wprowadzone zmiany pozorowane, prognozuje, że będzie się odchodzić od zadań domowych, na przykład na drodze ustawowej, albo będzie się równocześnie na przykład likwidować różnego rodzaju przedmioty, sądzę, że hit pójdzie do likwidacji.
736:  I sądzę wreszcie, że zostaną wprowadzone gimnazja na nowo.
740:  To jest takie moje proroctwo, które wiąże z gigantyczną aktywnością lobbystów z środowiska nauczycielskiego oraz związków zawodowych chroniących nauczycieli.
749:  Zobaczycie, że zostanie to wprowadzone i absolutnie nic się nie zmieni.
753:  Teraz zresztą na moim ulubionym profilu Nie dla chaosu w szkole polecam wam śledzić sobie komentarze nauczycieli.
759:  Bardzo są pouczające.
760:  Tak samo grupa Ja Nauczyciel na fejsie.
762:  Może kiedyś zrobię na ten temat materiał, bo to jest fascynujące, jak się wczytuję w te bardzo, bardzo empatyczne komentarze.
769:  Mianowicie już wrogiem, moi drodzy, nie wiem, czy jesteście na bieżąco, nie jest magister niełki i szkodnictwa wyższego Przemysław Czarnek, kryptonim operacyjny profesor.
781:  Nie, moi drodzy, teraz wrogami są reformatorzy.
790:  Każdy system totalitarny potrzebuje wroga.
792:  Jeżeli mieliśmy Orwellowski 1994 i tam był ANGSOC, czyli ANSOC, jak kto woli czytać, to tam też był potrzebny wróg, Immanuel Goldstein.
802:  Ponieważ im wyraźniejszy jest wróg na horyzoncie, tym bardziej możemy usprawiedliwiać istnienie systemu.
808:  Więc teraz wrogiem są reformatorzy.
810:  Paweł Łęcki o tym pisał, szerowany zresztą przez Niedlachałosów w szkole.
814:  Bardzo nie polecam.
817:  Strasznie to jest smutne tak swoją drogą.
819:  FNAF miałam się bać, a jednak był nerdgasm, pisze Ptyś Różowy.
823:  Postanowiła nasza moderatorka użyć następnego akronimu, którego nie będę w stanie w żaden sposób rozszyfrować.
829:  Czy dialogi w chłopach były czasem nie do zrozumienia?
831:  Ja się nie skupiałem specjalnie na dialogach Batrus, ponieważ znam na pamięć chłopów Reymonta, niestety, ponieważ kończyłem polonistykę, nie da się wtedy nie znać na pamięć chłopów, więc ja się skupiałem na obrazie i muzyce i jako to moim zdaniem jak najbardziej w porządku.
845:  Krzysztof w hali Polski film Game Over.
847:  Nie inaczej.
848:  Jeszcze gorzej, bo widziałem trailer Akademii Pana Kleksa i mi się nie nie spodobał.
854:  Znaczy, daleko było do tego, żeby mi się spodobał, ale mi się nie nie spodobał.
858:  To jest dużo.
859:  Zgretku, dziękuję też za wsparcie od 26 miesięcy.
861:  Udanego wieczoru wszystkim życzy też nasz moderator, moi drodzy.
864:  Dziękuję serdecznie.
865:  CKŁ to po prostu zaoczne zawodówki.
868:  Moją się jaram, piszę rudy list, dzięki za wsparcie od 9 miesięcy.
871:  Czy mam jakieś porady, jak nie oszaleć z aroganckim nauczycielem głuchym na potrzeby uczniów?
875:  Pyta magister nieuki i szkodnista wyższego.
878:  Nie wiedziałem, moi drodzy, że mamy tak dostojnych komentatorów na czacie.
882:  Rada jest jedna, to znaczy przetrwać, druga to znaczy walczyć i zgłaszać, trzecia to znaczy zaprząc do tego możliwie najwięcej ludzi i zyskać sojuszników, ponieważ walka samotna z nauczycielem, który jest głuchy na potrzeby uczniów,
896:  jest walką skazaną z góry na niepowodzenie.
899:  Mogę wam sprzedać radę, którą mnie kiedyś sprzedała mama.
902:  Mianowicie powiedziała mi, że jeżeli mam z czymkolwiek walczyć, to niestety jestem na straconej pozycji, w związku z powyższym muszę się starać, żeby nikt nie był w stanie mnie zaatakować pozamerytorycznie.
912:  Czyli jeżeli chcemy krytykować jakiś system, to niestety musimy wedle metryk tego systemu być możliwie nietykalni.
921:  A więc prawda jest taka, że odpowiedzialność walki z...
925:  na przykład nadużywającym swej profesji nauczycielem, albo z mobującym szefem, albo z wykładowcą, który też rozszalał się przesadnie, spoczywa na ludziach, którzy są lepsi lub najlepsi.
939:  With great power comes great responsibility, prawda?
943:  Z wielką mocą wiąże się wielka odpowiedzialność.
945:  Bo prawda jest smutna taka, że jeśli ktoś sobie z czymś nie radzi, to usłyszy, aaa, to dlatego krytykujesz.
952:  Wiecie, ile razy ja przeczytałem w komentarzach, że Krzysztof pewnie tak krytykuje edukację, bo samemu mu nie poszło.
960:  Ja na to oczywiście mogę tylko uśmiechnąć się ironicznie i odpowiedzieć tym, czym mógłbym odpowiedzieć, ale wtedy usłyszę oczywiście KLOSIZM!
969:  Na to mogę odpowiedzieć, to ty dzwonisz, ale wiecie, wtedy już się robi z tego długa konwersacja, po czym ja słyszę, że Krzysztof jest toksyczny w komentarzach, więc nauczyłem się na to nie odpowiadać i uśmiechać tylko ironicznie, ale problem polega na tym, cholera jasna, że uśmiechu ironicznego nie widać w sekcji komentarzy, więc będę się starał, żeby go widać było częściej na filmach.
990:  Tak, Krzysztof fali chłopów.
991:  Widzę, że to moje chwalenie chłopów odezwało się wieloma echami na czatach.
996:  Czy dialogi są dobrze udźwiękowione?
998:  W ogóle chłopi są dobrze udźwiękowieni.
1000:  Jestem naprawdę zaskoczony pod tym względem.
1003:  Dominiku, dziękuję za wsparcie od 20 miesięcy.
1005:  Czas leci.
1006:  No i przypomina, jak jeden z moich nauczycieli powiedział kiedyś, czas leci powoli i bardzo mnie to rozbawiło.
1012:  Dariusz pisze, że rozbawiła go sprawa z Kleksem.
1014:  Film opiera się na książce, ale w grudniu ma wyjść książka na podstawie filmu.
1018:  To Dariuszu, nic.
1019:  Ja kiedyś zrobiłem żart, że jak wyjdzie pasja Mela Gibsona, to będzie, to było bardzo dawno temu, jak pewnie słyszycie, to będzie nowelizacja pasji.
1028:  No i okazało się, że było...
1030:  Było skądinąd dość zabawne.
1034:  Czy to legalne i normalne, żeby praktyki były darmowe, pyta Mateusz Borowiec.
1037:  Na Uniwersytecie Szczecińskim są za darmo, ja natomiast ostatnio pracuję jak najwięcej, bo podnieśli czynsz i nie mam czasu na nie.
1045:  Moi drodzy, ja uważam, że nie.
1049:  Natomiast moje uważanie, że nie i uważanie prawa pracy, że za pracę należy się płaca, nie stoi na przeszkodzie wielu uczelniom wykorzystywać różnego rodzaju meandry i zawiłości prawne do tego, żeby pod pozorem realizowania obowiązków dydaktycznych czy edukacyjnych
1066:  Za te prace nie należała się płaca.
1069:  Co zabawne, słyszałem o przypadkach, że niektóre firmy nie chciały podpisać umowy z uczelnią, która mówiła, że praktyki mają być nieodpłatne i żeby było śmieszniej, to uczelnia się upierała za tym, żeby praktyki były nieodpłatne, a firma chciała zapłacić.
1085:  Miałem zielonego pojęcia, dlaczego do czegoś takiego dochodzi, ale mam wrażenie, że to jest dość wcześnie trenowane.
1090:  Wprawdzie komentujący, pochodzący ze szkół zawodowych albo z techników i tak dalej, mówili, że te praktyki są symbolicznie płatne niekiedy.
1100:  Natomiast na uczelniach mam wrażenie, że to nie jest reguła.
1104:  Na pewno jeżeli chodzi o uczelnie artystyczne, na pewno jeżeli chodzi o uniwersytety, z którymi przynajmniej mam kontakt i gdzie mam rozeznanie, odpłatności za praktyk należą do absolutnej rzadkości.
1113:  Ja mogę tylko powiedzieć, że za czasów, kiedy ja chociażby byłem pełnomocnikiem do spraw artystycznych,
1118:  promocji na moim wydziale, praktyki dla studentów były albo w formie praktyk zawodowych, albo w formie normalnej odpłatności.
1126:  Więc jakiś tam ekwiwalent dostawaliście w zamian za wykonaną pracę, jeśli studiowaliście, przynajmniej wtedy, kiedy ja się tym opiekowałem.
1134:  Ale wiecie, to znowu bardzo często na uczeniach zależy od człowieka.
1137:  Są ludzie, którzy się upierają, żeby coś takiego przeforsować, a są ludzie tacy, którzy nawet o tym nie myślą.
1142:  Powiedziałeś Mateuszu, że jest problem z czynszem, no ja słyszałem wielu profesorów, którzy mówili, że na studiach się studiuje, nie pracuje.
1150:  No dobrze, durny kiepie, ale jak ma ktoś pracować, jak przyjechał 300 km ze Szczecina i załóżmy, że przyjechał do jakiegokolwiek miasta, które znajduje się w odległości 300 km od Szczecina, miałem powiedzieć do Warszawy, ale później sobie uświadomiłem, że to pewnie nie jest 300 km i ktoś mnie poprawi, więc po co?
1165:  A przecież tu chodzi tylko o analogię.
1167:  I potem nagle się okazuje, że jest czynsz 3,5, który trzeba jakoś zapłacić.
1171:  No to skąd ten człowiek ma wziąć pieniądze?
1172:  A już wiem, skąd ma wziąć pieniądze.
1174:  Z tego samego źródła, z którego uprzywilejowany profesor brał w tych latach 60-tych czy 50-tych, kiedy studiował, to znaczy z kiesy rodzicielskiej zaczerpnął.
1183:  No dobrze, ale jeżeli nie ma takiej kiesy rodzicielskiej, z której można zaczerpnąć i to tyle pieniędzy i to co miesiąc, przypominam,
1188:  to wtedy trzeba iść do pracy i na tym polegają realia, więc jeżeli profesorowie są od takich realiów odklejeni do tego stopnia, to nie dziwcie się potem, że nawet za praktyki, czyli za konkretną pracę, którą ktoś wykonuje, płaca nie jest przyznawana.
1202:  Oskarze, dziękuję Ci serdecznie za trybut.
1204:  Oskar chciał dodać Akademia Pana Kleksa.
1205:  Czekam niezwykle.
1207:  Czas wreszcie na mojego Kleksa Trzpiotta i Maga.
1210:  Fronczewski zbyt nobliwy.
1211:  Zobaczymy, na pewno dawny Kleks jest już niesamowicie creepy.
1214:  Ja pamiętam taką sekwencję animowaną z Akademii Pana Kleksa dawnej, która była przerażająca.
1220:  Nawet była bardziej przerażająca niż wilki.
1223:  Wiii!
1224:  Tudzież ten marsz do swoją drogą całkiem fajnego bitu metalowego wilków, którego się wszyscy bali włącznie ze mną w dzieciństwie.
1232:  Natomiast o wiele bardziej creepy była dla mnie ta dziwna animacja, która tam się pojawiała.
1236:  Bardzo, bardzo dziwaczna.
1239:  Zrób recenzję, prosimy chłopów.
1240:  O Boże, może się uda, ale chciałbym, żeby na tym kanale się pojawiały materiały dotyczące fantastyki.
1246:  Ale zobaczę.
1247:  Nigdy nie wiadomo.
1248:  Pustynik Unikczemności też dziękuję ci serdecznie za wsparcie przez dwa lata.
1251:  Niesamowitości istotnie.
1253:  Czy przeszedłem całe Fontaine?
1255:  Eksploruję Fontaine w Genshin Impact.
1257:  Prawdopodobnie będziemy kontynuować darin na live'ach Arkon Quest z Fontaine, ale na spokojnie, moi drodzy.
1264:  Ja się nigdzie nie spieszę w grach, tak samo jak się nie spieszę w życiu i zaczynam to coraz bardziej doceniać.
1269:  Czy czytałem jakieś książki Milana Kundery?
1271:  Musiałem czytać.
1272:  Witam.
1274:  Nieznośne książki Milana Kundery, w tym i nieznośną lekkość bytu, która moim zdaniem kompletnie się nie powinna znajdować na liście lektur.
1280:  Na moim wydziale była to polonistyka, więc jak słyszycie, zapewne miało być o literaturze polskiej, ale co tam.
1286:  Nie byłbym może tak złośliwy, gdyby nie fakt, że z tejże samej listy lektur był na przykład wykastrowany Andrzej Sapkowski, w związku z powyższym zdumiewało mnie, że mam czytać Milana Kundera, a nie było Andrzeja Sapkowskiego.
1297:  No ale co tam.
1298:  W każdym razie mój bajas co do literatury, która roztrząsa kwestie egzystencjalne, no pozostaje w mocy.
1306:  Po prostu nie jest to dla mnie nic zdumiewającego i zadziwiającego.
1309:  Być może przeczytałem takich rzeczy już za dużo i teraz bardziej interesuję się światami niż ludźmi w literaturze przynajmniej.
1317:  No one przecież zabrał się za Aragona.
1318:  Dobrze, moi drodzy, z polecajek książkowych zacznijmy od czegoś, o co nie spytaliście, mianowicie Laura Gallego.
1324:  Przy okazji dziękuję, ponieważ znam Laurę Gallego wyłącznie dzięki któremuś z was, kto powiedział i zużył na to, z tego co pamiętam, nawet jakąś wiadomość trybutową, Krzysztof, masz przeczytać Laurę Gallego.
1337:  Krzysztof kupił wszystko Laury Gallego.
1339:  Krzysztof przeczytał m.in.
1341:  księgę Axlin, coś takiego, jest w sąsiednim pokoju, nie chce mi się pójść i był zachwycony i potem chwyciłem za cykl Wiecznego Cesarza, to jest swoją drogą standalone, nie jest to żaden cykl wbrew temu, jaki jest tytuł, myślałem, że to jest po prostu pierwszy tom cyklu, ale nie, po prostu jest cykl Wiecznego Cesarza i chodzi tutaj o cykliczność jego życia.
1361:  rewelacyjna rzecz.
1362:  Powiedziałbym, że taka fantastyka dalekowschodnia, zacząłem się interesować bardziej w związku z powyższym fantastyką dalekowschodnią i sięgnąłem także po Taszę Surii, Cesarstwo Piasku i kolejne tomy i zaczynam wsiąkać.
1373:  Zupełnie inna jest atmosfera tej fikcyjnej rzeczywistości, bardzo niezachodnia, kiedyś byśmy powiedzieli orientalna, ale od czasów Eduarda Sajda raczej się nie używa tego określenia, ponieważ wiecie, Orient to było wszystko to, co Mickiewiczowi się wydawało, że jest tak bardzo daleko na wschodzie i skośno okie.
1390:  więc troszeczkę od tamtych czasów dojrzeliśmy i określenia orientalne używamy co najwyżej do przypraw.
1396:  No więc tutaj chodzi raczej o to, że jest zupełnie inna aura, jak się czyta te powieści, zupełnie inne odniesienia mityczne, zupełnie inny sposób frazowania, jeśli chodzi o opisy, zupełnie inne metafory itd., itd.
1409:  Czuć właśnie tę inność i dobrze ją czuć.
1412:  Świetnie zrobiona rzecz.
1414:  Kupka z dupki.
1416:  Dziękuję za trybut.
1417:  Cóż za miano.
1418:  Wczoraj pierwszy raz zobaczyłem jamnika w Stanach Zjednoczonych.
1421:  Mieszkam tu od roku.
1421:  Stwierdziłem, że to znak, że muszę zacząć cię wspierać.
1424:  Dziękuję serdecznie.
1426:  Dodam, że w Stanach Zjednoczonych nazywa się jamniki Sausage Dog z tego względu, że...
1429:  Dachshund brzmiało zbyt austriacko i zbyt akwareliście.
1434:  Koczek pyta, jak samopoczucie.
1436:  Samopoczucie dobrze, jeśli wyłączymy ten fakt, że sam ten live się zaczął od tego, że Krzysztof milczał, a z czystej męcz mówił do przyciszonego mikrofonu, albowiem był tak zmęczony po wstaniu o godzinie zbyt dla niego porannej i po naruszeniu radykalnym jego chronotypu przynajmniej na dwa dni.
1454:  Darmowe praktyki to nic, pisze Cynamonka.
1456:  W niektórych szpitalach czasem chcą pieniądze od studentów za umożliwienie praktyk.
1459:  O tym też słyszałem i to jest dopiero przerażające.
1461:  Pomyślcie sobie, że przy narracji o tym, że edukacja w Polsce jest bezpłatna, jednak bardzo dużo tych odpłatności się znajduje.
1469:  Jakimże szokiem dla mnie było przeczytanie, że wedle prawa oświatowego,
1475:  materiałów dydaktycznych ma być zapewniony przez nauczycieli i szkołę, czyli dobrze słyszycie, wszystkie te kartki, pisaki, flamast, wszystko powinniście dostać.
1485:  Już nie wspomnę, już nie wspomnę o innych rzeczach, nie wspomnę o tym, o czym mówiłem w szorcie, to znaczy, że za przynoszenie makulatury albo psiej karmy są...
1493:  Gdziki z zachowania i innych tego typu rzeczach.
1495:  Nie wspomnę już nawet o bezpośrednim dotowaniu jakiejś kasy rodzicielskiej za oczywiście jakiegoś rodzaju apanarze dla uczniów.
1504:  O tym nawet nie wspominam.
1505:  Ja nie zacząłem nawet jeszcze wspominać o szkołach artystycznych, które wymuszają w bardzo delikatny i miękki sposób zakup już bardzo zaawansowanych materiałów plastycznych.
1514:  Nie wiem, tam farby olejne, płótna i tak dalej i tak dalej.
1517:  To wszystko powinno być zapewnione.
1519:  Więc jeżeli się wymaga jakiejkolwiek odpłatności, to niech się wam zapalą czerwone lampki, zwłaszcza bądźcie czujni, jeśli chociażby jakiś profesor, bo były takie przypadki, na uczelni wymaga zakupienia jego własnej książki.
1531:  Nie, nie może tego zrobić, ona ma być dostępna w uczelnianej bibliotece, ona ma być przez niego przekazana w PDF-ie, więc nie może powiedzieć wam, macie kupić moją książkę.
1540:  Tak samo nie może powiedzieć, macie kupić za 200 USD, czy dolarów amerykańskich, taką, a nie inną książkę.
1545:  Były takie przypadki i te przypadki kończyły się w komisjach dyscyplinarnych, więc zgłaszajcie takie przypadki.
1550:  Natomiast oczywiście, jeżeli coś takiego dzieje się w szkole, to dobrze wiemy, że jest całe gigantyczne lobby wydawnicze, które...
1556:  całkowicie świadomie dba o to, żebyśmy co roku musieli kupować podręczniki, mimo że część jest bezpłatna i mimo że można było dawno już zrobić platformę edukacyjną, na której rzeczne podręczniki będą i mimo że na tej platformie edukacyjnej te podręczniki mogłyby być oparte hiperłączami, multimediami, źródłami naukowymi i uczyć równocześnie
1576:  Tak, imersyjnie nas wszystkich, że ej, ej, jak piszesz, piszesz cokolwiek naukowego, to musisz dać źródło.
1583:  Jak nie dajesz źródła, to możesz co najwyżej wyjść na idiotę.
1587:  No niestety autorzy podręczników w tym momencie wychodzą na idiotów, ponieważ podręczniki są źródeł pozbawione.
1592:  Dlaczego są pozbawione źródeł, spytacie i każdy wydawca wam odpowie, no nie możemy, mamy związane ręce, przecież tu jest szpalta drukarska.
1601:  Drogie jest wydanie, a my musimy na papierze kredowym te podręczniki wydać, żeby mogły przecinać ręce uczniów, więc koniecznie musi być to kredowy papier, to bardzo drogie jest.
1610:  Nikt się nie zastanawiał kiedykolwiek, dlaczego jest na papierze kredowym.
1613:  To jest jedna z nielicznych rzeczy, która może podrożyć wydanie książki, uzasadnić jej koszt.
1618:  Następnie nie możemy, bo ten papier kredowy i ta piękna okładka, nie może to mieć tych 20 stron więcej, bo tam nie może być przypisów do informacji, które są podawane z pewnością plebana cytującego prawo kanoniczne.
1635:  Ja od dawna, i chyba zrobię o tym kolejny film, nienawidzę podręczników właśnie z tego względu i nigdy nie zrozumiem, dlaczego one nie mogą być dostępne otwarcie i bezpłatnie.
1643:  I zanim ktokolwiek mi powie, że to jest niemożliwe, wszystkie książki, jakie redagowałem kiedykolwiek w Fundacji Ośrodek Badawczy Fakta Fikta, były, tak się składa, finansowane normalnie,
1652:  Wszyscy mieli opłacone, nie wiem, jakieś apanarze za redakcję, korekty i tak dalej, i tak dalej.
1657:  Ukazały się w otwartym dostępie i są do dzisiaj dostępne na platformie Google Books.
1661:  Niech mnie nikt nie pierdzieli, że to jest niemożliwe.
1663:  Oczywiście, że to jest możliwe.
1664:  Oczywiście, że się da to zrobić.
1665:  Tylko problem polega na tym, że lobby wydawnicze i księgarskie w Polsce zbyt dobrze na tym wszystkim zarabia.
1671:  Och, nie lubię.
1673:  Jak mówić do lekarza, gdy nie ma tytułu doktora, pisze Cenezi.
1677:  Myślę, że jeżeli to będzie dobry lekarz, to ostatnia rzecz, nad którą się będziemy zastanawiali, to jak się do niego zwracać.
1684:  Natomiast zawsze można powiedzieć pomocy.
1687:  Innego nie przychodzi do głowy.
1689:  Jakie mam IQ?
1690:  Nigdy nie sprawdzałem wodą niegazowana, ponieważ nienawidzę testów.
1693:  Jeżeli by IQ testowano na przykład w ten sposób, że przez najbliższe 5 miesięcy proszę sobie rozwiązywać tego rodzaju różne zadania, mamy czas na opracowanie strategii, na myślenie się nad wszystkim i tak dalej, to prawdopodobnie bym do czegoś takiego podszedł, ale ponieważ jest to realizowane w formie jakichś durnych, zamkniętych testów, a już wypowiedziałem się na temat zamkniętych pytań, że są one zawsze głupie,
1715:  no to nigdy do czegoś takiego nie podchodziłem.
1717:  Zresztą zauważcie, że testy IQ to jest bardzo ciekawe.
1720:  Za każdym razem sprawdzało w zasadzie wyłącznie inteligencję przez znajomość ciągów matematycznych.
