🔴 Ćwiczę pamięć, by umieć zapominać | LIVE #6
🔗 https://www.youtube.com/watch?v=SivTj36l0BQ

8:  Dziękuje za uwagę.
394:  Spokojnie, spokojnie.
395:  Będzie jedna rzecz, której się kompletnie nie spodziewacie.
398:  Tak jest, Pani Filma, kubek z bebokiem.
401:  Do tej szóstej rano zagrywałaś się młotka?
403:  Tak było, Sam Wit.
405:  Skończyłem kampanię Grand Cafe, żeby sprawdzić,
408:  Różne rzeczy dziwne i sprawdzić również odporność gry na exploity.
412:  Jakiej muzyki słucham?
413:  W zasadzie to, co wam puszczam podczas Q&A-ów, to jest dobry probież tego, czego słucham na co dzień, tak mi się wydaje.
420:  Ulubiona powieść Rovcrafta, pyta Nessus.
425:  Chyba opowiadanie bardziej będzie z Grows of Dunwich, tak myślę.
429:  Wstałem idealnie na live, pisze Julia.
431:  No, prawda?
431:  Co myślę o szlachetnej kulturze, jakichś głód i plugawiących ją casualach.
436:  Ja nie mam nic przeciwko graczom, którzy chcą wygrywać i sportowcom, którzy chcą wygrywać pod tym jednym warunkiem, że nie będą ludzi, którzy nie chcą uczestniczyć w rozgrywkach kompetytywnych do tego zmuszać i w ten sposób zrobiłem też segue do WF-u, tak.
450:  Nie jestem przeciwnikiem sportu, wbrew temu, co można było mniemać po ostatnim odcinku dla każdego coś przykrego.
457:  Jestem przeciwnikiem ogromnym zmuszania ludzi do sportu.
460:  Tak samo jak nie jestem przeciwnikiem religii i praktyk religijnych, ale jestem ogromnym przeciwnikiem zmuszania ludzi do praktyk religijnych w szkołach i na uczelniach.
469:  Kiedy można się spodziewać odcinka dotyczące terminologii studenckiej, wyjaśnienia różnic między kolokwium, seminarium, sesji itd.
475:  Ciągle o tym zapominam.
476:  Dobrze, że przypominasz bardzo złośliwy człowieku.
478:  Tak będzie.
480:  Co sądzę o twórczości Gilles Verne'ego, porównujmy go do wybitnej, powtórzmy, wybitnej prozy Olgi Czajkarczuk.
486:  Wiecie, bardzo lubiłem Gilles Verne'a, czy Juliusza Verne'a, jak go tłumaczono w czasach, kiedy tłumaczono wszystkie imiona i nazwiska w Polsce.
494:  Był taki moment.
496:  Chyba moja ulubiona powieść to Podróż do wnętrza ziemi, a w drugiej kolejności 20 tysięcy mil podmorskich żeglugi.
502:  Bardzo lubię, kojarzę to z takim miłym okresem mojego dziewczynstwa, kiedy to czytałem książki, które po prostu były na półkach, a nie czekałem na to, co mi każą przeczytać w szkole.
511:  Potem oczywiście było tak, że kazali mi przeczytać to, co było w szkole, no i przestawałem natychmiast to lubić.
517:  Wspomniałem kiedyś, pisze Mariusz, że najlepszym twórcą fantazji jest nie Sapkowski, a Wegener.
521:  Czy jestem w stanie obronić tej
524:  tę tezę i czy mógłbym rozwinąć.
526:  Powiem w ten sposób, to znaczy Andrzej Sapkowski w którymś momencie zaczął zjadać własny ogon, to znaczy mniej więcej od czwartego tomu trylogii.
534:  Szest ognia jest wspaniały, a potem Andrzej Sapkowski trochę za bardzo poszedł w postmodernizm.
540:  postmodernizm, czyli grę z konwencją, grę z konwencją modernizmu, a w przypadku fantastyki tym modernizmem jest klasyka fantasy.
547:  I dlatego Andrzej Sapkowski idzie trochę na przekór klasyce fantasy i pokazuje, że fantasy może się wywodzić od króla Artura, a nie np.
554:  od fantastyczności romantycznej czy od innych źródeł.
558:  I trochę nie pasuje mi ten pięcioksiąg arturiański i te inspiracje do historii Ciri i Geralta.
564:  Dlatego tutaj mam pewien problem.
566:  A Robert Wegner o wiele bardziej spójnie kreuje świat, no i przede wszystkim kreuje go od zera i bardzo, bardzo oryginalnie, bez tego rodzaju bezpośrednich inspiracji.
575:  Anna Kuszaj pyta, co sądzę o przedstawienia obcego w książce Unicestwienie.
579:  Oczywiście jeśli było czytane, mogę nie kojarzyć polskiego tytułu, ale coś mi się onkluje.
585:  Ulubiona pora roku, odwszak wiadomo pytanie, zima bez dwóch zdań.
589:  Czy będzie dzisiaj coś śpiewane?
591:  Dzisiaj nie, dzisiaj nie gramy charytatywnie moi kochani, o nie.
594:  Stan Lit pisze, nie przepraszam, Starletty, jak polepszyć swój zasób słów.
600:  Myślę, że tak jak w przypadku języka angielskiego, to znaczy wsłuchiwanie się, to znaczy słuchanie i dobieranie sobie takich podcastów, takich...
610:  materiałów, takich wideo, takich audiobooków, które nas będą rozwijać, a nie suflować nam cały czas to, co znamy.
616:  To naprawdę tylko o to chodzi.
618:  Ja też bardzo często zapominam różne dziwne słowa, których się uczyłem.
622:  Kiedyś, pamiętam, zrobiłem sobie takie zestawienie najdziwaczniejszych słów, których się naumiałem przez całe swoje życie.
629:  Po czym się oczywiście okazało, że rok rocznie zapominałem tego zestawienia i różnych dziwnych rzeczy, które były na tej liście, jak np.
636:  infundybua chronosynklastyczna, czyli słowo, które pochodzi z książki Syreny z tytana Kurta Vonnegata i zanim się zaczniecie turbować tym, że go nie znacie, uspokajam was, to nic nie znaczy.
646:  Absolutnie nic.
648:  To znaczy, to jest wymyślone słowo przez Kurta Vonnegata.
651:  Jak wydealować z prowadzącym na studiach, żeby nie wpisał, żeby, a, który nie wpisał oceny na czas i nie odpisuje na maile.
660:  Prosta sprawa, to znaczy trzeba wbić na konsultację albo skontaktować się w inny sposób, bo najwyraźniej mail jest przez prowadzącego unikany.
668:  To akurat rozumiem.
670:  Bo sam odpisywanie na maile traktuje jako absolutną ostateczność.
674:  Kochani, witamy serdecznie Bartka Janickiego w gronie Trybutariuszy.
677:  Trybutariusze to takie dziwne nasze jamnicze grono, które dysponuje emułgimi zaprojektowanymi specjalnie przez Dominikę Klimczak.
685:  Tę samą Dominikę Klimczak, która namalowała jamnika Maga Ognia, który was powitał na początku streamu.
691:  A ja jak zawsze odchodzę w dygresję, nie zjeżdżam w dół pytań i będzie tragedia.
695:  Co sądzę o serialu Korporacja Konspiracja?
697:  Prosta sprawa, nie oglądałem.
699:  Malek Ok.
701:  Czy dużo jest bugów w Warhammerze 3?
703:  Czy da się grać?
703:  Nie, miałem tylko raz Exodus do pulpitu i nic poza tym, natomiast mam pewne wątpliwości co do wydajności gry, to znaczy mam wrażenie, że mogłaby być troszeczkę lepiej zoptymalizowana, ale CA planuje patch tuż przed wydaniem gry, więc spodziewam się, że takie proste rzeczy zostaną załatane, ale generalnie ja bym chciał, żeby gry wideo były w taki sposób wydawane, jak jest w Warhammer Total War 3, naprawdę.
727:  Witam wszystkich też i trybutariuszy i widzów, którzy się gromadzą.
730:  Zwykle wyczytujemy nazwiska trybutariuszy.
732:  Wybaczcie dzisiaj podziękowania ogólne za wspieranie kanału dla Was wszystkich, ale nie mniej serdeczne, bo pozwalacie na taką swobodę kreatywną.
741:  To jest bardzo ważne w każdej pracy kreatywnej.
744:  Więc dzięki Wam za to wsparcie.
747:  Julia Przygoda pisze, że przez wiele lat tańczyła jazz i teatr współczesny, ale przez WF się zniechęciła do jakichkolwiek innych sportów.
753:  Oczywiście wieczne wytykanie mi, że taniec to nie jest prawdziwy sport.
756:  To jest ciekawe, bo ja tak rzuciłem podczas tego odcinka, że no ciekawe, chciałbym spotkać osobę, która się uczyła tańczyć na WF-ie, po czym oczywiście był jakiś miliard komentarzy, ale ja, u mnie, u mnie było.
768:  Ja mówiłem to z perspektywy człowieka, którego zmuszano raz tylko do tańczenia na WF-ie i był to o zgrozo polone sprzed studniówku, ale wykpiłem się z tego w ten sposób, że nie szedłem na studniówkę, bo uznałem to za debilizm.
779:  Zwłaszcza, że wszyscy moi znajomi i przyjaciele byli zawsze poza szkołą, więc...
783:  z kim miałem przyjść na tę studniówkę, trochę nie miało to sensu.
785:  Po drugie, wygnali nas na tę studniówkę do Wiliczki, a jeżeli jest się w szkole w centrum ścisłym Krakowa, to jechanie do Wiliczki ma średni sens.
795:  No i krótko mówiąc, stwierdziłem, że szkoda czasu i w związku z powyższym ominął mnie nawet to.
801:  Ale fakt, że zabijanie pasji, jakie jest,
805:  Nie dotyczy tylko tańca towarzyskiego na przykład na WF-ie, bo bardzo dużo ludzi też w komentarzach pod odcinkiem pisało, że uprawiało sport wyczynowo.
813:  Nawet niektórzy się medaliści znaleźli.
815:  Ba!
816:  Niektórzy byli laureatami jakichś niesamowitych ogólnopolskich imprez sportowych i konkurencji.
822:  Okazało się, że też musieli chodzić na WF z absurdem kompletnym.
826:  Gdybym ja musiał po wyznaniu i olimpiadzie z polskiego chodzić na lekcje języka polskiego, to byłaby to absolutna tragedia.
831:  Jakie lektury związane z groznawstwem polecam?
833:  Jeżeli mówimy o groznawstwie w wersji Lite, Jason Schreier, krew, pot i piksele i teraz nowa rzecz, która jego wyszła, chyba Restart, ale nie pamiętam dokładnie tytułu, bo jeszcze go nie kupiłem.
844:  Natomiast jeżeli wchodzimy na poziom wyżej, naukowy, to polecam Zaczęcie przygody od Piotra Kubińskiego, gry wideo, zarys, poetyki.
851:  Jeżeli natomiast chcecie lektury trudnej,
855:  Będący ambitnym wyzwaniem filozoficznej to Michał Kłosiński, hermeneutyka gier wideo.
860:  Hermeneutyka to jest nauka o interpretacji, sztuka interpretowania.
863:  Kłosiński tam pokazuje, że gry wideo można, a ba, nawet trzeba interpretować, ale wcześniej trochę mówi na temat imersji, czyli zanurzenia w świecie gry i utopii.
872:  a więc wymyślonego świata, który służy temu, żeby przedstawić jakąś dobrą ideę społeczną.
877:  Co ciekawe, Polska jest jednym z ostatnich krajów, w których sformułowanie utopista albo bycie utopistą także przez ludzi lewic jest używane jako obelga.
887:  Czy pani z Ciekanatu ma duszę?
889:  Tak, Kamilu Kumorze, jest ona schowana w mrocznym filakterium, który trzymany jest w wysokiej wieży pośrodku krainy Mordor, gdzie zaległy cienie.
902:  Unicestwienie to w oryginale Annihilation, pyta Anna Kuszaj.
905:  Czytałem Annihilation.
907:  Tak coś sądziłem, że o tym mówimy.
908:  Nie, to jest niesamowita absolutnie trylogia, jeśli mnie pamięć nie myli, tak?
913:  I bardzo, bardzo serdecznie ją polecam.
916:  Co więcej, myślę, że nawet film z Natalie Portman, o dziwo, pod tytułem właśnie Annihilation, jest dobrym wprowadzeniem w realia tego świata.
924:  Przepięknie przedstawiona obcość.
927:  Zdecydowanie moje...
928:  No i jedna z najlepiej zrealizowanych reprezentacji obcości w kulturze obok morza adynatosów Jacka Dukaja z Perfekcyjnej Niedoskonałości, nie, z innych pieśni, przepraszam.
939:  Witamy kolejnego wspierającego i trybutariusza.
942:  Nesseus dołączył do szalonego jamniczego grona i spodziewam się, że czad się tam niżej zajamnicza.
949:  Ulubione anime?
950:  Fullmetal Alchemist Brotherhood, Lukasie.
953:  Ostatecznie są takie gry wideo.
968:  których się nie uczy w szkole, więc nie widzę powodu, dla którego uczy się tylko części gier zespołowych, prawda?
974:  Zwłaszcza, że to e-sport w tym momencie jest on the rise i co więcej nie generuje tak wielu patologii jak sport wyczynowy z tego względu, że mniej wymaga od naszych ciał, więc no na przykład eliminuje zjawisko dopingu na taką skalę.
988:  Czy Krzysztof umie jeździć na rolkach, wrotkach i łyżwach?
991:  Wszystkie rzeczy, które przyczepia się do nóg po to, żeby człowiek się łatwiej wywracał, są absolutną zgubą dla mnie z tego względu, że ja nie potrzebuję nic mieć pod stopami, żeby się łatwo wywrócić albo żeby się poślizgnąć.
1002:  Byłem w stanie poślizgnąć się pod sklepem Leviathan w zimie i złamać rękę w taki sposób, że ortopeda patrzył na nią i nie wierzył, że to się stało w takich okolicznościach przyrody.
1013:  Więc nie, wolę nie pogarczać swojej sytuacji i z
1016:  dbać o wystarczający stopień tarcia między moimi podeszwami a gruntem i podłożem.
1023:  Czym zastąpić oceny?
1024:  Ha!
1025:  Ja myślałem, że kwestia tego, że ja nie mogę się poruszać w naszym czacie, jest na mojej myszy leży, ale to nieprawda, po prostu YouTube tego nie umie zrobić dobrze.
1035:  I widzę tyle pytań, że rany boskie.
1038:  Czym zastąpić oceny egzaminu matury, żeby jakoś sprawdzić wiedzę uczniów?
1041:  Po pierwsze, wiedzy nie trzeba sprawdzać.
1043:  I to jest coś, o co powiem, postaram się wam udowodnić i wyjaśnić w następnym odcinku bardziej.
1048:  Natomiast w dużym skrócie istotą procesu kształcenia jest to, żeby raportować progres uczniów.
1054:  Nie stopień przyswojenia wiedzy i nie jakość przyswojenia wiedzy.
1058:  To jest istotne.
1059:  Dlatego jest potrzebna ocena opisowa i wskazywanie tego, co jeszcze należy poprawić i nad czym popracować, a nie pod żadnym pozorem ocenianie.
1067:  Podam wam prosty przykład, ok?
1069:  Zanim, bo i tak to znajdzie się w odcinku, ale hej, przyszliście na live'a, miejcie jakiś benefit.
1074:  Wyobraźcie sobie, albo nie, nie wyobraźcie sobie, przytoczę sytuację, którą mam teraz, ponieważ urządzam nowe mieszkanie.
1080:  No i kwestia jest następująca.
1082:  Jest...
1083:  Powiedzmy szafa do zrobienia, tak?
1085:  Stolarz przychodzi, robi szafę, ja przychodzę i on mówi, no, panie Krzysztofie, to jak o tej szafie?
1090:  No, wie pan, tak, dostatecznie.
1094:  Ale nie, ale ona jest za wysoka, za niska, tutaj jest za głęba.
1096:  Nie, dostatecznie.
1098:  No dobrze, ale może tutaj by trzeba było coś podwyższyć?
1100:  Nie, takie, no dobrze, jak już chce pan konkret, 47%.
1105:  To jest to, co robi system oceniania z nami.
1108:  To nie ma sensu.
1109:  Żadnego.
1110:  I ja wiem, że wydaje się wam, o, stolarka i tak dalej, to jest prosty przykład.
1114:  Nie, bo dokładnie to samo można zrobić na materiale całkowicie abstrakcyjnym i to robi każdy wykładowca, pisząc recenzję pracy dyplomowej.
1123:  Gwarantuję wam, że praca dyplomowa to jest coś poważniejszego od matury czy egzaminu ósmoklasisty, dlatego że daje tytuł zawodowy, prawda?
1131:  I ten tytuł zawodowy uprawnia do robienia różnych rzeczy.
1134:  To jest trochę tak z egzaminami państwowymi i zawodowymi.
1137:  Także sprzeciwiam się na przykład temu, jak wygląda chociażby egzaminowanie w innych obszarach, tak jak chociażby w przypadku nauki języka obcego, gdzie też dostajemy ten procent, który nam nic nie mówi.
1148:  Ja bym wolał dostać feedback po zakończeniu egzaminu na przykład FC czy C1.
1154:  No, musisz bardziej popracować nad związkami frazologicznymi.
1156:  Albo dobrze frazujesz zdania, natomiast ewidentnie nie radzisz sobie z wymową.
1161:  To ma sens.
1162:  Ja wiem, to zajmuje dużo czasu, oczywiście, ale ten czas da się zyskać, jeżeli się wytnie połowę niepotrzebnych przedmiotów.
1168:  Tak w dużym skrócie.
1169:  Stardew Valley nie widziałem pakucza, niestety.
1172:  Którychże najlepiej mi się grało arcymagiem ognia?
1174:  Pyta Kamil.
1174:  Prosta sprawa, Two Walls, gdzie można było craftować zaklęcia, m.in.
1178:  magię ognia i to było wspaniałe.
1180:  Czy będzie ser w Warhammerze III?
1181:  Niestety, wszystkie, wszystkie cheese'owe taktyki, które były, zostały wyeliminowane z gry.
1187:  Jestem nieszczęśliwy z tego powodu.
1191:  Szczerze mówiąc w serialu Wiedźmi najbardziej brakuje mi tego, pisze Szymon, co świetnie ogarnął CD Projekt, opowieści o pierdoła, pogaducha w kompanii przyjaciół i zamiast tego dudnienie o przeznaczeniu.
1199:  Oczywiście, taka mała skala, mikroskala świata to jest coś, co sprawia, że ten świat żyje i oddycha, więc tego na pewno bardzo brakowało.
1210:  Czy uważam, że twórcy internetowi powinni mieć jakieś powinności ze względem swoich odbiorców, jakaś cybermoralność?
1215:  Ciekawe pytanie od Tomasza Maleńczyka i coś węsze a propos czego to było i a propos jakich ostatnich wydarzeń, które się przetoczyły po polskiej sieci.
1225:  Więc odpowiedź jest bardzo prosta.
1228:  Moralność tak wtedy, kiedy jest to w tym obszarze, w którym człowiek poucza.
1232:  Więc to, że mamy wyższe standardy wobec nauczycieli czy kapłanów na przykład w społeczeństwie, to nie jest rzecz przypadkowa, bo to zwykle są moraliści, którzy mówią nam, jak mamy żyć.
1244:  Więc jeżeli ktoś opiera swoją całą karierę internetową na tym, że poucza ludzi, co mają robić i potem się okazuje na jakimś nagraniu, że robi sam coś absolutnie innego,
1256:  No to niestety, to jest problem i to jest problem, który trzeba w jakiś sposób rozwiązać, albo przeprosić społeczność całkowicie transparentnie, albo, no właśnie, zwinąć manatki i zastanowić się nad swoim życiem, jak myślę.
1271:  To jest troszeczkę tak, jak ja bym wam mówił, że tak, PSYCHOP, trzeba open access w nauce, a cichcem był lobbystą Elseviera i w Ministerstwie Nauki przesiadywał na rzecz tego, żeby jak najwięcej polskich naukowców publikowało w bazach danych i w wydawnictwach Elseviera, nie?
1289:  To jest hipokryzja po prostu.
1292:  Dominika Cesarzowa Jamnika, bardzo mi się podoba to określenie.
1295:  Dominika została ochrzczona jamnikotwórczynią i na dowód wam wyślę mrowie autoportretów, które sama dla siebie zaprojektowała.
1303:  To są aportrety w formie emoji.
1305:  Tak tam Dominika jako jamnik rysuje jamniki.
1308:  To jest wspaniałe absolutnie.
1312:  Najbardziej znienawidzeni bossowie w Dark Souls chyba w największym stopniu będzie ten ostatni, który mi napytał bardzo dużo biedy.
1319:  W drugiej kolejności będzie Jorm, gigant, który zabił moją ulubioną postać i ulubioną postać chatów również, to znaczy rycerza Cebulę.
1328:  A w następnej kolejności Nameless King chyba, który okazał się bardzo prosty, jak zorientowałem się, że trzeba po prostu liczyć sekundy po jego atakach, konkretnie 3,5.
1337:  Wtedy można uniknąć ich bez żadnego problemu.
1343:  Korporacje, konspiracje, Error Ban pisze, że warto oglądać tylko z oryginalnym angielskim dubbingiem.
1347:  Informacja dla Was.
1348:  Pytanko a propos tego, co dzisiaj udostępniłem na Facebooku.
1350:  Proszę, proszę.
1351:  Krzysztof jest obserwowany.
1354:  Czy będę śledził sytuację na Uniwersytecie Mikołaja Kopernika w Toruniu?
1357:  To jest ważna sytuacja i polecam Wam zainteresowanie się nią.
1360:  Mianowicie jeden z prowadzących wystąpił w obronie studentów i tu kilkudziesięciu studentów.
1366:  Już weryfikowałem te informacje też u źródeł jednego ze znajomych profesorów
1371:  dzieją się niedobre rzeczy związane z zaliczeniami, z procedurami egzaminowania, z szaleństwami dotyczącymi właśnie, wiecie czego, oceniania.
1378:  To znaczy, jeżeli fetyszyzujemy proces oceniania i przyznawania punktów, to prosta droga do tego w edukacji zdalnej jest następująca, a mianowicie, no cóż moi drodzy, zamiast żebyśmy radośnie
1391:  i wspaniale feedbackowali się, no to będziemy się śledzić.
1395:  Więc tak, instalowane jest oprogramowanie szpiegujące, to znaczy studenci są do tego zachęcani, albo zmusza się ludzi do instalowania dwóch kamer, żeby również transmitować obraz z monitora.
1405:  To jest szaleństwo.
1407:  I to szaleństwo było kiedyś już na uczelniach, to znaczy w postaci takich egzaminów.
1411:  Ja miałem taki egzamin kiedyś.
1412:  Profesor siedział z przodu, a w auli siedzieli studenci, natomiast asystenci profesora przechadzali się alejkami i kontrolowali mniej więcej tak Dolores Umbridge uczniów podczas oulów słynnych.
1426:  O WTMY to chyba było po polsku.
1428:  Więc to jest konsekwencja prosta pewnych założeń edukacji, które są złe.
1433:  I papologie, które teraz wychodzą,
1436:  Sąd również tego konsekwencją.
1437:  Natomiast przyjrzyjcie się tej sprawie z uwagi na to, że reakcja, która jest ze strony społeczności Uniwersytetu Mikołaja Kopernika jest wzorcowa.
1444:  Tak należy raportować sprawy i należy to automatycznie wrzucać od razu do sieci.
1448:  To, co zawsze Wam powtarzałem.
1449:  Najlepiej z dowodami.
1452:  Czy oglądałem Titan, co myślę, pyta Ania Nowak.
1456:  Nie, tylko Attack on Titans kiedyś, kiedyś.
1458:  Spolszczenie Heart of Darkness Dukaja, nie czytałem tego, szczerze powiedziawszy, wystarczy mi przeczytanie oryginału.
1464:  Czy słyszałem o tym, że istnieje kocia rasa, kto jest odpowiednikiem Jamnika, pyta Reptilian.
1469:  Nie słyszałem, ale zainteresowałeś mnie.
1475:  Krzysztofie, jak zjeść mleko?
1478:  Z płatkami.
1479:  Czy darzę sympatię postać Garfielda, pt.
1481:  Czarownik?
1482:  Tak, kiedyś go oglądałem.
1483:  Jest dość irytujący, ale to jest ta skala irytacji i pies szczeka, co mała mi w muminkach mniej więcej.
1489:  Pytanie do polonisty.
1490:  Oj, groźnie zabrzmiało od Mariusza M. Jak ogarnąć nadmiar stawiania przecinków?
1493:  Często mam z tym problem i chyba tylko z tym, jeśli chodzi o interpunkcję.
1496:  Ostatnio sobie to wyjaśnialiśmy na live'ie dotyczącym Wielkiej Orkiestry Świątecznej Pomocy, charytatywnym.
1503:  Generalnie
1504:  Przecinki służą do oddzielania skupisk składniowych wokół orzeczeń, czasowników, innymi słowy, i form czasownikowych innego typu, czyli imię słowy, czyli właśnie czasowniki, itd., itd.
1515:  I jeżeli zobaczymy jakąś formę, która nazywa czynność gdziekolwiek w zdaniu, to już powinien być to wniosek, że należy to oddzielić od poprzedniej formy czasownikowej, nie?
1525:  Więc krótko mówiąc, to, co uczą w szkole, że przecinek stawia się przed że i przed który, jest nieprawdą.
1530:  To znaczy, na przykład, mimo że nie stawiamy przecinka, mimo że jest tam że.
1535:  Ale gdybyśmy powiedzieli, że coś należy oglądać, to w tym momencie używam dwóch czasowników.
1541:  Powiedzieli i oglądać i dlatego jest tam przecinek.
1544:  Gdyby nie było tam drugiego czasownika, to tego przecinka by nie było.
1550:  Zwitualizowaliśmy sobie to już raz, więc nie będę tego robił po raz drugi, ale ponieważ często się pojawia to pytanie, nakręcę na ten temat short.
1556:  O, tak to zrobimy.
1560:  reakcję łańcuchowa jamników.
1561:  Im więcej trybutariuszy, tym więcej jamników.
1563:  Pojawia się nowy trybutariusz.
1565:  Tak, to jest wszystko dzięki Dominice.
1569:  Kiedy Nier Automata?
1571:  Będzie Juma.
1571:  Będzie w którymś momencie, ale nie wiem, czy w tym roku, bo się dużo growo dzieje.
1575:  Bardzo.
1575:  Zwłaszcza, że będziemy kontynuować na pewno Hadesa i Dishonored rozpoczętych podczas streamu charytatywnego.
1581:  Moda na studiówki poza Krakowem na szczęście się skończyła, pisze Samuit i to jest świadectwem tego, jak bardzo jestem z tyłu za waszymi pytaniami.
1587:  Nie szkaluje wieliczki, szkaluje tylko pomysł wyjeżdżania poza Kraków.
1592:  Straszliwa sprawa.
1594:  Czy oglądałem Dorohedoro?
1597:  Dorohedoro.
1599:  Nie, jeszcze nie.
1599:  Ale pojawia się coraz jakiś czas, więc prawdopodobnie będzie w którymś momencie trzeba.
1604:  Co myślę o psychologach szkolnych?
1607:  Wiecie co, powiem tak.
1610:  Jeżeli trzeba do...
1611:  psychologa dodawać szkolny, to znaczy, że on nie jest takim typowym psychologiem i to już robi się troszeczkę niepokojące.
1619:  To jest odpowiedź lapidarna i ironiczna.
1620:  Odpowiedź mniej ironiczna, ja psychologa szkolnego kojarzę z tym człowiekiem, do którego się idzie wtedy, kiedy się sprawia problemy.
1627:  Tak nigdy nie powinno być.
1629:  Psycholog szkolny to powinna być instytucja taka, która służy ludziom, którzy potrzebują pomocy, a nie takim, których trzeba wysłać po to, żeby zostali naprostowani w jakikolwiek sposób.
1641:  Czy jakieś książki są podobne do Peanatymy, pyta Matrixus.
1645:  Tak, po pierwsze inne powieści Neila Stevensona, po drugie Ślepowidzenie Petera Wattsa.
1649:  Myślę, że to byłoby dobry pomysł.
1652:  Jakub, dzięki za wsparcie przez pół roku już.
1655:  Krzysztof, falę się przyszedłem Dark Souls 1, gratuluję serdecznie, to jeszcze przede mną.
1662:  W muzyce tonalność nie ma nic wspólnego z głośnością, pisze lektor.
1666:  Dobrze, I stand corrected, absolutnie.
1672:  Podpalony jak humorek.
1673:  Fantastycznie, Julio.
1674:  Mamy Q&A, rozmawiamy.
1675:  Jak można inaczej?
1676:  Czy myślałem kiedyś o pisaniu beletrystki?
1678:  Nie nadaje się do tego.
