🔴 Czemu w bezklasowym społeczeństwie robi się klasyfikację? | LIVE #22
🔗 https://www.youtube.com/watch?v=y8mS87EXGeg

1:  Cześć.
384:  163 oceny opisowe, chciałoby się cyfrowe, odpuściłam sobie liczenie punktów za zachowanie, nieprzygotowań, domyślam się, że o to chodzi w NP, BZ, nie mam pojęcia co to jest BZ, prawdopodobnie brak zadania i plusów, czasem lubię się pobawić w buchalterię,
401:  bo to daje zdrowszy obraz.
402:  W roku szkolnym 2022-2023 było 186 nauki szkolnej.
406:  Gdybym zsumowała nie tylko cyfry, byłoby z półtorej oceny na dzień.
410:  To teraz mam pytanie, jak czułby się dorosły oceniany w pracy co najmniej raz dziennie?
414:  Czy uznałby to już za mobbing, czy jeszcze nie?
416:  Czy to jest wystarczający argument, żeby zastanowić się, jaki sens mają te oceny?
419:  Co półtora dnia jest wystawiana jedna ocena, bo i drodzy, przypomnijmy, że to jest przez nauczycieli, którzy nie mają w ogóle, w ogóle czasu, na nic nie mają czasu, trzeba co...
431:  półtora dnia ocenę.
433:  Wy sobie nie zdajecie sprawy, jakie to jest trudne i skomplikowane.
438:  Mykama Greenberg pisze, bierzcie i amniszczcie z tego prawie wszyscy.
441:  Dziękuję ci jeszcze raz serdecznie za trybut.
443:  Dziękuję też Emilii Baczyńskiej za trybut i witam Kati Strucelka w gronie wspierających takoż.
448:  Nie wiem, czy mieliście do czynienia z librusami, ale wszystkich moi drodzy, którzy już są po roku szkolnym, witam serdecznie w Grodzie Ludzi Wolnych.
456:  Teraz możecie decydować o tym, co będzie przez najbliższe trzy miesiące prawdopodobnie, a jeżeli kończycie w ogóle przygodę zwaną szkołą, to faktycznie możecie się wliczać w poczet ludzi, którzy samostanowią o własnej przyszłości i wybierzcie dobrze takie moje przesłanie do was, to znaczy potraktujcie to jako ten moment, od którego słuchacie więcej siebie niż innych.
476:  a jeżeli słuchacie innych, to niech to będą ludzie wybrani przez was, a nie wam narzuceni.
480:  Taki mój komentarz, moi drodzy, do brzydliwych klasyfikacji, chociaż jeszcze to dodam, że jest niesamowicie satyryczne, że mamy taki rzeczownik jak klasyfikacja, a nikt jakoś nie wpada na to, że szkoła dzieli klasowo i że Mikołaj Marcela ma rację mówiąc o selekcjach.
495:  Fascynujące swoją drogą.
497:  A jeszcze, żeby Was bardziej wprawić w minorowy nastrój, dodam, że ostatnio miałem okazję czytać książkę Jespera Jula, to jest duński albo skandynawski, nie pamiętam z którego kraju, pedagog, który mówił, że generalnie rzecz biorąc w Norwegii, w Szwecji, w krajach skandynawskich to jest bardzo taki agresywny system edukacji i trzeba byłoby go zwiedzić.
519:  Więc jestem ciekaw, co by Jesper Jul powiedział o naszym systemie.
522:  Mandolando Andor, dzięki za wsparcie od trzech miesięcy.
524:  Przechodzimy, moi drodzy, do pytań.
526:  Rozgadałem się strasznie.
528:  Potwornie się rozgadałem.
530:  Total War Pharah o mnie interesuje, pyta Kadjufikation.
534:  Absolutnie nie zgadzam się tutaj z Legend of Total War, to znaczy w tym momencie taki flagowy projekt Creative Assembly, czyli studia odpowiedzialnego za Total War, to jest Warhammer 3 i trzeba dać im czas, to jest
546:  Cztery do pięciu lat wsparcia co najmniej dla długoletniego rozwoju tytułu.
550:  Natomiast Farao i inne tego typu tytuły są po to, żeby po prostu wyciągnąć od nas kasę, a to jest Reskin, albo Troi, albo Trzech Kirulestw, albo czegokolwiek innego.
559:  Johan też jest Mijam Nikołajką.
560:  Dziękuję serdecznie, Johan, za wsparcie kanału i podarowanie pięciu wsparć.
564:  Just Whitely pisze, że zdał egzaminy wstępne na Akademii Muzycznej w Poznaniu.
567:  Gratuluję, śledziliśmy twoje poczynania wcześniej.
569:  Na live'ach, moi drodzy, live'y wrócą teraz spokojnie.
572:  Już Krzysztof jest po zabiegach diagnostycznych.
574:  Spokojnie, nic strasznego na szczęście nie wykazały.
577:  Znaczy dla mnie to nie jest spokojnie, bo dalej nie wiem co mi jest, ale będę się diagnozował przynajmniej w kierunku mniej przerażających chorób.
584:  Myślę, że mikrofon nie zbiera tego echa, ale ważne, że tobie się lepiej krzyczy, pisze Friedax.
588:  Zbierało pogłos, wiecie, to znaczy jak mówiłem do studentów bez muzyki, to słychać było lekki pogłos i troszeczkę mnie to drażniło, co w tym miejscu oznacza bardzo.
597:  Jeszcze dziękuję raz kamie Greenberg za bycie jam, Nikołajko, o Boże, drogi, co za początek live'a, moi drodzy.
602:  Dziękuję serdecznie za wsparcie raz jeszcze.
604:  Anna pisze, że nie miała takiego wynalazku jak librus, ale wulkan.
608:  Brzmi ogniście.
611:  a raczej brzmi jak coś, co wybucha i jest wiele hałasu o nic.
615:  Kaledorn, dzięki za dołączenie do Grand Tributariuszy takosz, moi drodzy.
620:  Nie wiem czemu wspieranie spadło tak samo z siebie, pisze Lien Smoczyca, też nie wiem, nie znam się, moi drodzy, na takich rzeczach.
625:  Czy testowałem już AI głosowe od Eleven Labs?
628:  Myślałem, że wypróbuję go, pisze Drakon94 w jednym projekciku i jak na razie dla mnie wymiata.
634:  Testowane było, ale bardzo krótko, rozmawiałem też z ludźmi w gamedev'ie na ten temat, na Digital Dragons jeszcze, jak były
640:  w fazie prototypowania całe to narzędzie i dużo ludzi mówi, że jest duża szansa, nie tyle, że zostaną wyparci lektorzy, bo dalej wszyscy będą chcieli słuchać na przykład głosu, no nie wiem, Makłowicza albo Krystyny Czubówny, prawda?
652:  Ale równocześnie będzie można dać, no wiecie, generycznym NPC-om, którzy nie mieli żadnych linijek dialogowych, Genshin Impact, jakieś właśnie linie dialogowe i będą oni mogli, ja mniczo powiem, dać głos.
665:  I bardzo dobrze.
666:  Więc póki to będzie do tego wykorzystywane, puty dobrze.
669:  Ekranik pisze, że sesja w roku dyplomowym to koszmar.
672:  Jutro ostatni egzamin, bardzo się boję, że się nie uda i ominie mnie rekrutacja na magisterkę.
676:  Licencja to też nie mam do końca napisanego, to problem przyszły i mnie.
678:  Jest to kłopot rzeczywiście dla tych wszystkich z was, których czekają studia lub którzy studiujecie.
684:  Na trzecim roku studiów na wielu uczelniach nie ma luzów w drugim semestrze, kiedy pisze się pracę dyplomową pierwszą.
691:  No i skutek tego jest taki, że albo te prace dyplomowe są pisane po łebkach, albo egzaminy są trzy razy bardziej stresujące.
697:  Wszyscy tracą, krótko mówiąc, na tym rozwiązaniu.
699:  Osobiście uważam, że ostatni semestr powinien być wolny na to, żeby można było spokojnie dokończyć pracę i po prostu, żeby te studia były trzy i pół letnie.
707:  Tak jest w przypadku studiów inżynierskich i nikomu to nie przeszkadza, a inżynierom na pewno, więc myślę, że wydłużenie tego licencjatu o pół roku nikogo by nie zbawiło jakoś przesadnie i można byłoby wtedy się ze wszystkim ogarnąć.
718:  Na pewno błędem jest to, że łączy się sesje, czyli czas, kiedy są egzaminy, z pisaniem pracy dyplomowej.
724:  Daw Igniwus pyta, co myślę o koncepcie maga bitewnego, łączącego zbroję, broń białą i magię ofensywną, przyzwania, krwi, nekromancję czy mroczną magię.
732:  Mam wrażenie, że coś takiego...
734:  Aktualnie nawet czytam, to znaczy to nie jest może jakoś przesadnie w tym momencie rozbudowane od strony magicznej, ale mega wam polecam tę książkę, to jest seria Kelkadego, nie wiem jak to przełożyć ładnie, potem Powiernik Mieczy i tomy następne.
747:  To jest prawdziwo Skrytobójcy, natomiast mam wrażenie, że magia tam jest wykorzystywana w takim właśnie codziennym stylu i również ten rzecz Skrytobójca posługuje się zmysłem, przynajmniej siłą woli, więc myślę, że to jest
758:  a jak najbardziej do zrobienia.
760:  Natomiast mamy precedens o wiele lepszy niż akurat cykl Kel'Kadego, którego po prostu chciałem wam pokazać i wykorzystałem pierwszy nadarzający się do tego asumpt, a mianowicie w Warhammerze.
769:  40 tysięcy już się tak dzieje z psjoniką i wykorzystywaniem jej na polu bitwy, więc myślę, że jak najbardziej.
774:  U Maga Bitewnego też coś takiego pamiętam.
777:  Mag Bitewny to był bodajże Flannery, człowiek, który to napisał.
782:  Nie pamiętam.
783:  Czy myślisz, że adaptacja Adavatara na Netflixie będzie dobra?
786:  Pisze Winogrona Czerwona.
787:  Winogrona Czerwona, odpowiedź na twoje pytanie jest następująca, to znaczy są dwa zbiory.
792:  Przy okazji, dwóch zbiorów pokażę wam dwa nowe jamniki.
795:  To jest jeden jamnik mały, taki włóczkowy na Pyrkonie, zdobyty przeze mnie.
799:  I to jest drugi jamnik.
801:  Ten jamnik jest niesłychanie długi i też jest włóczkowy.
803:  Więc są dwa zbiory, z czego trzecim zbiorem jest Sony, który nie łapie autofocusu.
808:  Mianowicie, to jest zbiór pod tytułem Netflix i on śpi, ponieważ Netflix ma takie I sleep, kiedy dzieją się real shit w okolicy, to znaczy świetne franczyzy, które można byłoby zekranizować.
819:  Netflix się tym nie interesuje.
821:  A tutaj jest drugi zbiór, którym jest dobry serial.
823:  I te zbiory są rozłączne.
825:  One się nigdy nie spotykają, tak?
826:  Nie ma takiej sytuacji, żeby na przykład, o, w ten sposób jamnik podróżował na jamniku w Wiet... Nie.
831:  One są rozłączne.
832:  I tak będzie zawsze na Netflixie i to się nigdy nie skończy.
835:  Niestety.
837:  Jamnikolot, tak.
838:  Jest niesłychanie długi ten Jamnik.
840:  Strasznie mi się podoba to, że on przysypia.
842:  Autorka Jamnika powiedziała, że przysypia dlatego, że Jamnik powstawał na streamach z Jedi Survivor i fabuła była usypiająca.
851:  Kiedy film o narzędziach?
852:  Myślę, że te filmy narzędziowe, Szymonie, będą się pojawiały teraz w okresie wakacyjnym, bo naprawdę mam szczerą nadzieję, że nie będzie żadnego...
860:  syfu w edukacji znowu wyskakującego albo nowego w obszarze kultury, bo już trochę jestem zmęczony i myślę, że wszystkim nam należy się lekki oddech, więc bardzo możliwe, że tą lipcową czy sierpniową porą coś takiego powstanie, moi mili.
875:  Jakie masz porady do pisania książek, esejów w Wordzie?
877:  Właśnie sobie go zakupiłem i nie umiem ogarniać tych wszystkich funkcji.
880:  W Wordzie warto się zapoznać z stylami.
883:  Ludzie tego unikają, ponieważ myślą sobie, że jest styl normalny i elo.
887:  A tymczasem styl normalny to jest styl defaultowy, który można potraktować jako styl poglądowy, żeby można było sobie podpatrzeć, jak wygląda font.
895:  A całą resztę trzeba sobie skonstruować od zera, dokładnie tak samo jak to robicie w InDesignie.
899:  Czyli myślicie sobie o strukturze eseju czy dokumentu, czego będę potrzebować.
903:  Pewnie tytuł, pewnie font dla nagłówka, pewnie font dla pierwszego akapitu, dla drugiego akapitu, dla cytatu, dla przypisu.
909:  I po kolei sobie żmudnie te wszystkie style tworzycie i definiujecie, co jest ważne, który styl następuje po którym.
916:  W efekcie nie będziecie w ogóle musieli formatować, po prostu wciskacie Enter i automatycznie wam się przełącza styl.
921:  Mogę to od razu na szybko pokazać, bo myślę, że to nie jest rzecz, o której się często mówi, a szkoda.
925:  Mnie to na przykład bardzo pomaga.
928:  Mam już ustalone tego rodzaju gradacje stylistyczne.
930:  Tak, to jest ten moment, kiedy będziecie wrzeszczeć, Krzysztof, pali, pali biały, niechże, żeby paliło, war, to... Aaaah!
940:  No więc tutaj macie, swoją drogą jest inspektor stylów, też polecam, jeżeli nie wiecie, czym jest jakiś styl, to sobie możecie kliknąć tutaj lubkę.
947:  No więc powiedzmy, że sobie będziemy definiować jakikolwiek styl i weźmy, że to jest nagłówek, tak?
951:  To tutaj macie styl następnego akapitu i sobie ustawiacie za normalny i styl na podstawie, tu możecie nawet brak stylu albo normalny.
958:  I ja zawsze robię w ten sposób, że sobie ustawiam styl dla następnego akapitu i w ten sposób wszystko mi się dzieje automatycznie.
963:  Na przykład wiem, że za każdym razem, jak będę mieć nagłówek,
967:  to następny akapit będzie bez wcięcia, bo po nagłówku nie daje się wcięcia akapitowego, czyli tabulatora.
973:  Więc po co dawać tabulator i to jest kolejne naciśnięcie na klawisz?
976:  Wolę sobie zdefiniować raz na zawsze taki styl i mieć święty spokój.
979:  Więc bardzo polecam zapożyjaźnienie się ze stylami i są, myślę, legionowe dostępne w sieci samouczki dotyczące robienia tego rodzaju styli.
988:  Ostylowanie tekstu zanim on powstanie, krótko mówiąc, to jest win-win sytuacja.
993:  Ja zawsze wychodzę z założenia, ale ja dużo też
995:  piszę, więc wiecie, mnie to się opłaca.
996:  Jeżeli dla jednego eseju to nie do końca jestem w stanie was przekonać, ale jeżeli piszecie tego dużo, to po prostu będziecie mieć mniej roboty, nie będzie się trzeba przejmować tym na następny raz.
1006:  Mnie to bardzo pomogło w każdym razie.
1008:  Druga rzecz, którą bardzo sobie też lubię robić, to ustawić skrót klawiszowy dla stylu jakiegoś, którego używam.
1014:  Mnie ikonka Worda odstrasza, wystarczy to.
1016:  Rozumiem, że syndrom pisania pracy.
1018:  Tak, tak.
1019:  Biel to kolor najgorętszego ognia, pisze Guni.
1022:  Ma rację, absolutnie.
1023:  Karol Warmbier pisze, że będzie mieć pierwszą sesję po powrocie z urlopu zdrowotnego.
1027:  Dziękuję, że rok temu dodałeś mi odwagi, żeby zadbać o siebie.
1029:  Było warto.
1030:  Cieszę się, moi drodzy, ogromnie.
1031:  Ja, jak widzicie, nie jest tak, że mówię wam, żeby coś robić, a sam zabradziarzam.
1036:  Nie, ja też się wziąłem za swoje zdrowie fizyczne na razie i chodzę od lekarza do lekarza, od nasza do kajfasza i po kolei wszystkie badania odhaczam.
1046:  Zresztą w pewnym wieku już trzeba chodzić do lekarzy.
1052:  Dlaczego zacząłem nagle mówić głosem guślarza od księżnicki z Wiedźmina?
1055:  Czy nie mam zielonego pojęcia?
1057:  Astrid, dziękuję za radę odnośnie clean odpoczynków.
1059:  Wczoraj miałem dzień na siebie, chociaż na początku było ciężko zapomnieć o pracy, a po chwili eskapizmu w końcu zacząłem odpoczywać.
1064:  Clean, o którym mówi Astrid, to jest, moi drodzy, taki typ pracy, trzy godziny intensywnej pracy i na przykład pół godziny, w zależności od tego, ile potrzebujecie odpoczynku.
1071:  To może być animka na przykład, akurat jeden odcinek to jest zwykle 20 minut.
1076:  potem, nie wiem, wyjść na balkon albo na chwilę, 10 minut nawet przejść się, wrócić i znowu 3 godziny.
1082:  I w ten sposób o wiele lepiej się pracuje, efektywniej też mózg się dotleni, jeżeli wyjdziecie na moment, a jeżeli sobie po prostu odpoczniecie na sofie czy coś, to nie będziecie mieć takiego syndromu, że cały czas siedzicie nad książkami.
1094:  Czy wolałem Worda, Google Docs czy inny program tego typu?
1096:  Google Docs jest problematyczny, ponieważ nie jest dopasowany do polskiego stylu typograficznego, w związku z powyższym tam na przykład macie te błędne cudzysłowy, tak, to znaczy takie górne cudzysłowy, które są, no jak sama nawzajem wskazuję, u góry, to są cudzysłowy programistyczne, które macie w kodzie.
1110:  Jeżeli piszecie kod, to to są cudzysłowy górne i one są proste, natomiast w Polsce jest reguła taka, że na dole jest cudzysłów i na górze jest cudzysłów.
1117:  Więc to są takie bzdury niby, ale jeżeli pracujecie z tekstem, z edytorami tekstu i tak dalej, jesteście redaktorami, korektorami i tak dalej, i tak dalej, no to wtedy na takie rzeczy się zwraca uwagę.
1126:  Plus jest właśnie też taki, że tam się zupełnie inaczej pracuje na stylach, więc jak już człowiek opanuje jeden program, to może lecieć dalej.
1132:  Dla mnie to był
1133:  z bardzo prozaicznego powodu, nie dlatego, że Microsoft jest dobry, bo nie jest, tylko dlatego, że to jest standard wydawniczy, więc po prostu wszyscy korzystają z Worda i wszyscy oczekują, że będzie się wysyłać dokumenty do CIX.
1145:  Natomiast oprócz tego znam ludzi, którzy na przykład piszą w Scrivenerze, to głównie ludzie, którzy mają Apple,
1151:  Albo w Pages też jest taki Apple'owski edytor, więc w zależności od tego, co jest potrzebne, to to się wybiera.
1158:  Ja jestem zwolennikiem zawsze tezy, że nie jest ważny program.
1162:  Ważne jest wyłącznie to, co umiecie w tym programie zrobić.
1165:  Ja na przykład regularnie, jak mam jakieś prezentacje, gdziekolwiek, proszone czy płatne w ramach jakichkolwiek zaproszeń do różnych instytucji, ostatnio było w Centrum Nauki Kopernik, to ludzie podchodzą i pytają, Krzysztof, Krzysztof,
1177:  A w jakim programie ty robiłeś tę prezentację?
1180:  PowerPoint?
1181:  Tylko, że ludzie kojarzą PowerPointa, wiecie, z tekstem na tle i oczywiście ten tekst jest komiksansem, a tło jest różowo-majtkowe.
1189:  A nawiasem mówiąc, to nie jest różo-majtkowe, tylko to jest magenta, więc wyobraźcie sobie to odcień, odcień, odcień, odcień jaśniejsze.
1196:  I to po prostu sprawia, że ludzie stereotypowo myślą, nie?
1200:  Tak samo jak pamiętamy kiepsko sformatowane dokumenty w Wordzie, też na takiej zasadzie myślimy i sobie myślą, o, to ja będę używał Lapecha, to będzie mój sformatowany dokument pięknie.
1209:  A na to się uśmiechnie z kolei każdy, kto pracuje w DTP, czyli w Desktop Publishing i zajmuje się składem tekstu, ponieważ dobrze wie, że do składu tekstu służy jeden program i nie jest to LaTeX, tylko InDesign.
1219:  Lub pochodny.
1220:  Przy okazji witam, witam w gronie trybutariuszy i dziękuję za wsparcie serdeczne.
1225:  Uff, Magenta, czyli będzie drukowanie ho-ho, prawda?
1228:  Czy słyszałeś o odwołaniu zakończenia roku szkolnego w tej szkole, co robiłeś shorta, bo się dyrektorka przestraszyła protestów?
1233:  Tak, tak, nawet tam dałem przypięty komentarz i dla tych z was, którzy nie wiedzą o co chodzi, była sytuacja, którą starałem się też jakoś nagłośnić, chociaż z pewnym opóźnieniem, bo byłem wyłączony trochę przez pewien moment z życia.
1247:  I chodziło o to, że jeden gość został niestety zwolniony po prostu, nawet nie zawieszony w żaden sposób z stanowiska nauczyciela bodajże fotografiki czy zdjęć w jednym z techników z Sosnowcu.
1262:  To było bodajże technikum numer 7.
1264:  To jest ten short dla tych z was, którzy nie widzieli.
1267:  I jeszcze w tle tego była zabawna sytuacja, znaczy ona nie jest zabawna, to znaczy nauczyciel pozwalał uczniom pisać na ścianach to, co im się żywnie podobało i jedni napisali, że nauczyciel jest zajebisty.
1284:  Brzydkie słowo w placówce dystrybucji prestiżu i pogardy.
1290:  Jak można?
1293:  Oczywiście zdajemy sobie doskonałe sprawę i to była wymowa shortu, dzięki temu nie musicie już go oglądać, że jeżeli na przykład jest mobbing albo molestowanie seksualne, to wtedy to szuruburu z mioteczką, tak, zamiatamy pod dywan, ale jeżeli się pojawia brzydkie słowo, to od razu jest to asumptem do restrykcji.
1310:  Wiecie, wiele razy ja słyszałem na tym kanale nawet pytania, ale Krzysztof, ty,
1314:  Ty się tak nie boisz, jeżeli powiesz, kurwa, to ojej, to przecież tak nie wolno i nie przystoi.
1320:  To jest straszne i o tym kiedyś będzie film w serii dla każdego coś przykrego, mianowicie o tym, że należy używać wszystkich słów stosownie do okoliczności.
1329:  Ach, dramat.
1331:  Gdyby napisali z gwiazdką, to by było dobrze.
1334:  To są właśnie takie absurdalne pytania, do których dochodzimy.
1336:  No i wiecie, później dyrektorka zobaczyła, że jest backlash w stosunku do całej tej sytuacji, trudno się dziwić, i odwołała zakończenie roku szkolnego, a wiecie, jak ktoś odwołuje akademię z salutowaniem do sztandaru szkolnego, z pocztem sztandarowym i z dyrektorem, który może powiedzieć wszystkim, że ma ich w dupie, czy nie, że bardzo dobrze pracowali, że wszyscy dostali paseczki, poczet sztandarowy i paseczkowi wystąp, a reszta zstąp, no to znaczy, że naprawdę coś się dzieje, mówiąc na tankiem.
1366:  Nie rozumiem ludzi, pisze jednoręki bandyta i tu powinna być kropka.
1370:  Ja bym się wtedy z tym zgodził, tak?
1372:  Twierdzących, że szkoła, studia to najlepszy czas w życiu.
1375:  Mam właśnie wakacje po wykończającym semestrze, jakimś cudem nagle robię rzeczy, które odwlekałem miesiącami.
1381:  Też nigdy się nie zgadzałem, że to jest najlepszy czas w życiu.
1383:  Wszystkie moje przyjaźnie, najserdeczniejsze i najbliższe zawierałem poza studiami.
1388:  Wszystkie znajomości, które są dla mnie cenne, zawarłem poza studiami.
1392:  Bardzo często poza miejscem własnego zamieszkania.
1395:  wszystkie kontakty naukowe, jakie mam, mam poza Krakowem, z których najwięcej korzystam, więc pamiętajcie, żeby podchodzić z rezerwą do takich test, okej?
1405:  Bo to one tylko wywierają na nas presję.
1408:  Ojej, to jest ostatni czas w życiu, kiedy można wypocząć i zawiązać przyjaźnie, a ja najgorzej już, jak ktoś jeszcze myśli, że pójdzie na studia w
1417:  nazwijmy to matrymonialnych, albo żeby znaleźć życiowych partnerów, ponieważ to też jest bardzo często pułapka z tego względu, że ludzie powinni się dobierać nie tylko pod kątem zainteresowań.
1428:  Taka moja dyskretna, dyskretna rada.
1431:  Ale pamiętajcie, że pod tymi kątami należy słuchać przede wszystkim siebie.
1436:  Przy okazji dziękuję Szymonowi Wróblewskiemu za trybut, dzięki za spotkanie Krzysztofowi i wszystkim obecnym na Pyrkonie i za wspólne odśpiewanie podstawy programowej.
1442:  Tak było.
1443:  Ludzie poprosili, żebyśmy zaśpiewali.
1445:  Moi drodzy...
1446:  Podstawa programowa.
1450:  Nie wiem, jak to wyszło na tej muzyce, ponieważ zwykle ją wygaszam, a teraz zapomniałem to zrobić.
1455:  I zrobiliśmy z tego jakiś mały Reels, slash TikTok.
1458:  Było zabawnie i było fajnie.
1459:  W ogóle Pyrkon, propsy dla organizatorów.
1462:  Bawiłem się świetnie, a jestem introwertykiem, moi drodzy, więc dajcie spokój.
1468:  Mam nadzieję, że po Pyrkonie jesteś zadowolony i wypoczęty.
1470:  Właśnie pytam Marcin, jak były jakieś pytania o Pyrkon, to chętnie odpowiem.
1472:  Poznałem twój Pyrkonowy opiekun.
1473:  Marcin Mazurek pisze to.
1475:  Moi drodzy, to był cudowny człowiek, który sprawił, że Krzysztof nie zgubił się na Pyrkonie.
1481:  Marcin miał przed sobą nieprawdopodobnie ważne zadanie, nieprawdopodobnie poważne zarazem i doniosłe, to znaczy doprowadzić do tego, że ja się nie zgubię.
1489:  Wszyscy ci, którzy śledzicie moje poczynania w różnych grach na live'ach, dobrze wiecie, jak bardzo jestem trudnym przypadkiem pod tym kątem.
1497:  Ja jestem w stanie się zgubić w prostym korytarzu ze strzałką, która wskazuje kierunek prosto i podpisem prosto.
1505:  Tak prosto.
1506:  Czy wspomnieliśmy, że należy iść prosto?
1509:  Więc Marcin łaził ze mną przez cały dzień praktycznie.
1512:  Pomagał zwiedzić absolutnie każdy nook and cranny, jak mawiają anglosasi Pyrkonu.
1518:  Każdy zakątek innymi słowy.
1520:  Doprowadził mnie na wszystkie prelekcje, a że na jednej prelekcji było jakieś kilkaset ludzi i niestety sporo ludzi nie weszło, za co strasznie przepraszam, ale to nie moja wina.
1529:  Gdybym dał radę, to by to się jakoś inaczej dało zorganizować.
1533:  No to prawdopodobnie ja bym się na tej projekcji nawet nie stawił, gdyby nie Marcin.
1536:  Czy grałem w gry paragrafowe?
1538:  Nie, nigdy nie grałem.
1540:  Czy jest jakiś dobry kanał na YouTubie o higienie cyfrowej?
1542:  Nie kojarzę, ale jeżeli chodzi o higienę cyfrową, tak w najogólniejszym sensie, to bardzo polecam Niebezpiecznik.
1547:  Nie wiem, czy oni też są na... Oni są na YouTubie, poczekajcie, zaraz sprawdzimy.
1551:  Wydaje mi się, że są.
1552:  Niebezpiecznik.
1554:  Tak, tak są, boże, 81 tysięcy subów, a Krzysztof, czy oni są na YouTubie?
1559:  Oczywiście, moi drodzy, to jest kanał, z którego ja się dowiedziałem absolutnie wszystkiego, co należy wiedzieć na temat higieny cyfrowej, na temat kluczu Ubico, managerów haseł, na temat tego, że NordVPN nie służy do wykrywania wirusów, jak mawiają YouTuberzy.
1574:  A równocześnie, biorąc pod uwagę to, ile płaci do VPN, to się nie dziwię, że tyle bawiają i tyle razy o nim wspominają.
1581:  Dla zainteresowanych jest to parę tysięcy, ale w górę.
