🔴 Studzimy nasz zapał, dmuchając na zimne | LIVE #14
🔗 https://www.youtube.com/watch?v=WL6pr7S-N1I

90:  Dziękujemy.
355:  Wyszukuje coś człowiek, po czym nie dostaje tego, ponieważ powody.
359:  doprowadza mnie do doszału.
360:  Muszę wybrać rzeczy, które są z ostatnich, nie wiem, z ostatniego tygodnia.
364:  Może to.
366:  O, mam.
367:  Dobrze, dobrze, dobrze, dobrze.
370:  Zatem tamta grafika była ostrzeżeniem, którego należało posłuchać, moi mili.
373:  Widzę, że czaty reagują w jedyny stosowny sposób na hasło ***.
379:  Więc to zaoranie edukacji domowej, memicznej, nagłówkowej polega na tym, że jeśli mnie pamięć nie myli,
387:  będzie chodziło o to, ażeby tylko w bardzo krótkim wycinku czasu, chodzi mniej więcej o pierwsze tygodnie nauczania, można było w ogóle zgłosić się do edukacji domowej, więc to mnie troszeczkę martwi i tak jak mówię, nie mam jeszcze sprawy zresearchowanej wystarczająco, więc możecie się spodziewać jakiejś mojej interwencji w tej sprawie.
409:  Tak przynajmniej będzie.
412:  Smutne rzeczy, od smutnych rzeczy się zaczynało, ale moi drodzy nie martwcie się, dzisiaj też będziemy mieli parę tematów, które są niezwiązane z sektorem edukacyjnym, a za to są podnoszące na duchu i to są tematy gamedevowe, tak, pojawią się one.
427:  Pocieszę Was tylko tym, że jeżeli chodzi o edukację domową, to jest to projekt na razie i poprzedni projekt, który się nazywał dziwacznie Lex Czarnek, mimo że uważam, że powinno być Lex Nigrus we właściwej odmianie łacińskiej, no więc pierwszy Lex Nigrus nie przeszedł.
444:  Więc zobaczymy, jak będzie z drugim.
445:  Prawdopodobnie również nie przejdzie, przynajmniej taka jest moja nadzieja ogromna.
449:  Czy znam kanał?
450:  Pyta Xavier, audiolog mówiący o problemach szkolnych.
453:  Wydaje mi się.
454:  Czy w sezonie jesiennym widzę jakieś ciekawe anime do obejrzenia?
457:  Widzę, że to jest pytanie w pytaniu, tak?
459:  Plany w planach, jak u Skavenów.
461:  I czy warto zacząć fantastykę od młodzieżówek?
463:  Tak, warto, przy czym zaczynałbym raczej od, ja wiem, no takiego rytmatysty, czy nie wiem, stalowego serca, podobnych rzeczy, jeżeli chodzi o fantastykę.
472:  Na pewno warto.
473:  Zależy, czego szukać.
474:  Jeżeli jest Ci bliżej science fiction, to polecam Young Adult Dystopias i podobne, typu Mace Runner Jamesa Daschnera.
482:  A jeżeli chodzi o anime, to ja raczej nadrabiam i oglądam to, co jest bardzo na bieżąco.
487:  Nie wyczekuję niczego.
488:  Za dużo się dzieje, moi mili, żebym wyszukiwał i wyczekiwał w każdym z mediów praktycznie rzeczy, które by mnie jakoś interesowały.
496:  Bardzo dosłownie człowiek wspiera od 13 miesięcy, za co dziękuję.
498:  Z nekromanty stałem się złomiarzem.
500:  Świetnie.
501:  Magia metalu, bardzo złośliwy człowieku, to nie jest coś, z czego powinno się dworować.
505:  Przypominam, że Baltazar Gelt jest najwybitniejszym magiem, jakiego zrodziło kolegium magiczne w Altdorfie.
512:  Altdorf dla tych z was, którzy nie wiedzą, jest dokładnie w tym miejscu, gdzie pokazuję.
516:  Tu!
517:  Dobra, tu jest Marienburg.
519:  Tu jest Altdorf.
521:  Jest to prowincja imperialna w Urhamerze Fantazy mianowicie.
525:  Problem jest taki, że w edukacji domowej ciężej indoktrynować uczniów.
528:  Generalnie rzecz biorąc, edukacja państwowa jest wykorzystywana jako taki kanał do indoktrynacji i niewątpliwie im większej jest kontroli w tym obszarze, tym łatwiej o nią.
539:  Agnieszka pisze, że jej dziecko na szczęście w Szkole w Chmurze już jest.
543:  Tak, Szkoła w Chmurze to jest genialna inicjatywa.
545:  Nie wiem, czy ja Wam kiedyś ją pokazywałem, ale skoro już o tym rozmawiamy, to czemu nie?
552:  Tutaj możecie znaleźć na ten temat, który nas interesuje w tym momencie, zauważyłem żywo.
559:  Większość informacji, macie tutaj informacje dotyczące tego, czym jest edukacja domowa na poziomie szkoły podstawowej, na poziomie liceum.
566:  Można też to podrzucić rodzicom, jeżeli ktoś chce, żeby rozwiać różnego rodzaju stereotypy, które się pojawiają, są kontakty, materiały na temat tego, jak to wszystko wygląda, więc bardzo polecam zainteresowanie się tą stronką, jak również platformą, która tutaj się pojawiła.
581:  To jest Szkoła w Chmurze, jak wbijecie w Google, to powinno to się pokazać jako pierwszy wynik wyszukiwania.
586:  Dziękuję serdecznie za trybut od Daniela.
589:  Daniel pisze, że nie wie, co tu się pisze, jest boomerem i chciałby pozdrowić.
593:  Danielu jako millennials serdecznie cię również pozdrawiam i bardzo dziękuję za przechodzine wsparcie.
599:  Zwróciłbym tylko delikatnie uwagę, że boomer to nie jest kwestia metrykalna, tylko to jest raczej stan umysłu.
605:  Więc coś mi mówi, że jeżeli podobały ci się tutaj nasze rozmowy i treści, które się na tym kanale pojawiają, nie kwalifikujesz się.
614:  O, Marcin Osmolak, przepraszam, Ragaluk, wspierający od 4 miesięcy, za co dziękuję, pozdrawia właśnie ze Szkoły w Chmurze.
621:  Jak to miło.
622:  I całkowicie szczerze Wam powiem, że gdyby edukacja domowa była możliwa, to już rozmawiałem z rodzicami na ten temat i na pewno byli by mnie wtedy wysłali do niej, no ale niestety w tak zwanych moich czasach było to niemożliwe, jak wiele innych rzeczy.
635:  Mika donosi, że dla wszystkich chętnych w czwartek będzie dostępny Warhammer 40k Mechanicus za darmo na Epic Games Store.
642:  Jeżeli nie wiecie czym jest Warhammer 40k Mechanicus, to to są jedne z pierwszych streamów, które były na tym kanale gamingowych, więc polecam.
651:  Jeżeli chcecie zobaczyć jak wygląda ta gra, polecam również recenzję na kanale Mandalore Gaming, który osobiście uważam, że jeden z lepszych jeżeli chodzi o jakość recenzji.
660:  Dlaczego jest tak, że zawsze jeżeli mówię o jakościowych recenzjach gier, to są to kanały zagraniczne?
666:  Alisiowa pisze, że jej bracia trafili do szkoły w chmurze.
669:  Ile bym dała, żeby takie coś było w momencie, jak ja chodziłam do szkoły?
672:  Same here, plus jeden.
674:  Czy w settingu fantasy Magneto byłby uznany po prostu za maga metalu?
677:  Tak, myślę, że tak.
678:  To jest bardzo trafna uwaga.
681:  Magia metalu też moim zdaniem funkcjonuje u Briana McClellana, o którym bez przerwy wam opowiadam, to znaczy w trylogii magów prochowych.
688:  Arkadiusz Hajduk, dziękuję za dołączenie do grona trybutariuszy i za wsparcie.
693:  Sala North życzy mnóstwo zdrówka.
696:  Przekazuję Twoje życzenia także dalej.
697:  Będę katalizatorem życzeń zdrowotnych.
700:  Kinga pisze, że nauczanie domowe wykorzystuje do indoktrynacji nauczycieli, na przykład debatując, że komunistyczne Chiny nie są komunistyczne.
706:  Niestety w normalnej szkole bym nie zbesztali, ale komunistyczne Chiny...
709:  Faktycznie nie są komunistyczne, to jest najzabawniejsze w tym wszystkim.
712:  Komunistyczne Chiny to jest taki typowy późny kapitalizm z elementami charakterystycznymi, oczywiście także dla centralnego zarządzania, ale wiele razy już się przekonali, że one nie zawsze działają, w związku z powyższym też od nich odchodzą.
725:  Descartes pisze, że odcineczki The Peripheral wyszły idealnie
729:  książka przyjdzie po weekendzie, w międzyczasie zbiorek opowiadań wypalić Chrome.
732:  Moi drodzy, ja wiem, że jesteśmy bardzo zagniewani na to, co zrobił Amazon Prime i przy okazji dziękuję Matuszowi Pocheciowi za dołączenie do grona wspierających, ale to, że Amazon Prime wydał nam obrzydlistwo zwane także Rings of Power, jak również wiele innych mniej udanych produkcji, nie oznacza, że należy potępić w czambu całą platformę i w tym momencie mogę przedstawić Wam
756:  Badassową fokę potwierdzenia, to znaczy badass seal of approval, z mojej strony, jeżeli chodzi o peryferal.
763:  Serial to według powieści pod tym samym tytułem Williama Gibsona, której szukam na półce, której nie widzę, co oznacza, że ktoś ją skradł.
777:  Niedobrze.
778:  W każdym razie według powieści Williama Gibsona świetnie zagrana.
782:  To już właśnie jest ta pierwsza różnica między tymi serialami.
786:  Rolę główną przejęła Chloe Grace Moretz, którą możecie kojarzyć z adaptacji Stephena Kinga, któregoś z horrorów.
794:  Usiłuję sobie w panice przypomnieć, którego.
797:  A oprócz tego jeszcze gra jeden aktor, którego mygliście kojarzę z jakiegoś innego serialu, w każdym razie bardzo dobrze.
805:  Światotwórczo fantastycznie.
807:  Jeżeli chodzi o prowadzenie akcji, dynamika już jest na poziomie pierwszego sezonu.
812:  Kusiło mnie nawet, żeby zrobić recenzję, ale nie zrobię recenzji po dwóch odcinkach, zrobię mid-season review dla was na vlogu.
819:  Dziękuję za trybut to creative.
821:  Czy spopieliłbym...
823:  za stworzenie karty Dr. Rant w autorskiej karciance memeski.
829:  To ponies disco by the way do zrecenzowania oczywiście.
834:  Nie mam żadnego problemu z tym.
836:  Mój wizerunk jest publiczny.
838:  Wizerunk to staropolskie określenie na wizerunek.
840:  Zabawna sprawa.
842:  I to też mnie bawi w kontekście tego, że bardzo często, to już anegdota, z którą się muszę z wami w tym kontekście podzielić, mianowicie
849:  Bardzo często i akademicy, i nauczyciele mają problem z czymś, co można nazwać memem.
855:  Najmniejsza jednostka semiotyczna w komunikacji międzykulturowej.
859:  Kiedyś dowiedziałem się, że taka jest definicja memu, bardzo mnie to rozbawiło.
863:  W każdym razie, kiedyś na Wydziale Polonistyki Uniwersytetu Jagiellońskiego, tradycyjny Wysp Pozdrowienia, była Rada Wydziału w połowie poświęcona temu, że jest skandaliczna strona
876:  Skandaliczna strona.
879:  Błoński płakał, że nie dożył.
881:  Dla niezorientowanych, Jan Błoński kiedyś był na Wydziale Polonistyki Uniwersytetu Jagiellońskiego i był tam profesorem.
888:  Napisał parę książek krytyczno-literackich i przedstawiano tam, no nie zgadniecie moi drodzy, nie zgadniecie,
896:  Żartobliwe obrazki przedstawiające profesorów Wszechnicy Jagiellońskiej, przepraszam, Wszetecznicy Jagiellońskiej, przepraszam, Wszechnicy Jagiellońskiej, z podpisami.
919:  Ja wiem, że to jest poważny temat, że tutaj powinien być trigger warning w tym segmencie, żebyśmy zdali sobie sprawę z tego, że to dla niektórych może być zbyt ciężkie do przetrawienia, ale profesorowie debatowali podczas raty wydziału, czy należy
937:  Coś zrobić ze stroną Błoński płakał, że nie dążył.
941:  Memelonian University, podejrzewam, pełcio nie dotarło do szlachetnego grona strupieszałych mandarynów debatujących nad tą rzecz kwestią, bo gdyby tak było, to prawdopodobnie zastawki by nie wytrzymały.
957:  Nie, nie żartuję Adamie, niestety.
958:  Druga rada wydziału była kiedyś poświęcona temu, że poloniści nie mogą używać słowa interfejs, ponieważ jest obce.
964:  Dlatego też być może zrozumiecie, dlaczego nerwowo reaguję, jak ktoś w komentarzach powie, nie używaj słów po angielsku w porządku.
972:  Polscy jesteśmy.
973:  I ktoś taki na przykład nie odebrał, tak jak ja, lekcji z zakresu historii języka i starocerkiewną słowiańskiego i praindoeuropejskiego i nie wie o tym, że w polszczyźnie jest może, nie wiem, kilkanaście słów, które są rdzennie polskie, typu las, pole, nawet krowa nie jest rdzennie polska, co jest zabawne.
990:  A cała reszta nie bardzo, to znaczy została przywieziona z innych rejestrów językowych, dlatego mamy wpływy germańskie, angielskie, frankońskie, francuskie, iberyjskie i cholera wie jeszcze jakie.
1004:  Ale oczywiście tak, rdzennie polskich słów należy używać.
1007:  No to ja proponuję, żebyśmy mówili mniej więcej do siebie w taki sam sposób jak w filmie.
1011:  To znaczy sylabizowali półtonami, ewentualnie mówili, że zaraz będzie ciemno.
1019:  Dziękuję, Maszko, za dołączenie do grona tributariuszy.
1021:  Jak to jest, że zaczynamy mówić o języku?
1023:  Swoją drogą, jeżeli już mówimy o języku, to polecam wam Mega, to jest przepiękna rzecz.
1031:  Przepiękna rzecz, przysięgam.
1033:  I powinno to być, powinno to być jeszcze na, tak jest, powinno to być na YouTubie.
1038:  To jest strasznie stary film.
1040:  Będziecie oburzeni, dlaczego ja pokazuję wam takie stare filmy, ale bez obaw nie jest przynajmniej czarno-biały.
1046:  Stephen Fry i Hugh Laurie The Subject of Language.
1050:  To jest przepiękny, to jest przepiękny sketch, który należy obejrzeć w całości.
1056:  Jest wspaniały i jest cudowny, więc bardzo polecam.
1061:  Bardzo się cieszę, że wszyscy na czatach napisali zamknij się, bo to jest jedyna odpowiedź na zaraz będzie ciemno.
1068:  Bardzo dobrze.
1071:  to my jeszcze nie odeszliśmy od jesteś w Polsce, mów po polsku, pisze Kinga, nie odeszliśmy.
1075:  I wiecie, tak długo jak długo jest, to jeszcze strupieszały mandaryn na trzęsącym się ze starości wydziale uczelni niesłusznie uznawanej za najlepszą, bo taka nie jest, to ja jeszcze mogę na to popatrywać z ironicznym uśmiechem.
1087:  Natomiast w momencie, w którym mówi to na przykład ktoś, kto się za bardzo nasłuchał boomera Bralczyka, Bralczyk jest boomerem nie tylko metrykalnym, ale właśnie niestety światopoglądowym,
1099:  Oj, oj, oj, no to wtedy zaczyna być troszeczkę gorzej, jak zaczyna być takim rycerzem walczącym w imię świętej gramatyki.
1106:  Bawi mnie to troszeczkę, bo to jest mniej więcej tak, ja bym stwierdził, że od dzisiaj Krzysztof broni makroekonomii.
1113:  Dziś będziemy rozmawiać tylko o makroekonomii.
1116:  Nie będzie mikroekonomii, żadnych dyskusji nad mikroekonomią, będzie makroekonomia.
1120:  Co z tego, że z ledwością rozróżniam mikro od makroekonomię, co z tego, że nie kończyłem Uniwersytetu Ekonomicznego, co z tego, że nie mam wiedzy z zakresu ekonomii i że jeżeli się wypowiadam na przykład na temat Universal Basic Income, to na zasadzie idei futurystycznej i fajnej fantazji, o której sobie mogę podumać i która mi się podoba, natomiast kompletnie nie mam zielonego pojęcia, jak należałoby to wdrożyć i nie zamierzam nikomu tego doradzać, tak?
1144:  Ale nie, no gdybym postępował tak jak ci mocarni puryści językowi, którzy nie mają studiów polonistycznych, ani literaturoznawczych, ani językoznawczych, to wówczas mówiłbym wam wyłącznie o makroekonomii na tym kanale.
1157:  Tak by było.
1161:  Dziękuję za ostrzeżenie, YouTube cały czas wypluwa Bralczyka w polecenia, bo Bralczyk ma dobry PR, to znaczy wydaje kupę szalu na promocję różnych swoich warsztatów i tak dalej, natomiast jak się przysłuchacie temu, chociażby co mówi na temat zaimków i osób niebinarnych, to no to tak, no to wyłazi z niego, znaczy powiem tak, że słoma z butów nie tylko wychodzi, ale jeszcze łechce go po podudziu, a czasem nawet sięga dalej.
1188:  Jakim polskim słowem zastąpić interfejs?
1191:  Interfejs to jest polskie słowo, właśnie tak zapisałeś, Hubert.
1195:  Więc tak, polskie słowo jest wtedy, kiedy jesteśmy w stanie zapisać je po polsku, z korzystaniem polskiego alfabetu i polskich dźwięków, jak również jesteśmy w stanie je w polszczyźnie i z polską intonacją przeczytać.
1208:  Wtedy słowo jest polskie.
1210:  Pomocne też jest sprawdzenie, czy w słowniku języka polskiego znajduje się słowo.
1214:  Wtedy istnieje niezerowe prawdopodobieństwo, że będzie to słowo polskie.
1217:  Fun fact, kiedyś była dyskusja, Krzysztof i jego dygresja, chociaż i tak Rysławowi nie dorównam,
1222:  To jest moment, kiedy należy polecić kanał Rysława, czyli Ryszarda Chojnowskiego na YouTubie.
1227:  Mianowicie, były długie debaty leksykografów, czyli ludzi tworzących słowniki, nad tym, czy włączyć takie plugawe, odrażające, fantastyczne, fanowskie, bełkotliwe słowo, jak
1243:  Hobbit w Encyclopedia Britannica?
1248:  Hobbit w Oxford English Dictionary.
1252:  Toż to się nie godzi, przecież to nie istnieje!
1258:  Ale argument, nie?
1260:  Świetny argument.
1262:  Świetny argument, bo na przykład, no nie wiem, aniołowie mają definicję w Oxford English Dictionary,
1271:  Więc jakbyście, Jerze, teologowie poszukiwali definicji ontologicznej Boga, aniołów i prawideł, dogmatów teologicznych, przez tysiące lat szukali.
1281:  A tu trzeba było zajrzeć do Oxford English Dictionary i by się dowiedzieli wtedy, że istnieją, bo są w słowniku.
1288:  O Boże, ale w końcu zdecydowano słusznie skądinąd, że tak, istnieje słowo Hobbit,
1294:  w naszej przestrzeni kulturowej, która nas wszystkich łączy, tak, czyli istnieje, nie ontologicznie, nie że o, to istnieje, bo to mogę sobie zmacać jak ten mikrofon, nie zachęcam do macania hobbitów.
1307:  To jest bardzo ważna informacja w świetle serialu na Amazon Prime, Rings of Power.
1312:  Nie zachęcam do macania hobbitów.
1315:  I do not condone any acts of molesting a hobbit.
1320:  Niech to zostanie zapisane i niech się poniesie.
1324:  No, więc to jest ontologia, tak?
1326:  Natomiast jeżeli coś sobie istnieje w przestrzeni, to jest epistemologia, bo poznawczo, tak?
1330:  Funkcjonuje sobie gdzieś tam ten hobbit, migruje z jednego miejsca do drugiego.
1334:  O!
1336:  Będę mieć własnego jamnika, pisze Kuroka, wspierając od 14 miesięcy, za co dziękuję.
1340:  To nazwę go Kepsik.
1342:  A dlaczego nie Ksibek?
1345:  Dziękuję Ci jeszcze raz za wsparcie od tak długiego czasu.
1348:  Co myślę na temat tematu Kerfusia?
1349:  Dobrze, że jestem mniej więcej na bieżąco na Twitterze z takimi rzeczami.
1352:  Czy będzie kiedyś odcinek dla każdego coś przykreującego seksualizację absolutnie wszystkiego, co jej nie istnieje?
1357:  Myślę, że jestem ostatnią osobą, która powinna się wypowiadać na temat seksualizacji wszystkiego, co istnieje.
1361:  Jeżeli nie wiecie dlaczego, to odpalcie sobie dowolny stream z Warhammera Fantasy z szczególnym uwzględnieniem tych poświęconych Slaneshowi.
1368:  oraz tych momentów, w których czytamy takie hity literatury, jak na przykład niebezpieczeństwa onanizmu, względnie afrodyzjak zewnętrzny.
1376:  Natomiast jeżeli chodzi o samego robota, to było to do przewidzenia, a jeżeli chcecie zobaczyć, dlaczego to było do przewidzenia, to polecam przeczytać sobie Limes Inferior Janusza Zajdla.
1391:  Tej książki mi jeszcze nie skradziono, a to dlatego, że jakiś czas temu przestałem pożyczać książki.
1398:  To jest najlepszy sposób, żeby nie były one kradzione.
1400:  No, więc Limes Inferior opisuje właśnie dokładnie taką sytuację, że są dwa roboty, które kopulują na wystawie sklepowej, bohater główny się zastanawia, na czym polega problem z ludzkością, że za każdym razem usiłujemy nasze prymitywne, organiczne, biologiczne formy prokreacji i czerpania również z tejże przyjemności przeszczepiać na inne istoty, które tego nie potrzebują.
1420:  Na czym polega ten fenomen, tak?
1423:  No to jest fenomen, który możemy sobie nazwać antropocentryzmem, tak?
1427:  To znaczy, że człowiek jest w centrum i wszystko, co ludzkie, jest nam nieobojętna, ściśle mówiąc, się tym bardzo interesujemy i usiłujemy to projektować nawet na maszyny.
1436:  Więc nie dziwi mnie to, co się działo z biednym robotem kerfurowym.
1439:  Aczkolwiek jeszcze dopowiem, że jeżeli ktoś jest tym tematem zainteresowany, no to mogę tylko odesłać do Detroit Become Human, które ogrywaliśmy sobie ostatnio na streamach i które wstrząsnęło mnie w sposób absolutnie niesamowity do tego stopnia, że nie jestem w stanie humorystycznie do tej sytuacji z nieszczęsnym kerfusiem podchodzić.
1459:  Reason N20 dołączył do grona trybutariuszy, za co dziękuję.
1463:  O czym gadamy, Maximus?
1465:  O wszystkim.
1465:  Na tym polegają te live'y.
1466:  Jest czysty chaos, cudowny.
1468:  To jest jeden, jedyny moment, jedna taka przestrzeń wykrojona z tej naszej rzeczywistości, która jest uporządkowana, która jest poukładana pięknie, że możemy sobie rozmawiać o czym...
1478:  O czym my się zapragniemy?
1480:  Gdzie nas poniesie invena i inwencja?
1484:  Dlatego też protestuję przeciwko robieniu czegoś takiego, żebyśmy mieli listę pytań i potem Krzysztof będzie sobie premiował.
1489:  Okej, robimy tier listę pytań.
1492:  Tutaj jest pytanie, że największą liczbą łapek w górę to we pierwszej kolejności, bo jest mam taki niedowład mózgu, że nie jestem w stanie sam się zainteresować pytaniem.
1502:  Ja potrzebuję lajków pod tym pytaniem, żeby stwierdzić,
1505:  stwierdzić, które jest wartościowe.
1508:  No, a takie, które nie jest, na przykład zostało napisane trzy minuty wcześniej, no to ono nie zostanie wtedy przeczytane.
1514:  Świetna formuła.
1516:  Nie wiem, może kiedyś będę do tego zmuszony, ale to chyba tylko wtedy, kiedy by dla live'y przychodziło 200 tysięcy ludzi, a to z różnych względów wiem, że nie nastąpi.
1525:  Nie nastąpi.
1530:  Ja nie pożyczam książek, nie na moje nerwy piszę marchewkę.
1532:  Absolutnie tak.
1534:  Zastanawiałem się ostatnio, pisze Ozy... Zastanawiałam się, przepraszam, ostatnio, pisze Ozy Osbon, że masz problem ze starymi lub stylizowanymi na czarno-białymi filmami.
1543:  I wypowiadałeś się pozytywnie jednocześnie o koralinie i innych animowanych poklatkowo filmach.
1547:  A bo, co jest ciekawe, bo w przypadku animacji poklatkowej nie mam takiego wyrwania z imersji, bo ona jest już obca, nie?
1554:  Wyobcowuje jakoś świat i pokazuje rzeczywistość taką, jaką jej nie widzę na co dzień.
1559:  Natomiast czarno-biały film...
1561:  pokazuje mi nie dość, że szary świat, który pamiętam z lat 90., naprawdę przysięgam wam, wychodziło się w Krakowie do miasta i widziało się szare kamienice, szary beton, szare brukowce, szare gazety sprzedawane w szarych kioskach przez szarych ludzi, wszystko było szare, a jeszcze było obszczane, więc co jakiś czas widzieliście plamę żółci, ale generalnie wszystko było szare.
1583:  Ja tak zapamiętałem moje całe dzieciństwo.
1585:  I naprawdę nie tęsknię za tym momentem.
1587:  Prawdopodobnie dlatego mi tak przeszkadzają czarno-białe filmy, czy w ogóle te utrzymane w skali szarości.
1592:  Nie lubię monochromatyczności, nie lubię też, jak widzicie skądinąd, nawet jeżeli mam grafikę, która jest czarno-biała na ścianie, to i tak ma elementy kolorystyczne.
1602:  Działa na mnie to bardzo źle i depresyjnie, jak widzę czarno-biały film albo coś otrzymane w skali szarości.
1608:  Bardzo możliwe właśnie, bo sam się usiłuję psychoanalizować, że to z tego względu, że tak zapamiętałem dzieciństwo i moment, w którym wleciały anime do telewizji na kanał RTL7 albo jak zacząłem grać w gry właśnie, które były hiperrealistyczne, ale równocześnie miały tę saturację podkręconą, czyli były te...
1623:  kolory żywsze.
1624:  Oj, to był moment, kiedy ja byłem szczęśliwy.
1626:  Tak samo książki, tak?
1627:  Mnie cieszy to, jak sobie mogę poczytać taką książkę, swoją drogą fajna antologia fantasy, księga fantasy, tą pierwszą i tą drugą.
1633:  I cieszy mnie, jak są w niej ilustracje, natomiast nie cieszy mnie to, jak dostaję książkę, która jest szara, ma na okładce tylko jeden napis, na przykład DOSTOJEWSKI!
1642:  Pod spodem jest czarny napis ZBRÓDNIA I KARA.
1644:  Żadnej okładki nie ma, żadnej ilustracji nie ma i pod spodem jest tylko nieinteresujący tekst czarno-biały.
1649:  Też dla mnie to jest mało atrakcyjne.
1652:  a się rozgadałem na temat czerni i bieli.
1655:  Czy warto zrobić sobie gapier?
1656:  Ja zrobiłem i bardzo polecam, Michale.
1658:  To jest wszystko kwestia tego, czy cię na to stać.
1660:  Niestety, bo gapier głównie na tym polega, jeżeli masz taką możliwość i czujesz się na siłach absolutnie tak.
1670:  Jeszcze ponad tysiąc ludzi na Strumyku Krzysztofu mówi, że 20 tysięcy jest niemożliwe.
1673:  Jest niemożliwe!
1674:  Jest niemożliwe!
1676:  Absolutnie niemożliwe.
1678:  Czy znam Life and Suffering of Sir Bronte?
1680:  Wizual nowelka osadzona w świecie pyta węgorzyk, dark fantasy, gdzie ludzie posiadają cztery życia.
1686:  Nie!
1686:  Na Steamie można rozegrać dwa rozdziały za darmo.
1688:  Dziękujemy za polecajkę.
1690:  To szare w Krakowie to jest po prostu smog.
1693:  To smog jest do dzisiaj niestety.
1695:  Dopóki Krzysztof nie miał kolorowego telewizora, świat był czarno-biały.
1697:  Na szczęście na to się nie załapałem.
1699:  Ja od początku ten telewizor, który mieliśmy w domu, był na szczęście kolorowy i pierwsze rzeczy, które ja oglądałem, to były filmy Disneya.
1707:  Wszystkie animacje, które były też kolorowe.
1709:  Nie oglądałem tych czarno-białych, więc dla mnie ten świat zawsze był światem piękniejszym.
1713:  Ten świat, który był w telewizorze, świat zapośredniczony w innych mediach, w grach, właśnie w książkach,
1718:  Dlatego też fantasy, nie?
1719:  To był świat kolorowszy, żywszy, piękniejszy niż rzeczywistość, która nas otacza.
