🔴 NIE KUPUJCIE TEJ 💩 GRY — DRAGON'S DOGMA II Livestream
🔗 https://www.youtube.com/watch?v=igWJJgW2ho0

3:  i jej.
1225:  W związku z tym stwierdzimy, że to będzie Steven, z uwagi na TikTok z koniem.
1231:  Steven!
1232:  Thought you were dead!
1234:  Fucking hell!
1236:  Więc Steven w wieku 20 lat zdecydował, że będzie Jamnixem.
1241:  Tak jest.
1244:  Jeśli mikrotransakcje są po to, żeby niwelować grind, potrzebna pozyskanie pewnych elementów, czy gra jest fundamentalnie źle zaprojektowana?
1250:  Zobaczymy.
1251:  Wiecie dobrze, że jeżeli gra jest źle zaprojektowana, to dowiecie się tego na pewno ode mnie.
1256:  Czy to blizna po wyrwanym sercu?
1258:  Zawsze.
1259:  Możecie mi po... O, już widzicie pierwsza rzecz, która jest beznadziejna.
1262:  Ten interfejs.
1263:  Co to w ogóle jest?
1264:  Jakie XE, kontrol, co to w ogóle jest?
1266:  Kontrol jest do kłócania.
1268:  Większość twoich rodzajów ma oczy czerwone jak kadawy.
1274:  Być może to jest tylko naturalne, jak widzimy twoje oczy z dźwięku.
1278:  Jest coś innego w ciebie.
1299:  Ale grafika, prawda?
1300:  Grafika jest jak z 2006 roku, jak zawsze.
1305:  Ale przynajmniej, moi drodzy, gramy na maxie.
1309:  Będziemy sobie patrzeć, jaki jest klatkaż.
1313:  Znaczy, ja bym wam mówił, jaki jest klatkaż, bo wy tego nie zobaczycie.
1316:  110 fpsów jest na razie, ale umówmy się, przetestujemy to dopiero w miastach, bo wtedy jest źle.
1323:  O, dziękuję, że mówicie mi, że się mruszam w USA-D.
1327:  Dziękuję, to takie ważne.
1330:  W żadnej grze wideo tak nie było.
1335:  Hail!
1336:  Hail!
1337:  Hail to the king!
1342:  Teraz tak, oczywiście ważne jest to, żebyśmy mogli rzucać kulami ognia i wszystkich zabić.
1346:  Interfejs jak z polskich gier dołączany do gadzania.
1348:  No autentycznie, katastrofa absolutna.
1350:  Dobrze.
1351:  Hail!
1352:  Dlaczego on wygląda jak... wygląda jak Khajiit?
1356:  Khajiit przedostał się tutaj ze Skyrima.
1360:  Khajiit uważa, że jego ludzki pan jest nieuczciwy.
1364:  Khajiit potrzebuje kocimiętki.
1368:  Już nie wiem gdzie iść.
1369:  Szyja ma konkretną długość?
1370:  Absolutnie.
1372:  Indomagiamnis ma smukłą szyję.
1375:  Kula ognia są za 3 euro, nie denerwujcie mnie.
1380:  W Wydziale Biologii UJ niczego złego, Eryku, nie słyszałem o nim, żeż to jest fremen.
1387:  Muszę powiedzieć, że ten font jest strasznie intruzywny, nie macie takiego wrażenia, że zajmuje cały ekran, absolutnie?
1394:  Nie mogę wciąż biegać, zaznaczę.
1397:  Gdy nie ma tutoriala, gdzie jest tutorial?
1398:  Gdy jest tutorial, mówcie mi o tym, że tak, że chodzę wsadem.
1401:  Oczywiście, zawsze jest o takie tutoriale, to jest dramat.
1404:  Jesteśmy, moi drodzy, w górniczej dolinie, nawet graficznie się zgadza.
1409:  Kiedy zagrałem w Skyrima na modach, no chyba kombi jest już na to gotowy, moi drodzy.
1413:  Excavation site.
1415:  The hole.
1416:  Dzisiaj mieliśmy ze studentami dyskusję o tym, czy Trump by wygrał wybory, aby przestał mówić, że zbuduje mur, tylko będzie mówił, I'm gonna dig the hole, the hole so deep, you could stuck your... ...get a move on.
1432:  Dalej nie mogę używać biegu, moi drodzy.
1436:  Grafika jest odrażająca, jak na razie.
1438:  Przypominam, ta gra kosztowała 300 złotych.
1440:  Równe.
1441:  Przepraszam, 297.
1442:  W dalszym ciągu nie mogę, w dalszym ciągu nie mogę biegać.
1449:  Czy na kulę ognia można płacić?
1450:  Bieg, trzeba wykupić DLC.
1461:  Tak, trzy stówki, mimo to macie mikrotransakcje.
1463:  Jak mówię, nie kupować puknie stanieje.
1465:  Mateusz, ja mam rozdzielnię zbarać od pięciu miesięcy, myślę, że tak będzie ładniej.
1468:  Ja też.
1472:  No!
1473:  Proszę bardzo.
1474:  Mogę biegać.
1475:  Nie mogę jeszcze skakać.
1477:  Nie mogę skakać.
1478:  Nie mogę skakać.
1478:  Widzicie, tak to jest z odblokowywaniem kolejnych umiejek.
1481:  Naturalnie nie wiem, gdzie iść.
1483:  Czy jest mapa?
1485:  Jezus, nie wiem.
1489:  Ja się wzruszyłem.
1491:  Jest, jest mapa.
1494:  Boże, ja przecież czym ja sobie na to zasłużyłem?
1496:  Ale beznadziejna mapa, tak swoją drogą.
1502:  Brzydka jest.
1503:  Hej!
1508:  Czy ja tu mogę cokolwiek eksplorować?
1511:  Nie, nie mogę niczego eksplorować.
1514:  Nie wiem jak ja miałem kij w dupie, bo jeszcze nie wyciągnął kostura, to dlatego.
1519:  Jakżto ty grasz w pierwszą część, to miało być Dragon's Dogma 2.
1522:  Ehm... Ehm, i... Pick up a boulder.
1536:  Ehm, emm... Gro, gro, gro, emm... Gdzie jest... Boulder.
1547:  Nie chcę.
1548:  Nie chcę.
1549:  Dlaczego ja jestem zmuszany do tego, żeby pracować w kopalni?
1556:  Nie domagiam ich znosić kostur w dupie.
1557:  A gdzie go ma mieć, moi drodzy?
1559:  Nie ma wyjścia.
1560:  O, on już nosi kamolec.
1563:  Grab.
1567:  Jesus Christ.
1574:  Niewolni Giamniks, na co mi przyszło?
1577:  Ja chcę czarować!
1578:  Przecież dlaczego ja muszę nosić jakieś kamolce, no?
1584:  To symulator górnika, o którym zawsze marzył Dem.
1587:  Zresztą na tę postać to będzie źle.
1589:  Raczej nie udźwigniesz mask, skijek i jedną łósteczkę.
1593:  Nie mogę biegać, ale mogę skakać.
1599:  Nie doma Giamniks ma dzisiaj jednocześnie dzień nóg i dzień rąk.
1604:  Jaki jest w tym sens?
1605:  Nie mam zielonego pojęcia.
1609:  Przede wszystkim, gdzie ja mam zanieść ten kamolec?
1615:  Nie tutaj.
1617:  Nie tutaj, cholera jasna.
1619:  Instrukcje były niejasne.
1623:  Gra za trzystówki nie obsługuje RTX-a?
1625:  Może jemu mam zanieść ten kamień?
1627:  Typie.
1630:  No przecież pracuje!
1632:  Zobacz, jak pracuje!
1635:  Popatrz, jak pracuje!
1636:  Nikt tak nie pracuje, jak Niedomagiamniks!
1638:  Niedomagiamniks został... Napój od Paranormiksa, tak jest, rzuć w paimon.
1644:  Może tutaj, słuchajcie.
1648:  Ewidentnie.
1652:  Instrukcje były bardzo niejasne.
1659:  Dobrze zrobione.
1659:  Teraz następny krok.
1692:  Wiecie ile ja byłem jeszcze gotowy wziąć tak z pięć kamieni?
1704:  Dasz, shift, dasz.
1707:  Jaki dasz?
1709:  Dasz nie działa, dasz nie działa, dasz nie działa!
1712:  Alarmuję.
1721:  Ta meduza ma najbrzydsze cycki w historii cyfrowych medus.
1726:  Gdyby Genshin Impact projektował tak postaci, nie zarobiliby ani złotówki.
1730:  Musieliby prowadzić mikrotransakcje.
1736:  Dawaj mi mój kostur!
1751:  Lepsze cycki będą zatrzeły.
1753:  Petryfikuje oddechem, tak.
1757:  Niedomagiamnik spojrzał z przerażeniem na przeciwnika.
1761:  I podniósł kij, który mu wypadł z życi.
1764:  Niedomagiamnik krzyknął wtedy, Sempiternus Max!
1769:  I wrogowie zaczęli... Magic Bolt.
1772:  I wrogowie zaczęli z przeraż...
1786:  No!
1788:  Tak!
1790:  To rozumiem!
1792:  To... Cisza!
1794:  Cisza!
1796:  Tamten... Tamten czar się nie liczy!
1799:  Anodyna?
1799:  Co to jest anodyna?
1801:  Jaka anodyna?
1803:  Wciskam V, nic się nie dzieje.
1805:  Jaka anodyna?
1809:  Aha, mogę podnosić obiekty.
1812:  Tylko, że ja nie chcę.
1813:  Co jeśli nie chcę podnosić obiektów?
1817:  Nie no, przecież ta... Ja już nie pamiętam.
1820:  Flagration!
1823:  Tak!
1824:  Tylko to!
1829:  Anodyna i jej siostra Katodyna.
1830:  Nie, chyba niestety będziemy musieli to zrobić.
1832:  Approach the enemy?
1833:  Heh?
1845:  Co tu się dzieje?
1847:  Miałem wam powiedzieć, że jeżeli gra będzie bardzo dobra, to jutro gramy w niedzielę, ale myślę, że będziemy grać w niedzielę.
1854:  Jutro sobie włączymy Hollow Knighta.
1858:  Albo Warhammera.
1867:  Dlaczego pojawili się tutaj konstruktorzy z Prometeusza?
1872:  Całe szczęście, że nie do magii Amnix ma celownik na Glacy Łysej.
1878:  Możecie mi wytłumaczyć, dlaczego ta gra kosztuje 300 złotych.
1884:  Miała być cała seria.
1890:  Uważaj, bo nie ma uniku, więc jak podejdzie do ciebie przeciwnik, to dyntka, a mag jest healerem i magiem.
1895:  Mag jest healerem?
1898:  Nie żartujcie sobie nawet.
1900:  To nie jest gra AAA, to jest gra quadruple A, jak już ustaliliśmy przy okazji innych tytułów.
1909:  Nie, to Magiamniks biegnie.
1912:  To się akurat zgadza.
1915:  Ale dlaczego Dash jest cały czas podany jako bieg po prostu?
1918:  Przecież to nie jest Dash, tylko bieg.
1920:  Magic Bolt, ale nie, Magic Bolt jest najbardziej żenującą rzeczą, jaką widziałem w całym swoim życiu.
1924:  Dziękuję serdecznie Płonącej Pyrce za bycie Jamnikołajem.
1928:  Niuch!
1929:  Czy on spadł?
1930:  Czy on spadł?
1931:  Ej!
1931:  Zostaw mnie!
1933:  Typie!
1935:  Ratunku!
1939:  Ja tylko pokazywałem niuchacza!
1942:  Nie!
1948:  Co tu się dzieje?
1952:  Pożyje?
1953:  Jakoś co innego, moi drodzy.
1958:  Prawie umarłem w tutorialu.
1960:  Ja już wczoraj umarłem w tutorialu dwa razy.
1966:  Rzut pod paską byłby lepszy od tego Magic Bolta, niestety się muszę zgodzić.
1970:  Znaczy, to jest Magic Bolt na zasadzie takiej, że zamawiacie Bolta, on do was nie przyjeżdża, piszecie na supportcie, dlaczego nie przyjechał, oni wam mówią, magia, mniej więcej, to byłoby atrakcyjniejsze.
1981:  Wszystko, co w tej świecie, musisz zachować.
1984:  Ale... Żadnego wprowadzenia w świat nie dostajemy, co się dzieje?
1989:  Czyli mówicie, że... Czyli mówicie, że recenzenci byli zachwyceni, tak?
1992:  I trzeba było dopiero mikrotransakcji, żeby... Aaa, rozumiem.
1995:  Rozumiem.
1997:  Pozdrawiam recenzentów, którzy byli zachwyceni.
2000:  Jamniki są piękne i przetrwa szkawanda.
2002:  Tak jest.
2003:  Boże, żeby nam pokazali jakiś widoczek.
2007:  Jamnik z dogma.
2011:  Przypominam, że gramy na maksymalnych ustawieniach, moi drodzy, na RTX 4090.
2014:  Okej.
2015:  Znaczy, ja na ich miejscu mi się nie chwalił tak imionami i nazwiskami, jakby... Nie teraz.
2038:  Nie było dwójki w tytule.
2041:  Nie denerwujcie mnie.
2050:  Skyrim ładniejszy.
2054:  Zwłaszcza na modach.
2055:  Nie no, ale tak zupełnie serio, moi drodzy.
2057:  No zobaczcie, jak wygląda tło tutaj.
2059:  Jak wyglądają włosy.
2060:  Horizon'a graliśmy wczoraj, dwójeczkę.
2064:  I naprawdę się prezentowało kazalej.
2069:  Kupiłeś jedynkę, to wszystko dlatego.
2073:  Unik, unik!
2074:  Kretyn.
2076:  Oddajcie mi wodze.
2079:  I władzę.
2080:  Będzie lepiej.
2081:  Brzydkie rośliny.
2083:  Blada pani ja powróżyć, nie inaczej.
2086:  Udźwig i stamina są uzależnione od kreatora postaci?
2088:  Naprawdę?
2090:  Aha.
2091:  Czy możemy ustalić, moi drodzy, od razu, że Niedomagiamnik będzie mieć udźwig żaden?
2096:  Nie potrzebuję nic więcej.
2097:  Ja potrzebuję wyłącznie zwojów i potrzebuję mózgu.
2100:  Czy w tej chwili się gra zawiesiła?
2102:  Jeszcze nie.
2103:  To dobrze.
2107:  Lokacje ładne, pisze Jakub Krzyszewski, pocieszałem.
2110:  Ocenimy, ocenimy.
2113:  Niedomagiamnik spręży swoją muskularną żyć.
2118:  Dobrze.
2120:  Ubalduje trochę, ta grafika boli, ale to jest straszne, słuchajcie, bo 2024 i grafika 3D jest... Ile klas gorsza Dreaded Dimension 2?
2131:  Wiele klas.
2132:  Powiedziałbym, że w tym momencie Hogwarts Legacy jest wyżej, jeżeli chodzi o poziom graficzny.
2136:  W porządku, trzymajcie się od razu!
2141:  Ok.
2154:  Muszę powiedzieć, że jak dotąd ulubioną częścią Dragon's Dogma 2 jest nie do magii Amnix.
2160:  Tentakle hentajowe.
2164:  Dark Souls 3 też ma lepszą grafikę, zgodzę się.
2169:  O, żołnierze, możemy ich zabić?
2172:  Proszę, proszę, błagam, dajcie mi zabić żołnierzy, muszę się wyżyć.
2179:  Nie można jeszcze jednego rzeczy zrobić, a mianowicie niestety nie można w żaden sposób się poruszać podczas dialogów.
2188:  Dlaczego?
2199:  Dostałem już pierwsze osiągnięcie, moi drodzy, to chyba na... nie wiem.
2206:  Skończyliśmy quest.
2210:  Kto ma paraliż twarzy?
2211:  Mam nadzieję, że nie, nie do magii, ja mam nikt z walki Rival, ale ten człowiek faktycznie wyglądał jak z paraliżem twarzy.
2219:  Okej, właściwo.
2223:  Łacimy na pocieszenie.
2226:  Nie, nie, Mass Effect Andromeda nie miała lepszej mimiki twarzy.
2229:  Przypominam, moi drodzy, kultową recenzję Mass Effecta Andromedy.
2233:  I mam nadzieję, swoją drogą, że doczekamy się podobnej rzeczy na kanale Angry Joe.
2239:  Przypominam, ponieważ to jest absolutnie legendarna rzecz.
2241:  Mianowicie, to jest, moi drodzy, Mass Effect Andromeda.
2245:  Proszę bardzo.
2247:  To było Mass Effect Andromeda i nie należy, moi drodzy, porównywać jednego z drugim, tak?
2254:  Tu było zdecydowanie jednak gorzej, umówmy się, tu jest minimalnie lepiej.
2260:  Ale wciąż trzy stówy?
2262:  Nie, nie ma uzasadnienia.
2263:  I przypominam jeszcze o optymalizacji, która zakłada, że trzeba mieć jakąś potężną kartę graficzną, żeby to wszystko działało.
2272:  Jest kara do maksimum zdrowia przy śmierci?
2275:  Jeden domagiamnik nie umiera.
2279:  Przypomnijcie sobie Elden Ringa.
2281:  Nigdy nie umarliśmy.
2283:  Ale mnie denerwuje to hold to talk.
2285:  Boże.
2290:  Pierwsza przeszkoda.
2295:  Nie do magii, Amnix.
2297:  Już.
2299:  Ledwo sobie radzi ze skałą.
2302:  Ale ja się nie dziwię.
2303:  Gdybym tak biegał, też bym sobie źle radził.
2311:  O tak!
2318:  Płoń!
2321:  Czemu on nie płonie?
2326:  Nie rozumiem, jak działa ten efekt.
2332:  A już wiem, czyli to...
2339:  Co?
2344:  To nie jest buff ten ogień, to jest ogień.
2362:  Ale ja nie rozumiem jednego, to znaczy... Wygląda tak, jakbym ja w tym momencie dopiero kastował, nie?
2369:  I teraz muszę puścić, żeby on wypalał.
2375:  Tak.
2377:  Okej.
2379:  A to jest Magic Bolt.
2385:  Lantern on.
2391:  Dlaczego jest tak, że... ...ludzie mają problem z opracowywaniem mechanik magicznych?
2402:  Czy może mi ktoś to wytłumaczyć?
2404:  Trama wywalona na ogień i jajujuj...
2416:  Fajne to.
2418:  Aha, świetnie, świetnie.
2425:  To może jednak flagration.
2426:  Okej.
2446:  Bardzo dziwny... Bardzo dziwny system.
2456:  Aha.
2457:  When enemies flinch... Przecież ja w tym momencie zginę.
2469:  Anodyna to jest chyba leczenie.
2472:  Tak.
2477:  Pysk kosturem to chyba będzie najskuteczniejsze, wiecie?
2482:  Okej, mogę się poruszać w momencie, w którym kastuję, przynajmniej tyle.
2493:  Aha, czyli... Okej, skała, niedobrze.
2497:  I wiecie co jest najzabawniejsze?
2499:  Nie ma możliwości fokusowania się na przeciwniku.
2504:  Anodyna.
2508:  Gdzie myślisz, że idziesz?
2536:  Cześć, Przemysław Jakubycki, dzięki za wsparcie od 15 miesięcy!
2541:  Ale rycerz-snycerz, moi drodzy, jest ważny.
2543:  Musimy mieć jakiegoś... Musimy mieć jakiegoś tanka.
2546:  Nie ma innej opcji.
2551:  Jakim cudem ta gra ma drugą część?
2553:  Gra dekade czy tylko roku?
2554:  Ja myślę, że od najbliższego tygodnia.
2558:  To wszystko z widy i senne marynie domagają Nixa uspokaja Łyntę, wywołane wzrastającą mocą kijanki drążącej tunele w jego i tak już podziurawionym umyśle.
2566:  Jest to możliwe.
2567:  Wciąż czekam na te piękne lokacje, które miały być.
2570:  Dobrze, postać ma lampion i raczej by nic nie widziała.
2572:  Tak, Oliwio.
2573:  Specjalnie włączyłem.
2578:  Czemu oni wszyscy mówią do nas Arisen?
2581:  Nie mogą przynajmniej wyświetlić mojego imienia.
2584:  Tak jest w Genshinie.
2585:  Tak.
2590:  To jest na androida?
2592:  Czy można grać też w przeglądarce?
2593:  Nie no, dajcie spokój.
2596:  Magia z 2 zjada to na śniadanie?
2598:  Znaczy, na razie, moi drodzy, my mamy dwa zaklęcia, naprawdę?
2601:  To jest tyle?
2606:  Widzisz mechanikę, jakaś część obrażeń, którą dostajesz, uderza też max HP, możesz je odnaleźć tylko przez odpoczynku.
2611:  Co?
2615:  Ale głupie.
2616:  Jeśli to gra tygodnia, cieszę się, że mamy piątek.
2621:  Ja mówiłem wam, moi drodzy, że będzie dzisiaj złośliwie.
2627:  Jesus Christ.
2634:  Jestem przerażony, to jest nasza bohata, to jak smacze dziecię, to tak, ale w gęścinie też do ciebie mówi Traveller, ale wyświetla ci w napisach twoje imię, tak?
2642:  Po co ja nadaję?
2644:  Po co ja nadaję imię mojej postaci?
2646:  Tak jest oczywiście.
2647:  Existing character data.
2648:  Moi drodzy, to jest masculine human.
2653:  Gruby barbarzyńca.
2655:  Mówię, że kreator postaci w tej grze sprawił mi jak dotąd więcej frajdy niż sama gra.
2662:  Więc to jest gruby krasnolud, tępy, głupi barbarzyńca, który ma nam pomagać.
2667:  Wpakowałem mu absolutnie maksymalnie mięśni, ile się dało i bardzo dużo tatuaży.
2673:  To jest człowiek, który może nam pomóc, ponieważ on będzie zatrzymywał ciosy wszystkich miecz, ma tak dużo tkanki tłuszczowej, że miecze będą tam grzęznąć, ale równocześnie jest tyle mięśni, że nie będzie się dało tych mieczy wyciągnąć.
2686:  Na relacjach Krzysztofa Dopotoczyna, Jamnix jest dwadzieścia na dziesięć, dziękuję, bo nie do magii, Jamnix jest mną, to dlatego, moi drodzy.
2692:  Ma głos taki, jak powinien mieć.
2695:  Czyli ten.
2695:  The people here are evacuated.
2699:  There are more who can yet be seen.
2700:  It seems the rain has abated.
2702:  Z tego względu, że śladowy szkocki akcent jest, moi drodzy.
2708:  Jason Momoa po roku pobytu w Polsce raczej.
2713:  To jest czad w ręce mocny, moi drodzy.
2715:  Czad w ręce mocny będzie bardzo potrzebny nam, ponieważ będzie zatrzymywał wszystkie ciosy.
2720:  Kyrdas, dzięki za dołączenie grona wspierających w tych oto wesołych okolicznościach przyrody.
2726:  Proszę bardzo.
2730:  Laktor w God of War Ragnarok, ta prawda.
2735:  Other realms!
2740:  Patrz, oj koteł.
2741:  Poznałem, właśnie robię jamnika dla ciebie.
2743:  O proszę, dziękuję!
2744:  I dziękuję za wsparcie 12 miesięcy.
2749:  Bla, bla, bla.
2751:  Tak, tak, tak, tak.
2753:  Wiem, że wszyscy chcą podróżować z niedomagim jamniksem.
2758:  W ręce mocy leniwa Olu to jest Discord Reference, jak najbardziej.
2762:  Szanuję za znajomość.
2763:  Z naglinianych nogach bodajże, śmie pamięć nie myli.
2769:  Wygląda jak Hagrid, gdyby był gajowym w Durmstrangu.
2779:  O nie... O...
2784:  On wygląda jak Radek Pisula.
2786:  Pozdrowienia dla Radka Pisuli.
2789:  Ale naprawdę.
2796:  Ja wiem, że w tej grze nie ma wierzchowców, Joglol.
2799:  Wiem, ale nie do magii.
2800:  Amix nie po to miał dzisiaj trening nóg i dzień nóg w kopalni.
2805:  Ooo, nie mamy wspomnień.
2807:  Niesamowite.
2809:  Dlaczego ten przydupas wygląda jak Jack Black?
2818:  Ooo, Tenacious D najlepszy.
2823:  Ale za to muzyka dowozi na razie.
2825:  Boulder Watch Outpost, moi drodzy.
2827:  Czymkolwiek jest.
2831:  Dalej, dalej!
2834:  Riftstones.
2835:  By touching a riftstone, the horizon can feel... can travel to the bridge at twixt worlds, which a great many pawns traverse as they journey beyond the rift.
2848:  Czyli zapękninę.
2850:  Dobrze.
2853:  Dajcie mi kastować czary!
2855:  I shall answer, if it is within my power to do so.
2859:  Stanisław pisze, że po pięciu... Staszek!
2862:  Że po pięciu godzinach stwierdza, że całkiem nieźle się gra, jak na ports PlayStation 3, choć mogli chociaż te tekstury zupdate'ować.
2868:  Cześć, Staszek!
2873:  Przepraszam was, ale gra mnie wyjątkowo zniechęca do tego, żeby robić cokolwiek lore'owego.
