Brat Jeremiasz ogniomiot — Warhammer 40 000: Mechanicus Livestream #4
🔗 https://www.youtube.com/watch?v=wJxeLpUO9hA

2:  Witam wszystkich na streamie.
176:  Gdzie jest Magos Jeremiasz?
178:  Naprzód!
179:  Magos... Magos Orio... Oriokus.
183:  Nie, stanowczo musimy coś z nim zrobić.
186:  Jest słaby jak kupa teraz i się kuli z tyłu.
192:  Tak jest, brother, bring the flamer, the heavy flamer.
196:  Tu jest jakiś nekron, który się przyczaił w tym miejscu, ale Magos Oriocus ma jedną cudowną funkcję, mianowicie może zbierać punkty cognition, to jest na razie wszystko, do czego Magos Oriocus się nadaje.
210:  Więc ucieka szybko, o, ma jeszcze, może się jeszcze leczyć, wspaniale.
219:  Właśnie ktoś nam przypierniczył, bo oczywiście, że to jest mój ukochany snajper.
225:  Fatalnie.
227:  Ale mój ukochany snajper jest równocześnie kretynem i się wystawił na atak ze strony naszego najpotężniejszego z magosów, to znaczy Leonardo Di Campio, który dla wszystkich, którzy do nas dołączają, ma tę cudowną właściwość, że napiernicza ze snajperek.
246:  O właśnie, i zdobywa dla nas mnóstwo punktów.
249:  Czy to zdobycie mnóstwa punktów oznacza, że będziemy mieć tutaj zasięg?
254:  Będziemy mieli, ale nie.
255:  Nie, my oszczędzamy, żeby brat Jeremiasz mógł pieprznąć ze swojego... Nie, nie pieprznąć.
261:  Nie pieprznąć.
263:  Żeby brat Jeremiasz mógł rozpętać Armagedon.
269:  W Warszawie likwidują antykwaret, można kupować paczki z losowymi tytułami.
274:  Tu nie jest księgarnia, tu jest kupowanie kota w worku.
277:  A, rozumiem, czyli jest akcja wykupywanie książek.
281:  Ja wiem, to jest szczytna akcja, ale przepraszam, nie jestem w stanie się skupić w tym momencie na książkach, ponieważ w tym momencie, w tym momencie brat Jeremiasz
293:  Nie może użyć.
296:  Może użyć.
297:  Może użyć.
298:  Może użyć.
299:  Bardzo dobrze.
302:  W tym momencie brat Jeremiasz zaczyna palić.
310:  Nie, dlaczego brat Jeremiasz nie może palić?
314:  To jest zasmucające.
316:  Dlaczego to jest tak drogie?
317:  No dobrze, na razie spalimy jednego z nekronów.
321:  Burn!
323:  Burn!
327:  Och, to będzie wspaniała rozgrywka.
331:  Zdecydowanie tak.
332:  Kogo jeszcze możemy tutaj zniszczyć?
336:  Zastanówmy się.
338:  Sabrina Glewisik byłaby dumna, tak, tak!
341:  Sabrina była... tak, ona była Maginią Ognia?
344:  Nawet nie pamiętałem.
345:  Była na pewno Maginią, ale nie pamiętałem, że Ognia.
348:  No proszę, no proszę!
353:  O... Była szczytna akcja, ale Diabłu Tasmańskiemu nie wolno do literatury, bo tu nie jest księgarnia.
361:  Ale dałem link do wyprzedaży na Discordzie.
363:  Dlaczego nie wolno do literatury, bo nie jest księgarnia?
366:  Nie rozumiem!
367:  Przepraszam, jestem zdekoncentrowany.
370:  Kto teraz będzie... Flayed Ones będą atakować nas.
373:  Flayed Ones są po prostu oskurowanymi...
377:  oskurowanymi emerytami, którzy usiłują nas atakować swoimi żlastymi paluszkami, ale nic im do tego.
387:  Nic im do brata Jeremiasza.
394:  Nie, nie, nie.
395:  Będziemy marnować punktów.
398:  Absolutnie nie.
401:  Czy nasz Magos Oriokos nawet nie ma broni?
406:  Boże drogi, new level of lame.
409:  Ja za to popadałem w chwilową depresję, czytam wyniki badań Brendana Nayana, który badał z tym reakcję z 1700 rodziców na tłumaczenie, że szczepionki nie są złe.
417:  O Boże, boję się.
420:  Eee... Już się boję.
423:  Książka książce nierówna trochę rozumiem, bo sprowadzanie potencjalnych śmieci do domu nie cieszy.
428:  Fakt faktem jest, że rzeczywiście jest tak, że mamy takie przekonanie, że jeżeli kupimy książkę, to to i... Nawet jeżeli ona będzie zła, to to wciąż jest książka.
437:  No ja się z tym absolutnie nie zgadzam.
440:  Eee...
444:  Dobrze, kiedy brat Jeremiasz ma... brat Jeremiasz późno niestety będzie atakował, w związku z powyższym musimy... O, tak pieprzniemy.
454:  Nie dość, że rodzice nie zmienili podejścia, to cały czas o tym badaniu, to u wielu się pogorszyło, zostaje chyba tylko granie w gry do końca świata.
461:  Absolutnie popieram.
464:  To jest mój plan.
466:  Ja stwierdziłem już dawno, że z pewnymi rzeczami absolutnie nie da się walczyć i jedyne, co pozostaje, to część z nich obśmiać.
475:  Co my możemy tutaj zrobić?
477:  Możemy sobie jeszcze wziąć jeden punkt, myślę, tutaj, o. No powiem wam, że od czasu, kiedy ja nie wiem, czy to jest kwestia tego, ale od czasu, kiedy brat Jeremiasz jest taki dzielny, to idziemy jak burza.
495:  Szalony król byłby dumny.
497:  Ja powiem tak, chciałem sobie ogarnąć paczkę fantastyki, bo ze względu na kwadratów spora szansa na perełki z lat 80-tych i antropologię, porządne rzeczy tego typu nie mają zwykle.
506:  Za dużo książek.
507:  To trzeba kupować e-booki!
509:  Ja od jakiegoś czasu, jeżeli chodzi o książki naukowe na przykład, czy popularnonaukowe, mam je wyłącznie w e-bookach.
519:  I przyznam się, że już zupełnie zmieniłem styl czytania, tzn.
523:  raczej używam częściej funkcji Ctrl-F, niż czytam od samego początku do samego końca.
532:  Czy da się obniżyć przebudzenie nekronów?
535:  Ogólne.
535:  Tak, trzeba mianowicie wejść do takiego pliku, który jest, w którym się zapisują wszystkie sejwy i parametry gry i następnie wyedytować linijkę, w której jest przebudzenie elektronów.
544:  To jest jedyny sposób na obniżenie, niestety.
547:  Innego, innego nie przewidziano.
549:  Znaczy tego też nie przewidziano, ale no... Rozumiecie.
554:  Brat Jeremiasz... Brat Jeremiasz... Nie, nie, brat Jeremiasz może zużyć nawet te trzy punkty.
562:  Tak, ponieważ mam potrzebę palenia.
567:  Eee, a skoro mam potrzebę palenia... O!
571:  O!
571:  Ooo!
572:  Ooo!
574:  Ooo!
575:  Ooo!
576:  Ooo!
578:  Ooo, tak!
580:  Nie!
581:  Ooo!
583:  Burn!
586:  Dobrze.
587:  Teraz jeszcze osłonimy wszystkich.
589:  Świetnie.
590:  I jeszcze pobierzemy Cognition Point.
592:  Czegoż brat Jeremiasz teraz nie robi?
594:  Jak się odwróciła sytuacja niesamowicie.
599:  Stosiki to tylko w tych uniwersach, w których popełnia się straszliwy błąd i próbuje się palić czarownicę na stosie.
608:  Swoją drogą jest jedna pisarka fantasy, która to zaadresowała i nie jest ją wbrew pozorom J.K.
615:  Rowling.
616:  To znaczy, powiedziała, że magowie rzucali na siebie specjalne zaklęcie i czarownice po to, żeby nie czuć płomieni.
623:  To jest chyba jedyna książka, w której coś takiego przeczytałem.
625:  Czy ja dobrze widzę, że wszyscy płoną?
627:  Tak, dobrze widzę.
629:  Skanujemy.
632:  O, mamy wątek fetyszyzacji papieru, nie ma jak stary, dobry gatekeeping.
637:  Ja powiem tak, jeżeli chodzi o wąchanie papieru i tego typu rzeczy, jakoś nigdy tego nie miałem.
647:  ponieważ w którymś momencie tak konsumowałem szybko książki, nawet nie nadążałem z zastanawianiem się nad tym, co się dzieje.
654:  Magos Barbossa, uuu, to jest... A właśnie jeszcze, jeżeli chodzi o obniżanie tego Tomb Awakes level, to teoretycznie możemy to jeszcze robić, niszcząc te...
666:  Kogitatory.
667:  Przypomniałem sobie nazwę Warhammerowską.
670:  I w momencie, w którym będziemy, na przykład gdybyśmy skończyli tę misję z zerowym poziomem przebudzenia nekronów, to do ogólnego te punkty nie zostaną przypisane w ogóle.
682:  Bratu Jeremiaszowi pierwszą umiejkę z drzewa Dominus będzie miał cztery pola zasięgu tej zapalniczki.
688:  To bardzo smutna informacja, ponieważ brat Jeremiasz ma już trzy wykupione dyscypliny i nie wiem, czy można czwartą.
694:  więc niestety tego nie przewidzieliśmy.
696:  Ja się zapaliłem widząc drzewko ksenaryckie i zapomniałem, że ta gra niestety nie pozwala na cofanie punktów.
710:  Ooo, więcej Cognition Points.
717:  Bratkogitus będzie sobie szedł tutaj.
719:  Na razie jest to Bratkogitus, ponieważ zbiera Cognition Points i do niczego innego się nie nadaje.
725:  Tutaj jest... Czy to nie jest nieśmiertelny czasem?
727:  A, jest nieśmiertelny.
730:  Dobrze.
733:  Leonardo DiCampio, co może zrobić Leonardo DiCampio?
735:  Zastanówmy się.
737:  Czy tu jest jakiś przeciwny naturze nekron?
739:  Nie, on jest po prostu martwy.
744:  Czy jeżeli ja... Nie, to nie zadziała.
748:  Może tak zadziała, jak tutaj podejdziemy kawałeczek.
752:  Arc Rifle.
754:  Hmm, nie.
756:  Nie bardzo.
758:  Hmm.
761:  Out of Range.
762:  To dobrze, to strzelimy z tradycyjnego naszego działka.
768:  I teraz jeszcze pobierzemy Cognition Point.
770:  Zawsze dobrze.
772:  Dobrze, dobrze.
775:  Tak.
778:  Tutaj jakiś nekron się usiłuje zreaktywować.
780:  Bratkogitus na pewno pod Lex Mechanic będzie budowany.
784:  Absolutnie tak.
786:  Brakuje nam drugiego Lex Mechanica, bo warto mieć w drużynie dwóch, tylko że Cogitusa zrobimy pod jeszcze support, pełny support, to znaczy będzie jeszcze przyzywał jednostki na pole walki.
797:  To jest dość dobra, to jest dość dobra umiejętność.
803:  Zwłaszcza jak trochę już tych jednostek jest.
808:  Nie wiem, czy był jakiś czarny charakter w historii, który pierniczał truskawki, ale trudno.
814:  Czy to jest coś, co nas atakuje aktualnie?
816:  Tak.
819:  Brat Jeremiasz niestety musi strzelić w ten sposób, ponieważ brata Jeremiasza nie stać na to, żeby użyć jego cudownej broni.
826:  Jednak doskonale być nie może w pełni.
831:  O!
834:  Ten jest za darmo, świetnie.
840:  Nie ma to jak przywalić krytykiem w budyneczek.
845:  Co jeszcze możemy zrobić?
846:  Oh, cognition point.
847:  Czy jest jeszcze jakiś cognition point do zebrania?
849:  Nie.
851:  Ale jest jeszcze flayed one do zaatakowania, co niezwłocznie uczynimy.
859:  Szkoda tylko, że jesteśmy out of range, więc tego niezwłocznie nie uczynimy.
864:  Nekroni przed nami uciekają.
867:  Cóż za dziwny obrót sytuacji i rzeczy.
871:  Nie spodziewałem się tego kompletnie.
874:  Na początku to myśmy umykali przed Nekronami.
878:  Oczywiście tego nie powiedziałem.
883:  Wilan jedzący truskawki stawiam, że szerszenie z pszczółki maji.
889:  To wszystko się zgadza w takim razie, podwójnie.
894:  Jeremiasz buduje... Jeremiasz przeszedł moje najśmielsze oczekiwania.
898:  Muszę to otwarcie powiedzieć.
901:  Strzelimy sobie za darmo z naszego najpotężniejszego pistoletu do bezbronnego budynku i bezbronnego kogitatora.
910:  Proszę bardzo.
911:  Znaczy to nic nie zmieniło absolutnie, ale... Swoją drogą, nie wiem na czym polega, to muszę to przeczytać w statystykach, bo niektóre z tych serwoczaszek zabijają, zadając jeden punkt obrażenia, niektóre nie.
927:  Ciekawa sprawa, muszę to zwęszyć i zniuchać.
931:  Co my jeszcze tutaj musimy zrobić?
934:  Place incense burners to purify the tomb.
938:  No to chyba to już zrobiliśmy, więc zostaje nam tylko i wyłącznie... Chyba.
941:  Więc zostaje nam tylko i wyłącznie zniszczyć wszystkich nekronów.
946:  Nekroni to oni.
950:  Brat Jeremiasz.
955:  Brat Jeremiasz nie będzie się przenosił aż tak daleko, ponieważ brat Jeremiasz nie może się wystawić na ostrzał za nadto.
966:  Magos Barbossa.
967:  Dobrze, Magos.
968:  Może Magos będzie tutaj sobie szedł radośnie.
973:  O!
973:  I dojedzie od tylca naszego Flayed Ones.
976:  To zawsze jest dobra strategia.
981:  Pod warunkiem, że ma się punkty ruchu.
984:  Raz.
986:  Harad!
989:  To jest perk do Czerwoczaszki, pierwszy albo drugi w niektórych rzeszkach... drzewkach.
993:  Są w sumie trzy.
994:  Jeden do... na celu, jeden do Amonatak Pryście i Bavnask.
997:  O, o, o, o, o, o, o. Dzięki, to muszę to sprawdzić w takim razie.
1001:  Ooo, czyżby oskurowany teraz... teraz był już... Ooo, pozbawiony życia.
1010:  Nie wierzę.
1011:  Coż za smutek.
1017:  Dobrze.
1018:  Dobrze!
1020:  Nasza potęga rośnie!
1024:  Am, am.
1028:  Powinienem mieć jabłko.
1030:  Zawsze tak jest, że wszystkie czarne charaktery w filmach, jak mają powiedzieć coś przerażającego, to przegryzają jabłuszko.
1037:  Ciekawy jestem, z czego to się... z czym to się je i z czego to się wzięło.
1042:  Czy to jest z Królewny Śnieżki, czy nie?
1046:  Nawiedzone pancerze mogą być swoją drogą.
1049:  O, weźmiemy sobie Cognition Point naszym bratem, jak on się nazywał?
1054:  Brat Cogitus, przypomniałem sobie.
1056:  Dobrze.
1059:  Mamy już dostateczną liczbę.
1061:  Leonardo Dicambio poczeka chwileczkę.
1064:  Leonardo Dicambio mianowicie wykończy naszego nekrona tuż po tym, jak zada mu niewysłowione obrażenia brat Jeremiasz.
1081:  Gorąco pod tym pancerzem, gorąco!
1086:  Cóż za smutek.
1091:  Tak, dźwięk przegryzania może faktycznie robić efekt złola pogryzającego jabłuszko, to jest możliwe.
1100:  Jak to damage absorbed?
1102:  Jak to damage absorbed?!
1103:  Brat Jeremiaś jest potężny!
1109:  Powiedział nikt nigdy.
1110:  Nie, ja teraz to mówię.
1113:  Czy mamy jeszcze gdzieś jakieś cognition points?
1115:  Wszystko wyssaliśmy, mamy jeszcze.
1120:  Ach, ta muzyka.
1122:  Wprawdzie nie jest tak rewelacyjna jak w wypadku... Jak w wypadku walki z bossem, ale co tam.
1134:  O, o!
1137:  70.
1137:  Proszę bardzo.
1139:  Proszę bardzo, zadajemy niewyobrażalne obrażenia.
1143:  Kolejny z wyrażeń, które trudno powtórzyć szybko razem.
1148:  Niewyobrażalne obrażenia.
1149:  Niewyobrażalne obra... No dobra, da się.
1152:  Ojej.
1154:  Jednak nie da rady z tą turą.
1156:  Zmartwiłem się.
1156:  Myślałem, że nasz... Myślałem, że nasz Magos... Nie, nie będę zużywał tych Cognition Points.
1163:  Yaaah!
1167:  Plus jeden do Generalnego Przebudzenia.
1169:  W Dawn of War II Chaos Rising był taki flavor... Taki flavor text był, jak się odblokowało maksymalnie spaczony, demoniczny bolter.
1178:  Brat Turkas Tarkus jest teraz potężny naprawdę, cudowne!
1183:  Nie pamiętałem tego, dlaczego ja tego nie pamiętałem?
1187:  Wspaniałe.
1189:  Absolutnie wspaniałe.
1193:  Dobrze, to teraz na sam koniec Leonardo DiCampio pieprznie ze swojego cudownego karabinu.
1202:  O, popatrzcie jak pieprznął.
1206:  Wspaniałości, wspaniałości.
1210:  Tak rozumiem radzić sobie z wrogami.
1214:  Proszę bardzo, jak świetnie idzie, aż zapiszę z tego wszystkiego.
1218:  Powiedział żaden pracownik Ambipura.
1241:  Find another location nearby.
1243:  Use tech lore to alter the chemical makeup.
1247:  Search for the source of the air current.
1252:  Wydaje mi się, że to.
1254:  Ale oczywiście źle mi się wydawało.
1258:  Zapisz!
1262:  Nekroni to oni, tak!
1266:  Tu jest, tu, tu, tu, mamy mnóstwo ksenoteku tutaj.
1270:  Nawet mamy umiejętność ksenarycką paskudną do wytępienia.
1274:  Ojej, zobaczcie ile tutaj jest różnych cegili.
1277:  This chamber is littered with human bones.
1280:  Facial signs of having been dismembered with sharp blades.
1282:  Heresy!
1284:  Dignify.
1286:  Absolutnie dignify.
1289:  Zostaliśmy wynagrodzeni, ale dobrze, dobrze, jest Blackstone.
1292:  Niech rośnie sobie inicjatywa nekronów, i tak nam nic nie zrobią.
1298:  Tutaj, w tym grobowcu dużo się dzieje, zauważyłem.
1302:  Zobaczymy... Oh!
1305:  Mass Effect vibes.
1306:  Ważne, żeby rozdzielić te dwie rzeczy, nie?
1308:  Basic Human Decency to jest jedno, ale... The Cult of Mechanicus to jest zupełnie co innego.
1327:  Tak!
1327:  Nie mogłem się poprosić nawet o lepszą konkluzję tego, co my dzisiaj robimy.
1332:  Świetnie!
1348:  Dostaliśmy za to Blackstone.
1350:  Fantastycznie.
1351:  Fantastycznie.
1352:  Mamy już 631.
1354:  Wyobrażam sobie już te awanse, które będziemy mieli.
1356:  Ach.
1358:  Glyph.
1363:  Hmm.
1364:  Niedobrze.
1367:  Żadnego z nich nie poznaliśmy jeszcze.
1372:  Huh.
1374:  Czyli ten był dobry.
1375:  Dobrze.
1378:  Dobrze, dobrze.
1379:  Co tu się dzieje z kolei?
1380:  Też Glyph.
1381:  Świetnie, ten już poznaliśmy.
1383:  Ale my nie potrzebujemy leczenia, potrzebujemy obniżenia inicjatywy nekronów.
1389:  Nie, jesteśmy mężni i walczymy.
1392:  Z wszystkimi walczymy.
1393:  Wszystko zwiedzamy, z wszystkimi walczymy.
1401:  Myśl dnia.
1402:  Heretics crave the cleansing fire of absolution.
1405:  They need not fear, for we shall deliver it to them.
1410:  Dziękuję.
1411:  Jak zwykle, czad dba o lore.
1418:  Truskawki są pyszne, a brat Jeremiasz jest mężny.
1425:  Myślę, że teraz to możemy wystawić już naszego strzelca spokojnie.
1431:  Kto jest, kto się rusza jako pierwszy?
1433:  Dobrze.
1435:  To myślę, że możemy nawet dwóch strzelców wystawić.
1443:  Tak, one cognition point to po byku, po byku.
1447:  Ojej, jest tylko ten.
1449:  Niedobrze, niedobrze.
1450:  Mamy za to dwie okazje do obniżenia aktywności nekronów.
1458:  Mamy darmowy strzał, co jest zawsze dobrą sytuacją.
1466:  Stanówmy się, co będzie taktycznie lepsze.
1469:  Wiem, jak to zrobimy.
1470:  Wiem,
1480:  Trzy.
1482:  Dobrze, trzy.
1485:  Czyli możemy się tutaj przemieścić najdalej.
1489:  Tak zrobimy.
1492:  Tak zrobimy.
1493:  Teraz tak, włączamy sobie generator pola.
1498:  Zabieramy jeden cognition point.
1504:  Strzelamy z arc rifle tutaj.
1508:  Za darmo.
1513:  Bum!
1513:  Critical!
1514:  Świetnie!
1515:  I równocześnie... Pies szczeka.
1517:  I równocześnie... Z pistoletu... Kto to jest?
1522:  Czy to jest... To jest nieśmiertelny.
1525:  Strzelimy sobie w tego snajpera, bo mnie denerwuje.
1528:  By się przemieścił do nas.
1530:  Ooo!
1531:  Critical damage!
1535:  I'm so sorry.
1543:  Proszę bardzo, Damage Absorbed.
1545:  Jeszcze wyjdziemy z tego cali i zdrowi.
1548:  Fantastycznie.
1550:  Skitary Vanguard.
1551:  Strzelamy.
1552:  Kto teraz się rusza?
1553:  Necron Immortal.
1554:  Dobrze, to będziemy teraz napierniczać w Necron Immortala.
1562:  Jak będziemy mieli jednego już wylewelowanego Magosa, porządnie, to będzie można wtedy oddawać, z tego co pamiętam, po dwa strzały Skitary Vanguard.
1575:  Oj, oj, oj, oj, oj, oj, oj.
1578:  Biedny brat Jeremiasz oberwał.
1593:  Mmm.
1596:  Cały czas eliminujemy jednego z nich, nie ma co.
1605:  Reapered, świetnie.
1607:  Teraz zastanawiam się... Bierzemy sobie Cognition Point na pewno.
1613:  Ale brat Jeremiasz niewiele może zrobić.
1615:  Brat Jeremiasz może tylko i wyłącznie osłonić wszystkich kopułą.
1621:  I to wszystko, co może... Nie, brat Jeremiasz jeszcze może strzelić.
1634:  Okej, to się nie zdarzyło, to się nie zdarzyło, to się absolutnie nie zdarzyło.
1639:  Eee... O, Cognition Points już nam się nie przydadzą, ale przyda nam się przejście tutaj i próba wykończenia tego nekrona, czyli nie... nie pamiętam, jak on się nazywa.
1657:  Zaraz zobaczymy.
1658:  O, krytyczny, świetnie.
1663:  Dobra.
1666:  Kończymy tę turę.
1669:  Walka ostatnia będzie trudna, ale mimo to warto będzie się w nią zaangażować.
1686:  No niestety, musimy się cofnąć.
1689:  Damage up, dobrze.
1694:  Mniej dobrze.
1696:  Wiem, co zrobimy.
1699:  Wiem, co zrobimy.
1700:  Przejdziemy tutaj.
1702:  Wprawdzie stracimy ten jeden punkt, ale zyskamy trzy, a to oznacza, że będziemy mogli walnąć z naszego, yyy, Arc Rifle'u, który się rozprzestrzenia.
1711:  Proszę bardzo.
1717:  Jakim cudem oni jeszcze egzystują? !
1723:  Nie taki był plan.
1725:  May your weapon be guarded against malfunction as your soul is guarded from impurity.
1730:  The machine god watches over you.
1733:  Unleash the weapons of war.
1735:  Unleash the Death Dealer.
1738:  Wprawdzie teraz jedyne co unleashujemy to naszego Skitarriego, który będzie ze swojej pukawki strzelał, ale zawsze coś.
1746:  Skitari, spieprzaj.
1750:  Proszę bardzo.
1756:  brat Jeremiasz zaraz wypali ze swojej ze swojej najpotężniejszej broni no ale, ale nie powiem, nie jest łatwo
1774:  Mają silną wolę życia niczym bezdzietni Polacy w obecnej Polsce.
1777:  O tak, niebawem za brak potomstwa zapewne nasz sprawiedliwy rząd będzie przyznawał podatek, jak znam życie.
1786:  On nawet ma swoją nazwę i się nazywa Bykowe.
1789:  Żenująca nazwa, swoją drogą.
1794:  Podatek dla singli oczywiście musi nazywać się tak jak samiec roga tego bydła.
1803:  Ci skitarii są akurat bardzo dobrzy, zwłaszcza jak się wyższe poziomy ich odblokuje.
1807:  O wiele lepsi od tych z obrażeniami energetycznymi, tamci to support ci bardziej.
1810:  Zgadzam się w pełni, ja tego z obrażeniami energetycznymi nie lubiłem.
1815:  Czy ja dobrze widzę?
1817:  Czy ja dobrze widzę co się zaraz stanie?
1826:  Jak to zrobić, żebym równocześnie widział te obrażenia i... Tak.
1838:  Biedny nekron.
1841:  Biedny Flayed One.
1846:  Obydwaj tu zginęli.
1851:  Zapytasz ty, zapytasz on, kto im tak przypierdzielił?
1855:  A to był brat Jeremiasz!
1866:  W historii tej brat, brat Jeremiasz, jest mężnym bohaterem.
1874:  Teraz już nie powie nikt,
1877:  Nie, i teraz już nie powie czat, że jest on jakimś zerem.
1880:  Proszę bardzo, jaki wiersz wymyśliłem na podorędziu.
1883:  Tak jestem podekscytowany tym, co się tutaj dzieje.
1887:  Wystarczy mi dać magię ognia albo jej ekwiwalent futurystyczny i jestem uradowany.
1895:  Gdyby w cyberpunku można było mieć miotacz płomieni i równocześnie magię ognia,
1900:  Być może, być może potraktowałbym tę grę łagodniej, ale nie obiecuję.
1906:  Jak ma być podatek od singli, to ja chcę rządową redystrybucję kobiet, Jezus Maria, szowinizm na czacie, ale ja jestem generalnie rzecz biorąc przeciwnikiem jakichkolwiek tego rodzaju rozwiązań, gdyż albowiem one uderzają prędzej czy później we wszystkie, to znaczy tworzą niebezpieczne precedensy.
1932:  Zawsze chce usłyszeć fraszkę.
1938:  Natomiast rządowa redystrybucja kobiet nie chce nikogo martwić i jest przecież zwizualizowana w Gileadzie, nie?
1950:  Więc ta prawica wcale nie jest odległa od tego pomysłu, niestety.
1959:  I to nie tylko prawica w Polsce, żeby nie było.
1970:  Co ja miałem zrobić?
1971:  Ja miałem wygrać to teraz.
1973:  Dlaczego brat Jerem... Dlaczego zrymowałem dla brata Jeremiasza?
1977:  Ułożyłem fraszkę, a brat Jeremiasz nie pokonał wszystkich.
1982:  Byłem przekonany, że on już nie żyje.
1984:  Jak to się stało?
1989:  Jak tam nowy sezon The Handmaid's Tale?
1990:  Jest rewelacyjny, absolutnie.
1992:  Jest na tyle rewelacyjny, że przestałem na moment oglądać, żeby... Chyba ostatnich dwóch odcinków nie widziałem, bo stwierdziłem, że chcę to przyswoić na jeden raz.
2004:  Jest po prostu rewelacja absolutna.
2006:  Odpowiedzieli sobie na to pytanie, na które się powinno odpowiadać w wielu science fiction, w których nie wiem, czy znacie taki kanał na YouTubie, to znaczy... Science fiction society is too stupid to exist.
2018:  I...
2019:  Między innymi Gilead tam był wymieniony, ale moim zdaniem właśnie błędnie, ponieważ Gilead, owszem, w wersji Margaret Atwood jest too stupid to exist, ponieważ on jest w takiej bańce, w takiej izolacji.
2030:  Nie wiadomo, co się dzieje w pozostałej części rzeczywistości, nie wiadomo, dlaczego nikt nie reaguje na to, co się tam od Janie Pawla.
2037:  A tutaj właśnie w tym serialu pokazują, jak reaguje rząd kanadyjski, dlaczego Kanada w ogóle nie chciała interweniować, co się stało i tak dalej.
2045:  Fascynująca sprawa.
2049:  Wypadałoby zlikwidować te konsolki kodikatorów.
2051:  Tak, tak, właśnie będziemy to robić.
2054:  Skanujemy i potem likwidujemy.
2057:  W tej właśnie kolejności.
2062:  Dobrze.
2072:  Truskawki są naprawdę niedoceniane.
2079:  Kto teraz?
2079:  Magos Barbossa.
2081:  Co Magos Barbossa może zrobić?
2082:  Magos Barbossa musi wyeliminować tego Necrona, natychmiast.
2089:  Jest na HBO, trzeba naprawić w takim razie, ostatnio mocno wstrząsający w obliczu naszej sytuacji politycznej, no ten jest jeszcze bardziej wstrząsający.
2095:  Jest na HBO i jest też na innych serwisach podejrzanej proweniencji.
2103:  Tak, chyba na Befliksie jest całość już.
2106:  Natomiast generalnie rzecz biorąc, no są ludzie, którzy na przykład uważali, że poprzedni sezon był bardzo zły właśnie dlatego, że im się nie podobało to, że no, że niby, że za dużo, że przesadzają, że to by tak nie wyglądało.
2121:  Nie, no właśnie to by tak wyglądało.
2127:  Jak to Jagieńka powiedziała Zbyszkowi toporem?
2130:  Erudycja na czacie.
2132:  Ja przyznam się szczerze, że nie pamiętam już nic z... Krzyżaków nie ma, to chyba krzyżacy byli.
2142:  Teraz pytanie, co zrobić?
2143:  O, już wiem, co zrobimy.
2145:  Wiem, co zrobimy.
2146:  Zrobimy inteligentną rzecz.
2148:  Uuu.
2151:  My nie możemy zaatakować naszego Magosa.
2155:  Nie, inaczej, inaczej, inaczej.
2157:  Czy gdzieś mamy zasięg?
2158:  Mamy tutaj zasięg.
