Błędne ognie w Ringed City — DARK SOULS 3 livestream #7
🔗 https://www.youtube.com/watch?v=E-h4kmG4OcA

4:  Wracamy.
278:  Nie było tam twardego lądu, ni nieba, nic poza iskrami i morderczym gorącem, płynnymi skałami i rozpalonym żarem.
289:  Na skraju muspelu, gdzie płomień wypala mgłę w światło i gdzie kończy się ziemia, stał sutr, który istniał przed bogami.
298:  Stoi tam i teraz.
300:  Patrzy na nas nieraz.
301:  Dzierży ognisty miecz, a wrząca lawa i marznąca mgła to dla niego jedno.
306:  Powiadał, że gdy nastanie Ragnarok, czyli kres świata, i tylko wtedy Surdr porzuci swój posterunek.
313:  Odejdzie z Muspelu z ognistym mieczem i wypali ten świat!
317:  A bogowie padną przed nim bez życia!
323:  Tak właśnie będzie.
325:  Zobaczycie.
328:  Jaka dzisiaj herbatka?
330:  Jakie piękne przejście.
332:  Smooth transition.
334:  Jak zawsze, herbatka zielona, z białą czekoladą, ale jest jeden czynnik, który się zmienił.
344:  Oto kadź.
345:  Ta sama kadź, z której
349:  Ojciec siostry Fridy usiłował nas zabić podczas ostatniego streamu, tylko że w mojej kadzi nie ma niestety płynnego ognia, ale są wiśnie w czekoladzie.
360:  Witamy Deusa Kladiusa w gronie Trybutariuszy!
363:  Jakiż początek streamu!
365:  Wracamy do ruin Strażników Żniwy.
373:  Czy mam w prawo iść po świeżo usmażonego pączka z wiśniami zielonego pysia do pysia, czy najpierw muszę się pokłonić ładnie?
379:  Od razu jedzenie.
381:  Od razu.
381:  Zawsze jedzenie pierwej.
387:  Mmm.
388:  Mmm.
390:  Mówię Wam, wszystko w czekoladzie jest dobre.
393:  Wyjąwszy Olgę T***czuk.
399:  Olga *** jest jedyną, jedynym bytem w tej galaktyce, który nie jest dobry nawet z czekoladą.
406:  Imię ojca siostry Fridy to Ariandel.
409:  Powiedziałbym, że pamiętałem, ale wszyscy wiemy, że bym skłamał.
413:  Czaty, czy pamiętacie, co my w ogóle mamy zrobić?
415:  Bo ja nic nie pamiętam.
416:  Uuu, świeci się!
419:  Weźmy, weźmy... Wol mi z tym ohydnym mieczem.
424:  Dlaczego, dlaczego te grzyby się poruszają?
427:  To na pewno nie wróży nic dobrego.
432:  Ile jamników wytoczyło się z budy?
433:  Mikołaju, jak możesz?
435:  Jamnik w budzie?
438:  Nawet nie wiem, co mnie bardziej oburza.
440:  Czy bardziej mnie oburza to, żebyś pakował jamnika do budy, czy też to, że wymagasz od cieśli, żeby stworzył tak długą budę.
453:  Witajcie, witajcie wszyscy dołączający.
456:  Krzysztof błądzi jak zawsze.
457:  Nie mam zielonego pojęcia, co mamy teraz zrobić.
460:  Zielonego pojęcia.
462:  Ostatnio byliśmy tam bardzo, bardzo wysoko.
466:  I teraz będziemy schodzić bardzo, bardzo głęboko.
470:  Badumc.
472:  Co robić?
473:  Progresuj i bij bossów!
474:  Widzę, że rady, świetne rady, trzymają się czatu znakomicie i dzisiaj.
480:  O nie!
481:  O nie!
482:  O nie!
482:  O nie!
487:  To jest anioł.
489:  Nie ufam aniołom.
492:  Z definicji.
494:  Aniołom nie należy ufać.
498:  Bardzo, bardzo niebezpieczna istota to jest.
501:  Ale jest przepiękna.
503:  Wygląda jak z Peksińskiego.
505:  Na prawo od ogniska NPC?
507:  Byliśmy u tego NPC chyba.
508:  Tak mi się wydaje ostatnio.
516:  Dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze.
521:  O, odchodzi.
522:  That ass!
525:  That ass!
527:  Czekolada to jaka gorzka, zawsze gorzka czekolada.
530:  Nie, nie, mleczne czekolady, nie róbcie sobie tego.
533:  Mleczna czekolada, mleczna czekolada to jest coś, co zabija, zabija smak czekolady, moim zdaniem.
546:  Proszę bardzo, jakie uniki!
547:  Nie mam pojęcia, gdzie iść dalej.
557:  Czy ja dobrze widzę, że nie dość, że napierdziela do nas ten Janioł, to my jeszcze będziemy musieli... O, Janioł się wycofuje, świetnie.
566:  To my jeszcze będziemy musieli walczyć z innymi przeciwnikami?
569:  Dobra, o ile pamiętam, o ile pamiętam... O, witamy Nadię Lewi także.
575:  O ile pamiętam, moi drodzy, trzeba zabić takiego strzeżącego Gluta, który odpowiada za regenerację tego Janioła.
592:  Dajcie spokój, dajcie spokój.
594:  Gorzka czekolada ze słonym karmelem to jest najlepsza rzecz, jaka istnieje i jest świetna do whisky.
603:  Udało się.
606:  Przeciwnik!
608:  Nie ma przeciwnika.
609:  Dobrze.
613:  Ale mówcie, co chcecie.
615:  Design tego anioła jest przepiękny.
619:  Jeden jest niżej przy konarach, a drugi jest wyżej od konarów.
627:  To jest, to jest, to jest precyzja, to jest precyzja.
630:  O ile pamiętam, to jest zdanie wewnętrznie sprzeczne, macie rację.
634:  Dobrze, muszę sobie jeszcze zmienić mysz, bo, znaczy nie zmienić mysz, tylko zmienić ustawienia klawiszy, bo byłoby bardzo niedobrze.
639:  Gdzie jest nasza, gdzie jest nasza tarczka?
641:  Jest nasza tarczka.
643:  Od wsi Konary.
645:  Dlaczego, dlaczego anioł do nas strzela, mimo że jesteśmy za murem?
652:  Aaa!
653:  Oszust!
655:  Co za wraży wróg.
659:  Dlaczego tu jest kolejny anioł?
695:  O!
695:  Wiem, kim jesteś.
702:  Świetnie, że wciąż jesteś w jednym kawałku.
726:  Oczywiście, że mamy Chaos Bed Vestiges, ale ostatnio była wielka, ognista kula chaosu, dlatego że ona jeszcze ma taką cudowną właściwość, że zostawia Morze Lawy.
755:  Nie musisz się kłócić z tym kłopotem.
758:  Chciałem tylko coś wam powiedzieć.
762:  Jestem szalony od starego Humpty.
767:  Powinienem zostać spokojny.
768:  Poczekaj.
769:  Zrobię to dla ciebie.
770:  Wchodząc w to miejsce, znajdziesz pozostałe pozostałe pozostałe pozostałe pozostałe pozostałe pozostałe pozostałe pozostałe.
780:  Jest wielka księga w górach gór.
781:  Nie miałem dla niej żadnej używki, więc przepraszałem.
785:  Zostawiłem całą pakietę.
787:  Jeśli będę miał szansę, to bym mógł ją wziąć dla Ciebie.
790:  Ale jeśli to będzie za długo czekać, to nabij ją sam.
795:  Wiem, kim jesteś.
797:  Rzeczywistym żołnierzem.
799:  Tak?
799:  Z wolnym obowiązkiem.
802:  No to zabierz tę księgę.
803:  To tak dobre obowiązki jak każde.
809:  Okej.
811:  Było.
813:  No nie zauważyłem tego paska klątwy, to nie ukrywam, że wtedy bym spierniczał.
818:  Ale tutaj myślisz, że się da wejść na to drzewo?
820:  Na pewno się da wejść na to drzewo, ale tego teraz na pewno nie zrobimy, ponieważ tu jest anioł.
832:  Czemu nie mogę przejść?
833:  Czemu nie mogę tu przejść?
835:  Mogłem tędy przejść, na pewno mogłem tędy przejść.
838:  Na pewno nie jest tak, że czegoś nie zauważam.
841:  Nigdy tak nie było.
849:  Mówicie, że anioły mogą nas przeklnąć.
852:  Co to było?
858:  To niedobrze, że anioły mogą nas przeklnąć.
867:  Oby to było dobre!
881:  CO TO BYŁO?!
884:  FON MI Z TYM!
887:  Dobra, wracamy.
890:  Trzeba w jakieś inne, lepsze miejsce pójść.
898:  Duszyczki.
899:  Dobrze.
907:  Dajcie spokój.
908:  Widzę, że na czatach była informacja, że zostały zakupione Dark Souls przy podpływie streamów.
914:  Widzę, widzę.
915:  Nie zawsze mogę zareagować, ale widzę.
922:  Nie ma to jak użyć najpotężniej... Co to było?
924:  Co to było?
925:  Co to było?
928:  Skąd ta klątwa?
932:  Teraz zauważyłem.
939:  Nemor pisze, że Olga *** jest dobra czekolada, tylko musi mieć temperaturę wrzenia.
944:  Strasznie.
948:  Najpierw zabij anioły, a potem eksploruj.
951:  Dobra, ale teraz czaty na spokojnie.
952:  Jak zabić anioły?
955:  To znaczy, tutaj gdzieś powinien być ten glut.
958:  Tak myślę.
959:  I pytanie gdzie?
963:  Kępka fioletowego mchu.
964:  No wow.
969:  Nie widzę gluta.
971:  Host na wprost na korzeniach.
974:  Oczywiście, że on musi być na korzeniach.
976:  Oczywiście, że on musi być na korzeniach.
978:  Czyli musimy przejść przez to zatrute bagnisko.
982:  Tak, bo tam nie ma korzeni.
985:  Glut jest wysoko po korzeniach i później po dachach.
988:  Wiecie, jak bardzo się to źle skończy?
996:  O, jak wesoło!
1004:  O, jest świetnie.
1005:  Jeszcze widzę, że ktoś się zaskoczył.
1009:  Jakie mam stąd... Co jest?
1015:  Jak mam się tutaj schować?
1019:  Oh boy!
1020:  Oczywiście, że nie te korzenie.
1022:  No naturalnie, że nie te korzenie.
1039:  Boją, boją, boją!
1044:  A!
1047:  Gołem, dołem, w dół wądołem!
1051:  Ten korzeń!
1052:  Dobrze!
1054:  Obrzydliwy wróg!
1058:  Jasne.
1060:  Tu są dachy.
1061:  To dobrze wróży.
1081:  Co?
1081:  Co to?
1083:  Co to ma znaczyć?
1086:  Zostaw mnie!
1087:  Zostaw mnie!
1089:  Dlaczego ona używa mojej magii?
1093:  Tylko ja mogę używać tej magii!
1096:  Jakim prawem?
1111:  O nie.
1114:  O nie.
1118:  Dobra, dobra, dobra, dobra.
1119:  Na nią będzie dobre to.
1122:  O tak.
1123:  Bo ją to staggeruje dodatkowo.
1128:  Co jest?
1130:  Piromanci najpotężniejsi!
1133:  Przestań robić puniki!
1135:  NIEEEE!
1142:  Dowód!
1144:  Dowód!
1145:  Piromancja najpotężniejsza!
1149:  Najpotężniejsza!
1151:  Nie ma, nie ma potężniejszej siły!
1158:  No faktycznie, jeszcze miała chnucik flagellacyjny ta piromantka.
1163:  Pejczykiem nas potraktowała.
1167:  Czyli niestety KMM przegrywa z BDS-em.
1172:  Niedobrze.
1176:  Teraz po prostu biegniemy.
1180:  Po prostu biegniemy.
1196:  Co to jest?
1197:  O nie!
1198:  Nie znam tego!
1202:  Uciekamy.
1205:  Zatrucie, wielkie nieba.
1206:  Oj, niedobrze, niedobrze, niedobrze.
1209:  To jest ta straszna piromantka.
1212:  Come on!
1215:  Aaa...
1224:  Dobra, po kolei.
1226:  One by one.
1235:  Macie rację, grawitacja jest potężniejsza.
1238:  Ale, ale muszę powiedzieć, że te jej zaklęcia, no, no... Nieźle, nieźle.
1243:  Dobra, od razu.
1248:  Ej!
1258:  Czemu?
1258:  Czemu?
1273:  Jak to jest?!
1274:  My się równocześnie uchyliliśmy!
1283:  Okej, to jest sposób na nią.
1287:  Tylko nie może się uchylać.
1301:  Nie!
1316:  Dlaczego jest tak, że jak przeciwnik rzuca dokładnie to zaklęcie, co ja, może się uchylić, a jak ja rzucam to zaklęcie, to nie mogę się uchylić?
1327:  Co jest?
1331:  Co jest?
1334:  To była piromantka ze Strażnicy Żniw.
1338:  Skądkolwiek jest, nienawidzę jej.
1344:  Muszę powiedzieć, że...
1346:  Dobra.
1347:  Zmiana taktyki.
1349:  Zostawiamy piromantkę.
1350:  Trzeba zabić chociaż jednego anioła.
1353:  Bo ja dostanę szału z nimi.
1356:  Bo zanim dolecimy... Świetnie.
1358:  Zanim dolecimy do piromantki... Zanim dolecimy do piromantki, to nas... Nas dojeżdża ten anioł.
1375:  Czemu jest tak, że on ma takiego celu?
1389:  Jezu!
1400:  Dobra, trzeba zabić jej anioła.
1404:  Nie ma, nie ma innego wyjścia.
1411:  Nie ma innego wyjścia.
1413:  Jeszcze jest zatrucie, świetnie.
1419:  Fuck!
1429:  Anioł po dachach, no dobrze.
1430:  O Jezu.
1434:  O Jezu.
1435:  On będzie nas znowu atakował, prawda?
1439:  Tak, a nie chybi tak.
1443:  Dobrze, jesteśmy, jesteśmy.
1445:  Jest!
1447:  Jest!
1448:  Odrażający glut.
1451:  Świetnie.
1452:  Który anioł zginął?
1456:  Okej, ten na środku.
1458:  Czyli tamten wciąż jeszcze jest.
1460:  O...
1467:  Jest okej, jest okej, dobrze.
1471:  Teraz trzeba uważać tylko, żeby tutaj nie spaść.
1475:  Witajcie, witajcie serdecznie przybywający.
1478:  Jesteśmy w najgorszym koszmarze piromanty, to znaczy spotkaliśmy kobietę piromanta, a jak wiadomo, kobiety są lepsze w magii.
1486:  Potwierdzone info.
1488:  Jak się nie zgadzacie z tym, proszę bardzo, Ursula Le Guin.
1494:  Jest dowód.
1501:  Okej.
1503:  Teraz tak.
1504:  Opcje są dwie.
1507:  Opcje są dwie.
1510:  Znaleźć gniazdo do drugiego anioła.
1514:  Albo... Tak, Yennefer z drugiego sezonu Wiedźmina po prostu nie jest maginią.
1519:  To jest proste.
1521:  Yennefer z drugiego sezonu Wiedźmina jest... Jak wiadomo, pachnie betonem i azbestem, a nie bzem i agrestem, więc ewidentnie jest coś nie tak.
1531:  Piromantka się nie respi.
1533:  Wiem, wiem, ale jest bardzo groźna.
1537:  Jest bardzo groźna, ponieważ towarzyszą jej te skundlone, wstrętne psy.
1548:  Oczywiście.
1549:  Oczywiście, że się uchylił.
1568:  Aj se daj, z koła czasu to samo.
1570:  Absolutnie.
1574:  Dobrze.
1588:  Dobrze.
1593:  I teraz nim... O!
1595:  Udało się, wreszcie.
1598:  PRZESTAŃ SIĘ LECZYĆ!
1604:  Teraz się nie udało.
1615:  PRZESTAŃ SIĘ LECZYĆ NATYCHMIAST!
1617:  O nie.
1617:  Nie, nie, nie, nie!
1618:  Manny nie mam!
1620:  Manny nie mam!
1620:  Potężny mag!
1632:  Szyma tak tym napieprza, że to się w głowie nie mieści.
1636:  Dlaczego ja nie mogę tak napieprzać tymi zaklęciami?
1641:  Dlaczego ja tego nie mogę... co?
1648:  Te pościgi, te wybuchy, absolutnie.
1651:  O!
1652:  Jest jeszcze anioł.
1656:  Matka Joanna od aniołów.
1658:  Złe skojarzenia.
1664:  Właśnie.
1665:  Magowie z popielnymi Estusami.
1667:  Loves in 15 healing Estus.
1670:  Otóż to.
1673:  Ale jak wiadomo, magowie są niewyobrażalnie zbalansowani.
1677:  Dobrze, spróbujemy.
1679:  Ja i tak nas zatruję.
1683:  Dobrze, tutaj jeszcze coś jest.
1686:  Coś ewidentnie jeszcze jest, bo tam był przeciwnik.
1695:  Dobra, zatruje nas na pewno.
1698:  Więc użyjmy kępki pioletowego muchu.
1702:  Krzysztof wie.
1703:  Krzysztof wie i umie.
1705:  Aaaah!
1708:  Berserk nie był oglądany.
1710:  Mika się właśnie bije Imperium przeciwko Skavenom.
1712:  To jest jakaś tragedia.
1713:  W sensie, jest ciężko.
1716:  Jeżeli imperialnymi, to polecam rekrutowanie niewyobrażalnej ilości artylerii.
1743:  Won!
1750:  Nie!
1751:  Czemu zawsze oni muszą iść parami?
1760:  To samo było z wilkiem, jak walczyliśmy w zeszłym tygodniu.
1769:  O. I dowód.
1771:  Ja nie mogłem się cofnąć, ona mogła.
1774:  To jest niesamowite.
1776:  Zielonego pojęcia.
1779:  Bitch jest OP, to prawda.
1786:  Dobra, czy jestem w stanie wyeliminować tego anioła, bo on mi bardzo, bardzo przeszkadza.
1793:  BDS-em bardzo ora.
1795:  Ja od razu, jak zobaczyłem biczek, to wiedziałem, że przegram.
1800:  Z knucikiem flagelacyjnym zawsze się przegrywa.
1810:  No nie jest dobrze, nie jest dobrze, powiem wam.
1813:  Tu jeszcze zatrucie.
1817:  Można go zabić, ale trzeba wrócić na korzenie.
1819:  Właśnie na korzeniach już wyeliminowaliśmy jednego z nich.
1827:  NPC przy ognisku ogarnięty.
1830:  Na początku chaty zwrócił uwagę.
1836:  Przy piro... A po piromance da się go zniszczyć.
1839:  No oczywiście, że po piromance.
1842:  Dlaczego mnie to kompletnie nie dziwi?
1847:  Dobra, klucz to jest wyeliminować tych na początku, drobnych, którzy psują mi grę.
1856:  Zeskoczyć z klifu na korzeń.
1861:  Gródka tytanin tu świetnie.
1868:  Okej, przynajmniej tyle.
1877:  Serio?
1885:  Come on!
1888:  Nie, no naprawdę!
1893:  Ja na nią zużywam więcej Estusów niż na bossa.
1920:  O!
1921:  Ciekawe, że Manny nie regeneruje.
1925:  No fascynujące!
1931:  Tak, uzdrawiamy się, a może manę sobie zregenerujesz, co?
1935:  A przepraszam, można w nieskończoność rzucać zaklęcia, nie wiedziałem.
1949:  O, ja o niczym innym nie mówię w Soulsach, niech magowie, niech magowie wszyscy mają dokładnie taką samą magiczną zdolność jak ta piromantka, którą właśnie dojechaliśmy!
1962:  Tak!
1965:  O to tylko proszę, o to tylko proszę, rzucanie zaklęć i możliwość natychmiastowego przewrotu i uskoku po rzuceniu zaklęć, ale tak nanosekundę po!
1977:  Nic więcej!
1979:  Nic więcej mi nie potrzeba!
1984:  Płomienny wachlarz.
1987:  Wachlować się mogę, o, jak cudownie!
1990:  Cóż, za nagroda, za wysiłek, o!
1993:  Tak się bawi, tak się bawi!
1995:  Piro-manta!
1999:  Dajcie spokój.
2001:  Dostajemy bardzo dużo grudek tytanitu.
2005:  Ale teraz najważniejsza rzecz, dojechać korzeń anioła.
2008:  Czemu ja mówię takie rzeczy?
2013:  Czemu ja mówię takie rzeczy?
2015:  Mamy death count dobry, nie pomyliłem się czasem.
2019:  Okej, teraz tak.
2021:  Tutaj jest znowu korzeń.
2024:  Aaa!
2029:  Paweł Pasiałkę chwali It Takes Two, mówicie, że dobre.
2034:  Już mi nie będzie gorąco, jak następną piromantkę gdzieś znajdę.
2037:  To prawda, ty, no.
2038:  To prawda, prawda, prawda.
2039:  Uuu, świeci się!
2042:  Co się świeci?
2042:  Kaptur piromantki pustyni.
2045:  Jestem, jestem spaczony?
2046:  To prawda, jestem nieuchronnie i nieuniknienie spaczony.
2055:  Dobra, moi drodzy.
2056:  Teraz tak.
2057:  Gdzie jest korzeń anioła?
2059:  Ja się pytam.
2061:  Bo ten anioł jest bardzo groźny.
2064:  Papers, please.
2065:  Grałem, grałem.
2066:  Pewnie znakomita rzecz.
2074:  Tędy się nie da przejść.
2076:  Wielka szkoda.
2081:  W dół iść.
2083:  Aha.
2085:  Krzysztof nie wie, jak iść w dół.
2087:  Krzysztof ma mroczne przypuszczenie, że z chwilą, gdy spróbuje zejść w dół, zginie marnie.
2112:  Co tam jest?
2113:  Tam coś jest.
2115:  Tam coś... coś bardzo niebezpiecznego.
2124:  Coś bardzo, bardzo niebezpiecznego tam jest.
2128:  Czemu ja nie widzę tego... Niedobrze.
2142:  Ja wam dam księcia demonów.
2165:  Gdzie nie było tam żadnego popiołu?
2169:  Krzysztofie, skocz na popiół.
2171:  Wszędzie popiół, wszędzie!
2179:  Gdzie wy widzicie popiół?
2181:  Popiół i diament.
2182:  Czemu dzisiaj przypominają mi się same kiepskie filmy?
2193:  Obrzydliwy stwór.
2213:  Obszar niwelujący obrażenia od grawitacji nie istnieje, tak jak z Kaweni.
2221:  Myślę, że będziemy mieli niejedną okazję jeszcze pogadania z tym NPC-em, jeżeli mówicie, że ma jakąś nową ścieżkę dialogową.
2226:  To mi umknęło.
2232:  Trzeba z czubka Konara, mówi Nadia.
2234:  Okej, okej.
2236:  Okej, czady, okej, okej.
2238:  Okej.
2239:  Okej.
2242:  Kto tutaj, ta, ta, ta, kto tutaj, ta, ta, ta, tu, tu, tu, tu, tu, tu?
2248:  Chytrykutas!
2254:  Jeszcze nie mogę w niego wycelować.
2257:  O nie, znowu oni.
2265:  Skaveni istnieją, bo jak nie kto jedną atomówką zniszczy moją całą artylerię.
2271:  Naprawdę użyli atomówki?
2272:  Rzadko kiedy używa atomówki AI.
2281:  Dziękuję hemonnie za, po pierwsze, wspieranie od dwóch miesięcy, a po drugie za życzenia szczęścia przy najbliższym skoku.
2292:  Dobrze, na wszelki wypadek zażyjemy popielny Estus, ponieważ mam bardzo złe, mam bardzo złe przypuszczenia.
2309:  Takiego.
2317:  Oh, tu jesteś.
2348:  Dokładnie w porządku.
2349:  Pamiętasz ten skarb?
2351:  W głębi południa południa?
2352:  Cóż, znalazłem go dla Ciebie.
2357:  Jak obiecałeś.
2358:  O, to był tylko kawałek.
2360:  Potrzebowałem odnieśnika z tamtej starych Nanny.
2363:  Zobacz.
2363:  To twoje.
2364:  Może pomoże ci to twoje słoneczne zadanie.
2373:  O, Sztaba Tytanitu, super.
2375:  Miasto Pierścienia?
2377:  Ja myślałem, że The Ringed City to są Pierścienice Wielkie.
2414:  Wol mi stąd, wol mi stąd!
2419:  Tylnobójca!
2421:  Tylnobójca!
2425:  Wraży tylnobójca!
2431:  Pierścienice wielkie są tuż obok cmentarni zrozmokłych.
2436:  Dwa miesiące ilty, dzięki serdeczne.
2438:  Prawda, jak czas leci, leci.
2440:  Leci prawie tak, jak wielki niedomag z Konara.
2450:  Jak to nie pokazuje wam opcji klip?
2452:  Jak to się dzieje?
2453:  Dlaczego?
2455:  Nie powinno tak być.
2460:  Absolutnie nie powinno tak być.
2463:  Nie sądziłem, że spędzimy tutaj tak dużo czasu.
2473:  Klip czasami jest, czasami nie?
2474:  Okej.
2475:  No, YouTube, standardowa sprawa.
2478:  To tak jak jest z ściganiem za zamieszczeniem jakiegoś trailera.
2483:  Czasem ścigają, czasem nie ścigają!
2489:  Przecież recenzja nie może wykorzystywać trailera.
2493:  Trailer to przecież nie są materiały promocyjne.
2496:  Copyright!
2497:  Chrońmy!
2499:  Chrońmy!
2500:  To jest autor, okej?
2501:  Chrońmy go!
2503:  Chrońmy przed recenzentami!
2505:  Chrońmy autora!
2507:  Biedna multimiliardowa korporacja!
2511:  Chrońmy jej cenny trailer przed spiraceniem!
2518:  Chronimy!
2520:  Jaki to ma sens w ogóle?
2522:  Ile by uprościono w momencie, w którym trailer miałby jakąś, nie wiem, jakiś znacznik, że się da, nie wiem, materiał promocyjny, whatever.
2534:  Biedny Żywiec Strój.
2540:  Biedny Żywiec Strój.
2542:  Powiedział nikt nigdy.
2544:  A nie, przepraszam, Krzysztof Gonciarz mógł to powiedzieć, upolewając nad dealem promocyjnym, który w czasach, w których jeszcze przejmował się plastikiem.
2555:  Dobra.
2557:  Dobra, na poważnie, moi drodzy.
2560:  Gdzie jest ta pieprz... Powiedzcie mi, gdzie tu jest kupa pyłu?
2564:  Tu jest wszędzie kupa pyłu.
2567:  Popił po prawej.
2569:  Dobrze, dobrze, dobrze.
2572:  Dobrze.
2575:  Popiół po prawej!
2578:  Estus!
2578:  Estus!
2578:  Estus!
2579:  Estus!
2583:  Przestań do mnie strzelać!
2587:  Okej, co teraz?
2590:  Czy ja jestem w stanie wyeliminować tego przeciwnika?
2596:  Środek zawalonej wieży.
2603:  To jest zawalona wieża.
2614:  To ja zaraz, ale tutaj coś chodzi.
2618:  Tam, gdzie był napis.
2621:  Mówicie, dobra.
2632:  Okej, jest i korzeń.
2635:  Korzeń w dół, korzeń w dół.
2641:  Jest!
2642:  Jest strąg!
2644:  Przebrzydły strąg!
2646:  Wraży, ohydny, owrzodziały strąg!
2654:  Tak!
2659:  Kto teraz zginął?
2660:  Anioł zginął?
2662:  Tak!
2665:  Świetnie, żar.
2668:  Grosochaty korzeń.
2670:  Dostajemy jakąś absurdalną liczbę tych tytanitów.
2674:  W momencie, w którym są już one kompletnie nieprzydatne, bo pod koniec gry.
2677:  Nie no, żartuję, jakąś sobie bronią ulepszymy dzięki temu, bo inwestujemy wzręczność w te nasze nędzne ochłapy dusz, które zyskujemy.
2684:  Boże, co tu się dzieje, zobaczcie.
2687:  Zobaczcie zanim upadnę.
2693:  Tyle w temacie, skumbrię w to macie, skumbrię w to macie, pstrąg.
2701:  Dobrze.
2703:  Koniec z aniołami, czekamy na miasto.
2705:  Ja właśnie też czekam.
2707:  Dobrze, teraz jeszcze szybka eksploracja tego wszystkiego.
2710:  Jest ładnie.
2711:  Najbardziej mi się podoba ten znak, który jest na niebie.
2715:  Jeszcze parę dni temu pamiętałem, co on oznacza.
2724:  Okej.
2724:  Tutaj coś się świeci na końcu, niedobrze.
