Umieramy w Osadzie Nieumarłych — DARK SOULS 3 livestream #2.1
🔗 https://www.youtube.com/watch?v=Z8HfA5bmjds

3:  We welcomed!
460:  Ha!
460:  Ha!
461:  Ha!
465:  Ten licznik, nie, ten licznik liczy zgony z poprzedniego streama.
468:  Wiecie co?
469:  Ja sobie tak myślę, że to konfunduję, bo może sobie zrobimy tak, żeby ten licznik wyzerować jednak, wiecie co?
475:  Wyzerujemy może ten licznik, no.
477:  Wyzerujemy licznik.
479:  Żeby nie było.
480:  Niech ktoś zapamięta, że było wcześniej 59.
485:  Teraz tak, tylko to działa, dobrze, działa.
488:  Powiedzcie mi, czy się zresetowało na OBS-ie, bo powinno.
492:  Niech spojrzę.
493:  Tak!
495:  Tak!
496:  Działa!
497:  Możemy wracać do umierania.
505:  Czy ja idę w dobrą stronę?
510:  Tak, możemy zrobić, to jest dobry pomysł, od następnego streamu będą dwa liczniki.
514:  Zawróć Giuseppe Stalin!
517:  Zawróć!
518:  Nie wiem, czy ufać Giuseppemu Stalinowi.
521:  Nie no, zobaczymy.
522:  Eksploracja to eksploracja, moi drodzy.
523:  Muszę wiedzieć, co tutaj jest.
529:  Okej, tutaj widzę... A!
533:  Myśmy stąd przyszli.
534:  Ale tutaj, tutaj, tutaj jest coś.
536:  Tu jest coś ciekawego.
539:  Mamy ulepszony płomień piromancji.
542:  Ulepszaliśmy ostatnio.
544:  Mam bardzo złe przeczucia.
552:  A, chodź!
553:  A, chodź!
554:  Chodź!
555:  Chodź, chodź, chodź.
556:  Chodź!
557:  Ciach!
558:  Ciach!
559:  Masz.
560:  Tak to jest, jak się z magiem zadziera.
565:  W kanałach jest skrót.
566:  Dobrze.
568:  To jest... Kochani, to jest typowe, że Krzysztof idzie w jakieś miejsce, gdzie myśli, że był, ale tam... Ale okazuje się, że nie.
576:  Dobra.
579:  Tu się da wejść?
580:  Oczywiście, że się nie da wejść.
581:  Jest wszystko zamknięte.
584:  A tutaj?
585:  Też się nie da wejść, dobrze.
590:  Bardzo czekam na nowego Matrixa.
591:  Ten nowy zwiastun jest znacznie lepszy od poprzedniego.
594:  Poprzedni był tragiczny.
602:  Tu nie byliśmy.
605:  Tu na pewno nie byliśmy, bo widzę, że tutaj się coś... Oho!
608:  Tam jest wariat... Tam jest wariat!
611:  Ognisko!
614:  Ognisko!
616:  Taaaak!
617:  Nie zginęliśmy!
619:  Wspaniale!
620:  Wspaniale!
622:  Doskonale!
623:  Co to jest za ognisko?
625:  Walący się most, okej.
627:  Nie mieliśmy go odkrytego.
629:  Cofnij.
630:  Cofnij.
631:  GG!
632:  Dobra, kochani, to był stream z Dark Souls 3, bardzo dziękuję, nie zginęliśmy ani razu.
641:  Dobrze.
643:  Tam coś było.
645:  Tam coś ewidentnie było, a może mnie się tylko wydawało.
649:  Gdzieś tutaj widziałem... Ach, to jest... Wiem gdzie.
652:  Wiem.
653:  Gdzie oglądałem Magnatów i czarodziejów?
654:  Przeglądałem sobie, bo ciekawy byłem, na czym polega fenomen.
658:  Podobała mi się scena z rzuceniem zaklęcia.
660:  Niespodzianka.
661:  Krzysztofowi podobały się zaklęcia.
663:  Sensacja.
665:  Mówiłem, że to jest wariat.
667:  On ma... On ma piłę.
676:  To jest stanowczo wariant.
689:  Ciach, ciach!
694:  Więc ja, jeżeli chodzi o fantastykę tego rodzaju, mam pewien problem, od razu wam powiem wprost.
700:  To znaczy, był taki moment, że lubiłem na przykład Jakuba Wędrowycza, ale ten moment się już skończył i bardziej sobie cenię fantastykę, która traktuje się na poważnie.
709:  Więc rozumiem fenomen, ale not my cup of tea.
713:  Ale bardzo doceniam produkcję fanowską jako tako, to jest kupa roboty.
717:  O, my cup of tea, jeżeli chcecie wiedzieć, jeżeli chodzi o produkcje fanowskie, to jest na przykład Wader, zrobiony przez kanał Star Wars Theory.
725:  O, jak tutaj dotrzeć?
729:  Pytałem się ostatnio, czy piromantka też ma rogi.
731:  Odpowiedź brzmi tak, pisze Auzerka.
732:  Dobrze wiedzieć.
733:  Czy już umieramy?
734:  Jeszcze nie, Klaro.
738:  Oskar Draus, musisz sobie znagrać Krzysztofę wspaniale.
741:  Pamiętajmy jeszcze dobrze, że jest wersja Ferdinando Rivieri.
748:  Wspaniale!
752:  Mmm... Mam bardzo złe przeczucia względem tego, co tutaj widzę.
758:  Co to było?!
768:  Ale... Piromanto tak pierdzieć publicznie... Ja wiem, że czytamy sztukę pierdzenia na tych streamach, ale mimo wszystko... To jest weapon art.
780:  Haha!
781:  Nie wiedziałem!
782:  Ja nie interesuję tylko zaklęcia!
785:  Co ten weapon oddaje?
787:  Boost do ataku?
787:  Uuu!
789:  Uuu!
790:  Boost do ataku, dobry!
792:  Czyli musimy, czyli musimy popierdywać przed... Wszystko się zgadza!
796:  Belega, we fakt, jest bardzo stary, więc musi popierdywać przed atakiem.
801:  Wszystko jasne.
803:  Dobra.
804:  Eee... Tutaj... Tutaj specjalnie chciałem wyjść po to, żeby znaleźć tą rzecz właśnie.
812:  Tak, ten!
815:  Słyszę jakieś dyszenie.
817:  To niedobrze.
821:  O Boże.
826:  Aaa!
826:  Bunia!
827:  Bunia!
828:  Bunia!
835:  Bunia jest niebezpieczna.
841:  Co to było?
862:  Ja wam dam marnowanie many.
864:  Niedaleko jest ognisko.
869:  Gramy piromantą, nie żadnym miecznikiem.
874:  Co to za elityzm na czatach?
875:  Elityzm miecznikowy.
877:  Nie pochwalam.
880:  To jest bunia... Ostatnio na streamach stwierdziliśmy, że jest nieprawą córą Kartezjusza oraz Buki.
887:  Elden Ring będzie ogrywany.
889:  Właśnie Soulsy są sposobem trenowania do Elden Ringa.
893:  Dlaczego nie możemy wyjść tam, gdzie ja chcę wyjść?
897:  Ewidentnie tam trzeba zeskoczyć, obawiam się.
899:  Chyba że tak, tam trzeba zeskoczyć.
906:  No tośmy zeskoczyli.
912:  Elementy zręcznościowe versus Krzysztof.
920:  Czaty oczywiście wiedziały, że jest bunia na pięterku, naturalnie, że tak.
925:  Dobra, musimy to po prostu przeskoczyć to.
929:  CZEMU NIE... KŁUPIM MYDIROMANTA?!
935:  To potrwa.
937:  Elementy zręcznościowe to jest największy mój przeciwnik po grawitacji.
940:  Grawitacja jest w pierwszej kolejności, elementy zręcznościowe w drugiej kolejności.
945:  Czemu, czemu natomiast nie, nie, nie zadziałała, nie zadziałał skok, to ja nie wiem.
948:  ZADZIAŁAŁ SKOK WRESZCIE!
954:  Czy to naprawdę była zardzewiała moneta?
957:  Czy to naprawdę była zardzew... Dobrze, yyy...
964:  Ja nic nie mówię.
965:  Ja nic nie mówię.
967:  Eksplorujemy dalej.
971:  To jest... To jest przerażające.
972:  Dobrze, kto tam jest?
974:  To są przeciwnicy, z którymi nie jesteśmy sobie w stanie poradzić za mocą prymitywnego oręża.
979:  Czy tutaj coś jest?
980:  Nie ma.
981:  A może jest?
982:  Aaaaaaa!
987:  Proszę bardzo!
990:  Co to była ta zardzewiała moneta, pytacie?
992:  Aż bym ja to wiedział.
995:  Mroczna pieczęć, kula ognia.
998:  Nie ma zardzewiałej monety.
1000:  Nie ma jej nawet w śmieciach.
1009:  To wygląda jak kaptur maga, ale nie jest kapturem maga.
1018:  Witamy M.K.
1019:  Mieczysława, wiekuistego kaszelota Kamila i Unusual Sandbox.
1025:  I Ilt, i Pemona.
1027:  Tak.
1030:  To jest... Kusi mnie ten kapelusz.
1034:  Opis monety.
1035:  Gdzie jest opis monety?
1037:  Mamy też różne spodnie.
1038:  Chyba będzie trzeba się zainteresować tym... Okej.
1042:  Pierścień krwawego ukąszenia nie jest nam potrzebny.
1044:  Sygnet jest... Dobrze, tu mamy wystarczająco dużo rzeczy.
1048:  Moi drodzy, nie ma tutaj żadnej zardzewianej... Jest!
1056:  Nie ma opisu.
1057:  Oświadczam.
1058:  Czemu nie ma opisu?
1062:  Nie ma opisu.
1064:  A to dziwne.
1070:  Dobra.
1072:  Tak sobie myślę, że fajnie byłoby jednak Estus uzupełnić.
1079:  Nie.
1084:  Czemu nas trafiono, skoro... A!
1096:  To jest straszny atak.
1098:  W jaki sposób można unikać takich ataków, jak się jest magiem?
1104:  Przerażające.
1106:  To potrwa.
1109:  To potrwa.
1110:  Pamiętajcie, że mam zupełnie inną klawiszologię.
1114:  Więc te opisy... Muszę sobie przypomnieć, jaki był skrót do opisu, bo nie pamiętam tego.
1119:  A nie!
1120:  Zrobiłem sobie ściągę!
1122:  Zrobiłem sobie ściągę, co jest czym.
1126:  Bo musiałem!
1127:  Witamy Tobiasza!
1131:  I dziękujemy za trybut serdecznie.
1133:  Wszyscy oprócz mnie przedstawili opis.
1135:  Tak na to wygląda.
1136:  Dark Souls 3.
1138:  Moja notatka do Dark Souls 3 brzmi A równa się E, B równa się Q, X równa się R, Y równa się F. Czyli zapewne to było R. Tak!
1152:  Tak, moi drodzy.
1154:  X równa się R. Głupi Krzysztof, no czemu, czemu nie, czemu sobie nie uświadomiłeś, że X równa się R?
1160:  A przepraszam, to dlatego, że Dark Souls 3 w wersji na komputer nie aktualizuje podpowiedzi do sterowania na dole.
1168:  Stara, zardzewiała, miedziana moneta.
1170:  Jej zgniecenie zwiększa częstotliwość znajdywania przedmiotów.
1174:  W zabobon ten wierzą ci, którzy utracili fortunę, mając nadzieję, że odzyskają z nawiązku to, co stracili.
1179:  No x równa się r, no!
1181:  No oczywiście, że x równa się r!
1185:  Tu coś dyszy.
1187:  Co, co?
1188:  Ooo... Co to było?!
1191:  Mówiłem, że coś dyszy!
1198:  Press Y to pay respect.
1200:  Tak.
1201:  Tak.
1202:  Tak.
1203:  No więc czaty, wiecie na przyszłość, jak trzeba będzie pomóc, że X równa się R, to wszystko... To jest nowy przeciwnik, nie znam go.
1212:  Absolutnie mu nie ufam.
1220:  Okej.
1222:  Zobaczymy, jaki ma atak.
1225:  Atakuje sierpem.
1227:  Dobrze.
1228:  Nie jest przerażający.
1236:  Radovid nie żyje od wczoraj, moi drodzy.
1239:  Moneta daje boosta do szczęścia.
1241:  Witamy, żabcie, na herbacenie, słuszna uwaga.
1250:  Dobrze.
1252:  Dobrze, dobrze.
1255:  Kiedy idziesz na maturę z matmy wiedząc, że X równa się R, tak.
1258:  Tak właśnie.
1260:  Klatki.
1262:  My dopiero eksplorujemy, a ja już nie mam w ogóle życia.
1270:  Jezus Maria, co tu się dzieje?
1281:  Dobra.
1282:  O nie.
1292:  Tak, nie narzekajcie.
1294:  Krzysztof paruje.
1295:  Błagam, powiedzcie mi, że niedaleko jest ognisko.
1302:  Czy nie było czasem takiej jednej klatki, która z nami chciała rozmawiać?
1306:  Powiedział absolutnie nikt nigdy.
1311:  Była taka klatka, która chciała z nami rozmawiać, mówię wam.
1314:  Pamiętam!
1315:  Jak to nie mogę otworzyć?
1319:  Blokuję, a nie paruję?
1321:  Niedaleko jest drzewo z bunią.
1322:  Niedaleko jest zupa!
1325:  Niedobrze.
1327:  Uuu!
1331:  W jaki sposób mam?
1338:  Okej.
1340:  Bardzo złe przeczucia.
1341:  Bardzo, bardzo złe przeczucia.
1346:  Tutaj tylko coś na nas czyha, żeby nas zgładzić.
1350:  Mówiłem?
1355:  Mamy dużo przedmiotów, nikt nie chce mówić.
1358:  Musisz tam wskoczyć przed sufit.
1362:  Przez sufit.
1366:  A, tutaj.
1370:  Dlaczego tutaj ktoś mówi...
1378:  Otwórzmy te drzwi na wszelki wypadek, żeby były na później otwarte.
1382:  Okej.
1384:  Ja wychodzę jak komandos z tych lokacji.
1390:  Paweł już od czterech miesięcy wspiera.
1392:  Proszę bardzo Pawle, wspaniała wiadomość.
1394:  Dziękuję Ci serdecznie.
1401:  Wskoczyliśmy przez sufit.
1411:  Jak Krzysztof pamięta, to znaczy, że cud się zdarzył i zwierzęta zaczną mówić.
1415:  Ta zupa odnawia Estus!
1423:  Co za wspaniała rzecz!
1424:  Będziemy tutaj często wracać!
1427:  Chyba, że ta zupa jest jednorazowa.
1431:  Dobra zupa, kińska, ale robiona w Radomiu.
1434:  Tak, tak właśnie.
1435:  Nie no, moi drodzy, nie jest źle.
1438:  Słynne ostatnie słowa.
1439:  Dobra, ale tak serio, to zastanawiam się, gdzie iść teraz, bo nie... O nie, tu jest ten świr.
1460:  Chłopi.
1462:  Raymond kontratakuje.
1465:  Raymond, jak zawsze, niecelny!
1467:  Hahaha!
1469:  Niespodzianka!
1470:  Nowe?
1471:  Nowe?
1472:  Nowe nie znałem!
1473:  Nowe nie znałem!
1479:  O nie... Tu jest niebezpiecznie.
1483:  Tu jest bardzo niebezpiecznie, mówię wam.
1486:  Tu jest bardzo niebezpiecznie, ale i tak tu wskoczę, dzielnie.
1490:  Odłamek Tytanitu!
1494:  Czy myśmy tutaj nie byli?
1496:  Tak, a, zostawiłem to, okej.
1498:  To wiele wyjaśnia.
1499:  Dobra.
1500:  W takim razie wygląda na to, że tę część mamy...
1506:  zwiedzoną chyba, tak mi się wydaje.
1509:  Czy moim zdaniem gry typu Souls uczą cierpliwości?
1512:  Wiecie co, na pewno, to znaczy... czegoś, co się ładnie nazywa zarządzania gniewem, na pewno, ale ja raczej patrzę na... na emocje różne, które są związane z grami wideo, czyli, nie wiem, gniew, złość, frustrację, ale także wzruszenie, upodobanie, miłość, tęsknotę, jak na właśnie przejaw tego i dowód na to, że gry wideo są innym medium niż wszystkie.
1535:  Znaczy, te uczucia są bardzo silne.
1538:  Tutaj powinien być, ale nie ma niestety, ognisko.
1541:  Bardzo chciałem, żeby tutaj było ognisko.
1547:  Dobrze, nie byliśmy jeszcze w tę stronę, ale wpierw ognisko.
1550:  Stanowcze ognisko.
1552:  No nie, no nie, no moi drodzy!
1556:  Moi drodzy!
1558:  Krzysztof pamięta!
1563:  Dobrze.
1566:  Ruszamy w takim razie teraz tam.
1569:  Iść wydać mówicie?
1571:  3000 to mało.
1572:  Potrzebujemy jakichś sześciu, żeby były ze dwa poziomy.
1581:  Krzysztofie, licznik śmierci się zepsuł.
1582:  Minęło 25 minut, a nadal na zero.
1586:  Wiem, że to solsy.
1587:  Kanały swoją drogą, ale bardzo chciałbym pójść w tym kierunku i zobaczyć, co tutaj jest, wiecie, bo ja w ten sposób sobie jestem w stanie jakoś powolutku mapować tę drogę i lepiej ją zapamiętuję.
1600:  Won mi stąd!
1609:  On jest, on jest psychopatą.
1611:  On jest psychopatą.
1613:  Czy nie jesteśmy w stanie zablokować ten atak?
1617:  Tak, ale następnego nie.
1628:  Przypomnijcie mi, żeby następnym razem nie walczyć z nim wręcz.
1640:  To nie jest piła, tylko akordeon.
1647:  Jest i pierwsze F!
1650:  Znaczy, jestem pewien, że da się z nimi jakoś walczyć.
1653:  Nie chcę marnować many, ale z drugiej strony bardziej satysfakcjonujące, zdecydowanie bardziej satysfakcjonujące jest patrzenie, jak on... Naprawdę.
1668:  Okej, może teraz.
1671:  A, już wiem.
1672:  Czyli trzeba mu dać się podniecić i zaatakować.
1677:  Dobra, okej, już mam pomysł.
1683:  Z nim jest coś zdecydowanie nie tak.
1691:  Tak!
1694:  Tak!
1696:  Dobrze.
1698:  Ucieszył się Krzysztof z pokonania jednego.
1701:  Na live u Krzysztofa GG równa się F.
1706:  Licznik nie zadziałał?
1707:  Jak to licznik nie zadziałał?
1708:  Co wy mi mówicie, że licznik nie zadziałał?
1710:  Czemu licznik nie... Licznik mnie zawodzi?
1713:  Jak to się dzieje?
1716:  Aaa, wiem, co się dzieje.
1719:  Wiem, co się dzieje.
1720:  Program się wyłączył.
1722:  To wiele wyjaśnia.
1724:  Dobrze.
1725:  Już powinno działać.
1726:  Czemu mi się wyłączył ten program?
1729:  Tego to ja nie wiem.
1731:  O!
1732:  Działa licznik.
1733:  Dobrze.
1737:  Czy tylko mi się wydaje, czy na twojej playliście na Spotify nie ma muzyki z Soulsów?
1740:  Jeśli są, to proszę o sprostowanie.
1742:  Nie, bo tam jest ambient, wiecie?
1743:  Ja mam na tej playliście tylko rzeczy ambientowe.
1748:  Jeżeli znajdziemy jakiś radosny... Ale była zabawna sytuacja.
1754:  Co to było? !
1774:  Tam coś strzela!
1776:  Przyjaciel, tak, tak!
1785:  Nasz, nasz arcymagos teraz projektuje swoją męskość.
1792:  A i tak zginie za moment.
1793:  Dobra, zawracamy stąd.
1795:  Fajnie, bezpiecznie.
1796:  Można mieć z nim sojusz, mówicie?
1798:  Sądzę o walce wręcz wspieraną magią w stylu Fire Feast.
1802:  Mało spektakularne, ale zawsze to magia, nie?
1806:  Dobra, w takim razie, jeżeli nie możemy tam iść, to idziemy do tych kanałów.
1819:  Nauczyciel piromancji już jest ogarnięty, tak jest.
1824:  Uuu, duży szczur!
1826:  Aaaa!
1831:  Oj, oj, oj, oj, oj.
1840:  Przewaga nad szczurami!
1855:  F dla Skavenów.
1856:  Nie da się ukryć.
1862:  Ale w tych kanałach nic nie ma, ja mam wrażenie, że to jest przejście tylko.
1869:  Tam były kości nieumarłych, które ulepszają estusę, jak je spalić.
1872:  Musicie mówić dokładnie, co to znaczy tam.
1877:  Ponieważ Krzysztof ma trudności z takimi rzeczami.
1879:  Okej.
1886:  A, drzwi w kanałach, ale ja nie mam klucza.
1889:  Klucz do tej furtki w kanałach możesz kupić u starej baby bodajże za 2000 dusz.
1893:  Niech ktoś jeszcze to napisze.
1894:  Krzysztof nigdy tego nie zauważył.
1895:  Zauważyłem.
1897:  Ale gdzie jest stara baba na miłosierdzie bogów?
1904:  Mówicie do mnie dziwne rzeczy.
1908:  Myśmy sprawdzili wszystkie furtki w kanałach i żadna nie działała.
1912:  Tutaj było napisane zamknięte.
1916:  Aaa, w kapliczce jest.
1918:  Dobrze, dobrze.
1921:  To nie jest stara baba!
1924:  To była piękna pani!
1929:  Dobrze to pamiętam.
1930:  Tak, widzicie?
1932:  Tutaj nas na pewno nie było.
1934:  Nigdy nas nie strzela, nikt... Ale tutaj jest rosół.
1937:  Rosół musi zginąć.
1942:  Okej, zanim rosół zginie...
1946:  Szybka walka z wariatem.
1949:  Dobrze.
1950:  O!
1953:  Co to było?!
1957:  Rosół... Rosół ma piłę?!
1966:  Boże drogi, dwa rosoły!
1971:  Niebezpieczeństwo!
1972:  Niebezpieczeństwo!
1980:  No to wskoczą za nami!
1982:  Nigdzie nie jesteśmy bezpieczni!
1999:  Burger czy picka?
2000:  Oczywiście, że burger.
2002:  Niedziela to jest dzień burgera.
2008:  Krzysztof po raz kolejny pamięta.
2010:  Krzysztof, mrugnij trzy razy na wypadek, gdyby ktoś cię podmienił.
2016:  Wariat następny.
2027:  Unik!
2030:  Czemu, czemu nasza broń jest gorsza?
2039:  Tam widzę, że jest jakiś lód radosny.
2045:  Najpierw trzeba dać starej pani popiół, który jest w miejscu pod ostrzałem.
2049:  No to moi drodzy, moi drodzy, niepełne instrukcje.
2055:  Okej, na wszelki wypadek, na wszelki wypadek.
2073:  Aaa!
2074:  Nie ma Estusa!
2075:  Nie ma Estusa, najgorzej.
2076:  R. Kończy się nam Estus.
2089:  Ehh...
2094:  Nikt nie powiedział, że będzie łatwo.
2101:  Pizza burger?
2102:  Mmm... Burger.
2105:  Niedziela, dzień burgera brzmi jak święto, które chcę obchodzić.
2107:  Prawda, Kingo?
2108:  Ja zawsze obchodzę.
2112:  Aaa!
2112:  Wiedziałem!
2114:  Wiedziałem, że tutaj jest jakieś dziadostwo!
2117:  Nie wiedziałem, że są dwa!
2123:  Nęcąca czaszka.
2126:  Powiedzcie mi, że było warto.
2128:  Nie kupiliśmy ulepszonego zaklęcia, ponieważ nie mieliśmy pieniędzy.
2131:  Myślicie, że dlaczego robimy intensywny looting?
2134:  Ulepszone zaklęcie kosztuje coś 3 tysiące.
2136:  Mamy 5 tysięcy, z czego ja bardzo pilnie potrzebuję jeszcze... Okej.
2142:  Czy to jest wróg?
2145:  Czy to jest wróg?
2149:  Nie atakuje nas.
2151:  Może to nie jest wróg?
2152:  Boże, jaki to mięs...
2156:  Hmm... Kolejny z tych niewzględnych, czyż nie?
2160:  Wszyscy wy, bezwzględni, bezwzględni, działają, jak gdybyś miał respekt.
2169:  Hmm, nie ma znaczenia.
2172:  Zbądź moje słowa.
2174:  Jeśli masz jakąś sens, znajdź kwiat, by się w nim pochudnąć.
2178:  Ty, tutaj, w ziemiach holo...
2185:  Jesteś jak błyskawa dziewczyna na przodach.
2188:  Jeśli tak jak inni, będziesz w porządku, żeby grać na zwycięzcę, to idź dalej.
2192:  Spędzaj się poza zniszczoną kościołem.
2197:  Spotkasz się z śmiercią.
2204:  ...i nie będzie ładna.
2207:  Wystarczy śmierci, by ci zostawić zniszczone.
2213:  Czas po czasie.
2219:  Jeśli, jak inni, jesteś chłopcem wystarczającym, żeby grać w mistrza... ...to pójdź dalej.
2226:  Przejdź po drodze do obronnej kościoła.
2232:  Niepotrzebny.
2234:  Cała loryfiu.
2236:  Jak małe maski wstają do wody.
2238:  Jeśli tak jak inni, to będziesz męczył.
2247:  Dobra, to już było.
2249:  Już nauczyłem się, że... Przeczytałem, jest ognisko.
2252:  Gdzie jest ognisko?
2259:  Okej.
2259:  Tutaj też pewnie nie możemy wejść, oczywiście, dobra.
2263:  A, to są te drzwi, o których mówiliście.
2265:  To, to bardzo, bardzo źle.
2269:  To bardzo źle wygląda.
2270:  Nie wiem, dlaczego jest taki szum co jakiś czas w tym miejscu.
2273:  Dziwna sprawa.
2274:  Nie!
2280:  A nie, jak jest ognisko za paskudną śmiercią, to my się tam na razie nie wybieramy.
2287:  Dobra.
2288:  Tutaj jest jedna rzecz, którą pominąłem.
2293:  Ehm, śmieci.
2297:  Dobra, czy tu coś jest jeszcze?
2301:  Ewidentnie, ale na razie nie mam... Nie mam odwagi, by tam iść.
2307:  Dobra.
2310:  Niepokoi mnie tylko to, że mamy bardzo mało Estusa.
2314:  Mówicie, żeby iść do kościółka, dobrze.
2318:  Dobrze, pójdziemy.
2319:  Tam jest... Ach, tam jest ten łucznik.
2322:  Niebezpieczna sprawa.
2323:  Czym jestem rozmazany na kamerce?
2324:  Czekajcie, bardzo możliwe, że to jest kwestia autofocusa.
