🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
699:  Ooo, gratulacje!
703:  Ale Arroro, ja mam nadzieję, to jest bardzo ważne, o co cię teraz spytam, mam nadzieję, że prowadzisz te lekcje w budynku,
711:  który ma tabliczkę czerwoną z napisem szkoła lub uniwersytet.
715:  Bo jeśli nie, to muszę cię zmartwić.
717:  Taka edukacja nie istnieje.
725:  Otóż jesteśmy w szybie wentylacyjnym.
727:  Czy użyjemy drabiny?
733:  Krzysztonow pisze, że od czwartku ma nową pracę.
735:  Zacząłem ją trzydniową imprezą integracyjną w Szczyrku.
737:  Jak może być lepiej?
739:  To jest zaiste dobry zwiastun.
742:  Czy ja naprawdę spadłem tutaj na sam dół po to, żeby dostać nędzną liczbę 615 kredytów?
749:  Moja mama zawsze mówi, pisze Pusia, pada sobie deszczyk równo, raz na kamień, raz na gówno.
756:  Ale to jest bardzo prawdziwe.
761:  Aurora pisze, że zajęcia są zdalne.
771:  To nie jest edukacja.
774:  Tak się nie da uczyć.
776:  To jest niemożliwe.
782:  Uzależniasz ludzi.
784:  Od ekranów?
788:  Kineskopów?
790:  Od internetu?
793:  Może jeszcze od kamer migrowonów?
795:  Od czego jeszcze chcesz uzależnić ludzi?
804:  Nie wiem.
805:  Nie wiem, co się z wami dzieje, naprawdę.
808:  Laura pisze, że choinka ubrana można wejść w grudniową aurę.
810:  Aaaa!
814:  Aaaa!
815:  Krzysztof Ma!
820:  To jest jedyna choinka, którą planuję, a ona się pojawiła tutaj wyłącznie z uwagi na Jan Mikołajki.
829:  Ojejż, edukacja też sprzyja tyciu, absolutnie, pamiętajmy o tym.
832:  Że edukacja zdalna sprawia, że wszyscy tyjemy.
836:  Ja, wedle tej teorii, powinienem ważyć już 350 kilo, ale okej, żebym nie powiedział tego w złą godzinę, ponieważ przy mojej chorobie się puchnie.
844:  I to nie jest dobra informacja.
847:  Sarif Industries.
848:  Ochroniarz Sarif.
849:  Ech.
856:  Szef jest u nas na chacie?
858:  Skumbrię w tomacie, dlaczego?
861:  Nie macie wrażenia, że to jest bardzo dużo ochrony?
863:  Heleno, dzięki za wsparcie dziewięciu miesięcy już tak długo?
866:  Szartujesz.
868:  Niech będzie podpalał na wieki wieków spaczeń.
870:  Chwała Jamnikowi, to prawda.
872:  Zaraz, zaraz, zaraz, zaraz, zaraz.
875:  My jesteśmy w naszym apartamentowcu.
879:  Ja byłem przekonany...
881:  Ja byłem przekonany, że jesteśmy w budynku Surf Industries.
886:  Stachu pisze, że wrócił do Lola, bo piękne jest to uniwersum.
890:  Trawestując Piłsudskiego, uniwersum piękne, tylko ludzie... Nie wiadomo, Pol Poliko, co to jest, niestety.
902:  Jestem cały czas w trakcie diagnostyki.
905:  Czy mam jakiś sposób nauczenia się na pamięć wierszy z XVII wieku?
910:  Ja bym wstawiał przekleństwa, na przykład, albo bym starał się je śpiewać na melodie z prośnych piosenek ludowych.
922:  Krzysztof, daj mi bana, bo chcę zobaczyć, jakie to jest uczucie.
924:  Do tego musiałbym zminimalizować Deus Ex Human Revolution, przełączyć się do drugiego okna, a to jest poświęcenie, na które nie jestem gotów.
933:  No tak, ewidentnie, David Sarif... What the actual fuck? !
942:  Co to było?
947:  Ta winda jest dwustronna.
948:  Czy widziałem Whispering Star?
951:  Nie, nie widziałem jeszcze.
954:  Przypomniałeś mi przy Jan Guzek o tym, jak wykładowca podczas zdalnego egzaminu stwierdził, że jak ktoś kamerki nie ma, to trudno, a jak się skapnie, że ktoś ściągnie, to... Tak się skapnął, że 80% osób zdało.
968:  Muszę zrobić wreszcie ten film o ściąganiu, ale wpierw będzie vlog.
972:  wspierający vlog.
974:  To ostatnio było za dużo rantów.
976:  Jeżeli uzależnia się od kineskopów, to już jest klasyk.
978:  Historia dojrzała i niosąca prawdziwe wartości, jak każda stara rzecz.
981:  Faktycznie.
982:  Teraz należy uzależniać się wyłącznie od telewizorów z płaskim ekranem.
986:  Jak ktoś wczoraj bardzo rezolutnie powiedział na naszym Steamie, który wyjątkowo dotyczył Stanleya Parable, moi drodzy.
993:  Ha, ha, ha.
996:  Telewizory z dużą dupą miały głębie.
999:  Nie to, co płaskie ekrany.
1000:  W płaskich ekranach nie ma głębi.
1004:  Witaj w domu, panie Jensen.
1005:  Masz nowe wiadomości.
1006:  Wydaje się, że to nie wszystko, co mam.
1007:  Zostaw się w domu, szefie.
1008:  Jest tam cholera, Adam.
1009:  Widziałeś wiadomości?
1034:  Pycus mówił wszystkim, że zbieramy super żołnierzy.
1037:  Taggert jest teraz w Centrum Konfesjonalnym, prosząc UN o odwiedzenie.
1041:  Czy to prawda?
1043:  Oczywiście nie!
1045:  Oprócz Tyfuna, prawda?
1050:  I niektórych z tych kontraktów defensywnych?
1054:  Co?
1055:  O, i nie zapomnijmy o tym, że Meagans zespoł został zablokowany, przed tym jak poszło publiczne informacje.
1060:  Jak to wyjaśnić, boss?
1062:  Chciałem, żeby ludzie widzieli tą naukę.
1066:  Megan była na brzegu czegoś historycznego.
1068:  Czegoś, co skomplikowało tą firmę do góry Fortune 500.
1071:  Jej zabójcy wiedzieli o tym.
1073:  Wiedzieli dokładnie, gdzie nasza nauka przejechała.
1078:  A oni nie pozwalali nikomu innemu mieć tak wiele siły.
1082:  Ktoś innym?
1084:  Eliza miała rację.
1085:  Ty wiesz więcej, niż mi się dowiedziałeś.
1087:  Zastanawiałem się.
1090:  Ale te ludzie?
1091:  Są jak duchy.
1092:  Zawsze w tłuszczach.
1094:  Zawsze schowują się za kłamstwami i proksami.
1099:  Kto są oni?
1100:  Nazwa nie oznacza wiele.
1101:  Używają tego, co w ich interesach.
1104:  Czasami to maso.
1105:  Czasami to grupa Bilderberg.
1107:  Wszyscy korporacje, organizacje, czy inicjatywy rządowe definiują moderną społeczność.
1112:  Mówisz o...
1115:  Illuminati?
1116:  To nie żart.
1117:  Organizują i operują na i obok społeczeństwa.
1123:  Serio?
1123:  Więc dlaczego Illuminati zablokowały Magę z drużyny?
1128:  Już ci powiedziałem.
1130:  Megan znalazła sposób, by ułatwić augmentację dla nas wszystkich.
1133:  Abyśmy wszyscy byli jak ty.
1135:  Jak ja?
1135:  Jak... Ty jesteś.
1135:  Więcej niż człowiek.
1144:  Musimy go odnieść, Adam.
1144:  Powiedziałeś, że Taggert mówi w Centrum Konwencji?
1149:  Chłopak nawet wysłał mi zaproszenie.
1153:  Zajdź do Sandovala, jest głęboko w tym.
1155:  Nie wiem, gdzie jest Sandoval, ale Taggert będzie.
1161:  Adam, musisz to zrozumieć.
1163:  Nie wiemy, czy Taggert jest w tym zaangażowany.
1167:  I nie możemy zapewnić sobie kolejnego krzycza w twarz.
1170:  Ufam ci w tym.
1177:  Boże, jaka ta muzyka jest piękna.
1181:  Dżib, witamy w gronie Trybutariuszy!
1183:  Czemu nie ma jamnika na powitanie nowego Trybutariusza?
1186:  Powinno się zajamniczyć na czatach!
1189:  Nóże zajamniczać czaty!
1192:  I dziękuję bardzo Julce Opaczewskiej za trybut.
1194:  Nie wiem dlaczego Julka stwierdziła, co zresztą rezultatnie wampir potwierdza na czatach, że rozszlocha się trybutując.
1203:  Nie.
1205:  Nie będziemy oglądać telewizji.
1206:  Julko, czemu szlochasz trybutując?
1208:  Czy szlochasz ze względu na to, że ta muzyka jest tak wzruszająca, że budzi to aż łzy goryczy w twoich trzewiach?
1221:  Dlatego też
1222:  ze specjalną dedykacją dla Julki, żeby nie smuciła się, trybutując, zegary dla zaawansowanych.
1230:  Tak zwany słoniowy zegar Al Jazariego, wynaleziony w 1206 roku, był nie tylko pierwszym egzemplarzem zasilanego wodą zegara,
1239:  zdolnego precyzyjnie odzwierciedlać godziny składające się na dobę.
1243:  Dziękujemy, dziękujemy autorze anonimowy tej książki.
1246:  Myśleliśmy, że godziny składają się na, no nie wiem, na przykład zupę dyniową.
1251:  Lecz również jako pierwszy zawierał elementy ozdobne właściwe automatom zegarowym.
1256:  Świerkającego ptaka,
1259:  That's what she said.
1260:  I człowieka uderzającego w cymbał.
1263:  That's what she said.
1265:  Ustalona długość godziny mogła być programowana przez manipulowanie mechanizmem.
1269:  That's what she said.
1270:  Późniejsze wynalazki Al Jazariego mające początek w jego zasilanych wodą automatach.
1274:  Patrzcie, jaka kunsztowna synonimia.
1278:  Nie chciał użyć powtórzenia zegar, więc powiedział automat.
1282:  Lepsza synonimia.
1284:  to byłoby automat odmierzający czas, a najlepsza synonimia, automat odmierzający czas w ramach godzin składających się na dobę.
1296:  Swoją drogą, zawsze mnie bawiło, jak w szkolnictwie mówiono, że powtórzenia są złe, po czym analizuje się wiersz i o, repetycja, o, repryza, o, paralelizm, o, rrrrm, albo w filozofii i w teorii literatury to nie jest powtórzenie, to jest powtórzenie retoryczne, ono jest znaczące.
1331:  Tak.
1331:  Cudowne.
1334:  A zatem.
1335:  Opisane w księdze wiedzy o przemyślnych urządzeniach mechanicznych to m.in.
1339:  zegar zamkowy, mechanizm uważany przez wielu uczonych za pierwszy w historii programowalny mechaniczny, czyli analogowy system komputerowy, który poza ukazywaniem upływu czasu wyznaczał znaki Zodiaku.
1348:  Oooo!
1349:  Edyta Górniak zachwycona orbity Słońca oraz Księżyca.
1355:  Gorzej jak rrrr, ktoś wymawia jak ch?
1358:  No faktycznie, bo wtedy bym mógł powiedzieć Hadek Hak, ale fun fact, Hadek Hak jest nieobecny w portalu Culture.pl tak samo jak Radek Rak.
1369:  Już wiemy, kto jest założycielem Al Jazeery, Al Jazeeri, absolutnie.
1373:  O Jezu, też myślałem o tym, że w wierszu zmienia na kolejne słowa, w zeszycie nie można.
1377:  No tak, bo to jest bardzo zabawne.
1379:  Tak samo jak nie potrafi się ludziom powiedzieć, jak używać przecinków i się błędnie mówi, że przecinek stawia się przed że, po czym ludzie piszą mi w pracach dyplomowych mimo przecinek że.
1391:  A przecinek stawia się wtedy, kiedy w następnym zdaniu jest czasownik.
1395:  Jak mawiają matematycy wtedy i tylko wtedy.
1402:  Wielka Tama błogosławi ogrywanie grywalnej gry, pisze arcykapłan Dzikich Bobrów, wspierający nas od pięciu miesięcy.
1409:  Dziękujemy ci, arcykapłanie, za pozdrowienia.
1411:  Niech woda będzie wiecznie powstrzymywana przez Twe Tamy.
1417:  Tłumaczenia magów prochowych nie da się czytać, jak w każdym zdaniu masz imię jak podmiot.
1421:  Chyba później się zmienił tłumacz na Krzysztofa Sokołowskiego, jest znacznie lepiej.
1425:  Krzysztof Sokołowski swoją drogą tłumaczył także peryferala.
1432:  Naprawdę tak jest z przecinkami.
1434:  Tak, po to są przecinki, żeby oddzielać od siebie tak zwane okresy wypowiedzeniowe, a okres wypowiedzeniowy to jest całość z zdania, którego rdzenną częścią jest orzeczenie, czyli czasownik.
1445:  Więc jeżeli są formy czasownikowe, to się daje przecinek.
1447:  I daje się też w wyliczeniach.
1449:  W zasadzie tyle.
1450:  To są dwie reguły, które trzeba zapamiętać.
1452:  Przecinek, że co, tak?
1453:  Więc nie wiem...
1461:  Mimo, że gram w Deus Extrema Revolution, cały czas myślę o nowym dodatku do Elden Ringa, to przecinek postawię cały czas, prawda?
1469:  Mimo, że... To nie jest, że, więc przed tym nie należy stawiać przecinka.
1473:  Jak ja mam stąd wyjść?
1476:  Przepraszam, jak ja mam stąd wyjść?
1478:  Bo ja jestem znowu... Gdzie byłem?
1481:  Co?
1483:  Zgubiłem się.
1486:  Okres wypo... Nie no, ja się naprawdę zgubiłem.
1491:  Jak stąd wyjść?
1496:  Tak, mimo że to wyjątek.
1497:  Właśnie bardzo lubię, jak wpierw wprowadza się durną regułę, a potem wprowadza się 15 bombilionów reguł, które są wyjątkami.
1506:  Fantastyczne.
1511:  Muszę zrobić shorta na ten temat.
1515:  albo że przecinek nie staje się przed i, bo to łącznik.
1517:  Tak, na przykład w wyliczeniu nie lubię i klasistów, i snobów, i za każdym razem będzie przecinek.
1523:  Zresztą przecinek będzie przed i także wtedy, kiedy wymaga tego składnia, no bo jeżeli zdanie jest kontynuowane i przed nim jest przecinek, no to musi być przed i wtedy.
1534:  Co to za budynek jest?
1535:  To jest budynek, który jest apartamentowcem.
1541:  Aaa, ja wszedłem do złej windy.
1544:  To się dzieje często.
1545:  Którą książkę z serii Artefakty polecam najmniej?
1549:  Trudno mi powiedzieć.
1556:  Jeszcze chyba żadnej takiej, której bym nie polecał, nie mam u siebie.
1562:  Tutorial interpunkcji nieironicznie się przyda?
1566:  Dobrze.
1567:  Będę musiał sobie tylko odświeżyć notatki z gramatyki opisowej, bo to jest jedna jedyna rzecz, której zostałem dobrze nauczony.
1575:  Zamknij się!
1579:  Której zostałem dobrze nauczony na polonistyce z tego względu, że odpowiedzialnym był za to stary odchodzący na emeryturę profesor, który jeszcze nie został przeprany mózgowo przez nowy system edukacji, pamiętam jeszcze stary.
1592:  Ogólnoświatowe protesty przeciw ulepszeniom.
1594:  W dzisiejszej nocy w Ameryce Północnej, Europie, Afryce i na Bliskim Wschodzie protestujący zbierają się, by wyrazić sprzeciw w sprawie... Nie.
1602:  Niestety.
1603:  Nieunormowanych prawnie badań nad wspomaganiem ludzkiego ciała.
1606:  W wielu miejscach zapłonęły już samochody i rozpoczęło się rabowanie sklepów.
1610:  Detroit.
1612:  Detroit przed wami, które never changes.
1614:  Apogeum przemocy.
1616:  Fun fact.
1617:  Antonimem do apogeum jest perigeum.
1620:  Apogeum przemocy nastąpiło w momencie, gdy pokazano nagranie z satelity, na którym grupa niezidentyfikowanych naukowców przeprowadza przypominające wiwisekcje eksperymenty na tzw.
1629:  wspomaganych superżołnierzach.
1631:  Materiał wywołał jednogłośne oburzenie społeczności międzynarodowej.
1636:  W Detroit duży tłum jednogłośnie zawsze będzie mi się kojarzyć z Zapytaj Beczkę.
1640:  Jaka szkoda, że Gonciarz nie robi Zapytaj Beczkę, tylko robi artystyczny content.
1647:  W Detroit duży tłum zebrał się pod siedzibą Serif Industries.
1649:  Szeregi protestujących zostały zasilone przez wiersze protestujących, nie, przepraszam, przez tych, którzy wysłuchali wcześniej antywspomaganiowej przemowy Billa Tagata w centrum kongresowym Malinisa, by przywrócić porządek na miejsce wezwaną silnie uzbrojone oddziały policji.
1666:  Achetyści przeciw przemocy organizują koncert dla pokoju.
1671:  Achetyści przeciw przemocy, na przykład Andrzej Stasiuk, który już nie uderza kamieniami w wagony, ani nie dręczy zwierząt, aż zaczną gasnąć im oczy.
1683:  Nie, on teraz tego bardzo żałuje i dlatego może o tym mówić publicznie.
1688:  Także wielu innych artystów się przyłączyło do tych protestów.
1693:  Ogłosili oni wspólnie, że koncert dobochoczynny będzie zorganizowany.
1698:  Otóż wydarzenie ma odbyć się w Trinity Theater w Los Angeles, a wszystkie wpływy zostaną przekazane inicjatywie Odzyskać.
1710:  Nasze, bo nie wasze miasto.
1714:  Udział w koncercie potwierdziła Niasza Akim i grupa rockowa The Seventh Day Syndicate.
1720:  A tymczasem Pepe Uszko wsparł dziesięciu szczęśliwców, bo jest Jan Nikołajem.
1726:  I ja muszę teraz przyprzełączyć na inne okno.
1728:  Karol Korol otrzymał wsparcie.
1730:  Krzysztof B. Rafał Kokowski.
1732:  Sebomaster.
1733:  Bierny obserwator.
1734:  Paula J. Antoni Grela.
1737:  Doze of Harmony.
1738:  Jako i Ultra Żaba.
1741:  Witamy w gronie trybutariuszy wszystkich i dziękujemy Jan Nikołajowi za bycie Jan Nikołajem.
1747:  Czy możemy się tu włamać?
1749:  Aaaa... Aaaa... Piękności, piękności...
1766:  Czy możemy się tu włamać?
1769:  Adam Jensen może kłamać.
1772:  Lecimy.
1777:  Łatwo!
1779:  Kinga mówi, że niestety nie wyśle jamnika z piłką, bo nie potrafi korzystać z Discorda, ale przypadkiem trafia na kanał fabularny o jamnikach.
1785:  Ach, Kruzodedakshund znany!
1788:  Pepeuszko dalej szaleje!
1790:  Kupson27!
1791:  Desjani!
1791:  Bartosz!
1792:  Rrrrr!
1795:  Mavarro, Szalony Szkodnik, Barczyński T, Eryk, Kuba Świątkowski, Simon oraz No One dołączyli dzięki Jan Nikołajowi Pepeuszko do grona trybutariuszy.
1808:  Część z nich wcześniej już była trybutariuszami.
1811:  Te emocje!
1815:  A. I dzięki temu możemy poczytać o lustrze w naszym apartamencie.
1819:  Yyy...
1835:  Yyy... Czemu oni wszyscy się dziwnie kulą?
1840:  Ale widzicie, widzicie już dlaczego się ludzie śmiali z CD Projektu Red?
1845:  Widzicie już dlaczego ludzie się śmiali z CD Projektu Red?
1847:  Ta gra jest z 2011 roku!
1848:  Ludzie w 2011 roku tak reagowali!
1851:  Nie w 2020 ani na pewno nie w 2077!
1851:  Ukrywają się przed zamieszkami, tak.
1867:  No proszę.
1869:  Policja.
1875:  Ależ oczywiście, że pierwszy został aresztowany czarnoskóry.
1878:  Jak się cieszę, jak się cieszę, że ta gra jest realistyczna.
1884:  Co tutaj jest?
1886:  Wiecie co, bo ja nie wiem.
1889:  To powinien być tytuł tego kanału.
1893:  Mianowicie, ja nie wiem, czy tutaj się przypadkiem coś nowego nie pootwierało.
1903:  Zobaczcie, zaraz ktoś to sklipuje i któryś z moich szlachetnych krytyków powie... O!
1911:  Przyznał się, że nic nie wie!
1914:  Przyznał się!
1917:  Tak będzie, zobaczycie.
1920:  Ale to jest, w sumie to jest zabawne bardzo, znaczy mnie to pochlebia, że jak dotąd wyłączne napastliwe, a jadowite krytyki mych słów dochodziły albo ze strony osób, które nie wiedzą, o czym mówią, albo takich, które są, no delikatnie rzecz ujmując, niespełna rozumu i potrzebują pilnej pomocy psychiatrycznej.
1939:  Ja się tam cieszę, nie?
1941:  Bo jeżeli by się pojawił ktoś poważny, to by trzeba było podyskutować.
1945:  Powinieneś robić gameplay na nowym kanale, nie pamiętam.
1948:  To prawda, to prawda.
1951:  Monix chciałaby pozdrowić sąsiadów Krzysztofa.
1953:  Niestety jest na tyle dobrze wytłumione, że nawet jak wrzasnę, to powinni mnie nie usłyszeć.
1960:  Dlaczego, dlaczego tu jest skrót?
1962:  Popatrzcie, trzy słowa, od razu widać, że jesteśmy w Ameryce.
1965:  Trzy słowa, z czego dwa akronimy.
1968:  No przepraszam, co to znaczy?
1970:  Gd River?
1972:  Gdańsk River?
1973:  Gdynia River?
1974:  A co to jest Rd?
1976:  R do potęgi D?
1978:  R do dupy?
1979:  Nie wiem.
1981:  Co sądzisz o świecie stworzonym przez Jacka Piekary w cyklu Young Fizzy?
1983:  To dostrzegać jakieś poważne problemy?
1985:  Nie, w świecie nie.
1986:  Świat Jacka Piekary bardzo lubię.
1987:  Jest przeciekawy.
1989:  Natomiast nie, nie, bardzo mam duże zastrzeżenia do jego narracji.
1993:  To jest road?
1994:  Naprawdę?
1997:  Road?
1999:  Grand River Road?
2001:  Okej.
2004:  Okej, w życiu bym nie... W życiu bym nie przypuszczał.
2008:  Znaczy, pamiętam, że ja byłem w Stanach, to mój mózg zagotował się, jak zobaczyłem... Jak to brzmiało dokładnie?
2023:  Bo nie Passengers... O, już wiem!
2027:  P. Dians Ksing.
2033:  P-Dians Ksing.
2039:  Ja bardzo długo się w to wpatrywałem.
2043:  Ksing.
2045:  Nie wiem, może to jest jakiś Xiaoping, tak?
2048:  Albo inny dyktator, nie mam pojęcia.
2052:  No i pytam mojego kumpla obok mnie, dude, co to znaczy, nie?
2057:  I on mi mówi na to, a, Pedestrian's Crossing.
2068:  Tak, Pedestrian's Crossing.
2071:  No przecież litości!
2073:  Pdiansksing, no!
2076:  To nie było w chińskiej dzielnicy!
2079:  No przecież jak tak można?
2080:  I najlepsze jest to, że Amerykanie mają jakiś przepis, który mówi o tym, że musi być napis, nie może być tylko obrazka, bo jak będzie tylko obrazek, to Amerykanie mogą nie zrozumieć.
2094:  No dobrze, moi drodzy, no to tutaj, jeżeli wszystko jest... Aaa, wiem, czego nie zwiedziliśmy jeszcze.
2108:  Dalej jest zamknięte.
2116:  Jesteśmy w telewizji!
2121:  Czy oglądam streamy, żeby przypomnieć sobie fabułę gier?
2123:  Nie, ale co ciekawe, cytuję streamy w publikacjach.
2128:  Aha!
2129:  Nie jesteście bezpieczni!
2131:  To jest bardzo fajne, mam dzięki temu zapis rozgrywki.
2136:  Mało brakowało, pisze Coltis1, wspierając od 13 miesięcy, biliśmy się o nasze Shengong Wu.
2144:  Bilibyśmy się o nasze Shengong Wu.
2147:  Nie mam zielonego pojęcia, o czym mówisz, Coltis.
2150:  Tymczasem w polskich autobusach można znaleźć napisy halt na przycisku, naprawdę.
2158:  O. Proszę bardzo.
2159:  Kogo aresztuje policja w pierwszej kolejności?
2162:  Naturalnie, że padnie na punk'a.
2164:  No naturalna sprawa.
2165:  A proszę bardzo, tutaj jakiś piękny, piękny aryjski młodzian, adekwatny kolor skóry, adekwatny strój i jest bezpieczny.
2174:  Nie zostanie aresztowany.
2179:  Jefferson.
2181:  A to, to czym, to tym, to tym razem co to jest?
2183:  Drowd?
2188:  Co to znaczy?
2189:  Jakie DR?
2190:  Czy może doktor Jefferson?
