🔴 Strategiczna środa — THE ALTERS oraz MECHABELLUM Livestream
🔗 https://www.youtube.com/watch?v=R_tSku77Wq8

201:  Dzięki.
650:  I Erardy, i Marcin Gałązka, wszyscy, którzy się wybierają na Pyrkon, już mają dość ogłoszeń Pyrkonowych, mają dawno kupione bilety, ale dla tych, którzy się nie wybierają na Pyrkon, informacja, że wciąż można kupić jemnicze bilety, ale oprócz tego, moi drodzy, jeszcze druga informacja i oficjalna zapowiedź, nie było jej jeszcze wcześniej, a ja się cieszę, że cały czas jest bit, ponieważ jest sympatycznie, a mianowicie może i nie będzie...
672:  standardowych naszych streamów w sobotę i w niedzielę, ale to nie oznacza, że nie będzie niestandardowego streamu.
677:  Wy sobie myślicie, że dzisiaj szesnasta godzina, to jest wczesna godzina streamu.
681:  Pa!
681:  Nic nie wiecie.
682:  Będzie godzinie dwunastej.
691:  12.00 w południe w niedzielę.
695:  Będzie, moi drodzy, Game Days Show na Pyrkonie.
699:  Ja będę współprowadził tenże Game Days Show razem z Dominikiem Bossem.
704:  któremu, jak wiecie, kanał zawdzięcza bardzo dużo na początku.
707:  Dominik, dla tych, którzy nie pamiętają, mnóstwo osób zachęcił do tego, żeby tutaj przeszli.
713:  Zrajdował nas na streamie z Warhammera, 40 tysięcy mechanikus.
717:  Powiedzmy, to będzie ten moment, kiedy uniwersa się przeniknął, ale ja nie wymyśliłem tej godziny, okej?
723:  To organizatorzy wymyślili.
726:  Więc o godzinie 12 będzie zapis streamu też.
728:  Oczywiście też wszystko będzie leciało równolegle w Twitchu u Dominika.
732:  Natomiast YouTubowo my obstawiamy wszystko.
735:  Więc to nie będzie w nocy, to będzie rano.
738:  O 12 rano.
740:  Wyobraźcie sobie, jak ja będę zmęczony.
743:  Prawdopodobnie to będzie najgorszy mój poranek ever, to znaczy ja nie jestem w stanie prowadzić wtedy kompetentnie rzeczy.
752:  No zobaczymy, moi drodzy.
753:  Wpuszczam muzykę z V-Alters.
757:  Mówiłem, że będzie magentowo.
758:  Jestem niezadowolony, bo jestem niedopasowany do tego odcienia magenty tylko, jak widzę.
764:  Krzysztof będzie w piżamie.
765:  Ej, to jest super pomysł!
768:  Mam analogiczną bluzę jak ta, tylko że ona jest czarna i ona wygląda jak piżama.
773:  Jest to genialny pomysł.
777:  Potrzeba potwierdzenia naukowego autorytetu w sprawie jamniczej terminologii wszelakiej.
780:  Czy owca to wełniany jamnik?
782:  Owca jest za gruba, żeby być jamnikiem.
784:  Jamnik, gdyby był tak tłusty jak owca, to by się przekolewał na grzbiet.
789:  Mówię, ale to jest to dziwna gierka po przejściu tematu.
791:  Zobaczymy, jak ją skomentujesz, pisze Wiziek.
793:  Wszystko już, wszystko, wszystko już wiecie, to po co ja odpalam stream?
799:  To był dziwny dźwięk.
802:  Settings, grafika.
804:  Zobaczcie, czy wszystko jest OK.
805:  Motion Blur Off, to jest najważniejsze.
808:  Upscanning Ultra, wszystko jest OK.
811:  Keybindings.
814:  Można zmieniać, no nie wierzę.
815:  Control, interakcja, E, dobrze.
820:  To już dziwne.
822:  Hub, mapa.
827:  Naprawdę?
828:  Shift dla windy?
831:  Shift dla windy.
834:  Trzeci sezon Vox Machina wchodzi w tym lokalu.
836:  Ja wiem nawet kiedy, w październiku.
839:  Czy biedne otyłe jamniki tracą kartę jamnika?
841:  Ludonardis, to nie o to chodzi.
843:  Biedne otyłe jamniki są biedne i otyłe i nie należy, nie należy wspierać otyłości jamniczej.
848:  Potem jamnik musi mieć wózek jamniczy inwalidzki, nie żartuję.
852:  Są takie.
853:  Dobra, odpalamy, założymy, że będzie tutorial.
860:  I drugi sezon Arkane w listopadzie.
862:  Do tego czasu się mogą jeszcze rzeczy podziać, ale wiecie co?
865:  Trzeci sezon The Acolyte nie jest zły.
872:  Michale, wszystkiego prozdrowotnego dla ciebie.
874:  We don't really know it, but we sense it.
876:  There's a sister ship to our life.
877:  There's a sister?
880:  Which takes a totally different route while the sun burns behind the aisles.
888:  How did I end up here?
891:  To nie miała być strategia?
893:  Dlaczego obserwujemy w tym momencie rozmnażanie?
896:  Obserwujemy fragmentację plechy?
899:  Czemu nie ma języka polskiego?
904:  Tu już trzy sezony wyszły, a kolejne trzy odcinki.
909:  Czy w tej grze są czerwone ataki?
910:  Dobre pytanie.
918:  Czuję się bardzo źle z tym, że obserwuję życie prenatalne.
926:  Bartek Sitek, Jezu, faktycznie!
928:  Hahaha!
940:  Boże, powiedzcie mi, że to nie będzie tak inwencyble.
943:  Proszę.
948:  Nie mam pojęcia, jakie jest to demo z piwia, tylko odpaliłem na początek grę, żeby sprawdzić, czy działa.
957:  I tyle, i tyle widzieli.
958:  Natomiast to widzę po raz pierwszy, bo cancelowałem film.
965:  Okej, czuję się coraz dziwniej.
967:  Czemu miałby być polski język w grze polskiego studia, tworzonego przez polską ekipę w Polsce, za pieniądze od polskiego rządu, między innymi przetarające?
973:  Dobre pytania, cieszę się, że one padają.
977:  To jest prolog.
978:  Czy to na pewno jest strategia?
982:  Ja tak założyłem, no!
983:  Eleven Bici robią strategie!
986:  Ale wiecie, jest jedna strategia od Eleven Bitów, która jest bardzo nietypowa.
990:  Nie wiem, czy ją znacie.
991:  To jest Reverse Tower Defense.
996:  Jak ona się nazywa?
997:  Niech sprawdzę.
998:  Muszę otworzyć Steama, ponieważ inaczej zwariuję, uduszę się jak tego nie sprawdzę.
1002:  A wy możecie tego nie znać, ponieważ strategię to jest mój konik.
1007:  Powiedział chyłpliwie Krzysztof.
1009:  Anomaly Defenders mianowicie.
1011:  Anomaly to Anomaly i Anomaly Korea.
1017:  Czy myślicie, że to jest Death Stranding?
1019:  Ja wiem, że gra się spauzowała, bo jak zawsze, jak zawsze nie jest zoptymalizowana pod trzy ekrany.
1029:  Nie ma strategii, tylko niespodzianku.
1030:  Łeezu, jak szybko!
1032:  Czy myśmy się znaleźli w tym momencie w grobli olbrzymów?
1036:  Ooo, dziękuję!
1038:  Nie wiedziałem, że poruszam się strzałkami.
1040:  Czy ten tutorial będzie dalej taki jak wszystkie tutoriale?
1044:  To znaczy na początku nam mówią o tym, w jaki sposób się poruszać, a potem... A to się grać już resztę ogarnij.
1050:  Gra jest pod kontroler.
1050:  Wszystkie gry są podobno pod kontroler.
1052:  Po czym ja grałem na nich myszą i klawiaturą i się da.
1057:  Mamo, mogę Death Stranding?
1059:  Mamy Death Stranding w domu.
1066:  Ooo, Ludonardis zna anomalei.
1069:  No czyli standard, moi drodzy, rozbiliśmy się na jakiejś planecie.
1073:  Nasz bohater ma Power Armor, ma również bardzo zabawny wyraz twarzy.
1078:  Wiecie co?
1079:  Nasz bohater tak naprawdę używa w tym momencie cały czas Apple Vision Pro.
1083:  To dlatego tak dziwnie wygląda.
1085:  Tak naprawdę jest to render jego twarzy, a nie jego twarz, która jest widoczna przez przejrzystą przesłonę hełmu.
1091:  Jesteśmy w Muspelheimie, oby.
1094:  Hold shift to run, dziękuję.
1095:  Ten tutorial robi się coraz ciekawszy.
1097:  Mówię wam, że nikt nam nie powie, że shift to jest przywołanie windy.
1101:  Założę się.
1103:  Czy w ustawieniach nie ma polskiego?
1105:  Aż sprawdzę.
1108:  Audio?
1110:  Nope.
1113:  Nope.
1115:  Language.
1127:  Okej.
1128:  Czyli dotacja była z Tencentu.
1144:  Polski gaming.
1148:  Ciekaw jestem, czy ta gra jest liniowa, czy też można tutaj coś zrobić, co jest nieliniowe.
1152:  Popatrzcie, zrobię coś, czego nie przewidzieli twórcy.
1155:  Pójdę w nonsensowne... Okej.
1159:  To ja może zawrócę.
1161:  O, jest latareczka, lubię latareczkę.
1164:  Hendożna historia kultury zaliczona i psychologia zaliczona, pisze Just Whitely.
1168:  Dziękuję za informację, Just Whitely.
1170:  Mam nadzieję, że to już ostatnie.
1172:  Ileż można zaliczać?
1179:  Przedmioty.
1181:  Już się zgubiłem.
1183:  Chyba tędy.
1185:  Ta gra wykorzystała gołb.
1186:  Niestandardowy system AI, więc NPC-owie powinni być tutaj mniej głupi.
1190:  Na razie nie ma nikogo.
1193:  Ale jest fajna muzyka, powiem wam.
1195:  Ambientowa.
1196:  Zaraz będzie wróć do obszaru opowieści?
1198:  Oby nie.
1199:  Nie no, gra nas subtelnie prowadzi czerwonymi flarami.
1204:  Jest problem.
1205:  Nigdy nie wiad...
1210:  To burrito było strasznie ciężko strawne.
1218:  Trzeba iść do proktologa, koniecznie.
1223:  E jest na wspinaczkę, wiadoma sprawa.
1225:  Markus Feniks, dziękuję za wsparcie od 17 miesięcy.
1228:  Czy było ukrywane Majesty?
1230:  Your Majesty?
1231:  No.
1239:  To jest Filip po ostrej pizzy, tak.
1243:  Tak jest.
1244:  Ja już nigdy nie zamówię ostrej pizzy, jak będzie tutaj Filip.
1248:  Potem musiałem zamówić sprzątanie profesjonalne do łazienki.
1252:  Boże, drogi, jak to jest strasznie szybkie.
1257:  Kto zbudował te kamienne ramienie?
1258:  Może ja jestem w stanie troszeczkę obniżyć ten mouse sensywy... se-se-se-se-se-sensitivity, bo... weź mi to obrzydlistwo odrażające.
1262:  Gdzie jest mouse sensitivity?
1263:  Aha.
1263:  To ja może zjadę do dwóch.
1264:  Prrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
1284:  To jest bardzo dobre pytanie, kto zbudował tutaj kamienny drabin.
1287:  O!
1289:  Dlaczego nasz kapitan się nazywa Gówno?
1291:  Captain Shit?
1294:  Nie ma żadnego sensu.
1298:  Moi drodzy, to jest statek Burrito, któremu przewodzi Captain Shit.
1303:  Czy ktoś pamięta, jak my się nazywamy?
1305:  Nie wiem, muszę... Muszę znaleźć innych.
1311:  Jesteśmy... Jesteśmy Sierżant Zigowi.
1316:  Jest to gra zasadniczo magentowa, tak.
1320:  Wygląda na to, że umarła w środku.
1350:  Jezus Maria.
1351:  Czyli zobaczcie, on zjadł burrito, ale jego kumpela, niestety, ona zmarła w tej kapsule.
1360:  Nie zdążyła wyjść.
1362:  Straszne.
1363:  Musieli się wszyscy mieć zatrucie pokarmowe.
1365:  Już wiem, o co chodzi w tej grze.
1367:  Natomiast muszę powiedzieć, że jest to chyba najbardziej pusta, obca planeta, jaką widziałem, ale nie, przepraszam, grałem w Invincible, tam jest puściej.
1377:  Postać się nazywa Jan Dorski, okej.
1380:  Tu widać o tej dziwnej godzinie.
1382:  Witamy cię, Darku, serdecznie.
1383:  Dzięki za 27 miesięcy wsparcia i wsparcia.
1385:  O!
1387:  O!
1389:  Czy ja docieram do strategii?
1391:  Powoli?
1394:  Czy to już będzie strategia?
1396:  Dobrze, że nie grałeś w Starfield.
1397:  Nie zamierzam nawet.
1398:  Teraz wyszło DLC do Starfielda.
1402:  Ja już wiem nawet, powinienem być marketingowcem Starfieldowców, ponieważ ja szczerze powiedziawszy, gdybym robił marketing DLC Starfielda, zrobiłbym go w następujący sposób.
1411:  Slogan brzmiałby... Now it's even emptier!
1420:  Tak by było.
1422:  Matt Fanica, dzięki za prawie 31 miesięcy zazdro u mnie, ale jeszcze nawet egzaminy się nie zaczęły.
1426:  U mnie też się nie zaczęły.
1427:  Ja dopiero już muszę przygotować jej, to muszę jej przygotować po typyrkonie, tak na ASAP.
1433:  Pewnie jak będę wracał spóźnionym pociągiem Express Intercity Premium, przepraszam, takie nie jeżdżą do Poznania, czyli spóźnionym normalnym Expressem, to wtedy.
1445:  Tak, ma wyjść DLC do Starfielda, tak jest, ma wyjść.
1449:  Eee, to jest benzyna?
1452:  Jezus Maria, na tej planecie pada benzyna.
1456:  Moi drodzy, to jest raj dla samochodziarzy, już widzicie, dlaczego wszyscy wcześniej rzygali.
1460:  Mają chorobę lokomocyjną, to nie było burrito jednak.
1464:  Przylecieliśmy na planetę samochodziarzy.
1468:  Wszędzie są plamy po oleju, a z nieba spada benzyna.
1480:  No co, no kapsuły, nie widziałeś wcześniej kapsuł?
1485:  To jest ósma kapsuła!
1494:  Aha, w tym sensie, że oni są wszyscy martwi.
1497:  No okej.
1500:  Czyli załoga jest martwa, a nasz bohater jest zmartwiony.
1506:  Dzięki, Chas Whiteley, za wsparcie.
1508:  Tak, dżinsy w kiblu.
1511:  To byłoby możliwe u mnie.
1513:  To prawda.
1514:  Ta planeta potrzebuje demokracji.
1516:  Jezus, oczywiście!
1519:  Oczywiście, skoro jest tutaj tyle plam po oleju, potrzeba zaprowadzić demokrację, żebyśmy mogli zaprowadzić sprawiedliwą redystrybucję paliwa, to znaczy do krajów wysoko rozwiniętych, kosztem krajów niżej rozwiniętych.
1534:  Bardzo ważna uwaga.
1535:  Czy gameplay Dragon Age The Veil God był widziany?
1537:  Tak, strasznie...
1538:  strasznie generyczna kupa Emery'u, jestem tak rozczarowany, a chciałem wejść do świata Dragon's Age'a wreszcie, na strumyka, znaczy pewnie i tak zagramy, właśnie dzięki Veilguard.
1549:  Dobra, moja intuicja jest taka, że teraz dotarliśmy do pierwszej mapy.
1554:  I tutaj już będzie strategia.
1557:  Tak!
1558:  Tak!
1558:  Wreszcie!
1559:  Wreszcie koniec z głupią perspektywą!
1573:  To nie było ładne.
1574:  To nie było przejście z gatunku smooth.
1577:  Day one.
1586:  Naprawdę jesteśmy mechanikiem samochodowym.
1589:  My nawet wyglądamy jak mechanik samochodowy na tym etapie.
1594:  Is anyone home?
1595:  I have to find the communication room and call for help.
1596:  Ok.
1596:  E. Airlock unavailable.
1597:  Aaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
1626:  Zazdrościsz po prostu bujnego wąsa.
1628:  Absolutnie.
1629:  Z tego precyzyjnie powodu sam bardzo zastarannie strzygaj gole.
1633:  Czyli my się tutaj nie możemy poruszać w tym trybie.
1637:  Toggle labels, ok.
1639:  Zoom.
1640:  Zoom in, zoom out.
1641:  Komputer kwantowy.
1643:  Mały.
1646:  Mały magazyn.
1648:  Communication room, czyli w górę window.
1651:  To będzie tak.
1652:  Shift.
1652:  Shift.
1655:  Okej, czyli Shift i W. Shift S. Dobrze, zrobimy wszystko inne.
1671:  Okej, tutaj nic nie ma.
1672:  O, to mi się podoba.
1675:  Czyli jesteśmy kapitanem.
1676:  Cudownie.
1680:  Bardzo się dobrze... Bo zepsujesz.
1682:  Dobrze, jest communication room.
1692:  Czemu zawsze jest tak, że... Czemu zawsze jest tak, że we wszystkich fantastyczno-naukowych opowieściach mają tak chujową jakość transmisji?
1706:  Ta postać wyglądała albo jak podsiadło, albo jak Maciej z Adam Czyszy.
1709:  Albo jak generator frajdy.
1710:  Chyba najbardziej jak generator frajdy.
1716:  Okej, mamy wybory narracyjne, moi drodzy.
1725:  Jan Dolski.
1732:  Wiecie jak się będzie nazywał Jan Dolski, jak zostanie zastąpiony przez następnego kapitana?
1739:  Podolski.
1744:  Aha, i tyle?
1748:  Wygląda jak najbardziej uśredniona twarz Polaka.
1754:  To jest Marsjanin, wersja mroczniejsza, wygląda tak.
1758:  How much time?
1762:  To jest śmieszne, bo Krzysztof ma aktualnie głowę w miejscu kapitana, faktycznie.
1772:  I am the new captain!
1775:  Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,
1811:  Aha No pressure, zero ciśnienia
1830:  Sunrise, Sunfall, Sunset, Sunsmall.
1836:  Co?
1838:  Otóż moi drodzy, to jest komputer kwantowy.
1842:  Komputer kwantowy jest kwantowy, musimy go opanować!
1846:  Bietona Pyrkon mówiła, że cieszę się Aniu!
1847:  Pierwsza taka impreza to dobry wybór, bo Pyrkon jest naprawdę... To jest jedna z tych imprez, których ja unikałem przez lata i teraz bardzo żałuję.
1856:  Aha, tutaj mamy storage po prostu.
1861:  Czy jednak mamy znaleźć manual?
1863:  No przecież byłem przed sekundą w... Czemu tak zawsze jest w grach, że nie mogą wynagrodzić gracza, który jest najrzydziurą i chce sprawdzić wcześniej rzeczy?
1878:  Procedura ewakuacji.
1880:  O, ktoś się naczytał problemu trzech ciał.
1884:  I nawigacja kwantowa, naprawdę nie zamierzam tego czytać.
1888:  Nie, czy kiedyś Gry Video wprowadzał taki system, gdzie tu jest taki fajny głośniczek, że ja kliknę i to mi ktoś odczytuje.
1895:  Cudowne.
1897:  Bitrate był zabiegiem celem.
1898:  Jaki bitrate, James White?
1900:  Wszystko jest w porządku z bitratem.
1904:  Zauważam o proteście na UW?
1906:  Jest jakiś protest na UW Kwakart?
1908:  Nic nie wiem.
1909:  Słyszycie ten ambient?
1911:  Wow!
1913:  Rozwiniesz krakat albo wrzucisz mi jakiś link na wishliście na Discordzie?
1916:  Holistyczna agencja jest kapitanem, link w opisie.
1927:  Nie no!
1930:  Moi drodzy!
1935:  O!
1935:  O, Michał, tak jest!
1936:  Taki system był w Mass Effect'cie!
1939:  że czytało nam przez głośniczek wszystko, tak?
1943:  Jest.
1946:  Okej, fundamentale.
1951:  Musimy wycraftować skaner, wycraftujmy zatem skaner.
1955:  Gdzie się craftuje skaner?
1959:  Aha, jest radiacja, niedobrze.
1962:  Czy tu się craftuje skaner?
1963:  Nie.
1968:  Gdzie się kraftuje skaner?
1971:  Systemy nawigacji offline.
1978:  Jeżeli mamy z outside wyjść, a teraz jest radiacja,
1982:  to ja dedukuję z tego, a wiecie, że jestem mistrzem dedukcji, prawda?
1987:  Jestem niekwestionowanym mistrzem dedukcji.
1991:  I zawsze, bez najmniejszego problemu rozwiązuję wszystkie zagadki nielogiczne, ponieważ jestem połączeniem Hercule Poirot, Sherlocka Holmesa i kogokolwiek, kto jest detektywem u Joe Nesbo.
2005:  Jesus Christ, to jest gra komputerowa, nie każ mi włączać budzika.
2015:  Umówmy się.
2018:  Nikt nie wstaje o godzinie szóstej.
2024:  Kiedy będzie Balloons Tower Defense?
2025:  Wiesz co, Filipo, ja bym chciał Tower Defensa wam pokazać najlepszego w świecie kiedyś, to znaczy Death Trap.
2031:  Nima lepszego Tower Defensa.
2033:  Ewentualnie Gemcraft, Chasing Shadows, albo Frostbone Wrath.
2038:  Protest na UW dotyczy sytuacji między Izraelem i Palestyną.
2040:  Policja weszła na teren uczelni.
2041:  Policja na terenie uczelni?
2043:  Filippo?
2044:  Jezus Maria, to się rzadko zdarza.
2047:  Nowy Arkon Quest już zaliczony czy live kiedyś przy Katynu Uzumaki?
2050:  Wiesz co, nie wiem, szczerze powiedziawszy.
2051:  Ja w tym momencie nie jestem w stanie grać w Gęślina, niestety.
2056:  No dobrze.
2057:  Czyli teraz airlock, tak?
2058:  Dobrze mówię?
2060:  Tak!
2067:  Okej.
2082:  Jak stąd wyjść?
2092:  Krzysztof nie wie, jak wyjść?
2095:  Zdumiewające.
2096:  Wydaje mi się, że myśmy się tutaj po prostu wylądowali.
2100:  A może to było na zerowym piętrze?
2104:  Nie.
2106:  No tośmy pograli.
2115:  Dlaczego mi się to przydaje?
2117:  Dlaczego tak jest?
2118:  Może do Command Center trzeba wyjść?
2122:  Radiacja jest od 21?
2126:  Ja nic nie wiem, Gerwazy, co się tutaj dzieje.
2130:  Erlok był piętrowyżem.
2131:  Też mi się właśnie wydawało.
2136:  A bo to są dwie windy!
2140:  Aaa!
2145:  Aaa!
2148:  Aaa!
2151:  No dobrze.
2154:  To nie jest strategia!
2156:  To jest jakaś mutacja!
2160:  No dobrze, czy ja mam jakiś skaner, cokol... Jezus Maria, mam.
2165:  Czy oszustwo miała być strategia?
2171:  Znajdź metale.
2172:  Czy znajdowanie metali będzie wyglądało w ten sposób, że po prostu idę na pałę i znajduję metal, czy muszę użyć jakiegoś skanera?
2181:  No bogactwo, jak są dwie windy pindy, prawda?
2184:  O, tu się coś jarzy i świeci.
2188:  Aaa!
2190:  Czyli taki jest system.
2191:  Nie ma żadnego skanera, nie ma żadnych Mass Effectów.
2196:  Protip.
2198:  Zawsze jak wypieracie się w podróż, bezwzględnie miejcie magentową walizkę.
2202:  Nikt takich nie ma.
2203:  Oprócz mnie.
2206:  Mamy multitool i jakieś karty.
2208:  Świetnie.
2215:  Dobrze.
2222:  Okej.
2223:  Czy to prawda, że najlepszą rzeczą w Krakowie jest pociąg do Warszawy, mimo że opóźniony?
2227:  Masz parę literówek, Szymonie, to znaczy najlepszą rzeczą w Warszawie jest pociąg do Krakowa, mimo że opóźniony.
2232:  I wtedy jest wszystko w porządku z twoją wypowiedzią.
2234:  Ale to spoko, każdemu się zdarzają literówki.
2238:  To mi wygląda... To jest metal, mówię wam.
2243:  To jest metal.
2246:  A?
2250:  Mówiłem wam?
2251:  To jest metal.
2253:  To jest metal.
2293:  Znaleźliśmy.
2296:  Empty deposit.
2297:  Ładne są te depozyty, powiem wam.
2301:  Czy to tyle?
2303:  Follow the instructions to prepare for the journey.
2306:  Build a workshop in the command center.
2308:  Ej, ja chciałem jeszcze trochę więcej metalu!
2313:  Metal się zaczyna od death metalów z wyż.
2315:  A co, jeśli ja tam pójdę?
2317:  Coś się stanie, myślcie, może umrę?
2320:  Czy w tej grze da się zginąć?
2323:  Ja bym umiał.
2324:  Oj, zdecydowanie.
2331:  Potem będzie, ale Krzysztof, zaraz się zgubisz.
2333:  Nie, racja, zaraz się zgubię.
2336:  To ja wracam.
2340:  Tak, bo możemy od radiacji umrzeć.
2343:  Czy poczułbyś się dziwnie, gdybym dzisiaj podszedł z tekstem Gnom Dziornio il mio Arcimago di Basotti.
2348:  Nie, nie Gnomeus, absolutnie nie.
2352:  Radiacja może cię zabić przy zawału.
2354:  Czy słyszałem gdzieś śląskiego metalu?
2355:  Nie, ale chciałbym.
2357:  Dlaczego jego baza jest w Wielkim Donacie?
2361:  To jest Wielki Donate.
2363:  Ło!
2365:  To jest Wielki Donate, moi drodzy, nie Donat.
2370:  To jest tak, jakby streamer poszedł do Dunkin Donuts i spytał, czy macie jakieś donate?
2375:  Nie, to do Donaty.
2376:  A nie, to ja dziękuję.
2378:  Tak by było.
2379:  Czy w ogóle Dunkin Donuts nie zostało z Polski czasem zlikwidowane?
2383:  Znaczy, tak mi się przynajmniej wydaje.
2386:  Aha, czyli to jest moje wyjście po prostu za każdym razem.
2389:  Dobrze.
2390:  Nasz bohater jest absolutnym mistrzem zdejmowania skafandra.
2396:  Uwielbiam też to, że on za każdym razem, za każdym razem jak przyjdzie do stacji, za każdym razem robi coś w rodzaju T-pose'a, nie?
2407:  Niesamowite, w tym swoim dresiwie, wspaniałe.
2413:  Oberschleizen, to taki śląski Rammstein, jak chcesz sobie posłuchać, o to na pewno.
2418:  Czy to było kiedykolwiek w Polsce?
2420:  Ja jestem zasmucony, że tutaj nie ma języka polskiego, powiem wam.
2423:  Gdzie jest teraz tak?
2425:  Airlock, Storage, Communication Room, Command Center.
2428:  Command Center.
2429:  Oczywiście, że w Command Center jest workshop.
2431:  Dlatego właśnie nazywa się Command Center.
2435:  To jest ten moment, w którym mylicie sobie Total Commandera z Supreme Commanderem.
2441:  Oj, zagrałbym w takiego Supreme Commandera.
2442:  Ooo, trzeba będzie kiedyś.
2448:  Ta jest strategia!
2452:  Expand!
2454:  Explore!
