Polska nie jest gotowa na rewolucję A.I.
🔗 https://www.youtube.com/watch?v=34QVkoJmBZw
0:  Gdy spytać populistów o to, co jest problemem w polskiej edukacji, odpowiedzą bez chwili wahania.
729:  A jednak, i napiszcie o tym w komentarzach, jeżeli tak jest w waszym przypadku, ile osób tego nie wie, a to jest elementarz, to jest tak, abyśmy nie znali znaków drogowych.
740:  A my tutaj chcemy mówić o kompetencjach cyfrowych w postaci wielowarstwowej weryfikacji danych albo radzenia sobie z różnymi zagrożeniami w sieci, cyberzagrożeniami, które dotykają na przykład młode osoby i teraz najlepsze.
754:  W sytuacji, w której teraz jesteśmy, są ludzie dinozaury z epoki analogowej.
760:  Ja sam się urodziłem jeszcze w epoce analogowej.
763:  Ale przeszedłem do epoki cyfrowej, jak większość milenialsów i uczyłem się tego wszystkiego.
767:  I rzeczone dinozaury usiłują nauczyć nas rozwiązywania problemów, które są problemami XIX-wiecznymi i XX-wiecznymi.
775:  Porównajcie sytuację bullyingu człowieka, któremu, no nie wiem, ktoś go w jakiś sposób upokarza, albo któremu ktoś go dokucza w szkole.
784:  I teraz przemnóżcie to sobie w nagranie TikToka na ten temat i puszczenie do 3,5 miliona ludzi.
792:  To jest nieporównywalna sytuacja.
794:  Potrzebujemy nowych narzędzi do rozwiązywania tego rodzaju problemów i tak, i to o to między innymi chodzi w kompetencjach cyfrowych.
800:  Jasne, możecie zadać sobie pytanie bardzo podstawowe, no tak, ale czy te kompetencje ważne, zapamiętywanie danych, na przykład zapamiętywanie informacji, czego się jeszcze uczy w szkole, zapamiętywania danych i informacji, czasem zapamiętywania wiadomości, albo zapamiętywania treści lektur, albo generalnie zapamiętywania,
817:  Czy one mają sens w świecie cyfrowym, kiedy można za nas zapamiętywać, kiedy mamy właśnie różnego rodzaju urządzenia i raczej powinniśmy się uczyć selekcji danych, ponieważ tych danych jest za dużo i do nas napływa za dużo?
828:  Oczywiście możecie poprzestać.
831:  na XIX-wiecznych metodach, możecie poprzestać na ślepej wierze w to, że nie no, dawniej działało, to teraz będzie działało.
838:  Ale istnieje wtedy ryzyko i zagrożenie, że zmienicie klasę społeczną, bo nie wiem, czy wiecie, dzisiaj klasy społeczne to nie jest jakaś arystokracja i tam mieszczaństwo, tylko mamy proletariat, kogitariat i digitariat, jak mówią socjologowie.
851:  Proletariat, czyli informacyjny lumpenproletariat, to ludzie, którzy z technologii informacyjnych korzystają przede wszystkim biernie, w postaci rozrywki telewizyjnej,
860:  czy komputerowej.
861:  Kogitariat to osoby, które są w stanie aktywnie i świadomie korzystać z zasobów informacyjnych, nie mają jednak istotnego wpływu na ich treść.
869:  Digitariat to natomiast ci, którzy nie tylko biegle posługują się technologią, lecz także tworzą przekazywaną za ich pośrednictwem wiedzę.
878:  W tym rzeszpodziale, tak nawiasem mówiąc, ci, którzy będą wiedzieć, jak zarządzać tymi treściami, będą cyfrowymi nadzorcami, to oni będą rządzić światem.
889:  to zastanówcie się w takim razie, dlaczego jest tak, że nie uczy się nas kompetencji pozwalających nam rządzić światem, otwierać łatwo firmy, rozwijać się, skalować swój biznes, otwierać się na te nieprzebrane możliwości, które oferuje nam era cyfrowa.
906:  Oczywiście jest to na rękę bardzo wielu różnorodnym firmom, dużym korporacjom, oligopolom w naszej rzeczywistości, innym państwom, którzy korzystają z tego, że w Polsce jest tania siła robocza, ale wiecie, ta tania siła robocza nie musi u nas być.
921:  ponieważ możemy wejść do tego wagonika, który powoli nam zaczyna odjeżdżać, a odjeżdża nam dzięki polskiemu szkolnictwu, czy szkodnictwu, powiedzmy sobie otwarcie, i dzięki temu współczesniczyć w tej rewolucji cyfrowej, która się dokonuje, mądrze i odnajdować zarazem różnego rodzaju rozwiązania na faktycznie palące problemy współczesnego.
942:  społeczeństwa informacyjnego, czyli to, jak się łatwo dekoncentrujemy, to, że mamy trudności z zapamiętywaniem, należy pytanie, czy w zapamiętywaniu jest cnota, ja na przykład nic nie zapamiętuję i funkcjonuję na uniwersytecie, jakoś mi włos nie spadł z głowy, ale znajduję inne problemy, inne pomysły, inne problemy, inne zagadnienia, które wymagają innych kompetencji i staram się je kształcić, tak?
965:  Staram się dynamicznie kształcić wyszukiwanie szybkiej informacji, weryfikowanie ich,
970:  i przełączanie się między różnymi zadaniami, znajdywanie w chaosie porządku.
975:  To jest mój sposób, ale my sobie musimy znaleźć tego rodzaju sposoby, każdy z nas na własną rękę.
980:  A nie znajdziemy ich, jeżeli będziemy ślepo wierzyć w to, że metody, które się sprawdzały w XX wieku, kiedy nie mieliśmy takiego postępu technologicznego, gwałtownego, będą się sprawdzały w XXI wieku, kiedy mamy taki postęp technologiczny, że mój film na temat algorytmów sztucznej inteligencji, które
997:  stworzyły czata GPT 3,5 już się zestarzą dwa razy.
1002:  Chociaż wnioski, które tam przedstawiałem dalej podtrzymuję.
1005:  Jeżeli chcemy uczyć ludzi, żeby byli jak maszyny, dajemy im testy ABCD, uczymy binarnego myślenia o świecie, niezniuansowanego, uporządkowanego, w zero-jedynkowym kodzie,
1017:  no to trudno się dziwić, że w takim myśleniu, które jest dla nas nienaturalne, zawsze będzie lepsza od nas maszyna, niezależnie od tego, jak bardzo zaawansowana.
1026:  Zawsze będzie od nas lepsza.
1028:  Więc jeżeli będziemy się uczyć myśleć jak maszyny, automatycznie skazujemy się na to, że nasz przyszły zawód zostanie zabrany przez AI i wylądujemy dokładnie w takiej samej sytuacji, w jakiej wylądowali...
1042:  pracownicy manufaktur wtedy, kiedy pojawiła się jeszcze bardziej uprzemysłowiona produkcja i nagle się okazało, że nie mają pracy.
1051:  I będziemy mogli wtedy mieć pretensje tylko do siebie, ponieważ to od nas zależy w ostatecznym rozrachunku, czy będziemy sprzeciwiać się temu, żeby takie komunały były w przestrzeni publicznej, jak na przykład zabierzmy ludziom smartfony, to będzie wszystko w porządku.
1067:  I też od nas zależy, czy zadbamy o własną higienę cyfrową i wreszcie od nas zależy to, czy zgodzimy się na to, żeby być wykluczonymi technologicznie prolami, którzy siedzą sobie bejernie, przyswajając to, co nam serwuje aplikacja społecznościowa, telewizja, czy wersja telewizji na YouTubie, bo już na YouTubie przecież pokajawiają kanały, które mają swoją własną telewizyjną ramówkę.
1091:  i które zachęcają do takiego biernego odbioru.
1093:  Ba, już nawet ta kultura odpowiadania na komentarze na YouTubie zaginie, bo niektórzy twórcy pomylili sobie swoją rolę jako youtubera z byciem prezenterem telewizyjnym, który się nie zniży do tego, żeby odpowiedzieć na komentarz.
1106:  Zanika i o tym jest bardzo dużo w tej chwili materiałów mniej lub bardziej interwencyjnych, między innymi materiał na kanale Mateusza Chrobaka, który mega polecam, dochodzi do sytuacji, w której
1116:  Odbiera się nam to, na czym został ufundowany internet, czyli ten fundament prosumencki właśnie, że jesteśmy producentami i konsumentami treści, że się aktywnie angażujemy, czy na reddicie, czy na wykopie, czy gdziekolwiek indziej, czy w jakichś forach dyskusyjnych, które już niestety odeszły do lamusa, czy też na grupach dyskusyjnych, które w dalszym ciągu są aktywne, czy też na discordzie.
1138:  My tam tworzymy społeczności oddolnie,
1141:  I angażujemy się na najróżniejsze sposoby, które były całkowicie nieosiągalne dla czasów mediów tradycyjnych, prasy, telewizji chociażby.
1150:  I w momencie, w którym oddamy władzę, oddamy tę naszą sprawczość, zgodzimy się na to, żeby ktoś nam serwował 24 na 7 treści, które my będziemy biernie przyswajać, to wtedy zrobimy dokładnie to, czego nas nauczyła szkoła.
1163:  Podepniemy się pod schemat.
1165:  Pod władzę algorytmów tym razem.
1166:  Przejdziemy z władzy szkolnej do władzy algorytmów bardzo płynnie i dzięki temu nawet nie zauważymy, jak się nie rozwiniemy.
1173:  I nawet nie zauważymy, kiedy tego momentu, kiedy nagle zaczynacie nie nadążać, nie wiecie, co się dzieje, poddajecie się i myślicie sobie, a, ja już nie będę ogarniał tej nowej technologii, ona się tak szybko rozwija, to po co mam to robić?
1188:  I tu jest moment, w którym ponosimy gigantyczną klęskę.
1192:  Jedynym sposobem, żeby nie ponosić takiej klęski, jest zatem to, żeby zadbać o swoją własną higienę i uświadomienie cyfrowe.
1199:  I w miarę możliwości walczyć również o to, żeby tematy
1203:  nowych technologii, algorytmów sztucznej inteligencji, rozwoju badań nad nią, mądrego zarządzania treściami w mediach społecznościowych, tworzenia treści do internetu, cały czas trendowały i były ważne, niezależnie od tego, jaki zawód będziecie bowiem sprawować.
1218:  Prędzej czy później możecie mieć sytuację, w której ta straszna sztuczna inteligencja odbierze Wam ten zawód.
1224:  Ale problem polega na tym,
1227:  Że moglibyśmy tego uniknąć, gdybyśmy z wyprzedzeniem kształtowali kompetencje cyfrowe i połączyli zawody analogowe z zawodami przyszłości.
1237:  I żeby tylko powiedzieć ze swojej własnej perspektywy.
1240:  Znam więcej niż mniej filologów, literaturoznawców, humanistów, którzy zamiast pójść ścieżką, którą poszedłem, między innymi ja,
1248:  zajęcia się grami komputerowymi, zajęcia się mediami cyfrowymi współczesnymi, cały czas stwierdzili, że najlepszym sposobem na życie będzie młócenie tej samej młodopolskiej słomy i wynajdywanie co nas to nowych sposobów na jej młócenie i robienie Mickiewicza słowackim.
1265:  Cały czas.
1266:  No to jest przepis na katastrofę, jeżeli coś takiego robimy.
1270:  Oczywiście, że potrzebujemy jakiegoś mikrego procenta ludzi, którzy się tym będzie zajmować, ale to jest mikry procent.
1275:  Szansa, że będziecie tym historykiem literatury, który będzie się tym zajmował, jest nieskończenie niska.
1282:  Natomiast szansa, że stworzycie coś nowego, o czym nikt wcześniej nie przypuszczał, jest bardzo wysoka.
1288:  Ja tak miałem w przypadku swojej maleńkiej działeczki światotwórstwa, gdzie wszyscy mi malowali kółko na czole, żebym nie robił tego, że po co będę się zamawiać bzdurami, niech postawię na to, co działało w XIX wieku.
1299:  I co?
1300:  I pierwszą swoją pracę dostałem właśnie w tym segmencie, w IT, ponieważ ludzie się tym zainteresowali.
1304:  Ja nie mam zielonego pojęcia, czym się ludzie zainteresują za dwa tygodnie czy za dwa miesiące, ale wiem jedno.
1309:  Na pewno będzie to związane z nową technologią, na pewno będzie to związane z tym, tą czy inną postacią sztucznej inteligencji.
1315:  Jeżeli możecie postawić na tego konia wyścigowego, to postawcie jak najwięcej.
1319:  Po to właśnie, żeby on was nie stratował.
1322:  Do następnego.
