Krowi poziom — BEASTMEN livestream (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=hjdWJ1H_3BU

2:  Witam wszystkich na streamie.
871:  Horda zwierzy ludzi jest zbyt słaba, żebyśmy chcieli z nią walczyć.
876:  Uzupełnimy sobie jednostki.
878:  Dobrze i zniszczymy to, tę osadę.
882:  To jest mała, nędzna osada głupich orków, które zostaną zniszczone.
888:  Nie martwcie się, zaraz będziemy rozgrywać bitwy, nie chcę po prostu rozgrywać bitew, które są... Wyłączyłem naszego doradcę, bo jest tak irytujący, że nie jestem w stanie go znieść.
903:  Dobrze.
906:  Co jeszcze możemy zrobić?
907:  Nasz Magus rośnie w siłę, świetnie!
913:  Okowiru.
914:  Tym razem w Okowiru gramy z tego względu, że moim zdaniem Tauroxem gra się lepiej tutaj, poza tym też są wreszcie customowe wypowiedzi rzeczonego naszego Tauroxa.
925:  Ooo, czy ja dobrze widzę?
928:  Tak?
929:  Możemy odebrać nagrodę i...
933:  Z tego, co widzę, mamy już odblokowaną umiejętność uzupełniania ruchu kampanii.
937:  Zobaczymy, jak to wygląda w praktyce.
940:  Świetnie.
941:  Świetnie.
943:  Świetnie.
945:  Zniszczymy kowadło bola.
949:  40 orkowie są najbardziej niepoważną, mymiczną frakcją.
951:  Na przykład rosną, gdy pokonują większych wrogów, psionikom wybuchają głowy, a ich technologia działa tylko dzięki temu, że w nią wierzą.
957:  Tak jest, to jest przepiękne absolutnie.
959:  Deszcz krwi się nam przyda, bo to będzie oznaczało amunicję w większej ilości dla jednostek jeźdźców ungorów, czyli prawdopodobnie również tych.
973:  Heaven Oaks pisze, że gra w strzelanki na padzie i ma wyszkolenie najwyższej klasy.
977:  Zazdroszczę, szczerze.
979:  Co myślę o kolejnej aferze w Activision Blizzard?
981:  No cóż mogę rzec.
982:  Kompletnie się nie dziwię, że wybuchła i cieszę się, że przynajmniej Bob Kotick udaje, że się przejął sprawą.
991:  Natomiast mam nadzieję, że nikt nie wybrał się, wściekłego byka dostaliśmy, nienasycona żądza krwi, fantastycznie.
999:  Mam nadzieję, że nikt nie próbuje w sieci mówić, że to jest niepotrzebne i że nie powinno się tym przejmować, bo inaczej mnie szlak trafi.
1008:  Niszczymy kowadło Wola.
1010:  Będziemy dzisiaj głównie niszczyć.
1013:  Zwierzoludzie nie zasiedlają budynków dla tych, którzy nie znają sprawy.
1018:  Dobrze, wcielimy sobie naszego byczka.
1021:  Byczku plus jeden.
1024:  O Genshin Impact mam się wypowiedzieć.
1027:  Mogę z radością, nawet gram, w tym momencie eksperuję i na zoomę cały czas.
1032:  Co potrzebujemy, to potrzebujemy.
1034:  Jest to gra ze wszech miar znakomita.
1038:  Nawet fabularnie, co się gacha games rzadko zdarza.
1044:  kiedy filmik o Oldze to karczył.
1046:  Nigdy!
1047:  Nie chcę, nie chcę musieć jej czytać!
1050:  Znowu!
1053:  Mój ulubiony zakon, rycerzy.
1056:  Z jakiego uniwersum?
1057:  Bo w tym momencie siedzę głównie w uniwersum Brandona Sandersona.
1062:  Hmm... Możemy mieć trudność, żeby wygrać z tą armią, więc zrobimy tak, że się schowamy tutaj, jak przystało, na mężnych i odważnych zwierzyludzi.
1073:  W tym miejscu oto i porekrutujemy troszeczkę.
1077:  Dobrze.
1078:  Co możemy zrobić?
1079:  Nasza horda może wzrosnąć fenomenalnie.
1087:  Tak, tak, tam była afera w Blizzardzie, jeżeli chodzi o molestowanie w miejscu pracy i to ostra afera, dotycząca kilkuset osób, bardzo dużo też ludzi z innych studiów się wypowiedziało, między innymi z Ubisoftu, gdzie sprawa nie została rozwiązana swego czasu.
1101:  Ooo, większy zasięg ruchu na mapie kampanii, fenomenalnie.
1106:  Spróbujemy tutaj zasadzić się w zasadce, zwierzoludzie teoretycznie powinni mieć to w sposób stały.
1113:  I... damy radę, myślę.
1118:  Ja jutro pobieram Genshin'a.
1119:  Warto?
1119:  Warto.
1120:  Tak uważam.
1120:  Tylko trzeba się przygotować na to, że bardzo długo, długo, długo zajmuje opanowanie całej gry do takiego stopnia, żeby można było korzystać ze wszystkich mechanik.
1134:  Dobrze, nasz szaman awansował, więc myślę, że możemy spróbować... Nie jestem do końca pewien, czy powinniśmy, ale...
1148:  Okej.
1149:  Gra nam daje szansę.
1151:  To dobrze.
1153:  W Warhammerze fantasy zakon.
1155:  Jest taki zakon Rycerzy Gorącego Słońca, jeżeli dobrze pamiętam.
1159:  Chyba ten.
1163:  Ale wybacz, jeżeli mi się coś nakłada, bo to jest oczywiście możliwe.
1166:  Kiedy spotkanie z widzami?
1168:  Najbliżej będę na Dniach Fantastyki.
1175:  Bo ja generalnie rzecz biorąc rzadko kiedy wybywam z domu.
1181:  Wychodzenie jest przereklamowane.
1184:  Ilekroć wyjdę, to mi się coś przydarza.
1187:  Mało radosnego.
1188:  Oczywiście żartuję.
1190:  Nie żartuję.
1191:  Żartuję.
1193:  Czy jest szansa, by figurkowe Warhammer Fantasy wróciło?
1195:  Moim zdaniem Age of Sigma to porażka pod względem estetycznym i lorem.
1198:  Ja głównie, jeżeli chodzi o lore, mam problem z Age of Sigma.
1202:  Ale też zdarzają się ludzie, którzy mówią, że niczego sobie, więc... Ciężka sprawa.
1208:  Włączymy sobie tryb ucieczki.
1215:  W korpo, dla którego dawno pracowaliśmy, mieliśmy raz w roku szkolenia, aby nie brać łapówek i nikogo nie molestować, dosłownie.
1220:  No, tego rodzaju szkolenia by się przydały, tak nawiasem mówiąc, wszędzie, bo jest wszystko git, jeżeli ktoś sobie zdaje z tego sprawę, ale niestety większość ludzi sobie nie zdaje z tego sprawę.
1230:  To jest trochę ponure, z czego trochę to jest eufemizm mroku w tym momencie.
1239:  Nasz wielki, prymitywny Minotauru zaczyna walczyć bardzo dobrze.
1245:  Tutaj wyślemy gorgonę.
1247:  Świetnie.
1249:  Świetnie.
1250:  Potrzebujemy wyeliminować strzelców.
1251:  Myślę, że to powinien być nasz priorytet.
1254:  I teraz tak, gdzie jest nasz szaman?
1256:  Tu jest nasz szaman.
1257:  Szamanie?
1277:  Grałem w więcej Total Warów niż w Warhammer, pytam, bo to moja ulubiona seria.
1280:  Nie, jeżeli chodzi o Total War'a, to poza takimi legendarnymi tytułami, jak na przykład, nie wiem, Rome 2, czy Shogun, czy Three Kingdoms, nie.
1289:  Generalnie rzecz biorąc, najwięcej mam w Warhammerze.
1293:  Jakieś... 2400 godzin, coś takiego.
1297:  Gdzie jest nasz szaman?
1298:  Szamanie, życzę sobie potężnego zaklęcia na tych wrażych łucznikach.
1303:  Zobaczmy, jak przedstawia się ta magia zwierzęludzi.
1311:  Powiedzmy, że jakieś solidne 7 na 10.
1313:  Magia ognia lepsza.
1317:  Jeżeli chodzi o Archiwum Burzowego Światła, to muszę powiedzieć, że najnowsza część jest moją ulubioną, absolutnie.
1324:  Jest znakomita, absolutnie.
1328:  Pomysł rozwinięcia wieży, nie będę spoilować, o co dokładnie chodzi, ujawnienia jej sekretów, coś wspaniałego.
1339:  Dlaczego, dlaczego nasze jednostki tchórzliwie uciekają?
1342:  To jest skandal.
1345:  Moja armia uciekła z wyspy Doktora Moro.
1347:  Coś takiego.
1348:  Tak jest.
1350:  Nasza armia jest prymitywna i dzika, jak również tchórzliwa.
1354:  Nie jesteśmy w stanie nic sobie, nic z tym zrobić chwilowo.
1357:  Dostaliśmy najgorsze jednostki świata do dyspozycji naszej, ale spokojnie, będziemy jeszcze potężni.
1365:  Tu jest jakaś specjalna zdolność, która mnie zaciekawia.
1369:  Lubię tę zdolność.
1370:  Wszystkie zdolności, które polegają na tym, że coś wybucha, radują mnie.
1378:  Dobrze, trzeba wyeliminować tych łuczników.
1383:  Jakie wydawnictwo lub ewentualnie strony do wysłania literatury bym polecił dla młodego twórcy sci-fi fantasy?
1388:  Jest absolutnie fenomenalna inicjatywa, która się nazywa Fantazmaty.
1393:  I bardzo polecam zaczęcie od niej.
1396:  O nie, nie, nie, nie, nie, nie!
1397:  Nasz... On nie może zginąć.
1402:  Poświęćcie się, żeby nie zginął nasz szaman.
1409:  Tak!
1410:  Wy możecie zginąć, nasz szaman nie.
1413:  Oj, oj, oj, oj, oj.
1414:  Ratować szamana.
1420:  Łucznicy nas, widzę, dożynają, to nie jest dobra informacja.
1428:  Hmm.
1430:  Ciężka sprawa.
1431:  Czy warto kupić tę grę, czy czekać na trójkę?
1433:  Zawsze warto kupić Warhammera w Total War z tego względu, że dla posiadaczy poprzednich części są zawsze bonusy.
1445:  Hmm.
1448:  Obawiam się, że będziemy musieli się wycofać.
1451:  Tak, musimy się wycofać.
1457:  Mówiłem, że nie będzie restartu.
1469:  No, dobrze.
1472:  Mam nadzieję, że przynajmniej to będzie szlachetna porażka, tak.
1474:  I mam nadzieję, że nasz głupi Taurox nie zginął do reszty.
1483:  Jeżeli chodzi o remaster Diablo 2, to na pewno planuję sobie ogrywać.
1486:  Co więcej, w waszej przytomności... Magia oknia jest najlepsza, tak jest potwierdzam.
1492:  Nic nam nie zginęło, oprócz minotaurów z tarczami, które i tak nie są takie potężne, byśmy chcieli.
1499:  Na szczęście nasz replenishment jest absolutnie legendarny.
1503:  Musimy sprawić, żeby nasz Taurox był bardziej gruboskórny, ewidentnie.
1511:  Okej.
1515:  Prędkość dla wszystkich jednostek, to się przyda.
1519:  Mimo tych wszystkich świętości walczysz dobrze.
1521:  Obawiam się, że zbyt dobrze.
1522:  Widzę, że Saladin wjechał na czat.
1525:  Elfy poczuły się bardzo pozytywnie i stwierdziły, że będą chciały... Musimy to wygrać.
1537:  Nie mam pojęcia jak, ale musimy.
1543:  Fantazmaty konkretniej na czym polega?
1545:  To jest normalna inicjatywa wydawnicza jak każda inna, z tą różnicą, że autorzy, redaktorzy, nikt nie otrzymuje wynagrodzenia.
1553:  Książki też nie są sprzedawane, ale są dostępne online.
1556:  Jest to inicjatywa typowa od fanów dla fanów.
1559:  Dlatego uważam, że jest to dobre miejsce, żeby debiutować.
1563:  Obok oczywiście wszelkiego autoramentu wydawnictw typu, ja wiem,
1570:  czasopisma, prawda?
1571:  Tylko, że w czasopismach debiut generalnie jest dość trudny.
1575:  Musimy zrobić... przede wszystkim musimy ochronić naszego Tauroxa, musimy ochronić wszystkich naszych bohaterów.
1582:  Nie będzie łatwo.
1586:  Tak, tak, mroczne elfy jak zawsze na nas dojechały oczywiście.
1590:  Gdybym miał zagrać w Total Wars wybranego przez siebie uniwersum tematu historycznego, wiecie jaka będzie odpowiedź na to pytanie, to znaczy oczywiście, że będzie to Archiwum Murzowego Światła.
1598:  Wiesz, to co by się tam działo, come on, niesamowite absolutnie.
1610:  Dobrze, jak to zrobimy?
1614:  zrobimy, będziemy polegać na naszych strzelcach, myślę, że nie ma innej opcji, i na magii.
1625:  Tu jest skupisko łuczników.
1629:  Dobrze.
1631:  Ulubiony region w Imperium, w Imperium Warhammer Fantasy.
1640:  Tam, gdzie siedzi Balthasar Geld, nigdy nie pamiętam, jak to się nazywa.
1643:  Albo nie, Nuln, bo tam jest artyleria.
1652:  Moja ulubiona kampania Warhamowego, papierowego Warhammer Fantasy.
1656:  To były sesje inspirowane serialem Pinky Mózg, gdzie znajomy był z Patch Inżynierem Eminotaurem.
1661:  Coś wspaniałego!
1663:  It's Pinky, it's Pinky and the Brain, Brain, Brain, Brain, Brain, Brain, Brain, Brain, Brain, Brain, Brain, Brain, North!
1670:  My jesteśmy dzisiaj jako Pinkie, niewątpliwie, z uwagi na to, że gramy najbardziej tępą frakcję Zwierzyludzi, jaka istnieje.
1679:  Ale Pinkie nie był taki głupi, Pinkie miał swój rozum.
1691:  Co gorsza, tutaj obawiam się, i to jest straszna informacja, że nie będziemy dysponować magią ognia.
1697:  To jest skandal.
1700:  Jeżeli my to wygramy, to bardzo się zdziwię.
1705:  Taurox ma tak nędzno... nędzne zdrowie, że nawet nie będę wysyłał do bitwy.
1711:  Ewentualnie możemy spróbować... włóczników.
1717:  Wszyscy we włóczników.
1722:  Dobrze, który oddział włóczników jest najliczniejszy?
1726:  Dobrze, tutaj to zrobimy.
1728:  Teraz!
1729:  Tak!
1730:  Tak!
1730:  Dobrze!
1735:  Dobrze i teraz tak.
1736:  Gorgona do łuczników.
1746:  Teraz musimy się skupić na tym, żeby wyrzynać najsłabsze oddziały.
1759:  Dobrze.
1760:  I nie możemy pozwolić łucznikom, żeby strzelali.
1767:  Stream się dopiero zaczął, a my już walczymy o przeżycie.
1770:  Świetnie.
1778:  Okej, czarne elfy już... Boże, czarne elfy... Mroczne elfy dostały już swojego boosta nieszczęsnego.
1784:  Ale my mamy magię jeszcze, o której zapomniałem.
1787:  Boże, jak ja zapominam o magii, to znaczy, że jest bardzo źle.
1797:  Dobrze byłoby... Rzucić zaklęcie na te mroczne łuski.
1803:  Oj tak, dobrze byłoby.
1804:  Bardzo dobrze byłoby.
1810:  Taurox, spieprzaj.
1818:  Świetnie, nasza Gorgona walczy.
1821:  Czy Gorgon?
1822:  Gorgon w zasadzie, tak.
1829:  Czy my mamy zasięg tutaj?
1831:  To byłoby cudowne.
1833:  Nasz zasięg jest bardzo słaby.
1837:  Ale, ale... Może tu jesteśmy w stanie coś zrobić?
1841:  Tak.
1843:  Poświęcimy swoje jednostki, żeby zabić wszystkie tutaj.
1848:  Nie, inaczej.
1850:  Wszyscy muszą zginąć.
1853:  Czy grałem w Wiedźminę, Zabójcę Potworów?
1855:  Chodzi o tę mobilkę?
1856:  To na pewno nie.
1857:  Ja w gry mobilne generalnie rzecz biorąc nie gram, zwłaszcza takie, które wymagają wychodzenia z domu.
1870:  Oj, oj, oj.
1872:  Tak, będziemy mieć restart.
1878:  A może nie?
1878:  Nie, przecież to nie jest frakcja teraz hordy w tym momencie.
1889:  Zwierzoludzie absolutnie są lipni, ale nie aż tak, jak byli kiedyś.
1896:  Aj, aj, aj, aj, aj, aj.
1902:  Jak widzicie, przed patchem Zwierzoludzie byli niegrywalną frakcją, absolutnie.
1907:  Ja najbardziej się martwię stratą maga, tak.
1912:  To jest coś, co mnie najbardziej martwi.
1915:  Ale tak, dzięki temu, że jest ta nasza twierdza, to przynajmniej nie straciliśmy armii.
1922:  Kogo potrzebujemy?
1923:  Potrzebujemy... o, o, o, o, o, o, o, o, o, o, o, o, o, o. Czy ja dobrze widzę?
1929:  Wielki Szaman.
1933:  Wielki Szaman.
1936:  Interesujące.
