Zamek Drakenhof w drugiej turze — ISABELLA & VLAD VON CARSTEIN Livestream
🔗 https://www.youtube.com/watch?v=kDWWzVNoauY

2:  Witam czaty!
1253:  Tak, tak, tak.
1254:  Dużo pieniążków.
1257:  Bardzo dużo pieniążków.
1262:  Witamy Miłosza.
1263:  Gdybym miał wybrać jedną frakcję, jednostkę z młotka, która by to była?
1267:  Iron Drakes, proste, czyli miotacze ognia, krasnoludcy.
1270:  Nie, tak, Iron Drakes.
1272:  Iron Breakers to są ci, którzy rzucają tarczami równocześnie.
1277:  Szymon nie miał totalnie contentu?
1279:  Proszę bardzo, Krzysztof dowozi, cieszę się.
1286:  Peter P. obejrzał Arkane, jest zachwycony jak wszyscy inni, czuje się jak 12-latka, która obejrzała właśnie Pamiętniki Wampirów.
1293:  Widzę, że proszę bardzo, jesteśmy w LOL, oto Pamiętniki Wampirów się pojawiają.
1298:  Teraz możecie zadać bardzo podstawowe pytanie, to znaczy, Krzysztof, ale dlaczego?
1303:  Dlaczego robisz takie dziwne rzeczy?
1304:  Dlaczego twoje strategie są niestandardowe?
1307:  Gdzie jest magia ognia?
1308:  Uspokój się.
1309:  Możecie zadawać takie pytania i będziecie całkowicie w mocy.
1312:  Zaraz wam wyjaśnię dlaczego, konkretnie już w kolejnej turze.
1317:  W tak zwanym międzyczasie zasadzimy się w zasadce.
1321:  Wszystko jest zrobione.
1322:  Chyba tak.
1323:  Tu jeszcze możemy zadbać o rozwój prowincji.
1328:  I tyle.
1332:  Coż 40?
1332:  Jaka frakcja jednostka?
1334:  Ciężka sprawa.
1336:  Tytan chyba.
1337:  Gdybym był w stanie przetrwać.
1342:  Co będzie planowane na 69 tysięcy subów?
1345:  O tak, to jest... Będzie trzeba przygotować coś specjalnego.
1349:  Traktat pokojowy!
1350:  Wampiry nie podpisują traktatów pokojowych.
1353:  Niech będzie podpalony, Michale Z., na wieki wieków spaczeń.
1356:  Czy oglądałem serial The Invincible?
1358:  Tak, jestem zachwycony.
1359:  Nawet wiem, dlaczego pytasz, z tego względu, że jest bardzo duża ilość krwi tam, a krew to jest nasz temat dzisiejszy.
1365:  Krwawy pocałunek, oto to jest kolejna mechanika, której możecie nie kojarzyć.
1369:  W przypadku wampirów istotne jest budzenie, wyciąganie strumień, strumień, strumien brutalne wszystkich członków rodów wampirów.
1378:  Nas interesuje członkini rodu Lammi.
1380:  Dlaczego?
1381:  utrzymanie minus 50% dla wszystkich bohaterów.
1384:  Właśnie dlatego.
1385:  I teraz tak.
1387:  Jeśli mnie pamięć nie myli, musimy się ustawić tak.
1393:  Tak, okej.
1395:  Ważna rzecz, okrążyć.
1398:  Mam nadzieję, że to wyjdzie.
1400:  Było testowane.
1402:  Trzeba się ustawić w bardzo specyficznym miejscu, Izabello.
1408:  Okej.
1409:  Tak.
1412:  czaty, szykujcie ser.
1415:  Teraz podporządkowanie.
1418:  Podporządkowanie sprawia, że ta frakcja wampirza, która zostaje podporządkowana, jest naszym sojusznikiem.
1427:  Ale niech was to nie zwiedzie, ponieważ nie wiem, czy nie zauważyliście, ale Vlad von Karlstein nie cofnął się tak jak zwykle się cofają jednostki podczas zdjęcia oblężenia.
1439:  Skorzystując z tej wiedzy możemy zerwać traktat Vassals z tą trakcją.
1447:  Następnie wypowiedzieć jej wojnę, po czym odporządkować tę frakcję, zdobywszy doświadczenie.
1463:  W następnej kolejności myślę, że już wiecie,
1467:  Co zrobimy?
1467:  Mianowicie, anulujemy traktat wasalski.
1472:  Wypowiemy wojnę.
1476:  Rozegrałem po raz kolejny tę bitwę.
1481:  Odporządkujemy.
1484:  Tak właśnie.
1485:  I tak, aż nasi bohaterowie będą bardzo potężnymi wampirami z nieśmiertelną wolą, która przywraca im punkty obrażeń.
1494:  A, ale pamiętajmy, że to nie jest wszystko, co możemy zrobić.
1499:  Mianowicie, nie wiem, czy pamiętacie, ale tutaj powstało nam mauzoleum szalonego hrabiego.
1504:  No to mauzoleum ma uinteresującą właściwość, że generuje nam bardzo duże ilości wampirów.
1509:  Na przykład dyscyplina.
1511:  Bardzo nas interesuje to.
1513:  więc niezwłocznie bierzemy.
1515:  Natomiast równocześnie jak Izabela von Karsztajn leveluje, to ma taki drugi ważny punkt u siebie, mianowicie plus jeden limit bohaterów dla wampirów.
1528:  Mam nadzieję, że widzicie już, jaka jest potęga tej cudownej strategii, mianowicie im bardziej levelujemy, tym więcej możemy mieć wampirów, im więcej mamy wampirów, tym bardziej levelujemy,
1542:  Więc spędzimy tutaj troszeczkę, czaty możecie gawędzić, bo niedługo nie dojdzie do żadnej bitwy, ale potem jak dojdzie do bitew, to będzie wesoło.
1552:  No więc tak, tylko trzeba pilnować bardzo tego, żeby za każdym razem anulować traktat wasalski, bo anulacja traktatu wasalskiego sprawia, że nasz przeciwnik, znaczy nasz sojusznik, dostaje wtedy full replenishment w ramach osady, dzięki temu możemy ją zaatakować.
1570:  Co więcej, jeżeli się zdarzy tak, że np.
1572:  nasze siły już są troszeczkę uszczuplone, to oczywiście dzięki cudownym właściwościom wampirów możemy je uzupełnić.
1580:  Fajnie jest też dbać o to, żeby wszystkie jednostki tutaj nas wspierały.
1589:  I tak też jest.
1591:  Można publikować pracę nie będąc naukowcem, ale afiliacja się przydaje niestety, więc warto mieć afiliację przynajmniej jakiejś fundacji, nie?
1615:  O, Izabela von Karsztajn ma następny level.
1619:  Wspaniałość, jeszcze dwa i będziemy mieli więcej wampirów.
1622:  Wampiry w ogóle są istotne, ponieważ to są w ogóle najlepsze jednostki, jakie możemy mieć.
1626:  Nie dość, że są bardzo potężne i trudno je zniszczyć, to jeszcze do tego wszystkiego wysysają krew, regenerują życie i rzucają zaklęcia.
1637:  Czy to kampania Full Auto Battle?
1638:  Na początku tak.
1644:  Bardzo nie lubimy fortu Obersteyr.
1647:  Będzie to miejsce, w którym spędzimy jeszcze troszeczkę czasu.
1654:  Wspaniałe te levele.
1657:  Może czas na doktorat z informatyki?
1658:  Strasznie zawiła ta strategia.
1660:  Ta strategia absolutnie nie jest zawiła.
1662:  Jej celem jest wyłącznie to, żebyśmy mogli rekrutować nieskończone liczby wampirów.
1668:  Podstęp.
1671:  Cokolwiek.
1672:  W sumie możemy mieć i tego.
1674:  Dobrze i wąpierz teraz będzie zaczynał mieć magię.
1682:  O!
1682:  Wspaniale, mamy już Hellsteed, czyli latającego rumaka z piekła.
1687:  Cudownie, cudownie.
1689:  Co tymczasem?
1690:  Tymczasem możemy wznieść tutaj nasz, bardzo dobrze, nasz fort.
1696:  Czy da się skonfederować wasala?
1698:  Tak, da się, ale trzeba wcześniej anulować traktat wasalski.
1702:  Na tym polega trudność.
1703:  Czyli generalnie cała rzecz polega na tym, że w przypadku, gdy nie walczymy w ten sposób ohydny z taką frakcją, jak ja to robię, to trzeba boostować relacje na najróżniejszy sposób i potem po anulacji traktatu wasalskiego, co kosztuje około 100 z tego, co pamiętam, albo 50 punktów, będziemy mieli tak wystarczająco dużo dobrych punktów relacji, żeby móc skonfederować.
1730:  Jest jeden minus tej strategii, którą teraz robimy, o ile można to nazwać strategią.
1734:  Minus polega mianowicie na tym, że nasza niezawodność się bardzo obniża, co oznacza, że wszyscy będą nam wypowiadać wojny za moment.
1745:  Artur pisze, jestem w klasie maturalnej, planuję pracę w gamedywie, jestem szczególnie zainteresowany programowaniem, game designem.
1750:  Czy są jakieś godne polecenia studia w tym kierunku?
1752:  Ja bym szedł na twoim miejscu,
1756:  albo na studia artystyczne, jeżeli Cię interesuje game design, grafika 3D lub 2D, w zasadzie grafika 3D, bo programowanie zawsze możesz sobie dorzucić i możesz się go nauczyć sam.
1767:  Nie wszystkie studia informatyczne w Polsce dają Ci taki pakiet wiedzy z zakresu programowania, jaki jest potrzebny.
1774:  IT to jest specyficzny kierunek i dużo ludzi idzie na studia z IT, myśląc, że będą nauczani przez specjalistów z branży.
1781:  Często tak nie jest.
1783:  Tura 8 to za wcześnie na darmowe szkielety.
1786:  Tak, to prawda.
1787:  To prawda, ale nam niepotrzebne są darmowe szkielety.
1791:  Darmowe szkielety to jest strategia Legend of Total War.
1793:  Ja mam strategię pod tytułem 40 wampirzych lordów w jednej armii.
1798:  Myślę, że to jest dobra strategia, zdecydowanie tak.
1802:  Wiecie co, żeby nie levelować co turę, zrobimy sobie tutaj jedną rzecz, to znaczy dostępne punkty umiejętności, odznacz.
1810:  O, tak zrobimy.
1812:  Nie lepiej niż na informatykę i samemu się uczyć Blendera, czy takie to Adobe?
1815:  Też tak można, ale ja osobiście myślę sobie, że... to jest obojętne, tak szczerze.
1822:  Ja bym na to miał spojrzeć.
1824:  Z mojej perspektywy.
1825:  W gamedevie tak czy siak poszukuje się raczej ludzi, którzy są praktykami, więc doświadczenie jest absolutnie kluczowe.
1833:  Im szybciej się podłapie gdzieś staż, tym lepiej.
1836:  Więc to bym bardzo doradzał, podłapać gdzieś staż.
1840:  Ale studia są dobre na to.
1842:  Czy setting Total War ocenia nam faktycznie ciekawszy niż historyczny?
1846:  Bez chwili wahania.
1847:  O nie... To nic, w następnej turze będziemy to mogli zrobić.
1858:  Wiecie, co zrobiłem?
1858:  Pomyliłem się oczywiście.
1861:  F. Nic, nic, nic, nic.
1865:  W następnej turze będziemy mogli zrobić to samo.
1867:  Mam nadzieję.
1869:  Tego nie sprawdzałem.
1873:  Marcin Marszałek pisze, przybyłbym wcześniej, ale oglądałem Detektywa Murdoka o filatelistach i gejach.
1878:  Ciekawym się miło oglądało, ja lubię procedurale.
1880:  Procedurale, hmm.
