Total War: Warhammer II — CYLOSTRA DIRELFIN livestream
🔗 https://www.youtube.com/watch?v=R6IbYz1NgRM

3:  Witajcie na streamie.
305:  Sprawdźmy, czy możemy sobie dorobić... O tak, zdecydowanie tak.
308:  Potrzebujemy jak największą liczbę oddziałów dystansowych.
313:  Gramy na poziomie legendarnym, co oznacza, że... Aha, nasz przeciwnik pieszchnął w przestrachu, ale spróbujemy go... Chyba przesadziłem z jednostkami.
329:  Tego nie potrzebujemy zdecydowanie.
332:  Na poziomie legendarnym jest niestety tak, że większość naszych jednostek...
339:  walczących w zwarciu, nie zwalczy w zwarciu dobrze, ponieważ ma za mało punktów wszelakiego autoramentu.
345:  Co nam potrzeba przede wszystkim?
346:  A, dla wszystkich z was, którzy nie grali w Warhammera w wersji właśnie tej, w dodatku Powers of the Coast, zaletą tego jest to, że poruszamy się w zasadzie czymś, co jest połączeniem armii i mechaniki hordy, znaczy w tym wypadku okrętem, który możemy rozwijać.
365:  co niniejszym uczynimy.
367:  Rozwój załogi, dobrze.
370:  Tyle w tej turze.
371:  Przez pierwsze tury będziemy przepalać się szybko.
376:  Sprytny plan zakłada, że wpierw pokonamy właśnie tych, ale to jest bardzo niedobra informacja, że nie udało nam się mieć bitwy w polu, bo to jest zawsze mniej doświadczenia.
388:  A tu chyba będziemy mieli bitwę oblężniczą.
390:  Nie, nie będzie bitwy oblężniczej.
391:  Dobra.
393:  Walczymy manualnie, żeby nie było... Czasami sobie zrobimy automatyczne rozstrzygnięcie, ale to będzie tylko czasami.
411:  W sumie nie, wyrekrutowałem moje ulubione jednostki, która nosi radosną nazwę wydęty trup.
419:  I nie, to nie chodzi o wydętego trupa w postaci sajlostry, to chodzi o jednostkę samobójczą, która wybucha w kontakcie z innymi.
427:  Zastanówmy się, jak to rozegrać taktycznie.
429:  To nie jest dobra mapa, ale jest tutaj przesnyk.
434:  Pro tip dla wszystkich, sprawdzić zawsze wcześniej, czy teren nie przeszkadza artylerii.
441:  Ponieważ na przykład w tym miejscu jest tak, że ta nasza artyleria by strzelała w ziemię.
447:  A tutaj jest szansa, że będzie mieć lepszy zasięg.
451:  Ewentualnie jeszcze tutaj.
454:  O. Myślę, że... Myślę, że stąd powinien być dobry.
460:  Dobrze.
464:  Tutaj bez zmian flanki będą nam strzegli ci.
471:  Ci niech będą z przodu.
473:  Jest najsłabsza jednostka, szybko się jej pozbędziemy.
476:  Natomiast zarówno syreny, jak i morngule możemy zachować sobie, ponieważ sajlostra daje im dość duże wsparcie.
484:  O, tutaj słowiczym głosem oznajmiła nam, jak się nazywa.
490:  Co na kubku?
492:  Nic, kubek jest jednolicie czarny.
496:  Niby piramida Nagasha, teraz będę mieć bardzo dużo różnych porównań Warhammerowskich.
503:  Ale w kubku jest za to zielona herbatka, nie ma nic lepszego niż zielona herbatka.
511:  Dobra, troszeczkę sobie przyspieszymy.
513:  O, o, o, o, o. Nasze działa już zaczęły strzelać, to jest dobra informacja.
520:  O, przeciwnik w Warhammerze zawsze uwielbia bardzo szeroko mieć linię frontu, ale możemy to wykorzystać przeciwko niemu.
534:  Ja na początku byłem bardzo źle nastawiony do tego Lore of Deep dosłownie, którym zawiaduje Sylostra, ale okazuje się, że ten system magiczny nie jest taki zły.
548:  Teraz chcę zrobić jedną sprytną rzecz, a mianowicie skorzystać z cudownej umiejętności, jaką ma Silostra, to znaczy przywołania błędnych rycerzy bretońskich.
561:  Zdecydowanie dwie herbatki są lepsze od jednej herbatki, propsuję.
566:  A co tu się dzieje, że nasze Morgule dostały takiego łupnia?
572:  Działa tutaj.
574:  Gdzie jest nasza Sailostra?
575:  Sailostra po prostu sobie tańcuje wokół.
578:  Tutaj potrzebujemy wesprzeć naszego... Dobra.
582:  Okej, sytuacja opanowana.
586:  Bardzo mi się podoba właśnie jedna rzecz, że ta historia Silostry, to Creative Assembly bardzo dba o to, jest sprzężona z tym, co się dzieje na polu bitwy, to znaczy zarówno ten nasz błędny rycerz Robert Bethelamy, jak i błędni rycerze, których przed chwilą przywołałem, oni mają sens w lore, ponieważ właśnie są tymi, którzy przybyli jako ochrona bretońska najsłynniejszej diwy stamtąd na statku.
611:  W związku z powyższym razem z diwą zatonęli, nie?
613:  Ma to sens.
619:  Dobrze, tu musimy się natychmiast pozbyć tej jazdy.
623:  Dobra, Morgule już mogą nam... Zauważyłem, że ze smutkiem, że część z naszych... część z naszych wojsk nie... nie słucha mnie, co jest skandalem.
637:  Dobra, niech... Morgule wycofamy na razie.
641:  Tu widzę, że jest niedobra sytuacja z Robertem.
646:  Silostro w którymś momencie będzie miała taką cudowną umiejętność przywołania wielkiego widmowego statku, który napieprza ze wszystkich dział naraz.
654:  Taka biedna wersja powiewu śmierci, który mają inne frakcje wampiryczne.
662:  A już wiem, dlaczego dostajemy takiego łupnia, ponieważ tutaj jest Lord.
666:  Trzeba go natychmiast... Trzeba się z niego natychmiast pozbyć.
673:  Ale sytuacja nie jest zła już.
677:  Myślę, że silostat tutaj może przyjść i pomóc.
680:  Co to jest?
680:  Mściwy strzał.
681:  Nie wiem, mściwy strzał nam nic nie da, ale atak w zwarciu nam da.
693:  Piękne są projekty tych jednostek, absolutnie.
696:  Nie ma nic piękniejszego od piratów, wyjąwszy gnijących zombie piratów.
706:  Dobra, tutaj nam się zdecydowanie ci strzelcy, a oni są najlepsi, lenią.
720:  No, gdybyśmy nam się udało o tamte, o dział wcześniej napaść, to nie byłoby tego problemu, który jest w tej chwili, z walką z dwoma naraz.
735:  Niestety jednostki wampiryczne mają to do siebie, że się rozpadają w momencie, w którym tracą dyscyplinę, jakkolwiek to głupio nie brzmi.
743:  A to przy walce z orkami nie jest dobre, bo orki mają relatywnie dobrą... Orkowie?
747:  Orkowie.
748:  Orki to byłyby te zwierzątka.
750:  Aha.
751:  Orkowie mają relatywnie dobrą dyscyplinę.
759:  To mi przypomina, że zawsze mnie bawi, jak czytam sobie jeszcze raz Hobbita, że Tolkien kompletnie nie miał pomysłu na orków na samym początku i nazywał ich z uporem maniaka w Hobbicie właśnie goblinami jeszcze.
773:  Dopiero potem to wszystko zostało jakoś uspójnione.
777:  Bardzo niestety nam Robert Belfelemi ucierpiał.
785:  Ale jest zwycięstwo.
786:  Nieznaczne, bo nieznaczne, ale zawsze dobrze zacząć kampanię od zwycięstwa.
797:  Zobaczymy, jak nam, ile nam doświadczenia to przyniesie.
805:  Nie, nie będziemy łupić.
807:  No, tak, tak, w Warhammerze na poziomie legendarnym w Total Warze generalnie od samego początku jest ciężko.
817:  Hmm...
822:  Bierzemy sobie magiczną ochronę absolutnie.
824:  Magiczna ochrona jest o tyle dobra, jest taka mechanika w Warhammerze, która zlicza odporność fizyczną do magicznej ochrony.
830:  To magiczna ochrona jest przed wszystkimi rodzajami ataków, czyli zarówno magicznych, jak i fizycznych, jak i dystansowych.
836:  Czyli jeżeli na przykład tutaj jest 80% odporności fizycznej, a tutaj 23% magicznej ochrony, to znaczy, że jesteśmy skapowani, bo 90% to jest kap dla wszystkich odporności.
849:  Dlatego ten paladin może tak długo tankować.
854:  rozwój, zdecydowanie rozwój.
856:  Natomiast dyplomacja nie jest zrobiona tak dobrze, jak w Trzech Królestwach, to znaczy... Też pamiętam, że w Szogunie i w Rome Total War były te bitwy troszeczkę prostsze i tak myślę, że to nie jest kwestia poziomu trudności.
874:  Poziom trudności na przykład w Warhammerze w tej chwili jest skalowany w ten sposób, że
878:  Im jest wyższy, tym więcej Jitów mają jednostki, w zasadzie do tego to się sprowadza.
883:  Dlatego właśnie się kompletnie nie opłaca rekrutować jednostek walczących w zwarciu, bo po prostu one zawsze przegrają z dokładnie taką samą jednostką walczącą w zwarciu, tylko że przeciwnika.
895:  Nam się nic nie opłaca w tym momencie zawierać żadnych sojuszy z tego, co widzę, chyba że się uda z ekspedycją łowczego.
902:  Nie.
904:  Nie udało się.
905:  No niestety, wszystkie frakcje, które są frakcjami w chaosu, nazwijmy to, a nie ładu, mają to do siebie, że dyplomacja nie jest ich mocną stroną.
916:  Gdybyśmy grali Imperium albo jakąkolwiek inną frakcję warhammerowską, od Bretonii właśnie po High Elfy itd., High Elfy zwłaszcza, one mają niesamowite boosty do dyplomacji.
927:  Jest taka mechanika lojalności, dzięki której możemy pozyskiwać, nie zgadniecie, lojalność innych frakcji.
937:  Zobaczmy, co tutaj jest.
940:  Nic.
942:  W cywilizacji boty trudniejsze, niech mają po prostu bonusy i hajs.
946:  No tak, tak, dokładnie tak.
949:  Do tego to się sprowadza.
952:  Zobaczymy dalej.
955:  Najgorszym elementem Warhammera Total War w sumie są oblężenia, niestety, ale to jest jakby znana sprawa Total Warów.
964:  Nie znam Total War'a takiego, który miałby dobry, dobrze rozwiązany system oblężeń, szczerze powiedziawszy.
969:  Znaczy to, co było zrobione w Trzech Królestwach jest całkiem interesujące.
973:  Można było z tego co pamiętam robić jakieś prowizoryczne forty na przedpolach.
983:  Ojej, jest beznadziejny teren.
987:  No nic.
988:  Kopiemy się z artylerią myślę tutaj, bo jest najbardziej płasko.
1002:  Cały czas się mylę, gdzie mam tych, którzy mają największy zasięg, więc sami dajmy ich do środka.
1006:  Ten paladen teraz będzie osłaniał flankę.
1010:  Morghule tutaj.
1014:  Morghule, zarówno tak jak syreny zresztą, mają nie tylko tę odporność fizyczną bardzo dużą, bo na poziomie, tutaj jest akurat na poziomie 5%, ale potem się zwiększa, ale również są świetne do walki w zwarciu, trochę tak jak berserkerzy.
1038:  Dobra.
1040:  Myślę, że zastosujemy podobną strategię z łucznikami.
1046:  No, jest tak jak myślałem.
1048:  To znaczy, te strzały artyleryjskie nie są... Mogłyby być lepsze.
1056:  Oj, chyba źle wymierzyłem.
1062:  Natomiast i tak duży szacun dla Creative Assembly, że udało im się wprowadzić sensownie magię do świata gier taktycznych i strategicznych do tego stopnia, że muszę wyznać, że nie wyobrażam sobie już w tej chwili Total War'a bez magii, jakkolwiek to dziwnie nie zabrzmi.
1080:  Dobra.
1088:  Silostra będzie sobie tak urokliwie pośpiewywać w którymś momencie, aczkolwiek kwestie jej dialogowe i tak nie są tak irytujące jak w wypadku Izabeli von Karsztajn, która powtarza nieustannie swifty i quickly i po kilkudziesięciu turach można już mieć dość.
1115:  Dobrze, myślę, że tutaj można ją już wesprzeć.
1120:  I wszystkie jednostki dystansowe niech strzelają w tego uroczego Garnsnaga Okołupa.
1123:  Bo myślę, że Silosta musimy pomóc.
1125:  I jeszcze Morgulę na wszelki wypadek.
1126:  Jak tam nasza... O nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie nie
1148:  Wystarczy na chwilkę spuścić ich z uwagi i jest problem.
1165:  Dobrze, tutaj trzeba wysłać na nich mormguli jednak.
1169:  Syreny sobie radzą, no ewidentnie ja myślę, że będziemy iść w syreny dzisiaj, bo ewidentnie się lepiej spisują niż mormgule jak na razie.
1180:  A ta nasza widmowa kawaleria swoją drogą może być ulepszana zdolnościami Silostry, więc będzie w którymś momencie tak, że nie będzie się rozpadać już.
1190:  I... będzie przywołana, krótko mówiąc, na cały czas trwania bitwy.
1202:  Myślę, że już... No, niestety tych łuczników się nam nie udało wyeliminować, co jest pewnym problemem.
1209:  I tak jak się obawiałem, nasza artyleria nie do końca ma dobrą linię strzału, niestety te... te niebieskie linie to znamionują.
1218:  To powinno być zaraz lepiej.
1228:  No myślę, że możemy trochę przyspieszyć już, bo jest dobrze.
1244:  Wprawdzie Sailostra nie jest maginią ognia, co byłoby radosne.
1249:  Ostatnio pytałem o trójkę w lewym rogu w Mechanicusie, to teraz pytam o trzydziestkę w prawym rogu.
1254:  Trzydziestka to są tak zwane wiatry magii.
1258:  Wiatry magii to jest odpowiednik many w tym świecie.
1262:  Może być ich maksymalnie 30, natomiast są globalne bonusy do puli wiatrów magii.
1268:  O nie, nie, nie, strzelają do nas.
1271:  I te globalne bonusy to zazwyczaj jest postać chociażby specjalnej cechy bohaterów.
1277:  czyli knowledgeable, która zwiększa liczbę wiatrów magii o 5, ponieważ generalnie ta liczba 30 to są wiatry magii dostępne nam tu i teraz, ale oprócz tego mamy jeszcze rezerwę.
1288:  Jeżeli rezerwa się wyczerpie, no to oznacza, że nie mamy już możliwości w ogóle korzystać z jakichkolwiek zaklęć.
1295:  I charakterystyczna jest też czeka taka, że im mniejsza jest w tej chwili rezerwa, tym wolniejsza jest regeneracja.
1300:  Teraz jest jeden punkt magii na 9 sekund, ale można dojść do takiego poziomu, że będzie rezerwa wystarczająco wysoka i wtedy oznacza to, że będziemy może mieć na przykład jeden punkt magii na jedną sekundę i to oznacza, krótko mówiąc, radosne spajenie zaklęciami.
1320:  Natomiast naszym generalnie celem jest stworzenie armii, która będzie miała zero strat za każdą bitwą.
1327:  I w tej grze się da to zrobić na dwa sposoby.
1330:  Albo robimy Doomstaka i to jest pewnie coś, co będzie najprostsze przy tej frakcji.
1336:  Nie będę psuł wam przyjemności ze spoilowania, jeżeli ktoś nie grał, jak cudownie wygląda Doomstack tej frakcji.
1346:  Myślę, że to.
1349:  A druga opcja to jest spamowanie tylko i wyłącznie tych bohaterów, bo jak widać, ten nasz Robert Bartholomew jest o wiele bardziej odporny od jakiejkolwiek z tych jednostek, zwłaszcza tych jednostek walczących z Warcią.
1364:  Dlatego też, jeżeli ma się ich więcej, to jest sama radość.
1368:  W którymś momencie też będziemy mogli zrekrutować artylerię oblężniczą o ledwie 450 zasięgu i sile pocisków 262 i to na pierwszym poziomie dopiero.
1378:  Nie.
1378:  To z kolei są rytuały, które możemy odprawiać, to jest też rzecz prowadzona we wszystkich frakcjach praktycznie.
1384:  Są różne frakcje, które mają na przykład właśnie w ramach rytuału dostępną artylerię, z tego co pamiętam to jest na ten moment tylko i wyłącznie właśnie Vampire Coast oraz Królowie Grobowców.
1394:  Królowie Grobowców znajdują się tutaj, na tych terenach pustynnych i to jest fantazja warhammerowska na punkcie starożytnego Egiptu.
1408:  Gramy też na największej możliwej mapie, co na szczęście nie wpływa źle na FPSy, przynajmniej na razie, dopiero przy jakiejś turze 200 czy coś zaczynają być problemy i generalnie Warhammer 2
1424:  To było mniej więcej ten obszar tutaj, aż po kranie z lustri.
1429:  Natomiast Warhammer 2 z dodatkiem Mortal Empires właśnie powiększył mapę o cały Stary Świat z terenami Imperium, Bretonii, Leśnych Elfów, Skavenów, Skavenblight, no i oczywiście tutaj Pustkowi.
1448:  krainy derwiszów, nazwijmy ją tak z grubsza.
1452:  I jeszcze tutaj tego pustkowia zajmowanego przez klan Eshin i Gór Graniczących z terenem, który prawdopodobnie będzie dostępny teraz, jak wyjdzie kolejny dodatek do Warhammera Total War 2, to znaczy Chaos Dwarves, krasnoludy chaosu.
1472:  Mortal Empires też zakłada, że walczymy właśnie z siłami chaosu, co jest troszeczkę dziwne, biorąc pod uwagę to, że gramy siłami nieładu, ale cóż.
1483:  Poziom werbowanych bohaterów plus 5, poziom werbowanych lordów plus 5 potrzebujemy i to z bardzo prostego powodu, mimo że czeka się aż 10 tur na to, ponieważ tutaj mamy coś co jest rodzajem kajuty kapitańskiej nazwijmy to i rozmaite urzędy, które możemy obsadzać i te urzędy dają nam soczyste bonusy, jak na przykład wszystkie armie we frakcji mają zasięg ruchu większy, albo rozwój załogi piratów jest większy,
1510:  albo utrzymanie zasięgi, siły pocisków i tak dalej, i tak dalej.
1514:  No i tutaj zrobimy taki mały skamik, to znaczy jeżeli poziom bohaterów jest plus 5, a żeby w większości przypadków zająć te stanowiska potrzeba minimum 5 poziomu, to będzie można bardzo szybko sobie zrekrutować wymagane postacie, następnie je szybko odprawić, co nie zmieni faktu, że będą dalej piastować te stanowiska i zapewniać nam radosne bonusy.
1536:  A dlaczego odprawić?
1537:  Z tego względu, że niestety większość frakcji w Warhammerze 2, Total War, ma mechanikę, która jest moim zdaniem jedną z najgorszych, a mianowicie chodzi o mechanikę... już wszystko się zastanawiam, będziemy to okupować...
1556:  Nie wiem czy tutaj ona jest gdzieś zaznaczona, nie jest zaznaczona, mianowicie linie zaopatrzenia.
1561:  I one sprawiają, że każda kolejna armia będzie kosztować o 30% więcej od poprzedniej i to jest straszne.
1571:  No, szybko idą nam te tury.
1586:  Dobra.
1592:  A kolonizacja wbrew pozorom nie jest zbyt dobra, ponieważ sprawi, że nasza armia zostanie gwałtownie uszczuplona, czemu częściowo tylko zaradzimy.
1604:  Myślę, że możemy się już pozbyć tej jednostki, bo ona i tak nam nic nie daje.
1609:  I wyrekrutujemy sobie jednego zdętego trupa, bo to jest sama radość.
1615:  Tu potrzebujemy rozwój, bo chcemy, żeby nasze prowincje się jak najszybciej budowały.
1623:  Co możemy jeszcze zrobić?
1624:  Latająca piramida jest na... Tak, to jest nasza granica, którą trzeba umocnić jak najszybciej.
1631:  Mam bowiem złe przeczucia.
1633:  Co potrzebujemy?
1634:  Potrzebujemy rozwój, absolutnie.
1639:  Dwunasty poziom przywódca frakcji, osiem tur, urzędy, dobra.
1649:  Dawno nie grałem Wyprzeżem Wampirów w sumie.
1652:  Ostatnia moja kampania to było coś jakichś, nie wiem, 500 albo 600 tur jaszczuroludźmi, a jaszczuroludzie zamieszkują te oto radosne tereny, spowite siecią geomantyczną.
1665:  Była taka fanowska teoria, że właśnie uniwersa Warhammera Fantasy i Warhammera 40K są ze sobą połączone.
1672:  I podstawą dla tej teorii było właśnie to, że siły chaosu występują zarówno w Warhammerze Fantasy, jak i Warhammerze 40K.
1681:  I oprócz tego i w jednym i drugim uniwersum są Pradawni, jakaś wielka cywilizacja, która wpływała na rozwój wszechświata.
1689:  No i była taka hipoteza, że te światy się ze sobą łączą gdzieś, ale ona została wielokrotnie już zdebankowana.
1705:  Powiedziano wojnę, to nie jest dobra informacja, ale na szczęście nie z nami.
1709:  Ale nie, to jest bardzo dobra informacja, bo jeżeli zaatak
1716:  Zdecydowanie upiór artyleryjski.
1718:  Upiór artyleryjski ma jedną cudowną właściwość, mianowicie uzupełnia amunicję.
1723:  Biorąc pod uwagę, że będziemy się koncentrować w tym momencie na artylerii, to dobrze, natomiast niestety dostaliśmy złą cechę.
1729:  Cechy są losowane, jak wiecie dobrze, uwielbiam RNG w grach wideo.
1734:  I cóż... Dostaliśmy determinację, czyli dyscyplinę, to nic nie daje.
1745:  Ale trudno.
1745:  Póki na razie nie możemy sami rekrutować nic, to musimy się zadowolić tym, co jest rozwój.
1753:  Zdecydowanie rozwój.
1762:  Teraz tak, można na dwa sposoby wypowiedzieć wojnę.
1766:  Można zrobić to w ten sposób i to jest sposób, który jest niepraktyczny.
1771:  Wiele lepiej jest dogadać się z ludźmi, którzy ich nie lubią.
1776:  W tym wypadku będzie to... A, niestety nie poznaliśmy jeszcze tej frakcji, to nie jest dobra informacja.
1785:  No nic.
1788:  Musimy tak czy siak.
1791:  Możemy kogoś wskrzesić, zdecydowanie.
1797:  Jakich mamy wrogów?
1804:  To jest oczywiście tylko jeden ze sposobów na rekrutowanie jednostek,
1808:  ale jest jeszcze tradycyjna rekrutacja, natomiast ja korzystam zwykle ze wcześniej umarłych z kuli globalnej.
1815:  Gra pan w Total War Troy?
1816:  To był mój pierwszy Total War w sumie i od tego czasu już siedzę w ROM, czasem szczególnie niektóre mechaniki tam były dziwne, jak np.
1821:  cztery surowce poza złotem.
1823:  Nie, nie grałem jeszcze w Total War Troy.
1826:  Warto?
1831:  Oczywiście wiadomo, że dla mnie Deal Breaker to jest obecność magii.
1841:  Okej, damy radę.
1844:  Dostaliśmy najgorszy sztandar możliwy, nawet nie będziemy go używać.
1851:  Tu już się nam robi coraz większa bitewka.
1856:  Tym razem będziemy mieli jakieś, tak, circa 1200 jednostek.
1862:  Widzę, że syreny nam już zaczynają awansować, to jest dobra informacja.
1868:  Muzyka w tej grze to jest mistrzostwo, naprawdę nie to samo co Warhammer Mechanicus, ale równie dobra.
1881:  Dzień dobry, dzień dobry, witam serdecznie.
1885:  Gramy sobie Siloastrą, Direlfą, diwą operową, której się nie udało dotrzeć na koncert i przez to się mści na śmiertelnych.
1897:  nigdy nie rozgniewać diwy operowej.
1900:  Myślę, że tutaj ta nasza artyleria może mieć dobry zasięg, ale sprawdźmy.
1906:  Swoją drogą pro tip, alt i lewy przycisk myszy na przenoszenie jednostek, czego nam NIKTO OCZYWIŚCIE NIE MÓWI!
1916:  Dobrze, rozwiniemy sobie naszą linię.
1919:  Myślę tak.
1923:  Tutaj sobie damy tych naszych radosnych strzelców.
1928:  Syreny na flankę.
1930:  Morn Gulle na flankę numer 2.
1932:  A nasza Diva dokuczliwa idzie na pierwszy ogień.
1942:  Jeden wzdęty trup będzie tutaj w rezerwie, niech go mam w grupce.
1947:  A jak działa wzdęty trup, to wam zaraz pokażę.
1951:  To będzie bardzo radosne.
1958:  W ogóle się cudownie prezentuje ta D.Va na polu bitwy.
1961:  Ma nawet wachlarzyk!
1970:  Ja grałem właśnie po raz pierwszy w Total War'a, to się naprawdę zajawiłem, ale nie, jak patrzę wstecz, to przypomnę, że był to total... to był ten nietotalwarowe przeżycie.
1978:  Uuu.
1980:  Ale zaraz, zaraz, zaraz, tutaj widzę, że jest bardzo dużo jednostek, to nie jest dobra informacja.
1988:  Okej.
1995:  Nasz wzdęty trup numer dwa idzie tutaj zdecydowanie.
2002:  Pokusznika.
2005:  Thievowe, pobugowane, niedokładnie zrobione.
2007:  Uuu.
2007:  No tutaj muszę powiedzieć, że mnie bardzo kupuje to, w jaki sposób jest graficznie ogarnięty ten Total War.
2013:  Jest po prostu, no... No gra się cudownie.
2018:  Czemu te jednostki nie chcą się tak radośnie zgromadzić, jak ja bym sobie to marzył?
2026:  Dobra, to nie jest wciąż dobry... Potrzebujemy jeszcze Paladyna.
2032:  Jednostkę samobójczą jednak trzeba wykorzystać w odpowiedni sposób.
2038:  Tu jest jeszcze charge bonus, który trzeba stosować przy kawalerii.
2043:  Okej, okej, dobrze, dobrze, dobrze, dobrze, bardzo dobrze.
2051:  Tak, tak, tak, tak, tak, tak, tak, tak, tak!
2055:  Teraz.
2060:  To będzie dobry moment.
2069:  Patrzcie i podziwiajcie wzdętego trupa w akcji.
2076:  Tak jest!
2079:  Nie ma jak jednostki samobójcze.
2081:  Tyle potrzebowaliśmy.
2084:  Myślę, że już resztę załatwimy u nasi wstrzelcy.
2104:  To są w zasadzie rusznice, a dopiero tutaj są pistolety.
2107:  Docelowo sobie wymienimy wszystkich, myślę, na rusznice.
2110:  Oj, oj, oj, oj, oj, oj.
2112:  Dobra.
2117:  Strzelcy.
2118:  Generał.
2121:  Nasze działa, myślę, mogą spokojnie tutaj.
2124:  U, u, u, u, u. Nie przewidziałem, że tam jest taki zasięg.
2134:  Dobrze, włóczników.
2141:  No te nasze zaklęcia mogłyby być lepsze, delikatnie rzecz ujmując, dzisiaj.
2152:  Postaramy się zatem coś z tym fantem zrobić.
2156:  Myślę, że Sylostra może pójść na włóczników.
