SKAVENI WRACAJĄ — IKIT CLAW livestream #8
🔗 https://www.youtube.com/watch?v=f5uBVyRilCY

246:  Dziękuje.
906:  Właśnie dlatego trzeba być przygotowanym na najgorsze.
910:  Zawsze.
912:  A.I.
912:  w Warhammerze nie należy do najmądrzejszych.
914:  Nazwijmy to bardzo, bardzo łagodnie, powiedzmy.
917:  Bardzo łagodnie.
921:  Aśku, jest niebieska, tak jest.
923:  Czy widziałem trailer ROTTERREICH?
926:  RTS ze szczurymi żołnierzami i... Tak, widziałem chyba, przemknął mi.
931:  W ogóle ja sprzyjam wszystkim RTS-om.
933:  Zobaczymy, czy to będzie dobre.
939:  Strasznie nas strzelają, wszyscy w nas strzelają, chcą nas zgładzić.
942:  Dzienniak codziennie w życiu Skavena.
945:  Język Skavenów jest beyond our understanding.
947:  Ale już, wiecie, ja się tak śmieję z tego języka Skaveniego i go imituję, ale on został naprawdę genialnie zrobiony, prawda?
953:  Takie szybkie powtarzanie rzeczy bardzo pasuje do sztura.
957:  Tak, tak, tak, tak, tak, tak, tak, tak, tak, ser!
959:  Bardzo.
960:  Świetna sprawa.
962:  Nie jest proste zrobić tego rodzaju ksenojęzyk, który będzie zrozumiały i równocześnie będzie miał klimat.
969:  Dzisiaj niespodziewany dzień.
970:  Niespodziewanie, wypuścimy je ze szpitala, pisze Jesionka.
973:  Całe szczęście, Jesionko.
974:  Mam nadzieję, że się czujesz już w porządku.
979:  O!
981:  Minęliśmy moment, kiedy wieża miała 69% obrażeń.
985:  Dobrze, teraz możemy robić wyłomy.
989:  Niespodziewanie, stream jest niespodziewany.
991:  Absolutnie nie mógłbym się bardziej zgodzić.
993:  Jak tam Ikit?
994:  O, Ikit może rzucić kolejne zaklęcie.
999:  Hmm... Gdzie rzucimy zaklęcie?
1000:  Tutaj.
1003:  Good spell!
1004:  Good!
1009:  Zaklęcie rykoszetowało i to strasznie.
1014:  Może ktoś tutaj z pamiętnika początkującego psychiatry... Szukam opinii.
1017:  Rozumiem, że to jest w trybie bardzo pilnej chęci pomocy mnie.
1023:  Dobrze.
1024:  Cały czas napierdzielają w nas te moździerze, których jest tutaj całkiem sporo, rzekłbym.
1029:  Czy my jesteśmy w stanie się do nich dostrzelić?
1031:  Prawdopodobnie tak.
1032:  Spróbujemy w każdym razie.
1035:  Dobrze, wyłom zrobiony.
1037:  Świetnie.
1040:  Skoro już jest stream, pisze Karneval Mephisto, będę sobie słuchała przy czyszczeniu szafy i wyrzucaniu staroci.
1045:  Ja wyrzuciłem przy Przewrała Prowadzce jakieś pięć siat wielkich stulitrowych.
1049:  Nieprawdopodobne.
1050:  Bycie nienormalne jest najlepsze.
1051:  Absolutnie się zgadzam, Joanna.
1054:  Bycie nienormalnym jest przede wszystkim wesołe.
1056:  Bardzo mnie martwi natomiast, że nasze szczury zostały zaatakowane.
1060:  To jest bardzo ponura sprawa.
1061:  Bardzo mnie martwi również, że nasze szczury są chore psychicznie i stwierdzają, że podciągną katapultę.
1068:  Na szczęście możemy się wynurzyć jeszcze spod ziemi i zaatakować moździerze.
1072:  To jest specjalna zdolność.
1074:  Witamy Oscara.
1076:  Witamy Samuita.
1077:  Wszystkich, którzy przybyli, witamy.
1082:  Wiecie co?
1083:  Bardzo mnie denerwują moździerze.
1085:  Ha!
1086:  Ha!
1086:  Ha!
1087:  Wietnam dla moździerzy!
1089:  Ha!
1090:  Ha!
1090:  Ha!
1090:  Ha!
1091:  Ha!
1092:  Ha!
1092:  Tak!
1093:  Nie ma moździerzy!
1098:  Ja nie rozumiem, jak można nie lubić Warhammera.
1104:  Absolutnie nie rozumiem.
1106:  Ikid tymczasem szaleje.
1108:  Świetnie.
1113:  Good.
1114:  Bardzo dobrze.
1115:  Iki może jeszcze pierdzielnąć biorunem, co uczyni z chęcią.
1120:  I co jeszcze?
1121:  Potężne zaklęcia, bo mało rzuciliśmy zaklęć.
1124:  To walnimy jeszcze jednym.
1130:  Tak jest.
1131:  Tylko Skaveni mają bombę atomową w tym świecie.
1133:  Przepraszam, bombę spaczeniową.
1135:  Ale kochani, nie mówicie, że jest coś źle, więc wnoszę, że wszystko działa.
1141:  Piękna zagłada się szerzej.
1142:  O tak, Inka, o tak.
1144:  Prodigiozyna, dzięki za wsparcie od 4 miesięcy.
1146:  Ostatnio był nasięźrzał.
1149:  Czas na podejrzon.
1153:  Stawiacie wyzwanie moim zdolnościom artykulacyjnym.
1158:  To jest słowo, którego szukałem.
1165:  Oh, tak.
1170:  Działa i skwierczy, tak ma być.
1172:  Tak ma być, moi drodzy.
1173:  Nasze szczury tylko są nieco nadwyrężone.
1175:  To jest w ogóle śmieszne, zawsze myślałem, że się mówi na... znaczy, że się pisze nadwyrężony, a pisze się nadwerężony.
1184:  Strasznie dziwne.
1186:  Randomowe odkrycie językowe.
1190:  Śmieszni, śmieszni imperialni myślą, że wygrają.
1195:  Ale tymczasem już wiedzą.
1196:  The gods has abandoned us!
1198:  Macie tylko jednego boga, Sigmara, i zaiste was odpuścił.
1206:  O!
1208:  Ja od groma ubrań oddałam, kiedy zbierano na Ukraińcu, pisze Karneval Mephisto.
1211:  Pięknie!
1212:  Nie dość, że uszczukiwam szafę, to przynajmniej będzie coś pożytecznego.
1215:  I dodam, że dalej można oddawać.
1218:  I dalej są pożądane i potrzebne, moi drodzy.
1223:  Ile mamy lordów z traitem knowledgeable?
1225:  Dla wszystkich, którzy nie wiedzą, o co chodzi, im więcej lordów z cechą knowledgeable, czyli wiedzący, tym więcej magii.
1233:  Będziemy sprawdzać za moment.
1234:  To jest dobry pomysł, żeby zrekrutować paru.
1236:  Historyczny Warhammer.
1237:  Szczury wygrały nad Francuzami.
1239:  Tak.
1240:  Iggit Claw has no equal.
1243:  No equal, yes, yes.
1246:  Nie ma jedzenia.
1247:  Szczury się nie przejmują tym, że nie ma jedzenia.
1249:  Szczury łupią.
1254:  O tak.
1256:  I... I pięknie.
1261:  This rat is no fool.
1262:  This rat is perennial.
1265:  Yes, yes.
1267:  Dobrze, mamy nieśmiertelnego szczura.
1269:  Czy jest coś piękniejszego od nieśmiertelnych szczurów?
1271:  Pytam się ja was.
1274:  Premia do szarży, weźmiemy premię do szarży, czemu by nie.
1278:  Magia, prycz z kowbojami jak ja to lubię.
1280:  Dajcie spokój, piękny jest Red Dead, ja jestem wzruszony i poruszony od ostatniego czasu.
1287:  Będziemy jeszcze mieli jeden z team z Red Dead Redemption 2.
1291:  Imperium to Niemcy, to prawda, Francuzi tutaj bardziej.
1294:  Francuzi będą jak zaatakuje nas Bretonia moi drodzy.
1298:  Powinienem był rzec, jak zaatakuje nas Bretonia.
1302:  Przepraszam, będę jeszcze to robił.
1304:  Parę tygodni.
1304:  No, parę miesięcy.
1307:  No, parę lat.
1309:  Na wszystkich, którzy nie wiedzą, to jest mapa autorstwa niepraktycznego kartografa.
1314:  Rat Spaccino!
1315:  Rat Spaccino jest zasilany przez Ratka 70 milionów Spacina, Szczur Drzeja Spaczudę, Spacznalda Duska i Rafa Spaczęse.
1328:  Red Dead Redemption 2 zostawia niezapełnioną pustkę w sercu, pisze Samuit i nie sposób się nie zgodzić.
1334:  Nie sposób się nie zgodzić, moi drodzy.
1336:  Wznosimy budowlę, żeby nasze podmiasta pieły się w górę.
1339:  Podmiasta to są struktury, które są zarówno gameplayowo tutaj obecne, jak i są obecne w lore, ponieważ Skaveni
1347:  lęgnąc się pod każdymi miastami, właśnie konstruują podmiasta, nie mają własnych miast.
1352:  Dlatego też jest taki memiczny dowcip, że Skaveni nie istnieją, bo faktycznie Imperium uważa, że nie istnieją.
1357:  I teraz najlepsze.
1359:  Niepraktyczny kartograf uwzględnił to, bo nie ma żadnej szczurzej osady zaznaczonej na całej tej mapie Starego Świata i Ulfuanu, w tym i Skavenblight, a Skavenblight macie, moi drodzy, tutaj, o. Tu jest Skavenblight.
1373:  Właśnie na tych martwych bagnach.
1376:  Miała powstać armia z samych szczurzych bohaterów, to jest prawda, Anuki?
1379:  Dobrze pamiętacie, witamy Piotra.
1381:  Piotr uwielbia wbijać w momentach skawieńskich uniesień, będzie dzisiaj dużo momentów skawieńskich uniesień.
1386:  Skandal, nie mamy rakiety zagłady.
1388:  Należy natychmiast skonstruować rakietę zagłady, mamy dwie turynoty.
1394:  Aaa, dobre, podmiasta się pną w zasadzie w dół, a nie w górę, tak.
1399:  Tak, tak, tak, mury, mury, mury są ważne w przypadku skawenów, bardzo, bardzo.
1404:  To też jest ważne, dobrze, pięknie.
1408:  gdzie Imrik i jego Zdobycie Smoku.
1410:  Imrikiem też zagramy.
1412:  Jeżeli chodzi o Mortal Empires do Warhammera III, on wyjdzie w trzecim albo na przełomie trzeciego, czwartego kwartału, więc będziemy mieli jeszcze troszeczkę Warhammerów do zagrania.
1422:  Mentus, dziękuję za filmy, dałbym księ nauki.
1423:  O, jak mi miło.
1424:  Dzięki nim wracają chęć i motywacja do działalności okołonaukowej.
1427:  Totalne przepracowanie psychiczne i fizyczne zwalczyło tę motywację.
1430:  Cieszę się ogromnie.
1430:  Bardzo się cieszę, że się Wam podoba.
1433:  Pamiętajcie, że jestem tam tylko współprowadzącym, ale bardzo mi miło jest angażować się w to z pełnym zaangażowaniem, bo mam też przekonanie, że to jest taki rodzaj popularyzacji, pod którym się mógłbym podpisać.
1446:  Dlatego też to robię.
1447:  Razz Pacino się... O, może się ruszyć Razz Pacino.
1450:  To wiecie co?
1450:  Razz Pacino będzie wędrował do Talabheim.
1454:  Talabheim to jest jedna z bogatszych w surowce drzewne prowincji imperialnych.
1459:  No nie zgadniecie dlaczego.
1464:  Dam wam chwilę.
1466:  Szczurem za murem, murem za szczurem, tak.
1468:  Czy czytałem diunowe książki syna Franka Herberta Bryana?
1471:  Zabawne, że pytasz, Konrad, bo akurat chciałem zamówić, ale niestety okazało się, że są w większości niedostępne już, więc się zgapiłem troszeczkę z uzupełnieniem księgozbioru.
1481:  Czytałem tylko diunę 7, natomiast nie czytałem tych najnowszych zupełnie.
1484:  Serosław Spaczyński rusza tutaj, żeby się zasadzić w zasadce na Belegara Żelaznego Młota i Grombrindala.
1491:  Grombrindal swoją drogą w Warhammerze III
1494:  Immortal Empires będzie zaczynał w tym miejscu, to jest ciekawe, wczoraj ten news poszedł albo przedwczoraj, więc będzie zaczynał koło Malekita i koło elfów z Nagaroth.
1506:  Mr. Beaumont widział tłustego szczura, to był zwiastun dzisiejszego streama, niechybnie.
1514:  Murem za szczurem, szczury pod murem.
1516:  To prawie jak w Hamlecie, że las podchodził pod miasto, czy jak gdzieś, w którejś sztuce Szekspira.
1524:  I tak, to jest zupełnie tak jak tam.
1527:  Rudecja!
1530:  Run, Fools, Fools, uciekajcie, głupcy!
1532:  Głupcy, tak!
1534:  Tak, brat Szczurzemiarz.
1536:  O, brat Szczurzemiarz jest na pamiątkę brata Jeremiasza przecież.
1540:  Brat Szczurzemiarz może mieć bardzo dużo leveli, wspaniale.
1545:  Serosław Spaczyński jest drugi raz już widzę.
1547:  Ewidentnie czatom się nie nudzi ta nazwa.
1552:  Dobrze.
1554:  Jest jeszcze Cernic de Pouce.
1556:  Cernic de Pouce niechybnie, moi drodzy, jest z twierdzy.
1563:  Rebels in victory!
1565:  O nie, nie, nie, to potrzebujemy przede wszystkim.
1567:  Potem to, potem to, potem to.
1572:  Szczury pod murem!
1573:  Szczur, waszym królem!
1575:  Tak!
1577:  Hejldolf wymaga... czego wymaga?
1582:  Wiecie co, powinniśmy tutaj mieć na wszelki wypadek... Tak, miejmy arsenał.
1591:  Odnośnie miejsc startowych, co sądzę, to też są miejsca początkowe niektórych postaci.
1595:  Jest dobrze w Warhammerze III, natomiast bardzo mi się nie podoba to, że krasnoludy nie zostały przeniesione, bo w Warhammerze III, dla tych z nas, którzy nie wiedzą, tutaj się raczej rozwija akcja i bardzo liczyłem na to, że pojawią się w miejscu, w którym tu zwykle startuje, cóż, niech ja sobie przypomnę, jak się nazywa ta osada, nie pamiętam, Karak, nie Norn.
1626:  Nie ma jak Murmurando z Kawenie.
1630:  Szukam inspiracji do tworzenia muzyki do gier.
1632:  Jaki jest twój ulubiony soundtrack i do jakiej gry piszesz, Błażej?
1635:  Wiecie co?
1640:  Dlaczego?
1643:  Dlatego, że mogę tego słuchać oddzielnie.
1647:  Poza grą.
1649:  Gorgonzolga parmezanczuk.
1652:  To jest zbyt dobre.
1653:  Musimy natychmiast tak zmienić.
1657:  Ratysław Gomułka.
1659:  Tutaj mamy.
1666:  Tu jest tragedia, moi drodzy.
1671:  Gorgonzola.
1674:  Parmezańczuk.
1677:  To miała być, dobrze pamiętaliście, Quick Headtaker ma mieć armię złożoną wyłącznie z bohaterów.
1684:  Wiecie dlaczego?
1685:  Zaraz wam powiem dlaczego.
1686:  Mianowicie ten konkretny bohater ma unikatową zdolność, która daje magiczną ochronę 5% dla Lorda.
1692:  Jest cudowny w związku z powyższym.
1698:  O tak.
1699:  Kto wpłat na Ratysława Gomułkę?
1701:  Nie wiem, wiecie, to jest ósma część tego streamu, nie ma żartów, więc czatów zdolności miały czas na to, żeby się rozwinąć.
1712:  Uuu, to sobie porzucimy.
1714:  Nie ma sensu rozwijać skawenik osad w ten sposób, od razu się je kolonizuje.
1721:  No chyba, że to jest poziom czwarty, to ewentualnie wtedy można sobie podarować.
1726:  Dobrze, dobrze.
1731:  Stosunki dyplomatyczne ze skawianami.
1732:  Kamień Klanu Skraja.
1734:  Kamień Klanu Skraja zwiększa obrażenia magiczne.
1737:  Co sądzę na twórczości rapowej Doroty Masłowskiej, zwłaszcza motyle.
1742:  Ja generalnie nie lubię bardzo Dody Masłowskiej, ale jak już musi coś robić, to lepiej, żeby pisała rap niż książki.
1751:  Zdecydowanie, bo to wychodzi o wiele lepiej.
1757:  Spaladin z paczeniem błogosławiony.
1760:  Dziękuję.
1761:  Dziękuję za przypomnienie.
1763:  Ale wiecie co?
1764:  Spaladin jest zbyt dobry.
1766:  Spaladin jest zbyt dobry, żeby manował się jako bohater.
1769:  To będzie Spaladin.
1771:  Spaladin z Paczeniem.
1783:  Nie pamiętam, czym miał być Spaladin z Paczeniem robiony.
1788:  Źle nazwał, miałoby być Orgonzola.
1791:  Dobrze, to spokojnie, spokojnie.
1795:  Spokojnie.
1798:  Lepiej?
1800:  Lepiej.
1802:  Błogosławiony, a nie... Trzeba coś krótszego.
1806:  Trzeba coś krótszego.
1808:  Nomen omen.
1811:  Z paczeniem... Nie wiem.
1818:  Wiecie co?
1818:  Wiem.
1823:  Podpalony!
1824:  O!
1824:  O!
1825:  O!
1825:  O!
1826:  O!
1826:  O!
1827:  O!
1827:  O!
1827:  O!
1830:  Nie!
1831:  Wiem, co zrobimy.
1836:  Przepraszam.
1837:  Przepraszam wszystkich, którzy są... Przepraszam.
1842:  Przepraszam wszystkich, którzy są redaktorami.
1849:  Przepraszam za tę spację.
1852:  Przepraszam, ale będzie.
1854:  Spaladin z paczeniem podpalonym.
1857:  Jan Czetartu.
1860:  Dlaczego myśmy jeszcze tego nie mieli?
1863:  Co się z wami dzieje się?
1864:  Czarownik.
1865:  Jest jakiś sensowny?
1866:  Nie bardzo.
1868:  Dyscyplina.
1873:  It hurts.
1875:  It burns us.
1877:  Słodki Jezu, ta spad... Wiedziałem, że będziecie narzekać.
1880:  Dobrze, mam jeszcze dwie bitwy do ogarnienia.
1881:  Nie, jedną bitwę mam do ogarnięcia.
1889:  Headtaker.
1891:  Konkurs na tłumaczenie Headtaker.
1895:  Im więcej bitew, tym więcej jedzenia.
1898:  Im więcej jedzenia, tym więcej podmiast.
1901:  Im więcej podmiast, tym więcej skawenów.
1904:  Im więcej skawenów, tym mniej wrogów rzeczy.
1907:  Tak, tak.
1910:  Krzysztof czizuje formatkę imion 2022 gorgonzolowane.
1914:  O, głowiobiorca jest dobry.
1917:  Albo głowodzierżca.
1919:  Dobrzy jesteście.
1922:  Łowca głów mi się nie podoba.
1923:  Znaczy, łowca głów brzmi jak wódz indiański.
1930:  Mordokrat, ubochwyt, głowołap, właśnie, to są te złożenia, które lubi polszczyzna w takich sytuacjach.
1939:  A w ogóle Racz Van Serlinde jest dobry, ale już mamy Racza Van Serlinde.
1946:  Dobrze, moi drodzy, co robimy?
1949:  To nie będzie prosta bitwa, ale ja nie przyszedłem tutaj, żeby mieć dla was proste bitwy.
1956:  Ja przyszedłem tutaj, żeby mieć radosne bitwy.
1959:  Ja przyszedłem tutaj, żeby mieć złe bitwy.
1963:  To jest szalone.
1964:  Szalona armia
1967:  Szalona armia złożona z samych kół Zagłady.
1971:  Nie wiem, miałem zielonego pojęcia, dlaczego coś takiego zrobiłem.
1974:  Dobrze, tutaj będzie ochrona katapult i... Tak.
1980:  Dobrze, dobrze.
1984:  Dobrze.
1986:  No tak, tu sobie zrobimy grupę 1, tu sobie zrobimy grupę 2 uderzeniową.
1991:  Nie, nie, nie.
1994:  Kaczk błogosławiał skaweńską armię, by wygrywała w bojach.
1997:  Dziękujemy, proroku!
1997:  Czy masz takie gry, które czasem dostrzegasz w innych grach?
2002:  Na przykład każdy koń do płotka.
2005:  Trochę tak.
2006:  W ogóle to, o czym mówisz, się nazywa ładnie, zostało ładnie nazwane Xenę Encyklopedią, to znaczy to jest ta nasza erudycja, której nabywamy im więcej zagramy w gier fantastycznych, im więcej poznamy uniwersów fantastycznych.
2020:  To jest na przykład to, dzięki czemu można użyć w innej grze, no właśnie, chociażby takiego słowa jak Miecz Świetny albo Wiedźmin i wtedy trochę się tak rozbudowuje ta nasza encyklopedia gatunku.
2032:  Witamy Madzie w gronie Trybutariuszy, dobry zwyczaj za jamniczej, dziś jamniczymy się na Skaweńską, moi drodzy.
2038:  Ser Ratomir, pamiętajcie o tym.
2041:  Jak będę mieć dramatyczne pytanie, imię, imię, imię, imię dla Skawenów, tak, tak.
2047:  Dobra, więc teraz tak, zrobimy następującą rzecz.
2050:  Kółka Zagłady na razie damy w odwodzie.
2054:  Teraz idziemy tylko szczurami.
2061:  Zuza przeczytała obie części Szóstki Wron po angielsku, sukces, gratis dla Zuzy.
2066:  Jak podobało się w wersji oryginalnej?
2069:  Pecorino, szczurano!
2074:  O tak, Dishonored też sobie wróci radośnie.
2077:  Dzięki temu, że dzisiaj gramy w Warhammera, będziemy mogli sobie spokojnie weekend poświęcić na Dishonored i Red Deada.
2089:  Teraz tak.
2090:  Czy będę się bardzo nad wami znęcał, czy nie będę się bardzo nad wami znęcał?
2093:  Bo mógłbym spra... Zrobić... Uś, uś, uś, jak by to była cudowna bomba!
2097:  Czemu ja nie mam bomby?
2100:  Nie, quick!
2105:  Jak oni mają z... No tak średnio powiedziałbym.
2109:  U, średnio, dobra.
2112:  Jednak się będę nad wami trochę znęcał.
2119:  Skampa, skampa!
2123:  Prorok Spaczk proponuje bydysko.
