Nie ma ognia bez maga ognia — BALTHASAR GELT Livestream #2
🔗 https://www.youtube.com/watch?v=M4K_9rqOrJc

2:  Witajcie w świecie Warhammera!
252:  Ja również mam nadzieję, że ten test nie będzie zamknięty.
255:  Mam nadzieję, że ten test będzie zrobiony zgodnie z regułami sztuki i że będzie można na nim ściągać.
261:  Krzysztof, obudź się, jesteś w Polsce.
265:  Dobry tasmański wieczór, Taraelu.
267:  Witam wszak wiadomo także.
269:  O tak, władcy mógł już byli.
271:  Czy czytałem artykuł na... Czeka, czy tylko jego wpisy na Twitterze?
275:  Czytałem i artykuł, i wpisy na Twitterze, co sprawiło, że będę miał okazję i ochotę zabrać w tej sprawie stanowisko.
282:  A czekałem już dawno na to, bo chciałem mieć pretekst do tego, żeby wreszcie opowiedzieć o kulturze zapierdolu.
287:  Nie umiem sobie wyobrazić lepszego pretekstu.
290:  Witamy Tobiacona.
292:  Moim zdaniem lordem legendarnym pisze Philip List.
294:  Cincha będzie na premierę Xartos.
297:  Wyrocznia Cincha, który może widzieć to, co było przed chwilą i to, co się zdarza.
300:  Bo na plakatach jest Pan Przemian z dwoma głowami.
303:  Tak, to jest bardzo możliwe.
305:  To jest bardzo możliwe.
305:  W ogóle Cinch jest lordem, którym zagram w pierwszej kolejności tuż po Kafaju.
311:  Bo Grand Kafaj to jest przepiękna sprawa dla ludzi, którzy jak ja lubią oblężenia przeprowadzać głównie z udziałem magii albo bronić się przed oblężeniami w nieskończoność.
327:  Druga część Dune'y potwierdzona na 2023, raportuje Marta F. i to znakomita wiadomość.
335:  Artyleria, z której korzystamy, nazywa się Hellstorm Rocket Battery i nie uwierzycie, została przetłumaczona po polsku na wyrocznie pielęgnych fajerwerków.
344:  Swoją drogą, z tego co widzę, fryzurka mocno słowiańska tutaj jest.
350:  O tak, o tak, jakie przepiękne rzeczy.
352:  Czy czytałem Sandersona?
353:  Oczywiście, pando.pl.
355:  Archiwum burzowego światła.
358:  z Mgły Zrodzony.
359:  Następnie trilogia sequeli po Mgły Zrodzonym, która przenosi nas w świat, nazwijmy go Steampunkiem.
369:  Możecie się dziwić, dlaczego wampiry nie kontratakują?
372:  Z bardzo prostego powodu.
373:  Głupie wampiry nie mają strzelców.
376:  Witamy Aleksandrę.
377:  Dlaczego pisanie kartkówek pyta matfanika?
380:  Wejściówek jest tak strasznie stresujący.
381:  Niby tematy łatwe, ale i tak głupieje na rdzeniu
389:  Używasz słów, które są powyżej mojej pokrywki, ale ja jestem przeciwnikiem wszelkiego rodzaju kartkówek niezapowiedzianych, ponieważ niezapowiedziana kartkówka zasadza się na podstawowym przeświadczeniu.
402:  Przeświadczenie to brzmi, są w okolicznościach życiowych czy pracowych takie sytuacje, w których musimy...
411:  przyciśnięci do muru, wygrzebać z pomroków niepamięci jakąś informację i ją przedstawić natychmiast.
417:  Tak się nigdy w rzeczywistości nie dzieje, to znaczy w sytuacji, gdy musimy jakieś informacje odtworzyć, po prostu sprawdzamy to w internecie.
424:  Dlatego tego rodzaju sprawdzanie wiadomości jest głupotą.
429:  Dziś środa, środek tygodnia, pora się napić, mówi Seranox, i kimże ja jestem, by to negować?
435:  Kimże ja jestem?
437:  Witam serdecznie w tym pięknym dniu metalowy Prymarchu.
439:  Cóż za piękne słowa na czatach.
445:  Baltazar Geld już rzuca za trzy punkty magii Palącą Zagładę, ale będziemy używać sformułowania Searing Doom, bo jest przepiękne.
453:  Paląca Zagłada nie jest przepiękna.
456:  Czy nasza... Mamy zasięg!
460:  Wielkie Nietoperze, gincie.
465:  Cieszę się misją Sionko, że się podoba Dune'a, absolutnie.
467:  W zasadzie z tego, co widziałem, krytyczne głosy na temat Dune'y są wyłącznie od osób, które bardzo lubią filmy, które są sfabularyzowane, ale to wiecie, to jest mniej więcej tak, aby pójść na Pulp Fiction i stwierdzić Ej!
478:  Ej!
480:  Tarantino!
481:  A nie można było tak po kolei tych wydarzeń przedstawiać i tak...
485:  Z jednym bohaterem, bo za dużo bohaterów jest trochę, nie?
488:  To jest... Więc no po prostu ktoś, kto idzie na ten film dla pościgów, wybuchów i fabuły, ponieważ zobaczył zwiastun, no to się może zrodze rozczarować.
498:  Fox Ghost był dziś na Dune'ie i wspaniałe widowisko szkole, tylko że ceny biletów do kina są spore.
502:  No pewnie, przecież nie tylko w szkołach jest powrót do normalności i trzeba nadrabiać zaległości.
507:  Przecież jak byłem w kinie, multikino bodajże, to reklamy trwały już nie 25 minut jak zwykle, tylko 40, bo trzeba było nadrobić sprawę.
519:  Oooo... Aśku, rozpoczął lub rozpoczęła, chyba rozpoczęła Władce Pierścieni od czasów przedszkolnych.
527:  Tato zaczął od puszczenia Władcy Pierścieni.
529:  Przepiękna sprawa.
531:  Czy mam dostęp do klątwy, która zmienia ludzi w miedź?
533:  Tak, nazywa się Ostateczna Przemiana.
536:  Nawet wam pokażę, jak działa Ostateczna Przemiana, mimo że kompletnie nie mamy żadnych już wiatrów magii.
544:  They will never move again.
548:  Nie wygląda przesadnie atrakcyjnie, ponieważ CA z jakichś względów lubi ataki obszarowe zaznaczać w ten sposób, ale... ale działa, to najważniejsze.
558:  Dobra, myślę, że Baltazar Geld może... No, zobaczymy.
563:  Dobra, jak jest z Nietoperzami?
565:  Proszę bardzo strzelać w Nietoperze, a w tym tak zwanym międzyczasie podchodzimy... podchodzimy strzelcami.
575:  Ach, ja mam się napić.
576:  Bez obaw, moi drodzy, bez obaw.
578:  Mam dużo napitku przygotowanego.
582:  Mmm, tradycyjna herbatka.
585:  Duna ma w sobie, pisze coś, Wojtek Nowak, coś z Barry'ego Lindona.
589:  Świetna, ale kadry długie.
590:  No to, to prawda, to prawda.
592:  Nie będzie żadnych spoilerów, Sebulba.
594:  Uważam, że się nie da zaspoilować Duny.
597:  Polskie The Office, nie, nie róbcie sobie tego, nie oglądajcie tego.
603:  Ja po obejrzeniu Dune i Przeret 13 postanowiłem sobie ponownie przesłać książkę Herberta, tym razem nie kończąc na pierwszym domie.
609:  O, to na pewno warto.
611:  Widzę, że nietoperze się usiłują ukryć przed nami.
615:  Nie będziemy się tym przejmować.
617:  Zrobimy sobie wyłom w murach.
618:  A nie, może nic nie będziemy robić na wszelki wypadek.
621:  Po prostu przejdziemy naszymi strzelcami tutaj.
624:  Wpierw jeden oddział.
625:  O, myślę, że tutaj.
627:  Drugi oddział wyślemy tutaj.
629:  Przyspieszymy troszeczkę, żebyście nie umierali z nudów.
634:  Jak tam Baltazar Geld?
636:  Baltazar Geld ma się dobrze.
638:  Proszę bardzo, nasi strzelcy już rozpoczęli ostrzał zmasowany.
642:  Co u mnie, Marcinie?
643:  Wszystko w porządku, dzięki, że pytasz.
645:  Akurat dzisiaj o 20 stream, ponieważ skończyłem wykład, jak zwykle fantastycznie się rozmawiało ze studentami.
653:  W tym roku, żeby nie było tak, że Krzysztof tylko teoria, teoria i wymądrza się i mówi nauczycielem, jak mają robić.
660:  Sam innowacji dokonuję w tym sensie, że zrezygnowałem kompletnie z formuły wykładowej.
665:  I robię w ten sposób, że odpalamy sobie różne gry i analizujemy je w locie.
669:  I na przykład zamiast, żeby przedstawiać jakieś definicje, no to rekonstruujemy je na podstawie takiej mapy myśli.
677:  Jest bardzo fajne narzędzie, które się nazywa Miro, do robienia map myśli, ale nie tylko to, jest też Mindmap i wiele innych.
683:  I wiecie co?
684:  Jest dokładnie taka sama wartość jak na wykładzie, merytoryczna, z tą różnicą, że nie jest nudno.
690:  W sumie trochę takie konwersatorium.
692:  Ja w ogóle uważam, że wykłady powinny mieć formę konwersatoriów, nie?
695:  No i najlepsza rzecz jest taka też, że to jest to, co ja też często robię, to znaczy jak nad czymś pracuję, na przykład nad jakimś artykułem i jest seminarium, to szeruję tę moją pracę nad artykułem rozgrzebanym i wtedy zaobserwowałem, że ludzie, którzy piszą pracę już się mniej tak przejmują, bo jest takie przekonanie, że Krzysztof to jak ksiądz, albo jakikolwiek naukowiec nad tekstem naukowym, to tak...
715:  pyk i on powstaje, pyk i jest wszystko zrobione i to z taką łatwością przychodzi.
721:  A tak można pokazać, że właśnie, że każdy się może mylić, że każdemu może nie wyjść, że każdy może mieć gorszy dzień i to, mam wrażenie, pomaga.
732:  Boże drogi, nadrabiam czaty.
734:  Czy to normalne, że na studiach na takim przedmiocie jak biofizyka na każdym przedmiocie jak piszemy kartkówkę?
738:  Nie, nie uważam, że to jest normalne.
739:  Tak samo odpytywanie z wiedzy na studiach jest kretynizmem kompletnym.
745:  O, to Biakon słyszał na kanale Rocka, że polskie The Office jest spoko?
748:  Okej, ale być może Rock nie jest tak uprzedzony do polskiego kina, jak ja jestem.
752:  Ja jestem bardzo uprzedzony względem polskiego kina.
755:  Rzadko kiedy mi się udaje znaleźć cokolwiek, co nie będzie mnie denerwowało i doprowadzało względnie do szału.
765:  Dobrze, to jest najniebezpieczniejsza jednostka w rusterze wampirzy.
768:  Możecie być zdziwieni, ale jak zagramy wampirami, to zrozumiecie.
771:  Mianowicie sam wampir.
773:  To jest jedyna jednostka, przed którą drżę ze strachu.
778:  Najlepsza strategia, jaką grałem?
782:  Taka czysta strategia pozbawiona ekonomii Praetorians.
785:  Uwielbiam tę grę.
788:  Natomiast z Total Warów najbardziej kocham Warhammera Total War, dlatego wyłącznie w niego gram.
793:  Jak spróbowałem sobie starsze Total Wary, to nie mogłem w ogóle uwierzyć, że mi się podobały kiedyś.
801:  Nowi studenci kojarzą mnie z YouTube'ów?
803:  Nie wiem, nie pytałem.
804:  Szczerze, zawsze oczekuję, że... Znaczy, nie oczekuję.
807:  Właściwie nie oczekuję, że ten temat wyjdzie.
809:  Jak wyjdzie, to wtedy mówię o tym, ale nigdy sam nie zaczynam.
813:  O, tak, szanuję za protosów.
820:  Czy słyszałem o cieniu utraconego światła?
822:  Pytam Marta.
823:  Nie, ale czyje to jest?
825:  Możesz podrzucić na Discordzie, to się nie obrażę.
827:  O, tutaj ważna mechanika dla tych z was, którzy nie grali w Warhammera, mianowicie można zamiast okupować, a nie mamy w ogóle pieniędzy na to, oddać elektorowi.
837:  I w momencie, w którym oddamy elektorowi, zwiększy się nasz autorytet imperialny, a bardzo tego potrzebujemy.
844:  I następnie przechodzimy do następnego... Krzysztof, ogarnij się.
849:  Przechodzimy do kolejnego miasta, to znaczy do Krainy Zgromadzeń.
853:  O, możemy wyrekrutować biczowników.
856:  Wspaniale.
857:  Będziemy się biczować tak jak ludzie, którzy w Polsce na przykład nie pracują 16 godzin dziennie.
864:  Mogę więcej!
869:  O, płonący czerep, podszycanie ognia, pierwszy nasz mag ognia, czaty liczę na miana.
876:  O czym był dzisiaj wykład?
877:  Dzisiaj był wykład o komponentach gry wideo, znaczy z czego się składa gra wideo.
881:  Fabularna warstwa narracyjna, warstwa level designowa, warstwa światotwórcza, dużo tego było.
888:  Ja w mojej kompanii, Baltazarem, mam już Drakenhof, konfederację z imperatorem i straciłem przez własną głupotę 5 dum imperatora.
895:  Uuu, dumy imperatora zawsze bolą dla was, tych z was, którzy nie wiedzą.
898:  Dragomir wspomina o specjalnym, specjalnej jednostce, którą można rekrutować co 20 tur i to jest czołg.
905:  Jest wspaniały.
906:  I shall be victorious!
910:  We shall be victorious indeed!
913:  Zrobimy sobie Sack City z tego miasta, chyba, na początek, żeby zdobyć troszeczkę pieniążków i potem przekażemy Elektorowi.
922:  Tak myślę.
924:  Taki jest plan.
925:  Tylko musimy tutaj uciec, żeby nasza corruption była na lepszym poziomie.
930:  Bardzo nas lubi, bardzo nas lubi lektor Avernheimu.
935:  W zasadzie nie lektor, tylko... Pamiętam.
938:  Czy będzie na live'ie twierdza?
939:  Może kiedyś.
940:  Czy grałem w Metina?
941:  Nie, panie Kozo, nie grałem.
942:  Spellforce?
942:  Grałem za to.
943:  Taki tip, ścieżka dźwiękowa i cudny ambient z Dune jest dostępna na Spotify.
947:  Kochani, a czego i Krzysztof od tego dnia słucha praktycznie?
954:  Wykładowca myli się, jak tak można?
955:  Moi drodzy, jak wykładowca nie umie przyznać, że się myli, to jest dupą, a nie wykładowcą.
963:  O tak.
965:  O tak, dość nam się przyda zdecydowanie i oczywiście już straciliśmy wszystkie pieniądze.
971:  Dobrze, uziemienie, świetnie.
973:  Drugi nasz magus jest magiem światła, ma bardzo ważny czar, czyli sieć Ametoka.
978:  Sieć Ametoka sprawia, że nasi muszkieterzy będą mogli dłużej strzelać, ponieważ ona zatrzymuje przeciwników.
985:  Czy słucham muzyki z gier od Amplitude, Endless Legend i Endless Space 2?
989:  Nie przesłuchiwałem tego.
991:  Słuchałem z Solaris dotąd, jeżeli chodzi o tego rodzaju ambienciki, ale chętnie.
995:  Hrabia Elektor, nie Lektor.
996:  Dlaczego ja powiedziałem Lektor?
997:  Bez sensu.
999:  Onu44, witamy serdecznie na czatach.
1001:  Jalkuna też witamy.
1002:  Darkest Dungeon kupione i zaraz będzie grane.
1004:  Uuu, pięknie.
1007:  Będziemy się dzisiaj szybko przepalać przez tury.
1014:  Czy chciałbym kiedyś stworzyć własną grę, pyta Kargo Samotnik.
1016:  Ciekawe pytanie.
1017:  Ja w ogóle chciałbym kiedyś stworzyć własne opowiadanie albo jakąś historię fantastyczną, ale problem polega na tym, że ja nie mam niestety talentu do tworzenia fabuł, więc na razie się realizuję tam, gdzie jestem w stanie, to znaczy w konsultingu światotwórczym, którymi się czasem zdarza czynić.
1035:  Uuu, to by się bardzo przydało.
1038:  Ale nic, oddamy teraz krainę zgromadzeń elektorowi Hochlandu.
1044:  Dobrze pamiętam?
1045:  Nie, Stirland, przepraszam.
1046:  Hochland jest wyżej przecież.
1049:  I zrobiwszy to, moi drodzy, udajemy się dalej wyżej w stronę wampirów.
1054:  Co to jest?
1055:  Terytorium Middellandu.
1056:  Możemy się tutaj udać.
1058:  I potem do Fortu Oberstier.
1062:  Dobrze.
1064:  Idzie za dobrze, moi drodzy, idzie za dobrze.
1066:  Mam złe przeczucia.
1070:  Tylko tutaj widzę, że jest z... Z publicznym ładem jest troszeczkę nie tak, jak bym chciał.
1081:  A to dlatego, że nie mam jeszcze dostępu do wszystkich bohaterów.
1084:  Nie ma też dobrych... Wiedza!
1087:  Potrzebujemy tego.
1091:  cecha wiedzy, zaraz nadrabiam czaty, to jest plus 5 do rezerwy mocy magii z całej frakcji.
1097:  Więc ważna rzecz.
1099:  Guślarz!
1101:  Guślarz nie wie, gdzie jest jego księżniczka.
1105:  Guślarz znalazł się w innym świecie.
1107:  Guślarz nie rozumie, co się w tym świecie dzieje.
1110:  Guślarz chce wrócić do świata Wiedźmina.
1115:  Dobra, mamy nagły atak.
1116:  Dobrze.
1116:  Ehem.
1122:  Hrabia Elektor czy Rektor?
1123:  Aha!
1124:  W sumie jest taka zabawna zasada na Tomi, że asystent może nie wiedzieć lub się pomylić, ale student nie ma prawa.
1129:  No to niestety jest taki stereotyp.
1131:  Ja bardzo tego nie lubię, bo mnie się wiele razy zdarza mylić.
1133:  Nie mam żadnego problemu z tym, żeby przyznać właśnie rację studentowi.
1139:  Czy grałem w Warzone 2100 albo Nexus Jupiter Incident?
1142:  Nie, Mariuszu, nie grałem.
1144:  Czy czekam na nowy Tolkienowski serial?
1146:  O!
1147:  Aśku, jak bardzo czekam!
1149:  Bardziej szczerze powiedziawszy niż na The Wheel of Time, bo obejrzałem ostatnio bardzo uważnie zwiastun serialu i muszę wam powiedzieć, że troszeczkę plasticzany wychodzi, tzn.
1160:  Nie zrozumcie mnie źle, obejrzę to na pewno, ale problem polega na tym, że jestem tak już przyzwyczajony do tego, że
1176:  Seriale są i filmy fantastyczne są przynajmniej na poziomie takiego The Song of Ice and Fire, albo już nie wspomnę o Dunie, że przeszkadza mi serial, który wygląda tak jak Księżniczka.
1189:  Desz, problem z tworzeniem fabuły, w czym dokładnie?
1190:  Bo ja sobie pamiętam, że mam cudowną wizję akcji, światów, a wszystko na tyle wyrywkowe, że nie dało się połączyć tego ze sobą.
1195:  Mam dokładnie ten sam problem, co ty.
1197:  Ja mam wizję jakichś scen, które bym chciał zobaczyć bardzo często, ale nie umiem tego połączyć w sensowną historię.
1206:  I to jest kłopot.
1211:  Grabież i okupacja.
1212:  Potrzebujemy pieniędzy.
1216:  I to jest rzecz, której nie jestem w stanie przezwyciężyć.
1218:  Mnie się historie nie układają w związki przyczynowo-skutkowe.
1221:  Co powiem o kampanii StarCraft i Brood War.
1223:  Och, znakomite absolutnie, chociaż przyznam, że teraz mam bardziej w pamięci StarCrafta drugiego.
1229:  Tam kampania również była znakomita.
1231:  Nic nie chcę mówić.
1233:  Absolutnie świetna rzecz.
1234:  Wykradniemy technologię.
1236:  To jest po to, żeby nasz Magus levelował.
1238:  To jest bardzo ważne, bo mag ognia ma przeszywające pociski ognia i burza ognia i musimy to mieć.
1250:  Czy miałem kontakt z Law of Legends?
1252:  Tak, studenci namiętnie, za co im niezmiennie dziękuję.
1256:  Studenci otóż namiętnie na różnego rodzaju zaliczeniach ze światotwórstwa opowiadają mi o tym świecie i dlatego mam głównie dostęp do nich.
1266:  Czy mamy już?
1267:  Dobrze, mamy tu już wszystko, co potrzebujemy, więc możemy iść w stronę siły pocisków dla muszkieterów.
1273:  Jeśli chodzi o Sandersona, pisze Panda, zacząłem czytać Drogę Królów, jestem w jednej trzecie zachwycony.
1278:  No absolutnie, będziesz jeszcze bardziej dalej.
1279:  Czytałem też wszystko z Ostatniego Imperium, czyli dla tych z was, którzy nie nadążają, to jest ta trylogia dzieląca się na Skadrialu, czyli innej planecie w uniwersum Kosmir, zaczynająca się od Zmgły Zrodzonego.
1292:  I jestem niesamowicie ciekawy, co się stanie w Zaginionym Metalu, to jest bardzo dobra część, spodoba ci się.
1298:  Takbtw pyta Kluha Mugenco, czy wiecie, jak sprawić, żeby pracownik 16 godzin pracował bez zorientowania się, dać mu telefon służbowy z firmowym VPN-em i dbać o to, żeby najlepszych przyjaciół pozdawał w biurze?
1309:  Czy mam 5 minut, żeby porozmawiać o naszym krwawym Bogu Kornie?
1312:  Widziałem ten zwiastun.
1313:  Jest ciekawy, ale ja... Cinch, moi drodzy.
1316:  Cinch to jest the way to go.
1321:  Okej.
1323:  Magiczne posiłki się przydadzą.
1326:  Co jest lepsze od posiłków?
1327:  Wyłącznie magiczne posiłki.
1329:  Co uważam o seriach, w których ktoś w światach jest głównym bohaterem?
1332:  Uwielbiam, szczerze powiedziawszy, takie najbardziej.
1334:  Inaczej by mi się Avatar nie podobał.
1336:  Wheel of Time będzie dobry, bo jest dobry reżyser.
1337:  Więcej wiary.
1338:  Dobrze, Remigiuszu.
1339:  Będę... Będę krzewił w sobie i kultywował więcej wiary dla tego serialu.
1345:  Zobaczymy.
1345:  Może poprawią grafikę.
1347:  Czasami się tak dzieje.
1348:  Jeśli ktoś twierdzi, że Dune'a to white saviour story, to ewidentnie nie zna dobrze lore lub w ogóle nie czytał książek.
1354:  A pojawiały się takie?
1356:  Pojawiały się takie głosy?
1357:  Bo nie słyszałem nawet o tym.
1359:  Oczywiście, że chcemy pak nieagresji ze Stirlandem.
1363:  Czy tylko ja czytam książki tylko raz?
1364:  Ja czytam książki tylko raz.
1366:  Chyba, że są takie rzeczy jak na przykład Potter.
1371:  Ale tylko wtedy, kiedy nie było filmów.
1375:  Potrzebujemy z Ricklandem... A nie, tu jest 10 wartość, dobra.
1382:  Rośnie, rośnie!
1384:  That's what she said, authoritative imperium.
1386:  Wspaniale!
1387:  Czy grajony grał w nowe Age of Empires?
1391:  Znaczy, jeżeli tam jest dużo magii, to może, ale szczerze, bardzo dawno grałem w Age of Empires, nie jestem tak podhypowany na razie tą grą, ale niczego nie wykluczam, bo wiecie, zawsze jest tak, że może się znudzić Warhammer.
1404:  To jest oczywiście bardzo mało prawdopodobne, ale zawsze jest.
1407:  I kto wie?
1408:  Herman, a już myślałem, że to jest Herman Gorst, moi drodzy.
1413:  Chyba czas na kolejne oblężenie.
1417:  Ha!
1417:  Szlachetna porażka.
1418:  My ass.
1422:  Chciałem dodać maga ognia, dlatego się przestraszyłem.
1427:  Witamy gazowane mleko.
1428:  Jak tam uczelnia?
1429:  Fantastycznie, jak zawsze.
1432:  Ja zawsze wymyślałem bardzo rozbudowany uniwersum z różnymi konceptami, pisze Fantorez, a historia bazowana na paru elementach.
1438:  To jest rozwiązanie.
1440:  Kurduar pisze, mój wykładowca ci sugerował, że zamiast nanotechnologii lepiej byłoby studiować Biblię, ponieważ Matuzalem żył tysiąc lat, a taka medycyna to niewiele życia.
1453:  Musicie mnie uprzedzać.
1456:  Musicie mnie uprzedzać.
1460:  Myślałem, że tylko ja widzę scenę, a nie historię do pisania, ale z brak poprawy mi po prostu nie pomaga, pisze Marcin.
1464:  Ale wiesz, Marcinie, ja mam też tak, że w przypadku książek zapamiętuję głównie obrazy, wiesz?
1469:  To znaczy to nie jest tak, że jest to jakieś złe czy coś, jeżeli też tak macie, po prostu to jest inny typ mózgu, inny typ zapamiętywania i ja tak mam.
1478:  Zawsze tak miałem.
1479:  Dlatego też nie pamiętam kompletnie fabuł.
1481:  Wyobraźcie sobie, jak pytano mnie w szkole o cokolwiek, to przecież ja miałem przejebane kompletnie, nie byłem w stanie nic powiedzieć na temat tego, o czym jest dana książka.
1488:  Ponieważ, czyli wiecie, czyli w tej perspektywie ja jej nie przeczytałem.
1491:  Jaki jest najlepszy magiczny poświeg, jaki potrafię przygotować?
1494:  Herbata.
1495:  Czy kojarzę community?
1496:  Jeśli tak, kojarzę tylko swoje community, żadnego innego.
1500:  Co oznacza white savior?
1502:  Biały wybawca i mesjasz, nie?
1504:  Więc dlatego nie wiem, dlaczego to jest akurat w kontekście Dune'y, bo wszystko można powiedzieć o poluatrydzie, ale na pewno nie to, że jest biały.
1511:  Ród atrydów wywodzi się z Grecji.
1515:  Czytam głębię powrót Marcina Poldewskiego, czy są jeszcze jakieś ciekawe pozycje od niego?
1518:  Jeśli chcesz Anuki, to jest też jego Dark Fantasy.
1523:  Nie pamiętam, jak się nazywa w tym momencie, ale szczerze, dla mnie było średnio dobre.
1532:  Ale może się komuś spodobać, tego nie wykluczam.
1536:  Widzę, że strzelają do nas jakimiś obrzydliwymi pociskami, musimy się ich natychmiast pozbyć.
1543:  Tymczasem... O tak.
1548:  Czemu czytałem Pottera akurat kilka razy?
1549:  Pyta Mike Smith.
1550:  Moi drodzy, dlatego, że jak ja zaczynałem czytać Pottera, to jeszcze nie było filmów i to było moje jedyne, nazwijmy to, okno dostępowe do tego świata, okej?
1560:  Czyli dla mnie czytanie wielokrotne Pottera było czymś podobnym jak odwiedzanie jeszcze raz tego świata, który kocham.
1568:  Od którego anime poleciłbym zaczynać?
1570:  Ostatnio Cowboy BB podszedł na Netflixa i słyszałem, że fajne.
1574:  Jakby ja, szczerze powiedziawszy, żeby poznać tak styl anime i równocześnie mieć gwarancję, że ci się spodoba, to myślę, że zacząłbym od Fullmetal Alchemist Brotherhood.
1586:  Ewentualnie, ale to już jest odważniejsza kwestia, ewentualnie bym jeszcze dał szansę Fate Stay Unlimited Blade Works.
1599:  Czyli jeśli zrobię PhD w Anglii, to na starość będę chciał wrócić do Polski, wygadać w Polsce, to czekam na jakiś egzamin?
1604:  Nie ma czegoś takiego, nostryfikacja dyplomu akurat doktorskiego, więc to nie jest problematyczne, wręcz przeciwnie.
1610:  Myślę, że nawet łatwiej jest dostać pracę na wielu uczelniach z doktoratem akurat z innej uczelni.
1616:  Pamiętajcie, że u nas snobizm ma się bardzo dobrze i jak ludzie widzą, że coś jest za gramaniczne, to wtedy uważają, że automatycznie jest lepsze.
1626:  Na Dune przy scenie plucia na stół u mnie w sali kinowej parę osób się zaśmiało i to w sumie lepiej może pokazać, ile osób czytało książkę.
1633:  To prawda, no i znaczy wiecie, ta scena została też moim zdaniem zagrana tak przez Jasona Momoe, że można było właśnie mieć
1642:  Można by było to potraktować jako żart, okej?
1645:  I comic relief.
1646:  Umiem zrozumieć te reakcje, no co nie zmienia faktu, że jest to trochę słabe.
1651:  To znaczy, mam wrażenie, że nie wytłumaczono tego, jak bardzo istotna jest woda dla fremenów.
1657:  Pamiętacie?
