Wielka ucieczka — THOREK IRONBROW livestream #2 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=J7t_63q-mDg

2:  Witam wszystkich!
1140:  Cóż tu się dzieje, że bez przerwy, bez przerwy ta osada zostaje podbijana?
1146:  Aaa!
1151:  Co za niespodzianka!
1156:  Świetna wiadomość.
1158:  Obawiam się, że nie dotrzemy tutaj do tego, ale w ogóle się nie ma co martwić szlachtą Lybarasu z tego, co widzę w tej chwili.
1168:  Można nazywać też miasta.
1170:  Lordów i bohaterów to wiedziałem, ale nie wiedziałem, że miasta i nie wiedziałem, że jednostki.
1174:  To jest fantastyczna wiadomość.
1177:  Czy my potrzebujemy... Nie, nie potrzebujemy tego, myślę.
1180:  Potrzebujemy... Tak.
1184:  Czerwoną linię dokończyć.
1188:  Lamia też została zburzona?
1190:  Cóż tu się stało?
1194:  Wiecie co, zrobimy inaczej.
1197:  Wyrekrutujemy sobie tutaj specjalnie Lorda i to będzie Mistrz Rune.
1201:  O, bardzo dobry Mistrz Rune.
1203:  Cel tego Lorda będzie jeden, skolonizować Marag, a my tymczasem sprawdzimy, czy się uda zrobić mój ulubiony eksploit.
1210:  Nie, nie uda się, bo on chyba jest tutaj... Nie uda się.
1219:  Kto mógł ich rozwalić?
1220:  To jest pytanie.
1223:  Z kim walczy szlachta Lybarasu?
1225:  Sprawdźmy.
1227:  Tak, oni nie mają żadnej osady w tym momencie.
1230:  O nie, to mógł być... to mogli być zielonoskórzy, wtedy będziemy mieli przejebane.
1236:  Wiecie co?
1238:  Force match w tę stronę.
1244:  Ho!
1245:  Kiedy wymarzymy urazę z Havenblight?
1246:  Ho!
1246:  Ho!
1247:  Ho!
1248:  Ho!
1249:  Objrzałem cieni kość po twoim poleceniu, na początku nie chciałem sprawdzać, bo pomyślałem, że takie fantasy dla nastolatek okazało się świetne.
1255:  Nazewnictwo, rodzaje magii, prawda?
1257:  To absolutnie nie ma się co sugerować tym, że to jest young adult.
1261:  Urban fantasy się trochę połączyło z tym gatunkiem young adult, ale niech nas to nie zwiedzie.
1267:  Tak naprawdę urban fantasy, czyli fantastyka miejska, po prostu jest tym nowoczesnym typem fantastyki zastępującym setting średniowieczny settingiem bliższym nam troszeczkę, czyli osiemnastowiecznym.
1280:  Uuu, tu nie ma co.
1283:  Nawet nie będziemy próbować.
1291:  karach dras zostanie.
1293:  Generalnie wszystkie fortece chce odbić krasnoludzie.
1296:  Chyba nawet, powiem wam, mamy taki cel.
1299:  Zobaczcie.
1300:  Celem krótkim kampanii jest odbicie wszystkich twierdzy krasnoludów.
1305:  Więc możemy to zrobić albo poprzez sojusze, albo poprzez właśnie to, co jest najpiękniejsze.
1312:  Dobrze.
1314:  Czyli tak.
1315:  Już wiemy, że to nie zielono skórzy, tylko
1320:  Zielonoskórzy.
1322:  Jednak.
1324:  Ale Wurzak ma bardzo dobry trait, więc to jest warte nawet wydania im wojny.
1338:  Nie wiem, nie wiem.
1339:  Ojej, jeszcze Kroggar się tutaj pojawił.
1342:  Z bardzo, bardzo silną armią.
1344:  To nie jest dobra wiadomość.
1347:  To jest bardzo zła wiadomość.
1349:  Mamy wprawdzie stosowną liczbę naszych zabójców, gigantów, którzy są przeciwko dużym wrogom skutecznie, ale zobaczymy.
1359:  Z jaką frakcją z Warhammera III jestem najbardziej zjajarany?
1361:  Szczerze powiedziawszy Kataj, ale Kislev również.
1368:  Sądzę, że osoby, które tworzą w Minecrafcie fantastyczne budowle, ambitne, czasochłonne projekty mogą być uznani za pełnoprawnych artystów.
1374:  No pewnie światotwórców rzekłbym nawet, prawda?
1377:  No bo to jest taka piękna aktywność fanowska.
1380:  Wiedziałem, że zielonoskórzy zajmą Lybarazm, ale nie jest to dobra sytuacja.
1384:  Możemy tam wywołać bunt, ale wojna na dwóch frontach nie jest dobrym pomysłem.
1389:  Musimy jednak zjechać tutaj do... Musimy zjechać do Kroggara.
1397:  Nie ma wyboru.
1402:  Niedobre, niedobre sytuacje, ale za to zdobędziemy marak.
1408:  Dobrze.
1408:  I zmazaliśmy jedną z uraz przynajmniej.
1414:  Zobaczymy czy Kroggar... Jak on ma armię?
1421:  Tak sądziłem, że są resztki rytuału, który się nazywa Rite of Primeval Glory, który jest kompletnie niezbalansowany.
1428:  To jest komedia, ale nasze siły nie są wystarczające.
1433:  Dziękuję za trybut, Daretsuki.
1436:  Mam nadzieję, że dobrze czytam.
1437:  I dzień dobry, witam serdecznie.
1440:  Będziemy musieli coś wymyślić z Kroggarem, bo niestety on wypowiedział nam wojnę, a to oznacza trudy przed nami.
1448:  Trudy, moi drodzy.
1451:  Nie mamy wciąż tej jednostki, za którą tak tęsknię okromnie, to znaczy Thunderers.
1459:  gromowładnych.
1459:  Ci strzelcy są najlepsi do niszczenia jaszczuroludzi, tuż oczywiście po kompanii Marcusa Wolfharta, który to Marcus Wolfhart jest członkiem ekspedycji Imperium w lustrii.
1478:  Kanał Baldemort, absolutnie świetny głos i cudne opowieści z uniwersum 40k, och, co za wspaniała wiadomość.
1486:  Mmm...
1490:  Zrobimy tak, w ogóle jak jesteście w trybie zasadzki, to dla tych, którzy nie grają, nie ogarniają jeszcze uniwersum Warhammera, jak jesteśmy w trybie zasadzki, to nie jesteśmy widoczni dla przeciwnika.
1502:  Więc opłaca się w ten sposób podejść.
1504:  Najgorsze, co można zrobić, to zrobić false march, który teoretycznie, czyli ten tryb marszu, teoretycznie sprawia, że znajdziemy się tutaj szybciej, ale w praktyce możemy bardzo zmaścić.
1514:  O tak!
1516:  Na ramięsznik!
1518:  Przepięknie.
1520:  A dron strażnik przysięgi jest nam w tym momencie niepotrzebny już.
1526:  Runa prędkości, koniec tury.
1530:  No, to jest komedia, absolutnie zgadzam się, jak trzeba się bić z armią rytuału w 25 turze.
1536:  Armie te są wystawiane przez AI grającą jaszczur ludźmi notorycznie.
1544:  Dostałem shoutout w epizodzie dwóch typów podcast, który wyjdzie publicznie po soboty.
1548:  Jak strasznie mi miło.
1549:  Bardzo dziękuję.
1552:  Czy będę grać frakcją demonów?
1556:  Chodzi o Warhammera Trójkę i Bogów Chaosu.
1559:  Jeśli tak, to nie wiem.
1562:  Czekam, aż będą informacje dotyczące tego, jak wielu mamy jednostek tam, w ogóle jaki będzie rooster.
1574:  Z naszymi finansami jest fatalnie.
1577:  Teraz ku zgrozie i zgorszeniu czatu będę wykorzystywać exploita, którego wykorzystałem także ostatnio.
1585:  Exploit polega na tym, że się poruszamy piksel po pikselu za postacią bohatera i w ten sposób nie tracimy punktów ruchu.
1591:  Przepraszam, że to robię, ale gramy na poziomie legendarnym, więc trzeba sobie radzić.
1595:  I'm listening.
1598:  The runes are ready.
1602:  Ready.
1605:  Czy grałem norską?
1606:  Tak, to jest straszne doświadczenie i mam jedną poradę.
1608:  Grajcie w to na normalnym poziomie, po prostu na legendarnym to nie ma sensu, bo ta frakcja jest kompletnie niezbalansowana w tym momencie.
1618:  Jak je oszukuje!
1619:  Jak je oszukuje!
1620:  To jest... To jest bardzo... To jest... To jest... To jest taktyka!
1624:  Tak, tak!
1625:  Taktyka przekazana przez skawenich szpiegów u szczury!
1630:  Tak, tak!
1631:  I ta taktyka ma głęboki sens!
1635:  Dobrze, dobrze.
1637:  Jeszcze się troszeczkę przemieścimy.
1640:  Idealnie.
1642:  Tak jest.
1644:  Pa, pa, Kroggar!
1647:  Jak tutaj sytuacja z rozstrzygnięciem?
1651:  Nikt nie ginie?
1656:  Tak!
1657:  Bardzo dobrze.
1659:  Kroggar pobity.
1660:  To jest świetna wiadomość.
1663:  Force march do rasety i replenishment.
1666:  Słodki, słodziutki replenishment.
1672:  To nie bug, to feature, zgadzam się.
1675:  Co możemy tutaj zrobić?
1676:  Runa ogniska domowego, odporność na psychologię.
1678:  Nie, po co?
1680:  A, siła pocisków dla działu ogniowych i organków, tak, bardzo dobrze.
1688:  Tutaj widzę, że się zmieniło spaczenie teraz, będą się rebelie zielonoskórych pokazywać.
1695:  Poradzimy sobie, tutaj nie musimy opodatkowywać tego.
1700:  Dobra.
1703:  Widzę, że postanowiłeś porolplayować, odwzorować realną prędkość poruszania się krasnoludów, tak.
1708:  To prawda.
1710:  To prawda.
1712:  Ja nie jestem w stanie z siebie wytrzebić wewnętrznego skawena, to jest absolutnie niemożliwe.
1720:  Wiecie, z tym jak patrzę na nasz świat i świat Warhammera, dokładnie taki daleki Kataj, to skaweń mają przerąbane, bo są darmowo w przekąsku dla katajczyków, a żebyś się swoją drogą nie zdziwił, bo tam jest taki wątek ciekawy, że mistrz skrytobójców z klanu Eshin, to znaczy Deathmaster Snykcz, uczył się w Kataju sztuki asasyńskiej, więc wiecie, poważne sprawy.
1746:  No dobrze, dobrze.
1747:  Mówicie, żeby nie robić eksploitów, ale kusi strasznie.
1754:  Tutaj jest ten nasz Takal głupi, który oczywiście co zrobi?
1757:  Będzie usiłował zaatakować Marak.
1759:  Stawiam na to pięć kadzi z piwem krasnoludzim.
1763:  Tutaj coś się dzieje interesującego?
1765:  Tak, możemy tylko to zbudować.
1767:  Czy jest jakiś dobry podręcznik do drugiej edycji Młotka Dzieci Rogatego Szczura?
1771:  Praktycznie 80% lore.
1772:  Ooo, to jest fantastyczna wiadomość.
1776:  To nie będzie trudna walka później dla naszego głównego bohatera.
1779:  Mówiłem, zawsze tak jest.
1783:  Ta pętająca się jaszczurka po pustyni zostanie niebawem zdławiona.
1788:  Na szczęście mamy mury w naszej rasetcie.
1791:  To jest bardzo niewdzięczny teren w ogóle do poruszania się.
1795:  Muszę powiedzieć, że ten klan, którym gramy w dodatku... Co tu się dzieje?
1803:  Ten klan, którym gramy w dodatku ma niełatwy start i na kampanii Okowiru.
1809:  czyli Eye of Vortex, i na kampanii Mortal Empires, którą my gramy, w jednym i w drugim przypadku w terenach, gdzie się... No przepraszam bardzo, no przepra... nie, nie, nie... Nie da się inaczej.
1827:  Nie da się!
1830:  Krasnoludy, last march of the Wii!
1836:  Można mieć już pewną praktykę po kampanii skaweńskiej.
1844:  I teraz, żeby z powrotem... O, taki sprytny, sprytny, chytry wypiek, żeby z powrotem naszego bohatera tutaj wrzucić do armii.
1855:  Czemu nie rozgrywam bitew?
1856:  Bo dotychczas nie było bitwy, która byłaby godna nas.
1860:  Ta jest na przykład godna, bo zobaczcie, w tym momencie pokazują się nam na czerwono te jednostki, które stracimy.
