Na wieki wieków Spaczeń 🧀 — IKIT CLAW livestream #7
🔗 https://www.youtube.com/watch?v=QrxKMNCBoWE

6:  Kevin!
370:  Ja niestety, Robercie, nie przyjąłem trzeciej dawki, chociaż bardzo bym chciał.
374:  Obrzydliwe Ministerstwo Zdrowia sugeruje, że muszę czekać jeszcze na to.
379:  No więc czekam, co robić.
383:  Nie wiem, z jakiego powodu tak się dzieje, ale...
386:  Nie mogę.
387:  Jeszcze.
388:  To mnie dziwi, swoją drogą, bo przy całym tej narracji, że ministerstwo niby zachęca do szczepień, bardzo ciężko się zaszczepić, jeżeli się chce.
396:  Na przykład poza kolejką.
398:  Nie jest to możliwe.
398:  Nie można tego prywatnie zrobić.
400:  Strasznie dziwne.
404:  A, drip engagement został użyty przez Miquaya Marcele w selekcjach.
409:  Okej.
410:  Musiałbym podczytać, o co w tym wszystkim chodzi, bo ja mam taki zwyczaj, że jak nie wiem, to nie kombinuję.
418:  Prytip dla was, jeżeli chcecie strzelić w jakieś miejsce, a niekoniecznie w jednostkę, to można z altem.
427:  Ale katapulty nasze w dalszym ciągu nie chcą strzelać, chyba że chcą jednak.
439:  Aaa!
439:  Temat skawenów!
447:  Dobry wieczór, dziabowscy.
449:  Dobry wieczór, witajcie.
451:  Kinga podła tylko na chwilę, chyba że nie będzie się chciało pisać pięciu stron wypracowania o dzisiejszym znaczeniu mass mediów i popkultury.
457:  A cóż to jest za wypracowanie?
459:  Na jakiś to przedmiot, jeżeli ktoś po pierwsze używa takiego archaicznego sformułowania jak mass media.
465:  Co jest?
466:  Czemu, czemu nasze krnąbrne katapulty nie chcą strzelać?
471:  Mam nadzieję, że naprawdę naprawią w nadchodzącym Warhammerze kąty.
477:  Bardzo mocno oberwaliśmy.
480:  Pozostaje zdać się na starodobrą magię.
491:  Z jakiegoś powodu na pewno nie możecie wziąć dawki.
494:  Ani nie zwlekałem, ani nie jestem chory, po prostu miałem dość późne szczepienie.
498:  Mój rocznik dostawał jedne z najpóźniejszych skierowań, jakie były w ogóle na szczepienia, niestety.
504:  Dobra, zastosujemy chytry wybieg.
507:  Przez wiemy więcej szczurów!
510:  Słyszałem, Szymonie, jak Bagiński tłumaczył brak logiki serialu.
514:  W ogóle uważam, że ten wywiad Bagińskiego z Karolem w Imponderabiliach był, no, jeśli już, to dla mnie dowodem tego, że Bagiński przeszedł na ciemną stronę mocy.
526:  To znaczy, bardzo mi się nie podobało to, w jaki sposób adresował te problemy, które były w serialu.
531:  Zresztą nie on jeden.
533:  Dzisiaj czytałem na profilu Marcina Zwierzchowskiego, którego zwykle bardzo wcenię za opinie krytyczne.
539:  Znaczy krytyczne w znaczeniu ogólnym, interpretacyjnym, prawda?
543:  Więc czytałem opinię dotyczącą tego, że tak, że to tak naprawdę wina fanów, bo fani się nastawiają.
549:  Jaka wina fanów?
550:  Jakbyśmy zapomnieli już, że było Squid Game w tym roku, tak?
554:  I któreś wszystkim jakoś się podobało.
556:  To powiedzcie mi, jak to jest, że może być Squid Game, które się wszystkim podoba i nagle jest Wiedźmin, który się nie podoba?
561:  Gdzie jest problem, tak?
564:  Bo dużo ludzi, którzy obejrzało Wiedźmina, a nie czytało książek, czy nie grało w gry, też mówią, że to jest zły seria.
570:  Więc w czym problem?
578:  Nie wiem, Bartku, kim jest Stachus Wapson.
582:  Nie mam pojęcia, co to jest za osoba.
586:  No też się zgadzam, że ten wywiad to była jakaś granda.
588:  Bardzo taki antypatyczny, przypominający mi wypowiedzi korporacyjne na temat tego, że no jak się nie podoba, to możesz nie oglądać.
601:  Wow!
602:  Nie wiedziałem!
604:  A tak naprawdę przecież cała rzecz polega na tym, że krytyka służy temu, żebyśmy robili lepsze produkcje.
611:  Też ktoś ostatnio narzekał w sieci i mówił, że tylko krytykujemy i narzekamy.
618:  Do tego stopnia mnie to denerwuje, że szykuje się film na temat wartości krytyki w naszej kulturze, bo doprowadza mnie już to do szału.
625:  Jak jeszcze raz usłyszę kogoś, kto nazywa
628:  krytyczną opinię hejtem, to wpadnę w szał.
633:  Nie wiem, kiedy będzie nowy materiał.
635:  Przede wszystkim, jak się wolne skończy.
639:  Tak sobie myślę.
641:  Możliwe, że w ten weekend coś nagram.
643:  Diabli wiedzą.
643:  Przez to, że ja nie mam żadnego kalendarium, to ciężko mi jest estymować, kiedy się możecie spodziewać różnych rzeczy.
649:  Mam nadzieję, że wam to jakoś przesadnie nie przeszkadza, ale na pewno zapowiem z wyprzedzeniem, bo zdaję sobie sprawę, że z głównej serii dawno nie było materiału.
659:  O, nie podoba się to, zrób lepsze.
660:  To jest następny taki sztandarowy wybieg z tego arsenału.
664:  Spoko, dajcie mi 100-200 milionów dolarów, zrobię.
669:  Ale sorry, jeżeli ktoś ma 100-200 milionów dolarów i dalej robi hałę, to nie ma litości u mnie.
675:  Zero litości dla czegoś takiego.
681:  Strasznie jest to irytujące, bo równocześnie w naszej kulturze w tej chwili jest bezprecedensowa liczba fantastycznych naprawdę produkcji.
688:  Teraz jak zrobiliśmy tę topkę, to sobie uświadomi, ile było w tym roku.
691:  Zobaczcie, Castlevania, Squid Game, kolejny sezon Smoczego Księcia, to było w tym roku czy w zeszłym?
697:  Jakoś tak.
698:  Arkane, Snowpiercer,
705:  To są dobre produkcje fantastyczne, tak?
707:  Cień i Kość według Libardugo.
710:  Da się zrobić dobrą adaptację.
711:  Przepraszam, Cień i Kość nie jest adaptacją, tak?
714:  Jest typową opowieścią osadzoną w świecie.
717:  Może to jest jakby sposób na osiągnięcie sukcesu.
723:  Ciszej gra.
723:  Dobra.
728:  Jakie wolne trzeba esejki czy projekty oddać na studia?
731:  Nie no, ja powinienem z kolei czytać licencjatę, więc wiecie, staram się to robić.
737:  W tak zwanym międzyczasie, ale... Potrzeba wypoczynku jak dotąd była silniejsza u mnie.
743:  Dlaczego konnica ciągle nam ucieka?
745:  Spróbujmy przywołać szczury.
749:  Aaa!
750:  Głupia konnica!
751:  Nie umie uciekać i umknąć!
753:  Haha, to dobrze.
756:  Kosylwania była w tym roku, pewnie.
759:  Na początku jakoś.
760:  W styczeń?
765:  Czy zarzuciłbym Wiedźminowi III?
769:  Brak mapy, repetytywność questów emergentnych, czyli tych, które się pojawiają... Znaczy nie brak mapy, tylko brak funkcjonalnej mapy, brak tych... Dobrego rozplanowania pomieszczeń i brak mapy wielopoziomowej, tak powinienem rzec precyzyjnie.
782:  To znaczy nie ma mapy na przykład w podziemiach i bardzo mnie to irytowało.
786:  Jest to kompletnie nieuzasadnione.
789:  Następnie questy emergentne, te które się wynurzają, które są w świecie, mogłyby być mniej repetytywne.
795:  To znaczy nie potrzebuję mieć questu, po którym znajdę skrzynię, która jest 100 metrów dalej.
800:  I brak balansu w walce z bossami dla roleplayowania magią.
806:  Tyle.
811:  Robert pisze.
812:  Prawda.
822:  Czytam licencjaty, a biedni studenci się stresują.
824:  Nie ma co się tam stresować.
826:  Promotor nie jest od tego, przynajmniej tak jak ja to rozumiem, promotor nie jest od tego, żeby skrytykować i zjechać, tylko promotor jest od tego, żeby pomóc w napisaniu pracy.
838:  Taka jest funkcja główna promotora.
840:  Czyli jak ja czytam pracę, to nie jest tak, że Krzysztof siada i pisze, tak jak niektórzy promotorzy, to jest źle poprawić.
852:  tylko poprawiam, tak, robię redakcję i korektę pełną.
856:  Jeżeli ktoś z tego umie skorzystać, to się jeszcze sporo nauczy.
861:  Cała moja filozofia zawsze polegała na tym, że studia są od tego, żeby się uczyć samemu, więc moją rolą na pewno nie powinno być to jako promotora i każdego, kto jest promotorem, żeby człowieka dobić, że on czegoś nie umie, no bo wtedy się nikt ci nie nauczy.
879:  Z jedynym przemizjem sięga jest taki problem, że każdy kto nie zna uniwersum to mówi, że dobry serial.
882:  Właśnie niekoniecznie, to znaczy jest parę... już parę widziałem takich wypowiedzi i recenzji, w których ludzie właśnie mówili, że to nie jest dobry serial.
890:  Mam wrażenie, że ta jednostka się tutaj zblokowała, dlatego nie możemy jej zaatakować.
894:  Dziwna sprawa.
898:  Nadia obejrzała sobie przed strumieniem film New Moon'a i szczerze powiedziawszy ma klimat i to potężny.
904:  Nie znam, a porzuciłabyś na Discordzie?
909:  Dla wszystkich, którzy oglądają Holistyczna Agencja Eskapistyczna, link w opisie.
912:  Bardzo polecam.
913:  Dzieją się fajne rzeczy.
922:  Drip engagement, doczytała się Julia, to umiejętność przenoszenia uwagi z tematu na temat w miarę ich pojawiania się.
928:  Aaa, czyli to, co jest nazywane słabą... rozproszeniem, tak?
934:  Tak, i milenialsi się skupić nie potrafią!
937:  Aaa!
940:  Czyli to nie jest złe, tak?
942:  Kto je przytłuszczał?
948:  Witamy Taraela.
949:  Tak, szczury wszędzie, szczury wszędzie.
951:  Co to będzie, co to będzie?
952:  Będzie spaczeń.
954:  Czy widziałem nowego Spidermana?
955:  Tak, zachwycony jestem tym filmem absolutnie.
957:  Jest wspaniały.
959:  Uważam, że to jest jedna z tych rzeczy, która pokazuje, że można naprawdę poradzić sobie z sytuacją patową taką, jaka jest w Wiedźminie.
967:  To znaczy mamy świat, który należy de facto do trzech...
972:  jak to nazwać, franczyzodawców.
974:  Z jednej strony jest CD Projekt Red, który ma prawa do marki The Witcher, i ma ono nie prawa, do Merchandisingu i całej reszty Medialionów Wiedźmińskich i strutututu.
983:  Z drugiej strony mamy samego Andrzeja Sawkowskiego i jego prawa autorskie do książek.
990:  Z trzeciej strony mamy znowuż
993:  Netflixa i jego uniwersum filmowe, któremu, swoją drogą, sam zadaje kłam w najnowszym serialu, żeby było śmieszniej, bo przypominam, że Wesemir nie zachowałby się tak, gdyby się zachował, gdyby pamiętał swoje nauki, które zostały nam przedstawione.
1011:  Spider- No Way Home bez spojlowania pokazuje, że można z taką rozproszoną franczyzą
1018:  poradzić sobie kreatywnie i w taki sposób, że ma to sens fabularny i światotwórczy i da się.
1027:  Witamy goglika.
1028:  Czy zmienisz uranerkę odpowiedzialnej za Wiedźmina, by pomogła serialowi?
1032:  Myślę, że na tym etapie bardzo ciężko jest cośkolwiek zrobić, ale wciąż jest szansa.
1037:  Ale bardzo ciężko jest to naprawić.
1039:  Ja szczerze powiedziawszy, jeżeli bym miał to jakoś naprawiać, to poszedłbym w koniunkcję sfer.
1047:  I wykorzystał ten wątek i postarał się anulować to, co zostało zrobione.
1052:  Jest aż tak źle.
1054:  Dobra, podprowadźmy, żeby wyeliminować tę konnicę, bo widzę, że ona jest bardzo wysoko punktowana przez grę.
1062:  Podprowadźmy sobie naszą jednostkę artyleryjską.
1065:  Łagodniej rzecz ujmując.
1070:  Czy polecimy im jakieś materiały na temat projektowania UI?
1073:  Pyta Sandra.
1076:  żebym ja się znał na projekcie.
1078:  Nie.
1078:  Szczerze powiedziawszy, poza kursami w sieci i tak dalej, nie znam żadnych książek na ten temat.
1087:  Netflix powinien wypuścić pięciominutowy special, w którym Geralt budzi się po pijackiej nocy.
1091:  Tak, tak, Kacmoren.
1093:  Kacmoren, dokładnie.
1096:  Kiedy gra GTA V online?
1098:  Nie gram w gry online, z definicji.
1104:  który moim zdaniem z Wiedźminów z Netflixowego Wiedźmina najbardziej mi się nie podobał i dlaczego?
1108:  No, przede wszystkim ci, którzy zostali wprowadzeni na plan tylko po to, żeby było, jak to Philips bez schematu fajnie ujął, nie diversity, tylko checklista, tak?
1118:  To znaczy, okej, jest czarny, tak, nie, nie musi się odzywać, ważne, żeby był.
1123:  Jest jakaś Azjata?
1124:  Dobra, jest, czek.
1126:  Nie, nie musi mieć kwestii dialogowej.
1127:  A co, pytacie, jak ma na imię?
1130:  A po co to wam?
1132:  To ci niewiedźmini mi się najbardziej nie podobali, którzy zostali instrumentalnie wprowadzeni, niestety, do świata.
1139:  Natomiast z Wiedźminów książkowych, wbrew pozorom, myślę, że najmniej Eskel, ponieważ Eskel został potraktowany po prostu okropnie.
1151:  Natomiast Lambert wiem, że też jest krytykowany przez wiele osób i słusznie, ale mam wrażenie, że dlatego głównie, że pamięta się Wiedźmina.
1160:  Tak, gdybym miał uczciwie powiedzieć, to głównie z tego powodu myślę, że jest krytykowany.
1166:  Tak, przy całej uczciwości względem twórców serialu, żeby nie było, że tylko krytykuje, chociaż akurat tu się krytykować trzeba.
1175:  Więc tak, w tej kolejności Eskel najmniej, potem Wesemir, z uwagi na problemy, które były wprowadzone w obrębie wewnętrznego uniwersum Netflixa, potem Lambert.
1188:  Adam Czartorycki, ładne.
1190:  Mamy tutaj taką tradycję dla tych z Was, którzy nie wiedzą, że nazywamy nasze szczury w dziwny sposób, kompletnie niezwiązany z różnymi politykami i autokratami na przestrzeni dziejów.
1202:  Dobrze, zaraz omówimy sobie sytuację taktyczną, tylko nadrabiam czaty.
1209:  Mam problem z tworzeniem wiedźminów w tym uniwersum.
1211:  Izmora, Wilka i Seria pokazują to na pewnym luziku.
1213:  Coś tam jest, mutageny, 3 na 10 przeżywa.
1215:  O, to on przeżywa 9 na 10 nawet.
1217:  Dramat jakiś absolutny.
1224:  My z kumpeją nazywamy to etatowy czarny Azjata i tak dalej, żeby się cyferki zgadzały, pisze Eri.
1229:  I to jest smutne, ponieważ to napędza niestety ten...
1233:  tę narrację, wiecie, bardzo nieprogresywną i nieliberalną, dotyczącą tego, że nie należy się w ogóle przyjmować reprezentacją mniejszości, gdy tymczasem należy, tylko trzeba robić to umiejętnie.
1249:  Jak wrażenia z Matrixa 4?
1250:  Jest jeszcze gorszy niż Wiedźmin.
1256:  O ile to jest możliwe.
1257:  Stosunki ze skawenami!
1259:  Tak, dobrze.
1261:  Przydadzą się.
1262:  Świetnie, świetnie, świetnie.
1263:  Uziemienie.
1265:  Magiczny przewodnik.
1266:  Tyle potrzebujemy na razie.
1268:  Jakieś szczury do awansowania.
1270:  Nie.
1271:  Tutaj potrzebujemy Jeno zrekrutować przynajmniej jeden oddział szczuromiotów.
1279:  Tak przechrzciliśmy kulomioty tutaj.
1281:  Mianowicie na szczuromioty.
1284:  Więc Matrix jest tak zły, że jest to serial, na którym nawet mi się nie chce zrobić rantu.
1290:  A to znaczy, jak bardzo źle musi być.
1292:  Jutro będziemy nagrywać za to rozmowę na bez tematu z Arturem Kurasińskim, też prawdopodobnie oczywiście ze mną i z Filipem.
1301:  I może tam powiem więcej, to podlinkuję wam.
1303:  Chief Warlock, Ickit Clark!
1306:  Dobrze, Iggyt Claw chyba zabezpieczał tu... A, już wiem, co robił Iggyt Claw.
1310:  Iggyt Claw bawi się w chowanego z Grimgorem oraz z Karazekarak.
1317:  To kontynuujemy zabawę w chowanego Teddy.
1322:  Dobrze.
1325:  Lord Skralk.
1326:  Lord Skralk ma świeżą armię.
1329:  Ratatruja, Ratowida Serogiego, Szczuronatdo Radwinci i Szczurgę Spaczarczuk.
1338:  Z taką armią zwycięży.
1340:  Serosław Spaczyński z kolei dopiero rekrutuje.
1344:  Dopiero rekrutuje.
1345:  To dobra wiadomość.
1346:  Będziemy mieć zatem miejsce na nowych, szalonych bohaterów.
1350:  Gromadzi Spaczyń.
1351:  Nie chcemy go. ...
1358:  Opinia kontrowersyjna, aktorzy Lamberta i Cohena dobrze pracują do swoich ról, ale ja nie zauważyłem Cohena w ogóle, tak żeby było śmieszniej.
1363:  On tam jest?
1366:  Wiele to mówi.
1368:  Mamy zdyscyplinowanego szczura, który może się przydać nieznacznie naszej armii, która jest gdzie?
1377:  Pamiętam, jak przez mgłę, że wysyłaliśmy mistrza śmierci Snikcha, właśnie.
1382:  Mistrz śmierci Snikch ma... Ach, mistrz śmierci Snikch inwestuje w spryt.
1389:  To ma sens, to ma sens.
1395:  Sniki Snikch!
1400:  Słyszałem opinię, pisze Daufleur, że Matrix 4 to taki przygłupawy, przydługawy, przygłupawy też, przeintelektualizowany wideoesej.
1410:  To jest przede wszystkim onanizm Lejny-Wachowski, czy Łaczowski, w zależności od tego, jak ją czytamy, nad własną spuścizną.
1421:  Jest to złe.
1422:  Jest to bardzo złe.
1423:  Jest to po prostu koszmarnie złe.
1425:  Bo to nie... fani nie czekali na studencką etiudę filmową dotyczącą tego, jak się można bawić z konwencją, tylko fani czekali na kolejnego Matrixa.
1439:  No i się nie doczekali.
1444:  Może widziałeś wiele, wiele gorszych.
1462:  Coen to był ten muzycy, co był miły dla Ciri?
1464:  Okej.
1465:  To wiele, wiele to mówi na temat tego, w jaki sposób zostały te postaci nam przedstawione.
1470:  Jak dla mnie w sposób urągający sztuce właśnie reżyserskiej i scenariopisarskiej.
1477:  Ale tu reżyser zawalił przede wszystkim, bo to reżyser decyduje o tym, w jaki sposób i kiedy, i jak zaprezentujemy postaci poszczególne, więc...
1484:  Tak, jest to duży problem.
1486:  Potrzebujemy bardzo spatch inżyniera, który byłby sprytny.
1489:  Spryt bowiem daje nam zwiększa szansę na atak.
1494:  Z zaskoczenia.
1497:  Chyba będę musiała dzisiaj przy Kinga usiąść do nowego Matrixa jeszcze raz, bo mi trochę przykro, nic nie pamiętam, bo jeździłem tu przez wszelkie... Tak, to jest jedyna zaleta nowego Matrixa, że zachęca do obejrzenia starego.
1510:  Dobrze, to w takim razie będziemy sobie tutaj radośnie levelować naszego Serosława.
1518:  Jeżeli wy jesteście zainteresowani, dlaczego akurat zostawiam cały czas to baro, to po to, żebyśmy byli w stanie szybko i łatwo levelować naszych bohaterów.
1527:  Polecam tę taktykę, jak gracie clanem Scryer.
1529:  Przekładałem Wolfwalkers?
1530:  Nie, chyba nie.
1532:  Jedyne, co mi się z wilkami kojarzy, to ten serial Ridleya Scotta.
1537:  Raised by Wolves.
1538:  Wychowany przez wilki.
1539:  Niezły.
1541:  Mam wrażenie, że o nim trochę zapomnieliśmy, ale jest naprawdę niezły.
1547:  Dobrze.
1548:  Schwarzhafen!
1550:  Schwarzhafen jest świetne, ponieważ mamy fabrykę rzezi, a duże farmy fabryczne to coś więcej niż podziemne pastwiska.
1557:  To prawdziwa rewolucja przemysłowa żywności.
1561:  Just saying.
1563:  Dobra.
1567:  Zawsze się cieszę, piszę Mroczna Kabiera, jak powstają takie filmy jak Matrix, trochę na przekrót, bo zawsze są filmy złe, ale autorskie, niż robione jak od maszyny.
1577:  Ale można zrobić dobry film autorski.
1580:  A to jest zły film autorski, moim zdaniem.
1582:  W tym sensie, że jest autoparodią.
1587:  Serwatki jeszcze nie była, jest ładna Erin.
1590:  Czy można zmienić WF po pierwszym semestrze i czy trzeba mieć zgódę nauczyciela?
1593:  Jeżeli chodzi o studia, to w ogóle uważam, że WF-u na psydach nie powinno być.
1596:  Ale myślę, że tak, że można.
1599:  Zdziwiłbym się, gdyby nie można było.
1602:  Z drugiej strony już mnie nic nie zdziwi.
1607:  Podpalony, podpalony, na wieki wieków spaczeń dygresywny wilku.
1611:  Podbój świata idzie dobrze, chociaż no właśnie, no generalnie jeżeli chodzi o cały świat, to mamy go dość sporo pod sobą, że tak to ujmę, ale pewnym problemem jest to, że świeżo skonfederowaliśmy te prowincje, wszystkie te prowincje, więc jest tego bardzo dużo do zarządzania, dlatego tak jak zapowiadałem, streamy warhammerowskie są gadane i dygresyjne, dygresywny wilku.
1636:  Jak ktoś, kto się kojarzy z wilkami?
1638:  Ja się kojarzę, prostuje Wolf, którego witamy serdecznie na czatach.
1642:  Hefestion pisze, że po raz pierwszy, że pierwszego Matrixa obejrzała kilka dni temu też i trochę przysła na, można przysłać na Matrixie pierwszym, absolutnie można.
1651:  Ja osobiście i z tym się nie zgadzam z całym fandomem Matrixowym, najbardziej lubię Matrix Revolutions, tak?
1659:  To jest ta ostatnia część.
1660:  Ta ostatnia część, gdzie się, nie będę Wam spoilował, ale jest przepiękna scena obrony, a ja jestem fetyszystą wszystkich możliwych gier w Tower Defense i sytuacji obronnych, typu Last Stand, gdzie jest moja wspaniała baza i działa ze wszystkich stron napieprzają do fal wrogów.
1677:  To jest ten moment, który ja uwielbiam, dlatego podoba mi się gra Riftbreaker.
1687:  Michał Blisker pisze, że wczoraj dołączył do rodziców oglądających filmowego Warcrafta, chwilami ciężko było wytrzymać, bez sensu śmieszne momentami dla mnie i film powinien być zdecydowanie anonimowany.
1697:  Tak i dlatego się cieszę z sukcesów animacji, które są ostatnimi czasy, bo może będziemy mieli więcej takich radosnych produkcji jak Arkane właśnie, ale wiecie, filmowcy bezpiecznie zawsze starają się działać i ponieważ starają się działać bezpiecznie, często przegapiają takie świetne okazje, tak myślę.
1718:  Nad Liv'em pomyślimy jeszcze, bo on tutaj spełni swoją rolę.
1723:  Liv będzie dzielnym obrońcą pustyni.
1728:  Dlatego nazwiemy go serwatką.
1735:  Tak jest.
1737:  Serwatka.
1738:  Dobrze, jest i on.
1740:  Quick... Uuuu!
1741:  Łohoho!
1746:  Quick, quick!
1750:  Chwila, cztery rzeczy do śmierci, śmierć!
1765:  jakich bohaterów mam w armii poza Ikitem i Quickiem.
1768:  Oprócz tego jest jeszcze mistrz śmierci Snikcz.
1771:  Mistrz śmierci Snikcz lore'owo jest w ogóle jednym z najbardziej niesamowitych szczurów.
1776:  Jest przywódcą klanu Eshin i Snikcz pojawiał się w zasadzie w lore za każdym razem wtedy, kiedy trzeba było kogoś wyeliminować i następnie znikał.
1787:  Więc jest mistrzem asasynów.
1792:  Taral czuje lore na czatach.
1802:  Mój sąsiad nazywa się Serwatka, dziwnie się to słyszy, bo go nie lubię.
1805:  Przepraszam, Aquarelle.
1806:  Przepraszam najmocniej.
1807:  Dla Tomeczka Arkane to serial roku?
1810:  Absolutnie się nie dziwię.
1811:  U mnie też.
1813:  Wyżej szczerze niż Squid Game.
1815:  To na pewno.
1816:  A było dużo dobrych produkcji w tym roku.
1818:  Żeby nie było.
1820:  Ja na przykład nie mówiłem wprawdzie na kanale o tym, ale Nine Perfect Strangers jest absolutnie niesamowity.
1825:  Uuuu.
1825:  The lab is doomed.
1834:  Uuuu... Będziemy potrzebować... Będziemy potrzebować rakiet Zagłady, bo... To jest armia bez problemu, z której bez problemu poradzimy, ale Malekith... Malekith może nam napytać biedy.
1846:  Dobra, tyle w tej turze.
1860:  Okej.
1865:  Ile mamy spatchbomby?
1868:  Jedna tylko.
1874:  No to zaczynamy.
1875:  Coś w tym jest, ale mam nadzieję, że to się wreszcie zmieni.
1887:  Serwatka Toskaweński, rycerz z Bretonii, tak.
1890:  Tak właśnie jest.
1894:  Czy wiadome jest, kiedy będę ogrywał Red Dead Redemption 2?
1897:  Bardzo możliwe, że w niedzielę, chyba że w sobotę mi coś wypadnie, to wtedy będzie za dwa tygodnie, albo będzie w środę przyszłą.
1907:  Czy widziałem nową podstawę programową dla tego przedmiotu historia i teraźniejszość?
1910:  Tak, szykuję się do komentarza.
