Organki szatkują organy — THOREK IRONBROW livestream #3 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=3Z1ESWSjGbE

2:  Kazukan Kazakit!
783:  Mnie bardzo interesuje zwykle świat właśnie i to, w jaki sposób on jest przedstawiony.
787:  O!
789:  Dlaczego my tutaj mamy taki rozległy garnizon?
792:  To jest pytanie.
794:  Czy my potrzebujemy tutaj taki rozległy garnizon?
798:  To by rozwiązało nasze problemy, duże problemy z pieniędzmi.
804:  Jako poznaniak domagam się, by pyre było wymawiane pyre.
808:  Rozumiem.
809:  Ulubiona część Assassin's Creed.
810:  Moi drodzy, Assassin's Creed 2.
813:  To jest jedyna słuszna część Assassin's Creed'a.
816:  Potem w następnej kolejności, wbrew wszelkim pozorom, będę mieć Assassin's Creed...
823:  Syndicate, bo rozgrywa się w Londynie.
825:  Mnie to kupiło, wystarczyło mi w zupełności.
828:  Jeszcze był dodatek z Jackiem Ripperem.
831:  Natomiast w następnym, trzecim miejscu jest u mnie Assassin's Creed Odyssey.
835:  Mimo że to są te nowe assassiny, mimo że niektórzy ich nie lubią, ja je bardzo doceniam.
840:  Odyssey jest dla mnie jednym z takich gier RPG, właśnie RPG, które bardzo dobrze jednak balansują fabułę i eksplorację świata.
853:  Oczywiście, że będziemy robili wszystko w Wiedźminie.
855:  Wszystko, wszystko, wszystko.
856:  Chyba, że będą jakieś nudne, repetytywne rzeczy, to to będę robił poza streamem.
862:  Wracamy Mierzwą Grzebaczkiem.
864:  Mierzwa Grzebaczek nazywa się tak na cześć krasnoluda z Artemisa Fowla, oczywiście.
872:  Tu będzie... Tak, tutaj na pewno będzie bunt i tutaj też będzie bunt.
878:  Łapka w dół od Olgi Tokarczuk.
879:  Mam nadzieję, że Olga Tokarczuk nie zawitała na ten kanał.
881:  Będę musiał jej sprzedać bana.
885:  Dobra.
886:  Czy coś jesteśmy w stanie wykuć?
887:  Jesteśmy krasnoludami, w związku z powyższym musimy kuć.
891:  Żelazo póki gorące.
892:  Ha, ha, ha, ha, ha.
895:  O, wielka runa Walii.
898:  Łelaja to jest, czy Walija.
901:  Każdy to wymawia inaczej.
903:  To jest interesujące, ale nie wiem, co nam to da.
909:  Młot weterana.
910:  Tutaj nie mamy jeszcze dobrych, niestety, pancerzy.
914:  One znajdują się na samym dole, o zgrozo.
916:  Ulubiony krasnolud ze świata dysku.
920:  Czemu ja nie pamiętam żadnego krasnoludu ze świata dysku?
922:  Nie pamiętam.
934:  Dragon Age mnie pokonał, szczerze powiedziawszy.
936:  Wiem, że jest to kultowa gra i wiem, że jest wybitna, natomiast on mnie pokonał sterowaniem.
941:  W złym momencie do niego zasiadłem i nie zanurzyłem się.
947:  Czytałem, tak, czytałem Artemisa Fowla, wszystkie tomy.
950:  Bardzo lubię zresztą, natomiast nie oglądajcie tej abominacji, która wyszła w kinach.
957:  Jakiś rok temu.
958:  Jak można było tak Butlera przedstawić z jego wspaniałym Zigzaurem.
962:  Ach,
964:  Cierpiałem bardzo.
965:  Ruszamy, moi drodzy, na zachód.
969:  Chyba, że... A cóż tutaj jest?
972:  Aha, to są wąpierze.
973:  Czy sobie poradzimy w tym garnizonie?
975:  Absolutnie nie.
978:  Absolutnie nie.
979:  Mierzwa grzebaczek na ratunek.
983:  Czemu Mierzwa Grzebaczek nie jest w stanie przejść tam?
987:  Mamy ten sam problem, który był na samym początku tego streamu, to znaczy jest kłopot z używaniem podziemnej drogi na dół.
994:  No nic, najwyżej raseta zostanie odbita, ale ewentualnie możemy jeszcze podążyć tym naszym interwencyjnym krasnoludem.
1005:  Co tu się dzieje?
1007:  Czy grałem coś w kuźni z Paradoksu?
1010:  Oczywiście Stellaris przede wszystkim.
1012:  I chyba najbardziej lubię Stellaris z wszystkich gier paradoksowych.
1015:  Tak mi się wydaje.
1020:  Kapral Cudotyłeczek!
1021:  Oczywiście, że tak!
1023:  Przecież to jest najwspanialszy krasnolud w nocnej straży.
1027:  Aha.
1028:  W straży.
1031:  W straży.
1031:  Ona po prostu nazywa straż.
1036:  Nie boję się chyba... Nie.
1040:  Tutaj powinniśmy, chociaż to są słynne ostatnie słowa, powinniśmy odeprzeć ten atak.
1046:  W wąpierze nie wierzę.
1048:  Och, w wąpierze z Überwaldu u Pratchetta to jest przepiękny temat.
1052:  Przypominam, że po pierwsze mają kopalnię tłuszczu, bo nie wiem, czy wiecie, że Überwald jest wzorowany na Polsce i krajach generalnie słowiańskich.
1061:  No i tak, tak, Überwald jest znakomicie przedstawiony.
1066:  Przypominam sobie ten cudowny zapis wszystkich imion, nie?
1070:  To znaczy przez V zamiast W. To jest taki prosty zabieg językowy, a oddaje od razu wampirzość wampirów.
1079:  No, da się przejść.
1085:  Zmierza.
1086:  Tutaj mamy, w Theotiqua mamy mury, więc powinno być okej.
1096:  Okej.
1099:  Endless Legends, znane, znane, ale niegrane dawno.
1106:  Nie, nie, Stellarisa kocham absolutnie.
1108:  Pamiętam, że się uparłem akurat ze Stellari... Uuu, tu jest Grimgor, a nie... Czy Grimgor nas nienawidzi?
1122:  Mało powiedziane.
1128:  Jesteśmy, jesteśmy odważnymi krasnoludami, ale to oznacza, że musimy mieć Doomstaka numer 2, to znaczy ten nasz Mierzwa Grzebaczek, Mistrz Run, który ma beznadziejny trade i będziemy musieli go wymienić na jakiegoś innego, musi iść naprzód.
1144:  No to już byłoby lepsze.
1146:  Magiczna ochrona.
1149:  Ale poczekajmy, aż będzie dostępny jakiś wyższo-poziomowy Mistrz Run.
1155:  Ciężkie sprawy, moi drodzy.
1157:  A ten run?
1158:  Mistrz też jest mistrzostwem broni.
1160:  Koszmar absolutny.
1163:  Zawsze najlepsze.
1193:  Właśnie nie grałem w Nemezis do Stellarisa.
1198:  No bo czas jakiś temu grałem w Stellarisa, jakiś rok temu.
1203:  Stowarzyszenie Czarnej Wstążki, czyli AA dla wampirów.
1206:  Tak, było, przepiękne absolutnie.
1210:  Tak, wampiry chyba mówią w ogóle przez V tam, nie tylko to dotyczy imion, dotyczy w ogóle wymowy litery W. Cudowna sprawa absolutnie.
1223:  Oglądam właśnie Q&A.
1224:  Powiedz mi, jak ty możesz rozmawiać tyle czasu bez żadnej przerwy.
1227:  By... Np.
1229:  cykl wykładów przez 8 godzin bardzo pomaga w tym, nie?
1234:  Miałem takie rzeczy w życiu.
1237:  Zaryzykujemy grę Gniew Morsleba.
1242:  Chociaż teoretycznie... Moglibyśmy zejść tutaj i... Aaa!
1248:  Będziemy odważni.
1252:  To się może bardzo źle skończyć.
1254:  Twardziele Grimgora, to na nich jest pora.
1272:  Dobrze.
1273:  If you want something done right, do it yourself!
1278:  Mierzwa grzebaczek.
1281:  Otrzymasz wsparcie w postaci... w postaci katapulty.
1289:  I w postaci związanego karnozaura.
1292:  Tak myślę.
1294:  To powinno wystarczyć.
1299:  Aha.
1301:  Zapomniałem, że tu jest problem, bo pustynia z... O nie, stracimy to.
1310:  Dobrze, to przynajmniej Lybaras ufortyfikujemy.
1315:  I to tyle, jeżeli chodzi o nasze możliwości.
1317:  Tutaj będzie bunt w następnej turze.
1319:  Będziemy mieli bitwę za bitwą.
1322:  Co sądzę o serialu Rick and Morty?
1324:  Nie moja kreska, nie jestem nimami Mercy.
1329:  Dobrze.
1331:  Naszego nowego krasnoluda musimy uzbroić.
1334:  Pięknie.
1336:  Dajmy mu jakiś pancerz.
1337:  Może być to pancerz gracza, może być to zguba bohaterów.
1341:  Niech ma ochronę dodatkową.
1346:  Czy jesteśmy w stanie... Brak skażenia się przyda, bo idziemy na ziemie też wampiryczne.
1353:  Przychody z łupów po bitwie.
1354:  Dobra.
1359:  Twórczość Pratchetta jest kopalnią cudowności w ogóle.
1361:  Absolutnie się zgadzam.
1362:  Co sądzę o Castlevanii?
1363:  Kocham.
1364:  Zresztą robiłem recenzję, możesz wpaść nam całe 4 minuty, chociaż mógłbym mówić 40 na temat tego, jak kocham tę animację.
1373:  A jeśli mowa o grze wideo, to uważam, że animacja jest lepsza.
1379:  Bear with me.
1381:  Tak będzie kontynuowany scenariusz Skavenów.
1383:  Będziemy sobie robili taką trójpolówkę, że tak to ujmę.
1397:  Czy ja dobrze widzę, że szlachta Lybarasu... Nie!
1404:  Nie, nie pozwolimy na to.
1406:  Będę oglądać serial animowany o Wesemirze?
1408:  Absolutnie tak.
1409:  Co więcej, jestem bardziej na niego przehypowany niż na drugi sezon Wiedźmina.
1418:  Ja wiem, wiem, wiem, wiem, że musimy mieć te browary, żeby unikać buntów, ale szczerze mówiąc dobrą też, ja lubię tę taktykę, jest strategią mianowicie levelowanie garnizonów, tak jak jesteśmy w stanie.
1433:  MVP są te katapulty tutaj.
1437:  Musimy zrobić wszystko, żeby nas nie trafiły.
1440:  I wiem chyba, jak się za to zabrać.
1445:  Dobrze, tutaj spróbujemy ich
1462:  Ile skończyłem kampanii w Warhammerze 2?
1464:  O Boże.
1465:  Mam 2400 godzin, więc to będzie paręset kampanii.
1477:  Oni nie atakują?
1479:  ONI NIE ATAKUJĄ!
1481:  AHAHA!
1482:  DEBILE!
1484:  Dobrze, dobrze, bardzo dobrze.
1486:  Czy orientuje się, jak wygląda proces nostryfikacji dyplomów?
1490:  Nie do końca, szczerze powiedziawszy.
1493:  Zależy od uczelni, zależy od bardzo wielu czynników.
1504:  Piszecie, że na Twitterze coś się dzieje, że Pratchett ma problemy z uwagi na wypowiedzi transfobiczne.
1511:  Pratchett nie żyje, zacznijmy może od tego.
1514:  Więc jeżeli jakiekolwiek wypowiedzi transfobiczne jego są, to...
1519:  Jest to bardzo przykre.
1521:  Natomiast w żadnym wypadku nie łączyłbym tego z jego twórczością, z której przemawia tolerancja i to do wszystkich, do każdej odmienności.
1529:  Przypomnę chociażby front wyzwalania golemów i tego typu pomysły.
1533:  Nie wpada się na takie pomysły wtedy, jeżeli jest się zionącym z nienawiści nacjonalistą albo faszyzującym człowiekiem.
1565:  Musimy to zrobić, bo inaczej nie mamy najmniejszych szans na wygranie.
1579:  Totalnie nie rozumiem tego, co tu się dzieje.
1590:  Najdziwniejsza bitwa, jaką kiedykolwiek miałem, bo albo się nie poruszają, to jest jakby zrozumiałe, ale tego poruszania się o jeden centymetr do przodu totalnie nie czaje.
1600:  Dobra.
1606:  Wyślemy wpierw górników.
1608:  Longbeards są zbyt cenni.
1614:  Dobra, i teraz tak.
1617:  Grobowych łowców musimy wyeliminować.
1623:  Jakieś porady lub polecane słupy klawiszowe dla nowych graczy Total War'a?
1626:  Polecam zapoznać się z altem i kontrolem, pozwalają im na szybkie zmienianie formacji.
1634:  Przejdź, przejdź, głupi krasnolud!
1637:  Pchaj się przez te szkielety!
1643:  Put those dwarven legs, tak!
1645:  Put them to work!
1651:  Dobra.
1653:  Sytuacja jest częściowo opanowana.
1657:  Longbeards trochę oberwali.
1668:  Cholera.
1668:  Dobra, spróbujemy ustawić się tak, żeby strzelali w ich.
1683:  Nie, nie będzie restartu kampanii.
1684:  Tym razem nie.
1686:  Nie, nie, nie, moi drodzy.
1687:  Absolutnie nie.
1689:  Tu mieliśmy już... Tutaj mieliśmy dwa razy restart, jeśli mnie pamięć nie myli.
1694:  Bardzo traumatyzujące przeżycie.
1695:  O nie, jeźdźcy nehekary.
1705:  Ileż on musi tę kalatapultę obrabiać?
1710:  Zauważyłem, że AI bardzo lubi, ale to bardzo lubi, atakować garnizon, który jest tuż jedną turę przed wybudowaniem murów.
1718:  Strasznie irytujące.
1730:  Ja nie wiem, czy tutaj nie ma formacji, to znaczy to jest inny raczej problem, to znaczy w tej grze formacje są o tyle zbędne, że piechota nie jest MVP tego tytułu.
1746:  Korzystanie z piechoty wręcz jest odradzane zwykle.
1752:  Dobrze.
1755:  Teraz tak, musimy wyeliminować resztę z wrogów naszych.
1761:  O nie, tego się obawiałem.
1772:  Bicie starszych panów Związku Zawodowego Górników przez sztygarów ciąg dalszy, tak.
1777:  Tak, tutaj można zmienić dowolnie kąt ustawienia kamery.
1780:  Poruszamy się wsadem, rozglądamy się myszą standardowo.
1788:  No nie wierzę po prostu.
1797:  Nasz tchórzliwy!
1799:  O nie!
1800:  Zniszcz tę katapultę.
1812:  Wojownicy Nehekary w tym momencie są dla nas najbardziej niebezpieczni.
1821:  Nie będziemy walczyć z załogą katapulty litości.
1831:  Niedziela spokojna u mnie, jak najbardziej.
1833:  Pomijając to, że grałem w Genshin'a i okazało się, że w Inazumie jest jakaś zagadka puzzlowa, której nie jestem w stanie oglądać, co mnie doprowadziło do szału.
1843:  Pod drzewem jest taka jaskinia i w rzeczonej jaskini jest pieprzona zagadka, której się nie da w żaden sposób rozwiązać, co w tym miejscu oznacza jest zagadką logiczną.
1854:  Zawsze denerwowały mnie zagadki logiczne, ponieważ zagadki logiczne wymyślają myślenie na ciągach, a ciągi to jest coś, czego ja nigdy nie byłem w stanie zrozumieć z matematyki.
1862:  I denerwuje mnie to, nie ukrywam.
1865:  O nie, jeszcze jest niestety szansa, że przywołają wojowników u Szabti.
1874:  i obszywają ich naturalnie na naszych kuszników, więc musimy być uważni.
1885:  Restart i kitem byłby bardziej pożądany rzeczywiście.
1891:  Jeżeli mówicie, że te wrogie siły szkieletów są prowadzone przez Olga Tokarczuk, to we mnie większy jeszcze duch bojowy.
1903:  się budzi.
1911:  Okej.
1914:  Czy można liczyć na streama z Minecrafta, na jakiś special?
1918:  Minecraft to nie jest moja gra.
1920:  Nawet, nawet jeżeli by to był bardzo duży special.
1925:  Szczerze powiedziawszy, od tego już wolę czytać biegunów, Olgi Tokarczuk, od tyłu.
1933:  To nie jest zły pomysł.
1938:  No właśnie, Krzysztof ma rację na czacie, że w Total War Warhammer o tyle te formacje nie mają sensu, że tutaj rzeczywiście jeden czar może zniszczyć całą formację wroga, dosłownie, w ciągu jednej sekundy.
1952:  W związku z powyższym one zostały tutaj potraktowane bardzo symbolicznie, nawet nie ma tutaj... Teoretycznie jest jakiś wybór formacji, ale on jest bardzo, bardzo ograniczony.
1963:  Dlaczego krasnoludy uciekają?
1965:  Co to ma znaczyć?
1967:  Jedna jedyna rzecz, jakiej mają nie robić, to nie uciekać.
1977:  Stream z Genshin'a?
1979:  Nie wiem.
1980:  Ja nie jestem... Powiem wam, że w Genshin'ie, moim zdaniem, grał typowo do pogrania z garstką przyjaciół, a sam nigdy bym nie potrafił oglądać streamu z Genshin'a, więc jeżeli nie potrafię czegoś sam oglądać, ciężko mi jest to zrobić.
1997:  KAZUKEN KAZAKIT HA!
1999:  Zniszczyć ich!
2009:  Nic nie może nas powstrzymać!
2040:  Wracać!
2041:  Wracać tutaj!
2042:  Co to znaczy?
2043:  Co to znaczy za łamanie dyscypliny w szeregach krasnoludzich?
2047:  Skandal!
2049:  Wstyd!
2051:  Wstyd i hańba!
2066:  Co to było w ogóle?
2068:  Co to było?
2071:  Przecież myśmy ich praktycznie wszystkich wybili.
2073:  Zostało 40... Coś musi być nie tak z tą naszą dyscypliną.
2077:  Bałem się, że to jest wina braku ulepszeń.
2081:  Mają włócznie najlepsza broń na krosnoludy podługa.
2085:  Najwyraźniej.
2090:  Wstyd.
2092:  Wstyd.
2094:  No i teraz mamy znowu wojnę na dwa fronty.
2104:  Torek, wracasz.
2106:  Widzicie już dlaczego gra się kampaniami krasnoludów 170 tur?
2110:  Właśnie dlatego.
2113:  Co tu się dzieje?
2117:  Nie, to nie będzie żadna porażka.
2119:  Damy sobie z nimi radę, bez problemu.
2121:  Niech tylko zaatakują.
2124:  Okej.
2127:  Tutaj jest... Okej.
2130:  Tu co się dzieje?
2131:  To są tylko wampiry, więc nie powinno być problemu.
2135:  Okej.
2137:  Bunt stłumiony.
2138:  To oznacza, że nasz Mierzwa Grzebaczek może się udać na dół i stłumić kolejny bunt.
2144:  To jest bunt Chaosytów, więc tak, więc jest potrzebne wsparcie zdecydowanie.
2152:  Tutaj ustawimy sobie ten oddział przynajmniej.
2156:  Niech stacjonuje, bo nie możemy sobie pozwolić na stratę tej prowincji.
2162:  Whatever.
2163:  W sumie będziemy dużo budować.
2166:  Jak tutaj jest sytuacja?
2167:  Tu będziemy mieć bunt, ale to jest bardzo dobrze ufortyfikowane, twierdzam.
2174:  Jak to jest, że 180 do ciebie, a taka mała ekspansja?
2177:  Tak to jest, że niestety nas dojeżdżali ze wszystkich możliwych stron.
2181:  Uważam, że kampania Toreka jest jedną z trudniejszych i mieliśmy wyjątkowego pecha.
2188:  Ja zrobiłem pewien błąd i z drugiej strony nie błąd, to znaczy nie polecam tego.
2193:  Teleportowałem się z zaginionego płaskowyżu tymi ścieżkami.
2198:  krasnoludzimi podziemną drogą do Rasetry.
2201:  I to wprowadziło nas w wojnę między Kroggarem, a Court of Liberas i Wąpierzami.
2207:  To nie było coś, co bylibyśmy w stanie zrobić jedną armią.
2211:  A, i jeszcze na samym początku jest klan Morse tutaj.
2214:  Klan Morse miał od razu Rattling Guns w trzeciej turze.
2218:  Dyscyplina dla oddziałów piechoty, już rozumiem, na czym polega problem.
2227:  No właśnie.
2228:  No właśnie.
2229:  Dobrze.
2230:  Nieprzydzielone punkty umiejętności.
2232:  Gdzie są nieprzydzielone?
2233:  Tutaj.
2237:  Nie miało być dziś w lustri?
2239:  Nie, nie.
2240:  W lustri jest kampania Okawiru, Toreka.
2246:  Nie, nie grałem w Pokemon Trading Card Game i od razu uprzedzałem z pytania, również nie w Wiedźmina mobilnego.
2259:  The Plague Innocence.
2260:  O, to jest piękna gra, grałem w nią.
2263:  Czemu jest tyle spatrzenia chaosu?
2264:  Bardzo dobre pytanie.
2266:  Dlatego, że jest tura 170, co oznacza, że jest inwazja chaosu i to sprawia właśnie, że mamy bunt za buntem.
2277:  Teraz tak, tak, tak, żebyśmy się nie wkopali.
2280:  Jaki on ma tutaj zasięg?
2281:  Dobrze, ma taki.
2282:  Nie, nie dotrze do nas.
2287:  Gdzie trzeba sobie jakoś poradzić z tym spaczeniem.
2292:  Torek, ruszasz tutaj, żeby zabezpieczyć te prowincje.
