Za Sigmara! A od magii wara — BALTHASAR GELT Livestream #3
🔗 https://www.youtube.com/watch?v=tZmKi5U3UAg

3:  Witajcie.
280:  Bez dwóch zdań.
284:  Uuuu, czyżbym widział?
286:  Ooo, ma go ognia!
288:  Ognia Spalarczuk, bardzo dobrze!
291:  Jak adekwatnie!
293:  Jak adekwatnie, dobrze.
295:  Zrobimy klasyczny układ szachownicy w takim razie.
300:  Legend doprowadza mnie do szału, bo cały czas ogrywa kampanię Nergla na swoich streamach, a ja jeszcze nie mam dostępu do Warhammera.
307:  Co to za smutek?
310:  Hades i Dishonored?
311:  No pewnie, że tak żółwik zdradza, bo na Discordzie już mówiłem, że będą dwie gry jutro.
318:  Chyba, że coś się jeszcze zmieni w głosowaniu, moi drodzy.
325:  Czy moja petycja o wcześniejszy ekran, zaraz zaczynamy, była w ogóle zauważona?
328:  Znaczy, możemy zrobić coś.
329:  Tak, to jest Twitchowe, to jest straszny problem.
332:  Nie za bardzo się to ładnie implementuje na YouTubie.
339:  Dobrze.
342:  Myślę, że możemy zaczynać.
344:  Plan jest bardzo prosty.
345:  Wypalamy.
347:  Kislev też będzie Aleksandro ogrywany, też będzie, tylko zaczynamy od Chinchay Grand Cafe, ponieważ Kislev to jest w zasadzie reskin, moim zdaniem przynajmniej, tego, co się dzieje w Imperium.
357:  Oczywiście z pewnymi różnicami mechanicznymi, ale czegoś takiego jak Grand Cafe jeszcze po stronie ludzi nie było.
364:  Grand Cafe ma na przykład bardzo interesującą artylerię powietrzną.
369:  Artylerii powietrznej jeszcze nigdy nie było w Warhammerze III, więc może być bardzo ciekawie.
375:  Dobrze, tutaj...
376:  W zasadzie Ember Wizard, czyli czarodziej, który włada magią bursztynu, dziką magią zwierząt, ale jest bursztynowym czarodziejem, służy wyłącznie do zatrzymywania konnicy.
396:  Więc z tym ekranem to jeszcze, wiecie, będzie trzeba przemyśleć, jak to zrobić.
399:  Nie mam pomysłu na razie.
405:  Dobra, dobra, bo to się niedobra rzecz dzieje.
407:  Oczywiście, że nas flankują.
412:  Bardzo nie chcemy, żeby Temple of Luminak została zniszczona, więc użyjemy zaklęcia.
417:  Bardzo chytrego i sprytnego zaklęcia.
421:  Dobrze.
421:  Jakbyście się zastanawiali, nie, tutaj nikt nie krzyczy za Francji, tylko za Carla Franza.
430:  Cześć Bartku, witaj serdecznie.
433:  Dobrze, wszystko u mnie.
434:  Bardzo dobrze.
435:  Weekend mija wspaniale.
441:  Na ekranie widzimy dwa konie.
442:  Krzysztof, no dobrze, powiedzmy, że to są dwa konie.
445:  Tak było, Onu.
446:  Tak było.
447:  Nie zmyślasz.
449:  Dobra.
450:  Musimy się troszeczkę przegrupować, ale tylko odrobinkę.
455:  To co mi się bardzo podoba, a propos Nurgle'a chociażby, w Warhammerze 3, to jest kompletnie zmieniona mechanika gry.
463:  Nurgle bardziej będzie turtle'ał, bardzo mi się to podoba.
468:  Jako ogry nie zagramy prędko.
471:  Ogry już były dostępne teraz w tej części gry do przetestowania, przynajmniej częściowo jako nadziemnicy i szczerze powiedziawszy nie wywołali na razie mojej przesadnej ekscytacji.
486:  Klara jeszcze nie widziała pomarańczowego świata w jaskini arcymagowskiej, to dlatego, że nie widziałaś poprzednich streamów z Imperium.
494:  Imperium towarzyszy pomarańczowe światło.
502:  Dobrze, moi drodzy, to było proste na sam początek.
505:  Agnieszka będzie coś rysować?
506:  Czaty, pomysły na rysunek dla Agnieszki.
509:  Może wpadniemy na coś.
513:  Witamy Kingę, witamy Tar... Tarel się bardzo cieszy, krzyczy ser, ser, ale nie, nie gramy z cavenami niestety.
520:  Dzisiaj Szymonie gramy imperialnymi.
523:  Dziękuję Córko Zbójnika za trybut na pokarczukowy detoks.
528:  To tak, dla tych z was, którzy dołączają, zaczynaliśmy stream od wielbienia, najwybitniejszej pisarki na świecie, której fundacja zrealizowała bardzo dużo różnych projektów, jakbyście byli zainteresowani.
542:  w ciągu ostatnich lat.
544:  Na przykład... Ten projekt i tamten.
553:  O, jeszcze ten.
556:  Tak, bardzo dużo.
558:  Co tu się w ogóle dzieje?
559:  Wampiry nam zagrażają.
561:  Musimy natychmiast złapać jakiś soczysty replenishment.
566:  W Skavenii nie istnieją tylko bajeczki Marienburczyków.
569:  Marienburczycy słusznie są hejtowani w całym Imperium.
572:  Ileż my mamy do zrobienia tutaj rzeczy?
575:  Nie levelowaliśmy dawno, moi drodzy.
577:  Co to za skandal?
580:  Dobrze, czy potrzebujemy tutaj jeszcze jakiejś umiejętności?
582:  Niewiele.
584:  Dobrze, dobrze.
585:  Gryffi już jest, to jest najważniejsze.
588:  Tutaj cokolwiek, absolutnie.
590:  Magia bestii, czyli powiedzmy kolegium bursztynu wedle szkół magii w Altdorfie nie prezentuje się zbyt szlachetnie.
599:  Ciekawy jestem, czy zostanie wyeliminowana w ogóle z Warhammera III.
604:  W sumie w Warhammerze III serowanie powinno się zmienić na cinchowanie.
607:  No, jak będziemy grać cinchem, to będzie oficjalny zakaz używania emoji sera na czatach, ponieważ cinch z istoty swej, z istoty swej serzy przez cały czas.
618:  Co tutaj się dzieje z kolei?
619:  Mariusz Lejdorf ma problem.
627:  Mariusz Lejdorf nie ma problemu.
631:  Dobry wieczer, jak się mawia w morawskich rejonach.
633:  Witajcie Dziabowscy, witajcie.
635:  I witaj Jakubie Momocie.
637:  Jamnik Samuraj, żeby było na Warhammera III.
639:  O tak, o tak, na pewno.
643:  Tomasz się objawia, że to... Przepraszam.
647:  *** będzie omawiana w szkole i to na podstawie z języka polskiego w liceum.
649:  Ja jestem tego nawet pewien.
651:  Swoją drogą, ostatnio dotarłem do swoich wpisów na fejsie, jeszcze z czasów, kiedy zmuszano mnie do czytania takich rzeczy.
656:  Były bardzo rozpaczliwe.
660:  Dobrze, jaka jest w ogóle sytuacja taktyczna?
663:  Balthasar Geld usiłuje walczyć z wampirami.
666:  Jest bardzo daleko od naszych ziem.
669:  Wielosmród Kłamca usiłuje nas zaatakować.
672:  Tutaj mamy fort, który go broni Wolfgang Beckburg.
675:  W ogóle nie ma żadnych imion czaty nowych, więc tu będzie trzeba się przygotować intensywnie.
681:  Mamy nul.
682:  To jest w ogóle bardzo wczesna faza kampanii, wbrew pozorom.
686:  I mamy bardzo niewiele autorytetu imperialnego.
687:  Autorytet imperialny to jest ważna rzecz, ponieważ będziemy musieli wykorzystywać to do konsolidacji całego naszego imperium, a mamy do skonsolidowania tyle, moi drodzy, i to najlepiej dzisiaj.
698:  Cinch jest personifikacją Serra?
699:  Tak, to prawda.
703:  Pomysł na nowego jamnika?
704:  Jamnik austriacki, malarz, tego nie zrobimy.
708:  Ja mnie Kairos na streamie cinchowe... Będzie dużo streamów w ogóle z Warhammera III, to się przygotujcie.
713:  Od 10 lutego startujemy.
715:  Nawet nie wiem, czy nie zawiesimy króciutko Red Deada, ale króciutko.
720:  Będzie zapotrzebowanie.
721:  Mam taki plan, żeby każdą z frakcji zaadresować z Warhammera III.
725:  Absolutnie każdą.
727:  Kiedy będzie War of Warcraft?
729:  Uuu, nieprędko.
730:  Ja w MMO nie gram.
732:  Czyli tak, mamy jedną armię.
734:  To nie jest dobrze.
734:  Mamy beznadziejny dochód i jedną armię.
737:  Musimy to rozwiązać, czaty.
739:  Bezwzględnie.
740:  Ale za to możemy obsadzić już.
746:  O tak.
748:  O, tak, możemy obsadzić trzy prowincje.
751:  Która jest najlepsza?
752:  Bo w zależności od tego, jakimi elektorami obsadzamy jakie prowincje, dostajemy różnorodne bonusy z tego tytułu.
758:  Więc zobaczmy, co jest tutaj.
759:  Utrzymanie dla jednostek elitarnych?
761:  Nie.
765:  A, rozumiem, to jest... Nie, nie, to jest dla wszystkich elektorów.
767:  Dobra, odporność fizyczna.
771:  Rozwój.
772:  O, rozwój dla wszystkich prowincji jest na pewno ważny.
775:  I tyle.
778:  Sim is Hollow Knight?
781:  Nie wiem, nie rozważałem.
783:  Essen.
785:  Zobaczmy, czy jesteśmy w stanie kogoś radosnego zrekrutować, kto nie dość, że będzie mógł obsadzić stanowisko elektorskie... Nie bardzo.
794:  To jeszcze nie bardzo.
796:  Ład publiczny, lokalna prowincja.
797:  Może w jakiejś prowincji, gdzie mamy z tym problem.
802:  Ale na razie nie widzę żadnej takiej prowincji.
806:  Dobra.
807:  Lecimy dalej.
809:  Czy znany jest wiktoriański steampunk w Dziwnej Sprawie Skaczącego Jacka?
813:  Ooo, ostatnio wróciłam, istny miód z benzyną, pisze córka zbójnika.
816:  Moi drodzy, jak nie znacie... Jak?
820:  Co tu się dzieje?
822:  Trot nieczysty nas atakuje, nie mamy szans przeciwko niemu.
828:  Moi drodzy, dziwna sprawa skaczącego Jacka i w ogóle kroniki Bartona i Swinburna, to są trzy tomy, to jest przynajmniej w języku polskim wydane, bo w języku angielskim jest więcej, to jest przefantastyczna rzecz.
840:  Jak lubicie prozę detektywistyczną i jeszcze steampunk, to jest to dobry pomysł.
848:  Jak się podoba lokacja Anconomia w Genshinie?
853:  Jeżeli ona została dodana jakoś bardzo niedawno, to mogę jej nie kojarzyć, bo w Genshinie przestałem grać.
858:  Witamy Yuma-chan i witamy FoxGhosta.
860:  Jak ja nie mogę się doczekać streamu z Hadesa?
862:  No jutro będę troszeczkę się ogarniał w Hadesie na początku, ale wiecie, ja mam taki zwyczaj, że gram w gry na czysto, więc miejcie tę świadomość, że ja ją będę odkrywał na streamie, więc to będzie na spokojnie bardzo.
873:  A potem będziemy mieć jeszcze drugą grę.
877:  Dishonored.
879:  Były na tyle wyrównane głosy, że stwierdziłem, że weźmiemy dwie gry.
883:  Niech płoną kuroka, absolutnie.
887:  Więc cóż, możemy wysłać oddział albo zużyć prestiż.
891:  Prestiżu mamy mnóstwo.
894:  To była dobra decyzja, bo jeszcze na tym interesie zarobimy.
897:  Świetnie.
899:  Hades na padzie.
901:  Kasiałkę, jak grałem i wygrałem w Dark Souls 3 na myszej klawiaturze, to nic nie jest w stanie już mnie przerazić pod tym kątem.
910:  Wszędzie tutaj są rebelie.
911:  Czy Behafen jest... Behafen jest w złym stanie.
915:  Zamek Van Royken i tak zostanie zapewne, zapewne oblężony.
921:  Więc nie pozostaje nam nic innego, moi drodzy, jak pozbyć się dwóch rebelii.
925:  Rebelia numer jeden.
929:  Dobra.
932:  I bierzemy złoto.
937:  I przemieścimy się tutaj, do tej prowincji, żeby pozbyć się zagrożenia w postaci trota.
944:  Trot jest jeszcze dobry dla nas, ponieważ pokonanie trota nieczystego daje 10% dla Baltazara Gelta.
951:  No, moja teza jest bardzo prosta, to znaczy dlatego, żeby
977:  ludzi zniechęcić do czytania i do interpretowania na własną rękę, do myślenia na własną rękę, ponieważ nie to się sprawdza na maturach.
985:  Na maturze nie sprawdza się tego, czy myślicie sami, tylko sprawdza się, czy jesteście wolno myślicielami, to znaczy, czy myślicie bardzo powoli, bardzo wolno, a nie, że jesteście wolno myślicielami w właściwym sensie tego słowa, że swobodnie i poza schematem.
999:  Nie, nie, nie.
1000:  Trzeba recytować interpretacje, więc nie dajcie bogowie, gdyby coś przeczytać, czym byliby ludzie zainteresowani.
1006:  Prosty test.
1007:  Zdarzało się tak wielokrotnie na lekcjach, pewnie to pamięta każdy z nas, że ktoś wrzucał jakiś temat, żeby odciągnąć uwagę nauczyciela od realizacji podstawy programowej i rozmawiało się na przykład o jakimś filmie czy o czymś i nauczyciel w którymś momencie mówił dobra, dobra, dobra, pogadaliśmy, ale wracamy do tematu, wracamy do tematu, a niby dlaczego?
1032:  Z tego powodu, moi drodzy.
1036:  Kamil Kumor chciałby zobaczyć Total War'a wśród ziemi.
1039:  Ja bym chciał.
1039:  I jeszcze, jeszcze, jeszcze, jeszcze Warhammera 40 tysięcy w realiach Total War'owych.
1044:  Bogowie, jakie to byłoby wspaniałe.
1046:  Co możemy jeszcze mieć, żeby to... Pancerz dla oddziałów jazdy.
1051:  Nie.
1052:  Czynnik spalania.
1054:  Czynnik spalania.
1056:  Ale on nie daje nam wiele, wbrew pozorom.
1059:  Weźmy te wpływy z handlu.
1061:  Dobry, dobry, niech będzie podpalony.
1067:  Tomasz współczuje Dawidowi Myślistowi, że katuje się wątpliwy jakościoł prozy zięby.
1070:  Ja też, ale bardzo go podziwiam, że się podjął tego godnego wyzwania charytatywnie.
1076:  Bardzo podziwiam.
1079:  Mój genialny nauczyciel, pisze Fokacz Fokaczowski, bez cienia ironii, zadał nam Odyseję.
1086:  Ale to nie jest prosta rzecz do lektury.
1088:  To znaczy, to się czyta znowu też na studiach, nie?
1091:  Ale co ja tam wiem?
1096:  Myślicie, że to jest wszystko, czego potrzebujemy?
1098:  Czy wielosmród kłamca będzie chciał nas zaatakować?
1102:  Pewnie tak.
1102:  Mamy dobry garnizon?
1104:  Dobry.
1105:  Schwarzhafen potrzebuje absolutnie murów.
1111:  Zamek Tempelhof.
1115:  Przenieśmy się do Eschen.
1117:  Bo podejrzewam, że trot nieczysty może chcieć nas zaatakować tam.
1122:  Warhammer 40 tysięcy w Total Warze brzmi arcyciecznie, tam straty przyszły w milionach.
1126:  Taką musiała być ta fuzja jeszcze z Stellaris albo czymś podobnym, z uwagi na to, że w Warhammerze 40 mamy te miliony planet, którymi trzeba zarządzać.
1134:  Nie robię absolutnie żadnej konkurencji Dawidowi, moi drodzy, w życiu.
1137:  Ja gram sobie spokojnie, nie czytam prozy paranaukowej i nie próbuję jej dekonstruować, bo nie podołałbym temu.
1148:  Wpadłbym w rant po dwóch minutach.
1152:  jakiś konkretny build pod Imperium.
1154:  Nie, po prostu radujemy się faktem, że są takie gry wideo, w których można roleplayować magiem.
1161:  Niestety są to gry strategiczne, ale umówmy się, kto by nie chciał grać magiem w złotej masce?
1171:  Czytaliście Odyseję w pierwszej klasie Technicum, ale Odyseję, Odyseję?
1175:  W sensie Homera, czy jakieś opracowanie, czy albo, nie wiem, skrót?
1178:  Bo jest dużo takich literackich skrótów Odyseji też, a jeżeli to było, znaczy oryginał, to nie jest tak oryginał, ale jeżeli to było wierszem, to podziwiam, podziwiam.
1189:  Kasiałka pisze, że dobrze, że na studiach filologii angielskiej miała wykładowcę, który specjalizował się w literaturze przygodowej i grozy.
1194:  Zaraził mnie z wymyłowaniem do Edgara Annapoo w ogóle.
1196:  Na Edgara Annapoo można się świetnie nauczyć języka angielskiego.
1200:  Ja się uczyłem na nim, na Luisie Carolu, czyli na Alicji w Krainie Czaru, no i oczywiście na Potterze.
1206:  Przechodzimy.
1237:  Trendy się docenia 40 na kartku.
1239:  W ogóle do większości utworów trzeba mieć duży taki zapas erudycyjny, że tak to ujmę, żeby je docenić w pełni i niepotrzebnie się spieszą nauczyciele, a ściśle mówiąc ludzie, którzy ustawiają te nieszczęsne wymogi programowe.
1256:  O, gratulacje dla Hefestia za zdanie egzaminu z romantyzmu.
1260:  Pytanie o wichrowe wzgórza.
1261:  O, to rozumiem.
1266:  Czytaliście fragmenty Odysei?
1267:  Boże drogi, po co?
1272:  Podpalony, Julio, podpalony.
1273:  Witamy serdecznie.
1275:  Dobrze, moi drodzy.
1276:  Moja sugestia jest taka.
1279:  Trzeba znaleźć Trota.
1285:  Żeby go znaleźć...
1288:  Mam przeczucie, że jest w Essen albo w Nagenhof.
1291:  To jest moje przeczucie.
1293:  Ale czy on tam faktycznie jest, to zobaczymy za moment.
1295:  Gdzie jest rebelia?
1297:  Zamek von Reuken, czyli będzie w Wolfenburgu.
1300:  Wolfenburg jest dobrze broniony?
1302:  Względnie.
1303:  Okej, damy radę.
1305:  Damy radę.
1311:  Witamy Unfiela.
1316:  Imperium ma najlepszą artylerię i strzelców.
1317:  Mika?
1318:  Moim zdaniem Skaveni.
1320:  Moim zdaniem Skaveni.
1321:  W drugiej kolejności zdecydowanie Daoui.
1324:  Może Daoui on par z Imperium?
1327:  Zależy też przeciwko komu się udajemy.
1333:  No to będzie testowanko artylerii, moi drodzy.
1338:  Okej.
1339:  Pierwsza armia Helmana Gordsta.
1341:  Jedyna rzecz, której musimy się bać to diabłów ze Schwarzkhafen.
1344:  W drugiej Manfred von Karsztajn z dużym problemem, ale tylko Manfred von Karsztajn, ewentualnie Konnica.
1350:  W trzeciej armii... O, tu macie Ogry.
1353:  One kompletnie nie budzą mojego entuzjazmu.
1355:  Dobra, to jest do zrobienia.
1359:  To jest do zrobienia.
1360:  Jak myślisz, po co się każe czytać Odysei?
1362:  Pisze bardzo złośliwy człowiek, bo oczywiście homo viata, aby tego nie było nigdzie indziej.
1365:  No dobra, ale w Czarnych Okrętach po Trojo, które jest fantastyką historyczną, osadzoną, czy mitologiczną, osadzoną właśnie w tych realiach, fabularyzującą Troję, przenoszącą ją trochę do takich fajniejszych realiów literackich, jest dokładnie ten sam motyw, więc to jest bez sensu totalnie.
1383:  Baba Jaga domaga się gratulacji i słusznie za ukończenie szkolenia z używania otwartego ognia czaty z pełną powagą.
1393:  Proszę o jamniki ognia dla Baby Jagi.
1397:  Otwarty ogień.
1398:  Uuu.
1399:  Uuu, moi drodzy.
1402:  To jest coś.
1403:  To jest coś.
1405:  Gdzie my się ustawimy?
1407:  Wiecie co?
1408:  Albo tam są drzewa.
1409:  Drzewa będą nam przeszkadzać.
1412:  O proszę, jaka radość!
1414:  Bardzo się cieszę.
1415:  Dawno nie używaliśmy tych jamniczych emoji ognia.
1423:  Czy czytałem Stefana Grabińskiego?
1425:  Pewnie, że tak.
1425:  Nawet czytałem zbiórek opowiadań, który się nazywa Szalona Zagroda i naprawdę istnieje.
1433:  Wiecie co?
1433:  Nie.
1434:  Zrobimy inaczej.
1436:  Zrobimy troszeczkę inny układ.
1438:  On się sprawdza troszeczkę lepiej przy Imperium, jeżeli Imperium jest otoczone.
1443:  Tak zrobimy.
1444:  Żeby przypadkiem nie strzelić w siebie.
1451:  Okej.
1452:  Tak to zrobimy.
1453:  Dwa czołgi tutaj.
1454:  Dumy Imperatora.
1457:  Jeżeli chodzi o świetlistą arkę Tempelhof, ona będzie do snajpowania Manfreda.
1464:  Dwóch magów dajemy do grupy.
1467:  I niech się wysforują naprzód.
1469:  I nękają wąpierze.
1474:  I chyba będzie dobrze.
1477:  Jaka jest wymówka na kampienie wrogu?
1480:  Taka, że walczymy jedną armią przeciwko czterem armiom?
1487:  Dobra.
1493:  Lecimy.
1496:  Dobrze, dobrze, bardzo dobrze.
1499:  Teraz tak.
1503:  Granie Baltasramem Geltem ma tą dobrą rzecz, że mamy bardzo tanie zaklęcia.
1510:  Ja robię tak, że przesuwam oznaczone jednostki tak, że nie zmieniają ustawienia.
1514:  Zaznaczacie lewym klawiszem myszy, dokładnie to samo będzie po Hammerze Trójce i przesuwacie z Altem.
1519:  Z wciśniętym Altem i lewym przyciskiem myszy.
1521:  Bardzo praktyczna rzecz, polecam.
1525:  Aaaa!
1526:  Dużo wiatrów magii!
1527:  Świetnie.
1528:  Teraz tak.
1530:  Diabły ze Schwarzhafen zasługują na... ...zasługują na to zaklęcie.
1537:  Dziękuję ERS za trybut.
1539:  Witam i pozdrawiam.
1540:  Dzisiaj pierwszy raz od początku pandemii zaraziłem się COVID-em z powodu niezdolności kolegi.
1544:  Czaty, współczujące jamniki dla ERS, bardzo mi przykro.
1548:  Trzymaj się i najważniejsze to przede wszystkim oszczędzać się, bo to jest paskudztwo i trzeba to wyleżeć, bo nie ma leku na razie wciąż.
1558:  Pfizer wprawdzie wpracuje, ale zobaczymy, gdzie ktoś z lekami na choroby wirusowe.
1565:  Dzięki za trybut jeszcze raz, RS, i jako się rzekło, uważaj na siebie.
1572:  Dobra, Diablo ze Schwarzenhafen jeszcze raz oberwał tym zaklęciem, bo ono jest dość dobre.
1579:  Oh, they will never move again.
1585:  Kampienie wrogu to niewstyd, gdy wróg ma przewagę liczebną, powiedział Sun Tzu królowi Ping Pong.
1591:  Ładne, podoba mi się.
1592:  Podoba mi się bardzo.
1594:  Dobrze, jak na razie Baltazar Gelsa dał więcej strat niż Magus Ognia, czyli Ognia Spalarczuk.
1600:  No dobrze.
1600:  Co?!
1601:  Zadali dokładnie tyle samo.
1603:  Coś się dzieje.
1606:  Uuu, niedobrze, niedobrze.
1609:  Ale może dobrze, bo z drugiej strony, jeżeli Manfreda zwabimy,
1614:  To jest dobra wiadomość.
1620:  Dobra, teraz tak.
1623:  Zrobimy tutaj małą modyfikację, bo coś czuję, że będą chcieli bardzo, a bardzo wyeliminować nasze biedne i nieszczęśliwe jednostki.
1639:  Tymczasem spróbujemy, bo tutaj nie ma żadnych strzelców, spróbujemy tym naszym magusem podręczyć ich z tej strony.
1646:  Sądzę o twórczości Stasiuka, bardzo nie lubię.
1648:  Jest moim zdaniem bardzo pretensjonalna.
1650:  Niepotrzebnie zwulgaryzowana miejscami.
1654:  Nie rozumiem jego fenomenu.
1656:  A miejscami po prostu nudna.
1661:  Co jest jeszcze większym grzechem.
1664:  Dobra, teraz będzie...
1670:  Jutrze jeszcze granie Hadesa w pełni po angielsku?
1672:  Nie, no wiecie, na potrzeby czatów zawsze robię w ten sposób, że gramy w wersji z polskimi napisami, żeby było wygodniej wszystkim ludziom, którzy nie znają angielskiego.
1680:  Albo się uczą.
1681:  Wiecie, ja zawsze uważam, że streamy powinny mieć jeszcze jakąś minimalną wartość edukacyjną.
1692:  Dobra, na razie jest dobrze.
1693:  Teraz kluczowa kwestia będzie następująca.
1696:  Musimy wykorzystać...
1699:  jednego z naszych magusów do tego, żeby powstrzymać jak najdłużej Manfreda von Kahnsteina.
1707:  Nie może nas zaatakować.
1717:  Dobra, mamy zasięg na Manfreda?
1719:  Mamy zasięg na Manfreda, dobrze.
1721:  Strzelać w Manfreda.
1729:  Dobra, i teraz, póki mamy zasięg, wszyscy w Manfreda.
1738:  Uuu, niedobrze, nasz Magus bardzo oberwał.
1748:  Manfred von Karschlein jest dość potężny, dlatego to jest w zasadzie najbardziej groźna jednostka, jaką w tym momencie musimy pokonać.
1758:  Jest, jest, jest, jest, bardzo dobrze, bardzo dobrze.
1761:  W tym momencie już ma karę do zdrowia i zacznie się rozpadać, świetnie.
1767:  Zawsze polecam, jeżeli macie możliwość przywołania jakiegoś stworzenia, żeby to zrobić, bo zdecydowanie lepsze to, niż nadwyrężać wątłe zdrowie naszych biednych jednostek.
1783:  Dobra, dobra, dobra, dobra, tu jest problem mały.
1787:  Świetnie, Manfred von Garnstein nie żyje, o to chodziło.
1790:  Helman Gorst jest następnym naszym celem.
1801:  Niedobrze, niedobrze.
1803:  Okej.
1804:  Udało się.
1814:  Okej, okej.
1815:  Pierwsza fala za nami.
1817:  Wyślijmy czołgi do walki.
1822:  Wszyscy mówią, że jeszcze Hades będzie polegał na simpowaniu pięknych bogin.
1825:  Powiadacie?
1826:  Zobaczymy.
1827:  Zobaczymy.
1828:  Nie no, jak siebie znam, to początek zejdzie na rozstrzygnięciu w ogóle, o co chodzi w tej grze.
1835:  Co się dzieje z naszym Magusem?
1836:  O nie!
1838:  O nie!
1841:  Wielkie nietoperze.
1843:  Normalnie to nie byłoby zagrożenie.
1845:  Musimy się ich pozbyć szybko.
1852:  Czy każe teorie filtrów w poznawaniu języków?
1853:  Obawiam się, że nie.
1854:  Dobra, wycofajmy się, bo... bo... Nietoperze są o wiele bardziej problematyczne niż w rękach gracza.
1864:  O nie!
1865:  Co tu się pięknego dzieje się?
1867:  Och, och, och, och!
1869:  Tak, tak!
1871:  Błagam, błagam!
1873:  Pięknie!
1875:  Wspaniale!
1878:  Dobra, ale nasz Makus potrzebuje pomocy faktycznie.
1884:  O, okej, okej, okej, okej, okej, okej.
1888:  Wspaniałości.
1891:  Dobra, duża armia do nas idzie.
1893:  Możemy przestać strzelać, przynajmniej artylerią.
