🔴 RINGS OF POWER — odcinek 5 i 6 | Recenzja ze spojlerami #3
🔗 https://www.youtube.com/watch?v=YVcxr00_RQc

233:  A, jesteście!
1429:  Mianowicie, jak robiłem recenzję i omawiałem Edgerunners, pamiętałem każdą postać.
1434:  Fascynujące dlaczego, nie?
1436:  Myślę, że to jest dlatego, że jeżeli ktoś wleje dużo serca w napisanie jakiejś postaci, która jest imersywna i się czymś wyróżnia, to jest w porządku.
1443:  A teraz proszę bardzo na czatach, zróbmy sobie taką króciutką sondę
1447:  Powiedzcie mi, napiszcie, jakie ma cechy Nori?
1452:  Czym się wyróżnia na przykład od Froda?
1453:  Albo od Sama?
1454:  Albo od Pepina?
1456:  Pipina?
1456:  Albo od Mary'ego?
1458:  Czym?
1461:  Bo ja nie wiem czym.
1463:  I z tym mam problem.
1465:  Jeżeli jest jakaś postać, która się wyróżnia czymś i ma bardzo taką swoistą charakterystykę, to jestem w stanie to rozpoznać.
1472:  Jest harfudką, tak.
1474:  Nie ma gustu w upiorze.
1478:  Jest irytująca.
1479:  O, ojoj, bardzo żeście wyróżnili, no przecież tutaj nie ma żadnych irytujących kobiet w tym serialu, ale absolutnie skąd?
1487:  Nie, nie spotkałem ani jednej.
1490:  No, w związku z powyższym jest pewien problem z tym, czaty robią wszystko, żeby udowodnić, że Krzysztof nie miał racji, co jest oczywiście bardzo sympatyczną zabawą, ale nie zmienia faktu, że jest to zadanie ciężkie.
1502:  I po tej króciutkiej scenie przechodzimy radośnie do Harfutów.
1506:  Jak wiadomo o Harfutach wiemy tyle, że podróżują, są jedną z najbardziej krwiożerczych ras w śródziemiu.
1514:  Hobbici na szczęście dokonali później, jak wiemy, czystki rasowej wśród siebie, no bo...
1521:  Rozumiem, że nagle się stało tak, że pewne geny stały się recesywne i hobbity się stały jednolicie białoskóre.
1526:  To jest tylko moja hipoteza ostrożna na podstawie tego, że harfuci jednak są multietniczni.
1532:  No ale oprócz czystki rasowej, którą jej dokonali hobbici, jak należy domniemywać, doszło do jeszcze jednej rzeczy, to znaczy do nagłego zapomnienia tradycji.
1540:  Tradycji mianowicie zostawiania najbiedniejszych i najsłabszych w potrzebie na pożarcie ogromnych wilków.
1546:  Na szczęście naszym harfutkom, które nazywają się...
1552:  Poppy, Proudfellow i Nori.
1554:  Pamiętałem.
1556:  Poppy Proudfellow in old.
1557:  Pamiętałem.
1558:  Więc nasze harfutki na szczęście mają pomoc w postaci Hodora z przestworzy.
1565:  Hodor z przestworzy to jest nienapisana powieść H.P.
1567:  Lovecrafta i to jest jedna z pierwszych takich, to jest jedna z pierwszych transfikcjonalnych ekspansji, już znamy to określenie, tak?
1573:  Czyli crossoverów między światem H.P.
1575:  Lovecrafta, a światem Lord of the Rings by Amazon.
1578:  Więc możemy się spodziewać tutaj jeszcze bardzo dziwnych lovecraftiańskich rzeczy, tak nawiasem mówiąc.
1584:  I scena ta jest nam potrzebna w jednym kluczowym celu, moi drodzy.
1590:  Mianowicie musimy pokazać pięknie wyrenderowane plenery.
1593:  Nawiasem mówiąc, co mnie bardzo bawi, dowiedziałem się, że nie były one kręcone w Nowej Zelandii, bo dopiero w drugim sezonie będzie Nowa Zelandia.
1601:  Z czego wynika, że rzeczone plenery tutaj są albo wyrenderowane w 100%, co by wiele wyjaśniało, jeżeli chodzi o wydatki budżetowe, albo są wzięte z innych lokacji.
1613:  Więc zobaczymy.
1614:  I teraz bardzo jest ciekawa jedna rzecz.
1617:  Mianowicie tutaj jest piosenka śpiewana.
1619:  Nie mogę wam puścić tej piosenki.
1624:  Ale brzmi ona mniej więcej tak.
1628:  Call to me, call to me, lands far away, away I must wander, go on.
1635:  Jak słuchałem tej piosenki, param, pararam, pararam, pararam, param, pararam, pambara.
1645:  Taki głosik w głowie.
1647:  Krzysztof, ty znasz skąd te melodie.
1650:  Jaka to melodia, Krzysztof?
1652:  Znasz te melodie.
1653:  I wiecie, tak sobie pomyślałem, że chyba wiem.
1658:  I nawet mam dla was ten fragment.
1661:  I puszczę parę sekund.
1662:  Mam oczywiście ogromną, niespożytą nadzieję, że nie skończy się to katastrofą, tak jak zwykle copyrightową.
1669:  Ale myślę, że warto.
1671:  Więc...
1673:  To chyba jest to.
1674:  Poprawcie mnie, jeśli się mylę.
1676:  Ta melodia.
1676:  Pamiętacie ją z serialu.
1680:  A zatem.
1691:  To jest fragment, swoją drogą, fantastycznej animacji Coralina.
1696:  To jest oczywiście ostrożna hipoteza, ale...
1726:  ale ja to usłyszałem, co ja na to poradzę, że ja to usłyszałem tam, no nic na to nie poradzę, więc troszeczkę mi ta pieśń Harfucia została zepsuta, no nic na to nie poradzę.
1737:  Natomiast to jest ciekawy moment, to znaczy przerzucimy się coraz bardziej razem ze śpiewającymi Harfutami w stronę Mordoru, prawdopodobnie przynajmniej według Nerd of the Rings, te góry, ten łańcuch górski,
1750:  To są te same góry, które możecie zobaczyć na mapie oczywiście okalającej Mordor.
1755:  Zaraz się przełączę na tę mapę, bo teraz mam to troszeczkę utrudnione.
1759:  Już wam mapę pokazuję.
1761:  Gdzież jest moja mapa?
1762:  Tu jest moja mapa.
1763:  Dobrze.
1764:  Więc prawdopodobnie, prawdopodobnie, moi drodzy, to jest ten łańcuch górski.
1769:  Przybliżymy sobie troszeczkę.
1770:  Czyli ten, w tym miejscu.
1771:  Majaczy na horyzoncie.
1773:  Skąd wiadomo to?
1775:  No prawdopodobnie stąd to wiadomo, moi mili.
1778:  że wkrótce hobbity przenoszą... Przepraszam!
1783:  Harfuty przeniosą się do miejsca, które będzie zaznaczone nam w nieprawidłowy sposób.
1790:  Mam nadzieję, że uda mi się przeskoczyć do tego miejsca, ale zanim... Nie, nie uda mi się przeskoczyć, a to jest dość kluczowe i istotne.
1797:  To znaczy, przenoszą się na coś, co jest nazwane martwymi bagnami.
1800:  I tak się składa, że one zostały tak nazwane w wyniku bitwy, która jeszcze się nie odbyła.
1808:  Więc tak.
1809:  Bloodgate pisze, że ta piosenka zawiera cetat z Gandalfem w liście do Frodo.
1812:  O, to fajnie wiedzieć, to fajnie wiedzieć.
1815:  Nie, no piosenka była oczywiście okej.
1817:  Mój śmiech wynika z tego, że mi się skojarzyła z czymś zupełnie innym.
1821:  Natomiast ja od razu się usprawiedliwię w jednej kwestii.
1823:  To znaczy, ja strasznie nie lubię tego folwarczno-piosenkowego aspektu Lord of the Rings, czyli Władcy Pierścieni oryginalnego Tolkiena.
1832:  Na przykład należy do tych osób, które nie zdoszą Toma Boba Dilla.
1836:  Przepraszam.
1837:  Przepraszam wszystkich.
1838:  Więc ja byłem po stronie tych, którzy obstawali za tym, że Jackson...
1842:  podjął dobrą decyzję, eliminując całkowicie Toma Bombadila z Horyzontu i robiąc to na poważnie.
1847:  Ale Tolkien lubił takie klimaty.
1849:  Ja mniej.
1852:  Więc tak, to będą te martwe bagna za 2000 lat, tak?
1854:  Piszecie na czatach.
1855:  Dlaczego?
1856:  Bo martwe bagna stały się martwymi bagnami dlatego, że była tam bitwa ostatniego przymierza.
1862:  Ta, której początek widzicie w pierwszych kadrach, Władcy Pierścieni, ale tego prawdziwego.
1868:  Tam, gdzie gra Galadriela, która wygląda jak Galadriela.
1872:  która wygląda jak Cate Blanchett i na samym początku macie jej narrację pozakadrową i właśnie bitwę Ostatniego Przymierza.
1881:  Czy Pieśń Pipina mi się podobała?
1883:  Wściekle.
1883:  Pieśń Pipina była piękna, ale Pieśń Pipina była zaimprowizowana i ona nie była w takim, wiecie, folwarczno-leprechauńskim stylu, tylko ona była raczej przejmująca.
1892:  To była taka, nie wiem, ballada, coś w tym stylu.
1894:  Więc to miało dla mnie wiele więcej wspólnego z balladami rycerskimi czy pieśniami tego rodzaju i pasowało to na dwór denetora.
1904:  a co więcej było mistrzowsko zmontowane, tak?
1906:  To jak Denethor je te pomidorki, one się rozbryzgują, ta krew syna, którego posłał na śmierć, no to jest pięknie zrobione i ta scena ma sens.
