Jak naprawić Cyberpunka?
🔗 https://www.youtube.com/watch?v=SXyBVZbxKWc

2:  Jak naprawić Cyberpunk 2077 od CD Projektu Red?
653:  Dodam jeszcze to, że z interfejsem wiąże się właśnie ta mechanika QuickTime Eventów, o której obiecałem, że powiem.
660:  I QuickTime Event, generalnie w grach wideo, dla tych z Was, którzy jakimś cudem tego nie wiedzą, albo w ogóle nie interesują się grami i kliknęli na ten materiał, dlatego że w Cyberpunku jest nagle głośno,
670:  Polega na tym, że dostajemy ograniczony limiter czasowy, który sprawia, że musimy w ciągu na przykład 30 sekund podjąć ważną decyzję dialogową.
679:  Wydaje się super, czasami też musimy podejmować tego rodzaju decyzje.
683:  Tak, tylko że w Cyberpunku 2077 QuickTime Event jest ograniczony do jednej opcji dialogowej w 90% przypadków.
691:  Jaki to ma sens?
692:  Ktoś powiedział słusznie, że można byłoby zagrać w cyberpunka i w zasadzie napisać taki algorytm, który by wciskał F co jakiś czas do wyboru kwestii dialogowych i zaręczam wam, że można byłoby doprowadzić do optymalnego zakończenia gry, ponieważ całość gry jest napisana w ten sposób i interfejsu dialogowego, że na żółto zaznaczany jest nam dialog, który jest ważny dla rozwoju fabuły, a na niebiesko te, które nie są.
717:  Czyli dosłownie na poziomie interfejsu zrealizowana jest zasada projektowania gier zwana golden pathem w prototypowaniu fabuły, która sprowadza się do tego, że jeżeli sobie projektujemy scenariusz, to mamy taką złotą ścieżkę, którą powinien podążać gracz i od tej złotej ścieżki dopiero robimy rozgałęzienia, które oczywiście też się mogą rozgałęzić na inne złote ścieżki, na przykład jeżeli mamy trzy...
741:  questliny, ale o questach za moment na razie, tylko i wyłącznie o interfejsie i o tym, że sam interfejs nam spojluje fabułę, to znaczy sugeruje, którą wypowiedź dialogową powinniśmy wybrać.
752:  Zresztą podobny sposób, jak robił to Mass Effect, który miał ten system color coding, który sprawiał, że byliśmy w stanie stwierdzić, że czerwone opcje to są te raczej złe, a te niebieskie to są te raczej dobre, jeżeli dobrze pamiętam kolory same, bo już dawno grałem w Mass Effect.
766:  Z interfejsem wiąże się też mapa, punkt drugi, do którego przechodzimy.
774:  Włączcie sobie GTA, włączcie sobie Need for Speed, włączcie sobie dowolną grę, w której występują wyścigi samochodowe i zobaczcie, jaka jest minimapa.
786:  Minimapa
788:  Czy w ogóle GPS w jeździe samochodem ma jedną podstawową funkcję?
793:  Nie mówić nam tego, gdzie jesteśmy tylko i wyłącznie, a już zwłaszcza tego, gdzie byliśmy, tylko to, gdzie mamy jechać.
803:  Dlatego też.
804:  Zazwyczaj perspektywa w minimapie jest fiksowana, kotwiczona na dole minimapy.
812:  W ten sposób widzimy, co jest przed nami.
816:  A jak jedziemy szybciutko samochodem, to... No, któż to mógł przewidzieć?
824:  Krajobraz się przemieszcza też szybciutko.
828:  I w efekcie nie wiemy, kiedy skręcić.
831:  Za każdym razem, jak jechałem więcej niż 150 na godzinę w cyberpunku, lądowałem na ścianie, ponieważ feedback z mapy był za późno.
840:  I dostawałem informację, że mam skręcić w prawo wtedy, kiedy ja już to w prawo miałem dawno za sobą.
845:  Ono już było w prawo, a ja już byłem na wprost.
851:  Dlatego w minimapy się projektuje zawsze tak, żeby znacznik, który wskazuje nasze położenie, był na dolnym brzegu mapy, a reszta minimapy pokazuje, co jest przed nami.
862:  To nie jest RTS, gdzie środkujemy mapę, ponieważ mamy widok Boga z rzutu izometrycznego najczęściej na całość mapy i chcemy dostawać feedback ze wszystkich stron tej mapy.
874:  A w grach wyścigowych tak nie jest!
876:  To nie jest Wiedźmin!
882:  Tyle jeśli chodzi o minimapy.
884:  Druga kwestia, znaczniki na mapach.
886:  Tym razem na mapie głównej.
888:  Mapa główna w Cyberpunku 2077 jest tak zła, że konto oficjalne na Twitterze CD Projektor Red samo poleciło mapę fanowską.
897:  która jest połączeniem wrzutu satelitarnego z znacznikami.
901:  Dokładnie to rozwiązanie, które sprawdziło się w Skyrimie, czy w szeregu innych gier.
907:  No nie, CD Projekt Red musiał zrobić, na bogato, no na bogato mamy, mamy mapę 3D w takim czerwonym, ładnym filtrze, którym jak patrzycie przez 15 minut na to, to zaczynacie się zachowywać mniej więcej tak jak byk,
924:  podczas tych walk z bykami, gdzie tak wiadomo, no wiecie o co chodzi, że czerwoną płachtą się macha przed oczami byka i byk dostaje furię i zaczyna szarżować.
935:  No to jak się tak czułem, patrząc na tę mapę.
937:  I druga kwestia zasadnicza, ta mapa jest 3D.
942:  w grze, która działała to, żeby pokazać, że cyberpunk jest wertykalny.
946:  Jestem przekonany, że to jest rozwiązanie jeszcze z tego okresu i problem polega na tym, że w efekcie nie wiemy nigdy, gdzie jest dany znacznik, czy on jest w ścianie, czy on jest w suficie, czy on jest obok, czy jest między budynkami, nie wiadomo tego, bo mapa jest czerwona.
963:  Ja jeszcze rozumiem, gdyby to robiła inna firma, ale to zrobił CD Projekt Red, który w Wiedźminie II testował świetne rozwiązanie przejścia między różnymi filtrami mapy, to znaczy mieliśmy taką mapę w edycji kolekcjonerskiej, powiedzmy artystycznie odrobioną na najwyższym poziomie i jak z Chlorerem Myszy jechaliśmy w dół, to dostawaliśmy mapę poziomu najniższego, to znaczy danego levelu.
983:  I to było dobre rozwiązanie.
984:  Pomijam, że mapa levelu danego była akurat spaprana, ale sam pomysł był dobry i tutaj można byłoby zrobić dokładnie tak samo, tzn.
990:  wyobrazić sobie mapę jako opcję wielowarstwową.
993:  Pierwsza warstwa to jest ta warstwa, powiedzmy, trójwymiarowa, pokazująca nam naszą pozycję w wertykalnym układzie danej lokacji, natomiast poziom niżej byłaby mapa horyzontalna, która by pokazywała np.
1004:  rozkład pomieszczeń w danym wnętrzu, w danej lokacji i byłoby wszystko w porządku.
1010:  Z jakiegoś względu, którego nie jestem w stanie zrozumieć, CD Projekt Red nie wyciąga wniosków z własnych dobrych rozwiązań, które przetestował we wcześniejszych swoich grach, ale równocześnie rozwiązania, które nie pasują do gry akcji z tych wcześniejszych gier przenosi.
1027:  Fuck logic!
1029:  Następnie nie mamy bardzo często możliwości, to już jest bug, zaznaczenia sobie jakiegoś znacznika i wyznaczenia do niego drogi.
1038:  Bardzo często rzecz nie działa, ale nie ma też innej.
1040:  To znaczy gra znowu nie komunikuje tego, w jaki sposób możemy tworzyć własne znaczniki.
1046:  Nie możemy nazywać tych znaczników, co jest standardem, a powinno być w każdym razie standardem w RPGach z otwartym światem, bo bardzo często nazwanie danego znacznika po prostu ułatwia nam orientację w terenie.
1057:  Ba, w grze Two Words 2 studia
1059:  Reality Pump, bardzo starej, była taka opcja, że mogliśmy jako mag przenosić ze sobą teleport i ustawić go w danym miejscu mapy i później się do niego przenieść.
1068:  Bardzo wygodna rzecz.
1069:  Wreszcie, szybka podróż.
1072:  z wykorzystaniem mapy.
1073:  Możemy się poruszać tylko i wyłącznie pomiędzy określonymi znacznikami, które nawiasem mówiąc, markują dawne stacje metra, które zostały wycięte z gry, zresztą akurat CD Projekt Red o tym uprzedzał.
1084:  I bardzo to czuć, to znaczy możemy się przenosić tylko i wyłącznie między rzeczonymi stacjami metra, które są widmowe i ich nie ma, ale nie możemy się na przykład przenosić do naszego mieszkania.
1100:  Czyli do miejsca, do którego teoretycznie powinniśmy w Ebregu z otwartym światem wracać, bo to jest taka nasza przestrzeń, taka nasza ostoja.
1107:  Tutaj chcemy sobie wrócić i na przykład zestaszować tam rzeczy, które zbieraliśmy w całym świecie gry.
1114:  Ale nie, nie ma szybkiej podróży.
1117:  I wreszcie, jeżeli chodzi o śledzenie samych questów, minimapa i mapa po prostu nie spełniają swojej funkcji.
1124:  Bardzo często pomijają zaznaczenie jakiegoś etapu questu, przełączają się nieustannie, notorycznie śledzenia questów pobocznych na quest główny w momencie, gdy quest poboczny został zrealizowany.
1137:  I to jest strasznie irytujące, wyobraźcie sobie, że dochodzicie tak jak ja w którymś momencie do momentu w grze, w którym mówi się wam, że od tego momentu cały progres w zadaniach pobocznych będzie wyzerowany, bo to jest właśnie ten moment w fabule, kiedy będzie już zakończenie.
1152:  no to człowiek zaczyna frenetycznie robić zadania poboczne i po każdym zadaniu pobocznym dostajemy przełączony wskaźnik na zadanie główne i automatyczny save zresztą, w efekcie czego ja mam jakieś 50 tysięcy save'ów z nazwą zadania głównego, właśnie dlatego, że te autosave'y się wpisywały wtedy, kiedy realizowałem i kończyłem zadania poboczne, a średni czas na ukończenie zadania pobocznego, o czym zaraz w dziale questy, no to jest jakieś 40 sekund do 15 minut maksimum.
1182:  No i właśnie.
1184:  Powiedzieliśmy o interfejsie, powiedzieliśmy o mapach, teraz questy.
1188:  Co zrobić, żeby były lepsze?
1191:  nie wiem, przepisać je, to tutaj mam dość brutalną radę, to znaczy każdy quest poboczny praktycznie, z którym miałem do czynienia, wyjąwszy, i tutaj się od razu usprawiedliwiam, bo tego też w recenzji nie doprecyzowałem, główne linie fabularne, bo tak je postrzegam, to znaczy zarówno linia fabularna Judy Alvarez, jak i Rivera, jak i sama główna linia fabularna oraz linia fabularna Johnny'ego Silverhanda, dla mnie są częścią głównego wątku, to znaczy one są tak wyreżyserowane i tak sfilmowane,
1221:  że tworzą taką synergię, jaką ja bym chciał w całej grze ze wszystkimi questami.
1228:  Natomiast problem polega na tym, że poza wątkami głównymi, nazwijmy je pobocznymi, które wymieniłem, związanymi z drugoplanowymi postaciami i świetnie zrealizowanymi, jest morze, ale to morze questów, które kończą się po kilku minutach.
1245:  Jeżeli macie build na miecz
1249:  samurajski połączony z odpowiednimi umiejętnościami, są już takie filmy zresztą na YouTubie, to jesteście w stanie tak przyspieszać, że oczyszczenie danej lokacji z wrogów zajmuje naprawdę 40 do 50 sekund.
1267:  I w tym momencie, jeżeli dane zadanie opiera się na oczyszczeniu lokacji z wrogów, właśnie odgadliście, ukończyliście quest.
1276:  Jeżeli chodzi o pozostałe tego typu zadania, to wspominałem, że schematy fabularne są bardzo ograniczone, no i w którymś momencie też się robią repetytywne, ale cechą wspólną wszystkich tych questów, która wymaga zaadresowania tu i teraz, jest to, że one są bez wpływu na to, co się dzieje w świecie.
1294:  Wykonujecie zadania dla policji?
1296:  Zapomnijcie o tym, że wzrośnie wam reputacja w gronie organów ścigania.
1302:  Nie, nie wzrośnie.
1304:  wykonaliście wszystkie zadania dotyczące cyberpsychozy, zapomnijcie o tym, że cokolwiek to zmieni.
1312:  Nawet nie dowiecie się, jakie są źródła cyberpsychozy, nie spotkacie się z osobami, które się wyleczyły, a fakt, że cyberpsychoza w ogóle jest leczona, nie wpływa na to, co się dzieje w świecie.
1325:  Wpadliście na tereny jakiegoś gangu i wyrżnęliście wszystkich?
1328:  Nie martwcie się, porozmawiacie za 5 minut z szefem tego gangu, który będzie dalej zadowolony i będzie z wami rozmawiał.
1334:  Myślę w tym momencie o Melstormie.
1337:  Wpadliście, nie wiem, na pomysł strzelania nagle do policji albo...
1343:  wywołania tego rankingu czterech gwiazdek, żeby sprawdzić, co się stanie, spoko, albo was zabiją, albo nikt o tym nie będzie pamiętał, jak tylko odjedziecie cztery przecznice dalej, ponieważ automatycznie wtedy cały status przestępczy nam gaśnie.
1358:  Czym jest dobre doświadczenie wpływu na to, co się dzieje w otwartym świecie i jak to doświadczenie zrealizować?
1366:  Nie potrzebujecie do tego najnowszego silnika graficznego zespołu 4 tysięcy ludzi i skomplikowanej fabuły.
1373:  W Deus Ex Human Revolution miałem taką opcję, że trzeba było albo wykraść dane z komisariatu, albo zakraść się na ten komisariat i z kimś porozmawiać i w ten sposób znowu dokonać ekstrakcji danych, lub trzecia opcja, wpaść na Janka, wyrżnąć wszystkich i uciec.
1392:  Wiecie, co się działo w trzeciej opcji?
1394:  Informacje w gazetach, na zajutrz komisariat był zamknięty, nie dało się tam wejść i wszyscy mówili o jakimś maniaku, który wystrzelał policjantów.
1403:  Proste?
1404:  Proste.
1405:  Jest wpływ na świat?
1407:  Jest i to jak cholera.
1409:  Pamiętam, jak czytałem ten artykuł w gazecie, to pomyślałem sobie, tego chcę w grach.
1415:  tego nie tylko poczucia agencyjności, sprawczości, że ja coś mogę zmienić w świecie, ale także tego, że świat reaguje na to, co ja robię.
1424:  I jestem zdumiony i zdruzgotany, bo Redzi do tego samego dążyli.
1429:  Pamiętam jeszcze rozmowy wokół Red Engine'ów w Wiedźminie III, kiedy był taki projekt, żeby Geralt po oczyszczeniu jakiejś wioski z raubritterów i zbójców, którzy tam grasowali, mógł powrócić po kilku dniach, powiedzmy, czasu gry tam
1444:  I nagle zobaczyłby, że zgromadzili się tam wieśniacy, zaczynają coś odbudowywać i tak dalej, i tak dalej.
1449:  To byłoby piękne.
1452:  To byłoby piękne.
1453:  Ale tak się nie udało ostatecznie w Wiedźminie do końca.
1456:  Na pewno się tak nie udało w cyberpunku.
1458:  W cyberpunku nikt nie reaguje na nasze poczynania, pomijając oczywiście ludzi, którzy w kucki, jak strzelamy i... O!
1466:  O!
1466:  O!
1467:  Strzelają!
1467:  Strilają!
1468:  O!
1469:  Niespotykane w Night City!
1470:  Nie spodziewałem się tego, że ktoś może tu strzelać!
1473:  Mieszkam tu 40 lat, nikt nie strzelał!
1476:  O!
1476:  O!
1479:  Naprawdę człowiek się czuje jakby wpadł z giwerą do, nie wiem, do przedszkola albo do zakonu, sióstr wizytek klauzurowego.
1490:  No nie, tak nie reagują ludzie.
1494:  W GTA na kiepsiejszym silniku potrafi ktoś do nas podbiec, zacząć się z nami bić, dlatego że wyciągnęliśmy spluwę, albo gazuje do dechy samochodem, żeby nas przejechać.
1505:  To są naturalne reakcje.
1506:  Nikt mi nie wmówi, że tego się w 2020 roku nie da zrobić.
1510:  To są proste skrypty, tylko trzeba je wdrożyć, trzeba o tym pomyśleć.
1520:  Jeśli już o pomyślunku mowa, projektujemy ciasne miasto, w którym trzeba manewrować samochodem.
1526:  Ja nawet nie będę się wypowiadał na temat tego, jaka jazda samochodem jest, bo już wiemy po minimapie, że po prostu się nim nie da jeździć.
1531:  Problem też, o którym wspominałem akurat w recenzji, wiąże się z tym, że muśniemy sobie delikatnie jakiś klawisz i od razu wpadajemy w drift.
1538:  No, no, feeling jazdy samochodem jest koszmarny, nie jest rzeczą przypadku, że absolutnie wszyscy recenzenci, którzy publikują swoje materiały na YouTubie z gry, jeżdżą motorami, bo rzeczywiście jazda motorem jest świetna, o wiele lepsza niż na przykład w Watch Dogsach 1 i 2, w związku z powyższym, tak, jak najbardziej, ja cały czas jeździłem motorami, byłem z tego powodu zachwycony.
1559:  Problem jedny podlega na tym, że w grze jest cały questline poświęcony wyścigom samochodem.
1564:  No...
1566:  Pomyślcie sobie o tym, robicie jakąś grę i wiecie, że jeden element to tak nie do końca działa.
1573:  Powiedzmy, że robimy grę, nawet prostszy przykład.
1579:  Powiedzmy, że idziemy na rozmowę kwalifikacyjną i mamy wiedzę swoją własną o naszych słabych cechach i naszych mocnych cechach.
1589:  Na przykład możemy mieć słabą cechę w postaci tego, że jeżeli jesteśmy pod wpływem stresu, to w tym momencie pracujemy o wiele gorzej, nie dowozimy tego, co mamy dowieźć na czas itd., itd.,
1602:  Rozpoczyna się rozmowa kwalifikacyjna i mówicie, no oczywiście tutaj przychodzę do pana, ale muszę wpierw powiedzieć o najważniejszej rzeczy.
1608:  Jestem beznadziejnym pracownikiem, ponieważ stresuję się pod wpływem upływu czasu, w związku z powyższym nie będę dobrze pracował w państwa firmie.
1618:  To już jest instynkt samozachowawczy, żeby nie pakować się w coś, czego nie jesteśmy w stanie zrobić dobrze.
1626:  No i niestety Redzi wpakowali się w coś, czego nie byli w stanie zrobić dobrze.
1630:  Wyszedł koszmar.
1632:  Dla mnie quest z wyścigami samochodowymi jest nie do ukończenia i muszę przyznać, że ubawiłem się setnie, jak zobaczyłem na YouTubie, że ktoś był w stanie ukończyć wyścig wychodząc z samochodu, wspinając się na dach sąsiedniego samochodu i w ten sposób wygrywając cały wyścig.
1645:  To bardzo dużo mówi na temat sensowności wyścigów i całego tego questline'u.
1650:  Następnie bijatyki na pięści.
1652:  Nie mam zielonego pojęcia, jak można spieprzyć coś, co się zrobiło wcześniej dobrze.
1657:  Walki na pięści w Wiedźminie były nawet dla mnie dobre, a mówię nawet dla mnie, dlatego że ja w każdej grze RPG staram się tworzyć maga.
1664:  Zresztą w Cyberpunku dlatego też hakowałem przez całość rozgrywki, co prawdopodobnie wydłużyło ją jakieś 30 godzin.
1672:  zwłaszcza na początku.
1673:  W Wiedźminie z kolei starałem się być uporem godnym lepszej sprawy magiem ognia.
1678:  Ale mimo to walki na pięści były tak przyjemne, głównie przez użycie perspektywy trzecioosobowej, że chętnie się w nie angażowałem.
1685:  Co w cyberpunku trzeba byłoby naprawić zatem?
1687:  No przede wszystkim perspektywę.
1689:  Myślę, że to jest ten moment, w którym powinniśmy mieć możliwość przełączenia perspektywy.
1693:  I w ogóle naprawdę nie rozumiem, dlaczego nie mamy możliwości przełączenia perspektywy, skoro Skyrim z 2011 roku robi to dobrze.
1699:  2010, ba.
1701:  Robi to dobrze.
1702:  I możemy grać z pierwszej osoby, ale nie musimy.
1705:  Możemy grać też z trzeciej.
1706:  To jest jeden z takich momentów, w którym bardzo jest ciężko ocenić, na przykład, zwykle to oceniamy za późno, kiedy pięść przeciwnika jest blisko naszej twarzy.
1715:  I to jest dokładnie ten sam problem, co z minimapą.
1717:  Powinniśmy dostawać to sprzężenie zwrotne, ten feedback troszeczkę wcześniej.
1722:  Następnie...
1724:  questliny.
