Cień daje w kość | SHADOW AND BONE — SEZON 2 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=P_UjYEmDZsM

0:  Tyle.
166:  Tyle można powiedzieć, jeżeli chodzi o założenie fabularne, natomiast to, co jest najpiękniejsze w uniwersum Grisów, w moim przekonaniu, to jest właśnie bardzo atrakcyjny, ciekawie przedstawiony, interesujący świat, znowu na poły czerpiący z settingu XIX-wiecznego, neowiktoriańskiego,
183:  a la Poły z najlepszych tradycji literatury i narracji fantasy, więc przyjemnie się te rzeczy ogląda, to nie jest serial, który będziecie śledzić z zapartym tchem na pewno, natomiast na pewno został zrealizowany dobrze.
196:  Co do natomiast moich wątpliwości dotyczących się potraktowania dużego materiału Libardugo,
202:  no to właśnie zaczynają tutaj być pewne problemy.
204:  Końcówka sezonu, nie będę znowu spoilował, wykracza nawet już poza materiał fabularny przedstawiony w dwóch cyklach i wkracza w Króla z Bliznami, czyli follow-upową dylogię, którą napisała Ali Bardugo, więc szczerze powiedziawszy nie mam źlego pojęcia, co się wydarzy w sezonie trzecim, ale moja robocza hipoteza jest taka,
224:  że łączona będzie cały czas Dylogia Szóstka Wron i pozostałe w niej wątki z tym, co przedstawione zostaje w Królu z Bliznami.
232:  Czy jest to dobre rozwiązanie?
233:  Nie jestem, szczerze powiedziawszy, co do tego przekonany.
236:  Natomiast na pewno już na tym etapie mogę śmiało powiedzieć, że mamy do czynienia raczej z rozszerzeniem świata, niż z wierną adaptacją materiału źródłowego.
245:  Poprzez właśnie mieszanie wątków, łączenie dwóch trylogii czy cykli w jedno,
251:  No powstał pewien chaos dla wszystkich tych, którzy książki Libardugo znają, więc spodziewam się, że osoby, które nie znają materiału źródłowego mogą się tutaj bawić lepiej.
261:  Natomiast jednym i drugim zdecydowanie polecam śledzenie dość skomplikowanych, przeskakujących wątków serialu na bazie bardzo zmyślnej mapki, która została przedstawiona i jest zresztą dostępna w sieci.
273:  Spróbuję Wam ją jak zawsze podlinkować w opisie.
276:  opisie filmu, na której to mapce mamy zaznaczone najważniejsze elementy tego świata.
281:  No przede wszystkim oczywiście będzie to Kerch, czyli wspomniane sadyba, miejsce działań operacyjnych Szóstki Wron, Kazza Brekera i całej reszty jego chwackich złodziei, najemników i tak dalej, i tak dalej.
295:  Oprócz tego zawędrujemy także do Rawki, przede wszystkim do Os Alty i Nowokribiska, które właśnie będą areną walk toczących się między
305:  siłami mroku nazwijmy to, a światłości, ale się staram nie spoilować, a oprócz tego zawitamy w bardzo malutkim wątku do Shuhanu.
313:  Fanów natomiast Fierdy i tego, jak została przedstawiona w pierwszym sezonie muszę zmartwić, nie pojawia się w drugim sezonie praktycznie w ogóle,
321:  a wątek Matthiasa przenika się z tym, który został przedstawiony właśnie w Dylogii Szóstka w Rhone, więc prędzej spotkamy go właśnie w Kerchu i Ketterdamie, aniżeli gdziekolwiek indziej.
332:  Jednym słowem, dobrze się to ogląda, ale nie jest to nic rewelacyjnego.
336:  Na pewno nie jest to poziom Carnival Rhone'a, którym mógłbym się zachwycać w nieskończoność i polecać wszystkim ze śmiałością.
342:  Natomiast jeżeli podoba się wam ten styl czy ten nurt zwany fantastyką miejską, to na pewno można dać drugiemu sezonowi Shadow and Bone szansę.
351:  Jest minimalnie gorsze od sezonu pierwszego z uwagi na pewne zawiłości fabularne, do której nie chcę wnikać, a także na to, że ewidentnie widać, że nie było pomysłu na rozbudowę tego świata ponad regiony już nam znane, co może było pewnym błędem.
366:  Natomiast w dalszym ciągu ogląda się to bardzo przyjemnie.
368:  Na pewno nie jest to poziom straszliwych produkcji w rodzaju Willow słusznie już anulowanych, czy podobnych dręczących nas koszmarnymi obrazami fantasy.
378:  Seria ta nie ma wielkich ambicji i być może dlatego Netflix jest w stanie ją zrealizować.
384:  Natomiast niewątpliwie problemem jest to, że odcinków jest zniszczonych.
388:  Zdecydowanie, ale to zdecydowanie za mało jak na tak obszerny materiał fabularny i pewne wątki zaczynają umykać.
394:  Przede wszystkim trudno jest śledzić akcję przeskakującą z miejsca na miejsce, mimo że serial stara się nam cały czas przypominać, gdzie jesteśmy w świecie, to jednak bez mapy bardzo trudno się w tym wszystkim zorientować.
407:  Summa summarum, polecam wszystkim, którzy szukają jakiejś przyjemnej rozrywki na ten wiosenny już praktycznie czas, natomiast zdecydowanie bardziej polecam książki Libardugo.
418:  Może nawet nie tę trylogię Cień i Kość tytułową, ponieważ wątki Aliny Starkow zostały zdecydowanie lepiej zrealizowane moim przekonaniu w późniejszych częściach i zdecydowanie też wyżej oceniam Szóstkę Wrony jako trylogię, co nie zmienia faktu, że i tak jedno i drugie i trzecie zdecydowanie góruje nad serialem Netflixa.
437:  To do następnego i oby do lepszych produkcji fantasy.
