Tak mógł wyglądać Cyberpunk 2077 | CYBERPUNK: EDGERUNNERS (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=-5HJuQ3YWq0

1:  Właśnie skończyłem oglądać Edge Runners od studia Trigger, odpowiedzialnego m.in.
269:  To jest przesłanie, które miał Johnny Silverhand, grany przez Keanu Reevesa w Cyberpunk 2077 i to jest też przesłanie, które pojawia się w Cyberpunk Edgerunners.
278:  A na sam koniec słowo ode mnie w związku ze światotwórstwem.
283:  Cyberpunk Edgerunners pokazuje to, czego nie jest w stanie zrobić Rings of Power.
288:  Jest to utwór osadzony w świecie, nie adaptacja żadnego materiału źródłowego, tak samo jak Rings of Power, ale w odróżnieniu od Rings of Power.
297:  Mamy tutaj do czynienia ze znajomymi lokacjami, jako się rzekło, miło ponownie odwiedzić afterlife, który wygląda jak afterlife i jest rozpoznawany przez nas jako afterlife.
307:  Miło nawet znaleźć się na strasznej w grze, ale ładnie wyglądającej mapie,
312:  Cyberpunka 2077.
313:  Miło nawet zobaczyć interfejs, który został przeszczepiony praktycznie jeden do jeden z gry wideo w momencie, w którym obserwujemy chociażby rozmowy między postaciami.
322:  Wizualizowane jest to na ekranie w analogiczny sposób.
324:  Miło wreszcie spotkać tak samo wyglądające postaci.
328:  To niesamowite, że się tak da zrobić, że postaci wyglądają tak samo i jakoś nikomu to nie przeszkadza.
335:  Wreszcie miło powrócić do świata, który znamy.
338:  Jest to strategia bardzo przemyślana, ponieważ jak przyjrzycie się zapowiedziom z raportów giełdowych CD Projektu Red, oni chcieli właśnie tworzyć tego rodzaju transmedialny świat, czyli taki, który nie będzie tylko w grze wideo, ale będzie także na innych platformach medialnych.
353:  I anime Edgerunners świetnie pokazuje, jak to można zrobić przy zachowaniu wolności artystycznej,
360:  twórców, czyli studia Trigger, ale także polskiego scenarzysty, który za całość odpowiadał.
366:  Jest to, krótko mówiąc, mistrzostwo nie tylko w skali spójnej, dobrze opowiedzianej, dziesięcioodcinkowej opowieści, która pozostawi Was z
376:  ciężkim ładunkiem emocjonalnym i naprawdę wieloma przemyśleniami, ale równocześnie jest to mistrzostwo światotwórstwa, nowoczesnego światotwórstwa, które pokazuje, w jaki sposób możemy łączyć ze sobą różne platformy medialne, ale nie tak, żeby ci z was, którzy na przykład nie grali w grę Cyberpunk 2077, mieli poczucie, że czegoś nie wiedzą.
394:  Absolutnie nie.
395:  Możecie nie grać w tę grę, obejrzeć serial i dalej czerpać z tego niesamowitą satysfakcję.
400:  Możecie wszakże poczuć się zachęceni do zagrania w Cyberpucka 2077 przez ten serial.
407:  Jeśli mówię, to ja, człowiek.
409:  cokolwiek krytyczny wobec Cyberpunka 2077, a teraz chcący wrócić do tej gry, to znaczy, że coś jest na rzeczy.
417:  Rzadko kiedy w tak emocjonalny sposób rekomenduję Wam obejrzenie czegoś, ale nawet jeżeli nie oglądacie anime, myślę, że warto zapoznać się z tą dziedziną sztuki i warto zobaczyć, jak dobrze można realizować tego rodzaju opowieść o wzlocie i upadku ikaryjskim człowieka.
436:  Bardzo
437:  Bardzo Wam polecam Cyberpunk Edge Runners na Netflixie od studia Trigger i CD Projektu Red.
443:  A my się widzimy innym razem.
446:  Do następnego.
