Głupi i głupszy kontra netflixian wynudzianu | PROBLEM TRZECH CIAŁ (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=TDdfTVtGMwM

0:  Free Body Problem, czyli problem trzech ciał na Netflixie ma zaiste problem.
262:  Więc interesujące, ale znów dlatego, że jest to wzięte z książki.
267:  Serial więc oceniłbym jako raczej przeciętny z tendencją ku dobremu,
272:  Problem polega tylko na tym, że nie wierzę absolutnie w to, że David Benioff i D.B.
276:  Shies oraz Aleksander Wu są w stanie dowieźć rzeczywiście tak monumentalne projekty światotwórcze, jakie są udziałem drugiego, ale zwłaszcza trzeciego tomu.
287:  Po prostu nie jestem sobie w stanie tego wyobrazić.
289:  Szczęściem serial ma dość dobry budżet, więc rzeczywiście w scenach, które tego wymagają,
294:  Widać pieniądz, natomiast pieniądza nie widać w castingu, nie widać tam, gdzie powinno być go najwięcej, w dialogach, w scenariuszu, w fabule.
304:  Kiepskim pomysłem było również to, że naprawdę trudne koncepty światotwórcze tutaj zostały obleczone w fabułę, która nie pomaga, to znaczy wprowadza dodatkowe plany czasowe,
314:  W sumie, jeżeli się dobrze doliczyłem, ich przynajmniej dwa, o ile nie trzy.
319:  Dodatkowo mamy kilkanaście różnych perspektyw postaci, czyli tak zwanych point of views.
325:  Multifokalizacja jest zatem zastosowana.
327:  Macie wiele perspektyw narracyjnych i musicie je wszystkie śledzić.
330:  Jest jeden problem.
331:  Jeżeli nie jesteście zainwestowani dostatecznie w losy postaci, jak macie śledzić perspektywę postaci?
338:  David Benioff i DB Scheiss mieli w grze o tron to, czego nie mają tutaj.
342:  To znaczy mieli Giorgio A. Martina, który potrafił rzeczywiście uczynić rozdziały będące point of view danej postaci tak fascynującymi, że my chcieliśmy poznać perspektywę oglądu świata właśnie oczami konkretnej postaci.
356:  Tutaj po prostu tego nie ma.
359:  Być może jest to wina castingu, być może jest to kwestia napisanych dialogów, być może jest to kwestia wreszcie tego, jak te postaci zostały sportretowane i jak połączono ich nieznośnie przeciętne życie, co jest w sumie zdumiewające, bo w większości przypadków są to fizycy i naukowcy, którzy naprawdę nie mają przeciętnego życia w sytuacji, gdy ich wiedza się przydaje jeden do jeden w rozstrzygnięciu dylematu, jak poradzić sobie z obcą rasą, która przewyższa nas technologicznie.
383:  Będąc jeszcze uczciwym jest jedna taka perspektywa, która jest interesująca, bo jest to perspektywa detektywa, który stara się rozwiązać zagadkę morderstw, które pojawiają się z tego prostego względu, że jeżeli nadciągają obcy i dysponują oni świetną technologią wywiadowczą, to na pewno w którymś momencie zdołają przekabacić część ziemian obcych.
404:  na rzecz stworzenia jakiegoś frontu zdrajców wobec ludzkości, który oczywiście zaczyna eliminować fizycznie, czyli robić to, czego obcy jeszcze nie mogą, ponieważ są lata świetlne od nas, ale mogą już indoktrynować.
417:  I ja bym chciał tego wątku zdecydowanie więcej, bo to brzmi jak Mass Effect, to brzmi jak wszystkie najlepsze fabuły science fiction, które właśnie łączą
427:  wątki kryminalne czy detektywistyczne z światotwórstwem futurystycznym i fantastyczno-naukowym.
432:  Gdyby tego było więcej, być może byłbym bardziej zadowolony.
435:  W każdym razie ja byłem zaangażowany głównie przy tych partiach serialu, natomiast pozostałe nudziły mnie niesamowicie.
441:  Jeżeli bardzo chcecie obejrzeć Problem Trzech Ciał, ostrzegam, pierwsze trzy odcinki
446:  Są bardzo ciężkie do przebyć, przebrnięcia przez nie i dłużą się niesamowicie, ale warto przynajmniej dobrnąć do tego odcinka Sąd Ostateczny, Dzień Sądu Ostatecznego Judgment Day.
459:  Jeżeli ten odcinek Wam się spodoba, to być może ostatnie dwa zwłaszcza, które naprawdę dowożą, również zyskają Wasze upodobanie.
467:  Natomiast, no cóż, no dostaliśmy kolejny przeciętny serial od Netflixa.
472:  Czy ktoś jest zdziwiony?
473:  No ja nie jestem zdziwiony.
476:  Do następnego.
