Już wolałem "The Last Jedi" | OBI-WAN KENOBI (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=qFcIz1ScPqY

6:  Hello there.
427:  Ani w tym momencie fani Gwiezdnych Wojen, którzy pamiętają starą trylogię, którzy pamiętają kanon, którzy pamiętają także legendy, które ongiś były częścią kanonu, nie będą zainteresowani tym, co się dzieje w tym serialu i w tym uniwersum, ani także podejrzewam,
444:  młodsi odbiorcy, którzy dopiero zaczynają to oglądać i którzy oczekiwaliby, że właśnie zostaną potraktowani na poważnie, że da się im taką spektakularną walkę, jak chociażby ta wspaniała między Obi-Wanem Kenobi a Anakinem Skywokerem, gdzie mieliśmy okazję zobaczyć triumf sztuki walki mieczem świetnym Soresu w wykonaniu Obi-Wana.
467:  Nie ma tego.
469:  Oczywiście, że dochodzi do paru spektakularnych walk, ale one za każdym razem są w charakterystyczny sposób ucinane.
476:  Tuż w momencie, w którym wydaje się nam, no, no, no, to są te Gwiezdne Wojny, które chcę oglądać i tutaj jest, a nie, a nie.
483:  To jest mniej więcej tak, aby dawać nam coś, jakiś łakoć, sympatyczny.
487:  a, a, masz, masz, a nie, a nie, a nie, moje, moje, moje, a już, już próbujecie, już macie w ustach, a nie, a nie, a nie, moje.
494:  Dokładnie tak się zachowują scenarzyści Obi-Wana Kenobi'ego.
497:  W momencie, w którym jest jakaś dobra scena, natychmiast nam ją zabierają i wypełniają filerami, katastrofalnymi dialogami, zwłaszcza między infizytorką a Leją, która została wykastowana, nie oszukujmy się z tego względu, żeby było zastępstwo dla Baby Jody.
512:  Leją, która nawiasem mówiąc w którymś momencie ucieka przed trzema
517:  łowcami nagród 50-latka.
522:  Długo ucieka.
523:  Przez cały las.
524:  Nic się nie dzieje.
525:  Takich scen jest w tym filmie bardzo dużo, w tym serialu.
528:  Chociaż w gruncie rzeczy to jest sześcioodcinkowy film.
531:  Bardzo kiepsko zaprojektowany.
533:  Bez przerwy pojawiają się cliffhanger'y, nagle ucinające akcji, obiecujące, że będzie coś więcej.
539:  A w momencie, w którym, i to też jest częsta sytuacja, akcja się urywa pod koniec jakiegoś odcinka, kolejny podejmuje ją z dziwnym odstępem czasowym.
548:  No i wreszcie, nie zapominajmy o samych bzdurach światotwórczych.
552:  Ja już się przyzwyczaiłem co do tego, że wszystko w tym świecie przestało działać tak, jak powinno.
557:  Zbroja Lorda Vadera nie odbija Miecza Świetlnego, mimo że została do tego zaprojektowana.
562:  Następnie blastery nie działają tak, jak powinny.
566:  Miecze Świetlne raz przepalają o drzwia i drzwi, a innym razem nie przepalają i nie radzą sobie z Durstalą, czy jakkolwiek ona była przetłumaczona, nie pamiętam.
579:  najwytrzymalszym stopem, który jest używany do zbrojeń w całej galaktyce Gwiezdnowojennej.
584:  No i naturalnie ulubiona rzecz u Disneya, to znaczy teleportacja, bo wiecie, hiperprzestrzeń nie działa, to już kiedyś działała, skoki w nadświetlą nie działają tak, jak kiedyś działały.
595:  Dosłownie w serialu pojawia się skok w nadświetlą
598:  który trwa tyle, ile cztery kwestie dialogowe innej postaci i w tym czasie Obi-Wan nie dość, że przemierza przez pół galaktyki, to jeszcze w dodatku jest w stanie zaokrętować się na statek, wyokrętować się z tego statku i znaleźć osobę, której szuka.
614:  No to wszystko dzięki technice teleportacyjnej, która została wynaleziona w czasach imperialnych, gdybyście byli zainteresowani.
620:  Czyli te skoki w nadświetlą teleportacyjne, które były w okresie Nowej Republiki, we wspaniałej trylogii sequeli Disneya, one zdecydowanie już były wcześniej możliwe do realizacji.
631:  Więc jeżeli ktoś jest wrażliwy na bzdury fabularne, bzdury światotwórcze i jeszcze do tego wszystkiego raczej przeciętną grę aktorską,
642:  mlazgrawą, mdłą muzykę, której w ogóle nie zapamiętujemy.
647:  Nie mam jak polecić serialu Gwiezdnowojennego, o którym najbardziej czekałem, o postaci, którą najbardziej lubię z całej galaktyki gwiezdnowojennej i o
660:  starciu tej postaci z jednym z najbardziej rozpoznawalnych szwarc charakterów i złoczyńców w historii kina w ogóle.
669:  Jeżeli nie można polecić takiej produkcji komukolwiek, to znaczy, że nie będzie można nigdy żadnej produkcji Disneya osadzonej w uniwersum Gwiezdnych Wojen polecić.
680:  Trylogia sequeli była już dla mnie dużym znakiem ostrzegawczym.
686:  Obi-Wan utwierdza mnie w przekonaniu, że nigdy nie zobaczę nic dobrego w tej galaktyce.
691:  Niech moc będzie z nami.
695:  Bo cóż nam innego zostało.
696:  Do następnego.
