Nareszcie dobre urban fantasy | CIEŃ I KOŚĆ — SEZON 1 (recenzja)
🔗 https://www.youtube.com/watch?v=3zmyWVKJYMs

1:  Doczekałem się.
178:  Ale najciekawsze w tym wszystkim jest to, jak zawsze w powieściach fantasy, jak zawsze w uniwersach fantasy, że tuż po tym, jak skończymy śledzić losy naszych bohaterów, którzy są zarówno w Keterdamie, w Kerchu, jak i w Osalcie, jak i właśnie w tym niemorzu powstałym wskutek oddziaływania fałdy,
201:  Możemy spekulować też, jak ten serial się będzie rozwijać i czy w kolejnych sezonach odwiedzimy Fjerdę, czy w jeszcze kolejnych nawet sięgniemy aż Wandering Isle albo Nowoziemia.
214:  To wszystko sprawia, że...
216:  Shadow and Bone nie jest tylko i wyłącznie takim krótkim sezonem fantasy, który sobie obejrzycie w jedno popołudnie i zapomnicie zaraz po tym, ale jest rozległym światem, który naprawdę chce się zwiedzać, niezależnie od tego, czy mamy do niego dostęp w postaci literackiej, czy też od teraz w postaci serialowej.
235:  Muszę powiedzieć, że jestem bardzo też zaskoczony, ponieważ nie spodziewałem się kompletnie tego, że Netflix zdoła wreszcie zrobić naprawdę nie tylko sensowną adaptację, ale właśnie coś więcej, coś co będzie uzupełniało uniwersum Libardugo, bo jak też to mówią niektórzy zagraniczni recenzenci,
254:  Shadow and Bone jest nawet lepsze od trylogii, która mu dała tytuł i go zainspirowała właśnie przez to, że bierze to, co najlepsze z Szóstki Wron i to, co właśnie najlepsze z Cienia i Kości.
267:  I dzięki temu tworzy świat, w którym cały czas coś się dzieje, ale zarazem w którym mamy okazję zapoznać się z bardzo nietypowym settingiem fantasy.
277:  Takim, który pojawił się na srebrnym ekranie bodaj może raz.
281:  Myślę tutaj o
283:  zabójczych maszynach według powieści Philippa Reevesa i praktycznie później jest nieobecny, a w tym momencie główne nurty właśnie literatury fantasy to są te, które interesują się XIX wiekiem, czasami po rewolucji przemysłowej i z bardzo prostego powodu.
299:  W XXI wieku znacznie bliżej nam tamtych czasów, ale równocześnie są one już na tyle odmienne i dziwne i niesamowite, że wystarczało nam za punkt odniesienia tak, jak ludziom z XX wieku wystarczało pseudośredniowiecze fantastyczne.
314:  I coraz więcej jest tego rodzaju powieści, czy Brana McClellana, czy Django Wexlera i wielu, wielu innych.
321:  Libardugo do nich należy i bardzo się cieszę, że wreszcie zawitała na ekran mniejszy wprawdzie, bo Netflixowy.
328:  ale myślę, że jest to serial, który pozwoli wam zobaczyć właśnie to inne oblicze fantasy, to, które może jeszcze się nie zdążyło nam tak opatrzyć, a biorąc pod uwagę, że casting był absolutnie nieziemsko przeprowadzony i mamy naprawdę idealnie odwzorowanych bohaterów względem powieściowego oryginału, bez różnych kontrowersyjnych decyzji, z których Netflix jest zwykle znany,
350:  Ba!
350:  Biorąc także pod uwagę to, że w serialu nie ma na siłę wciskanych niektórych wątków politycznych, które bardzo często polaryzują fandom.
358:  Ba wreszcie!
359:  Biorąc pod uwagę to, że w serialu są nieziemskie wprost plenery i przepiękne zdjęcia.
364:  To wszystko sprawia, że myślę, że to będzie serial nie tylko dla fanów fantasy i na pewno nie tylko dla fanów powieściopisarstwa Libardugo, ale w ogóle dla fanów dobrych seriali nowej generacji.
375:  Ba!
375:  Bardzo polecam i z całą odpowiedzialnością.
380:  Życzę Wam dobrego seansu i do następnego.
