MYLIŁEM SIĘ w sprawie „Chłopów” | CHŁOPI (recenzja z bonusem)
🔗 https://www.youtube.com/watch?v=m6a_V1eI5XE

4:  No, myliłem się.
249:  Wiecie, w odświeżonej formule takiej, która nie trąci już myszką i nie sprawia, że musimy się przedzierać przez tysiące zmurszałych stronic i przezwyciężyć blokadę językową po to w ogóle, żeby...
259:  no w gruncie rzeczy dostać bardzo prosty przekaz, bo przekaz chłopów Reymonta nie jest jakiś przesadnie skomplikowany.
267:  No ale wiecie, pojawia się zasadniczy problem za każdym razem, kiedy o tym mówimy.
272:  To znaczy, co z tego, że powstaje tego rodzaju produkcja, jeżeli ja wam mogę powiedzieć, że chcecie dodatkowy quest wiedźmiński, uderzajcie do kin, póki jeszcze chłopi tam są, ponieważ to trzeba zobaczyć na dużym ekranie.
284:  Będziecie mieli ucztę wizualną i co więcej również audialną, ponieważ muzyka jest wspaniała.
290:  Cóż z tego, skoro po pierwsze obrzydzono nam kinematografię już polsko do tego stopnia, że wielu ludzi, w tym i ja, nie chce iść do kin, ponieważ nie chce słuchać polskich aktorów, dukających wedle modły, którą ja nazwałem kiedyś przydechem walenrodycznym.
306:  Jeszcze do tego wszystkiego, niestety sporo młodych osób, które mogłoby pójść na ten film, zostanie zniechęconych do tego, zanim w ogóle się nad tym zastanowi.
314:  Skąd to wiem?
315:  Dlatego, że przejrzałem materiały, które towarzyszyły premierze tego filmu, które są materiałami dla nauczycieli.
321:  Jeżeli nie widzieliście nigdy, jak wyglądają materiały dla nauczycieli, tutaj możecie sobie uchylić rąbka tajemnicy.
326:  Ja to znam ze studiów swoich polonistycznych, mianowicie tak wyglądają podręczniki metodyczne.
330:  W podręcznikach metodycznych nauczyciel dowiaduje się,
333:  w jaki sposób ma przeprowadzić lekcję.
334:  Zobaczcie, jest nawet lekcja temat.
337:  Wszystko jest zrobione, cele lekcji, wiemy, co uczeń poznaje, co rozumie i co wie.
342:  Jest oczywiście również powiązanie z podstawą programową, bo bez tego nie byłoby sensu zajmować się czymkolwiek,
359:  Co jest godne przeczytania lub obejrzenia, bo mogłoby się nie przydać centralnej komisji egzaminacyjnej na maturze lub egzaminie ósmoklasisty.
372:  Więc już macie tutaj dzieło sztuki, które zostaje zredukowane do...
377:  punktu w przygotowaniach do egzaminu, zamiast żebyśmy właśnie porozmawiali sobie, chociażby oglądając film Marcina Łukańskiego w tle, w jaki sposób robi się nowoczesną animację, jak zrobić dobrą adaptację, wyciąć trzy czwarte tekstu i wykorzystać moc przekazu filmowego po to, żeby wybić na plan pierwszy bohaterów.
397:  Antka, Jagne, hej, nawet
401:  nawet nieszczęsnego Borynę, którego ja po prostu, ach, jak ja go nie znosiłem zawsze, stary Ramol wstrętny, zupełnie jak Logan Royce z Sukcesji, a tutaj zagrany jeszcze przez Mirosława Bakę, względem którego miałem dużo wątpliwości, absolutnie lśni.
416:  Tak, tego samego Mirosława Bakę, który w cyberpunku widmie wolności, w dubbingu postaci Rida,
431:  przeciągnął każdą samogłoskę.
436:  Jak jakiś bieda Gustaw Holubek właśnie wykorzystując ten przydech walenrodyczny, którego tak strasznie nie znoszę, taką afektację, z jaką mówi o Polsce aktorzy.
444:  W ogóle tutaj tego nie ma.
446:  I można byłoby powiedzieć, zobaczcie, tak się rozwija kinematografia polska, rezygnujemy z tego wszystkiego, co było beznadziejne.
453:  Ale nie, ale nie.
454:  W tymżeż poradniku metodycznym, jak analizować chłopów na podstawie adaptacji filmowej.
461:  Dostajemy przecież wprowadzenie z pytaniami, tak?
466:  Ile lat ma Jagna?
468:  Jak wygląda?
470:  Jakie jest jej pochodzenie?
472:  Co wiemy o rodzinie?
474:  Jaki wpływ na bohaterkę wywarło wychowanie domowe?
479:  Czym się interesuje?
480:  Co lubi robić?
482:  Jakimi cechami się charakteryzuje?
485:  Czym się kieruje w swoim życiu?
487:  I tak dalej, i tak dalej.
489:  Tak, żeby...
490:  Żeby przypadkiem się wam nie spodobało, żeby przypadkiem nie poczuć żadnego oczyszczenia, katarzyzm, nie wyjść tak jak jaskina ze szczęką na podłodze, ponieważ zdobyłem w ogóle inną perspektywę oglądu tej rzeczywistości, którą znielubiłem.
507:  Już nie widziałem tamtego paździerza polskiego, tylko...
511:  powiew świeżości, taki jak zobaczyłem w Wiedźminie III.
515:  Ostatecznie cóż nam broni zrezygnować z omawiania dziadów na lekcji języka polskiego, skoro możemy wrzucić na ruszt fantastycznie zrealizowaną scenę obrzędu dziadów z Wiedźmina III i będziemy mieli odhaczone wszystkie priorytety kulturowe, poznanie zwyczajów i tradycji słowiańskich, rodzimowierczych, poznanie kontekstu kulturowego.
537:  Cóż nam jest więcej potrzeba?
539:  Naprawdę musimy do tego przedzierać się przez język Mickiewicza?
542:  Naprawdę jest to konieczne?
543:  Nawet sztichworty, które i tak pamiętacie i tylko je pamiętacie z drugiej Księgi Dziadów w rodzaju o, ciemno wszędzie, głucho wszędzie, co to będzie, co to będzie, to jest w Wiedźminie, nie potrzebujecie do tego otwierać Mickiewicza.
554:  I tak samo powinno być tutaj.
556:  Nie powinniście musieć wracać do Reymonta,
560:  ponieważ wszystko to, co najważniejsze, ten koloryt polskiej wsi został przedstawiony w tym filmie i został przedstawiony w sposób piękny.
567:  I najważniejsza rzecz, która tam jest, to znaczy wątek feministyczny związany z tym, że jeżeli mamy niby tam już rozwijającą się wieś, to w dalszym ciągu będziemy mieli te średniowieczne gusła, które kazały nam palić kobietę na stosie, dlatego że mleko się krowom psuje i wtedy nazywaliśmy to wpływem sił demonicznych,
588:  A teraz możemy powiedzieć, że po prostu, no, no, to jest kara boska, która spadła na lipce i pokarano nas tą jagną.
595:  Nic się nie zmienia w polskim, rzapszańskim obrządku pseudoreligijnym.
600:  To znaczy za każdym razem czciliśmy różnego rodzaju istoty nadprzyrodzone i zjawiska nadprzyrodzone, nie mające absolutnie nic wspólnego z importem w postaci rzymskiego Boga.
611:  Haha.
612:  Potrzebowaliśmy po prostu jakąś siłę wyższą, na którą byśmy mogli zwalić wszystko.
617:  To jest, moi drodzy, sedno dyskusji, która się powinna odbywać przy tej powieści.
622:  Albo przy tym filmie.
623:  Jedna z wielu.
624:  To, co nas faktycznie porusza i to, co nas natycha do refleksji.
628:  Ale dostajemy, jak zawsze, polski paździerz.
632:  Nie ma nic do powiedzenia więcej na temat tego bieda porannika metodycznego.
637:  Mam nadzieję, że nikt nie będzie próbował za jego pośrednictwem zepsuć wam doświadczenia chłopów.
642:  A jeśli tak, to...
644:  Serdeczne wyrazy współczucia i skoncentrujcie się nad tym, żeby jak najszybciej to zobaczyć, zanim wam to ktoś zepsuje na lekcji.
650:  Animacja bowiem to świetna, muzyka jest znakomita, a historia jest naprawdę aktualna i rezonuje z tym doświadczeniem, którego niestety było udziałem bardzo dużej części naszego społeczeństwa, pojawiającego się chociażby on dziś na czarnych protestach i protestującego przeciwko łamaniu praw kobiet.
668:  Dokładnie temu samemu.
671:  czemu się przeciwstawia i reżyser, i scenarzysta tego absolutnie znakomitego filmu.
676:  Myliłem się i nie żałuję, ponieważ dzięki temu, że człowiek się myli, może się uczyć na swoich błędach.
683:  Więc dajcie szansę temu filmowi, tak jak ja dałem i mam nadzieję, że będziecie się na nim dobrze bawić.
689:  Do następnego.
