Czarne lustro się skończyło 🥺 | BLACK MIRROR — sezon 6 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=7g2TweJhp4U

0:  Charlie Brooker, powiedz przecież, że dystopii już nie chcecie.
215:  Problem polega na tym, że ten koncept został porzucony na rzecz zupełnie innego.
219:  Mianowicie, jak się wczytamy w wywiad, który odkryłem i z tego jestem bardzo zadowolony, bo zrozumiałem, dlaczego ten sezon serialu jest taki zły z Charlene Brookerem, to pomijając to, że na łamach Esquire ono po prostu opisuje poszczególne odcinki, to zdradza jedną charakterystyczną rzecz.
234:  Mianowicie, że to oryginalnie nie miał być szósty sezon Black Mirror.
238:  Pierwotnie Charlie Brooker planował zrobić nowy serial pod tytułem Red Measure, czyli czerwone lustro, które miała być antologią horroru retro.
248:  I ja nagle już wszystko rozumiem, ponieważ przecież właśnie te echa, tropy, motywy horrorowe mnie najbardziej przeszkadzały, bo się na to nie pisałem.
259:  Pisałem się na to oglądając chociażby Gabinet Osobliwości Guillermo del Toro.
265:  Natomiast dlaczego to, co zrobił Charlie Brooker nie wyszło, to myślę, że wszyscy z was, którzy śledzicie i krytykujecie poczynania Amazonu, Disneya czy Netflixa, to możecie się spodziewać, dlaczego to się pojawiło i dlaczego jest to takie złe.
277:  Mianowicie, Charlie Brooker po prostu stwierdził, że Red Mirror się nie sprzeda i bardzo możliwe, że Netflix sekundował mu w tej ocenie i dlatego właśnie
286:  zdecydował się jechać na znanej marce, tak?
289:  Jak się przejechali na Władcy Pierścieni, przejechali się na Wiedźminie, no to teraz będziemy doić kolejną markę, czyli Black Mirror.
298:  I skutkiem tego dojenia niestety w którymś momencie ta krowa będzie dużo ryczeć, ale mało mleka dawać.
304:  No i właśnie teraz może nam poskąpiono w większości przypadków i tych odcinków sezonu
311:  pożywnego napitku i dostaliśmy jakąś kapeńkę w odcinku pierwszym i w odcinku trzecim.
317:  Nie jest to takie czarne lustro, które byśmy mogli walczyć i na pewno nie jest to czarne lustro, które bym wszystkim polecał.
324:  Polecam odcinek pierwszy i trzeci tylko fanom.
326:  Natomiast jeżeli nie jesteście fanami tej antologii,
329:  a ja bym sobie absolutnie ten sezon odpuścił, żeby też wysłać sygnał Netflixowi, że poszli w złym kierunku.
336:  Charlie Brooker powie ewidentnie lusterko z tłuku, a jak wiemy, to oznacza przynajmniej 7 lat pecha.
342:  Do następnego.
