Sprawa dla Masochisty | KRAKOWSKIE POTWORY (rant bez spojlerów)
🔗 https://www.youtube.com/watch?v=0X-wEkrX_To

1:  Są trzy fazy gównoburzy.
594:  Może przestańmy wreszcie dotować polskie kino, może przekierujmy strumienie finansowania na przykład na gry wideo, bo przepraszam, najgorsze gry wideo polskie, jakie wyszły z Cyberpunkiem 2071 włącznie, mogę mieć pretensje do tej gry, ale przepraszam, nie ma wciąż w niej takich...
610:  takiego spektaklu beznadziei i porażki, jaki jest w polskich produkcjach kinowych.
616:  I ja wiem, ktoś mi powie, że tu był taki film wybitny, inny film wybitny.
620:  Nie interesuje mnie to, okej?
622:  Bo to jest to, czym się w tym momencie promujemy.
624:  To jest to, co ląduje na Netflixie.
626:  Wpierw był drugi sezon Wiedźmina, a teraz jest jeszcze gorzej.
630:  Moje pytanie brzmi, co będzie następne, tak?
632:  Bo nie spodziewam się niczego już dobrego.
635:  Nie oglądajcie krakowskich potworów.
638:  Nie nabijajcie temu gówno wyświetleń, ponieważ nie zasługuje na wasz czas.
643:  Jest to najgorsza rzecz, jaką widziałem w całym swoim życiu, a widziałem złe rzeczy.
647:  Także za pośrednictwem kanału Mieczcińskiego, który uchronił mnie od najbardziej cringe'owych filmów polskich, ale...
654:  Nie!
655:  To jest najgorsza rzecz, jaką widziałem w całym swoim życiu.
658:  Nie róbcie sobie tego.
659:  Można to, nie wiem, oglądać na bani ze znajomymi dla beki, ale wciąż uważam, że będziecie mieć wtedy mdłości.
666:  Nie polecam!
668:  Do następnego.
