Gwarancja dobrego melanżu | DIUNA (recenzja)
🔗 https://www.youtube.com/watch?v=6MAu5NmX_H0

1:  Jak ja czekałem na ten film.
174:  Tak jakby Villeneuve chciał od samego początku nam powiedzieć, spokojnie, to jest tylko prolog, to jest ekspozycja, w której pokazuję wam ten świat, w której staram się zapoznać was ze wszystkimi rodami, pokazuję wam ojczystą planetę rodu Harkonnenów, skażoną Gady Prime, zindustrializowaną i równocześnie kontrastuję ją z zielonym, przypominającym Ziemię Kaledonem, ojczystą planetą
200:  I wreszcie pokazuje niesamowitą pustynną diunę, na której rozwinęła się fascynująca, nomadyczna społeczność Fremenów przyzwyczajonych do życia na pustyni, popatrujących ze zdziwieniem i z pewnym niepokojem i nie bez...
216:  Odrobiny pogardy i wyższości na przybyszy z obcych krain, którzy tylko interesują się monetyzowaniem daru czerwi drążących pustynną Arrakis, a nie chcą jedności z planetą i jej ekosystemem.
231:  Nie powiedziałem wam ani jednego spoileru z tego filmu i nieprzypadkowo, ponieważ fabuła filmu nie jest aż tak istotna.
239:  Nieprzypadkowo też ona orbituje cały czas wokół pola atrydy, który odkrywa swoje zdolności i szuka swojego miejsca w tym świecie.
249:  Nie potrzebujemy nic więcej,
251:  Potrzebujemy natomiast bardzo wielu wyjaśnień dotyczących tych wszystkich skomplikowanych pojęć, którym już was zdążyłem zarzucić, a jeszcze nie wspomniałem o Legionach Sardo-Ukraińskich, jeszcze nie wspomniałem o wielu innych szczegółach dotyczących samego zarządzania Arrakis, konfliktem politycznym rodu Harkonenów i rodu Atrydów, rolu Lansraadów, tym wszystkim, czyli zgromadzenia wszystkich rodów, które odpowiadały przed Imperatorem Padyszachem.
277:  Jest tego bardzo dużo.
279:  I dlatego cieszę się, że Villeneuve nie spieszył się, nie chciał stworzyć kolejnego klona filmu fantastyczno-naukowego, który opowiedziałby nam znowu kolejną historię taką, jaką znamy już z Gwiezdnych Wojen, ze Star Treka i z co drugiego filmu Marvela.
293:  Ale jeśli się boicie, że was to wszystko...
296:  obciąży zbyt, to nie martwcie się, mam coś dla was.
300:  Mianowicie jest coś takiego jak Encyklopedia Duny Franka Herberta, gigantyczna, prawie sześciostronicowa kobyła, w której możecie odnaleźć definicję wszystkich tych dziwnych anonimów, czyli nazw rzeczy i zjawisk wymyślonych, które pojawiały się w tym świecie, począwszy od nazw lokacji po nazwy instrumentów muzycznych, jak na przykład balisety.
322:  I sztuczny język wymyślony na potrzeby ludów remenów, o którym wam wspomniałem, a nawet różne zawiłości dynastyczne i rodowe i genealogiczne, które wierzcie mi będą mieć znaczenie w kolejnych częściach filmu, a mam nadzieję, że te powstaną.
335:  No i wreszcie skończywszy na biologii i...
339:  samych czerwi, które są centralne dla Arrakis, tutaj nazwane szejchu lud, tak jak nazywają je fremeni.
347:  No i wreszcie dla już absolutnych nerdów szczegóły takie jak chociażby odznaczenia Legionów Sardałkańskich, to jest Gwardia Imperatora, czy wreszcie budowa Harvestera, który pobiera melanż.
361:  Uff.
361:  Jest tego dużo, ale mówię wam o tym dlatego, żebyście podeszli do tego filmu trochę inaczej.
367:  Podejdźcie do tego jak do opowieści światotwórczej.
370:  Nie patrzcie na fabułę, nie patrzcie na portret postaci.
374:  Myślę, że należy dać Villeneuve'owi szansę, żeby poświęcił się i temu w kolejnych częściach.
380:  Tutaj najważniejsze było poznanie świata i można ten film potraktować tak, jak ja potraktowałem swego czasu tę grę z 93. roku, od której zacząłem całą swoją przygodę z uniwersum, jako okno dostępowe do tego świata.
392:  I może właśnie dzięki temu filmowi zachęcicie się do przeczytania sześciutomowej, sześciutomowych Kronik Duny, a może nawet zobaczycie kolejne tomy, które były pisane przez spadkobierców prawa autorskich Franka Herberta.
405:  Niemniej
406:  Jako fan światotwórstwa, jako fan monumentalnego kina science fiction, a wierzcie mi, ono monumentalne jest nie tylko wizualnie, bo niejeden raz zadmi tutaj Surma Zimmera, chociaż śmieję się trochę, bo muzyka jest bardzo dobrze zrealizowana i nie ma w niej tyle przesadnego hałasu, w którym się od Dunkierki Zimmer lubuje.
427:  Więc jeśli macie podobne podejście do kina i cenicie sobie ucztę wizualną, to spieszcie natychmiast do najbliższego IMAXa, bo tam najlepiej zobaczyć Dune lub względnie podobnie dużego ekranu.
440:  I dajcie się ponieść tej opowieści, bo naprawdę warto.
444:  Do następnego.
