Ród Smoka odc. 1 | Mamy nową Grę o Tron? | Recenzja i analiza
🔗 https://www.youtube.com/watch?v=JY1Umq4D26w
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

1:  BFP - To nie zmienia faktu, że możemy rozmawiać.
240:  BFP - Także jeżeli jeszcze nie widziałeś House of the Dragon pierwszego odcinka, jednak zachęcamy, żebyś obejrzał, bo możesz stracić dużo dobrości i dziękuję serdecznie Dead Grammar za rozdanie prezentów naszym widzom w tym momencie.
254:  BFP - Grzegorz, twój hot take.
260:  GW - No cóż, jest ogień a propos hot take'ów, bo... Ale nie ma lodu.
264:  GW - A nie ma lodu, nie.
266:  GW - Nieistotne.
267:  GW - W każdym razie, jeżeli chodzi o...
272:  GW - Pierwszy odcinek, no to mam dość pozytywne wrażenie, tylko dokładnie to, jak zaznaczył Krzysztof, troszeczkę nie ma już kim grać.
280:  GW - Oni już pozabierali sobie taką bardzo charakterystyczną... Grzegorz, podgłoś się troszeczkę, jeżeli możesz, mówiąc odrobinę.
285:  GW - Znowu albo jestem za daleko do mikrofonu.
290:  GW - Dobra, a teraz?
292:  BFP - Myślę, że jest okej.
293:  GW - No, to, troszeczkę już nie ma kim grać, bo albo aktorów już użyli w innym timeline'ie, albo ich wybili do nogi, więc w tym momencie mamy co najwyżej, no, ja mam w miarę dobre oko do aktorów, a tutaj rozpoznałem tak z Missa trójkę, Matt Smith, Rhys Iphans i Paddy'ego Collins...
320:  GW - czyli Viserysa widziałem w kilku brytyjskich serialach, tych pomniejszych powiedzmy i w takim ichniejszym teatrze telewizji, więc no nie jest
333:  GW - Tutaj czuję niedosyt.
334:  GW - Wciąż widać pieniądz, bo o ile dobrze kojarzę, to pierwszy odcinek wyprodukowano za 20 milionów dolarów, a taką wojnę bankartu wyprodukowano za 25, więc tutaj
353:  GW - I widać efekty specjalne na wysokim poziomie.
356:  GW - Od razu mamy smoki.
358:  GW - To też nie byłoby to do oddzielenia.
361:  GW - No mamy juchę, mamy szczucie cycem, także to wszystko to, co popkulturowo dostarcza HBO.
370:  GW - It's not porn, it's HBO.
371:  GW - Więc...
375:  GW - No i tak liczę się z tym, że pierwszy sezon tego serialu to będzie jedna wielka ekspozycja, rozkładanie piąków, wybicie paru już przy okazji, żeby nauczyć widza znowu, żeby się nie przywiązywał specjalnie do postaci.
391:  GW - No i póki co...
393:  GW - Mam wstępnie optymistyczne założenia względem tego serialu, zwłaszcza, że showrunnerem jest twórca tego odcinka, właśnie Wojny Benkartów, czyli Miguel Sapochnik, a nad prawilnością fabuły siedzi sam Martin, więc przynajmniej nie zrobią takiego bagna, jak w ostatnich dwu sezonych Gry o Tron.
417:  BFP - Słucham?
420:  BFP - Który oczywiście nie ma co robić w międzyczasie, bo przecież nikt nie czeka na jego książkę, którą pisze od 12 lat.
424:  GW - Tak, naprawdę serio.
425:  GW - On skończyłby te książki, bo właśnie książki.
428:  BFP - Nie, nie, to tego będziemy jeszcze wielokrotnie nawiązywali.
430:  KMM - Bo to jest nie tylko Winds of Winter, ale także Dream of Spring.
435:  BFP - Ale kochani, ja chciałem mocno odbić piłeczkę tego, co powiedzieliście.
438:  BFP - Razem z czatami.
439:  BFP - To o tym mówi m.in.
441:  BFP - Kuba, o tym mówi Ameszo, o tym mówi Michał.
445:  BFP - Jak my siadaliśmy do Gry o Tron, do pierwszego odcinka, no my tam znaliśmy tylko Shona Bina.
450:  BFP - A dzisiaj jak siadamy do House of the Dragon, to przynajmniej znamy przynajmniej Matta Smitha i Risa Iffansa.
459:  BFP - Więc naprawdę nie kupuję tego argumentu, że to są znacznie mniej znani aktorzy.
463:  BFP - Nie.
463:  BFP - Aktorzy to się stali znani dzięki grze o tron.
466:  BFP - To dzisiaj kojarzymy Kit'a Harringtona.
469:  BFP - Część, no duża część tej obsady gdzieś tam.
472:  KMM - Nie no, nie duża.
473:  KMM - Miałeś część, przepraszam.
475:  KMM - Dlaczego pierwszy sezon gry o tron był popularny?
477:  KMM - Sean Bean.
479:  BFP - No Sean Bean.
480:  KMM - Sean Bean to jest takie nazwisko, że wystarczyłby sam Sean Bean, byś sprzedał film o gościu, który niesie wózek ze śmieciami, czyli apogeum polskiej kinematografii.
490:  KMM - Więc to byś sprzedał, gdyby tam grał Sean Bean.
493:  KMM - Potem Lena Headey.
494:  KMM - Nikt mi nie wmówi, że Lena Headey nie była znana wcześniej.
497:  KMM - Charles Dance.
498:  KMM - Nie wspominam nawet o Charles Dance.
500:  KMM - Potem jeszcze wjechała Olena Tyrell, która była grana przez ultra znaną aktorkę wcześniej.
505:  KMM - Ludzie się zdziwili, że ona gra.
506:  BFP - Każdy z nich pojawiał się w kolejnych sezonach.
508:  BFP - Poza Charlesem Dancem.
509:  BFP - I niewykluczone, że również tutaj sukces serialu będzie generował bardziej znane nazwiska.
515:  BFP - I wiesz.
516:  KMM - Oby.
517:  BFP - Oby.
517:  BFP - Oby.
517:  BFP - Ja wciąż trzymam kciuki za odnowienie Sandmana.
521:  BFP - ponieważ to jeszcze nie zostało potwierdzone, tak zbijając ze sobą różne uniwersa.
527:  BFP - Ale tak, myślę, że nie ma wątpliwości, że House of the Dragon będzie miał kontynuację w postaci kolejnego sezonu.
534:  BFP - No ale drodzy, to porozmawiajmy o zawartości odcinka, bo sporo powiedzieliśmy już o samych aktorach.
540:  BFP - Moim zdaniem te postaci i ich wykonanie jest najwyższej próby.
545:  BFP - Naprawdę nie mogę przestać myśleć,
548:  BFP - o sukcesji, ale zapisałem sobie dwa takie pojęcia i mam nadzieję, że właśnie na tym będzie zbudowany cały serial.
555:  BFP - Wojna generacyjna i nie chcę użyć słowa wojna płci, ale walka o emancypację kobiet.
563:  BFP - I już w momencie, w którym pojawia się ta czwórka właściwie głównych bohaterów, czyli Viserys, król, moim zdaniem najciekawsza postać, najbardziej tragiczna, to zresztą mogę
575:  BFP - pokazać ciut więcej o samym Viserysie.
579:  BFP - Mamy Daemona, mamy Aemona, mamy Rhaenyra, mamy Rhaenys, która jest córką Viserysa.
586:  BFP - Nie, przepraszam.
586:  BFP - Rhaenys to jest ta the queen that never was, która jak przypuszczam będzie również ważną postacią z perspektywy... Czyli pamięta w sukcesie do tronu właśnie.
595:  BFP - Dokładnie.
596:  GW - Dlatego tutaj już mówisz o wojnie płci i generacyjnej i już jednocześnie widać to, że w pierwszym odcinku jest przełamanie tego średniowiecznego właśnie zwyczaju a propos sukcesji i na razie z nadania zostaje córka Viserysa kontynuatorką tronu.
616:  BFP - Czy chcecie coś powiedzieć o samym Viserysie?
620:  BFP - Damon oczywiście, że to jest taki crowd pleaser.
623:  BFP - Postać, której moim zdaniem jest wiele w Grze o Tron później.
629:  BFP - Mamy naprawdę postaci podobne do Damona, ale nie mamy postaci podobnych do Viserysa w Grze o Tron.
634:  GW - Dobry człowiek, kiepski król.
635:  BFP - Dokładnie tak.
636:  KMM - Dokładnie tak opisał go sam George R. R. Martin i to fajnie wychodzi już w tym pierwszym odcinku, gdzie... No, jest taka symboliczna scena, która jest ważna w uniwersum gry o tron, czyli pieśni lodu i ognia ściślej i w świecie Westeros, mianowicie jeżeli król kaleczył się na żelaznym tronie, to znaczyło, że jest kiepskim królem i Megor, który jest wspomniany, Megor Targaryen, ten, po którym została nazwana Megor Holdfast zresztą, część twierdzy,
664:  KMM - On zginął wręcz na żelaznym tronie.
666:  KMM - Jest taka hipoteza, oczywiście prawdopodobnie ktoś go tam zaszlachtował na nim, ale faktycznie to się zdało na żelaznym tronie.
672:  KMM - Jest hipoteza, że to żelazny tron go odrzucił.
675:  KMM - I to jest taki potężny symbol, który Martin za każdym razem wprowadzał, że jeżeli ktoś kaleczył się na żelaznym tronie, to nie był odpowiednim królem.
683:  KMM - I zresztą a propos żelaznego tronu, wreszcie zaczyna on wyglądać tak, jak powinien w książkach.
689:  KMM - No bo w książkach to jest rzeczywiście gigantyczny stos,
691:  KMM - maszkara, mieczy, tak, to jest potworny ten tron, przerażający i tutaj troszeczkę już próbowano to oddać, dokładając troszeczkę mieczy w różnych miejscach.
701:  KMM - Jest taki jeden moment, kiedy król Viserys próbuje powiedzieć do Daemona Targaryena, ale nie, ja nie jestem słabym królem, jestem silnym królem, mów do mnie, your grace, i on siedzi na tym tronie z wielkim mieczem, przed nim jest cała gwardia
716:  KMM - A demon Targaryen i tak widzi, że to jest akt.
719:  KMM - To nie jest tak, że on jest silnym królem.
721:  KMM - On jest słabym królem, który tylko przybrał szumną pozę na żelaznym tronie.
727:  BFP - No ma problem z podejmowaniem decyzji.
729:  BFP - Nie będę wybierał między bratem a swoją córką.
732:  BFP - Ciekawe, że zignorował całkowicie siostrę.
736:  BFP - Nie chce wybrać, ale w końcu musi między swoją żoną kochaną, a między swoim synem i traci obydwoje.
744:  BFP - To jest naprawdę potężną sceną.
746:  BFP - To znaczy moment, w którym widzimy jak Wizerys musi podjąć decyzję, która no może z perspektywy też
757:  BFP - polskiej specyfiki ostatnich decyzji legislacyjnych w naszym kraju sprawia, że widzimy kobietę jako po prostu inkubator dla dziecka.
766:  BFP - A widzimy cesarskie cięcie, które jest bez znieczulenia i bez narzędzi, które mamy dzisiaj.
773:  BFP - To jest wstrząsające.
774:  BFP - I jeszcze do tego zrobienie tego w montażu z tą dziką męską rozrywką
782:  BFP - Bo to jest dzika męska rozrywka, jakim jest turniej, w której ci goście, którzy biorą udział w tym turnieju, po prostu się napierdalają.
790:  BFP - Jak podsumowuję to wspaniale, muszę spojrzeć, żeby nie przekręcić jej imienia, Rainis, czyli The Queen That Never Was.
796:  BFP - Ona mówi, od dekad nie mieliśmy wojny, ich jądra są przepełnione i muszą w jakiś sposób znaleźć ujście.
805:  BFP - Dokładnie tak.
806:  BFP - Grzegorz, chcesz przejąć?
809:  GW - No, jeżeli chodzi o samą postać króla i jego decyzje, no to tak, z jednej strony był postawiony przed niemożliwym wyborem, a i tak został za ten wybór ukarany dlatego, bo
824:  GW - wybrał według tego, co jakby tradycja mu nakazywała za słuszne, dbać o przedłużenie dziedzictwa, wybrać to, żeby mieć jednak syna jako następcę tronu i dokonując tego wyboru stracił i żonę i dziecko, mimo że ostatecznie sami mejstrzy mówili, że albo
852:  GW - zabiją żonę albo prawdopodobnie żaden z nich nie przeżyje tego porodu.
857:  GW - Więc no tutaj faktycznie jest z jednej strony nakreślana tragizm tej postaci, ale z drugiej no właśnie on chcąc
868:  GW - Podejmować moralnie dobre decyzje z perspektywy człowieka jednocześnie nie podejmuje właściwych decyzji jako król.
878:  GW - I przez to też tutaj bardzo już wyraźnie nakreślają, że za długo nie ma się co tutaj wiązać emocjonalnie z Viserysem, bo najprawdopodobniej
892:  GW - W pierwszej połowie tego sezonu jeszcze zginie.
894:  GW - A jeżeli nie, to na pewno do końca tego sezonu.
897:  BFP - Jego rany się nie goją, a jeszcze Iglyw zauważył, że Meister wraca z kadru trzymając już otrute dziecko, deep lore.
905:  BFP - Co dla tych, którzy oglądają serial może się okazać jak najbardziej całkiem sensowną teorią, która znajdzie swoje potwierdzenie w faktach.
913:  KMM - Mnie się podoba to, co Cezary Wódkowski napisał, że scena porodu się świetnie spinała ze słowami Kathleen Stark, że kobieta walczy przy porodzie, a mężczyzna w bitwie.
923:  KMM - Przy czym też zauważmy, że tutaj zgodnie z piękną tradycją George'a Martina to nie jest taki szlachetny jousting, w którym jest turniej, on ma zasady i tak dalej, tylko nie, to się zmienia w napierdalankę.
936:  KMM - Ludzie rozkwaszają sobie łby, nie zachowują się honorowo, ale oczywiście wszyscy się z tego cieszą, no bo przyszli tutaj dla igrzysk właśnie, a nie po to, żeby oglądać szlachetną i sprawiedliwą wojnę.
950:  BFP - Muszę zauważyć też, jeżeli chodzi o taki aspekt techniczny, ja wiedziałem, że ten serial pomimo swojej kameralności, nawet czasami teatralności, właśnie to mi się tak bardzo podoba, podobnie jak w Sukcesji.
962:  BFP - Wiedziałem, że ma duży budżet.
964:  BFP - Grzegorz, z tego co ja słyszałem, to nie tylko pierwszy odcinek kosztował 20 milionów, ale każdy odcinek miał ten budżet.
970:  BFP - O, to lepiej.
971:  BFP - Bardzo dobrze.
972:  BFP - Przy tej scenie, jak już właściwie sprzątają trupy po turnieju,
978:  BFP - Ja zapauzowałem, nie wiem, nie pytajcie czemu robię takie rzeczy, okej?
982:  BFP - To nie jest ten stream.
983:  BFP - Ale zapauzowałem on, w którym ściągają gościa, któremu rozwalił ktoś głowę i tam są takie detale jak kawałek jego szczęki, który leży obok niego.
992:  BFP - To jest poziom...
994:  BFP - szczegółów, który nawet nie wiem, czy był spotykany w pierwszej Grze o Tron, znaczy w pierwszej Grze o Tron, w Grze o Tron w ostatnich sezonach.
1002:  BFP - Może tak, może nie, ale wydaje mi się, że też mieli mniejszą presję w tym, żeby przygotować dobry serial i nie mieli takiego ciśnienia na to, żeby wypuścić ostatni sezon, na który tak wiele osób czeka.
1013:  KMM - Rzeczywiście, że HBO widzi, z kim konkuruje i zobaczyło, że teraz bardzo dużo studiów stwierdziło, że okej, czy cokolwiek wepchniemy do gardeł subskrybentów serwisów streamingowych, to wszystko jedno, oni i tak to kupią.
1026:  KMM - Damy im kiepski serial z kiepskimi efektami specjalnymi w postaci She-Hulk, a ludzie i tak będą cieszyć się jak małpa z tamburynem.
1033:  KMM - Hej, nowy Marvel.
1034:  KMM - A damy im na przykład nowe fantazy, które będzie wyglądało dokładnie tak, jak wygląda każdy osprejowany poliuretan, który jest założony w zamian z brojem
1042:  S00 - I ludzie będą, eee, fantasy, to jest nierealne, to nie musi wyglądać prawdziwie, no, eee, fantasy, a tymczasem nie.
1052:  KMM - HBO właśnie dlatego zrobiło rewolucję Grołotron, o czym może niektórzy nie pamiętają, że to był pierwszy w historii serial fantasy, który był realistyczny i historyczny.
1062:  KMM - I tutaj do tych korzeni historycznych wracamy i do tego realizmu, o którym mówi Filip, wracamy, co dla mnie jest ważne, ponieważ we wszystkich możliwych teoriach fantasy jest powiedziane wprost,
1073:  KMM - Fantazy tym się różni od baśni, że traktuje się poważnie, a nie niepoważnie.
1078:  KMM - Mamy widzieć, że te zbroje są prawdziwe, że te smoki faktycznie latają, że to jest ogień, a nie fajerwerki.
1084:  KMM - Mamy to widzieć, że to jest prawda.
1087:  KMM - I nawet prawda historyczna, ale w obrębie historii tego świata, bo też pamiętajmy, że jest to ekranizacja kroniki historycznej.
1094:  KMM - Od siebie tylko dodam, że ta scena, która się zaczyna na samym początku, też właśnie ma charakter takiej...
1101:  KMM - takiego początku kroniki, bo to jest ten zjazd słynny w Horen Hall.
1106:  KMM - I szkoda straszna, że nie pokazali Doom of Valyria.
1110:  KMM - Spekulowałem podczas naszych rozmów dotyczących właśnie House of the Dragon, że tak, że pokażą Doom of Valyria, bo to jest taki idealny sposób, żeby rozpocząć serial.
1119:  KMM - I miałem w sobie taki ból, że tego nie zrobili, ale jednak myślę, że ten kierunek
1127:  KMM - kameralny, historyczno-kameralny, który obrał ten serial, może być faktycznie lepszy i też apelować do gustów tych, którzy lubili inne historyczne produkcje HBO typu Bordziowie itd., na których sukcesie zbudowało sukces również Game of Thrones.
1143:  BFP - To ja oddając już głos Grzegorzowi i przechodząc do kolejnej postaci, bo chciałem, żeby to była księżniczka Raynera, która staje się tak naprawdę dziedziczką tronu po Wizerysie.
1155:  BFP - to nawiążę do tej Zagłady Walyrii.
1158:  BFP - Ten serial, podobnie jak wykorzystując swoją ścieżkę dźwiękową, która wprost nawiązuje, ale właśnie w fajny, subtelny sposób, do melodii, które znamy z Gry o Tron i dopiero na samym końcu, kiedy są napisy końcowe, wchodzi ten motyw, ta melodia, którą znamy tak dobrze.
1174:  BFP - Też troszeczkę jest to zmodyfikowana ścieżka i zmodyfikowany motyw, ale to są te dźwięki, które dobrze rozpoznajemy i
1183:  BFP - Podoba mi się, że ten serial wie kiedy i w jaki sposób odkrywać jakie karty.
1188:  BFP - Mianowicie, kiedy zbliżamy się do samego końca, jest ta rozmowa między Viserysem a Rhaenyrom.
1193:  BFP - I on jej mówi dwie mocne rzeczy, jeżeli chodzi o lore i światotwórstwo.
1197:  BFP - Pierwsza rzecz...
1198:  BFP - Mówi, tobie wydaje się, że jesteśmy więcej niż ludźmi, jako Targaryenowie, ponieważ rządzimy smokami, ponieważ byliśmy w stanie sobie podporządkować.
1208:  BFP - To był największy błąd, jaki mogliśmy zrobić.
1210:  BFP - To one ściągnęły zagładę na Valyrię.
1212:  BFP - To jest pierwsza bomba, którą rzuca.
1214:  BFP - Druga to mówi, tu masz ten sztylet i musisz wiedzieć, że ta wizja naszego przodka...
1221:  BFP - to jest długa, niekończąca się zimowa noc.
1224:  BFP - Pieśń Lodu i Ognia.
1225:  BFP - Tak nazywa się jego sen, tak nazywa się jego przepowiednia i musisz ją trzymać w sekrecie, musisz ją przekazywać z pokolenia na pokolenie, żebyśmy byli gotowi na to, aż nadejdzie.
1234:  BFP - I to, jak zgrabnie porusza się, i życzyłbym tego też w Rings of Power, ale nie sądzę, żeby tak było, jak zgrabnie porusza się w lore tego świata, łącząc mitologię, czyli jeszcze zaprzeszłość
1249:  BFP - z tym, co dopiero nastąpi, czyli dla nas już tak naprawdę ostygłym dziełem popkulturalnym, jakim jest Gera o Tron, jest naprawdę godne najwyższego uznania.
1259:  BFP - Bardzo mi się to podobało.
1261:  KMM - Też Rejnyra jest naprawdę dobrą postacią.
1263:  KMM - Ja się strasznie bałem, że to będzie klon Daenerys Targaryen, ale najwyraźniej usiłuje ona znaleźć swoje miejsce i swoją funkcję w tym świecie.
1273:  KMM - Więc jak na razie co do castingu też nie mam jakichś większych zarzutów.
1277:  KMM - Tylko tak jak mówię, trzeba dać tym aktorom rozwinąć się.
1281:  KMM - Rejnyra nie miała za dużo do zagrania akurat w tym pierwszym odcinku i do pokazania, poza tym, że jest totalnie skonfundowana z jednej strony tym, że na niej nagle spoczywała
1291:  KMM - ciężar władania Westeros i jeszcze do tego wszystkiego doskonale wiemy w jakiej atmosferze, ponieważ równocześnie wygnany zostaje w zasadzie Daemon Targaryen za to, co robi, a robi rzecz obrzydliwą, to znaczy nazywa narodzonego, ale żyjącego właśnie... Dziedzicem przez jeden dzień.
1309:  KMM - Tak, dziedzicem przez jeden dzień, bo dziecko żyło przez 4 godziny czy 5 godzin bodaj.
1314:  KMM - No i to sprawia, że Viserys wpada w szał i go...
1318:  BFP - Ale jeszcze kilka słów o Rejnerze, Grzegorz.
1324:  GW - Rejnera na razie jest grana w tej młodszej wersji, to znaczy, że już nawet widząc tutaj na fotosie, Emma Darcy gra już tą starszą Rejnerę.
1338:  GW - Millie Alcock póki co gra tą młodszą wersję, czyli zobaczymy na pewno skok o kilka, kilkanaście lat do przodu w trakcie tego sezonu.
1349:  GW - No i jako młoda aktorka
1353:  GW - Nie wiem, coś mi nie leży, tak szczerze powiedziawszy, coś mi nie leży w jej fizjonomii twarzy albo w tym sposobie, w jaki grała.
1359:  GW - Natomiast na tyle, na ile miała, a miała bardzo duży ciężar tutaj do zagrania, wydaje mi się, że jakby
1371:  GW - stanęła na wysokości zadania.
1374:  GW - Bardzo dobrze oddawała i jednocześnie to, że nie chce się pakować w jakieś ramy ustalone przez patriarchalne tradycje, a z drugiej strony, kiedy zostaje postawiona przed faktem, że faktycznie jakby
1395:  GW - jakieś zasady zostaną naruszone i ona będzie nagle w centrum wydarzeń, no jest to takie zagubienie, które też każde dziecko ma prawo mieć, kiedy nagle zostaje na siłę wypchane w rolę dorosłego.
1409:  GW - Więc tutaj wydaje mi się, że cały ten zestaw emocji, które tutaj mogą targać tą młodą postacią,
1418:  GW - jest oddany naprawdę bardzo dobrze.
1421:  GW - Więc jestem ciekaw tylko ile będziemy właśnie z tą młodą Rainerą, a ile z tego sezonu zobaczymy już właśnie ten skok do przodu, bo tutaj rozumiem, że to wygnanie będzie potem owocowało tym, że powstanie jakby...
1441:  GW - gdzieś drugi rząd w zamku, czy będzie próba puczu, który się pewnie będzie zbierał ileś lat wśród iluś tam właścicieli ziemskich itd.
1453:  GW - I dopiero pewnie za jakiś czas zobaczymy Daemona z powrotem, bądź będzie to drugi plotline, który gdzieś tam będzie kontynuowany, nie wiem.
1462:  GW - Jestem ciekaw, jak to będzie prowadzone.
1465:  BFP - Zauważcie, zauważcie,
1468:  BFP - Uwielbiam takie detale a propos Rainery, a propos Viserysa i Daemona.
1474:  BFP - Już powiedzieliśmy, że Viserys jest dobrym człowiekiem, ale niekoniecznie dobrym królem.
1479:  BFP - I jest ten moment, kiedy on siedzi ze swoją radą tuż po tym, jak zmarł jego potomek i po tym, jak zmarła jego żona.
1488:  BFP - I mówi, mój brat Damon to jest człowiek czynu.
1493:  BFP - Jego nie ciągnie do władzy.
1494:  BFP - On nie pragnie władzy.
1495:  BFP - I Damon siedzi gdzieś za gotarą czy za drzwiami.
1499:  BFP - Słucha go i uśmiecha się pod nosem.
1500:  BFP - Wienus jak bardzo się myli.
1502:  BFP - Jego własny brat.
1504:  BFP - Ale ta diagnoza pasuje do jego córki.
1506:  BFP - To znaczy Rejnyra nie planuje i nawet nie wyobraża sobie i niespecjalnie chce być władczynią.
1513:  BFP - I zaznaczam, jej scena z przyjaciółką, która jest, czy może też łączy je coś więcej, to się dopiero okaże, to jest córka ręki króla, czyli Ottona Hightowera.
1524:  BFP - której mówi, ja to najchętniej nie zdawałabym tych wszystkich egzaminów, nie chciałabym mieć tej wiedzy, którą muszą mieć władczynie czy nawet księżniczki, chciałabym z tobą polecieć gdzieś na smoku daleko, daleko, nie?
1536:  BFP - Więc ta diagnoza Wizerysa jest całkowicie nietrafiona względem brata, ale całkowicie trafiona względem swojej córki i dochodzi właśnie do wywrócenia, czyli brat będzie chciał zdobyć najpewniej tron,
1552:  BFP - A w tym momencie Rejnyra jest tą, która ma odziedziczyć po ojcu koronę.
1560:  BFP - To może przejdźmy do kolejnej postaci, może właśnie przejdźmy do wspaniałego, naprawdę wspaniałego, jakby ten aktor, jakim jest Matt Smith, chyba nawet za bardzo nie musi się starać, może on po prostu tak ma.
1571:  GW - Lepiej, żeby się starał, bo miał naprawdę niektóre kiepskie role, także niech się chłop stara, nie rozpieszczajmy go.
1577:  BFP - Książę Daemon Targaryen.
1580:  BFP - Wow.
1581:  KMM - Chcecie coś powiedzieć, zanim ja dorzucę od ciebie... Nie no, to jest wehikuł tego odcinka i podejrzewam, że tego sezonu narracyjny jest charyzmatyczny, mroczny, niejednoznaczny, a równocześnie
1595:  KMM - Chciałbym się do niego przyczepić na różnych etapach, ale nie mogę odmówić mu racji.
1599:  KMM - To jest taki ciekawy amalgamat Petera Bailisha, Tywina Lannistera poniekąd i jeszcze góry.
1608:  KMM - Więc to jest bardzo ciekawe połączenie sprzecznych osobowości, które się ujawniają w zależności od tego, kiedy on ich potrzebuje.
1618:  KMM - No i oczywiście jest tutaj też ten element, który był bardzo widoczny przy Tyrionie,
1622:  KMM - w tym sensie, że on ma cały czas poczucie tego, że jego ojciec ma z nim problem.
1627:  KMM - I on sobie doskonale z tego zdaje sprawę, ale równocześnie, wykazując się z kolei intelektem Tywina, zdaje sobie sprawę, że to on powinien rządzić, ponieważ to on jest silny na te czasy, które akurat teraz przyszły.
1637:  KMM - Też nie wiemy, co wie z kolei Damon Targaryen.
1640:  KMM - Może on zdaje sobie sprawę z tej przepowiedni, o której wspomniano, może sobie zdaje sprawę z czegoś, o czym my nie wiemy, tak książkowy,
1648:  KMM - Greyjoy, Euron Greyjoy, przypomniałem sobie imię.
