Recenzja "What if...?" od Marvela. Garść przemyśleń i pomysłów na upgrade serii
🔗 https://www.youtube.com/watch?v=1-4mEIXVteY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

5:  KMM - Co by było, gdyby powinno być najlepsze?
147:  BFP - Jeszcze.
147:  BFP - Jak Fantastyczna Czwórka, jak Wolverine, jak Deadpool.
150:  BFP - Można to zrobić.
151:  BFP - Ale to się nie stało.
152:  BFP - Sorry, że zacząłem już od razu od krytyki tak naprawdę całego sezonu, ale to jest ważne, żeby było jako podpórka do tych naszych historii alternatywnych, do każdego z odcinków i
164:  BFP - Ja się nie chwalę, ale chciałbym, żebyście poczekali do ósmego, dziewiątego odcinka innych alternatywnych propozycji tego, co można by zrobić z postacią Altrona i burzeniem tak naprawdę ścian multiwersów, a nawet wprowadzeniem pewnego poziomu meta i burzenia czwartej ściany.
184:  BFP - Zacznijmy.
184:  BFP - Zacznijmy od pierwszego odcinka.
186:  BFP - Pierwszy odcinek, czyli co gdyby Captain Carter została pierwszym Avengersem, czyli Peggy Carter zostaje tak naprawdę Stevem Rodgersem.
195:  BFP - I to jest taki wstęp, który jest dokładnie tym, co ja nazywam remiksem.
199:  BFP - Mamy dokładnie te same bity, które widzieliśmy w Captain America The First Avenger.
204:  KMM - No i mamy też genderswap, prawda?
206:  KMM - Tylko, że zrobiony dobrze.
208:  KMM - Nie tak jak w innych franczyzach, na przykład Bondzie, gdzie wiadomo, że nie zrobimy z Jamesa Bonda Jezamine Bond ani Jacqueline Bond.
219:  KMM - I tutaj mamy nową, pełnokrwistą postać, która wszelako w tym wariancie czasowym rozwinęła się dokładnie tak samo jak Steve Rogers w swoim świecie i w ten sposób te postaci ze sobą nie konfliktują.
231:  KMM - I od razu powiem, że jeżeli chodzi o
233:  KMM - Gender Swap w uniwersach superbohaterskich uważam, że to jest dobry scenariusz do realizowania tego rodzaju pomysłów.
242:  BFP - No ja muszę pochwalić w tym odcinku, bo będę na to zwracał uwagę, voice acting, który generalnie jest na stosunkowo niskim poziomie jak na serię animowaną, ze względu na zaangażowanie oryginalnych aktorów.
255:  BFP - I ci aktorzy, którzy są
258:  BFP - od długiego czasu wość z aktorami wypadają lepiej, ale Hallie Atwell, która gra Peggy Carter, także w filmowym uniwersum Marvela i w tym animowanym także, wypada bardzo dobrze.
270:  BFP - Bo to jest wreszcie ten moment, kiedy postać drugoplanowa może stać się superbohaterką.
276:  BFP - I to jest fajne, to pokazuje ten przynajmniej
280:  BFP - zaczątek potencjału, jaki ma w sobie idea what if.
284:  BFP - Więc podpisuję się pod tym genderswapem, o którym mówisz, zrobionym właściwie, ale podbijam też ten fajny pomysł, który uwalnia potencjał wyobraźni, kiedy Steve Rogers, Captain America, nie staje się kapitanem Ameryką, ale staje się pierwszym Iron Manem.
300:  BFP - Czyli widzimy Howarda Starka, czyli ojca Tony'ego Starka, który on to pierwszy buduje pierwszą zbroję czy też suit Mark I i wchodzi do niej Steve Rogers i zostaje pierwszym Iron Manem.
313:  BFP - To jest taki nice touch, to jest to co jest fajne.
316:  BFP - a sam odcinek jest taki dość przewidywalny, nie jest rewolucyjny i wciąż nawet kiedy odchodzisz, czy wydaje się, że odejdziesz trochę od tego, co znasz z Marvela, to kończysz na takim samym akcencie, czyli Peggy Carter w jakiś sposób znajduje się we współczesności, tak jak Steve Rogers przez zamrożenie czy też hibernację trafił do naszych czasów współczesnych.
338:  BFP - Więc jest to dobry pomysł, ale ja mam lepszy.
344:  BFP - Mam mówić, tak?
345:  S02 - No dobra.
345:  BFP - Dawaj, dawaj.
347:  BFP - Wiesz, tak jak zawsze patrzyłem na Steve'a Rogersa, kapitana Amerykę, tak patrzyłem na tego wysokiego blondyna o pięknych niebieskich oczach, to myślałem, to jest prawdziwy Aryjczyk.
358:  BFP - I co by było, gdyby Captain America po wzięciu serum dostał kuku na muniu, tak jak bardzo wielu innych, którzy przyjmują super serum i przeszedł na stronę wroga.
370:  BFP - wygrać serum i stworzył prawdziwych supersoldatów, na których zależało nazistom.
375:  BFP - I co gdyby wygrał trzecią wojnę?
377:  BFP - I co gdyby został prawdziwym Führerem, znaczy prawdziwym, zastąpił ówczesnego Führera i przejął władzę nad światem i wprowadził najbardziej brutalny system totalitarny jaki istnieje i nowy porządek zaprowadzony przez supersoldatów, stworzonych na jego wzór.
392:  BFP - To mi się wydaje ciekawsze.
393:  KMM - To jest ciekawy pomysł, bo to jest połączenie tej idei, która była kiedyś z Supermanem, który działał na rzecz w komiksach, na rzecz Związku Radzieckiego.
406:  KMM - Plus jeszcze, ja bym powiedział, że można było podkręcić to do dziesiątki i zastanowić się na temat tego,
412:  KMM - Co z Hydro, prawda?
414:  KMM - Może byśmy wreszcie dostali narrację z perspektywy tej organizacji, prawda?
418:  KMM - Z wnętrza jej mógłby działać Steve Rogers i wtedy być może Red Skull miałby troszeczkę inną funkcję niż do tej pory, ponieważ Red Skull właśnie w tym odcinku konkretnym został potraktowany jeszcze bardziej po macoszemu niż w oryginalnym filmie.
432:  KMM - Tak.
433:  KMM - gdzie po prostu jest antagonistą, który musi zostać sklepany, ale ponieważ teraz mierzy się z kobietą, to jest sklepany szybciej.
441:  KMM - I w zasadzie tylko tyle.
442:  KMM - Więc mamy taką typową female power fantasy, która działa jak najbardziej, więc rzeczywiście pokazanie tego jeszcze z innej perspektywy mogłoby zaostrzyć trochę narrację.
453:  BFP - Ja bym Red Skula pozbył się od razu.
454:  BFP - Ja bym pokazał Steve'a Rogersa, który miażdży mu tę czerwoną czaszkę.
458:  BFP - I to jest koniec.
459:  BFP - Mnie bardziej by interesowało, w jaki sposób
462:  BFP - Steve Rogers spina się po szczeblach władzy w III Rzeszy i zajmuje miejsce Führera, jak wprowadza nowy porządek.
470:  BFP - Ja zawsze widziałem, zawsze było w nim coś takiego, wiesz, Bonkiewicza.
477:  BFP - Takiego ciężkiego Bonkiewicza, który jest taki, wiesz, oddany ojczyźnie w sposób patologiczny.
485:  BFP - Nie kwestionują... no dobra, w filmach było, że kwestionował to co robił S.H.I.E.L.D.
491:  BFP - i tak dalej, stąd fabuła drugiej części, ale on ma potencjał na bycie faszystą albo nazistą i jakby został Führerem i wprowadził nowy porządek w jego wykonaniu w oparciu o super serum, I'm all in, w sensie I'm not really all in,
507:  BFP - co do takiej wizji, ale chętnie bym o tym posłuchał.
510:  KMM - No zwłaszcza, że byłaby też okazja do kreatywnych cytatów z Człowieka z Wysokiego Zamku i albo jeszcze, idźmy dalej, Wolfensteina.
521:  BFP - Tylko BJ Blazkowicz mógłby zatrzymać Steve'a Rogersa, który jest nazistą firerem.
525:  KMM - To jest potęga idei multiwersum.
527:  KMM - Znaczy ja zawsze śniłem o takiej sytuacji, w której mielibyśmy światy fantastyczne, które zaczynają się ze sobą rzeczywiście łączyć.
534:  KMM - Marvelowi w pewnym sensie udało w momencie, w którym Disney wykupił Marvela i całą resztę i prawa autorskie zyskał zarazem.
541:  BFP - Poczekaj na... O, już trochę nachodzisz na spoiler tego, co mam w przypadku ósmego, dziewiętego odcinka.
547:  BFP - A, główka pracuje, kreatywny jesteś.
550:  BFP - Wiedziałem, że trzeba podkręcić naszą kreatywność o jeden stopień wyżej w tym odcinku, więc myślę, że będzie ciekawie.
557:  BFP - Drugi odcinek.
558:  BFP - Co, gdyby czala...
560:  BFP - czy też T'Challa został Starlordem.
563:  BFP - Dla mnie to jest fajny odcinek, kojarzący się taki z kinem Nowej Przygody.
567:  KMM - Najbardziej chyba humorystyczny z całej serii, bo wyłączam ten jeden odcinek, o którym zaraz powiem bardzo dużo krytycznych rzeczy.
576:  BFP - Mówisz o Thorze?
577:  BFP - Tak, tak.
578:  BFP - Aaa, okej, okej.
579:  BFP - No Zombies też był dość zabawny, ale zaraz do tego przejdziemy.
582:  BFP - Mnie się podobało to, że on miał takie elementy typowe dla gatunku heist movie.
587:  BFP - I oczywiście podobało mi się to, jak zagrał Chadwick Boseman.
591:  BFP - Wiele osób przypuszczało, że to będzie jego ostatni występ.
594:  BFP - To nie był jego ostatni występ, bo jego postać wielokrotnie wraca w tej serii.
599:  BFP - Natomiast powiem Ci, nie do końca podobało mi się, jak wykreowano tę postać, tę Charlie w formie Star-Lorda.
606:  BFP - Dla mnie Marvel What If...
609:  BFP - jest historią niewykorzystanego potencjału.
611:  BFP - I nawet ta postać T'Challa jako Star-Lorda jest niewykorzystanym potencjałem, bo brakuje w nim takiego zawadiaki.
618:  BFP - Brakuje trochę takiego urwisa.
620:  BFP - Jak ja na niego patrzę, to myślę, to mógłby być prawdziwy Han Solo.
624:  BFP - W sensie Peter Quill, który jest Star-Lordem,
629:  BFP - ma w sobie coś z fajtłapy i z dzieciaka.
632:  BFP - A Indiana Jones czy Han Solo, nie przypadkiem jest to za każdym razem Harrison Ford, ma w sobie coś takiego z takiego Urvisa nastoletniego, ale to jednak nie jest infantylny gość.
644:  BFP - T'Challa mógł być kimś takim, mógł być takim zawadiaką, a jest taką larger than life legendą w tym uniwersum i nawet Thanos go szanuje, co było zabawne właśnie jak pojawia się Thanos, jak okazuje się, że Thanos nie jest tak naprawdę Thanosem, więc to jest dobry odcinek, taki powiedziałbym 7,5 na 10 z tym takim moim zdaniem właśnie dużym niewykorzystanym potencjałem jak poprowadzono tę postać i w sumie fabuła miała kilka fajnych plot twistów, ale była dość przewidywalna.
673:  BFP - No i tyle mam do powiedzenia, póki nie powiem, jaką miałbym alternatywną wizję na to.
678:  KMM - To ja może zacznę od alternatywnej wizji, bo moja jest bardzo prosta.
681:  KMM - To znaczy, ja liczyłem bardzo, jak oglądałem ten odcinek, że właśnie Thanos wywinie numer wszystkim.
688:  KMM - Od samego początku na to liczyłem, ponieważ wydał mi się kompletnie out of character w momencie, w którym powiedział, no tak, tak, wiecie, ja w sumie mam takie nazistowskie poglądy, ale...
698:  KMM - ale no ja staram się z tym żyć i oni wszyscy powiedzieli, o brzydki Thanos, brzydki, my wszyscy wiemy, że ty jesteś takim, no sympatyzujesz z niefajnymi, brunatnymi ideami, ale tak to już nasz Thanos tak już ma.
711:  KMM - Bardzo mi się to nie podobało i liczyłem na taką woltę w którymś momencie, w której się okaże, że Thanos rzeczywiście...
717:  KMM - Wcale nie wyrzekł się tych swych poglądów, jak przystało na porządnego śmierciożercę i powraca oczywiście na ciemną stronę mocy.
726:  KMM - Więc strasznie się zdziwiłem, że finalnie do tego nie doszło.
729:  KMM - To byłby mój pomysł na to, żeby się pobawić fabułą tego.
732:  KMM - Zwłaszcza, że T'Challa w roli Star-Lorda wydawał mi się bardzo takim typowym westernowym stróżem prawa.
742:  KMM - Dobrym, który by w życiu nie przewidział takiego plot twistu.
745:  KMM - i być może właśnie to mogłoby być asumptem do tego, żeby wygrać ten dysonans pomiędzy tymi dwoma postaciami.
754:  BFP - Powiem ci tak jak Tom Hardy do Josepha Gordona Levita w filmie Incepcja, kiedy wyczarował sobie granatnik, kiedy tamten wyczarował pistolet.
762:  BFP - Why don't you dream a little bigger, darling?
766:  BFP - Ja też myślałem o Thanosie w tym odcinku i wyobraziłem sobie odcinek, w którym mamy historię Thanosa, który nigdy nie skręcił w stronę swoich radykalnych poglądów.
776:  BFP - O!
777:  BFP - Widzimy moment, w którym siłował się z tymi poglądami i ostatecznie walczy o dobro swojej planety, taką jaka jest, czyli nie próbuje dokonać depopulacji, że tak powiem, nie staje się radykałem.
790:  BFP - I widzimy jego karierę polityczną, widzimy jak zdobywa wysokie urzędy, odcinek kończy się tak, że jego planetę atakują Mroczni Avengers.
798:  BFP - I musi ją bronić przed Avengersami.
800:  BFP - To znaczy jest dokładne odwrócenie tego, co znamy z całego Marvel Cinematic Universe.
804:  BFP - I widzi, że cała jego planeta stoi przed obliczem zagłady, bo zaatakowali go superbohaterowie, którzy wcale nie są tacy... Znaczy są super, ale niekoniecznie dobrzy.
813:  BFP - Z jakiegoś innego wymiaru.
814:  BFP - Rozpoznajemy tam Ironmana, rozpoznajemy tam Thora, ale Thanos musi zrobić wszystko, co może, żeby obronić swoją planetę, czego już nie widzimy.
822:  BFP - Bo na tym się kończy odcinek.
825:  BFP - Także wiesz, wyciągaj granatnik i dotrzymaj kroku.
828:  KMM - To byłoby faktycznie interesujące, bo wtedy mielibyśmy taką klasyczną subwersję i zarazem również okazję do tego, żeby pokazać taką bardziej optymistyczną, utopijną wizję tego, co można zmienić w galaktyce.
842:  BFP - I zrobić to, czego nie zrobiono w odcinku z Killmongerem, do którego za parę chwil przejdziemy, to znaczy bardzo często w recenzjach pojawia się informacja,
851:  BFP - Ten odcinek pokazuje w nowych okolicznościach Killmongera, ale w żaden sposób nie dowiadujemy się niczego nowego o tej postaci.
858:  BFP - Ale jeżeli przeprowadzisz taką postać jak Thanos przez zupełnie nowe okoliczności i pokażesz jego przemianę w innym kierunku, to dowiadujesz się czegoś nowego o tej postaci, patrzysz na nią z innej perspektywy.
868:  KMM - Właśnie, że Thanos od samego początku był projektowany jako postać niejednoznaczna.
873:  KMM - To właśnie nie był taki typowy szwarc charakter jak Red Skull, tylko to była postać zniuansowana, więc faktycznie pokazanie jej rozwoju w innym kierunku mogłoby być bardzo interesujące.
882:  BFP - Wyobraź sobie go jako takiego senatora rzymskiego, który walczy o utrzymanie republiki.
887:  BFP - No tak.
888:  BFP - Więc wiesz, gdzieś tam były przebitki, w sensie on mówił o swojej planecie w Infinity War i o tym, że się spierał z jakąś radą co do tego, co zrobić z przyszłością tej planety.
900:  BFP - I ten moment krytyczny, w którym on tak naprawdę wybiera inną drogę, czy inne rozwiązanie polityczne, to jest dla mnie ciekawe.
908:  BFP - Odcinek trzeci.
909:  BFP - Co gdyby Ziemia straciła swoich Avengersów?
916:  BFP - No, trochę tak.
918:  KMM - Bo to jest... Mam problem z dwoma odcinkami tej serii i ten problem wynika z mojej skrajnie negatywnej, krytycznej oceny dwóch filmów Marvel Cinematic Universe, to znaczy Black Widow i Captain Marvel.
932:  KMM - I w jednym i w drugim przypadku mam wrażenie, że starano się, w tym odcinku ewidentnie chodziło o Czarną Wdowę, pokazać, że ta postać ma sens i jest o wiele bardziej złożona, skomplikowana i lepiej napisana niż to finalnie się okazało w filmach.
945:  KMM - Było dużym rozczarowaniem dla wszystkich, jak Black Widow została uśmiercona w Infinity War.
951:  KMM - I myślę, że tutaj starano się zrekompensować drugie rozczarowanie, które przyszło potem, jak wszyscy mieliśmy nadzieję właśnie na taką piękną origin story Czarnej Wdowy i film, który by oddał jej sprawiedliwość jako postaci.
963:  KMM - To się nie stało.
964:  KMM - Mnie się bardzo podobał ten film.
965:  KMM - Okej.
966:  KMM - Mnie się wściekle nie podobał.
968:  KMM - Kończymy odcinek.
969:  KMM - I tutaj wydaje mi się, że oddano jej pierwsze skrzypce właśnie po to, żeby zrekompensować to, co się tam nie udało.
978:  BFP - Ja bym się spierał z tobą, ja nie uważam, że jej oddano pierwsze skrzypce, ja uważam, że Samuel L. Jackson i jego Nick Fury miał tyle samo do powiedzenia w tym odcinku.
986:  BFP - Na pewno podobało mi się to, że to był fajny mystery movie i że plot twist, czy też odkrycie, kto był mordercą, było zaskakujące.
994:  BFP - Było ciekawe.
994:  BFP - Byłem, what?
996:  BFP - Michael Douglas, that was you?
998:  BFP - Więc jakby to, że pojawił się Hank Pym, to było naprawdę fajne.
1001:  BFP - Podobał mi się Loki.
1003:  BFP - który pojawia się i mówi, oddajcie mi mordercę mojego brata.
1008:  KMM - Muszę przyznać, że to był rzeczywiście moment, w którym mi się serducho poruszyło, bo zawsze liczyłem, że w Lokim znajduje się tego rodzaju pokład człowieczeństwa, nazwijmy to, i rzeczywiście, że te uczucia braterskie wybuchną w nim dopiero wtedy, kiedy już będzie za późno.
1025:  KMM - Ale równocześnie była to taka ładna power fantasy na temat tego, co można byłoby zrobić na czele regionu Hasgardu.
1032:  BFP - Bądźmy ze sobą szczerzy, znaczy za każdym razem jak Loki wjedzie w tej serii, będziemy o nim wspominali, to będziemy się zmieniali w dwie fangirls.
1040:  S01 - Takie są fakty.
1043:  BFP - Mój alternatywny scenariusz na ten odcinek Ant-Man, ale w wykonaniu Hank'a Pyma, którego nie było w zasadzie w filmach i Wasp w wykonaniu Michelle Pfeiffer, którzy oboje utknęli w Quantum Realm i podróżują w czasie.
1060:  BFP - I podróż w czasie tak naprawdę reprezentuje rozwój ich małżeństwa, rozwój ich związku i prowadzi ostatecznie do rozpadu ich małżeństwa.
1068:  BFP - Czyli wracają do rzeczywistości, wychodzą z Quantum Realm, ale już się nie kochają.
1076:  BFP - Czyli jakby metaforą faz w związku, relacji, małżeństwie byłyby kolejne miejsca, w których lądują na osi czasu.
1087:  KMM - Mielibyśmy tutaj wtedy tę głębię, której nie było.
1091:  KMM - To prawda, emocjonalną.
1094:  KMM - Oprócz oczywiście tego mystery movie, który się tutaj pojawia.
1096:  KMM - No, zgadzam się.
1098:  KMM - Podpisałbym się pod taką wizją.
1100:  KMM - Dziękuję bardzo.
1101:  BFP - To jedziemy z kolejnym odcinkiem.
1103:  BFP - Proszę pana, co gdyby... Przepraszam.
1107:  BFP - A gdyby... A gdyby doktor Strange był profesorem?
1112:  BFP - Nie, żartuję.
1113:  BFP - A gdyby doktor Strange stracił swoje serce zamiast rąk?
1119:  BFP - To jest najlepszy odcinek w tej serii.
1121:  KMM - Absolutnie.
1121:  KMM - Nie tylko dlatego, że występuje tam doktor Strzęś, który jest magiem.
1125:  KMM - Ale oszukujmy się, to jest 90% powodów, dla których ja się pod tym podpisuję.
1131:  KMM - Ale tak, doktor Strzęś wydaje mi się, że będzie w ogóle centralną postacią nadchodzącej fazy, czy w zasadzie trwającej już nowej fazy Marvela.
1140:  KMM - I bardzo się cieszę, że dano mu tutaj wieść Prym, tak jak Vinien,
1146:  KMM - I wydaje mi się również, że to jest jeden z nielicznych odcinków, a na pewno jedyny w tej serii, który przemyśliwuje faktycznie, co to znaczy gdybać, co to znaczy tworzyć nowe światy za każdym razem, kiedy zadamy sobie to pytanie kontrfaktyczne, bo przecież doktor Stręć cały czas usiłuje zapobiec temu wydarzeniu, które jest fundujące.
1165:  KMM - Cały czas, nie pamiętam, jak ono jest w oryginale nazwane, Absolute Point chyba.
1171:  KMM - Nexus Point?
1172:  KMM - Nexus Point, coś takiego.
1173:  KMM - Tym punktem zwrotem w każdym razie jest oczywiście śmierć.
1178:  KMM - Metaforycznie rzecz ujmując, ten moment, kiedy umiera mu serce i traci je.
1183:  KMM - I stara się reiterować tę fabułę w grze wideo, loadując wcześniejszy stan i sprawdzając, co może zrobić, żeby powstrzymać.
1192:  KMM - Znakomicie to zostało powiedziane.
1194:  KMM - Przypomniało mi to film Predestination, który uwielbiam.
1199:  KMM - Bardzo lubię granie z czasem i jeszcze zarazem jest to znakomite obok historii alternatywnych z Love, Death and Robots.
1207:  KMM - przedstawienie tego, jakim ciekawym, interesującym narzędziem jest narracja kontrfaktyczna, że masz ten punkt, który łączy dwie linie czasowe i dywergencję i ten moment, kiedy one się rozwidlają i tutaj faktycznie się rozwidlają one na dwa światy, nie tylko dwa plany i dwóch alternatywnych doktorów stranżów.
1227:  BFP - To znaczy ja mogę mówić o tym odcinku naprawdę długo, postaram się być bardzo zwięzły,
1235:  BFP - Dla mnie to jest fantastyczna podróż bohatera, która jest dokładną alternatywą do tego, co miało miejsce
1242:  BFP - Pierwszym origin w filmie doktora Strange'a.
1244:  BFP - I Stephen Strange zawsze miał w sobie potencjał na to, żeby być arcyzwłoczyńcą.
1250:  BFP - Zawsze.
1251:  BFP - Jego ego, jego arogancja, jego obsesja, która prowadzi go do tego, że zostaje doktorem Strange'em, równie dobrze mogła go doprowadzić do tego Strange Supreme, która jest alternatywną wersją, która się rodzi w tym odcinku.
1265:  BFP - I wiele osób też zaznaczało na forach, że szkoda, że tak nie wyglądał pierwszy film.
1270:  BFP - To mógłby być pierwszy film.
1273:  BFP - Myślę, że to byłoby ryzykowne z perspektywy… To byłoby bardzo odważne, tak.
1276:  BFP - Tak, ale bardzo mi się podobało… Znaczy, zacznę może od tego, że wielkie brawa dla Benedykta Camberbatcha, który okazuje się fenomenalnym voice actorem, ale to nie jest pierwszy raz, bo to jak on grał… Smaug, chociażby.
1289:  BFP - Smaug, oczywiście.
1290:  BFP - Znaczy, powiedzmy sobie to wprost.
1293:  BFP - Te dwa nazwiska, na które będziemy reagowali jak fangirls, to są dwaj Brytyjczycy.
1299:  BFP - To jest oczywiście Tom Hiddleston grający Lockiego i Benedict Cumberbatch grający doktora Strange'a.
1303:  BFP - To są tak wybitni aktorzy.
1305:  BFP - Są naprawdę fenomenalni aktorzy, którzy cieszą się tymi rolami.
1309:  BFP - I aktorsko-głosowo Cumberbatch wypada znakomicie, naprawdę.
1317:  BFP - Bardzo podoba mi się, jak widzimy to stopniowe przekraczanie granicy.
1322:  BFP - Coraz bardziej posuwa się naprzód dr Strange, coraz bardziej przechodzi z jasnej na ciemną stronę mocy.
1327:  BFP - To jest niemalże namacalne.
1330:  BFP - I cała ta sekwencja, która pokazuje
1335:  BFP - Ona jest świetnie zmontowana, a nie zawsze ten serial i każdy z odcinków jest dobrze wyreżyserowany.
1341:  BFP - A jest cały czas reżyserowany tylko przez jedną osobę, którą jest Brian Andrews, o tym jeszcze będę mówił.
1347:  BFP - Ale ta sekwencja, w której non stop widzimy jak powtarza i powtarza i próbuje mu ratować i ponosi porażkę, próbuje mu ratować i porażkę.
1355:  BFP - Tobie się skojarzyła z Predestination w całości, mnie się skojarzyła z Edge of Tomorrow.
1360:  BFP - Kiedy Tom Cruise próbuje... I już widzisz, czemu on jedzie taki smutny z nią autem, bo on wie, że ona znowu zginie.
1366:  BFP - I ona znowu zginie.
1367:  BFP - On już ma dość obserwowania, jak osoba, w której się zakochał, umiera na jego oczach.
1372:  BFP - I jak o tym pomyślisz, to zdajesz sobie sprawę, jakie to piętno wywiera na tej osobie.
1378:  BFP - I to jest ta sekwencja, która jest fenomenalna.
1380:  BFP - Jak on już jedzie samochodem i ona mówi, czemu jesteś taki smutny?
1383:  BFP - I druga sekwencja, która mnie absolutnie powala,
1387:  BFP - W innym tonie utrzymam, to jest ta cała sekwencja, którą ja nazwałem wchłanianiem kolejnych pokemonów.
1392:  BFP - Czyli kiedy rodzi się prawdziwy Strange Supreme.
1395:  BFP - Trafia na Cthulhu, czy tam postać w uniwersum Marvela, która jest takim odpędnikiem Cthulhu.
1401:  BFP - Mówi, o panie, muszę zamknąć szkatułkę.
1404:  BFP - I wchłania 10 tysięcy innych potworów przez 100 lat.
1408:  KMM - Ja miałem nerdgasm wtedy, bo wreszcie wiedziałem, że jest jakaś porządna inkantacja magiczna w tym świecie, czyli coś, za co uwielbiałem zawsze Ligę Sprawiedliwe animowaną i uniwersum DC, które bardzo romansowało z mitami i z magią i brakowało mi tego zawsze u Marvela.
1425:  KMM - I ten odcinek mi absolutnie to wszystko zrekompensował.
1428:  KMM - Co więcej, Strange Supreme się oczywiście później przydaje w tej akurat swojej inkarnacji, bo gdyby miał się mierzyć z tym, co nadchodzi w ósmym i dziewiątym odcinku w swojej wcześniejszej postaci, mógłby mieć poważne problemy, nawet z okiem Agamotto.
1445:  KMM - Niemniej absolutne, tutaj się w dwóch miejscach podpisuje, dwie świetne sceny, jedna i druga będące swoją drogą repryzą tej pamiętnej sceny z końcówki Doktora Strange'a, w której pokonuje on ten straszliwy byt, nie pamiętam oczywiście.
1460:  KMM - Dolmamu af kentubargen.
1461:  KMM - Dolmamu, oczywiście.
1463:  KMM - I pokonuje po pierwsze właśnie mocą umysłu swego, ale po drugie dzięki wykorzystaniu pętli czasowej.
1470:  KMM - Tu w dwóch przypadkach to się dzieje.
1472:  KMM - Przepięknie ten odcinek romansu jest czasem, bardzo dobrze zrobiony.
1476:  BFP - Jest pięknym odcinkiem o rozpaczy i upadku jednostki.
1479:  BFP - I do tego potężnej jednostki.
1481:  BFP - I też pochwalę ten plot twist.
1483:  BFP - w którym Strange Supreme zabija tego doktora Strange'a, którego znamy i wchłania go, po chwale super mroczny koniec, w którym widzimy, że Strange Supreme zniszczył całe swoje uniwersum i ono się zapada, a Watcher mówi, no i chuj.
1500:  BFP - No to w zasadzie to, co mówi.
1501:  BFP - Mówi, trudno, nie mogę ingerować, co prawda złamie potem wszystkie swoje zasady, ale tutaj nie mogę ingerować i potem przyjdzie do niego z podkulonym ogonem.
1510:  KMM - Ale to swoją drogą też jest odcinek, który prowadza bardzo interesującą mechanikę, nazwijmy to językiem growym, do świata Marvela, to znaczy faktyczna możliwość zniszczenia wymiaru czy jakiejś wersji świata i zredukowania jej do wymiaru kieszonkowego.
1525:  KMM - Pocket Dimension.
1527:  KMM - To jest bardzo interesujące.
1528:  BFP - Ale to jak to pięknie jest ukazane na koniec, jak widzisz tą całą ciemność, ten jeden maleńki kryształ.
1535:  BFP - O Jezu, jakie to jest pobudzające moją wyobraźnię.
1538:  KMM - Wizualnie jest przepiękny ten odcinek.
1541:  KMM - Rzeczywiście widać, że tutaj... To był ten moment, jak oglądałem serial, że zrozumiałem, że tą multiwersą zaczyna działać, bo wcześniej to były takie wprawki.
1551:  KMM - Faktycznie, co by było gdyby, a tutaj zobaczyłem... To nie był remiks.
