#229 Jak Nie Pozwolić Swojemu Wku*wowi Pójść Na Marne? Wiedźmin, Gra o Tron - dr Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=q4AycNpVEQg
PG (Przemysław Górczyk)
KMM (Krzysztof M. Maj)

0:  PG - Jak wybuchła wojna w Ukrainie, to ja nie mogłem oglądać filmów wojennych.
192:  KMM - No i właśnie tam wykładam współczesną fantastykę w różnych mediach, uczę projektowania światów w grach wideo, prowadzę warsztaty, tutoringi ze studentami, seminaria dyplomowe.
202:  KMM - Tak to wygląda.
204:  PG - Krzysztof M. Maj już widziałem, bo wpisywałem sobie i mówię sobie Krzysztof Maj, klikam w Wikipedię i tak czytam tą Wikipedię i mówię, to nie jest ten Krzysztof.
213:  KMM - To dlatego, jeszcze był inny Krzysztof Maj i to był reżyser jednego z odcinków, albo producent, nie pamiętam, Wiedźmina, ale tego TVP Wiedźmina dawnego.
222:  KMM - I autentycznie zupełnie wprowadziłem sobie to M po to, żeby, i to było bardzo dawno temu jeszcze na studiach, żeby zwiększyć swoje SEO i być bardziej googlalnym, no bo stwierdziłem, że trochę nie ma sensu, jeżeli zaczynasz pisać teksty naukowe, żeby ludzie natrafiali na ludzi, którzy na przykład są politykami albo kimś innym, więc chodziło o to, żeby wprowadzić sobie taki awatar, jak to w grach się sprawdza.
244:  PG - Już wcześniej mi opowiadałeś, że na początku zajmowałeś się grafiką, dobrze rozumiem?
248:  KMM - Był taki moment, że miałem taki epizod graficzny.
250:  KMM - Wiesz, to jest wtedy, kiedy się studiuje, a ja studiowałem polonistykę, więc ludzie studiujący polonistykę dzielą się na dwie grupy.
258:  KMM - Nieprawdopodobnych optymistów, którzy uważają, że bez żadnego problemu znajdą zawód oraz tych, którzy dbają o to, żeby...
265:  KMM - jednak mieć jakiś zawód, w związku z powyższym starałem się możliwie dużo różnych rzeczy wypróbować, więc to były i zlecenia graficzne, prowadziłem przez jakiś czas, współprowadziłem w zasadzie fundację, która robiła konferencje naukowe i wydawała publikacje w otwartym dostępie, no dużo tego było.
280:  KMM - Byłeś samoukiem?
281:  KMM - Tak, tak, absolutnie.
282:  KMM - Praktycznie mogę powiedzieć śmiało, że wszystkie rzeczy, którymi się param trudnie, to są rzeczy, których się nauczyłem sam.
290:  KMM - Nawet jeżeli są to rzeczy, które były na studiach, to w większości przypadków to, co pozyskałem na studiach, to była klasyczna wiedza bezużyteczna.
298:  KMM - Natomiast cała reszta to są rzeczy, które przyswoiłem sobie samodzielnie i tego się w sumie nauczyłem już jak się przygotowywałem do studiów, wtedy kiedy się dowiedziałem, że będę mieć 20% z matury z polskiego, przeraziłem się, moi rodzice byli wzywani do szkoły, do drugiego LO w Krakowie.
314:  KMM - że dzieją się złe rzeczy, bo nie byłem w stanie przystosować swojego mózgu, który zawsze lubił myśleć poza pudełkiem, do testu zamkniętego, gdzie jeszcze bardzo rygorystycznie obowiązywał klucz odpowiedzi, nawet do zadań otwartych, więc stwierdziłem, dobra, pieprzyć to wszystko, przygotowuję się do olimpiady z języka polskiego.
333:  KMM - No bo akurat stwierdziłem, że to jest chyba to, co mogę robić najlepiej, najłatwiej, relatywnie.
337:  KMM - Miałem mało czasu, więc stwierdziłem, że idę właśnie w to.
341:  KMM - No i potem jak już zostałem finalistą olimpiady, to stwierdziłem, że opłaca mi się pójść, no właśnie, na ten konkretny kierunek, na który się dostałem, na który ta olimpiada dawała wstęp, bo byłem tylko finalistą, nie laureatem, więc to była polonistyka albo dziennikarstwo.
353:  KMM - No więc wyciężyła polonistyka.
355:  KMM - No ale wiesz, przez to, że miałem to doświadczenie wcześniej nauki samodzielnej przez dwa lata praktycznie...
361:  KMM - Nawet miałem taką sytuację, że dyrektor liceum jak zobaczył, że już raz byłem finalistą, to pozwolił mi zdawać eksternistycznie wszystkie przedmioty z ostatniej klasy maturalnej.
371:  KMM - I ja miałem w zasadzie rok do zagospodarowania na naukę własną, naukę domową, na edukację domową.
377:  KMM - Więc chodziłem do biblioteki i się uczyłem do olimpiady.
380:  KMM - I w zasadzie jak wylądowałem na pierwszym roku studiów,
383:  KMM - to ja już umiałem praktycznie wszystko, co ludzie dopiero mieli przed sobą, w związku z powyższym było mi troszeczkę łatwiej.
389:  KMM - I wtedy też nauczyłem się tego właśnie samouctwa i potem mi łatwiej przychodziło nawet skakać jak konik żachowy po różnych dyscyplinach i różnych zawodach i przyuczać się tego, czego dokładnie potrzebowałem w danym momencie.
403:  PG - Tak, trochę tak jest, że jak chodzisz do szkoły i uczysz się, przynajmniej tak było u mnie.
407:  PG - Ja chodziłem do technikum, gdzie przygotowali mnie właśnie pod DTP, czyli projektowanie pod druk.
411:  PG - I ja się tam uczyłem, pamiętam, Photoshopa, jakichś takich absolutnych podstaw.
416:  PG - I trochę się tam pouczyłem, trochę nauczyłem się mniej więcej, jak te programy działają.
419:  PG - I pamiętam, że później poszedłem sam w grafikę, ale właśnie nauczyłem się tego wszystkiego sam.
423:  PG - I tak jak zacząłem się tego uczyć sam, to tak obserwowałem to, czego się uczę i myślę sobie, kurde,
428:  PG - To, czego ja się tutaj nauczyłem, to jest mniej więcej taki obszar wiedzy, jakiego się nauczyłem przez te wszystkie lata w tym techniku.
434:  PG - To jest niesamowite po prostu.
436:  KMM - Tak, bo wiesz, też często ludzie mnie pytają, dlaczego zapamiętuję niektóre rzeczy, a innych nie, bo jestem znany z pamięci złotej rybki.
444:  KMM - I zawsze powtarzam, że ja zapamiętuję to, czym się interesuję, co mnie niesamowicie ciekawi.
449:  KMM - I potem dopiero poznałem z pogranicza neurodydaktyki pojęcie immersive learning, czyli nauczania imersyjnego.
456:  KMM - To jest ten moment, kiedy jesteś zanurzony w jakimś środowisku, w jakiejś dyscyplinie, dziedzinie wiedzy i zaczynasz chłonąć jak gąbka.
464:  KMM - Jak dziecko w zasadzie, które się uczy na przykład pierwszego swojego języka naturalnego.
468:  KMM - Też jesteś zanurzony w świecie.
470:  KMM - A potem tego drugiego języka obcego już się uczymy z fiszek, z podręczników gramatyk.
474:  KMM - Jakoś to nam nie idzie magicznie.
476:  KMM - I zaobserwowałem to u siebie i jak zaobserwowałem rzeczywiście, że to niesamowicie działa, to zacząłem to przeszczepiać na wszystkie inne możliwe dziedziny.
484:  KMM - Wtedy, kiedy wiedziałem, że się naprawdę muszę czegoś szybko nauczyć i efektywnie i rzeczywiście, żeby to była wiedza, która ze mną zostanie albo jakieś umiejętności, które ze mną zostaną.
493:  KMM - I wtedy starałem się wprowadzić właśnie w ten stan
496:  KMM - nauczania imersyjnego to jest ciężkie, no bo powiedzmy, załóżmy na przykład, że chcesz się nauczyć obróbki dźwięku, no więc opcja jest taka, że słuchasz sobie jakiegoś tutorialu, ale co ci broni posłuchać jakiegoś podcastu niezobowiązującego, gdzie ludzie rozmawiają o obróbce dźwięku, o inżynierii akustycznej,
512:  PG - I możesz to zrobić na siłowni.
514:  PG - I możesz to zrobić na siłowni.
515:  KMM - Otóż to.
515:  KMM - I jeszcze wtedy, jak człowiek pracuje, jak bawisz się na przykład, jak oddajesz jakiekolwiek rozrywce, to wtedy twój mózg chłonie.
523:  KMM - To jest niesamowite też.
525:  KMM - Myślę, że każdy może mieć to doświadczenie, jak grał kiedyś.
528:  KMM - Mój ulubiony przykład to są gry historyczne, nie?
530:  KMM - Że gramy sobie w taki Rome Total War na przykład i nagle zapamiętujemy różne randomowe fakty z zakresu wojskowości starorzymskiej.
538:  KMM - No i oczywiście to też mógłbyś powiedzieć, że to jest wiedza bezużyteczna, ale jakimś cudem tę wiedzę bezużyteczną pamiętamy czasem przez całe życie, a to, co wkute zostało z podręcznika historii... Tego już nie pamiętamy.
550:  KMM - Otóż to, albo z wademekum maturalnego, to jest też coś, z czym walczyłem strasznie, jak się przygotowywałem do jedynej matury, jaką pisałem, prócz angielskiego, czyli z historii, bo mój rocznik nie pisało z matematyki...
561:  KMM - To właśnie miałem wybór, albo w ademekum maturalnej kujesz wydarzenie, data, wydarzenie, data, albo przeczytaj kilka różnych książek i zdaj się na los, zapamiętasz te 20%, 10% może z każdej.
576:  KMM - I postawiłem właśnie na to drugie rozwiązanie i zdałem bez żadnego problemu maturę, bo i oczywiście najlepiej mi poszło w tym części rozprawkowej, gdzie mogłem się rozpisać i ja wtedy przypominałem sobie różne historie, które czytałem z tych podręczników historii akademickiej, bardzo często o wiele, wiele grubszych, bo tam jeden podręcznik to było 600 stron, a takie w Ademecku maturalne to jest ile?
595:  KMM - No dwieście.
596:  PG - Ale piszesz jeden fakt, od razu ci odpala drugi, odpala ci kolejny, odpala ci kolejny, jakby ta cała wiedza z powrotem do ciebie przychodzi, a tak jak czytasz te takie dziwne, proste pytania, to one niczego nie odpalają w twojej głowie.
606:  KMM - A my jesteśmy zwierzętami opowiadającymi sobie historie od zarania dziejów, więc szkoda po prostu tracić to.
612:  KMM - Jeżeli potrafimy się zanurzyć w takiej opowieści,
615:  KMM - Jeżeli cały czas tak działa na nas niesamowicie fikcja, nawet w czasach, w które są tak zinformatyzowane, że mamy bezpośredni dostęp do wiedzy i możemy przyswajać tyle faktów, ile chcemy, to jednak wciąż uwielbiamy słuchać fikcyjnych historii.
628:  KMM - Teraz w zasadzie w naszych czasach jest niesamowity boom na fikcyjne światy i wyobrażone światy.
634:  KMM - Firmy zarabiają na tym absolutne krocie, że potrzebujemy tej ucieczki do innej rzeczywistości, tego pozytywnego eskapizmu.
641:  KMM - Zawsze podkreślam, że to jest inny eskapizm niż ten, który polega na ucieczce od naszej rzeczywistości, od problemów.
647:  KMM - Nie, my po prostu chcemy czasem się przenieść do innego świata.
649:  PG - Ja oglądam w ten sposób seriale, ja nie gram w ogóle, więc tu będę miał trochę problem z rozmawianiem z tobą, ale poradzę sobie.
656:  PG - Natomiast seriale, jak oglądam seriale, to tylko seriale, gdzie właśnie po prostu to mnie wyrzuca w jakiś kompletnie inny świat.
662:  PG - Gra o tron, Harry Potter, Władca Pierścieni.
665:  PG - wiedźmin, to są rzeczy takie, które wiesz, oglądasz i możesz się po prostu odkleić od rzeczywistości, jakby zanurzyć się w kompletnie innym świecie.
671:  PG - A tak jak oglądasz coś takiego, jakiś dramat czy coś takiego, to jakby cały czas mam wrażenie, że jestem w tym samym świecie i nie daje mi to tego relaksu, takiego odcięcia się.
678:  KMM - Tak.
679:  KMM - Bardzo często jest też tak, że jak jesteś w tym fikcyjnym świecie, to nagle możesz natrafić na problemy, z którymi się zmagasz w naszej rzeczywistości, ale przez to, że dostajesz ten inny kontekst,
689:  KMM - to bardzo często inaczej to odbierasz.
690:  KMM - To oczywiście jest bardzo indywidualne, ale dla mnie potęga tych światów wyobrażonych polega na tym, że możesz wziąć Japończyka, Amerykanina, Maorysa, Inuitę i Polaka i oni w jednakowy sposób będą wyobcowani z tej rzeczywistości, którą zamieszkują i w jednakowy sposób zamieszkają tę rzeczywistość wyobrażoną, więc
710:  KMM - Im bardziej uniwersalny będzie to świat, no wiadomo, tam są jakieś różnice kulturowe, ale to się da przezwyciężyć, no tym to będzie skuteczniejsze też nie tylko jako narzędzie marketingowe, że możesz po prostu sprzedać to na różnych rynkach, ale będzie to też skuteczniejsze dla nas poznawczo, bo będziemy mogli nie zajmować się na przykład tymi rzeczami, które normalnie nas polaryzują, więc kwestie historyczne, polityczne bardzo często, aktualne, taka bieżączka, od której chcemy uciec,
736:  KMM - I nagle masz tę opowieść o rycerzach i smokach, która niby jest wyobrażona, wydumana i nic nam nie daje.
741:  PG - Ale podejmowanie decyzji, interakcje pomiędzy ludźmi to jest wszystko prawdziwe.
745:  PG - Jakieś archetypy, coś z czego możemy brać przykład, coś co nas inspiruje, albo coś czego nie lubimy, to dalej pozostaje takie samo.
751:  KMM - Tak, Michał Ostrowicki, profesor z Uniwersytetu Jagiellońskiego, z Wydziału Filozofii, który się zajmuje między innymi właśnie imersją, zanurzeniem, ukłuł takie zdanie, człowiek jest jeden, a światy są dwa lub więcej tych światów.
762:  KMM - Może mieć świat wirtualny, świat rzeczywisty, ale za każdym razem będzie to ten sam człowiek.
767:  KMM - Edward Castronowa też w takiej książce, którą bardzo lubię, Synthetic Worlds, Sztuczne Światy, mówi, że niezależnie od tego, czy jakiś świat będą zamieszkiwać smoki czy krakersy,
775:  KMM - to jeżeli wstawimy tam człowieka, to wstawimy go razem z jego ludzkimi problemami.
779:  KMM - I nieważne jest już ten anturaż, to otoczenie.
782:  KMM - Ważne jest właśnie to doświadczenie, o którym mówisz, które jest realne.
785:  PG - My nie jesteśmy w stanie... Zawsze takie samo.
787:  PG - Zawsze mamy ten sam mózg i ten mózg operuje w dokładnie ten sam sposób, niezależnie od tego, jakie bodźce dostajemy z zewnątrz.
792:  PG - Jakby dostosować się do nich i tak będziemy musieli w dokładnie ten sam sposób.
795:  PG - Absolutnie tak.
796:  PG - Ponadkulturowo, tak jak mówiłeś, Japończyk dostosuje się do tego dokładnie tak samo jak Polak.
801:  PG - Będzie umówił w innym języku, ale jakby reakcja, strach, podejmowanie decyzji, szybkość podejmowania decyzji, wszystko będzie dokładnie takie samo.
809:  KMM - Tolkien kiedyś to ćwiczył, jak usiłował tworzyć czarną mowę i zastanawiał się, w jaki sposób stworzyć język Morgotha, żeby brzmiał mrocznie i groźnie dla wszystkich kultur.
819:  KMM - I dlatego postawił na te dziwne zbitki spółgłoskowe, tak jak jest Aźnazg, Burbatul i tak dalej, to to Aźnazg brzmi jednakowo groźnie w wielu językach.
829:  KMM - A że Tolkien był profesorem lingwistyki na Oksfordzie i to specjalistą w językach starożytnych,
835:  KMM - no to umiał rzeczywiście wyczuć, które z tych zbitek głosek będą faktycznie dla wielu kultur europejskich groźne.
842:  KMM - Chociaż zwróćmy uwagę, że to działa właśnie w kręgu zachodnioeuropejskim, bo jak weźmiesz języki wschodnie, to to już niekoniecznie musi tak działać, prawda?
849:  KMM - Ale wciąż jesteśmy w stanie rzeczywiście uzyskać ten poziom uniwersalności.
853:  KMM - Ja też lubię takie zdanie, które często powtarzam z recenzji jednej z powieści Gaia Gavrila Kea, kanadyjskiego pisarza fantasy,
860:  KMM - Recenzja była napisana przez Douglasa Barbera, który powiedział, że najlepszy rodzaj ucieczki to jest taki, który sprowadza nas do domu, więc uciekamy niby od naszego świata do innej rzeczywistości, ale tak naprawdę znajdujemy się, tak jak Frodo, po całej swojej podróży w domu i orientujemy się, że nabyliśmy jakiegoś doświadczenia.
878:  KMM - w toku tej podróży, którego kompletnie się nie spodziewaliśmy.
881:  KMM - Dla mnie to zawsze było piękne i dlatego też ten mój opór zawsze budziło to, co mam wrażenie powoli mija, ale w latach 90 było bardzo silne jeszcze w Polsce, żeby traktować fantastykę jako taką sztukę pomniejszego gatunku.
895:  KMM - To się niestety dalej utrzymuje na niektórych polonistykach, na niektórych wydziałach kulturoznawstwa i tak dalej.
901:  KMM - Wciąż są jeszcze pewne opory starszych pokoleń zwłaszcza, żeby włączać całą literaturę do kanonu i też nie tylko literaturę, bo mówimy też o filmach, grach, to jest po prostu tak szeroki w tym momencie nurt, że wyjmowanie go z naszej kultury jest tak samo bezsensowne jak pomijanie tego, że są kryminały chociażby i że są popularne.
920:  PG - Tak, po drugie jest mnóstwo filmów, które nie będą fantastyką, ale są równie abstrakcyjne jak fantastyka, więc nie do końca wiem dlaczego mielibyśmy to rozróżniać.
927:  PG - Jeśli weźmiemy to w kategorii abstrakcja, to niektóre filmy, akcje też są abstrakcyjne, na przykład te Szybcy i Wściekli.
934:  KMM - No pewnie, albo Fight Club, idąc lewiej wyżej, tudzież Tarantino.
939:  KMM - Dla mnie było niesamowite, że na moim wydziale polonistyki, na którym się uczyłem na Uniwersytecie Hilońskim, z jednej strony mówiono dużo o postmodernizmie, na przykładzie prozy polskiej typu, nie wiem, Schudy, Filipiak i tak dalej, a równocześnie nic o Tarantino, równocześnie nic o właśnie Czaku Polaniku.
954:  KMM - I to mnie bardzo dziwiło.
955:  KMM - Dopiero musiałem pójść na jeden z wykładów, gdzie rzeczywiście to było bardziej umiędzynarodowione, ale mam wrażenie, że ludzie pomijają ten kontekst trochę
964:  KMM - postmodernizmu jako tego dużego nurtu, w którym chodziło o grę z konwencją.
969:  KMM - I moim zdaniem o wiele łatwiej jest nauczyć studenta czym jest gra z konwencją na filmografii Tarantino niż na prozie awangardowej polskiej, która po prostu może też być trudna w odbiorze.
982:  PG - I nikomu się nie będzie chciało tym interesować.
985:  PG - A Tarantino każdy zna.
986:  KMM - Dokładnie tak.
990:  PG - Co do tych języków, to sobie jeszcze przypominam, był bardzo fajny, taki groźny język w Dune'ie.
995:  PG - Na pewno oglądałeś.
997:  PG - Nie pamiętam, jak się nazywali ci źli, ale oni mieli zajebisty ten język.
1000:  KMM - A wiesz, że to zostało stworzone też na potrzeby filmów, w 100% praktycznie.
1004:  KMM - To jest niesamowite.
1006:  KMM - Jest cała gałąź, która się zajmuje tym.
1009:  KMM - nazwana ksenolingwistyką.
1011:  KMM - Między innymi Robert J. Peterson się zajmuje tym.
1016:  KMM - On stworzył język do traki dla gry o tron i stworzył też część języka wysokowaliriańskiego, czyli tego, którym się posługiwano w High Valyrian po angielsku i w Valyrii się nim posługiwano.
1029:  KMM - No i wiesz, można zadać podstawowe pytanie, po co to się robi, nie?
1032:  KMM - Znaczy, po co zatrudniasz gościa, który wymyśla sztuczny język, skoro mógłbyś po prostu mówić jakiś bełkot do mikrofonu.
1038:  PG - W elfickim Władcy Pierścieni podobno to był walijski język, albo przynajmniej podobny do walijskiego.
1044:  KMM - To była podstawa, tak.
1045:  KMM - Natomiast faktycznie na Tneikanwie została stworzona cała rodzina języków.
1049:  KMM - Właśnie też Peterson pisze o tym w tej swojej książce.
1051:  KMM - To jest książka The Art of Language Invention.
1056:  KMM - Sztuka wytwarzania języków sztucznych.
1058:  KMM - I mówi tam, że zasługą Tolkiena w zasadzie nie było tylko stworzenie kłenni chociażby, czyli tego języka elfickiego albo pisma Tengwar, ale całej rodziny języków.
1066:  KMM - I to jest niesamowite świadectwo mózgu Tolkiena, że on potrafił stworzyć
1071:  KMM - takie języki, które by pokazywały historyczną ewolucję wyrazów albo to, że w Kuenii i Sindarinie inaczej się nazywa różne albo te same zjawiska, tylko dlatego, że dwa szczepy elfów od siebie odeszły historycznie.
1085:  KMM - Zrobienie czegoś takiego jest nieprawdopodobnie trudne i musisz mieć gigantyczny bagaż, ale równocześnie
1091:  KMM - Znaczące jest, że my tego potrzebujemy z jakiegoś względu.
1095:  KMM - Potrzebujemy, żeby ten kapłan, jeżeli rzeczywiście odprawia jakiś rytuał, to mówił po łacinie albo w podobny sposób.
1100:  KMM - Czasami nawet na to nie zwracamy uwagi.
1102:  KMM - Mój ulubiony przykład jest z pogrzebu Padme Amidali w trzeciej części w Zemście Scytów.
1108:  KMM - Przepraszam za spojrzenie z pogrzebem Padme Amidali.
1111:  KMM - ale zakładam, że wszyscy znają już, no w każdym razie tam jest w wersji Upanishad z kolei wzięty, więc mamy Sanskrit i wiesz, zakładam, że ktokolwiek, kto będzie słuchał tej pieśni napisanej przez Johna Williamsa, no nie usłyszy, że to jest Sanskrit, ale równocześnie, jeżeli się w to czytasz, no to widzisz, że tam jest to drugie znaczenie, więc powiedzmy, że nasz mózg ewidentnie słyszy pewnego rodzaju prawidłowości syntaktyczne składniowe,
1140:  KMM - Ale niekoniecznie musisz wyczuwać od razu, że jest to dla ciebie zrozumiałe.
1145:  KMM - Prosty test, pojechać na przykład do Arabii Saudyjskiej i wsłuchiwać się w to, co ludzie będą mówić.
1151:  KMM - Nie będziesz słyszał bełkotu, ale będziesz słyszał pewne powtarzające się...
1155:  KMM - frazy, linie melodyczne, struktury zdaniowe.
1159:  PG - Wciąż nic nie rozumiejąc oczywiście.
1160:  KMM - Wciąż nic nie rozumiejąc.
1161:  PG - Ale będzie wiarygodne.
1163:  PG - Tak.
1164:  KMM - No i widzisz, o to chodzi w fantasy zawsze, żeby wytworzyć ten wiarygodny świat.
1168:  KMM - Wiesz, tu Gwiezdne Wojny to też jest świat fantasy wedle wszelkich prawidł gatunkowych, no bo to chodzi zawsze o wytworzenie tej wyobrażonej przeszłości.
1176:  KMM - Albo przyszłości.
1177:  KMM - Albo przyszłości.
1178:  KMM - Jak odrzucimy sobie ten sztafaż science fiction z tymi statkami, piu, piu, piu z laserowym, no to zostaje ci...
1185:  KMM - opowieść o rycerzach okrągłego stołu, którzy ratują księżniczkę.
1188:  PG - Tak, no i te filozoficzne Jedi, przecież to są takie typowo filozoficzne rzeczy, ale przeniesione w przyszłość z mieczami świetlnymi.
1198:  KMM - Tak, tak.
1199:  KMM - A wszystko się zaczyna od tego zdania dawno, dawno temu w odległej galaktyce.
1203:  KMM - Mamy taki piękny miszmasz, ale i w jednym, i w drugim, i w trzecim przypadku będziesz miał ten nacisk na tworzenie świata wiarygodnego, a dla nas wiarygodny świat, no czym się będzie objawiał?
1213:  KMM - No musisz mieć język,
1215:  KMM - Musi mieć czas jakiś, to jest coś, o czym się często zapomina.
1218:  KMM - Właśnie w Gwiezdnych Wojnach George Lucas miał tą ideę, used universe, zużytego wszechświata, więc masz tę zbroję szturmowca, ale ona jest na przykład ubłocona.
1227:  PG - To jest super, to jest po prostu piękne.
1229:  PG - Widziałeś, że nowe logo Twittera X też jest zepsute?
1234:  KMM - Słyszałem, że Twitter w ogóle jest teraz zepsuty.
1237:  KMM - Logo to coś więcej jeszcze.
1239:  PG - Ale to jest coś, czego wcześniej nie było.
1240:  PG - Na początku była X na czarnym tle, w tym momencie jest X na takim, to wygląda trochę jak taki czarny marmur z takimi białymi pęknięciami.
1248:  PG - Więc mam wrażenie, że to jest użycie właśnie dokładnie tego samego konceptu, co w Gwiezdnych Wojnach.
1252:  PG - Ewidentnie.
1253:  KMM - W każdym razie my potrzebujemy tego czasu, prawda?
1256:  KMM - No i co potrzebujesz jeszcze oprócz czasu i miejsca?
1259:  KMM - Wiedzę jakąś, o świecie, historię?
1261:  KMM - Więc dlatego wstawiamy różnego rodzaju encyklopedie.
1264:  KMM - Wywołałeś Sardaukarów i Dune, jest coś takiego jak encyklopedia Duny, 800 stron, z przypisami, z bibliografią, wszystko wymyślone.
1273:  KMM - Niesamowite absolutnie.
1274:  KMM - Natomiast na przykład definicja balisety tego instrumentu, na którym gra, o Boże i teraz zapomniałem nazwiska postaci, wiedziałem, że się tak to skończy.
1282:  KMM - A równocześnie, wiesz, w tym haśle masz wspomniane, że jest jakiś festiwal na planecie, właśnie muzyki, tylko to są tak jakby trivia, kompletnie nieistotne, ale jednak nasz mózg się cieszy, widząc, a, ten świat istnieje, bo ma swoją encyklopedię.
1294:  PG - I w jakiś sposób odpowiada naszemu światowi, że rozumiemy, co tam się dzieje, pomimo, że to jest inny świat, to jakby to jest jakieś takie wydarzenie, ludzie stoją w takich rzędach, to jest jakaś ceremonia i jest to dla nas zrozumiałe wciąż.
1304:  KMM - Tak, bo też masz tam wzięty cały ten ceremoniał, który jest u atrydów, jest takim miksem z jednej strony tradycji helleńskiej, trochę Agamemnona tam jest, a z drugiej strony masz dudy, które odwołują się do tradycji szkockiej, więc jest taki miszmasz, ale rozpoznajesz różnego rodzaju sygnały i mózg się cieszy widząc znajome rzeczy, a równocześnie nie masz takiego poczucia, że to jest kopia 1 do 1.
1330:  KMM - Więc tego rodzaju światotwórstwo też Tolkien opisywał.
1333:  KMM - Mówił wprost, że trudno jest tworzyć nowy liść.
1337:  KMM - Po co?
1338:  KMM - Więc o wiele lepiej jest pomyśleć, co będzie w tym listowiu sobie mieszkało.
1341:  KMM - Może to będą właśnie elfowie chociażby.
