Co Dalej z Mobbingiem na UAM? | Prof. dr hab. Robert Kmieciak, Krzysztof M Maj | Magazyn Reporterów
🔗 https://www.youtube.com/watch?v=LEV3IAP-9lw
RK (Prof. dr hab. Robert Kmieciak)
SM (Szymon Majchrzak)
KMM (Krzysztof M. Maj)

270:  S03 - Dzisiaj karbary są ściekiem komunikacyjnym.
395:  SM - Moim, ale przede wszystkim waszym, tych, którzy zdobyli się na odwagę i podzielili się doświadczeniami, gościem będzie profesor Robert Kmieciak.
404:  SM - Program przygotowaliśmy wspólnie z Marią Lewandowską i Adamem Kaźmierczakiem.
409:  SM - Realizuje go Szymon Dopierała, a za transmisję na kanale YouTube odpowiada Kamil Stróżyński i Mikołaj Pluciński.
416:  SM - Szymon Majchrzak, zapraszam.
548:  S01 - więc on nie wie, czy powód był ważny.
550:  S01 - Za którymś razem, jak byłam chora i strasznie kasłałam na zajęciach, to prowadząca lekko na mnie naskoczyła, że dlaczego ja nie poszłam do lekarza i jestem tutaj, na co zapytałam, czy w takim razie możemy mieć jakieś nieobecności i wtedy już nic nie powiedziała.
562:  S01 - Potem powiedziała, żebym poszła do lekarza, a ona mi tej nieobecności po prostu nie wpisze.
567:  SM - Ale choroba to nie jedyny powód, dla którego studenci uzasadnienie mogą nie pojawić się na uczelni.
573:  S01 - Po tym, jak tata zadzwonił, że zmarła osoba z mojej rodziny, moją pierwszą myślą było, co ja teraz zrobię ze studiami, bo wiedziałam, że nie mogę mieć nieobecności.
581:  S01 - Jednocześnie okazało się, że inny członek mojej rodziny jest w tym samym czasie diagnozowany pod kątem śmiertelnej choroby i istniała możliwość, że będę musiała wrócić do domu, żeby pomóc rodzinie.
590:  S01 - Kiedy poszłam do dziekanatu, usłyszałam, że wydział nie ma procedur na takie sytuacje.
594:  S01 - ale w drodze wyjątku będzie mi udzielony krótki urlop, który jest normalnie przeznaczony dla osób wyjeżdżających na konferencje.
600:  S01 - Wtedy byłam wybitnie wdzięczna za taką możliwość.
602:  S01 - Teraz myślę sobie, jakie to było uwłaczające, że musiałam opowiadać o wszystkich rodzinnych problemach i błagać o coś takiego.
608:  S01 - Jednocześnie, ponieważ na Wołanie wszyscy respektowali zwolnienia lekarskie, nie mogłam po prostu iść do psychiatry i poprosić o dwutygodniowe zwolnienie ze względu na zły stan psychiczny.
617:  SM - Nasza słuchaczka opowiedziała też swoje wspomnienia samej nauki i egzaminów.
621:  SM - Posłuchaj, czego doświadczyła studiując na Wydziale Anglistyki.
625:  S01 - Przez to, że warunek z PNJTA to był tak naprawdę warunek z pięciu przedmiotów, bo jak nie zaliczało się jednego komponentu, to cały przedmiot był niezaliczony, to mieliśmy wrażenie, że to się opłaca, żeby nas oblewać.
636:  S01 - Ciężko było uzyskać konkretny feedback po oblanym egzaminie.
638:  S01 - Były konflikty.
639:  S01 - misje, przy których się wiedziało, że się obleje.
641:  S01 - Dużo ludzi wychodziło z egzaminów ustnych z płaczem i to nawet nie dlatego, że nie zdali, ale na przykład usłyszeli od egzaminatorów, że poziom, który reprezentują po roku nauki jest absolutnie niewystarczający.
651:  S01 - Ja na przykład na poprawce usłyszałam no, pani Kasiu, poprawiła pani wymowę, gramatyka świetna, słownictwo też poprawione, no ale nie zdaje pani.
659:  SM - To, co konsternuje bardziej niż relacje studentów wydziału, to fakt, że o nadużyciach ze strony pracowników uczelni zaczynają opowiadać uczący się też w innych jednostkach Uniwersytetu im.
670:  SM - Adama Mickiewicza, np.
673:  SM - na Wydziale Chemii.
674:  S02 - Na Wydziale Chemii po jednym z egzaminów mieliśmy coś takiego, że razem z wykładowcą indywidualnie ten egzamin potem omawialiśmy i jednocześnie było takie podsumowanie ocen z ćwiczeń i z laboratoriów.
689:  S02 - Podczas właśnie takiej rozmowy z profesorem usłyszałam, że skoro mam taką, a nie inną ocenę z laboratoriów, oznacza to, że dobrze umiem robić rączką.
703:  S02 - Drugą dziwną rzeczą, która na wydziale mnie spotkała, była obrona prac magisterskich, do której podchodziłam z jedną koleżanką.
712:  S02 - W czasie przygotowywania się do obrony usłyszeliśmy od
717:  S02 - opiekunki, bo nie bezpośrednio od promotora, że powinniśmy przygotować poczęstunek dla całej komisji egzaminacyjnej i osób zaangażowanych w tworzenie naszej pracy magisterskiej.
730:  S02 - To łącznie było 5 osób.
733:  S02 - Usłyszałyśmy, że powinna być zorganizowana kawa, ciasto, ciepłe napoje, jakieś przekąski i jednocześnie fajnie byłoby kupić
743:  S02 - Prezenty dla promotora, dla przewodniczącego, dla opiekunów, czyli znowu dla pięciu osób przez dwie studentki, które nie są z Poznania i muszą się same w tym mieście utrzymywać.
757:  S02 - Muzyka
765:  SM - Jesteśmy przekonani, że liczba relacji, komentarzy i wysłanych nam osobistych historii po publikacji ostatnich materiałów pokazuje, że nękanie studentów na Wydziale Anglistyki, ale jak słyszeliśmy nie tylko, to nie pojedyncze przypadki i zbyt ogólne oraz trudne do zidentyfikowania doniesienia, jak parafrazując określiła je nie tak dawno, bo w czerwcu, rzeczniczka prasowa UAM.
792:  SM - To przejawy systemowego problemu ze zgłaszaniem mobbingu i egzekwowania konsekwencji wobec pracowników, toteż niedawno w swoim artykule starała się udowodnić Maria Lewandowska.
803:  SM - O słuszność tej diagnozy oraz o sytuację na Wydziale Anglistyki zapytam za moment Rzecznika Praw i Wolności Akademickich, a więc osobę odpowiedzialną m.in.
813:  SM - za działania antydyskryminacyjne i antymobbingowe.
817:  SM - W celu poniżenie lub ośmieszenie studenta, izolowanie lub wyeliminowanie zespołu współpracowników.
824:  SM - W styczniu 2022 roku grupa badaczek z Uniwersytetu im.
829:  SM - Adama Mickiewicza opublikowała raport z monitoringu warunków pracy i równego traktowania na uczelni.
835:  SM - W jednym z rozdziałów, czytam, przed pandemią mobbingu i lub molestowania doświadczyło 22% ankietowanych.
843:  SM - Niedługo potem powstało najpierw stanowisko pełnomocnika rektora do spraw równego traktowania i
849:  SM - Później przekształcone na Rzecznika Praw i Wolności Akademickich.
854:  SM - Powstał też dokument Polityka Równościowa i Antydyskryminacyjna Uniwersytetu im.
859:  SM - Adama Mickiewicza w Poznaniu.
860:  SM - Bardzo ważny dokument, o nim jeszcze dzisiaj na pewno powiemy.
864:  SM - Ale na początku, powiedzmy może w jakich okolicznościach, jak to się stało, że to stanowisko powstało i na czym polega Pana praca?
875:  RK - Jak pan redaktor już wspomniał, pierwsze działania mające na celu przeciwdziałanie dyskryminacji mobbingowi w murach naszego uniwersytetu podjęliśmy jeszcze w 2016 roku, a dokładnie 30 listopada.
894:  RK - 2016 roku zostało wydane zarządzenie rektora w sprawie przeciwdziałania praktykom dyskryminacyjnym WAM.
902:  RK - To było zarządzenie wydane jeszcze przez poprzedniego rektora, pana profesora Andrzeja Lesickiego.
907:  RK - No i na mocy tego zarządzenia powołano komisję do spraw przeciwdziałania dyskryminacji i pełnomocnika do spraw równego dyskryminacji.
916:  RK - traktowania.
917:  RK - Ja zostałem wyróżniony.
920:  RK - Nie wątpliwie to był wielki zaszczyt, że mogłem rozpocząć pracę właśnie w tej sferze.
929:  RK - I od początku staraliśmy się podejmować działania zwalczając te wszystkie patologiczne zjawiska, które opisane są choćby w dokumencie, o którym pan redaktor wspomniał.
942:  RK - Między innymi działania mające na celu zwalczanie
946:  RK - mobbingu, ale oczywiście to jest długi proces, powiedzmy sobie szczerze, że to wymaga czasu.
953:  RK - My oczywiście organizowaliśmy konferencje, seminaria, ukazywały się też publikacje, które są w formie elektronicznej dostępne na stronie naszej antydyskryminacyjnej Uniwersytet bez dyskryminacji.
966:  RK - Także staraliśmy się, powiedziałbym systemowo, przeciwdziałać tego typu zjawiskom.
975:  RK - W 2022 roku ta polityka została częściowo zmodyfikowana.
980:  RK - My oczywiście nawiązywaliśmy naszych dobrych praktyk wcześniejszych, ale uznaliśmy, że jednak system wymaga poprawy.
988:  RK - No i rzeczywiście wtedy wiosną 2022 roku został poddany...
994:  RK - pod dyskusję, właściwie ten dokument był konsultowany przez środowisko akademickie, projekt polityki równościowej i antydyskryminacyjnej.
1004:  RK - To była naprawdę duża dyskusja.
1005:  RK - Tak, to była duża dyskusja.
1007:  SM - Sporo też odwagi ze strony Uniwersytetu kosztowało z pewnością to, żeby taki dokument wprowadzić w życie.
1013:  RK - Tak, byliśmy, trzeba powiedzieć, atakowani również i to także biorąc pod uwagę środowiska poza uniwersyteckie.
1022:  RK - To był trudny czas, powiedzmy sobie szczerze, dla nas, a myślę, że najbardziej dla pani rektor, pani profesor Bogumiły Kaniewskiej, która czasami była bardzo agresywnie, personalnie atakowana za działania, jakie w tym obszarze staraliśmy się podejmować.
1037:  RK - Tak czy inaczej, po tym okresie konsultacji, a też sporo cennych uwag uwzględniliśmy w tym ostatecznym spotkaniu,
1045:  RK - Został on zaakceptowany przez Senat i opublikowany w formie zarządzenia 6 czerwca 2022 roku.
1053:  SM - Wtedy też powstało stanowisko pana rzecznika, wcześniej pełnomocnika.
1060:  SM - Ta zmiana nazwy to już są kulisy, zostawmy, może nie wchodźmy, bo tutaj będzie...
1065:  RK - To nie jest wyłącznie zmiana nomenklaturowa, bowiem, pewno jak pan doskonale wie, panie redaktorze, ten system został rozbudowany.
1075:  RK - Między nimi powołano konsultantów, specjalistów, którzy zajmują się wybranymi dziedzinami.
1081:  RK - W tej chwili ja na przykład blisko współpracuję z czterema konsultatami do spraw właśnie przeciwdziałania mobbingowi, do spraw przeciwdziałania molestowaniu seksualnemu, do spraw z obcokrajowców i do spraw osób LGBT+.
1094:  RK - plus.
1094:  RK - Także ten system się rozszerzy.
1095:  SM - Te komisje też są niezbędne do, powiedzmy, przy orzekaniu w różnych sprawach.
1100:  SM - One opiniują, biorą udział w tym postępowaniu.
1103:  SM - Ja nie bez powodu chciałem zacząć od tego, w jaki sposób powstało stanowisko pana rzecznika, bo zastanawiam się, czy przy tej okazji został rozpisany jakiś konkurs na to stanowisko.
1115:  SM - Czy to była rywalizacja na zasadzie... Nie, nie, nie.
1118:  RK - Tu żadnych wyborów nie przeprowadzono.
1121:  RK - Konkursu piękności, jak widać, zresztą też nie.
1124:  SM - No tak, mnie to zastanawia, panie profesorze.
1127:  RK - Zostałem powołany na to stanowisko przez panią rektor, ale po zaopiniowaniu przez Senat.
1131:  SM - To jak rozumiem w efekcie tego doświadczenia zgromadzonego jako przewodniczący tej komisji, która jeszcze powstała w 2016 roku.
1137:  RK - Nie wypada mi mówić tutaj o swoich osiągnięciach czy zalecach.
1141:  RK - Być może dostrzeżone zostało to, że jakiś kawał dobrej pracy został wykonany wcześniej.
1146:  RK - Dlatego też kontynuuję to działanie.
1147:  SM - No choć należałoby się przy okazji tej dobrej pracy z całym szacunkiem oczywiście panie profesorze zastanowić, no bo jednak efekty tego raportu o monitoringu pokazują, że to jest jedna piąta pracowników, która doświadczyła mobbingu, jeżeli przyjmiemy to za próbę.
1164:  SM - Ja dlaczego zadałem pytanie o ten konkurs?
1166:  SM - No bo spoglądam sobie na monografie, artykuły w czasopismach, czy chociażby w pracach pod redakcją pana profesora.
1174:  SM - No i nie da się ukryć, pan profesor jest wyjątkowym specjalistą w zakresu chociażby samorządów, no ale w tej pracy badawczej próżno tu przynajmniej w tym, co jest dostępne na stronie UAM-u znaleźć mi sprawy związanych chociażby z równouprawnieniem.
1188:  SM - czy sprawami mobbingowymi, czy taką problematyką badawczą, którą pan profesor by się zajmował.
1193:  RK - Dlatego też nie prowadzę tej działalności jednoosobowo, ale tak jak już podkreśliłem przed momentem, funkcjonujemy w ramach, moim zdaniem, bardzo spójnego systemu, w który zaangażowane są osoby, specjaliści z różnych obszarów.
1208:  RK - Także moim zadaniem, moją rolą jest koordynowanie tej działalności.
1215:  SM - No i tu z pewnością przydaje się ta wiedza o samorządach zawodowych, którą pan profesor posiada.
1220:  RK - Tak, tam kwestie dotyczące etyki wykonywania zawodu są również niezwykle istotne.
1225:  RK - Bardzo się cieszę, że pan redaktor tak dogłębnie zbadał mój dorobek naukowy.
1229:  SM - Przejdźmy może do kolejnego wątku, bo ten też mam wrażenie niezwykle ważny.
1234:  SM - Jakie działania od tego 2022 roku, od stycznia, a więc od publikacji tego raportu, którym ja się jednak będę posługiwał, bo to jest niezwykle wymierne, liczbowe źródło informacji na temat tego, o jakiej skali problemu my mówimy, zostały podjęte, żeby zatroszczyć się o to, co tam zostało pokazane.
1254:  SM - Czyli chociażby tę jedną piątą pracowników ankietowanych, która skarży się na mobbing.
1259:  RK - Ale ja się bardzo cieszę, że pan redaktor się powołuje na ten raport, bowiem my byliśmy również zaangażowani w przygotowanie tego dokumentu.
1266:  RK - To jest świetne dzieło grupy pracowników naukowych naszego Uniwersytetu, ale chciałem to wyraźnie podkreślić, przy pełnym wsparciu.
1278:  RK - uniwersytetu.
1279:  RK - Ja myślę, że to jest rzecz ważna i to trzeba dopowiedzieć, że my przeprowadzimy tego typu badania i nie zamiatamy tego pod dywan, prawda?
1289:  RK - Nie zachowujemy tego dla siebie, dla polskich gremiów.
1291:  RK - Przekazujemy to także opinii publicznej, otoczeniu społecznemu, dziennikarzom, bowiem zdajemy sobie sprawę z tego, że problem istnieje, tak?
1301:  RK - Natomiast najważniejszą kwestią jest
1303:  RK - zdefiniowania tego problemu i podjęcie działań mających na celu przeciwstawienie się tego typu zachowaniom.
1308:  SM - I o te działania pytam, panie profesorze.
1310:  RK - Tak.
1312:  RK - W tym roku, rozumiem, kalendarzowym.
1314:  SM - Od stycznia 2022 roku.
1315:  SM - Co zostało zrobione, żeby tę jedną piątą pracowników, która skarży się na mobbing, ale też studentów, słyszeliśmy przed momentem szereg relacji dotyczących chociażby Wydziału Anglistyki, żeby ten problem zminimalizować, żeby...
1328:  SM - Dowiedzieć się na przykład jaka jest skala problemu po roku państwa działań.
1332:  SM - Bo ja powołuję się na ten raport nie bez powodu.
1336:  SM - Po prostu bardziej aktualnych danych nie znalazłem.
1341:  RK - Tak, no chciałem zapowiedzieć, że być może już niedługo ukaże się kolejny raport z badań dotyczących kwestii molestowania seksualnego w społeczności akademickiej OM.
1353:  RK - Także potwierdzam raz jeszcze, my nie boimy się problemów, tak?
1357:  RK - My je chcemy zdefiniować, no i podjąć działania mające na celu przeciwstawianie się tego typu
1366:  RK - zachowaniem.
1367:  RK - Natomiast co do działań, jakie zostały podjęte w ciągu ostatnich miesięcy, no to przede wszystkim skoncentrowaliśmy się na budowaniu takiej świadomości antydyskryminacyjnej.
1377:  RK - Mówiąc prost, organizujemy szkolenia antydyskryminacyjne dla
1384:  RK - doktorantów, pracowników.
1386:  RK - Myślimy także o studentach, ale to jest najliczniejsza grupa, w związku z tym to wymaga takiego przemyślenia, w jaki sposób to zorganizować.
1396:  RK - Odbyły się wiosną tego roku trzy szkolenia.
1399:  RK - Pierwsze adresowane do doktorantów,
1403:  RK - drugie do kadry zarządzającej, do kadry naukowej osób pierwstujących funkcje kierownicze i trzecie skierowane do osób kierujących administrację.
1414:  RK - Natomiast za półtora tygodnia, 8 grudnia, odbędzie się kolejne dla pracowników administracyjnych naszego Uniwersytetu, dla tych, którzy chcieli w tego typu szkoleniu uczestniczyć.
1429:  RK - Chciałem wyraźnie to powiedzieć.
1431:  RK - Wiemy, że problem...
1435:  RK - pewno jest, na jaką skalę on się tutaj nam przejawia, objawia.
1443:  RK - Trudno w tej chwili to zdefiniować.
1444:  SM - Właśnie, to mam wrażenie jest bardzo duży problem, który pan profesor sam zauważył.
1450:  SM - Ja tylko przyklasnę, bo to chciałem zrobić wtrącając się w słowo.
1454:  SM - To, co pan profesor wymienił, doskonale wpisuje się w rekomendacje, które w tym raporcie też zostały.
1459:  SM - ale nie we wszystkie, bo czytam w pierwszym punkcie, przygotować i zrealizować rzetelne badania na temat występowania zachowań negatywnych, niepożądanych, przemocowych.
1469:  SM - W tym raporcie też pada zdanie o tym, że to, co zostało w nim przedstawione, to są statystyki niedoszacowane, a faktyczna skala zjawiska może być zdecydowanie większa.
1477:  SM - Minęły prawie dwa lata, panie profesorze, i pan profesor sam przyznał, że państwo nie wiecie, jaka jest ta skala.
1485:  RK - No tak, natomiast chciałem też wyraźnie powiedzieć, że ten kontekst, który się pojawił i dzisiaj, i w materiale, który państwo już się prezentowali, dotyczący jakiejś sytuacji patologicznej na Wydziale Anglistyki.
1499:  RK - Do tego jeszcze przejdziemy, ale bardzo proszę.
1501:  RK - Panie redaktorze, to jest jednak moim zdaniem teza na wyrost.
1507:  RK - My póki co nie dysponujemy żadnymi materiałami wymiernymi, które potwierdziłyby wszystkie te słowa, które
1515:  RK - które zostały na przykład w internecie przedstawione.
1520:  SM - Okej, to był wątek, który zakończyliśmy stwierdzeniem, że państwo nie macie danych informujących o tym, jaka byłaby teraz skala zjawiska, a do Wydziału Anglistyki, pan profesor, przejdziemy.
1530:  SM - Umówiliśmy się na pewną kolejność tych wątków, więc wolałbym się tego trzymać.
1534:  RK - To nie tak, pan wyciąga zbyt daleko idące wnioski.
1538:  RK - Pan profesor sam przyznał przed momentem, że ta skala jest trudna do zidentyfikowania.
1543:  RK - Mówiłem przed momentem, jako, nie wiem, czy ktośkolwiek jeszcze na uczelniach w poznańskich tego typu obiadania przeprowadza.
1552:  RK - Pan oczekuje, że będziemy co dwa miesiące aktualizować informacje z tego zakresu?
1556:  RK - Jeden raport, bardzo poważny.
1558:  RK - Na który pan się zresztą, z czego się bardzo cieszę, powołuje.
1561:  RK - Drugi dotyczący, to było bardzo poważne wyzwanie w sytuacjach też molestowania seksualnego WM.
1566:  RK - To są bardzo poważne przedsięwzięcia.
1568:  RK - Tak więc nie zgodzę się absolutnie z tezą, że my nie wiemy, lekceważymy jakieś zjawiska.
1575:  RK - Absolutnie nie.
1576:  RK - Absolutnie nie.
1578:  SM - Przejdźmy do kolejnego wątku.
1580:  SM - Chciałem zapytać pana profesora, jak pan ocenia sprawność sposobu zgłaszania problemów przez studentów za pośrednictwem m.in.
1589:  SM - ankiet w USOS-ie, no bo to jest taka najprostsza, najbardziej dostępna dla każdego studenta.
1594:  SM - Ja tylko dopowiem dla tych, którzy może nie wiedzą, czym jest system USOS i nie kojarzą, jak to działa.
1599:  SM - Każdy student po zakończeniu semestru, po zakończeniu przedmiotu może wypełnić taką ankietę, która pozwala mu ocenić chociażby to, czy przedmiot został przedstawiony należycie, czy był zgodny z sylabusem, czy został oceniony tak, jak powinien zostać oceniony.
1618:  SM - Bo zastanawiam się w odniesieniu też do tego, o czym my pytaliśmy.
1621:  SM - Czy to faktycznie jest wymierne?
1623:  SM - Czy studenci mają do dyspozycji, może też, jeżeli nie, inne sposoby zgłaszania nękania, czy innych takich patologicznych form?
1632:  RK - A czy jest jakiś lepszy system?
1633:  RK - Można się na tym zastanowić.
1635:  RK - Anonimowe ankiety, wydaje mi się, że jest to rozwiązanie optymalne, być może niedoskonałe, ale wydaje mi się, że rozwiązanie optymalne
1647:  RK - I co do tego nie mam wątpliwości.
1650:  RK - Natomiast chciałem też powiedzieć, to wynika z procedury, która jest zawarta w polityce równościowej, antylibiskracyjnej, administracyjnej, że studenci, wszyscy pracownicy, wszyscy związani, wszystkie osoby związane z naszym uniwersytetem, mogą zgłaszać nieprawidłowości.
1666:  RK - Mogą zgłaszać do komisji.
1669:  RK - To jest bardzo jasna droga.
1670:  RK - Tak jest.
1671:  RK - Bezpośrednio do mnie.
1672:  RK - Na stronie jest podany mój numer telefonu, adres mailowy.
1679:  RK - Nie ma żadnych przeszkód, żeby nawet dzisiaj po programie napisać do mnie wnioski.
1684:  RK - I szczerze do tego zachęcamy?
1686:  RK - Zdecydowanie.
1687:  RK - Zdecydowanie, bowiem jedynie na tej podstawie możemy ocenić skalę problemu.
1694:  RK - Ja wracam do tej kwestii, którą poruszyłem kilka minut temu.
1702:  RK - Oczywiście nie lekceważymy takich sygnałów jak te, które państwo żeście zebrali, jakie zostały publikowane w materiale pani redaktor Lewandowskiej.
1711:  RK - Natomiast doskonale państwo wiecie, jako osoby znakomicie poruszające się w mediach także społecznościowych, że to nie jest wymierny materiał dla nas.
1720:  RK - Ja mogę podjąć działania w momencie, kiedy wpłynie do mnie konkretna skarga, tak?
1725:  RK - Słyszę, że profesor wypowiada się w jakiś tam sposób naruszający godność.
1733:  RK - Jeżeli taka sytuacja miała miejsce, to chciałem to wyraźnie powiedzieć.
1736:  RK - Jest to sytuacja nie do zaakceptowania, tak?
1739:  RK - I tylko ja muszę po prostu...
1742:  RK - Muszę wiedzieć, że coś takiego się wydarzyło.
1744:  RK - Muszę mieć konkretny wniosek od studentów, od grupy studentów albo od pracowników, żebym mógł na tej podstawie podjąć działania, a chciałem to tutaj publicznie zadeklarować, że nie zdarzyło się, abym jakikolwiek tego typu sygnał zlekceważył.
1759:  RK - Także to jest najlepsze rozwiązanie.
1761:  RK - To jest najlepsza droga moim zdaniem.
1762:  SM - I ja jeszcze raz to powiem.
1764:  SM - Wspólnie zachęcamy do tego, żeby takie sytuacje zgłaszać.
1768:  SM - Nie w social mediach, nie w opiniach Google, tylko właśnie między innymi przez stronę bezdyskryminacji.amu.edu.pl.
1776:  SM - Tylko, widzi pan profesor, ja się zastanawiam trochę nad tym, z jakiego powodu studenci tak licznie decydują się na przesyłanie tych historii do nas, publikowanie ich w komentarzach, również w social mediach, ale wciąż pod nazwiskiem, czy chociażby w opiniach Google.
1792:  SM - a nie decydują się na to, żeby napisać o tym, na przykład w tych anonimowych ankietach.
1797:  SM - I tu przejdę do kolejnego wątku, który mam wrażenie, że jest bardzo w tej sprawie istotny.
1801:  RK - Tylko, panie redaktorze, zanim przejdziemy do kolejnego wątku, a propos ankiet, tak, no bo... W ankietach albo do pana profesora bezpośrednio.
1814:  RK - Wydział Anglistyki jest w tych ankietach wysoko oceniony.
1817:  RK - Tam jest średnia 4,7.
1817:  RK - To jest bardzo wysoka średnia.
1821:  RK - Tak, tak.
1822:  RK - Nie możemy tego lekceważyć.
1823:  RK - Nie możemy tego lekceważyć.
1826:  RK - I tu się odwołujemy jednak do konkretów.
1828:  RK - Ja namawiam do tego... To ja się też odwołam do konkretów, panie profesorze.
1831:  SM - Bardzo proszę.
1832:  SM - Bo w naszym reportażu jeden z prowadzących mówi tak.
1836:  SM - Zidentyfikowanie autorów wpisów z ankiet anonimowych często nie jest trudnym zadaniem.
1841:  SM - Informacje te potwierdza...
1843:  SM - Także inna wykładowczyni z UAM, która zgodziła się porozmawiać z Marią Lewandowską.
1848:  SM - Również podkreśla to sam wiceprzewodniczący Rady Samorządu Studentów Wydziału Anglistyki z kadencji 2022-2023.
1856:  SM - To są wszystko cytaty z naszego reportażu.
1858:  SM - Zachęcam do zerknięcia radioafera.com.pl.
1863:  SM - Aleksy Fijałkowski powiedział tak.
1865:  SM - W przeszłości na uczelni dochodziło do sytuacji, w których prowadzący wyciągali konsekwencje z negatywnych ocen, jakie studenci zamieszczali w usosowych ankietach.
1873:  SM - Być może dlatego w tych ankietach Wydział Anglistyki wypada tak dobrze.
1879:  RK - Jak mam się do tego odnieść?
1881:  RK - Bo tutaj trochę zaczynam się obraczać w sferze jakiejś takiej trochę insynuacji.
1886:  RK - Ja jestem oceniany... Pytanie, czy państwo dostrzegają problem?
1889:  RK - Nie wiem, jak długo już te badania ketowe trwają.
1891:  RK - Tak jestem oceniany jako wykładowca i przyznam szczerze, że nigdy mi do głowy nie przyszło, żeby sprawdzać,
1897:  RK - kto, jaki student, jaką opinię na mój temat zamieścił.
1902:  RK - Bardzo mnie to cieszy, panie profesorze.
1904:  RK - Też bym oczekiwał na przykład od pana przewodniczącego samorządu, żeby wskazał, no to w jaki sposób profesorowie identyfikują studentów, którzy zamieszczają negatywną opinię, no bo to jest dla mnie niezwykle intrygujące.
1920:  SM - To ja może znów odwołam się do raportu, który już cytowaliśmy.
1925:  SM - Tam również padają zdania o tym, że niestety, ale duża część obawia się przekazywania kolejnymi kanałami informacji właśnie do oficjalnych władz uczelni.
1940:  SM - Niestety, panie profesorze, ale to również zostało zauważone przez osoby, które...
1945:  SM - Badały sytuacje na UAM i to już nie tylko studentów, ale profesorów i profesorki pod nazwiskami.
1953:  SM - To również jest zauważone w badaniach naukowych, które mam przed sobą, a które mogę przytaczać, choć to są oczywiście badania angielskojęzyczne.
1962:  SM - Tam można przeczytać o tym, że taki anonimowy system ankiet nie sprzyja temu, żeby przekazywać negatywne oceny, bo potem na nie reagują nie najlepiej prowadzący.
1972:  SM - My też dotarliśmy do tego, jaki jest widok w systemie USOS z punktu widzenia wykładowcy.
1978:  SM - Oni widzą pełną treść tych komentarzy do ich pracy i mam wrażenie, że jeżeli jeden prowadzący ma kilka grup, bardzo łatwo jest zidentyfikować konkretne sytuacje w której grupie i być może nawet osobę, która to zgłaszała.
1990:  RK - No dobrze, możemy jeszcze długo na ten temat dyskutować.
1993:  RK - Czy rzeczywiście to jest system zabezpieczający pełną anonimowość, czy nie?
2001:  RK - Moim zdaniem tak, ale nie będę tego wątku ponad miarę rozwijać.
2006:  RK - Dlaczego?
2007:  RK - Wrócę do tej kwestii, którą już poruszyłem też wcześniej.
2011:  RK - Jeżeli studenci nie mają zaufania do...
2015:  RK - macierzystej jednostki, prawda, z jakichś powodów.
2019:  RK - Od tego jesteśmy my, tak?
2020:  RK - Jest naprawdę moim zdaniem spójny system.
2023:  RK - Można się zgłosić albo do mnie, bezpośrednio można się zgłosić do konsultantki, tak?
2029:  RK - W tej chwili na przykład sprawami, przedziwiałam o Bingowi, zajmuje się pani profesor Anna Musiała, wybitna specjalistka w zakresie prawa pracy.
2039:  RK - Ja nie wiem, co mielibyśmy jeszcze zrobić, jakie państwo oczekujecie formuły,
2044:  RK - żeby zachęcić.
2045:  RK - Jedynie co mogę powiedzieć, to być może działalność taka, powiedziałbym, edukacyjna.
