Znęcamy się nad Harrym Potterem - czekając na Hogwart's Legacy, Krzysztof M. Maj, ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=S1o0R985PvI
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)

0:  DS - No ale chciałbyś mieć koedukacyjną sypialnię?
361:  KMM - I zawsze powtarzam, że o naszym systemie edukacji, jest Krzysztof, więc system edukacji, bardzo źle świadczy to, że wszyscy chcielibyśmy być w Hogwarcie, bo to nie jest taka placówka edukacyjna, do której powinno się chcieć trafić.
371:  KMM - Znaczy nauczyciele są skazańcami albo wilkołakami, dypią na uczniów, dosypują im punkty.
377:  KMM - W którymś momencie jest zasada, że nie wchodzi się do zakazanego lasu, ale później się idzie do zakazanego lasu, jak jest szlaba.
385:  DS - Nic nie ma sensu.
387:  DS - Nie wolno wam wchodzić na korytarz na trzecim piętrze, bo zakończy się to tam długą i bolesną śmiercią.
392:  KMM - I nic więcej.
393:  KMM - Oczywiste jest to, że w tym momencie dyrektor Hogwartu zaszczepił wszystkim uczniom ideę pójścia na trzecie piętro i sprawdzenia tego.
400:  KMM - To jest to oczywiste.
402:  KMM - I tam jest takich dziwnych rzeczy, tak samo jak Filcz.
404:  KMM - Dlaczego ten człowiek nie został zwolniony?
406:  KMM - Przecież ten człowiek mobbinguje absolutnie wszystkich.
408:  KMM - To samo Snape powinien dostać dyscyplinarkę dawno temu.
411:  KMM - I jak ja dzisiaj patrzę na wydarzenia z trzeciego tomu, kiedy
415:  KMM - że zły Lucius Malfoy chce Hagrida, naszego Hagrida zamknąć i o, i na Dumbledora dybia.
423:  KMM - Nie no, rada nadzorca całkowicie odpowiedzialnie postępuje.
427:  KMM - Ta szkła jest do zamknięcia.
428:  KMM - Jeszcze jest tu jakiś bazyliszek, który poluje na uczniów.
432:  KMM - Da, no zamknąć to jak najszybciej i zaplombować, żeby jeszcze nikt nie otwarł.
435:  DS - I gdyby Dumbledore miał jeszcze pięć minut, to on by wymyślił o co chodzi i złapałby potwora.
442:  DS - Przez tą paskudną radę nadzorczą nie miał tej szansy.
445:  DS - I przez to to wszystko trwało jeszcze dłużej.
447:  DS - Ginny Wesley tam została porwana do komnaty tajemnic, wszystko przez Luciusza Malfoya.
451:  DS - Zły Krzysztof chce zamknąć Hogwart!
454:  KMM - Ale właśnie dlatego mnie zaczęło interesować uniwersum Pottera bardziej niż sama fabuła Harry'ego Pottera, że ono w którymś momencie zaczęło ewoluować.
462:  KMM - Bo to jest ciekawe, jak zobaczy się na całość cyklu, to wiem, wszyscy powtarzają, że no, myśmy dorastali z książkami, no dobrze, ale nie pisze się serii książkowych z świadomością, że czytelnik będzie dorastał z serią książkową, to był totalny przypadek.
475:  KMM - I to był przypadek, mam wrażenie, paru pokoleń, ale teraz jak ktoś sobie na przykład całość by cyklu czytał, no może mieć podobne wrażenie jak przy filmach, bo filmy też są na początku niby dla odbiorcy młodzieżowego, a potem dla bardzo dojrzałego, ale jako całość cyklu to trochę nie ma sensu, bo Rowling zaczyna tworzyć takie typowe urban fantasy, tudzież portal quest fantasy, że mamy sobie portal między światem mugolskim, a między światem czarodziejów, tym portalem z jakiegoś względu jest murek na King's Cross,
505:  KMM - i jak się wbiegnie na ten murek, to wtedy się przechodzi na platformę 9, znaczy peron 9 czy 4.
510:  DS - Zawsze było jakieś zabawne, że oni mówią, jak się boisz, to musisz w niego wbiec, ale potem się okazuje, że możesz po prostu się oprzeć o barierkę i przejść na drugą stronę, więc dla mnie to jest dużo mniej stresujące, że po prostu stoisz, opierasz się i przechodzisz i biegniesz twarzą w mur i liczysz, że będzie dobrze.
524:  KMM - Zwłaszcza, że jeżeli weźmiemy inne portal-questy jak Narnie, to tam do tej szafy można było wejść tylko pod pewnymi rygorami i w pewnych okolicznościach.
533:  DS - A tutaj ja się pytam... Dobrze, że on nie chciał przemalować tej ściany.
537:  KMM - Tak, właśnie.
538:  DS - Taki biedny mugol, zagubiony na peronie 9,34, nie umiał z niego wyjść.
543:  KMM - Bo tam jest taka scena, w którym momencie, to zwłaszcza w filmie widać, że gość reaguje strażem na peronie na to, co Potter robi i tak dalej, i tak dalej.
551:  KMM - I to ma sens głęboki, to znaczy to zaklęcie musiałoby działać tak, żeby rozwijało jakąś powłokę albo bąbel czasoprzestrzenny wokół całej części peronu obok tego portalu.
561:  DS - Takie zaklęcie konfuzji czy coś takiego, nie?
563:  KMM - Tak, maskujące.
564:  KMM - A o wiele prościej technicznie byłoby po prostu zrobić gdzieś jakiś portal na odludziu, gdzie wszyscy idą albo, nie wiem, osobny peron,
572:  DS - Chociaż drzwi do składzika takie, że to jest taki składzik, że jest tu od 10 lat, ale w sumie jest zamknięty, nikt nie ma kłódki.
578:  DS - Ponieważ to jest jakiś publiczny dworzec, to nikomu się nie chce tej kłódki wymieniać, rozcinać, zamieniać na nową, więc jest jakieś takie, wiesz, zapomniane, a to oni wchodzą do tego składzika.
588:  KMM - I potem jest więcej tych portali, to znaczy okazuje się, to jest moje ulubione, że wszyscy politycy z Ministerstwa Magii są spuszczani przez klozet do swojego ministerstwa.
597:  KMM - Bardzo adekwatnie, bardzo adekwatnie, gówniana polityka tam, gdzie jej nie chce.
601:  KMM - Gówniana robota.
604:  KMM - Ale tych portali w sumie jest niewiele i dopiero potem ten świat ewoluuje w formę takiego dojrzałego fantasy.
610:  KMM - Trochę jak w Stranger Things, że jest jakiś świat, który jest pod i on cały czas sobie tam funkcjonuje.
615:  KMM - W różnych krajach są różne szkoły magii, różne uniwersytety, różne ministerstwa i różne społeczności czarodziejów.
623:  KMM - Więc mam wrażenie, że ta koncepcja bardzo ewoluowała i ten świat się trochę zmienił.
626:  KMM - Na początku był taki właśnie jak w baśniach, jak w baśniach fantasy, jak w Narnii, a potem zaczęła się robić z tego pełnoskalowa fantasy.
634:  KMM - I tak, z jednej strony można powiedzieć, że to dojrzewało z czytelnikiem, ale z drugiej strony ten świat jako całość, gdybyśmy go rozpatrywali, trochę się nie wstrzyma.
642:  DS - No niestety to się głupio nie trzyma, natomiast pytanie, czy autorka trochę miała wybór.
647:  DS - No bo presja była taka, żeby to szło w tą stronę.
650:  DS - No bo ona na początku napisała sobie tę historię, tam była ta jakaś wzmianka o mrocznym czarnoksiężniku, który został pokonany przez Harry'ego Pottera.
659:  DS - No i ponieważ była ta wzmianka, no to trochę niejako przypadkiem zrobiła tą taką tajemnicę, ten taki quest, który pewnie zakładała, że to będzie jednostrzałowiec, bo Hellownik tego w ogóle nie chciał wydać, no nie?
669:  DS - A tu nagle się wydało, nagle chwyciło i nagle wszyscy się pytali, no i co z tym mrocznym panem?
674:  DS - Czy on w końcu zostanie pokonany?
675:  DS - Czy Harry Potter go rozjedzie?
676:  DS - No i...
678:  DS - Myślę, że bardzo ciężko byłoby utrzymać to w tej dziecięcej konwencji i mimo to jakoś pokonać dawnego pana.
687:  KMM - Ja hype'uję na Hogwarts Legacy, ponieważ to już jest dzieło, wydaje mi się, na tyle, na ile mogę oceniać po zapowiedziach,
693:  KMM - o tyle dojrzalsze, że wykorzystuje właśnie koncepcję jakiegoś rozszerzonego świata, w którym będziemy mieć nowe, oryginalne historie, w którym będziemy rozbudowywać koncepcję, że są różne szkoły magii.
704:  KMM - Oczywiście, że zaczynamy od Hogwartu, bo musimy, ale kto wie, czy nie będzie kolejnej części na przykład Wyvermore albo w Durmstrangu.
711:  KMM - Jak ja bym się wybrał do Durmstrangu i postudiował mroczną magię, a wiem o tym tylko tyle, że w Durmstrangu istnieje.
717:  DS - Ale ta mroczna magia, będziemy jeździć na magicznych sankach z dużo śniegów.
721:  KMM - do jaskini, w której odkryjemy mroczne kodeksy.
723:  DS - Ostatnio bardzo dużo pytałam moich widzów, czy wolą, czy są team narty, czy team snowboard i bardzo dużo ludzi odpowiedziało, że są team sanki.
731:  KMM - A to bardzo słuszne.
732:  DS - Lubisz jeździć na sankach?
734:  KMM - lepszy jest na pewno niż snowboard, który odbiera ci władzę nad twoimi nogami.
738:  DS - Sanki odbierają ci władzę.
740:  DS - Na snowboardzie masz przynajmniej wiesz, wstręcić lewo, prawo, wywrócić się na tyłek, możesz się zatrzymać jakkolwiek, a jak już siedzisz na tych sankach, zepchniesz się z górki, one przyspieszają.
748:  DS - Jedyne, co możesz zrobić, to trzymać się sanek i modlić się, żeby... Nie no, wystarczy, że się zaprzesz nogami i hamujesz.
753:  KMM - A czym się zaprzesz na snowboardzie?
754:  DS - Możesz jechać z bardzo łagodnej górki na tych sankach.
756:  KMM - Na snowboardzie możesz się zaprzeć dupą co najwyżej, albo nie wiem, modlić się, że jakiś...
760:  KMM - Bumer czasoprzestrzenny wjedzie i coś sprawi, że się zatrzymasz, a narty sprawiają, że masz pełną kontrolę.
768:  DS - Jabłuszko, jest nisko ziemi.
772:  KMM - Jak byśmy doszli od Durmstrangu do jabłuszka?
776:  KMM - Ja rozumiem jeszcze z Hogwartu do jabłuszka jakoś, biorąc pod uwagę, że w Hogwarcie są te wszystkie żenujące sceny, że tam jest jakiś, boże, zwłaszcza w trzeciej części ten żabichórek.
784:  KMM - Dabu, dabu, dabu, czabu.
787:  KMM - Boże, jakie to jest żenujące.
789:  KMM - Ale jest realistyczne.
790:  DS - Jakiś tam hobby musieli mieć w tej szkole.
793:  KMM - Bo pamiętajmy, że Hogwart na wielu poziomach jest żenujący.
796:  KMM - Przypominam ten hymn, który w tłumaczeniu Polkowskiego brzmi Hogwart, Hogwart, pieprzowieprzy Hogwart.
802:  KMM - Co?
804:  KMM - Co?
804:  KMM - Znaczy, czy jakikolwiek... Ja się nie dziwię naprawdę, gdybym był Tomem Marvolo Riddle, był w rodzinie Mugolskiej, dręczonym przez wszystkich, trafiłbym do takiej szkoły i pomyślałbym sobie, tak...
814:  KMM - wreszcie, wreszcie zyskam moc i potęgę i ja już chcę iść na te pierwsze lekcje Eliksiru, ja już chcę otworzyć te pleśniające kodeksy magiczne i poznać sekret niesmiertelności.
825:  KMM - Wychodzi mi jakiś staruch tutaj, to był jeszcze wtedy Dipet prawdopodobnie i Hogwart, Hogwart mnie przebieprzył.
830:  DS - Ale Dipet był smutasem z tego, co pokazywali, więc ja nie wiem, czy oni wtedy śpiewali hymn.
834:  DS - Bo to chyba był taki pomysł Dumbledora, bo ja pamiętam, że tam była taka scena, że wszyscy inni nauczyciele wyglądali na takich mocno niezadowolonych.
840:  KMM - Ja ich rozumiem, naprawdę ich rozumiem.
842:  KMM - Ja też rozumiem Snape'a, naprawdę, coraz bardziej rozumiem.
845:  DS - A ja bym nie miała nic przeciwko takiemu głupkowatemu śpiewaniu.
848:  DS - Znaczy, tekst mógł być trochę lepszy, ale to, że każde są śpiewane swoją melodię, przez co jest natychmiast taka kakofonia, że nikt Cię nie słyszy, jak śpiewasz, więc Ty się nie stresujesz tym, czy ładnie śpiewasz, czy brzydko śpiewasz, po prostu możesz puścić władzę fantazji i zaszaleć.
861:  KMM - To jest prawda, to jest prawda.
863:  KMM - Tak, to byłbym w stanie to zrozumieć.
864:  KMM - Zawsze mnie też bawiło tak swego drogu, a propos tych rytuałów, które są w Hogwarcie, że filmy wycięły jedną rzecz, która była najciekawsza, to znaczy przemowę Tiary Przydziału na sam początek każdego roku, która była istotna i która czyniła z Tiary Przydziału coś więcej niż tylko śmieszny artefakt magiczny, który sobie selekcjonuje, o ty będziesz tu z tymi, a ty będziesz z tymi, a ty będziesz z tymi.
884:  KMM - Już nie mówiąc o tym, że cała scena Tiary Przydziału z pierwszego filmu jest tak spieprzona i skopana dokumentnie,
890:  KMM - Nie wiem, czy kojarzycie to, ale zaczyna się to wszystko od tego, że oczywiście zaczynamy od Hermiony.
897:  DS - Wszystkie ważne postacie.
899:  KMM - Potem jest Malfoy, więc jeszcze się zgadza, bo jest H i później jest M, Hermiona Granger i Malfoy.
904:  KMM - Potem jest ktoś na B, ponieważ trzeba było kogoś z Hufflepuffu, twojego ulubionego, a potem jest oczywiście Poddrifted Academy.
909:  KMM - Cisza, główny bohater, ojej.
911:  KMM - To kompletnie nie ma sensu alfabetycznie, nie?
913:  DS - I równocześnie... No bo oni w filmie od razu dla uczyciela uczciwie pokazali, kto będzie zdobywał punkty.
919:  KMM - Tak, tak, właśnie tak.
920:  KMM - Dlatego to wszystko nie ma takiego sensu.
922:  KMM - No i jeszcze wszystkie inne szkoły, niestety, magiczne, znaczy nie szkoły magiczne, domy, czemu ja mówię szkoły magiczne, są dyskryminowane.
928:  DS - Może mieli zapisanych na liście po prostu jakimiś datami urodzenia, nie?
931:  DS - Kto pierwszy ukończył 11 lat, to list się automatycznie wysyłał i magicznie imię się pojawiało na liście.
938:  KMM - Ale cały czas uważam, że dlatego też się zdziwiłem tym wyborem twoim na początku Hufflepuffem, bo o Hufflepuffie i Ravenclaw wiemy najmniej.
944:  KMM - W zasadzie o Hufflepuffie wiemy w ogóle najmniej z wszystkich domów.
947:  DS - Tak, bo Ravenclaw jeszcze w ostatniej części tam przynajmniej idą do ich wspólnego i tak dalej.
951:  DS - Tak.
953:  DS - Nie wiem, ja po prostu czuję wspólnotę z tymi ludźmi z Hufflepuffu, bo czujesz, że oni są fajni.
960:  DS - Ja lubię spędzać czas w towarzystwie ludzi fajnych.
964:  DS - I zwłaszcza następne siedem lat, no nie?
967:  DS - Więc czemu nie spędzać go tam?
971:  DS - Poza tym, tak jak mówiłam, przede wszystkim, to jest argument wszystkich ludzi z Hufflepuffu, drzwi do naszego pokoju wspólnego znajdują się zaraz koło drzwi do kuchni.
981:  DS - A w kuchni mamy elfy, które są gotowe każdemu dać dowolną ilość jedzenia i dowolną ilość słodyczy.
988:  KMM - Równocześnie dom Slytherinu jest niedaleko lochów, gdzie się waży eliksir i można uważać eliksir... Możesz sobie iść szybko po jakiś śmierdzący szczurzy móżdżek na przekąskę.
998:  KMM - Na przykład można też uważać eliksir, który na przykład zniewoli jakiegoś śmiesznego elfa, który będzie robił tylko dla ciebie jedzenie i to będzie miało sens, ale o niewolnictwie jeszcze powiemy.
1006:  DS - Musiałby ci przynosić, bo inaczej to daleko, a podłogi są zimne, bo to zamek.
1011:  KMM - Dom Slytherinu ma styl.
1013:  KMM - Te piękne, skórzane kanapy, zieleń, czerń.
1018:  KMM - Tam się chce być od razu.
1020:  KMM - To jest przepiękne miejsce.
1021:  DS - Jest ładnie, ale jest tak zimno i tak odpychające.
1024:  DS - To nie jest takie zachęcające miejsce.
1025:  DS - Tam są jakieś łańcuchy, które zwisają z sufitu i poza tym tam na pewno jest zimno.
1030:  KMM - A to jest akurat racja.
1031:  KMM - W lecie się przydaje.
1033:  DS - Ale w zamku w lecie nigdy nie jest gorąco.
1036:  KMM - Też racja.
1037:  DS - Dlatego ci ze Slytherina są ciągle tacy jakby irytujący dla wszystkich, że czepiają, bo po prostu są zmordnięci.
1043:  KMM - Właśnie tutaj jest cała rzecz.
1045:  KMM - Ja liczę na to, że w Hogwarts Legacy to się to zmieni.
1047:  KMM - Naprawdę na to liczę, że nie będzie to zrobione na zasadzie takiej, że Gryffindor dobrze, Slytherin strach faszyści, bo Slytherin tego nie chciał.
1052:  DS - Tak, a Hufflepuff to sieroty, które nie robią nic ciekawego.
1055:  KMM - A Raven klaukujony.
1056:  DS - Ja myślę, że Hufflepuff
1058:  DS - po prostu się jakoś zajebiście bawi cały czas tam w tym swoim pokoju wspólnym, kiedy wszyscy inni jakieś dramaty przeżywają, jakieś rywalizacje, nie wiem, rzucają na siebie złośliwe zaklęcia, to oni takie, no pozwólmy tym frajerom się tam przepychać o puchar domu, a my chodźmy zrobić fajną palangę czy coś.
1071:  DS - To jest to problem, bo rzeczywiście ten podział na domy... Popatrz, to są jedyne osoby, które nie uczestniczą w walce szczurwo-punkciki.
1079:  KMM - Ale właśnie uważam, że wszyscy uczestniczą i że cała rzecz polega na tym, i to jest błędne, że te domy są stereotypicznie przystosowane do tego, jak ludzie się dzielą w szkole zazwyczaj.
1088:  KMM - To znaczy są kujony, są złośliwi, są oczywiście ci tempi bejsboliści, to Gryffindor nawiasem mówiąc, no i są ludzie, którym się nie chce cichać.
1097:  DS - To nieźle, myślałem, że to są takie sympatyczne średniaki, których nikt nie chce do drużyny koszyków.
1101:  KMM - Ale tak, oni są rzeczywiście najsensowniejsi, żeby się trzymać z nimi i imprezować.
1105:  KMM - Tu pełna racja.
1106:  KMM - Niemniej jest to strasznie dziwne, że my tego nie widzieliśmy, jak to czytaliśmy na samym początku.
1111:  KMM - A to rzeczywiście zadziałało i rezonowało tak, mam wrażenie, z ludźmi, że wszyscy rozpoznawali w tym, że tak, to jest wiarygodne i realistyczne przedstawienie szkolnictwa.
1119:  DS - To jest ostateczne.
1119:  DS - To trochę jak z tymi high schoolowymi filmami, że tam też masz te grupki i jesteśmy tu tylko tak przyzwyczajeni, że w sumie sprawiają to satysfakcję, jak to oglądamy.
1127:  KMM - Tak, dlatego też później Rowling się uparła na to, żeby wprowadzić taki typowy high schoolowy romans, czyli najgorszy wątek, jaki istnieje w całym podterze, to znaczy sparowanie Genie z Harrym, które jest tak niewiarygodne i tak nierealistyczne.
1138:  KMM - Jak czytałem piąty tom, to ja myślałem, a czytałem wtedy po angielsku... Szósty.
1143:  KMM - Szósty, masz rację.
1143:  KMM - Zawsze mi się pomyli.
1144:  DS - W piątym jeszcze się całował z Che Chang.
1146:  KMM - Tak, i to miało sens, natomiast w szóstym ja miałem wrażenie, że... To nie miało sensu.
1150:  KMM - Nie miało większy sens, w filmie nie miało sensu kompletnie za to, ale w szóstej części ja miałem wrażenie, że nie rozumiem angielskiego, bo ja wtedy się uczyłem jeszcze angielskiego i chciałem przeczytać Pottera wcześniej, a on mi wyjdzie, no i czytam ten szósty, tam jestem coś, no Ginny, po to coś do niej czuję, nie no...
1167:  DS - Problemem było to, że to było takie strasznie skokowe między tą piątą częścią a szóstą, bo gdyby nie to, to to ma sporo sensu, bo na przykład Harry'emu się zawsze podobają laski, które dobrze grają w Quidditcha, nie?
1176:  DS - No najpierw mu się podoba Cho Chang, a potem mu się podoba Ginny, która jest super ścigająca, no nie?
1180:  KMM - Ale mam wrażenie, że to retroaktywnie zostało zrobione, znaczy Ginny nie wyglądała mi na początku na dobrego gracza w Quidditcha.
1186:  DS - Niby nie, ale tam chyba były jakieś coś tam, że ona kradła braciom miotły i czasem grała z nimi też, bo im brakowało na przykład jednego, nie?
1195:  DS - I sobie tam w wakacje latali i grali.
1197:  KMM - To prawda, to prawda.
1199:  KMM - No więc, ale tak czy siak miałem tam zgrzyt bardzo możliwy, że to jest właśnie z tego względu, że zostało to nagle wprowadzone.
1204:  KMM - I w każdym razie romans to ostatnia rzecz, której szukałem pod teżem.
1207:  DS - Tak, nagle wprowadzone i jeszcze mi się na przykład nie bardzo podobało, ten wątek mi nie przeszkadzał, dla mnie był okej, ale że to było opisane, że tam nagle między czerwcem a wrześniem następnego roku w piersi Harrego obudziła się bestia.
1225:  DS - Podnosiła głowę za każdym razem, kiedy Ginny flirtowała z innymi chłopakami.
1231:  DS - Ta bestia.
1232:  DS - Można by sobie ją podarować.
1235:  KMM - To jest ciekawe też, bo ona zawsze się mówi, że to jest wybitna pisarka.
1238:  KMM - Nie, ona dobrze pisała, ale miała straszne momenty niekiedy.
1242:  KMM - Zresztą ona sama się do tego przyznała.
1243:  KMM - Na przykład czwarty tom cały jest w całości praktycznie przepisany przez nią.
1246:  KMM - Od zera.
1248:  DS - Napisała cały i potem jeszcze raz.
1250:  KMM - Tak, tak, tak.
1250:  DS - Ja tego nie słyszałam.
1251:  KMM - No to chodziło o wątek z tego co pamiętam właśnie Moody'ego.
1255:  KMM - Nie no, możemy robić spojlery bez przesady.
1257:  DS - No jak ktoś jeszcze nie przeczytał Harry'ego Pottera to zachęcamy, ale trudno spojlera nie spotkać wszędzie w internecie.
1264:  KMM - A to był dobry wątek i bardzo mi się podobał, więc dobrze, że to przepisała.
1268:  KMM - Natomiast jest jedna rzecz, która mnie niesamowicie irytowała w książkach.
1272:  KMM - To znaczy, za każdym razem jest to, przez to, że to jest narracja seryjna, trochę jak procedural, to jest jeden event, który jest na każdy tom.
1280:  KMM - Pierwszy event to jest kamień filozoficzny, drugi event to jest komnata tajemnic, trzeci event to jest wilkowak i tak dalej i tak dalej.
1287:  DS - I zawsze w czerwcu, no bo siłą rzeczy.
