Żegnamy SUKCESJĘ | Zakończenie na jakie czekaliśmy?
🔗 https://www.youtube.com/watch?v=L3wb8Qgr4Tc
MG (Marcin Giełzak, Dwie Lewe Ręce)
GW (Grzegorz Wątroba, Okiem Deva)
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

9:  BFP - To już jest koniec.
156:  BFP - Ale mimo to, mimo tego zbijania nas z tropu, cały czas do ostatnich minut ostatniego odcinka widać, że wiedział, co chce powiedzieć.
164:  BFP - Widać, że miał na siebie pomysł, że potrafił
167:  BFP - W jaki sposób wrócić do punktu wyjścia, ale w nowy sposób.
172:  BFP - I nawet te tropy, nawet to zbijanie nas z tropu, nawet te flary, które serial wypuszczał po to, żeby nas dezorientować, coś mówiły.
181:  BFP - Na przykład o świecie Ameryki.
184:  BFP - rzeczywistości Ameryki, albo coś ciekawego o postaciach, które już chyba na zawsze pozostaną dla nas zagadką.
190:  BFP - Więc podsumowując, wydaje mi się, że to co udało się osiągnąć Jesse'emu Armstrongowi, czyli showrunnerowi i głównemu scenarzyście ostatnim sezonem i jego ekipie scenarzystów jest niezwykłe dlatego, że w 10 odcinków
204:  BFP - Powiedział więcej niż w 30 poprzednich.
206:  BFP - Właściwie 29.
207:  BFP - I nie tylko będzie się rozmawiało o tym serialu przez najbliższe lata dlatego, że wypada.
212:  BFP - Będzie się rozmawiało o nim w szczególności w gronie ludzi, którzy interesują się scenariopisarstwem.
217:  BFP - Jak można zrobić coś na takim poziomie?
219:  BFP - Jak można...
221:  BFP - tak godnie zakończyć tak dużą i złożoną na wielu poziomach serię.
226:  BFP - A teraz to pytanie już bez podpuchy oddaję każdemu z Was po kolei.
232:  BFP - Marcinie, chciałbym zacząć od Ciebie.
234:  BFP - Z czym pozostawia Cię sukcesja?
237:  MG - Z uczuciem spełnienia, bo nie powiedziałbym, że to jest zakończenie, na które zasłużyliśmy, powiedziałbym bardziej przewrotnie, że to jest zakończenie, na które zasłużył Logan Roy.
248:  MG - To jest dokładnie ta sukcesja, na którą pracował całe życie, a zapewne całe życia swoich dzieci.
254:  MG - Skończył z Ameryką i ze swoją firmą, ze światem, który zaprojektował, to znaczy wszystko w ręce,
261:  MG - The lowest of the low.
263:  MG - Jego firmę de facto przejmuje Mattsson, albo Mattsson, bardziej po szwedzku, czyli nerd z Göteborgu, który wysyła swojej byłej krew w postaci sztabek i który jest absolutnie społecznym typem.
284:  MG - i kto jest takim samym bullshit artist, jak pod wieloma względami Logan Roy, to znaczy dowiadujemy się chociażby o tym, że faktyczne wyniki, jeżeli chodzi o liczbę użytkowników platform Mattsona i Gojo, jego najcenniejszego, jego klejnotu koronnego,
305:  MG - są bardzo mocno naciągane, ale podobnie jak Logan Roy jest człowiekiem, któremu wszystko zawsze uchodzi na sucho.
312:  MG - Twarzą tego nowego biznesu jest człowiek, który dosłownie dopełznął do mety.
321:  MG - Człowiek, który całe życie uprawiał to, co się nazywa po angielsku failing upwards, czyli Tom Wamsgans.
329:  MG - No a Amerykę prawdopodobnie odziedziczył
332:  MG - Jared Menken, który brzmi jak najczarniejszy sen amerykańskiego liberała, to znaczy człowiek jeszcze bardziej radykalny niż Donald Trump, ale od niego inteligentniejszy, lepiej ubrany, sprytniejszy i umiejący zachowywać pozory.
349:  MG - Więc cieszę się, że Logan Roy dostał sukcesję, na którą zasłużył.
355:  BFP - Grzegorz?
357:  GW - Piękny był to serial, nie zapomnę go nigdy, gdyż był jak jeden z niewielu jakie w życiu widziałem, absolutnie kompletny i nie muszę do niego nic dodawać.
368:  GW - To jest to, że on
373:  GW - W tych czterech częściach, w tych 39 odcinkach zrobiono z niego taką idealną kulkę, którą gdziekolwiek, cokolwiek by próbowano dodać, to po prostu naruszyłoby to pewną spójność, całą scenariusza, mimo to zapowiedziano już, czy tam przepowiadano w kuluarach, iż będą spin-offy tego.
395:  GW - Nie będę się co prawda o to rzucał i rozdzierał szat, natomiast nie jest to absolutnie konieczne dlatego, bo to co autorzy chcieli przekazać, jak to zresztą wielokrotnie zapowiadali i mówili w podcaście towarzyszącym temu serialowi,
416:  GW - powiedzieli wszystko, co mieli do powiedzenia.
417:  GW - I to jest wspaniałe, że nikt ich do tego nie przyciskał.
421:  GW - Stacja co prawda namawiała, ale oni powiedzieli dość i stacja powiedziała OK.
426:  GW - To znaczy, że oni wyrobili sobie taką renomę, taką pozycję i dostarczyli taką jakość, której nikt nie jest w stanie zaprzeczyć.
435:  GW - I to jest też duży indykator tego, czym był ten serial, więc absolutnie był dla mnie również satysfakcjonujący.
445:  GW - Jak będziemy mieli sekcję, o ile taka będzie, żeby się do pewnych rzeczy przypieprzyć, jasne, znajdę parę takich, ale wciąż, jeżeli miałbym polecać jedne z najlepszych seriali, zaskakująco większość byłoby z platformy HBO, bo tak samo Rodzina Soprano, Deadwood czy właśnie Sukcesja wchodzi tutaj do mojego koszyka seriali, które przed śmiercią trzeba obejrzeć w całości.
474:  BFP - Tak, oddając już głos Krzysztofowi, jak powiedziałeś to, co powiedziałeś przed chwilą, to pomyślałem, że sukcesja naprawdę w przenośni niemalże dosłownie przywraca prestiż do Prestige Television.
486:  BFP - Krzysztofie, z czym Ciebie pozostawia sukcesja?
490:  KMM - Z przekonaniem, że można robić serial, który jest filmowy, w czasach, w których wróciliśmy o zgrozo do formuły seriali proceduralnych z lat 90., z których każdy odcinek kończy się naiwnym, sztucznie nadbudowującym napięcie cliffhangerem, w którym brakuje tylko mojego ulubionego fade to black i napisu w 20 lat później.
513:  KMM - albo napisu w następnym tygodniu Twój ulubiony detektyw Mullingan zobaczy jakie są losy tego śledztwa.
525:  KMM - I przypomniałem sobie, obejrzawszy czwarty sezon, pierwszy,
530:  KMM - Więc dosłownie kończyłem ostatni odcinek pierwszego sezonu tuż przed ostatnim odcinkiem czwartego sezonu, bo chciałem zobaczyć jak ten, niestety nie zdążyłem powtórzyć sobie wszystkich pozostałych, ale chciałem zobaczyć czy ten serial utrzymuje poziom.
544:  KMM - I z zaskoczeniem stwierdzam, że zarówno tempo narracji jak i jakość dialogów w sezonie pierwszym, przynajmniej do połowy, ustępuje temu co dostaliśmy w sezonie czwartym.
554:  KMM - To jest zdumiewające, więc jeżeli ktokolwiek odpadło na początku sukcesji, to doradzam, żeby wytrzymać absolutnie, bo warto.
562:  KMM - I druga rzecz, bardzo charakterystyczna, to ile się dzieje w jednym odcinku pod względem napięcia narracyjnego jest absolutnie nieprawdopodobne.
570:  KMM - W jednym odcinku sukcesji potrafi się zdarzyć więcej niż w ciągu trzech części trylogii sequeli Disneya z Gwiezdnych Wojen.
579:  GW - W dialogach.
579:  KMM - W jednym odcinku.
581:  GW - I to tylko w dialogach, tak, tak.
583:  KMM - I to tylko w dialogach.
584:  KMM - I właśnie to jest chyba najważniejsza rzecz, której powinniśmy powiedzieć, że to jest jeden z tych seriali, który pokazuje jak można z udziałem dwóch świetnych sparring partnerów, trzech, czterech w ramach jednej rozmowy utrzymać nieprawdopodobne napięcie, które pamiętamy ze słynnych dyskusji z Gry o Tron, chociażby moich ulubionych.
604:  KMM - i wynieść to na jakiś wyższy poziom kunsztu, więc nie ma tutaj filerów żadnych praktycznie, może w pierwszym, drugim sezonie się takie pojawiały, nie ma moim zdaniem sztucznych zabiegów podlegających na podbiciu napięcia narracyjnego, z jednym charakterystycznym wyjątkiem, o którym bym chciał powiedzieć, jak dotrzemy do omówienia czwartego odcinka, znaczy ostatniego odcinka czwartego sezonu, najbardziej emocjonującego,
628:  KMM - A dla mnie cholera jasna zaspoilowanego przez ten przeklęty podcast HBO, który Filip tak rekomendował, cały czas o nim mówił i jasny szlak mnie trafił, ponieważ aktor grający Toma zaspoilował autentycznie, przynajmniej dla słuchacza czytającego między wierszami, jak się zakończy serial i jestem wściekły z tego powodu.
646:  BFP - To tutaj z tego miejsca tylko małe dementii.
648:  BFP - Ja nie wysłuchałem ani jednego odcinka tego podcastu i nigdy o nim nie wspominałem.
652:  BFP - Tak, ale ty wspominałeś o podcastach przy The Last of Us.
655:  KMM - Tak wryło w głowę, że ja potem zacząłem je słuchać.
658:  BFP - To jest degeneracja.
660:  BFP - To już nawet nie jest, że szwankuje twoja pamięć.
662:  BFP - Twoja pamięć fabrykuje fałszywe wspomnienia.
665:  BFP - I jak to się dziwnie składa akurat na moją niekorzyść.
670:  BFP - Who would fucking know?
673:  GW - Czyli jakby podsumowując tą sekcję, można tutaj zacytować Grega, all killer, no filler.
680:  BFP - Tak, tak, tak.
682:  BFP - I mówił to chyba o Cyceronie albo, nie pamiętam, rzymskim polityku musiał to mówić, jak mu jego wujek Ewan zacytował kogoś.
690:  GW - O Cyceronie.
691:  BFP - Tak, mówił o Cyceronie, all killer, no filler.
694:  BFP - O, w ogóle to był mistrz, myślę, że jeszcze wielokrotnie dzisiaj wrócimy do tekstów Grega.
698:  BFP - The baguette might be mightier than the bagel.
700:  BFP - Tak, kiedy bagietka staje się mocniejsza od bajgla.
702:  BFP - To, że Greg był w stanie wygenerować takie one-linery na poczekaniu, nie mając w ogóle żadnych fundamentów intelektualnych do tego, bo jego karty intelektualne były naprawdę słabe, cała jego talia była generalnie słaba, robi wrażenie.
717:  BFP - I rozumiem, dlaczego udało mu się osiągnąć to, co udało mu się osiągnąć.
721:  GW - Wystarczyło nie mieć kręgosłupa, no to wiesz.
723:  BFP - Mam, panowie, taki pomysł na tą naszą dzisiejszą dyskusję, żebyśmy zrobili sobie dwie części.
727:  BFP - Pierwszą oprzyjmy na tych czterech
731:  BFP - frazach kluczowych, rodzina, bogactwo, władza i traumy, a drugą przejdźmy przez wszystkich głównych bohaterów.
740:  BFP - Porozmawiajmy o ich losie, o ich łuku postaci, o tym, co ich spotkało w toku serialu i czy zakończenie, które otrzymali jest tym zakończeniem i tą konkluzją, na którą zasłużyli.
750:  BFP - Ja chciałem zacząć od rodziny i rzucę piłeczkę, zobaczymy, kto pierwszy ją podłapie i ją zagra.
755:  BFP - Ja uważam, że dwa najważniejsze cytaty
759:  BFP - Nie chcę powiedzieć z całego serialu, ale z tego sezonu, który naprawdę grał najmocniejszymi kartami, to Logan, który mówi swoim dzieciom w drugim odcinku I love you, but you're not serious people.
771:  BFP - Co rozwiązało największe pytanie, jakie miałem w głowie dotyczące tego, czy Logan rzeczywiście kocha swoje dzieci, na tak.
780:  BFP - I korespondujące z tym, wypowiedziane w ostatnim odcinku przez Romana, w akcie autooświecenia We're bullshit.
789:  BFP - We are bullshit.
790:  GW - Cytaty piękne, ale już z miejsca się nie zgadzam, bo właśnie jak sobie przeanalizowałem ostatecznie, bo cały czas byłem rozbity pomiędzy tym, czy właśnie Logan faktycznie kocha swoje dzieci, czy nie.
802:  GW - Narcyz nie jest w stanie kochać swoich dzieci.
805:  GW - Narcyz tylko je kontroluje, więc jeżeli on...
810:  GW - Ma jakiekolwiek pojęcie miłości, to tylko przez kontrolę, ale to nie jest miłość w porozumieniu takim, jak robi to zdrowy dorosły.
818:  GW - Więc nie, Logan nie kochał swoich dzieci.
820:  GW - On je tylko był w stanie kontrolować jak zwierzęta trochę.
823:  GW - Tylko po prostu bardziej ogarnięte.
825:  MG - Biorę stronę mojego przedmówcy.
828:  MG - To znaczy moim zdaniem, zgadzam się z drugą częścią zdania, to znaczy you're not serious people.
834:  MG - Natomiast to I love you, Logan za każdym razem okazuje coś, co z grubsza wygląda jak czułość swoim dzieciom, kiedy czegoś od nich potrzebuje.
843:  MG - Kiedy na przykład Siwon wybiera karierę polityczną u boku człowieka, który nie podoba się Loganowi i który nie podobałby się jego widowni.
854:  MG - i Logan chce odciągnąć się od Bernie'ego Sandersa świata tego serialu, to mówi o tym, jak bardzo jest dla niego ważne, że jest jego ukochaną córeczką i że ma dla niej ogromne plany w firmie.
866:  MG - I za każdym razem Logan dymda im przed oczyma tą nagrodą, tym uznaniem, tym, że wreszcie ojciec będzie z ciebie dumny, kiedy czegoś od nich potrzebuje, po czym kiedy oni już myślą, że to mają, niemal z satysfakcją im to zabiera sprzed oczu.
884:  BFP - Oddając guz Krzysztofowi Kinocentryk napisał ważną też rzecz, dodałbym do wypowiedzi Romana, tej, którą zacytowałem, we're bullshit, we're nothing.
893:  BFP - że to nie tyle były słowa do Kena skierowane, ale ja tutaj traktuję je jako złamanie czwartej ściany i tekst wypowiedziany do widza.
900:  BFP - Ja bym to jeszcze uzupełnił.
902:  BFP - Wydaje mi się, że jedna z najważniejszych rzeczy, o której będziemy mówili w przypadku Romana, to jest moment przełomowy dla tej postaci.
908:  BFP - W tym odcinku Szyw i Roman odrzucili to, co ich pętało, czyli Imperium Ojca.
914:  BFP - Nie odrzucili traum, ale to już jest na dłuższą dyskusję.
917:  BFP - Znaczy nie dłuższą niż ta, która jest prowadzona przez nas, ale Roman, powiedziałbym, że on nie powiedział tego dla brata, ani dla widzów, on to powiedział dla siebie.
925:  BFP - Krzysztofie?
927:  KMM - Ja powiem, o tyle problematyczne jest mówienie tutaj o rodzinie, że rodzina to jest po prostu najcenniejsze IP w portfolio Waystar.
936:  KMM - I nic dziwnego, ponieważ w momencie, w którym się zastanowimy nad tym, co tak naprawdę kochają wszyscy członkowie rodzin rojów, to kochają oni wszyscy władze.
946:  KMM - I bardzo mi się podobało, jak aktor grający Kendala w którymś momencie, czyli Jeremy Strong, powiedział,
954:  KMM - Cytując Junga, oczywiście sprawdziłem go, żeby zobaczyć, z którego to jest Junga, ponieważ bałem się bardzo, że to jest z Junga pod tytułem Dematowatory, ale okazało się, że to faktycznie jest z Junga, konkretnie z rozważań psychologicznych, że tam, gdzie rządzi miłość, tam nie ma woli do zarządzania, do władzy, natomiast tam, gdzie władza dominuje, jest pustka, a nie miłość, prawda?
977:  KMM - I później jest dopisek jeszcze, Behind the mask of respectability and decency, neglected love poisons the children.
984:  KMM - Ach, no bardzo dobrze muszę powiedzieć, że Keddal dobrał, znaczy Jeremy Strong, ten cytat do opisu tego, co się dzieje w tej strasznej, patologicznej rodzinie.
993:  KMM - I najbardziej mnie w tym wszystkim przerażało to, że sporo też ludzi wspominało o tym, że ten serial jest taki bardzo szekspirowski.
1000:  KMM - No problem polega na tym, że ten przymiotnik kompletnie nie oddaje grozy, jaką jest ta rodzina, bo jednak u Szekspira te wszystkie emocje, machinacje, intrygi, one do czegoś prowadziły.
1010:  KMM - Tutaj to niczego nie prowadzą.
1012:  KMM - To jest niekończąca się gra, która niczemu nie ma służyć praktycznie, w której cały czas resetujemy szachownicę i bawimy się samą grą i cieszymy się tak długo, jak długo ona jest kontynuowana.
1024:  KMM - Zresztą w którymś momencie, właśnie w pierwszym sezonie, Logan Roy wprost mówi, że to wszystko jest gra, trzeba tylko umieć grać.
1031:  KMM - I on się tą grą cieszy.
1033:  KMM - I w którymś momencie widać bardzo intensywnie, że on już był
1036:  KMM - prawie gotowy do tego, żeby oddać władzę i rzeczywiście doprowadzić do tej sukcesji, ale w którymś momencie stwierdził nie.
1044:  KMM - Chce dalej być graczem i chce dalej zwyciężać.
1046:  KMM - Dokładnie to samo praktycznie widać przez wszystkie sezony u Romana, u Siw, oczywiście także u Kendala.
1054:  KMM - Praktycznie każdy w tej rodzinie chce cały czas grać i boi się tego momentu, w którym wypadnie z gry.
1060:  KMM - No i wypadnięcie z gry jest tożsame z wypadnięciem z rodziny.
1063:  KMM - Więc wydaje mi się, że te dwa...
1065:  KMM - Te dwie sfery są ze sobą tak zazębione, że ja tutaj w ogóle nie widzę żadnego obszaru dla myślenia o rodzinie właśnie w innym kodzie niż tylko, że to jest cenne IP w portfolio inwestycyjnym.
1076:  BFP - A nawet uzależniają od swojej pozycji w grze całą swoją pozycję w życiu, w oczach innych ludzi, społecznie.
1083:  BFP - Doskonale oddaje to scena skandalem w tym ostatnim odcinku, kiedy on mówi, ja jestem trybem, który pasuje tylko do jednej maszyny.
1089:  BFP - To jest jedyna moja funkcja.
1091:  BFP - Jest potężny ten kadr ostatni, kiedy widzimy Kendala po raz kolejny, przegranego, a naprawdę, co mu w życiu zostało?
1099:  BFP - W sensie, ja bałem się o to, że on sobie zrobi krzywdę, kiedy wsiadał do tej windy i myślałem, że ona raczej zaprowadzi go
1106:  BFP - na dach niż na parter.
1107:  GW - Też tak sądziłem, że w końcu te wszystkie swoje poprzednie próby autodestrukcji sfiniszuje i ponoć właśnie tutaj, wybaczcie, ale wniosek się do tego podcastu, była jedną z wariantów scen końcowych tego serialu.
1123:  GW - Było to, że on wstawał na barierkę nad tą wodą.
1128:  GW - Tak.
1129:  GW - a Colin, czyli jego ochroniarz, był ochroniarz ojca, go miał stamtąd jakby ściągać, ale stwierdzono ostatecznie, że jednak to jak się zakończył serial w tej wersji, jaką widzieliśmy, daje pewną nadzieję, że jednak z tej przegranej
1152:  GW - Kendall może jednak jakoś wyjść i faktycznie nie stoczy się całkiem w autodestrukcję.
1158:  GW - I zauważcie, że ostatecznie jakby koniec tego serialu dla trójki rodzeństwa przynajmniej, tych, którzy najbardziej zaciekle ze sobą walczyli, ostatecznie dał im uwolnienie.
1170:  GW - Tak.
1171:  GW - Bo
1172:  GW - Właśnie ten pociąg za sukcesją sprawiał, że co chwila wbijali sobie nóż w plecy, zawiązywali pakty, które co chwila łamali, byli dla siebie okropni w każdym możliwym względzie, w momencie kiedy nie ma już o co walczyć?
1189:  GW - Roman pierwszy raz faktycznie widać, że się szczerze uśmiechnął.
1194:  GW - Kendall też jakby ma to pewne uwolnienie od tego brzemienia władzy.
1202:  GW - Co z Shiv to akurat jeszcze nie wiadomo patrząc na to w jakiej pozycji się stała, ale do tego jeszcze dojdziemy.
1209:  MG - Ja bym tylko dodał jedną rzecz do tego, co mówił Grzegorz.
1213:  MG - Pamiętajcie o jednej rzeczy.
1214:  MG - Za plecami mamy odcinek, w którym został dopięty deal z PGM, z rodziną Pirsów, który był powiązany z faktem upłynnienia aktywów
1225:  MG - każdego z rojów w Waystar, co oznacza, że w momencie sprzedaży każdy z nich się inkasuje naprawdę potężną sumę, więc nikomu głos z głowy nie spadnie.
1236:  MG - Każdy z nich, nie tylko, że pozostaje miliarderem, będzie jeszcze bogatszym miliarderem.
1242:  KMM - Chciałem wydobyć jeden wątek, który przepięknie się pojawił w dyskusji na czacie, mianowicie, że zauważcie, że przy całym tym mówieniu o rodzinie Royów cały czas zapominamy, że Connor jest tym najstarszym, ale on się kompletnie właśnie nie liczy, ponieważ on nie jest częścią IP, on jest poza zupełnie.
1260:  KMM - Z innej matki.
1261:  KMM - Tak, więc to jak Kendall wrzasnął w tej ostatniej kulminacyjnej scenie, do której jeszcze pewnie wiele razy nawiążemy ostatniego sezonu sukcesji, że jest najstarszy, ja jestem najmłodszy, on po prostu kłamie, że on jest najstarszy tylko w wymiarze kapitałowym i w wymiarze inwestycyjnym, zarządczym.
1282:  MG - Czyli jedynym, który się liczy.
1283:  KMM - Tyk, czyli jedynym, który się liczy.
1285:  KMM - Natomiast oczywiście, że Conor to jest chodząca szopka bożonarodzeniowa i to jest katastrofa absolutna połączona z jarmarkiem średniowiecznym i jeszcze w takim bardzo charakterystycznym, amerykańskim, odpustowym stylu.
1297:  KMM - To jest kombinacja, która jest wręcz niebezpieczna.
1300:  KMM - Ja byłem autentycznie przerażony w którymś momencie, jak startował na prezydenta, ponieważ odzywały mi się w głowie
1307:  KMM - bardzo interesujące analogie wobec pewnej wybitnej osobistości, która kiedyś autentycznie wypowiedziała słowa jako najpotężniejszy człowiek świata.
1315:  KMM - Ja mam słowa, ja mam dużo słów, jestem bardzo edukowanym człowiekiem.
1321:  KMM - To ty powiedziałeś to małe wynisomy.
1321:  MG - Tak, ale Krzysztof, pozwól na małe votum separatum a propos Szekspira, bo mówisz, że o coś chodziło.
1327:  MG - Wiesz, to u Szekspira znajdujemy It is a tale told by an idiot full of sound and fury signifying nothing.
1333:  MG - I w Królu Lirze znajdujemy przecież tą rywalizację z ojcem i ojca, którego próbuje się wykopać jak najdalej od tronu, żeby tron pochwycić.
1347:  MG - I to w Ryszardzie III mamy tą obsesję
1353:  MG - Tego, że I can add colors to the chameleon, I can send the treacherous Machiavelle to school, can I do all this but cannot get a crown?
1366:  MG - Korona, obsesja na punkcie tego, żeby usiąść w fotelu ojca, bo wtedy w jakiś magiczny sposób wszystko się spełni, wszystko zacznie do siebie pasować, ale nie można, nie da się.
1379:  MG - Na każdym etapie czegoś brakuje.
1380:  BFP - Marcin nareszcie zdjął ze mnie brzemię używania języka angielskiego na polskim vlogu i teraz już za każdym razem, kiedy ktoś powie Dlaczego mówisz Disney+, zamiast Disney+, powiem kurwa sprawdź sobie tę naszą dyskusję o sukces i posłuchaj.
1393:  BFP - Przynajmniej nie mówimy Shakespeare'a.
1396:  BFP - Druga rzecz... Możemy mówić trzęsi gruszka od teraz, jestem za.
1400:  BFP - Faktem jest, że Connor w tym serialu zawsze był tym jednym rotacyjnym kompanem z Mass Effecta, którego czasem bierzemy na misje, ale generalnie mamy Garusa i mamy...
1411:  BFP - jeszcze tego fantastycznego... No, no, no, kogo jeszcze?
1414:  BFP - Mordina, Mordina, mamy Mordina i jest najlepiej.
1417:  S01 - Tańczące metafory, dobrze.
1418:  BFP - Dobrze, Mordin tak.
1419:  BFP - Bartosz napisał, wozi wodą, mi szczególnie zapadł w pamięć, zostając w temacie rodziny wciąż, cytat Kendala, I love them, but I am not in love with them, kiedy chciał sam przejąć firmę, mimo uzgodnień z rodzeństwem koło siódmego odcinka.
1434:  BFP - Tak było i wydawało mi się, że on, to było w rozmowie bodajże z, zawsze ich mylę, Frank i ten drugi,
1441:  BFP - To było w rozmowie z Karlem.
1444:  GW - Trójka Wiedźm to jest Jerry, Carl i Frank.
1448:  GW - A dopiero potem są te przedupasy, czyli Karolina, Hugo i... Faktycznie.
1453:  MG - The Greybeards to jest tamta trójka.
1458:  BFP - Zwróćcie uwagę, że w tym ostatnim odcinku trochę wracamy do punktu wyjścia z początku tego sezonu.
1465:  BFP - I mamy ten moment, kiedy widzimy rodzeństwo.
1469:  BFP - Mamy moment, kiedy naprawdę widzimy ludzi, którzy darzą się sympatią, darzą się głębszym uczuciem niż tylko wspólnotą krwi i jak bardzo ponownie było to wyprowadzenie nas na manowce.
1485:  BFP - Moment, w którym widzimy ich w domu swojej matki.
1489:  BFP - Moment, w którym cieszą się swoim towarzystwem i jesteśmy przekonani, ja byłem przekonany, ponownie uległem, uległem Jesse'emu Armstrongowi, jego urokowi i iluzjom, które kreuje przed naszymi oczami, że o to chodziło w tym serialu, że to nie miała być sukcesja, że oni muszą wyrwać firmę z czyichś rąk.
1513:  BFP - I to też byłoby ciekawe zakończenie, gdyby wyrwali to z rąk Madsona, ale tak się nie stało.
1517:  GW - Logan Roy tak sobie marzył w pewnym momencie, że on potrzebuje killera na swoje stanowisko.
1525:  MG - Tak, ale jak o tym mówimy, to ja mogę powiedzieć, ja miałem trzy zakończenia, które były wymarzone i nad którymi studiowałem.
1532:  MG - Pierwsze zakończenie, które wydawało mi się nieprawdopodobne, że kuzyn Greg od początku udaje idiotę, że to jest hipoteza Claudiusza, że Greg w którymś momencie po prostu będzie jak Edward Norton w lęku pierwotnym.
1545:  BFP - Ale nie, to było jak z braćmi Marx, ten gościu wygląda jak idiota i zachowuje się jak idiota.
1550:  BFP - Ale nie da się zwieść poza harmonię z idiotą.
1553:  MG - To był przypadek Grega.
1555:  MG - Drugie, to było to, co nazwałem hipotezą Benego Blanco.
1559:  MG - Pamiętacie życie Carlita?
1562:  MG - Że na samym początku Bene Blanco z Bronxu, to wyobrażałem sobie, że Lawrence Yee, na samym początku, który został wrzucony do zarządu firmy,
1573:  MG - Przez cztery sezony nie ma o nim mowy.
1575:  MG - I w czwartym sezonie się pojawi i powie, pamiętasz mnie?
1580:  MG - Lawrence z Woltera.
1582:  MG - I on zostanie prezesem.
1583:  MG - To by było powalające zakończenie, ale nie.
1587:  MG - I Lawrence się pojawia w ostatnim odcinku.
1589:  MG - Więc pomyślałem sobie, to jest Benny Blanco, to się stanie.
1593:  MG - Ale nie.
1593:  MG - Ostatnie zakończenie, o którym myślałem, które byłoby naprawdę mocne,
1597:  MG - To byłoby zakończenie, w którym dochodzi do połączenia Waystar z firmą Peersów.
1604:  MG - Ale Nan Pierce upiera się przy tym i doprowadza do tego, że szefową tego przedsięwzięcia jest Szyf.
1611:  MG - Dlatego, bo jest kobietą i bo ma odpowiednie demokratyczne poglądy.
1618:  MG - I wtedy Nan Pierce mogłaby powiedzieć do Logana, ironiczne, prawda, bo masz swoją sukcesję, twoje dziecko jest na szale, ale twoje dziecko realizuje moje ideały.
1630:  MG - Twoje dzieci mówią moim głosem i to mogłoby być przedstawione jako swego rodzaju triumf old money.
1638:  MG - Okej, przyszliście tutaj noworysze, powygłupialiście się chwilę, ale na koniec to my zgarniamy całą pulę, bo wy to robicie od wczoraj, my to robimy od 200 lat.
1649:  GW - Filipie zauważ, że my w ogóle w jednym ze scenariuszy, jaki przewidywaliśmy po trzecim sezonie, poza właśnie faktycznie sukcesją Kendala, która wydawałaby się najbardziej teoretycznie logiczna, Marcin zleciał z krzesła z wrażenia.
1667:  GW - A właśnie Siwon, tylko że nie w tak pięknym scenariuszu, jakim to przedstawił Marcin, to rozważaliśmy, że właśnie Tom z Gregiem przejmą firmę i trochę trafiliśmy.
1680:  BFP - Pokrętny sposób, ale trafiliśmy.
