🔴 Uruchamiamy wsparcie Bez/Schematu! || Q&A Bez/Schematu #2
🔗 https://www.youtube.com/watch?v=tdBwISPwGLU
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  KMM - Bikłeś, jestem już w telewizji.
210:  KMM - A dla mnie to w ogóle jest kwestia, która nie powinna być polityczna.
212:  KMM - To znaczy kwestia płci, kwestia seksualności, kwestia rasy nie powinna być tematem politycznym.
217:  KMM - I niestety jest i ja tutaj jednak trochę będę obciążał korporacje za to, że idą w taki łatwy dryg, że mogą sobie zmienić logo na tęczowe i później...
227:  KMM - Ręce umyte i możemy już zwolnić osobę, która jest LGBT, na przykład bez żadnego problemu.
232:  BFP - To ja tu powiem fajną rzecz, którą powiedział w jednym z wywiadów Sapkowski.
238:  BFP - Jeden z jego niedawnych wywiadów w polityce.
240:  BFP - W ogóle byłem porażony, jak bardzo Sapkowski jest okurant, jak bardzo jest na bieżąco ze wszystkim.
247:  BFP - I pojawił się wątek Nila Gaimana i Sandmana, który jest realizowany przez Netflixa.
253:  BFP - Zaznaczę Sandmana i jednej z moich ukochanych powieści graficznych komiksów wszechczasów.
258:  BFP - Ja po prostu kocham Sandmana, mam obsesję na punkcie tego dzieła.
262:  BFP - I pojawił się wątek śmierci, Death, która w komiksie była przedstawiana jako gotka.
268:  BFP - Miała bardzo charakterystyczny wygląd i bardzo charakterystyczny wizerz.
272:  BFP - I w serialu będzie grała śmierć czarnoskóra aktorka, z czym totalnie nie mam problemu.
278:  BFP - Ale Sapkowski użył ciekawego argumentu.
280:  BFP - Sapkowski powiedział, jeżeli fani wychowali się na takim medium, czy mieli styczność z pewną historią w takim medium jak komiks, a nie książka, to oni mieli już blueprint, mieli pierwowzór tego, jak powinni wyobrażać sobie daną postać w postaci plastycznej.
297:  BFP - I teraz ingerowanie w to i niedobranie aktora, czy nieucharakteryzowanie aktora w taki sposób, żeby był zgodny z wizją przedstawioną w komiksie, czyli w sposób graficzny, jest łamaniem pewnej konwencji, łamaniem pewnego kanonu, który powinno się traktować jako szacunek do fanów.
313:  BFP - Więc to jest argument, który bardzo był dla mnie ciekawy i chciałem się tylko nim podzielić, pomimo, że nie do końca się z nim zgadzał, dał mi do myślenia.
319:  BFP - Ale w ogóle mega dziękuję za kolejne wsparcie, które się pojawiają trybutariuszy i
324:  BFP - Specjalnie wyjątkowy jest moment, kiedy Dominika Klimczak, która jest autorką tych emojis, które już teraz możecie widzieć, jest naszą wspierającą, jest protektorką bez schematu i używa tych ikon, które zaprojektowała razem z nami, co jest wspaniałe.
339:  BFP - Woli jest moją ukochaną.
341:  KMM - Tak zwany w międzyczasie jeszcze Mikasa Witamy i Prometa 00.
345:  KMM - Jesteście niesamowici absolutnie.
347:  KMM - Dziękujemy wam.
349:  KMM - Kochani, bo przez to, że ubiegamy temat, ubiegamy temat, ale to bardzo dobrze, bardzo dobrze, nie rozpoczęliśmy tego, co mamy dla was przyszykowane.
358:  KMM - Mamy przyszykowane to, co zawsze w tym formacie, to znaczy prosiliśmy was czas jakiś temu, żebyście zaczęli przygotowywać pytania i ja przejdę do przedstawiania wam tygrze, a Filip będzie nadrabiał i wspierających, i jakieś super czaty, które się będą pojawiały, i w ogóle tematy, które są w komentarzach, moi kochani.
377:  BFP - Zgredek, dziękujemy za wsparcie bardzo.
378:  KMM - Więc na sam początek, ponieważ zostało zaspoilowane to, że Dominika Klimczak robi te przepiękne emoji, które widzicie, to jest Instagram Dominiki.
389:  KMM - Zaglądajcie na Instagrama Dominiki, bo to są ładne rzeczy, nawet straszne chihuahy się pojawiają w którymś momencie.
396:  KMM - i Dominika jest otwarta na wszelkiego rodzaju współprace, graficzne projekty, jak widzicie jest to absolutnie niesamowite i nieziemskie, więc mega ze swojej strony polecamy, współpracuje nam się z Dominiką cudownie, a ja jeszcze mam taki handicap, że współpracuję z Dominiką niezależnie na swoim kanale, więc mogę polecać tym bardziej i tym szczerzej, co powiedziawszy jeszcze raz do Miszka Foto na Insta, na Behance z kolei możecie zobaczyć też jej inne prace, a my przechodzimy do Creme de la Creme, czyli naszego Q&A powoli.
426:  BFP - Dzięki serdeczne, Oskar, za Zostanie Protektorem i PiS-ku.
431:  BFP - Także dzięki serdeczne.
432:  BFP - Jeszcze dzisiaj w ogóle pokażemy wam parę emojis więcej.
435:  BFP - Zobaczycie, co jeszcze planujemy, bo naprawdę nasze plany współpracy z Dominiką są bardzo szerokie, bardzo śmiałe.
441:  BFP - Jesteśmy mega zadowoleni z tego, co robi Dominika.
444:  BFP - Zresztą to, co robiła podczas i ta deklaracja, którą życzyła podczas streamu wośpowego Krzysztofa, pamiętnego, na którym udało się wygenerować 27 tysięcy wpłat na wośp i ten obraz olejny, który teraz powstaje, polecam, na Discordzie można uruchomić tę dyskusję, żeby dowiedzieć się więcej, to jest coś niesamowitego.
463:  BFP - I to, co teraz powstaje dla Bez Schematu z pomocą Dominiki też jest niezwykłe.
467:  KMM - Holistyczna Agencja Eskapistyczna, wszyscy, którzy nas słuchają, link jest w opisie.
471:  KMM - W Holistycznej Agencji Eskapistycznej jest duża społeczność, ale oprócz tego jest też wydzielona strefa bez schematu, na której są informacje o wszystkim, co na bez schematu planujemy, w tym także o tym live'ie i wszystkich materiałach, które będą niezależnie od tego, czy to shorty, czy regularne materiały, czy też rozmowy.
487:  KMM - Co powiedziawszy, moi kochani, na sam początek 10 pytań, które wyselekcjonowaliśmy dla was.
493:  KMM - W pierwszej kolejności mamy pytanie, które już zostało troszeczkę naruszone przez Filipa, bo napomknęliśmy o wspaniałym, cudownym, świetnym, doskonałym, kongenialnym zwiastunie Lord of the Rings na Amazon Prime.
508:  KMM - Konkretnie to nie jest Lord of the Rings, tylko to jest Rings of Power.
511:  KMM - Witam i pozdrawiam, pisze Mika.
513:  KMM - Pozdrawiamy takoż.
514:  KMM - Co wam się podobało w nowym zwiastunie
516:  KMM - Lord of the Rings.
520:  KMM - Nic.
521:  BFP - Filip?
524:  BFP - Po pierwsze, Marek, dzięki serdeczne, że dołączyłeś do grona protektorów.
528:  BFP - Ja wniosę jakieś fluidy pozytywne, to znaczy to, co mnie się podobało, to zapominając na moment o postaciach, które się pojawiają, o ich charakteryzacji, o ogólnym klimacie,
543:  BFP - Zwracając uwagę na scenografię i tak zwany production design, to mam wrażenie ciągłości tego świata, który wykreował Peter Jackson.
553:  BFP - Czyli ja mam wrażenie, że to jest umieszczone w tej samej wizji świata.
559:  BFP - I to jest dla mnie obiecujące.
560:  BFP - Wszystko pozostałe... Ja nie jestem tak krytyczny jak Krzysztof i tu też nawiążę do tego shorta, który przygotował Krzysztof.
569:  BFP - Nie do końca podoba mi się krytyka, która się tam pojawi.
572:  BFP - Nie dlatego, że nie lubię krytyki i nie dlatego, że bronię przyjaciela, bo ja lubię jak go się jedzie.
580:  BFP - Ale są takie zarzuty o to, że chodzi o kolor skóry, bo wspomniał, że królowa klas narodów wygląda jak cygańska wróżka.
588:  BFP - To kompletnie nie chodzi o kolor skóry.
590:  BFP - Tu chodzi o, no właśnie, production design, to jak ta postać jest przedstawiona, to jak jest ubrana, jak ma zrobione włosy itd.
596:  BFP - I Krzysztof podaje 30 sekund później, a jak to mogłoby wyglądać?
600:  BFP - Przykłady znakomitych ilustratorów, którzy pokazują królowę krasnoludów z młotem bojowym w pełnym rynsztunku, która naprawdę krzyczy swoim wyglądem, tak, jestem królową krasnoludów.
613:  BFP - I
614:  BFP - Powiedziałbym tak, zrobiłem sobie dzisiaj taki eksperyment myślowy, czy ja dzisiaj bym zobaczył fragment trailera, w którym Jan McKellen jako Gandalf ciągnie za uszy Pipina i Mary'ego na przykład, to nie pomyślałbym Jezu, co za kamp.
635:  BFP - Albo jakbym zobaczył krasnoludów, którzy się przewracają, wchodząc do Bilbo Bagginsa i jego chatki, to czy nie pomyślełbym, co za kicz, co za kamp?
645:  BFP - Tego się nie da oglądać.
647:  BFP - Być może tak.
648:  BFP - I mając to z tyłu głowy, i mając z tyłu głowy tak, że jak słaba była bitwa pięciu armii, czyli ostatnia w trylogii Hobbita.
656:  KMM - No zwłaszcza w wersji niereżyserskiej, bo w wersji reżyserskiej jest ciut lepsza.
660:  BFP - Tak, mimo że jeszcze bardziej rozciągnięta.
665:  BFP - To zostawiam ten benefit of doubt, że ten serial może zaskoczyć, że może wywierać takie wrażenie, bo ponownie, gdybym dzisiaj zobaczył Gandalfa ciągnącego za ucho Pipina i mówiącego you fool of a took, to może nie byłbym zachwycony, to może nie byłoby to, to nie byłoby tak, że wyobraziłbym sobie, wiecie, jak ja pierwszy raz zobaczyłem The Lord of the Rings, ja byłem, ja marzyłem, żeby ktoś zrobił film, który będzie zobrazowaniem tego, co przeżywałem, kiedy schodziłem na piąty poziom lochów w Kuldahar Weisswindale'u na przykład.
694:  BFP - I jak ja zobaczyłem coś takiego, co się dzieje w kopalniach Morii, to pomyślałem, to jest to, co się nie dzieje.
702:  BFP - Ale równie dobrze mógłbym zmontować taki trailer Władcy Pierścieni i teaser trailer, który pokazywałby dokładnie to, co wywarłoby na mnie takie wrażenie, jakie wywiera ten trailer.
713:  BFP - Więc plus za ciągłość świata, którą widzę na pewno scenografii, production, design.
718:  KMM - Sermo Wento tymczasem i Sam Wit dziękujemy serdecznie za dołączenie do wspierających, do protektorów naszych.
726:  KMM - Przy okazji dodam, że Sam Wit to jest ten dobry człowiek, który sprawił, że ja w ogóle ukończyłem DAX-3, ponieważ prowadził mnie przez ten labiryntowy świat.
734:  BFP - Przede wszystkim człowiek, dzięki któremu kończyłem doktorat.
738:  KMM - Nie, ten człowiek, dzięki któremu ukończyłem doktorat jest jeden i to jestem niestety ja, ponieważ nikt mi nie pomógł i to jest bardzo smutne.
745:  KMM - Natomiast jak zawsze pozdrowienia najserdeczniejsze dla Wydziału Polonistyki UJ.
750:  KMM - Przy okazji wychwyciłem dwa, dwie fajne uwagi na czatach dotyczące właśnie tego tematu, o którym mówimy, to znaczy po pierwsze,
759:  KMM - przy mikrofonie pisze, nie chodzi o kolor skóry krasnoludzicy, mi przeszkadza brak brody.
764:  KMM - Poważnie, w lore Władcy Pierścieni jest także krasnolud, który zgoli brodę i jest, to jest świadectwo jego największego wstydu.
771:  KMM - On to robi wtedy, kiedy, to jest mniej więcej tak Sepuku, żebym teraz się nie pomylił w kulturze japońskiej.
777:  KMM - Japoniści na czatach teraz bym powiedział, ale gdzie Krzysztof, to jest Harakiri, nie Sepuko.
781:  KMM - Zawsze mylę te dwie rzeczy.
782:  KMM - W każdym razie,
783:  KMM - Dla krasnoluda to jest to właśnie.
785:  KMM - To jest to, co on robi w momencie, w którym jego tożsamość, wszystko, honor, legło w gruzach i w ruinie.
792:  KMM - I druga kwestia, jak krasnoludy mogą być czarne, skoro żyją pod ziemią.
795:  KMM - To jest kolejna kwestia, która jest bardzo rzadko poruszana w przypadku fantastyki, bo fantastyka tolkienowska, świat fantastyczny Tolkiena jest światem przedindustrialnym.
803:  KMM - Więc tam nie ma możliwości na wystąpienia takiej migracji ludów między różnymi rejonami świata, jak jest w wypadku innych narracji.
813:  KMM - Tak jak jest, nie wiem, w wypadku, nazwijmy, dajmy na to, dowolnej fantastyki miejskiej, która się rozgrywa, nie wiem, w okolicach XIX stulecia, prawda, tam już jest, są techniczne możliwości do tego, żeby się przemieszczać, typu, nie wiem, koleją żelazną, tak, to jest u Marty Wells albo gdziekolwiek indziej.
829:  KMM - Utorkina tego nie ma.
831:  KMM - Jeżeli byśmy jeszcze mieli jakieś teleporty magiczne, spoko, jesteśmy w stanie to uzasadnić, więc problem jest taki, że zawsze będzie tak, że będą równolegle rasy występować na jakimś kontynencie, ale nigdy nie będą wymieszane w jednej metropolii na przykład.
845:  KMM - Więc tak, ta uwaga jest viable jak najbardziej.
850:  KMM - To co, kochani, następny temat.
852:  KMM - Lecimy, lecimy.
854:  KMM - Dawaj kolejne pytanie.
856:  KMM - Daję kolejne pytanie.
857:  BFP - Kamil, dzięki za wsparcie i dzięki za dołączenie do Grupy Protektorów.
862:  KMM - Moi drodzy, to jest pytanie, które jest gwałtowne, które jest rozpaczliwe.
867:  KMM - To jest głos wołającego na puszczy i na pustyni zarazem.
872:  KMM - Czemu Filip, skoro Bartosz?
875:  KMM - I demand answers, prosi Kluchenmuchen.
878:  KMM - No dobra, opowiadaj Krzysztof.
882:  KMM - Ja nic nie, ja umywam ręce, jestem jak Piłat dzisiaj.
885:  BFP - Dobra, opowiadam.
889:  BFP - Jak powiedział kiedyś słusznie mój przyjaciel Marcin, z którym zakładałem bez schematu, który jeszcze dzisiaj pojawi się w naszych historiach.
896:  BFP - Powiedział kiedyś, twoje imię brzmi jakby ktoś zwracał się do ciebie w trybie rozkazującym,
903:  BFP - używając rzeczownika odczasownikowego.
905:  BFP - Tylko mi tu nie Bartosz.
907:  BFP - Nie Bartosz mi tutaj.
909:  KMM - Nie znałem tego.
909:  BFP - To co jest...
913:  BFP - pewną formą wyrazu tego, jak bardzo nie podoba mi się imię Bartosz.
917:  BFP - I odkąd pamiętam, naprawdę nie cierpiałem imienia Bartosz.
921:  BFP - Bartuś, niektórzy mówili Bartłomiej, Bartek, Barteczek, po prostu nie znoszę.
927:  BFP - Nie wiem, jak Wam to wytłumaczyć, ale to jest trochę tak, jakbyście ugryźli kawałek pysznego hamburgera
933:  BFP - może być równie dobrze z mięsem wegańskim, ale okazało się, że w środku jest rozbite szkło.
938:  BFP - To jest mniej więcej takie uczucie, które ja mam, kiedy ktoś używa imienia Bartek, Bartuś.
942:  BFP - Bartosz trochę lepiej.
943:  KMM - Bartosz pisze, proszę mi tu imienia nie szkalować, a Kluchenmuchen odpowiada, w końcu będę mogła spać spokojnie.
951:  KMM - Jedna z wielkich tajemnic bez schematu została rozwiązana.
955:  BFP - Ja dlatego, jako człowiek uprzejmy... Ja jeszcze nie skończyłem historii.
959:  KMM - Dobrze, ale ja ci przerwałem, więc ja jako człowiek uprzejmy po pierwsze przerywam, a po drugie jak Filip mi opowiedział rzeczoną historię, to mówię już do niego konsekwentnie Filip, bo wiecie, ja jestem z tych ludzi, którzy jeżeli ktoś ich poprosi, żeby się do nich zwracał odpowiedź na przykład jakimś zaimkiem, to ja mówię okej, nie robię z tego problemu politycznego.
979:  BFP - Znaczy Krzysztof do mnie mówi tylko często Filip, tylko mi tu nie Bartosz.
982:  BFP - Natomiast rozmawia mnie co Zgredek powiedział, że jakby połączyć te dwa imiona to byłoby Fartosz.
989:  BFP - Albo Bilib.
991:  BFP - I pamiętam, że jak miałem chyba 14 czy 15 lat, to moja babcia, moja babcia świętej pamięci Leokadia powiedziała, że a ty wiesz, że ty miałeś mieć na imię Filip?
1004:  BFP - Rodzice ci nadali imię Filip, ale w szpitalu, jak cię odwiedziłam, jak się urodziłeś, to stanęłam w drzwiach i zabroniłam wyjść komukolwiek, póki nie przyjmą mojej delikatnej sugestii, że masz mieć na imię Bartosz, bo kocham to imię.
1018:  BFP - I tylko spierałam się z twoją mamą, twój tata ustąpił, bo wiedział, że nie ma sensu walczyć, w końcu twoja mama też ustąpiła, masz na imię Bartosz.
1024:  BFP - I to był dla mnie jeden z największych szoków w moim życiu.
1027:  BFP - Słyszałem od mojej babci, że odebrała mi imię, które czuję.
1031:  BFP - Naprawdę, usłyszałem Filip i poczułem jakby jakiś delikatny strumień spłynął mi po plecach.
1036:  BFP - Dziwnie to brzmi, ale jakby spłynął mi po plecach, delikatny.
1040:  BFP - Złoty deszcz.
1042:  BFP - I delikatna bryza musnęła mą twarz, pomyślałem Filip, Filip.
1048:  BFP - I poczułem, że ktoś mi coś odebrał i to była moja babcia Lokadia.
1053:  BFP - I pamiętam, że trafiłem na zajęcia z języka angielskiego, jak przygotowywałem się do tam jakiegoś, nie pamiętam, to był jakiś certyfikat, advanced coś tam, to się nazywa, nie pamiętam.
1063:  BFP - No w każdym razie jakiś certyfikat się dostałem, głupia sprawa.
1067:  BFP - I tam była piętnastoosobowa grupa i autentycznie było trzech Bartoszów poza mną.
1073:  BFP - I prowadząca, która była fantastyczną osobą, powiedziała...
1076:  BFP - Bartosz, nie chcę wymawiać tego imienia po raz kolejny, musisz wybrać sobie inne imię, bo mam już trzech Bartoszów.
1082:  BFP - A ja powiedziałem, podaliście mi to na tacy, Filip.
1085:  BFP - I to było pierwsze grono ludzi, które zaczęło do mnie mówić Filip.
1089:  BFP - I to się tak przyjęło, że pewnego razu przyszedłem do liceum i powiedziałem wszystkim moim znajomym, mówcie do mnie od tej pory Filip.
1095:  BFP - I ci, którzy nie chcieli, nie mówili.
1099:  BFP - ale ci, którzy chcieli, mówili i w końcu ci, którzy nie chcieli, także przyjęli to w końcu od reszty.
1104:  BFP - I teraz naprawdę, kiedy już komuś się przedstawiam, mówię Filip, bo uważam, że to jest to moje prawdziwe imię, a Bartosz jest imieniem, którego po prostu nie wykreśliłem urzędowo, a że łączę to Bartosz Filip Malinowski, to jest to takie połączenie, które trudno zapomnieć.
1117:  BFP - Bartoszów Malinowskich jest sporo, bo to Malinowski jest dość popularnym językiem Filipów Malinowskich jest sporo, ale Bartosz Filip Malinowski, BFM is in the house, yo!
1127:  BFP - No, taka historia.
1129:  KMM - Ja nie nadążam z tym, co się dzieje na czatach, więc na wszelki wypadek powitam, witam w gronie Protektorów Bez Schematu, jak również powitam Kamila Szymurę.
1137:  KMM - Dziękuję wam najserdeczniej.
1139:  KMM - I ja jeszcze dodam jeden mały borał z mojej strony.
1143:  KMM - To znaczy, jak widać...
1144:  KMM - Nie trzeba mieć innej orientacji seksualnej na przykład, albo innej tożsamości psychoseksualnej, żeby chcieć, żeby się do nas zwracano inaczej.
1154:  KMM - Więc dla wszystkich, którzy nas słuchają i mieli z tym kiedykolwiek jakiś problem, a mam nadzieję, że tak nie było, to wyciągajcie wnioski, co jest w przypadku ludzi, którzy się czują kimś innym od dzieciństwa.
1168:  BFP - Nie, czasem jak ludzie mówią, czy mówić do ciebie Bartosz czy Filip, a bardzo wielu klientów tak mówi w normalnych relacjach, które mam biznesowych, to mówię, możesz mówić Filip, ale jak powiesz Bartosz, to też zareaguje naprawdę, także tylko nie Bartuś.
1185:  KMM - Kluken Muken pisze, że tata chciał, żebym była Weroniką, a mama Karoliną, więc poszli na kompromis i mam na imię Karolina.
1190:  KMM - To jest taki ładny kompromis.
1193:  KMM - Bardzo mi się podoba.
1196:  KMM - I jeszcze widzę, że patch do Cyberpunka był.
1199:  KMM - Wiecie, co ja zrobiłem z patchem do Cyberpunka?
1202:  KMM - Mianowicie, jak pojawił się na liście na Steamie, to dałem anuluj.
1206:  KMM - To jest mój komentarz, jeżeli chodzi o patcha do Cyberpunka.
1209:  KMM - Wolę zdecydowanie ten następny patch, który będzie do Warhammera 3, to znaczy launch patch, który się pojawia.
1215:  KMM - Moi kochani, idziemy w takim razie, brniemy dalej w wasze pytania, ponieważ to naprawdę nie jest wszystko, co mamy przygotowane.
1221:  KMM - Jeszcze tylko 53.
1222:  BFP - Cyberpunk to jest dla ciebie dead game.
1224:  KMM - Tak.
1224:  KMM - I teraz mamy trzecie z ważnych pytań, które się pojawia.
1227:  KMM - Bardzo lubię na nie odpowiadać.
1228:  KMM - Zwłaszcza, że pojawia się tutaj słowo, które myślę, że wszyscy powinniśmy zapamiętać.
1232:  KMM - Rzeczownik pod tytułem Jamnikofil.
1235:  KMM - Jamnikofilem jest Maciej Chełstowski, jamnikofilem jestem również ja, więc o co chodzi z jamnikami odpowiadam z radością, że to są najszlachetniejsze ze zwierząt i należy je czcić i dodam, że przed jamnikiem uderzczałem jamnik górą, chociaż dołem.
1248:  KMM - I zamknę to jeszcze sformułowaniem, że nie wyprowadzam się z Krakowa tylko i wyłącznie dlatego, że w Krakowie są parady jamników.
1256:  KMM - Mam nadzieję, że nie masz absolutnie nic do dodania w tej kwestii Filipie, co byłoby zaprzeczeniem moich słusznych słów.
1263:  BFP - I'm all for jamniks.
1266:  BFP - Das Hund.
1267:  KMM - We jamniks to byłaby dobra kapela metalowa.
1270:  BFP - W takim razie... Wspomnij mi, jaki jest po angielsku jamnik?
1273:  KMM - Dachshund.
1274:  KMM - Wzięli z niemieckiego, ale alternatywnie masz i sausage dog.
1281:  KMM - Ale to Amerykanie.
1282:  KMM - Amerykanie wymyślili sausage dog po wojnie, ponieważ nie chcieli słów w słowniku, które mi się kojarzyły z Hitlerem.
1287:  KMM - O nie, powiedziałem nazwisko austriackiego malarza, YouTube będzie miał z nami problem.
1292:  KMM - Sausage dog, jakby hot dog isn't enough?
1296:  KMM - Tak, tak, isn't, najwyraźniej.
1299:  BFP - Czy sausage dog to jest po prostu hot dog z kiełbasą?
1301:  KMM - Więc ja tylko chciałem jeszcze raz z tego miejsca bardzo serdecznie pozdrowić Macieja Chełstowskiego i powiedzieć, że kupuję od tego momentu sformułowanie jamnikow i będę go aktywnie używać.
1312:  KMM - Kwot erat demonstrandum.
1313:  BFP - Winner dog.
1314:  BFP - Ktoś napisał, że winner dog.
1316:  KMM - Winner też jest, tak, to racja, czaty mają rację, winner też jest.
1320:  BFP - Ale, a to co w końcu z tym Sausage Dog?
1322:  BFP - Jest Sausage Dog?
1323:  KMM - Sausage Dog jest... Amerykanie tak mówią, a Brytyjczycy powiedzą winner.
1327:  KMM - Rzeczywiście.
1327:  KMM - Społeczności, proszę, sprawdźcie na przykład ten przypadek Krzysztofa.
1330:  KMM - Czy rzeczywiście... Nie, przepraszam najmocniej.
1332:  KMM - Nie, nie musicie.
1333:  KMM - Ja, jeżeli chodzi o lore jamników, ja jestem nieomylny.
1337:  KMM - Przysięgam, jeżeli się okaże się mylę, zaszczekam.
1342:  KMM - Mamy pytanie od Krzyszton Ofa teraz w następnej kolejności.
1345:  KMM - Chciałbym zobaczyć waszą kreatywność.
1348:  KMM - O, Filip już się cieszy, już zaciera ręce, już się wita z gąską, co przypomina mi o zdaniu ze Starcrafta, moja gąska się już smaży.
1357:  KMM - Najlepsza kwestia wypalaczy, jaka istnieje.
1359:  KMM - Mój jamnik się już robi na poddobie.
1362:  KMM - Zdanie.
1364:  KMM - Jamnik spotyka obcych.
1366:  KMM - Zmieńcie je w historię na jeden akapit.
1368:  KMM - Każdy z was i zobaczymy, co z tego może powstać.
1373:  BFP - Kto pierwszy?
1376:  BFP - Zgadnij.
1380:  BFP - No dobra.
1382:  BFP - Wszystkie moje propozycje, a mam ich kilka, zmierzają w tym samym kierunku.
1387:  BFP - Jeszcze raz, znaczy tu jest obcych...
1390:  BFP - Nie ma z dużej litery, nie wiadomo o jakich obcych chodzi.
1393:  BFP - Jak widzę Indianina, do czego też zaraz nawiążę, tego słowa i tej etymologii słowa, który spotyka obcych, to po pierwsze mam wrażenie, że nie idzie im na spotkanie.
1405:  BFP - To jest pierwsza rzecz.
1407:  BFP - Druga rzecz jest taka, że jak ich widzi, to mówi pod nosem, kurwa mam déjà vu.
1413:  BFP - Trzecia rzecz to jest, chyba wiem jak to się skończy, a czwarta rzecz, przepraszam, cały czas odejmuję jeden, to jest, mam nadzieję, że pójdzie nam łatwiej niż z poprzednimi.
1425:  BFP - Bo generalnie Indianie, którzy spotykają obcych, rzadko wychodzą na dobre.
1430:  BFP - Rzadko są górą.
1433:  BFP - Bo przypomnę, że obcymi byli wszyscy ci, którzy wylądowali z innego kontynentu na brzegu Ameryki.
1441:  BFP - Natomiast a propos tego, co mówiliśmy na początku, tego, że pojawia się bardzo dużo komentarzy pod wczorajszym shortem Krzysztofa na temat tego, że nazwał postać, nie aktorkę, postać, która odgrywa królową krasnoludów jako cygańską wróżkę i to jest chyba rasistowskie, to zauważę, że przez 500 lat nazywamy rdzennych Amerykanów Indianami.
1470:  BFP - To jest tak, jakby ktoś nas nazywał, nie wiem, Mongołami albo Bengalczykami, nas Polaków.
1478:  BFP - Znaczy, przypłynął tam Kolumb, spojrzał, powiedział, tak, to muszą być Indie.
