Co tam, panie, w Gilead? Recenzja 4. sezonu "Opowieści Podręcznej" || Gość: Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=YV3bciCrjR4
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - To co tam panie słychać w Gilead?
422:  BFP - I trochę takie mam wrażenie, że może to był celowy zabieg, wyprowadzenie nas w pole, bo ten czwarty sezon działa troszeczkę w takiej strukturze.
430:  BFP - Trzy pierwsze odcinki,
433:  BFP - same old same.
434:  BFP - Oglądamy znowu ten sam schemat, znowu June slash Offred trafia w tryby systemu, z którego chyba po prostu nie da się uciec, jakby to jest jej czyściec, w którym musi spędzić resztę swojego życia, czy może piekło.
454:  BFP - Ale to są tylko trzy pierwsze odcinki i nagle dzieje się coś w tym trzecim odcinku,
460:  BFP - Co mówi, chyba tak naprawdę się wami bawimy widzowie.
463:  BFP - I następują cztery odcinki, które konsekwentnie łamią ten schemat.
468:  BFP - Znowu mam wrażenie, o nie, nie, ale teraz na pewno wróci z powrotem do Kileata postać.
472:  BFP - Bo już zaczyna trochę spoilować.
474:  BFP - Ale nagle coś zaczyna się wychylać w jedną stronę, potem w drugą stronę.
477:  BFP - I trzy ostatnie odcinki to jest nowe rozdanie.
481:  BFP - Dla mnie to jest new deal.
482:  BFP - To jest reboot tej serii.
485:  BFP - Przy czym ostatni odcinek finałowy jest najlepszym odcinkiem całej serii.
490:  BFP - Jedną z najlepszych godzin telewizji, jakie widziałem od czasu przedostatniego odcinka miniserii Watchmen.
496:  BFP - To coś mówi.
497:  BFP - To mówi, że wszyscy z Was, którzy zwątpili w Handmaid's Tale, powinni dać temu serialowi szansę ze względu właśnie na te 7 odcinków czwartego sezonu.
508:  KMM - Ja podczas końcówki sezonu czułem się tak, jak się dawno nie czułem, to znaczy jak podczas najlepszych odcinków ze złotej ery gry o tron albo The Boys, który ostatnio obejrzałem z absolutnym zachwytem i tak jak w przypadku Mr. Robot, a nie znajduję lepszych słów pochwały i lepszych porównań.
526:  KMM - dla oddania tego, ale dopowiedziałbym szybko jedną rzecz, to znaczy rozwój tego serialu jest o tyle interesujący i fascynujący, że właśnie ten bezczas i bez miejsca, o którym mówisz, to są tak często zamknięte dystopie, tutaj nagle otwiera się na zupełnie nowe perspektywy, bo dowiadujemy się, że pojawiają się nowe lokacje nagle w serialu, pojawiają się nowe przestrzenie, dowiadujemy się o istnieniu nowych stanów, miejsc, w których jest
549:  KMM - Wszczynana rebelia.
550:  KMM - Chicago, które mieliśmy w poprzednim sezonie pokazane jako właśnie to miejsce, do którego ten Eden, do którego możemy trafić.
557:  KMM - Eden to strefa wojny jest.
559:  KMM - No właśnie, ale to jest to miejsce, do którego wszyscy dążą z tego systemu.
563:  KMM - Tak jak trochę w wyspie Michaela Beya wszystkie klony chcą iść na wyspę, tak samo tutaj.
567:  KMM - Wszyscy do tego Chicago, bo tam coś zrobimy i obalimy ten system.
571:  KMM - Tam jest rebelia.
573:  KMM - No i okazuje się to, co się zwykle okazuje, no i oprócz tego dowiadujemy się także o tym, o czym rozmawialiśmy przed nagraniem, to znaczy o tym, że są breeding colonies, przerażające miejsca, w których należy się spodziewać, że bohaterki serialu doświadczają czegoś jeszcze gorszego.
586:  BFP - To, o czym mówisz, przy tym bym się na moment zatrzymał, zanim przejdziemy do może tych motywów, które wybrzmiewają w czwartym sezonie, które go czynią, jakby to jest naprawdę
595:  BFP - fajny nić, która przeplata ten sezon i taka, powiedzmy, wręcz złota nić i pewne motywy, które sprawiają, że to ma esencję, to zatrzymamy się na tym świecie przedstawionym.
613:  BFP - To jest po prostu fascynująca dystopia, która oczywiście jest fantastyką naukową, ale
622:  BFP - Nie taką, jaka przychodzi nam na myśl, kiedy mówimy science fiction czy fantastyka naukowa.
626:  BFP - To znaczy bardzo nam znajomą, taką bliską.
631:  BFP - Ja mówiłem w tym swoim odcinku sprzed trzech lat, że ona jest oparta na tym, co jest nam znane.
637:  BFP - Taki świat, który jest namacalny i skonstruowany z klocków obecnych w naszej rzeczywistości.
645:  BFP - Ale ty mówisz o tym, czy mówiliśmy o tym bez miejscu i bez czasie.
648:  BFP - W przypadku handmade style to nawet nie jest bez czas, to jest cofnięcie się w czasie.
655:  BFP - To jest cofnięcie się w czasie, które bardzo kontrastuje, dajmy na to, z Kanadą, która pojawiła się już w trzecim sezonie i teraz także pojawia się w czwartym sezonie i pokazuje, że Kanada to jest nasza teraźniejszość, a Gilead to jest przyszłość, która jest przeszłością tak naprawdę.
671:  BFP - I to jest dość duży szok poznawczy, którego nie widziałem raczej często w popkulturze, żeby przeszłość przedstawić jako...
678:  BFP - jako niezwykłą reakcję, reaktywność, czy właśnie takie przywrócenie starego porządku w najgorszym jego wydaniu.
688:  BFP - Nie tak sobie wyobrażamy totalitaryzmy i dystopię, które są obrandowane jako science fiction.
694:  KMM - Tak, no bo Gilead de facto jest takim ziszczeniem się, czy amalgamatem trzech różnych systemów, to znaczy z jednej strony jest to po prostu teonomia, panowanie danego systemu religijnego w obszarze politycznym, ale również to jest realizacja tego snu amiszów o byciu przy naturze i wycofaniu się całkowicie ze świata technologii, kapitalizmu i tak dalej, i tak dalej.
718:  KMM - Z trzeciej strony jest to oczywiście też realizacja tego snu konserwatystów, którzy uważają, że
723:  KMM - fundamentalistycznych konserwatystów, którzy uważają, że wszystko to, co było w przeszłości jest lepsze, bo tak jak Stav pisał w jednym ze swoich wierszy, ja mam skrzypkę, skrzypkę, co nuci o tym, co było, co już nie wróci.
734:  KMM - I te trzy rzeczy grają ze sobą, tworząc świat, który totalnie nie pasuje do rzeczywistości, która jest naokoło.
741:  KMM - I to wzmaga też ten rozdźwięk, który świetnie ogrywa Henry Stale, pokazując, że zaraz, zaraz, oprócz Gileadu są jeszcze inne państwa i do tego jeszcze w drugiej części pewnie dojdziemy, ale
752:  KMM - Dla mnie to jest fascynujące, bo przypominam sobie… Przepraszam, że dzisiaj wetnę.
757:  BFP - Gilead to jest skansen w naszym świecie.
760:  BFP - To jest świetne słowo.
762:  BFP - Skansen, który na nasze nieszczęście jest totalitaryzmem, ale też zmilitaryzowaną, skrajnie zmilitaryzowaną teokracją.
773:  BFP - która zagraża innym krajom i inne kraje się jej boją, przede wszystkim Kanada, która jest sąsiadem i gdzie znajduje się rząd amerykański na uchodźstwie, ale właśnie ten kontrapunkt, kiedy widzimy, ty powiedziałeś o innych krajach, tak naprawdę widzimy Kanadę tylko, ale ta Kanada to jest ten nasz świat, a Gilead to jest ten skansen, a mimo to my się nie śmiejemy z tego skansenu, my się go boimy.
800:  KMM - A równocześnie ten skansen jest, co pamiętamy pewnie z drugiego sezonu, a może to był pierwszy sezon, nie pamiętam, ja z kolei dokładnie mam zawsze problem z pamiętaniem fabuł, ale był taki moment, kiedy dygnitarze z innych państw odwiedzali Gilead i oczywiście pokazywana im była ta wioska pociąginowska.
815:  BFP - I rzeczywiście politycy, czy ministrowie, albo ambasadorzy z Meksyku przypominają.
821:  BFP - To było bardzo ciekawe.
822:  BFP - Natomiast czwarty sezon to co robi ciekawie, to jest właśnie poszerzenie tego świata przedstawionego.
828:  BFP - Może użyłbym takiej metafory, że to jest odkrycie kilku kolejnych kart.
831:  BFP - Bo zauważ, że ty mówiłeś o tych breeding colonies, czy tych koloniach do rozmnażania, tak bym to nazwał, obozach.
842:  BFP - Obozy rozrodcze.
843:  BFP - Tak, obozy rozrodcze.
844:  BFP - To jest kolejna taka zakryta karta, która nie zostaje odkryta w tym czwartym sezonie.
849:  BFP - Wiemy, że to jest coś przerażającego, coś gorszego niż kolonie, w których musisz zbierać radioaktywne odpady i wiesz, że umrzesz w męczarniach.
857:  KMM - Tak, The Colonies w poprzednich sezonach właśnie były tym... Rzeczą, która nam się wydawała, że jest najgorsza w tym świecie.
863:  KMM - Być zesłanym do łagrów, w którym będziemy zbierać odpady radioaktywne i rekultywować je.
868:  KMM - A tu się okazuje, że jest coś gorszego.
870:  KMM - Dokładnie.
871:  BFP - I serialowy Handmaid's Tale tak fajnie grało tymi zakrytymi kartami, żeby pobudzać nasze wyobraźnie.
876:  BFP - A tu się dowiadywaliśmy, że jest Chicago, które prowadzi partyzantkę i...
884:  BFP - stawia opór militarny Gilead.
886:  BFP - Czyli nie cała Ameryka jest Gileadem.
889:  BFP - Teraz dowiadujemy się, że jest niezależna Republika Teksasu, że jest Kalifornia, która jest także niezależna i także stawia opór.
897:  BFP - Więc jakby te karty są stopniowo odkrywane.
899:  BFP - To, że widzimy więcej operacji militarnych Gileadu, to jest szczególnie ciekawe, ale wciąż ten serial nie zapomniał, co stanowi...
910:  BFP - Najbardziej atrakcyjny element tego świata przedstawionego, czyli właściwe dozowanie informacji, podrzucanie nam pewnych tropów, które podejmujemy i mówimy o ja chciałbym to zobaczyć.
921:  BFP - Jak pierwszy raz słyszysz Chicago walczy, to mówisz chciałbym zobaczyć Chicago i widzisz panoramę Chicago, zniszczonego Chicago chyba w drugim sezonie.
929:  BFP - Teraz widzisz walczący Boston.
932:  BFP - i ruch oporu, który wcale nie jest tak święty, jakbyś sobie wyobrażał, że jest siłami dobra.
939:  KMM - Ten relatywizm jest przepiękny absolutnie w serialu.
942:  KMM - To nie jest tak, że mamy cudowną, wspaniałą, świetlaną główną bohaterkę, która walczy z opresywnym męskim patriarchalnym systemem.
950:  KMM - Absolutnie nie.
951:  KMM - Te akcenty są bardzo umiejętnie rozłożone.
955:  KMM - Mnie też zachwyca to, że właśnie to, co powiedziałeś o tym umiejętnym dewakowaniu informacji, wyjaśnia nam pytanie, które mnie zadręczało od samego początku.
963:  KMM - Jak w XXI wieku pokazać coś tak anachronicznego de facto, jak właśnie ta dystopia otoczona murem, tak jak to w tych young adult dystopiach, młodzieżowych dystopiach bardzo często w prosty sposób pokazywano.
977:  KMM - A przecież jest na YouTubie seria dyktatury zbyt głupie, by mogły istnieć i w ramach tej serii jest opisany m.in.
984:  KMM - właśnie i Hunger Games, i Divergent, i pozostałe tego typu światy.
988:  KMM - Gilead nie jest dyktaturą zbyt głupią, żeby mogła istnieć, ponieważ dowiadujemy się o to, oczywiście to jest między wierszami zasugerowane, że arsenał atomowy i potencjał zbrojeniowy Stanów Zjednoczonych
999:  KMM - absolutnie nie jest na poziomie tego amniszowego świata bliskiego natury, tylko to jest wciąż najlepsza siła zbrojna na świecie i wszyscy drżą ze strachu przed tym, że w którymś momencie ci szaleńcy i fundamentaliści wcisną czerwony guzik.
1013:  BFP - Tak, to jest bardzo ciekawe, jak mówimy o tym poszerzaniu świata przedstawionego, tak to możemy chyba ładnie akademicko nazwać, to, że Kanada się autentycznie boi Gilead.
1023:  BFP - To nie jest...
1026:  BFP - To nie jest taki niefrasobliwy, lekko pijany wujaszek z imprezy, który bawi się po prostu piętro niżej.
1039:  BFP - Nie, nie, nie.
1040:  BFP - Gilead jest potęgą militarną i widzimy w pełnej okazałości tę skansenowatą, zmilitaryzowaną teokrację totalitarną,
1052:  BFP - która jednak, jeżeli chodzi o militarię, jest niezwykle nowoczesna i potężna.
1056:  BFP - Jak widzimy naloty na Boston, to mówimy okej.
1060:  BFP - To nie jest tak, że oni mają bardzo wielu bardzo wiernych żołnierzy, którzy polecą z mieczami czy z toporami na Kanadę.
1066:  BFP - Nie, oni naprawdę mają siłę do tego, żeby zmieść przynajmniej kilka miast kanadyjskich z powierzchni ziemi.
1073:  BFP - I kolejna taka rzecz, którą widzimy jeżeli chodzi o poszerzanie tego świata, może nawet powiedziałbym pogłębianie to, że widzimy więcej aparatu opresji.
1083:  BFP - Widzimy
1087:  BFP - miejsce, do którego trafiają ci, którzy są najbardziej zapalczywymi wrogami systemu, których trzeba łamać przez tortury.
1095:  BFP - W sensie tortury były już w poprzednich częściach, czy w poprzednich sezonach.
1101:  BFP - Widzieliśmy wymyślne tortury, ale nie widzieliśmy takiej twardej bezpieki, która zamyka ludzi w klatkach, która robi waterboarding,
1111:  BFP - która torturuje wyrywając paznokcie, to jest w tym sezonie.
1114:  BFP - I kiedy myślisz, ale jak oni to mogą robić, przepraszam, że użyję tego zwrotu, ale najcenniejszemu zasobowi, jakim dysponuje ten reżim, czyli podręcznym, które mogą rodzić dzieci w świecie, w którym nowe narodziny są cudem, czy boskim, czy jeżeli jesteś ateistą, cudem natury,
1135:  BFP - Jak oni mogą łamać podręczne, czy kobiety?
1139:  KMM - Nawet możemy zaostrzyć to w świecie, w którym dzieci są jedyną walutą.
1144:  KMM - Nagle się okazuje, że można w ośrodku, który zawiodują oczy, na początku oczy to było takie widmo, które krążyło tylko nad tym światem, nie wiadomo było w zasadzie jak funkcjonują,
1155:  KMM - mogą wziąć podręczną, strzelić jej w głowę i zrzucić z budynku, ponieważ one się kompletnie nie liczą.
1160:  BFP - Dlaczego?
1161:  BFP - Ale dlaczego?
1161:  BFP - I tu wchodzą słowa mojej ulubionej postaci z stałej serii, która pojawia się w drugim sezonie, to jest Joseph Lawrence, jeden z komendantów, który jest niezwykle enigmatyczną postacią, nadal.
1173:  BFP - Pierwszy raz, kiedy zobaczyłem Josepha Lawrence'a, on się pojawia pod koniec drugiego sezonu.
1179:  BFP - Do niego trafia June slash Offred i on przychodzi z tą swoją bródką, przygląda się, rzuca coś sarkastycznego i znika.
1187:  BFP - I tak robi trzy czy cztery razy i myślisz o co chodzi temu gościowi, w sensie do której bramki on gra.
1194:  BFP - Czy on strzeli samobója, czy on gra do bramki przeciwnika.
1198:  BFP - I ta dwuznaczność tej postaci, ambiwalentność i jednocześnie taka niezwykła charyzma pozostaje utrzymana na szczęście i powiedziałbym reaktywowana w czwartym sezonie.
1208:  KMM - Absolutnie.
1208:  KMM - To jest Tywin Lannister Gileadu, charyzmatyczny, który ma zawsze ostatnie słowo i zawsze to jest szlichwort, zawsze to jest bon mot, zawsze to jest coś albo mądrego, albo cynicznego, albo sarkastycznego, a zawsze relatywnego moralnie.
1222:  BFP - Tak, Tywin, ale zmieszany z Tyrionem, który działa przeciw swojemu własnemu ojcowi.
1230:  BFP - I Joseph Lawrence mówi June.
1234:  BFP - Jesteś tak uparta i tak nieposkromiona.
1240:  BFP - Wydaje się, że tak poznałeś ten system, a mimo to dalej nie rozumiesz.
1244:  BFP - Przecież Gilead nie chodzi o dobro podręcznych.
1249:  BFP - Gilead nie chodzi nawet o religię i ortodoksyjność.
1253:  BFP - Gilead chodzi o władzę.
1256:  BFP - I wszystko, co stoi na drodze do władzy.
1258:  BFP - I niech to będą podręczne.
1260:  BFP - musi zostać albo złamane, a jeżeli nie jest do złamania, to wyeliminowane.
1266:  BFP - I to także wybrzmiewa bardzo fajnie w czwartym sezonie, szczególnie w tych pierwszych trzech odcinkach, które są tak przeze mnie krytykowane.
1274:  BFP - Ale kiedy zostają włączone te pozostałe odcinki, czyli cztery, powiedziałbym te przejściowych, a potem trzy fenomenalne, finałowe,
1282:  BFP - to pojawią się pewne dla mnie ciekawe motywy, które były zaznaczane jedynie w poprzednim sezonie, ale nie miały racji bytu, czy może nie były pełnoprawne, tak bym powiedział.
1296:  BFP - I to jest między innymi uchodźctwo.
1299:  BFP - To jest niezwykłe.
1300:  BFP - Myślisz o Stanach Zjednoczonych, myślisz o potędze.
1304:  BFP - najnowocześniejszym państwie świata.
1306:  BFP - Mówi się też modelowej demokracji, chociaż można by mieć wątpliwości po ostatnich latach.
1313:  BFP - I widzisz uchodźców, którzy są Amerykanami i próbują uciec z Gilead, który jest taką pozostałością po Ameryce.
1321:  BFP - To jest dysonans poznawczy.
1325:  BFP - Masz żonę na uchodźstwie, który pojawiał się już od drugiego sezonu.
1329:  BFP - ale tutaj widzisz więcej jego struktur, jego sposobu działania, jego pragmatyzmu, o którym zaraz będziemy mówili więcej.
1337:  BFP - Jest wątek repatriacji, ale przede wszystkim jest wątek sądzenia zbrodni wojennych
1345:  BFP - zbrodni przeciw ludzkości, co bezpośrednio kojarzy się z demontażem III Rzeszy, co kojarzy się z sądzeniem zbrodniarzy wojennych, którzy zrobili swoje, kiedy rozpadała się Jugosławia w latach 90.
1366:  BFP - I to, co dla mnie najważniejsze, myślę, że zaraz do tego przejdziemy, czyli takie dwa moim zdaniem motywy przewodnie, które wychodzą trochę z tego sądzenia zbrodniarzy.
1374:  BFP - I tu chyba możemy wprost powiedzieć, że chodzi m.in.
1376:  BFP - o Freda Waterforda, bo ci z Was, którzy widzieli drugi, trzeci sezon, trzeci sezon w zasadzie, wiedzą, że Fred Waterford został wraz ze swoją żoną uwięziony w Kanadzie jako więzień.
1390:  BFP - rządu amerykańskiego na uchodźstwie za sprawą pewnych machinacji.
1395:  BFP - I tutaj jest sądzony za swoje zbrodnie i dlatego pewnym takim motywem przewodnim tego czwartego sezonu jest trauma z jednej strony i sprawiedliwość z drugiej.
1407:  BFP - I kiedy dochodzi do konfliktu między traumą, którą w sobie noszę, a sprawiedliwością, czy też wersją sprawiedliwości, z którą się nie zgadzam.
1415:  KMM - I te dwie siły są równocześnie tymi, które pchają Offred czy June Osborn na zewnątrz.
1421:  KMM - Na początku pchają ją do tej rebelii i nie znajduje.
1425:  KMM - Co więcej, tam się pojawia też taki bardzo piękny, choć straszny akcent feministyczny, to znaczy kobieta, która została naznaczona
1433:  KMM - jako, mówiąc językiem biblijnym, nierządnica, będzie miała dalej tę stygmę wśród rebeliantów.
1441:  KMM - Pierwsza rzecz, która się tam zdarza zresztą, się z tym wiąże.
1444:  BFP - Nawet za granicami Gilead.
1446:  KMM - I nawet za granicami Gilead okazuje się, że i w Kanadzie to poszukiwanie sprawiedliwości wcale nie jest tak proste i rzeczywiste, jak by nam się wydawało.
1455:  KMM - Tak, oczywiście.
1456:  BFP - Bardzo ciekawa uwaga, faktycznie, że jakby to jest trochę wstęp do tego wątku traumy,
1462:  BFP - że nosi stygmę i jest coś, czego nie może zmyć.
1469:  BFP - Jakby dostała grzech pierworodny Gileadu, którego nie może zmyć z siebie i po prostu taka jest jej funkcja społeczna i takie jest jej powołanie i każdy będzie na nią patrzeć jak na albo źródło przyjemności, albo na inkubator.
1485:  KMM - Tak.
1485:  KMM - Gilead może, można wyjść z Gileadu, ale Gilead nie wyjdzie z nas w tym sensie.
1489:  KMM - Zostaje ta chora etyka i ten wypaczony obraz świata, zostaje nie tylko w nas zinternalizowany w postaci trauma, ale także zostaje z nami dla tych wszystkich, którzy na nas później popatrują takim właśnie okiem oceniającym.
1505:  BFP - No to dobra, ci z was, którzy nie widzieli jeszcze czwartego sezonu, a nie chcieliby, żeby zostało wam to zespojlowane,
1514:  BFP - Wynieście z naszego dotychczasowego pogadania tyle, że warto obejrzeć czwarty sezon i że stanowią swego rodzaju reboot Handmaid's Tale.
1528:  BFP - Ci z was, którzy nie chcą oglądać czwartego sezonu albo już go widzieli, zostańcie z nami, teraz będziemy spoilowali, bo będziemy rozmawiali o tej traumie i sprawiedliwości.
1536:  BFP - To jest to chyba, co jest najciekawsze w tym sezonie.
1539:  BFP - No musimy powiedzieć parę rzeczy w takim razie wprost.
1541:  BFP - To, co jest największym game changerem
1544:  BFP - to to, że wreszcie, wreszcie June slash Offred trafia do Kanady i tam wreszcie ma jakieś możliwości manewru.
1557:  BFP - Problem w tym, że jednocześnie Fred Waterford jest sądzony i po pierwsze ze względu na swój fanatyzm i to zbieg okoliczności czy jakiś cud, który sprawia, że jego żona jest w ciąży,
1572:  BFP - staje się, no może nie gwiazdą, ale znajdują się ludzie, którzy wierzą w efektywność fanatyzmu, który praktykuje Gilead.
1587:  BFP - Ludzie na świecie nie mogą mieć dzieci.
1590:  BFP - I są ci fanatycy, którzy są trzymani w celi w Kanadzie i czekają na rozprawę sądową i są zbrodniarzami wojennymi,
1602:  BFP - Ale jak to się stało, że tacy grzesznicy i tak źli ludzie zostali wybrani przez los, naturę, Boga, wybierz albo skreśl niepotrzebne, to może coś jest na rzeczy, może ten system w jakiś sposób działa, może ich wiara jest prawa, może jest właściwa.
1620:  BFP - I okazuje się, że Fred Waterford wykorzystuje to na swoją korzyść, a jednocześnie jest gotów kolaborować z rządem na uchodźstwie Stanów Zjednoczonych, współpracować wydając swoich popleczników w Gilead, mówiąc ok, zagwarantujcie mi immunitet, a ja wam dam to, czego potrzebujecie.
1642:  BFP - I z tym jest skonfrontowana June, która jest rządna zemsty.
1646:  KMM - No i dodajmy jeszcze, że June tam w Kanadzie ma swój bardzo specyficzny reunion z innymi handmaids, smartami i starają się razem powoli i w trudach przepracować te traumy i bardzo szybko okazuje się, że nie są w stanie, zwłaszcza biorąc pod uwagę właśnie tego rodzaju
1666:  KMM - informacje, które docierały o procesie Waterfordów i tę narastającą w June pewność, że okazuje się, że świat zachodni, ten wolny, demokratyczny, zaczyna ją zawodzić.
1677:  KMM - To znaczy, że nie odnajdzie tam tej sprawiedliwości.
