Krzysztof M. Maj vs. Dwie Lewe Ręce: Czy polską szkołę da się naprawić? (I uniwersytet też)
🔗 https://www.youtube.com/watch?v=UuqZSq7wIaw
JD (Jakub Dymek, Dwie Lewe Ręce)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

5:  MG - Dzień dobry, przy mikrofonie Jakub Dymek i Marcin Giełzak, a to jest podcast Dwie Lewe Ręce.
302:  KMM - Nie mamy także w szkole samorządności, która by się wiązała z poczuciem sprawczości, jakiejś zmiany.
308:  KMM - To, że przewodniczący szkoły może decydować o kolorze kredy, którą nosi dyżurny, to jest wielokrotnie uwaga, którą powtarzam, ale po to, żeby uświadomić to, że jak młody człowiek ma potem, osiągnąwszy wiek 18 lat, stwierdzić, o, to teraz demokracja będzie działała.
322:  KMM - A wcześniej samorządność i demokracja nie działała wprawdzie przez 18 lat mojego życia, ale teraz nagle zadziała.
328:  KMM - Zatem minister, myślę...
330:  KMM - Powinien przede wszystkim zdawać sobie sprawę z tych problemów, to znaczy tych problemów, że nie są rozwiązywalne w ogóle od 20-30 lat praktycznie kluczowe bolączki polskiej edukacji, a tylko bawimy się w taką fasadową reformę, że jedna reforma włącza Gombrowicza na listę elektro, a druga wyrzuca Jana Pawła II.
346:  KMM - A jeszcze jedna reforma powie, że o dobrze, to w takim razie wprowadzimy nowy przedmiot, bo są potrzebne nowe treści nauczania.
353:  KMM - A nie ma takiego myślenia holistycznego edukacji, które by zastanowiło się nad tym, dobrze, dlaczego na przykład jest tak, że prywatne szkoły radzą sobie inaczej, albo że fundacje radzą sobie inaczej.
364:  KMM - Czy to oznacza, że szkolnictwo prywatne jest lepsze?
367:  KMM - No nie, to oznacza, że idzie w innym kierunku, że reformuje się, że eksperymentuje.
373:  KMM - Jednym słowem, w szkole polskiej brakuje eksperymentu, takiego naukowego, prawdziwego eksperymentu, z prawdziwego zdarzenia, reality checku i sprawdzenia, czy rozwiązania, o których sobie debatujemy, faktycznie działają na naszym gruncie, bo mogą działać w Skandynawii, nie muszą działać u nas.
389:  JD - Krzysztofie, ładnie nas podszedłeś na samym początku, gdy powiedziałeś, że nie będziesz uciekał w opowieść o mentalności, podczas gdy w rzeczy samej niczym innym jak ucieczką właśnie jest odpowiadanie na takie pytania poprzez mentalność.
400:  JD - Bo gdyby tak było, gdyby to polska mentalność była zawalidrogą dla każdej postępowej reformy, to czyż nie to samo mógłby powiedzieć minister obrony narodowej?
409:  JD - O, że w polskiej mentalności to żołnierze nie chcą walczyć, no i co on ma zrobić?
412:  JD - To samo mógłby powiedzieć minister sportu.
414:  JD - No, w genach polskich sportowców jest nieosiąganie sukcesów i dopóki nie zmienimy tej mentalności, to nie osiągniemy sukcesu.
420:  JD - Podobnie mógłby rzec minister infrastruktury.
422:  JD - Cóż, we krwi polskich budowlańców nie leży stawianie prostych dróg i dobrych torów kolejowych, więc ja jako minister nic nie zrobię.
431:  JD - Powiedz mi za tym, gdy widzimy szkołę, która działa według takich założeń mniej więcej, jakie ty przedstawiłeś, gdzie jest świetlica dla seniorów, gdzie jest ogólnodostępne boisko sportowe, gdzie jest czytelnia i biblioteka, a ja takie szkoły nowoczesne znam nawet na peryferiach mojego rodzinnego Wrocławia, to czy problem dalej tkwi w mentalności, czy skoro już wykonaliśmy ten pierwszy krok i udało się taką jedną placówkę zbudować, to jest, czy jedną ja znam oczywiście, udało się pewnie zbudować więcej szkoły.
458:  JD - To czy jest to krok w dobrym kierunku i jednak zgodzisz się, że jakieś instytucjonalne podejmowane na poziomie samorządu, ministerstwa czy państwa kroki mogą wyjść naprzeciw tym deficytom?
469:  JD - Czy musimy tak czekać, aż naród nam się rozwiąże i zawiążemy nowy?
473:  KMM - Bardzo słuszna uwaga.
475:  KMM - Myślę, że zachęty samorządowe czy zachęty ministerialne są słuszne, ale w formie szkoleń, rad, pakietów pomocowych, a nie edyktów o mocy kanonicznej, które zmienią nazwę przedmiotu.
489:  KMM - Chodzi mi bardziej o...
490:  KMM - fasadowość reform, które były prowadzone w Polsce i o to, że niestety minister obejmujący władzę do takich fasadowych reform jest przymuszany i podam konkretny przykład.
500:  JD - Poczekaj Krzysztofie, ale jedna rzecz, znaczy nie mentalność buduje szkoły, tylko środki samorządów na przykład właśnie.
506:  KMM - Oczywiście, tak, ale również kwestia mentalnościowa jest o tyle ważna, że jeżeli masz jedną szkołę, w której coś zadziała, to druga szkoła, trzecia i piąta może odpowiedzieć dokładnie tak samo, jak odpowiadaliśmy na kwestię fińską.
518:  KMM - No dobrze, tam się udało, ale u nas to nie, bo mamy inne problemy.
521:  KMM - I tu tkwi, myślę, ten cierń i problem.
524:  KMM - który widzę teraz chociażby w opiniach środowiska nauczycielskiego na temat tego, jaka jest pierwsza zmiana potrzebna, prawda, i słyszymy na przykład te projekty dotyczące likwidacji zadań domowych, albo słyszymy projekty dotyczące podwyżki dla nauczycieli, jak wszyscy się praktycznie są w stanie pod tym podpisać,
541:  KMM - Ale to nie jest sedno problemu.
543:  KMM - Pierwszy punkt w ogóle, jaki powinien zaistnieć, to jest były badania problemów psychicznych uczniów, jest coraz gorzej, nigdy historycznie tak nie było, musimy coś z tym pilnie i natychmiast zrobić.
555:  KMM - Ale to jako środowisko nie powie i to jest strasznie smutne.
559:  KMM - Wydaje mi się więc, że
561:  KMM - No niestety betonoza nauczycielska, zabetonowana przez związki zawodowe, zwłaszcza Związek Nauczycielstwa Polskiego, która traktuje kartę nauczyciela jako pismo święte, nie omal, jest problemem, o którym trzeba mówić.
575:  KMM - To mam chyba na myśli, mówiąc o mentalności.
577:  KMM - Nie powiedziałbym, że to jest mentalność Polaków.
580:  KMM - Mentalność Polaków w zakresie edukacji jest taka, że jesteśmy tak nieprawdopodobnie pracowici, że aż za bardzo.
586:  KMM - Więc tutaj absolutnie zachęcę, żadnych nie potrzebujemy.
589:  KMM - Kwestia jest raczej taka, żeby karbować te nasze zapędy, żeby to dociskanie śruby, które jest na wszystkich poziomach, nie było tak praktykowane, bo w którymś momencie my sami zaczynamy sobie dociskać śrubę i myślimy, że to my robimy czegoś mało lub niewiele, a potem wiesz, po tym rygorozum, które ludzie mają w edukacji, przychodzą na uczelni i nagle się okazuje, że nie mają w sobie tej jednej rzeczy, którą ja chcę, żeby miał student, czyli kreatywność.
615:  KMM - ciekawość świata i chęć samorozwoju.
618:  KMM - Ja nie potrzebuję żadnej z innych rzeczy od systemu edukacji niż tej.
623:  KMM - I od razu powiem, że tak mówię z perspektywy akademickiej, dlatego że polski system edukacji jest akademicki.
629:  KMM - On nie przygotowuje do życia jako obywatel, nie ćwiczy w samorządności, nie uczy demokratycznego myślenia, a on blok oczywiście, bo są wyjątki, natomiast przygotowuje do bycia akademikiem i dodam, przygotowuje do bycia
642:  KMM - kiepskim akademikiem, to znaczy akademikiem na poziomie, no nie wiem, lat 60., gdzie rzeczywiście zyskanie wiedzy ogólnej w każdej dziedzinie było możliwe i gdzie erudycję sprawdzało się przez test znajomości kilkudziesięciu książek.
656:  KMM - Dzisiaj zupełnie czego innego potrzebujemy, zupełnie innych kompetencji, więc ten etos akademicki, który kształci polska szkoła,
664:  KMM - No po prostu nie działa, już nie mówiąc o tym, że on jest klasowy, zauważcie.
667:  KMM - To znaczy, no nie każdy ma i chce być profesorem, nie każdy chce zostać akademikiem, nie każdy nawet będzie potrzebował tych kompetencji abstrakcyjnych.
675:  KMM - Więc to jak mówimy o szkole, która jest częścią lokalnej społeczności, no to musimy mówić też o szkole, która jest dla wszystkich, a nie tylko o szkole, która jest dla akademików i będzie najlepsza dla ludzi jeszcze, którzy mają dużo pieniędzy.
687:  KMM - No bo wiadomo, książki są drogie, dostęp do wiedzy tak właśnie rozumiane jest kosztowny, kwitnie wokół tego rynek korepetycji, bo coraz bardziej abstrakcyjnych rzeczy się od nas wymaga, w związku z powyższym trzeba sięgać do prywatnej edukacji i nagle się okazuje, że będziemy mieli bardzo podobną sytuację, mam wrażenie, dzisiaj trochę do Jakuba uśmiecham jego doświadczenie, jak w Stanach, gdzie prywatyzacja edukacji moim zdaniem jest jedną z największych wad tego systemu,
713:  KMM - I jak rozmawiałem za każdym razem ze studentami tam, no to mówili mi, no dobra, dobra, ty masz kredyt hipoteczny i płaczesz, a ja mam kredyt hipoteczny i studencki.
722:  JD - Ja cię zaskoczę, bo jeszcze w dzisiejszym programie kilka dobrych słów o amerykańskim systemie edukacji też powiem, ale to słówko polemiki, zanim przejdziemy jeszcze do dyskusji o konkretnych postulatach.
732:  JD - Z twojej wypowiedzi wynika przekonanie, że środowisko nauczycielskie, a także jego związkowe reprezentacje są w polskim systemie zbyt mocno ugruntowane i że ta pozycja okopanych nauczycieli jest, jak czytam twoją wypowiedź, pewną przeszkodą do strukturalnych zmian w polskiej szkole.
747:  JD - Ale czy dobrze rozumiem, że chcesz osłabić np.
750:  JD - ZNP i w ogóle nauczycieli względem np.
753:  JD - takiego ministra Czarnka?
755:  JD - Reformy już szły w tym kierunku, żeby ministerstwo i władza centralna miały bardziej mocny, znaczący i decydujący głos, to wzmocnienie kuratorów chyba jak rozumiem temu służyło, w sprawach ideologii, w sprawach programu, w sprawach pewnej wizji świata, którą w tych szkołach się naucza, a głos nauczyciela był w tej wizji świata sprowadzony do minimum, do wykonawcy poleceń.
776:  JD - Czy to jest wizja, której ty oczekujesz od polskiej szkoły?
781:  KMM - Pozycja związku nie jest problemem.
783:  KMM - Problemem jest jego skład i reprezentacja.
786:  KMM - Brutalnie powiem, że doświadczyłem jakości kształcenia nauczycieli.
791:  KMM - To było w latach 2009-2019.
796:  KMM - I no znowu to będzie dowód anegdotyczny, ale no jednak muszę się odwołać do mojego doświadczenia tutaj.
802:  KMM - To było 300 osób na roku mniej więcej i jak się zapisywałem na specjalność nauczycielską na Wydział Polonistyki UJ, to słyszałem od profesorów, którzy znali mnie z olimpiady, Krzysztof, czy ty zwariowałeś?
812:  KMM - Zapisz się na antropologię kultury, zapisz się na komparatystykę, przecież na nauczycielską idą sami idioci.
817:  KMM - Zdanie profesora.
819:  KMM - Nie jednego, żeby było.
820:  KMM - Bardzo smutne zdanie.
822:  KMM - Selekcja negatywna do zawodu nauczycielskiego nie odbywa się wyłącznie na etapie polityki pieniężnej i na etapie skandalicznie niskich wynagrodzeń, tylko na etapie, niestety, odbywała się latami studiów nauczycielskich, które były
836:  KMM - Ignorowane w równej mierze przez uniwersytety, które mają tutaj bardzo dużo na sumieniu, polskie, otwierające studia nauczycielskie praktycznie wszędzie, bo takie by wydawały się najłatwiejsze i przyjmujące przede wszystkim kandydatów ponad miarę.
852:  KMM - Co więcej, przez to, że właśnie przyjęto tych kandydatów ponad miarę i rozdano dyplomy, no to wiecie, gdzieś ci ludzie się musieli podziać.
859:  KMM - A ponieważ nie ma żadnego systemu sensownych szkoleń, tylko najbardziej zaangażowani nauczyciele do nich sięgają, tylko najbardziej zaangażowane placówki oświatowe w ogóle w to inwestują, no to wiecie, mamy gotowy przepis na katastrofę.
871:  KMM - Mówię w tym momencie o nauczycielach polonistach, nie sięgam do innych dyscyplin, ale wydaje mi się, że ten uwiąd misji nauczycielskiej w Polsce, on absolutnie nie jest winą pojedynczych jednostek nauczycieli, on jest winą uniwersytetów i kształcenia uniwersyteckiego w Polsce.
887:  KMM - I to jest bardzo złożony problem dla terapii.
889:  KMM - i ja nie za bardzo widzę rozwiązania jego na drodze takiej, żeby dawać więcej plenipotencji dyrektorom albo Związkowi Nauczycielstwa Polskiego, albo samym nauczycielom, albo w ogóle wszystkim nauczycielom dać podwyżkę 6 tysięcy.
902:  KMM - No nie mogę tak powiedzieć, skoro widzę profesorów akademickich, którzy popełniają te same błędy, które ja piętnuję chociażby i nie tylko ja, bo oczywiście to chodzi o wszystkich reformatorów oświaty, którzy...
913:  KMM - Przede mną przyszli, ja tylko papuguję to, co oni mówią i ewentualnie dorzucam parę swoich słów.
918:  KMM - A mimo to dostają o rząd wielkości większe wyposażenie.
923:  KMM - Ale równocześnie jest jeden wspólny mianownik.
926:  KMM - I wykładowca uniwersytecki, i nauczyciel bardzo często powie, że jedyne czego się nauczył w studium pedagogicznym to tego, że jest wykład.
933:  KMM - I uczono go, o tak, tak, były techniki projektowej pracy i tutaj była Maria Montessori, ale to też się odbywało na drodze wykładu.
940:  KMM - Więc wiesz, to nie jest jakaś magia, że w związku nauczycielstwa polskiego jest beton.
944:  KMM - Po prostu ten beton był długo, długo lany do tej samej formy przez uniwersytety, które nie chciały w żaden sposób pokazywać alternatywy w takiej perspektywie.
954:  KMM - praktycznej stronie, bo to, że masz w programie nauczania pedagogiki na uczelni alternatywy edukacyjne wchodzi w radykalny konflikt z tym, że uniwersytety te radykalne formuły i projekty pedagogiczne przedstawia w formie wykładu tradycyjnej, czyli pokazuje, że to się sprawdza.
970:  KMM - I ten tradycyjny etos dyscypliny, nadzorowania i karania i tak dalej, on się skądś bierze.
977:  KMM - Mnie nie nauczono na przykład radzenia sobie z sytuacjami kryzysowymi w szkole.
981:  KMM - Gdybym ja miał na przykład robić taki program pedagogiki, pomyślałbym sobie, no dobrze, zainscenizujmy sytuację kryzysową w szkole, zainscenizujmy sytuację, gdy ktoś obrzuca kogoś rasistowskimi wyzwiskami, albo nawet ucieka się do przemocy na lekcji.
995:  KMM - Co robisz jako nauczyciel?
997:  KMM - No nie ma takich warsztatów w ogóle.
999:  KMM - A wiecie, no ja nie kończyłem wyższej szkoły picia w mleka jednak, kończyłem Uniwersytet Jagielloński, więc to jest dość ponura próba moja, którą ja zebrałem i nie mogę za bardzo uciec od tego doświadczenia, jak patrzę na nauczycieli, więc to też, żeby nie zabrzmiało źle, nie obwiniam nauczycieli, obwiniam w tym momencie innych nauczycieli akademickich, którzy ich wykształcili.
1018:  KMM - Nauczyciele nie pojawili się znikąd.
1020:  KMM - I beton myślowy też się nie pojawił znikąd.
1023:  KMM - Na pewno osłona samorządowa i osłona związkowa jest ważna i na pewno minister powinien ostatnią rzecz jaką robić, to wymuszać jakiekolwiek zmiany merytoryczne w oświecie.
1033:  KMM - On nie od tego jest.
1035:  KMM - I w ogóle system edukacji nie powinien polegać na nadzorze merytorycznym.
1039:  KMM - Ludzie zwykle, podam przykład Wielkiej Brytanii, otwierają szeroko oczy, jak słyszą, że ingerencja na listę lektur chociażby, czy na taki poziom merytorycznego nauczania języka ojczystego jest w ogóle możliwa.
1050:  KMM - W niektórych krajach nie ma Ministerstw Kultury też o takich predyspozycjach i plenipotencjach, jakie ma nasze.
1057:  KMM - Więc wiecie, to przekonanie, że musimy kontrolować to, co się będzie robiło w szkołach, to jest druga strona tego medalu i tutaj jestem murem z nauczycielami, którzy mówią, nie mówcie nam czego mamy uczyć, dajcie nam narzędzia, nauczcie nas w jaki sposób robić to efektywnie, ale nie ingerujcie w sferę merytoryczną i to samo dotyczy swoją drogą uczelni.
1076:  KMM - ministerstwo nie ma prawa ingerować merytorycznie w to, co się dzieje na uczelniach, może przedstawiać pewnego rodzaju minima i zalecenia, ale ingerencja merytoryczna prawie zawsze może skończyć się tym, że właśnie ktoś nadużyje tej pozycji ideologicznej.
1088:  KMM - Zresztą do tego, co zrobił minister Czarnek, będę chętnie wracał przy okazji punktozy akademickiej, bo wydaje mi się, że
1096:  KMM - Zaletą i wadą jednocześnie, zaletą dla ludzi niewykształconych, wadą dla ludzi wykształconych tego systemu jest to, że można w nim zrobić zmiany z dnia na dzień tego rodzaju, właśnie mocą jakiegoś edyktu, które będą miały katastrofalne skutki.
1111:  MG - Krzysztof, ja do twojej anegdoty dorzucę swoją.
1114:  MG - Ja studiowałem historię i zarządzanie nie na tak dostojnej we Wszechnicy jak ty, bo na Uniwersytecie Łódzkim, ale standardy były podobne.
1126:  MG - I bezrząd i nierząd był tożsamy, jeśli chodziło o nauczanie pedagogiki.
1131:  MG - Ja mianowicie z ciekawości też poszedłem na studium pedagogiczne, żeby uczyć historii i WOS-u na wszystkich poziomach nauczania.
1139:  MG - I kiedy przyszedłem do mojego liceum i przedstawiłem się... Słucham?
1144:  JD - Poniekąd robisz to teraz trochę, przed milionową widownią.
1146:  MG - No ja nigdy nie zgubiłem tej potrzeby, tylko wziąłem dużo większy megafon.
1152:  MG - Przyszedłem do swojego liceum, poszedłem prosto do mojej wychowawczyni, która wtedy była dyrektorką, złożyć listy uwierzytelniające.
1159:  MG - I ona tak się złapała za twarz i powiedziała, Boże Marcin, ty byłeś taki zdolny, czy ty teraz zostaniesz nauczycielem?
1165:  MG - Co się z tobą stało?
1167:  MG - Czy to alkohol?
1168:  MG - Czy to jest jakiś kryzys w twoim życiu?
1170:  MG - Ja powiedziałem, nie, pani profesor, my tu z kolegami będziemy robili startup, ale tak z ciekawości po prostu chciałem mieć dziennik, chciałem pisać na tablicy, chciałem mieć to przeżycie.
1178:  MG - A, to dzięki Bogu, bo już mnie przestraszyłeś.
1180:  MG - Nie, no nic się tu nie nauczysz, no tam odwal swoje, tu masz salę, gdzie jest historyczka i no mam nadzieję, że nie zrezygnujesz w trakcie.
1190:  MG - I to doskonale według mnie obrazuje, że nauczyciele traktują swoją pracę nawet tak ideowi i przekonani do niej, bo to była naprawdę znakomita polonistka.
1202:  MG - Ale to była znakomita polonistka, która dbała o swojego byłego ucznia i bała się, że on zostanie nauczycielem, że po prostu zmarnuje sobie życie.
1211:  MG - Więc...
1213:  MG - Mogę się tylko podpisać pod tym, co powiedziałeś.
1217:  MG - Na lewicy jest taka choroba, taka nauczycielomania.
1221:  MG - Jak słyszymy nauczyciel, myślimy Komisję Edukacji Narodowej, Janusz Korczak, czarni huzarze Republiki, po czym konfrontujemy to z rzeczywistością polskiej szkoły i widzimy tych ludzi, którzy w ogóle się nie czują czarnymi huzarami, Januszami Korczakami.
1236:  MG - czują, że fatalnie zarabiają, czują, że nie mają nic do gadania, czują, że nie są w stanie zmienić tego systemu jakkolwiek od środka.
1244:  MG - I przypomina mi się inna moja nauczycielka, która jak przychodziła na lekcje, to zawsze mówiła tą samą rzecz.
1250:  MG - Kładła dziennik, ogarniała nas wzrokiem i mówiła, Boże, jak mi się nie chce żyć.
1256:  MG - I to trzeba jakoś zmienić.
1259:  MG - Ale wywołałeś inne zagadnienie, które dla mnie jest bardzo ciekawe.
1262:  MG - Otóż często słyszę wśród twoich krytyków,
1266:  MG - Ach, Krzysztof to jest liberał, to jest fantasta, on widzi szkołę jako takie laboratorium kreatywności skandynawskie, a przecież życie nauczyciela składa się z tego, że on połowę czasu, jeśli nie trzy czwarte, marnuje na egzekwowanie elementarnej dyscypliny.
1283:  MG - Przecież założą mu kosz na głowę, jeżeli on nie będzie tyranem.
1287:  MG - Jak ty odpowiadasz na tą krytykę?
1289:  MG - Co zrobić, żeby zapanować?
1291:  MG - nad 30 młodymi ludźmi, którzy czasami ostatnio na co mają ochotę, to rozmawiać o Żeromskim.
1298:  KMM - No są dwie odpowiedzi.
1299:  KMM - Jedna jest bardzo złośliwa, a druga jest bardziej realistyczna.
1302:  KMM - Złośliwa odpowiedź brzmi, dobry nauczyciel nigdy na coś takiego nie pozwoli.
1306:  KMM - Znaczy dobrze wykształcony nauczyciel, który jest przygotowany do rozwiązywania takich problemów, który ma odpowiednie podejście do młodzieży.
1314:  KMM - Ja zawsze sobie zadaję pytanie, jeżeli dochodzi do takiej sytuacji, jaki był jej kontekst?
1318:  KMM - Co do niej doprowadziło?
1319:  KMM - Jaka jest atmosfera pracy w klasie, w grupie, na studiach?
1323:  KMM - Co się stało?
1325:  KMM - Może właśnie tutaj wychodzi ze mnie mój idealizm, ale zawsze myślę, że przemoc ma swoje źródło.
1330:  KMM - Też możemy zrobić jak w fawelach, to znaczy wysłać pretorianów z miotaczami ognia i podpalić wszystko, no bo to wiadomo jest przecież siedlisko przestępczości, narkomanii i to w ogóle nie są ludzie i najlepiej jeszcze żebyśmy zrobili taki edykt, który powie, że tutaj zwalniamy na tym obszarze reguły prostępowania humanitarnego.
1352:  KMM - Więc oczywiście, że można wejść do szkół tak, jak chciał Roman Giertych wchodzić i przypominam z uśmiechem wszystkim tym, którzy patrzą dzisiaj na Romana Giertycha w ławach poselskich, że to był ten człowiek z LPR-u, który mówił mundurki i wyrzucić Gombrowicza.
1365:  KMM - I to był koniec jego recepty na edukację, jeśli mnie pamięć nie myli, a nie myli mnie w tej kwestii.
1371:  KMM - Jak się skończyło wprowadzenie mundurków, wszyscy wiemy.
1374:  MG - Dodać Jana Dobraczyńskiego.
1376:  KMM - Na pewno wzrosła dyscyplina w szkołach, we wszystkich.
1380:  KMM - I nikt na przykład nie zastanawia się nad tym, znowu tak popatrzę oddolnie, czym jest to umundurowanie.
1387:  KMM - Jak doprowadzić do sytuacji, w której człowiek będzie z dumą nosił tarczę szkoły.
1390:  KMM - Tak.
1391:  KMM - chociażby, nie?
1392:  KMM - Albo z dumą będzie nosił te barwy swoje.
1394:  KMM - To jest kwestia budowania oddolnego społeczności.
1397:  MG - Ludzie kupują bluzy z napisem Harvard w sklepach.
1401:  KMM - No więc w tym rzecz i myślę sobie następująco, że można byłoby nad tym pracować właśnie oddolnie i rzeczywiście w takiej sytuacji, gdy ktoś burzy porządek szkolny totalnie, no to wtedy trzeba po prostu wzywać odpowiednie, niekoniecznie służby, no bo nie mówię od razu o przypadkach skrajnych, ale na pewno trzeba wszystkie mechanizmy interwencyjne, które są, uruchomić, żeby nauczycielowi też pomóc w tej sytuacji.
1424:  KMM - Moja mama miała w swojej sytuacji dydaktycznej, a moja mama ma dość podobne poglądy na edukację jak ja,
1429:  KMM - Taką sytuację, że przyszedł do niej student kiedyś na salę zajęciową i przyciął maczetę.
1436:  KMM - Położył dużą maczetę na stole.
1439:  KMM - No i jedyne, co zrobiła moja mama w tej sytuacji, to zapytała, czy ten kozik ma panu poprawić samopoczucie.
1446:  KMM - No i sala ryknęła śmiechem, no ale potem oczywiście szybko, szybko była interwencja, żeby nie doszło do tragedii, prawda?
1454:  KMM - I to mi jeszcze pokazuje taka sytuacja, że możemy mieć do czynienia...
