Kulturalny roast RINGS OF POWER | Co nie wyszło i dlaczego?
🔗 https://www.youtube.com/watch?v=mik_Its55To
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)
WB (Wojciech Bryk, RuBryka Popkulturalna)
MK (Marcin Kończewski, Koń Movie)
ML (Michał Lipiński, Ponarzekajmy o Filmach)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  Dziękuję.
281:  BFP - Zostałem sabotowany już na starcie, ale okej.
284:  BFP - Okej, Wojtek, może ty to zrównoważysz.
288:  BFP - Jakbyś powiedział dokładnie to samo, co Dominika, to bym zszedł.
291:  WB - Nie, ja wcale nie chciałbym, żeby serial został porzucony i zapomniany, tak jak właśnie rodziny Harfutów.
298:  WB - Może to zaskoczyć osoby, które gdzieś już wcześniej czytały moje zdanie na temat serialu, ale jestem jak najbardziej na tak.
305:  WB - Z prostego powodu ja potrafię czerpać masochistyczną przyjemność z oglądania produktów popkulturowych takiej nieco wątpliwej jakości.
315:  WB - I ja jestem na tak, ponieważ z niecierpliwością czekam na drugi sezon.
320:  WB - Trzymam, szczerze, naprawdę szczerze trzymam kciuki za ten plan, żeby zrealizować całe pięć sezonów.
326:  WB - Ja mam nadzieję, że Amazonowi będzie się szczęściło i mu się uda dotrwać do końca.
332:  WB - No ale pierścienie władzy po tym pierwszym sezonie stawiam na tej samej półce, co Wiedźmina od Netflixa.
338:  WB - To są fanfiki, które w wielu momentach po prostu odpływają z pewnymi pomysłami.
346:  MK - Do Numenoru.
346:  WB - Ale te wszystkie małe, te wszystkie kretyńskie pomysły, drewniane dialogi, to jest coś, co mi po prostu sprawia przejmość, bo dla mnie serial w tym momencie jest taką kopalnią odkrywkową memów.
357:  WB - Tam jest wiele rzeczy, które można...
361:  WB - wyśmiać, które można wypunktować i ja podchodzę do tego w ten sposób, jeżeli drugi sezon i kolejne sezony, za które trzymam kciuki, będą trzymały ten wątpliwy poziom, to spoko, ja będę miał po prostu z tego masę radochy, bo wytykanie tych błędów sprawia mi przyjemność.
378:  WB - Jeżeli jednak okaże się, że twórcy wyciągną pewne wnioski, pozmieniają pewne rzeczy i wyciągną ten potencjał, który w tym serialu gdzieś się kryje, ma fajne elementy, o tym też będę mam nadzieję wspomnę,
391:  WB - jeżeli pójdą w kierunku i zrobią z tego po prostu przyzwoite fantazy, w których waleczne elfy skaczą na mieczach i zabijają potwory, a bohaterowie rzadziej będą się odzywali, a częściej będzie się coś działo i to po prostu będzie się oglądało równie przyjemnie jak Herkulesa czy Xenę, to ja jestem też na tak.
407:  BFP - Ja myślałem, że powiesz, że to jest fanfic, w którym odpływa, i tu byłem przekonany, odpływa razem z rozumem i godnością człowieka, ale jednak rozumiejąc, jakby...
419:  BFP - Mówi się no kingshaming, tak?
421:  BFP - Jakby szanuję różne kinki, jeżeli znajdujesz w tym radość, bo faktycznie mamy taką kategorię kina, jak filmy Eda Wooda, czy na przykład The Room, który ogląda się dla Becky, to przyznaję, że jedna z najlepszych rzeczy, jakie do tej pory dało mi Rings of Power, to są posty Wojtka, rzeczywiście, na fanpage'u jego i są bardzo kreatywne.
444:  BFP - Michał?
446:  ML - Ja muszę powiedzieć, że nie mam mocnej opinii w jedną z dwóch, bo tak zero jedynkowo przedstawiłeś, czy tak, czy nie, ale... Ale powiedziałeś, że jest jeszcze trzecia opcja, jeżeli byś ją chciał dodać.
455:  ML - To ja bym raczej powiedział inaczej.
456:  ML - To ja powiem, że nie, będę mało oryginalny już po całości, ale że przynajmniej ja widzę, że ja oglądając tego seriala i mojej opinii różnię się od większości z was pewnie tym, że wśród was są bardzo mocne opinie, to jest to, wiecie, jest bardzo dużo emocji i właśnie nawet...
473:  ML - że kocham tego nienawidzić i tak dalej, że fajna filmowa klasa B i można oglądać dla beki, a ja po prostu usunąłem, ja nie wiem, co się wydarzyło po trzecim odcinku i mój problem jest taki, że ja nie mam żadnych emocji względem tego serialu, zapomniałem, co tam się wydarzyło i ja też nie mam tego takiego bazowego, wiecie, że jestem fanem loru, więc nie mam też takiej złości związanej z tym, natomiast dla mnie to po prostu taka nijaka pustka jest po tym serialu, że chociaż mam też dobre rzeczy do nim do powiedzenia, powiedzmy,
501:  ML - Także powiem, że takie nie, ale takie nie w stylu ledwo się przebudziłem i wiecie, włączam drzemkę dalej, nie?
507:  BFP - A propos przebudzenia się, Tomek Nowakowski napisał na czatach, że ej, a mi się ostatni odcinek podobał, ale może dlatego, że byłem pijany.
515:  BFP - Pojawiła się tylko drobna prośba, żebyś odrobinkę się przyciszył, Michale.
519:  ML - A ostatnio byłem za cibo, więc... No to... Marcin.
523:  ML - Marcin.
526:  MK - Ja jestem w tym punkcie, w którym pierścień chciałbym już wrzucić do Orodruiny.
533:  MK - Niemniej mój właśnie taki malutki masochizm powoduje, że łudzę się, że może będzie więcej odcinków takich jak ten z Ududem, w którym przynajmniej w jakiś tam sposób się zaangażuję emocjonalnie, bo
551:  MK - Bo z tymi emocjami to było tutaj najgorzej.
553:  MK - Zawieszenie logiki to jest podstawowa rzecz oczywiście w fantastyce.
559:  MK - Jakieś zawieszenie niewiary, ale wiara jednocześnie w to, że to ma sens jakiś.
564:  MK - Ja nie mogłem się od tego oderwać.
566:  MK - To było dla mnie najstraszniejsze doznanie, że nie mogłem po prostu się pozbyć tego, że oglądam ten produkt po prostu sarkastyczno-ironicznie, a w pewnym momencie zupełnie obojętnie.
579:  MK - I to jest ten kłopot, że kojarzycie tego mema, w którym ludzie robią takie coś, że jest tak, śpią się i nagle... To było tak dwa razy dosłownie w ciągu całego tego sezonu z moimi uczuciami, z moimi emocjami.
597:  MK - Także dominuje tutaj zawód, chociaż mam kilka rzeczy, które sądzę, że bronią ten serial, zwłaszcza w aspekcie wykonawczym, ale cholera jasna,
609:  MK - Dlaczego bronić czegoś, co miało największy budżet w historii, tylko dlatego, że miało ładne obrazki, hello, i że dwa razy zdążyło w jakiś tam sposób poprowadzić w miarę rozsądnie tempo akcji, bo logiki tutaj nie ma co się doszukiwać.
625:  MK - I to tak w ramach pewnego rodzaju prologu.
630:  BFP - Krzysztof, miałeś czas, żeby zebrać swoje kamehamehame, więc... Czekamy.
636:  KMM - Ujmę to w ten sposób.
638:  KMM - Ja już przeszedłem przez wszystkie fazy żołnierza wysłanego na wojnę, to znaczy już byłem w tym Wietnamie, walczyłem w okopach, wróciłem z zespołem posttraumatycznym, a w tym momencie zmagam się z nieudolnym systemem opieki psychiatrycznej w Stanach Zjednoczonych.
655:  KMM - i moje uczucia w tym momencie są raczej ponure i smutne, głównie z tego względu, że ja wbrew wszelkim pozorom miałem do samego końca nadzieję, że jednak coś z tego będzie i chciałbym stanowczo powiedzieć, że z mojej perspektywy to nie jest o tyle fanfic,
671:  KMM - że fanfic charakteryzuje się jednak tym, że jest w nim jakiś rodzaj miłości ze strony fanów do uniwersum.
678:  KMM - To może być przekora, to znaczy chęć shipowania Snape'a z Malfoyem i zobaczenia, co z tego wyjdzie, ale równocześnie zauważcie, że ten Snape nie ma na przykład, nie wiem, dajmy na to różowej szaty i nie jest Entem równocześnie, który mówi tu dwa ucha, tam dwa ucha, a tu dupa, która słucha.
694:  KMM - Tylko dalej wygląda i zachowuje się jak Snape i jesteśmy w stanie stwierdzić, okej,
698:  KMM - To jest Snape i to jest Malfoy, oni spotykały się w Hogwarcie, a nie na stacji kosmicznej Alphatrox V. Więc fanfic jednak przy wszystkich swoich wadach fabularnych, nazwijmy to, zachowuje to jedno, czego Rings of Power absolutnie nie zachowuje.
712:  KMM - To znaczy mogę teraz z całą stanowczością powiedzieć, że to nie jest serial osadzony w uniwersum Śródziemia.
717:  KMM - Broniłem tej tezy na wiele różnych sposobów.
720:  KMM - I to jest ta jedna moja uwaga, która nie zmienia się absolutnie.
724:  KMM - To znaczy uważam, że największą rzeczą, która zaszkodziła temu serialowi, było dokładnie to samo, co zaszkodziło Cyberpunkowi 2077.
731:  KMM - To znaczy marketing, który wprowadził ludzi w błąd.
733:  KMM - Wystarczyło nie mówić, że to jest Rings of Power, ale na górze The Lord of the Rings.
737:  KMM - Wystarczyło powiedzieć, że to jest właśnie nasz fanfic, ale zupełnie niezwiązany z uniwersum, że to jest nasza wizja współczesna, uwspółcześniony Tolkien.
745:  KMM - Come on, zdarzało się, że tworzono Shakespeare'a w postaci, nie wiem, wystawienia na motorach i metalowców i nikomu to nie przedstawiało, dlatego że od samego początku mówiono, tak, nasz tytuł z Andronikus będzie inny, bo do tego się oczywiście odwołuje.
758:  KMM - Tutaj tego zabrakło.
759:  KMM - Ostatnio The Hollywood Reporter przeczytałem wywiad z Sean Rennerami, który moim zdaniem
765:  KMM - dowodnie pokazuje, gdzie jest i leży problem.
767:  KMM - Ci ludzie porównali się and I shit you not, nie gównuję was, do Szekspira, do Miltona,
776:  KMM - do Christophera Nolana.
778:  KMM - I do tego wszystkiego jeszcze tu z uśmiechami do Filipa porównali Saurona do Waltera Wilda z Breaking Bad.
786:  KMM - Ja myślę, że to... I to niego Sopranos, Sopranos.
788:  KMM - Tak, i to niego Soprano.
789:  KMM - Ja myślę, że to bardzo dobrze pokazuje, gdzie leży problem.
792:  KMM - To znaczy, jeżeli showrunnerzy nie mówią, tak jak Wojtek zaczął,
796:  KMM - Xena, a jeszcze bym dorzucił Mroczny Rycerz, w którym główny ortogonista miał na imię Mordor, co dowodzi, że Mroczny Rycerz już ma więcej wspólnego z Śródziem niż Wings of Power i wieloma innymi serialami z lat 90., tylko porównują się z absolutnym top of the top seriali i kina.
813:  KMM - To coś jest naprawdę nie tak.
815:  BFP - No jest, jest nie tak.
816:  BFP - Ja też zabiorę głos w tej kwestii.
818:  BFP - Ja przeczytam komentarz Dominika Ślusarczyka, który wspiera od czterech miesięcy bez schematu.
822:  BFP - Powitango, stopień wysmażania proszę, well done.
824:  BFP - A propos roastu i tego, co będziemy teraz robili.
827:  BFP - Ja nie mogę powiedzieć nic innego jak nie, że jestem na nie, ale jestem na nie w takiej formie.
835:  BFP - Jestem za tym, podobnie jak Wojtek, żeby powstał drugi sezon.
838:  BFP - I chciałbym mieć jakiś kredyt zaufania do twórców, ale jest to bardzo trudne, ponieważ tak jak słusznie powiedziałeś Krzysztof,
846:  BFP - Jest to jakaś forma przesadnie przebudżetowanego marketingu, bo oni mieli bardzo dużo pieniędzy na ten marketing.
853:  BFP - Oni nie mają takiego szumu, jaki generuje społeczność, jaki ma teraz RootSmoka, gdzie ludzie rzeczywiście chcą o tym mówić, chcą robić jakieś porównania, analizy.
864:  BFP - W przypadku Rings of Power albo to były memy, albo to były nagłówki, które były sponsorowane, opłacone.
870:  BFP - I strasznie przedobrzono i przeszarżowano na etapie marketingu, a nie dowieziono w najbardziej podstawowych rzeczach i obszarach, w których powinien dowieść serial, w których powinna dowieść produkcja telewizyjna.
883:  BFP - Ale żeby było bardziej bez schematu, to jednak chciałbym, żebyśmy zaczęli od tego, co nam się podobało w tym serialu.
888:  BFP - I zaraz oddam głos Dominice, bo chciałbym, żeby, kurczę, przepraszam, że akurat podaję ci, biorąc pod uwagę twoją mowę oskarżycielską, to podaję ci tak podkręconą piłkę, ale mam nadzieję, że jednak uda ci się coś wyłuskać.
899:  BFP - Na zachętę, na zachętę, powiem tak, ten serial ma naprawdę piękne zdjęcia i czasem za nadto to przeżywa.
910:  BFP - Ma naprawdę imponujący design Numenoru i za każdym razem jak widziałem Numenor miałem ochotę odpalić sobie jakąś starą, dobrą grę RPG w rzucie izometrycznym.
920:  BFP - Ma dobrze dopracowaną kostiumografię orków, nie ogółem, bo są totalne wtopy, ale orkowie wyglądali naprawdę nieźle.
929:  BFP - Muzyka bywa, że daje radę, ale tak jak napisał gościu w Guardianie bardzo fajnie, no są takie momenty, w których wydaje się, że Bear McCreary zasnął na przycisku fantasy na swoim keyboardzie.
942:  BFP - I rzeczywiście tak jest.
944:  BFP - Rzeczywiście odnoszę wrażenie, że tak jest.
947:  BFP - Ale ostatecznie zostawię was takim obrazem.
951:  BFP - To był jeden moment w całym serialu.
954:  BFP - Nie pamiętam, czy to był piąty czy szósty odcinek, ale to była scena szermierki Galadrieli w Numenorze na Placu Miejskim, w którym ona daje popis przed rekrutami.
964:  MK - Piąty odcinek.
968:  BFP - To był jeden z niewielu momentów, kiedy miałem poczucie, że na moment wpuścił z tonu ten serial.
973:  BFP - Że na moment potrafi zrobić coś, co jest jakkolwiek fun.
977:  BFP - Że Galadriela może się uśmiechnąć raz na 10 tysięcy lat.
981:  BFP - Że nie trzeba cały czas mieć slow motion, jak Galadriela jedzie na koniu, jak ktoś strzela z łuku.
987:  BFP - Że musi być patetyczna muzyka, że musi być takie nieprawdopodobnie irytujące zadęcie.
993:  BFP - I ta scena, która miała w sobie coś z baletu, która miała w sobie coś z luzu,
998:  BFP - Była dla mnie, ja nie mówię, że to było świetne, ale mój odbiór tego serialu byłby inny, gdyby takich scen było więcej, gdyby ten serial kurwa mać nie traktował się tak na serio przez cały czas, bo wychodził na autoparodię w większości momentów.
1014:  BFP - Dominiko, co ci się podobało?
1017:  DS - Kurczę, wiem, mam chyba nie komentować na razie tego, co powiedziałeś, bo zgodzę się w ogóle, ale absolutnie nie zgodzę się co do tej sceny z Galadrielą i jej szermierką, ale no nie wiem, to twój live, więc nie wiem, czy mam się odnieść do tego teraz, czy poczekamy później.
1033:  BFP - Oczywiście, proszę bardzo.
1034:  BFP - Rozstój go, rozstój go.
1037:  BFP - Przyszedł Michał, spuścił się i od razu stawił nowe rządy.
1041:  DS - Zaczniemy bez schematu, czyli najpierw się zgodzę.
1044:  DS - Zgodzę się z tym, że jak najbardziej gdyby ten serial spuścił trochę z tonu i traktował się troszkę bardziej na luzie, to zdecydowanie byłoby lepiej.
1054:  DS - Są takie sceny, ale nie zgodzę się z tym, że to akurat ta scena.
1057:  DS - Są takie sceny, czasem się pojawiają wśród hardfootów.
1061:  DS - Sporo tych scen się pojawia faktycznie w relacji Elronda z Durinem w Królestwie Krasnoludów i jak najbardziej się zgodzę.
1068:  DS - Natomiast dla mnie scena walki Galadrieli z rekrutami była po prostu była bardzo, bardzo, bardzo zła.
1075:  DS - Ja miałam wrażenie, no nie wiem, może ja po prostu się opatrzyłam na za dużą ilość dobrych choreografii, ale ja miałam wrażenie, że
1083:  DS - Po prostu ktoś wziął aktorów, dał im tą broń.
1085:  DS - Nie było to wystarczająco wyćwiczone.
1087:  DS - Dla mnie ruchy tych aktorów były niezgrabne.
1089:  DS - Właśnie wyglądało to trochę jak taki taniec, ale taki, w którym oni za dobrze kroków nie znają.
1095:  DS - Było to za wolne i... Było to zdecydowanie za wolne i za mało płynne, jak na taką lekką, akrobatyczną choreografię, którą możemy czasem zobaczyć w filmach azjatyckich, w jakichś filmach kung fu.
1108:  DS - gdzie oni to robią naprawdę szybko, co bardzo by pasowało faktycznie do takiej walki elfa, prawda?
1114:  DS - Wyobrażamy sobie to trochę tak, no tak jak Legolas robi różne triki, kiedy strzela z łuku, ale nie była to też taka choreografia, która idzie bardziej w stronę Wiedźmina albo w stronę jakichś rycerzy średniowiecznych, gdzie faktycznie to są jakieś potężne cięcia.
1129:  DS - Dla mnie to było takie ni w pięć, ni w piętnaście i jeszcze do tego wrzucono tą komedię i dla mnie to całkowicie zepsuło nas jakby całość tej sceny.
1138:  DS - Natomiast jak najbardziej były rzeczy, są rzeczy, które się da znaleźć pozytywne w tym serialu, choć nie ma ich za dużo.
1145:  DS - Dla mnie jedną z rzeczy, która naprawdę mi się spodobała i...
1150:  DS - no naprawdę była bardzo fajna, to to, że każdy naród, każda nacja miała swoje powiedzenia.
1159:  DS - To jest może taki drobiazg, ale faktycznie Harfuci, jak stosują jakieś metafory, to mówią najczęściej o wózkach.
1164:  DS - Nie wiem, na przykład, jesteś smutny, jakby ci odpadły koła od wózka.
1169:  DS - Krasnoludowie, jak mówią, to często się odwołują właśnie do górnictwa,
1175:  DS - a elfowie no to tam też mają swoje metafory i to jest może drobiazg, ale dla mnie on naprawdę grał bardzo dużą rolę, bo sprawiał, że troszkę pomagał uwierzyć, że to są jakieś właśnie osobne grupy, u których język rozwinął się w jakiś swój własny, naturalny sposób i właśnie w ten język wplotły się rzeczy, które są dla nich ważne.
1194:  DS - Także to było bardzo fajne.
1197:  DS - Bardzo mi się podobała też właśnie całe trio, o tym na pewno też ktoś z was będzie mówił, więc może za dużo o tym nie powiem, bo
1204:  DS - bo przypuszczam, że to jeszcze padnie, ale trio właśnie Disa, Durin i Elrond, oni się aktorsko bardzo dobrze sprawili i mam wrażenie, że szczerze mówiąc to oni ciągnęli ten serial po prostu do przodu, jak harfucki wózek wypełniony kamieniami, ale starali się go ciągnąć pod górkę i prawie im się udało, gdyby oni mieli więcej czasu ekranowego,
1227:  DS - a cała reszta wątków miała mniej czasu ekranowego, to na pewno ten serial wypadłby znacznie lepiej.
1232:  DS - Trzecia rzecz, która mi się podobała, może już potem nie będę mówić więcej, pozwolę wam też coś trochę powiedzieć, to wątek muzyczny, który był w Kazat Dum, on był bardzo fajny, natomiast byłam trochę rozczarowana tym, że on zniknął.
1245:  DS - On był...
1247:  DS - w początkowych odcinkach, w pierwszej, jednej, trzeciej, a potem z jakiegoś powodu z niego zrezygnowali.
1251:  DS - Nie wiem, dlaczego zrezygnowali z czegoś, co wreszcie wyszło im dobrze.
1255:  DS - Jeśli macie jakiś pomysł, to chętnie posłucham, dlaczego tak się stało.
1258:  KMM - To był za ładny.
1259:  KMM - Brak konsekwencji, który jest w sędzie.
1262:  DS - Chociaż ta pieśń, która była na końcu ostatniego odcinka, też była bardzo fajna.
1265:  DS - Ta, która była już w napisach końcowych.
1268:  BFP - Wojtek?
1270:  WB - To ja może najpierw odniosę się do tego, co ty Filip powiedziałeś.
1274:  WB - Widziałem, że facepalmowałeś.
1277:  WB - Nie, najpierw nie, naprawdę, bez schematu zacznę od pozytywów, nie będę śmieszkował.
1283:  WB - Amazon, mówimy o tym, że Pierścienie Władzy to najdroższy serial historii.
1289:  WB - Czy to czuć?
1290:  WB - Nie.
1291:  WB - Czy to widać?
1292:  WB - Od czasu do czasu.
1294:  WB - I tutaj z ręką na sercu przyznaję, że tak jak mówiłeś o Numenorze,
1297:  WB - Widoczki, design miast, gdy widzimy, jest daleka, krajobrazy.
1302:  WB - To wygląda ładnie.
1303:  WB - Tutaj widać, że ten kurek z pieniędzmi został odkręcony i to wygląda ładnie.
1308:  WB - Numenor za każdym razem robi wrażenie.
1311:  WB - Lindon też wygląda całkiem spoko.
1313:  WB - Kazad Dun również dobrze.
1316:  WB - te efekty wyglądają tym lepiej, tym lepsze robią wrażenie, że zaraz potem dostajemy zbliżenie na kostiumy czy na scenografię już bliżej i tam to już nie wygląda tak dobrze.
1329:  WB - A co do fejspalmowalnia, to tak, ta walka, tak jak tutaj popieram Dominikę, ta walka nie wyglądała dobrze, a jak zacząłeś o tym mówić, to ja od razu sobie przypomniałem słowa, które je poprzedzają, czyli jeden z topowych dialogów drewnianych i najlepszych tekstów w serialu, czyli jak najlepiej pokonać orka.
1349:  WB - dźgnij, przekręć i wyciągnij.
1351:  WB - No naprawdę, dzięki temu rozwój militarny Numenoru przyspieszył jakieś tysiąc lat, bo oni wcześniej łaskali i łaskotali swoich wrogów, więc nikt na to nie wpadł.
1361:  WB - I tutaj też zaznaczę taki wątek, do którego mam nadzieję, że wcześniej wrócimy, bo też Dominika mówiła o takich powiedzonkach, może zawsze ma rację.
1372:  WB - I łącząc ten fragment o dźganiu, tutaj ten fragment, w którym oni powtarzają, że morze ma zawsze rację oraz końcówka, gdy pojawia nam się nazwa Mordor, to są trzy punkty, w których wydaje mi się, że oprócz tego, że w serialu znajdziemy nawiązania do trylogii Petera Jacksona, takie wizualne, mamy pewne sceny, które...
1393:  WB - wyraźnie są easter eggiem.
1394:  WB - Tutaj Marcin wie, że ja lubię wypatrywać wszelkiego rodzaju jajek na ekranie.
1398:  WB - Tak tutaj wydawało mi się, że to były takie próby cytowania gry o Tron trochę.
1403:  WB - Ja odniosłem takie wrażenie.
1404:  BFP - Ale jest pewna różnica między, może ma zawsze racja, war is dead may never die, czyli to co jest martwe nie może umrzeć, Grey Joyów.
1412:  BFP - No jest jednak...
1413:  BFP - Czuć pewną różnicę między poziomem intelektualnym piszących.
1418:  KMM - Zauważcie, że jeszcze była jedna taka scena, kiedy rzeczywiście, ale tak już wulgarnie trawestowano, to znaczy mam na myśli scenę, kiedy krzyczeli orkowie Adar, Adar, Adar i później było Mordor.
1430:  KMM - wara od mojego hodora i od tej sceny, przy której ja ryczałem, ale to było tak strasznie czuć, że oni też chcieli mieć te swoje memy, nie?
1438:  KMM - Tylko te dobre, a wyszło na to, że dostali te złe.
1441:  WB - Jak oni zaczęli to krzyżeć, to po pierwszych dwóch razach, jak padło Ader, ja pomyślałem,
1445:  WB - Oni tutaj robią hodora.
1447:  WB - I tak się zastanawiam, jak oni obrócą tego Adara, żeby wyszedł z tego Mordor?
1450:  BFP - Jak oni obrócą tego Adara, żeby wyszedł z tego hodor?
1452:  WB - To jest dopiero pytanie.
1454:  WB - Któryś z orków musiałby naprawdę mieć potężną wadę wymowy, żeby wyszedł z tego Mordor.
1459:  WB - No i potem Adar siada sobie na tym kamieniu czy na zwalonym drzewie jak taki
1464:  WB - chłop, który właśnie zbudował altanę w ogródku, jest z siebie dumny, siadł, patrzy i co?
1470:  WB - No kurde, no zaraz okaże się, że na drugie ma Mordor może.
1474:  WB - Cokolwiek, cokolwiek się wydarzy.
1476:  WB - Powinni byli wziąć Gandalfa.
1480:  ML - Powinni byli wziąć Gandalfa, zanim miał mówić i byłeś takie, wiesz, no w zasadzie Adar, Mordor, a Mordor.
1486:  BFP - Run?
1487:  BFP - Adar, Mordor?
1487:  WB - Michał, jak już jesteś... A oni po prostu, jeden napis przechodzi w drugi,
1492:  WB - Mamy mordor i osoba, która nie czytała książki.
1497:  WB - Są ludzie, którzy nie wiedzą, czym jest władza pierśni.
1499:  WB - Skąd oni mają znaleźć jakikolwiek najmniejszy związek przyczynowo-skutkowy?
1503:  WB - Skąd ten mordor?
1505:  WB - I miałem mówić o pozytywnych rzeczach.
1507:  WB - Wyszło, że negatywnie.
1507:  WB - Nie mówisz skąd ten mordor.
1509:  WB - Tak, skąd ten mordor.
1510:  MK - Po prostu jadł w duszy, zagnieżdżony.
1512:  WB - Tak już mam.
1513:  WB - Tego się nie da chyba wyzbyć.
1515:  WB - To wizyta u psychiatry może jakiegoś.
1517:  WB - Ale wracając do tego, co Dominika powiedziała, są momenty, które rzeczywiście wrzucają na luz i tutaj dwa wątki.
1523:  WB - Relacja duet Nori i Poppy na początku, gdzie oni ciągną nieznajomego na wózku i ten wózek zaczyna zjeżdżać.
1530:  WB - To mnie rzeczywiście naprawdę rozławiło.
1533:  WB - Jeden z nielicznych momentów, gdy
