ESKAPIZM - ucieczka od codzienności! Synestezje - panel dyskusyjny Krzysztof Maj, Bez/Schematu i JA!
🔗 https://www.youtube.com/watch?v=0zVqMH05SfU
KMM (Krzysztof M. Maj)
PW (Przemysław Wideł)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  BFP - Patrońszczyzna.
142:  S05 - Bo się obracacie, wiem, że to jest spotkanie o poświatach o fantastyce.
150:  S05 - Się skupiacie w eskapizmie właśnie takim fantastycznym.
152:  S05 - W boku tego.
155:  S05 - Ale przede wszystkim Harley Keanu.
160:  DS - Dokładnie to samo.
161:  S05 - To prawda.
162:  DS - Nie ograniczajmy się w eskapimie do samej fantastyki.
165:  DS - Ale nie uważacie, że jest taka tendencja, że fantastyka jest uważana za taką trochę bardziej eskapistyczną, tak w takich kolokwialnych dyskusjach?
172:  KMM - Tak mi się też wydaje, ale z drugiej strony fakt faktem jest, że też to, o czym mówimy, da się stopniować jakościowo, to znaczy jesteśmy w stanie powiedzieć, gdzie ta inwestycja poznawcza będzie bardziej wartościowa, no i tutaj przychodzą recenzje.
187:  KMM - Film ma ten swój bój słusznie o uznawanie recenzentów i krytyków, bo bez tych ludzi, bardzo często, którzy mają przegląd, którzy obejrzeli N rzecz, przeczytali, tak jak Czerw przeczyta N książek fantasy, więc jeżeli spytamy o jaką może warto,
201:  DS - To ja wtedy powiem, zapytajcie Krzysztofa, bo jego gwiazdka jest większa.
205:  KMM - Ale kluczowa kwestia jest taka, żeby właśnie pytać.
207:  KMM - Bo mam wrażenie, że ludzie bardzo często stwierdzają, a, no to se.
211:  KMM - odpalę coś na telefonie i to jest eskapizm.
214:  KMM - To nie jest eskapizm, taki jakościowy eskapizm, o jakim my mówimy, tylko to jest problem.
218:  KMM - Jeżeli my nie wiemy, co ze sobą robić, zresztą to nie chodzi tylko o ten ruch, to chodzi także o Netflixa.
223:  KMM - Przełączamy sobie, co chcę zobaczyć i mija godzina.
228:  KMM - Ale to się bardzo często dzieje i to się dzieje dlatego właśnie, że mamy tak dużo propozycji, że bardzo często właśnie nie wiemy, która z nich jest tą jakościową.
235:  BFP - Ale to jest trochę kwestia diety intelektualnej i duchowej.
242:  BFP - Wiadomo, zakładając, że można porównać popkulturę czy kulturę do jedzenia, no to możemy naprawdę jechać na tym, co jest takim tanim żarciem albo fast foodem, albo możemy mieć w miarę zróżnicowaną dietę.
254:  BFP - Zakładając, że fantazja jest jakimś gatunkiem kulinarnym, no to z pewnością są to dość wykwintne dania i ciekawe, egzotyczne potrawy.
263:  BFP - I dobrze jest od czasu do czasu próbować czegoś egzotycznego, czegoś, co smakuje zupełnie inaczej.
267:  BFP - I wydaje mi się, że akurat właśnie gdyby trzymacie tej analogii, to fantazy i fantastyka, w ogóle moim zdaniem science fiction, tak?
273:  BFP - Bo dla mnie, no chyba tak fantastyka naukowo zamyka się fantastycem.
276:  BFP - To fantastyka właśnie dlatego była pociągająca, bo pokazywała nam coś, czego nie znamy.
280:  BFP - Czyli nie jemy kotleta mielonego albo schabowego, tylko naprawdę sięgamy po potrawy, o których jeszcze nie słyszeliśmy.
287:  DS - Ale ja się z tobą Krzysztofie nie zgodzę, że przeglądanie Netflixa jest niskojakościowym eskapizmem.
292:  DS - Dlaczego przeglądanie Netflixa jest złe, a uważamy, że jak ktoś pójdzie do księgarni i sobie weźmie książeczkę z półki, przegląda, czyta opis, to to jest wartościowe wyzwodzenie czasu.
302:  KMM - Masz rację.
303:  KMM - To jest kwestia kulturowa, to znaczy
306:  KMM - Mamy kulturę, w której się mówi nam, że jedno medium rozwija, tak po prostu.
310:  KMM - No i tutaj myślę, że wszyscy moglibyśmy się zgodzić, że prędzej czy później każdy na drodze naszego życia usłyszy, że książka rozwija bardziej niż gra, a ja bym chciał zobaczyć badania na ten temat.
320:  KMM - Bo jedyne badania, które ja widziałem, badania nad mapami mózgu generalnie, pokazywały mi, że przy grze komputerowej mózg się świeci wszystkimi barwami w każdej przestrzeni, a przy książce nie.
331:  KMM - No więc chyba też się zgodzicie, że to badanie nie jest miarodajne, tak, bo ono pokazuje nam tylko to, że medium gry wideo jest bardziej, znaczy jest wielobodźcowe i multimodalne, przez co atakuje nas w różne miejsca, a książka, nie, książka wymaga większego zaangażowania naszych płatów czołowych odpowiedzialnych za wyobraźnię, tak, tak, tak, tak.
348:  KMM - Można byłoby długo o tym mówić, ale problem polega na tym, że my nie jesteśmy w stanie tego do końca przebadać.
353:  KMM - Więc twierdzenie na przykład, że literatura rozwija wyobraźnię, no to jest twierdzenie bezpodstawne, ponieważ każde medium może rozwijać wyobraźnię, jeśli jest dobrze zrobione, dobrze zrealizowane.
363:  KMM - No nikt mi nie wmówi, że Kino Quarantina nie rozwija, tak?
366:  KMM - Nikt mi nie wmówi, że świetnie zaprojektowana gra wideo, taka, o której wszyscy mówią latami całymi, typu Red Dead Redemption 2, typu Wiedźmin 3,
375:  KMM - typu Bioshock Infinite.
377:  KMM - Ja się w ogóle poznałem kanał Filipa po tym, że szukałem źródeł na temat światotwórstwa i zobaczyłem, że zrobił materiał world buildingu w Bioshocku.
385:  KMM - No nie można powiedzieć, że to nie rozwija, skoro jesteśmy w stanie coś powiedzieć, ale równocześnie jesteśmy w stanie w każdym z tych mediów znaleźć coś, co totalnie nie rozwija.
393:  DS - Ja myślę, że z tym takim na przykład przeglądaniem Netflixa, wróćmy do tego jeszcze na moment, bo już odpłynąłeś naprawdę daleko, ale ja bym chciała tutaj jeszcze zostać na chwilę, to to trochę zależy od tego, z jaką intencją jakby to robimy, bo możemy mieć ochotę na relaks i właśnie celowo wejść na tego Netflixa i spędzić na przykład 40 minut przeglądając filmy, sprawdzając, które nam się podobają, które nam się nie podobają, dodać je sobie do tej naszej biblioteczki do obejrzenia na później i to jest w porządku, bo w sumie orientujemy się
422:  DS - co jest w kulturze teraz dostępne i tak dalej.
424:  DS - A jeśli to będzie takie faktycznie, że nudzi mi się, coś bym zrobił, nie chce mi się przeglądać tego Netflixa, ale będę go przeglądał i faktycznie tak będziesz sobie tylko scrollował, no to wtedy oczywiście jest strata naszego czasu, no nie?
437:  DS - W sumie wszystkie te czynności się trochę do tego sprowadzają.
440:  DS - Czy zabijamy tym czas, nie skupiamy się i nic to dla nas nie wnosi, czy robimy to w jakiś taki sposób, który coś nam daje?
447:  PW - No mi się tutaj trochę spodobało to kulinarne porównanie.
450:  PW - To znaczy, żeby wypracować sobie jakiś smak, trzeba trochę rzeczy sprawdzić.
454:  PW - To znaczy, trzeba zarówno skosztować coś, co będzie super jakościowe i będzie ucztą dla naszego
462:  PW - kubków smakowych, ale też od czasu do czasu zjeść chamskiego kebaba, żeby wiedzieć po co nie sięgać.
467:  PW - Nawet wtedy, nawet w takim momencie, żeby sobie czasem przypomnieć, że nie chcemy tego jeść, prawda?
474:  PW - Czasem trzeba, nie?
475:  BFP - Są tacy, którzy lubią na przykład pójść sobie świadomie na przykład na Fast & Furious, kolejną część i tu masz takiego rasowego, tłustego kebaba czy Big Maca.
485:  BFP - I wiesz, masz świadomość tego, co będziesz konsumował i co to zrobi swoim zdrowiem czy swoim umysłem, ale wybierasz to, a nie dlatego, że nie znasz innych smaków, czy nigdy nie sięgnąłeś po inne potrawy.
497:  S02 - A ja się zastanawiam, czy esk... Eks... Ekskapizm?
502:  S02 - Bo teraz mówię o fantastyce, bo nigdy nie słyszałam tego określenia, przy względu na jakieś właśnie typu wesele, pan Tadeusz, czy to jest niemożliwe, żeby się zanurzyć w tak właśnie, jak określałem, w takich treści, czy to jest możliwe?
514:  S02 - Bo to mnie zastanawia.
516:  BFP - Mam taką analogię.
519:  BFP - Pamiętam, że pierwszy raz, jak miałem siedem lat i pierwszy raz kochałem w ogóle pływać, choć jeszcze nie umiałem pływać, ale generalnie gdzieś tam w bezpiecznych, płytkich regionach sobie pływałem i pierwszy raz poszedłem na basen i... O, ty to będziesz miał historię i używanie już na długo, jak ci to powiem.
537:  BFP - I to była taka kolejka i kazali nam pójść na drugi koniec basenu Dziubo Najgłębiej i nas wpychali tam.
543:  BFP - Wpychali nas tam i podawali kij, żeby złapać.
546:  BFP - To było dla mnie traumatyczne, bardzo traumatyczne przeżycie.
549:  BFP - I tak zrobili dla mnie ze wszystkimi lekturami.
553:  BFP - Tak wyglądało moje zanurzenie w nie.
555:  BFP - Że stałem wrzucony tam na siłę, kiedy nie umiałem pływać.
558:  BFP - Więc ja zakładam, że gdybyś sama po to sięgnęła, bo przeczytałabyś recenzję albo świetny esej, to mogłabyś się tym zachwycić.
565:  BFP - Ale mnie na przykład wszystkie te lektury, o których wspomniałaś, odrzucają, ponieważ właśnie wypchnięto mnie do tego basenu.
571:  S02 - Ale czy na przykład założenie się w treść tej lektury to jest takie odejście od naszego świata?
574:  S02 - Bo w sumie one są wypisane w naszym świecie poniekąd, w sensie są tam też duchowe elementy, ale...
580:  KMM - Problem polega na tym, że one już nie są w naszym świecie.
584:  KMM - Bo świat historyczny to już nie jest nasz świat.
586:  KMM - I to jest to, o czym często zapominamy, że fantasy nie różni się wiele od historii.
592:  KMM - Na przykład Stanisław Lem mówił, że tak jak
595:  KMM - Do świata science fiction potrzebujemy nauki, żeby projektować wyobrażoną przyszłość.
599:  KMM - No to dla świata fantasy potrzebujemy historii, żeby projektować wyobrażoną przeszłość.
603:  KMM - I dlatego też uważam, że w historycznych rzeczach absolutnie się można zanurzyć, tylko że jest jedno kluczowa rzecz znowu.
610:  KMM - Kiedy jest imersja, kiedy jest zanurzenie?
612:  KMM - Wtedy kiedyś człowiek zapomina, że minęły cztery godziny.
615:  KMM - Kluczowa sprawa.
616:  KMM - Są ludzie, którzy są w stanie czytać, bo są na takim poziomie językowym, kulturowym, są w stanie przeczytać Beowulfa na przykład w oryginale.
623:  KMM - Ostatnio jest, swoją drogą, polecam na YouTube, na kanale Nerd of the Rings, wywiad z Tomem Shippeyem, który jest filologiem angielskim, równocześnie wybitnym Tolkienistą, od 60 lat się Tolkienem zajmuje, ale zrobił nowy przykład Beowulfa i on o tym mówi godzinę.
638:  KMM - Więc możesz się zanurzyć, tylko że jest jedna kluczowa kwestia, jak nie ma zanurzenia, to jest koncentracja.
643:  KMM - Czego uczy zwykle nas szkoła?
645:  KMM - Koncentracji na formie.
647:  KMM - To jest tak, trzymając się analogii pływackiej, jakbyśmy nie płynęli po prostu, tylko cały czas.
652:  KMM - 20 centymetrów do przodu, pod kątem 30 stopni teraz w tę stronę, dobrze, dobrze, przeciwwaga na nodze, w porządku, tak, to teraz z siłą 7 newtonów, to jest to.
664:  KMM - Wtedy nie myślisz o tym, że pływasz.
666:  KMM - Wtedy myślisz o tym, że musisz wykonać szereg tych czynności.
669:  KMM - Jak przestajesz to robić, jak wchodzą czynności omyłkowe, freudowskie, jak wchodzi zapomnienie o świecie, jak wchodzi ten moment, że jesteście w kinie,
679:  KMM - kiedy to w ogóle było, albo odpalacie grę, mija ileś czasów, kiedy to było, to wtedy jest imersja.
685:  KMM - Ja przeżyłem imersję przy książkach wiele razy.
689:  KMM - Potrafię siedzieć do siódmej nad ranem od godziny dwudziestej drugiej non stop bez jedzenia i czytać.
694:  KMM - Potrafię.
695:  DS - Ja na przykład lubię filmowy Potop, ponieważ bardzo przystojny Andrzej Kmicic zapewnia imersję.
705:  DS - Trzeba sobie po prostu znaleźć u tych rzeczak coś, co nam się spodoba.
711:  DS - Co?
714:  KMM - Obejrzyj sobie pana Tadeusza i tam piękna Zosia, która... Rozważam w laboratoryjnej izolacji twój egzotyczny punkt widzenia.
725:  S01 - Przepraszam, ja na przykład dla przykładu najpierw zainteresowałem się historią, szczególnie średniowieczem.
731:  S01 - Na przykład z przyjemnością się zanurzyłem w Krzyżaka, który wkłonąłem po prostu.
735:  S01 - Co ciekawe, nie było naszą lekturą, także po prostu dla siebie przyjemność.
740:  S01 - A później dopiero się dowiedziałem, że jest Tolkien, Sapkowski i że to może być coś więcej.
745:  S01 - Właśnie jeszcze fantastyka.
747:  S01 - Jeszcze tak powiem.
751:  S05 - Jako dziecko, ja wychowywałem się w początku lat 80.
755:  S05 - Czyli jestem starym dziadem i wtedy nie było fantasy, nie było Netflixa, nie było gier komputerowych.
760:  S05 - I myśmy się na przykład, taka zabawa, bawili w Indian, bośmy czytali Winnetou.
765:  S05 - I ten był zawsze oczem w handel, ktoś był w Winnetou, byliśmy Indianami.
769:  S05 - Budowaliśmy w parku biegłamy.
772:  S05 - To jest jakby to samo, co dzisiaj chłopaki bawią się w laty.
775:  KMM - Ja bym nawet powiedział, że to bóla.
778:  S05 - Więc to nie ma znaczenia, czy czytamy fantastykę eskatysty.
784:  S05 - czyli rzeczywistość, nie rzeczywistość.
786:  S05 - Literatura historyczna, przygodowa, awanturnicza.
790:  S05 - Werner, Maj.
794:  KMM - Karol Maj, propcy.
796:  KMM - Jestem dumny, ale może po prostu powinniście sobie redefiniować ten świat jako świat dla nas niedostępny fizycznie, prawda?
803:  DS - Rzeczywistość historyczna, czy nie wiem, na przykład... Ale książki obyczajowe są w rzeczywistości, która jest nam dostępna i one też mogą ci zapewnić eskapizm.
813:  DS - Ja myślę, że po prostu wszystko, co sprawia ci przyjemność i w co się wciągasz, zapewnia ci eskapistyczność.
817:  BFP - No bo świat emocji może być eskapistyczny, nie musi być świat wyimaginowanej geografii, ale emocji i przeżyć, które są nam odległe, tak?
827:  S02 - Czyli w sumie fakt, że większość osób nie zanurza się w tych lekturach, to wynika z tego, że są na nich zmuszani po prostu, a nie robią tego z własnej nieprzymówki.
834:  DS - Ja myślę, że tak, bo ja na przykład w Pustyni i w Puszczy, które u nas w szkole podstawowej było lekturą obowiązkową, poznałam dużo wcześniej.
840:  DS - Moi rodzice kupili w Pustyni i w Puszczy na kasetach do słuchania i mieliśmy taką tradycję, zawsze jak gdzieś jechaliśmy na jakąś dłuższą wycieczkę, to żeby dzieci nie siedziały i nie pytały, daleko jeszcze?
851:  DS - To zawsze leciało w Pustyni i w Puszczy.
853:  DS - Nie, zawsze leciało coś do słuchania i czasem akurat było to w pustyni i w puszczy i to w pustyni i w puszczy i ja uważałam, że jest bardzo ciekawe.
860:  DS - Oczywiście ta książka ma swoje problemy, umówmy się, ale jednak przygody tych dzieci, prawda, one porzucone w tej Afryce, tam są ci źli ludzie, którzy na nich dybią i ta puszcza, która na nich dybie i jak oni wrócą do domu, to było dla mnie bardzo ekscytujące.
873:  DS - Potem doszliśmy do tej lektury, to ja ją sobie przeczytałam jeszcze raz od tak szybciutko dla przypomnienia, prawda, wszystko wiedziałam, a widziałam jak moi koledzy się po prostu męczą, jak oni siedzą i tam w pierwszym rozdziale jest w ogóle opis jakichś ptaków, który zajmuje całą stronę i w ogóle ta książka ma mnóstwo przypisów, których to przypisów ja na przykład nie znałam słuchając tą książkę w formie audio i okazało się, że nie są do niczego potrzebne, ale po prostu się to kartkowało i to wyglądało strasznie i oni do dziś nie lubią pustyni i puszczy, a ja sobie czasem wracam dla przyjemności.
902:  DS - Więc to jak najbardziej była dla mnie eskapistyczna lektura, więc myślę, że faktycznie te okoliczności mają bardzo duże znaczenie.
910:  DS - No nie to, co ty chyba mówiłeś wielokrotnie, że nie możemy wiedzieć, że się czegoś uczymy, żeby się tego fajnie uczyć.
916:  KMM - Tak, to jest idea nauczeń imersyjnego, tak.
918:  KMM - Trochę jakby Diona była lekturą.
921:  KMM - No tak, ale właśnie dlatego idiotyzmem jest domaganie się do tego, o, rozpiszmy gry wideo na listę lektur.
929:  KMM - Po pierwsze debilizm, bo ludzi się zmusza wtedy do kupowania sprzętu, po drugie jest to trudne logistycznie, po trzecie, no to kto ma w ogóle uczyć ich komentarza do tych gier, jak groznawców w Polsce jest 30 i wszystkich znam osobiście.
942:  KMM - No nie da się za bardzo tego zrealizować, więc takie przekonanie, że musimy cały czas pushować to, żeby ludzi zmuszać do poznawania jakiegoś medium jest dziwne.
951:  KMM - I absolutnie się zgodzę z tym doświadczeniem, które tu opisujesz.
954:  KMM - Ja je miałem przy tzw.
956:  KMM - literaturze młodzieżowej, więc dzisiaj powiemy raczej young adult.
960:  KMM - Z której miałem egzamin na mojej polonistyce.
963:  KMM - I pamiętam, że ludzie zaczynali czytać te wszystkie jakieś heidi dorasta, a nie z Zielonego Wzgórza i oni to czytali po raz pierwszy, nie?
970:  KMM - Ale wszystko miałem ze sobą.
972:  KMM - I stwierdziłem, okej, no to jest pierwszy egzamin, do którego podchodzę sobie ot tak i...
977:  KMM - bez żadnego problemu go zdaje, a oni byli nieszczęśliwi.
979:  KMM - To był dla nich jeden z trudniejszych egzaminów, bo zostali zmuszeni do tego, żeby przeczytać literaturę, która też wiekowo w żaden sposób ich nie interesowała, nie rozwijała.
988:  DS - To jest problem z fakturami, że często one są niedobrane do naszego wieku wtedy, kiedy je czytamy.
992:  KMM - No i też myślę, że to, co mówisz, że słuchałaś książki, to też dużo zmienia, bo są ludzie, którzy na przykład wolą jak słuchać książek.
999:  KMM - Ja nie umiem, totalnie.
1000:  KMM - Mnie się mówi coś na wykładzie, zapominam od razu 70%.
1004:  KMM - Ja muszę mieć jakiś feedback wizualny.
1007:  BFP - Nie ma takiej książki, której nie mogłaby zepsuć szkoła.
1011:  KMM - No niestety.
1011:  KMM - Takiej gry powiedziałbym również.
1013:  BFP - To jest jak... 30-minutowa gra ministerstwa o wywananiu wszystkich.
1017:  S01 - O nie, nie.
1023:  S01 - Co?
1023:  S01 - Tak.
1024:  S02 - Nie, w ogóle, gdyby według mnie nie weszły do szkoły, moja polonistka, mamy dwie polonistki w szkole, jedną młodszą, która mówi, że ona osiągnęła coś nie wszystkiego na maturze i moją polonistkę, która twierdzi, że jeżeli nie odważasz do literatury wybitnej, czyli tej z lektur, to nie będziesz miał punktów.
1041:  S02 - Nie można.
1043:  S05 - Więc to by i tak nie szczerzyło.
1047:  S07 - Ale po prostu dajcie mi uwagę, gdzieś tam idę, opowiem.
1049:  S07 - Ale też, a po tego właśnie... Puszczy to...
1052:  S07 - Jakby tutaj nie było tego efektu właśnie tego wyrzucenia głęboką wody, że jakby było już to oswojenie trochę z tą książką, z tą historią wcześniej.
1059:  S07 - I może też to spowodowało, że taka była Twoja reakcja na to.
1062:  DS - Tak, ale też rodzice mi powiedzieli, mamy fajną książkę, której będziemy słuchać w czasie podróży, więc ja podeszłam do tego, że będę
1071:  DS - słuchać fajnej książki, a nie teraz będziemy słuchać lektury, która przyda ci się, kiedy pójdziesz kiedyś do szkoły i porusza ważne wątki.
1079:  DS - Tak, tak.
1080:  KMM - Ja też myślę, że nie miałeś specjalnie alternatywy, bo mogłaś siedzieć w samochodzie i wąchiwać się w ten obrzydliwy zapach rozgrzewającego się sztucznego materiału w słońcu, który ja pamiętam ze Skody Favorit, której nie znosiłem z tego powodu, ale to też jest kwestia alternatywy, którąś miałby naprawdę.
1100:  KMM - Skoda Favorit miała grzejące się praski, które śmierdziały.
1103:  KMM - Było okropne.
1104:  KMM - Gdybyśmy miały alternatywę, słuchaj, to czytamy W pustyni i w puszczy albo czytamy fantasy, to już się troszeczkę zmienia, tak?
1109:  KMM - Tak.
1109:  KMM - To jest na takiej zasadzie, że jeżeli byśmy byli zamknięci w pomieszczeniu i o głodzie i mielibyśmy kurz z cukrem, czyli hałwę i nic więcej, a i drugie pomieszczenie, gdzie dostajemy kurz z cukrem oraz paczkę Raffaello.
1121:  DS - Dałybyśmy kurz z cukrem.
1123:  DS - No.
1124:  KMM - I to wszystko się roztapia w tej Skodzie.
1128:  S07 - Ale co chciałam powiedzieć, to że być może gdybyś spotkała się z tą książką po raz pierwszy w szkole, to być może przeczytałabyś ją raz i nikt do niej by to nie wrzuciło.
1136:  DS - No właśnie, to jest alternatywna rzeczywistość, która być może gdzieś się odbyła i to jest przerażające.
1141:  BFP - Ekonomiści behawioralni pokazali, że zawsze jak dostajemy coś za darmo, to traktujemy to z mniejszym szacunkiem, niż za to zapłacimy cokolwiek.
1149:  BFP - Po prostu udowodnili, jak działa ludzki umysł i w jaki sposób podchodzimy.
1154:  BFP - do tego, w co zainwestowaliśmy coś, jakąś wartość, najczęściej monetarną niestety.
1160:  BFP - I tak samo jest, kiedy ktoś nam coś każe zrobić.
1164:  BFP - My to znamy, że coś nas może jarać bardzo i uwielbiam o tym opowiadać, ale jak już my sobie postawimy cel, że musimy nagrać odcinek, to już zaczyna nas to irytować.
1176:  BFP - I to my sami jak sobie postawimy taki cel i natychmiast zmieni się mindset.
1181:  BFP - I jak nauczyciele, naprawdę można wziąć Harry'ego Pottera i czytać go w kawałkach i omawiać te kawałki i sam fakt tego sprawia, że przestaje nam to dawać taką przyjemność, jakby to było naturalne.
1191:  BFP - Tak jak powiedział Krzysztof, uczymy się najlepiej wtedy, kiedy o tym nie myślimy.
1195:  PW - No i jest chyba jeszcze jedna rzecz, która jest trochę związana ze szkołą, czyli zupełnie przeciwskuteczny system do tego, żeby w tą immersję, o której tutaj również mówiliśmy, popaść.
1205:  PW - No bo jeżeli czytamy książkę nie zanurzając się w fabułę i doświadczając postaci, a zastanawiając się, czy czasem któryś z elementów, który pojawia się w zupełnie losowym momencie, nie będzie potem wyciągnięty przez nauczyciela na kartkówkę.
1218:  DS - Tak, czy muszę pamiętać kolor oczu tego woźnego, który otworzył drzwi temu głównemu bohaterowi?
1222:  DS - Pewnie tak.
1225:  PW - To trochę trudną imersję wydaje mi się.
1226:  DS - I w ogóle przynajmniej u mnie w szkole bardzo mocno czytało się lektury na czas.
1230:  DS - W sensie miałeś wyznaczony termin i musisz zdążyć.
1233:  KMM - Dlatego myślę, że ta analogia do robienia filmów jest bardzo dobra, bo praktycznie absolutnie każdy zdaje sobie sprawę z tego, że
1240:  KMM - że fajna jest robota polegająca na tym, że człowiek sobie odpala gierkę i coś nagrywa.
1244:  KMM - Ja w ten sposób zapanowałem nad w ogóle jakimkolwiek wypaleniem, że ja nigdy nie mam scenariusza i zawsze lecę na flow.
1250:  KMM - Ale ja tak nie mam nie tylko na YouTube, ale także w pracy swojej.
1253:  KMM - Ja odmawiam napisania artykułu naukowego, jak mi ktoś każe, no czas to zrobić.
1258:  KMM - Nie chcę wsadzić w dupę taką propozycję.
1260:  KMM - Nie będę tego robił.
1261:  KMM - Zrobię wtedy,
1262:  KMM - Miałem zresztą propozycję napisania tekstu o czymś, o czym się strasznie jaram właśnie, interfejsy w grach wideo, abym się wyżył od razu na projektowaniu interfejsu.
1271:  KMM - Ale nie miałem weny, więc nie zmusiłem się do tego, żeby to zrobić, bo wiedziałem, że dostarczę wtedy złą jakość.
1277:  KMM - Ale to jest trudny mindset, bo wiele osób pracuje w takich miejscach, gdzie nie może sobie na coś takiego pozwolić, dlatego praca kręci się.
1282:  KMM - Kreatywna jest dobrym przykładem, bo i graficy, i programiści, i ludzie, którzy tworzą jakiś content i tak dalej, i tak dalej, właśnie cały czas spożytkowują tą swoją wenę i flow.
1291:  KMM - A co to jest wena i flow, jak nie imersja?
1294:  KMM - Dokładnie ten sam człowiek, który zajmuje się imersją, czyli Michali Csikszentmihalyi, naprawdę się go tak czyta, węgierski psycholog, również pracował nad imersją.
1302:  KMM - Imersja to jest taki flow właśnie, czy eskapizm równocześnie, że uciekamy gdzieś i
1307:  KMM - Nie wiemy, kiedy mija nam czas.
1310:  KMM - Czasem właśnie jest tak, że jeżeli zaczynamy racjonalizować i myślimy sobie, o, czy to było wartościowe doświadczenie, czy ja się czegoś dowiedziałem, ojej, a ile czasu minęło, przecież mogłem w tym samym czasie złożyć stół z Ikei i tak dalej, wtedy się okazuje, że tak, że powiemy sobie, że zmarnowaliśmy czas, a tymczasem moim zdaniem nie ma takiego czasu, który jest zmarnowany, jeżeli go dedykujemy na jakąś czynność świadomie i ma to nam przynieść szczęście.
1333:  KMM - Dla mnie zmarnowany czas jeden jedyny jest wtedy, kiedy mówię, nudzę się.
1338:  S09 - To ja mam pierwsze dodacie tego Harry'ego Pottera, bo już to jest temat, który trochę zahaczyliście, mam wrażenie, ale czy to nie jest kwestia nie tekstów, które dostajesz i raczej zmuszonych do przeczytania, chociażby Harry'ego Pottera, którego szkoła ci zaraz obrzydzi, tylko bardziej podejścia do tego, w sensie, no bo jestem sobie w stanie wyobrazić taką sytuację, że no dzieciaczki, macie potop, to za trzy tygodnie kapkóweczka z treści, z wiedzy o treści trzech konów, tak?
