THE LAST OF US odc. 3 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=1oQD0C7QyGs
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

8:  BFP - Mili, witajcie na naszym... Mili, witajcie... O, przepraszam, bo mam pogłos siebie.
325:  KMM - Nie powinno być to nigdy wyzwisko, powinno być to raczej dzwonek alarmowy czy czerwona flaga, że okej, coś jest ze mną nie tak, jeżeli ja się z tym źle czuję.
334:  KMM - Tyle jeżeli chodzi o taki aspekt, nazwijmy to, antropologiczno-kulturowy naszej recenzji, chociaż tak jak podkreślam, osobiście uważam, że absolutnie nie powinniśmy musieć o tym rozmawiać przy tym odcinku, bo to jest ostatnia rzecz, jaka mi przyszła do głowy, że w ogóle będzie trzeba takie expose zrobić.
348:  BFP - Ja też widzę, przepraszam, już od wam oddaję panowie głosy, odniosę się do dwóch komentarzy, już też widzę, że zaczyna się banowanie.
355:  BFP - Więc i tak bardzo mi miło, kiedy czytam te komentarze osób, które odnoszą się wprost do odcinka.
361:  BFP - Odpowiem tylko na pytanie Fabiana, a czy może odcinek się nie podobać, nie będąc homofobem?
365:  BFP - Oczywiście, że tak.
367:  BFP - Tak, myślę, że nawet w naszym gronie mogą być podzielone opinie.
370:  GW - Nawet powiem, dlaczego może się nie podobać.
373:  BFP - I Naruciak zapytał, czy będzie zapis.
375:  BFP - Naruciaku, zapis jest zawsze, więc zapraszamy nawet nie na żywo do obejrzenia naszej analizy.
381:  BFP - Grzegorz?
383:  GW - To tylko dopowiem, że często jest tak, że ludzie, którzy epatują takimi tekstami, często sami powiedzmy przynależą do takiej grupy, a zostali tak wychowani, żeby nienawidzić samych siebie, a potem projektują tą nienawidź na innych.
399:  GW - Także też czasami, jeżeli czujecie ten ścisk w środku na takie sytuacje, zastanówcie się, czy nie należycie do tej grupy, jak na przykład skrajnie prawicowe ugrupowania, które z jednej strony na scenach politycznych represjonują ludzi chociażby nieheteronormatywnych, a potem lądują na homoseksualnych orgiach.
423:  BFP - I uciekają po rynku.
425:  GW - Tak, i uciekają po rynie.
426:  GW - Także to już jest, kończąc jakby ten temat z mojej strony, na pewno w kontekście tego odcinka powiem parę rzeczy, które mogą się ludziom nie podobać, ale ja rozumiem, dlaczego Troy Baker powiedział, że pierwszy odcinek was zachwyci, ale trzeci złapie was za jaja i to faktycznie
451:  GW - Jest coś, jest coś i nie dziwię się absolutnie, że według niektórych, pomijając kontekst kulturowy, będzie to odcinek średni, a według innych osób będzie to absolutnie najwybitniejszy kawałek telewizji, jaki zobaczyłem w 2023 roku.
470:  GW - I myślę, że do tego jeszcze nawiążemy.
471:  KMM - Ja tylko mam jedno uzupełnienie do Grzegorza, jako pilny czytelnik 120 dni Sodomy chciałbym podkreślić, że dobra orgia nie jest zła.
481:  TN - Nie no, Markiz Desat zawsze na propcie.
484:  BFP - Tak jest, tak jest.
485:  BFP - Tomku, skoro już wywołałeś Markiza Desat i jesteś przy głosie.
490:  TN - Znaczy ja chciałbym po prostu podtrzymać to, co mówiłem tydzień temu, że to jest moim zdaniem wybitny odcinek 11 na 10.
499:  TN - Jeżeli chodzi o te głosy, które pojawiły się u ciebie pod recenzją, no to myślę, że daliśmy już wystarczająco dużo uwagi im i
509:  TN - powinniśmy przejść do meritum.
510:  TN - Mi ten odcinek się podobał.
511:  TN - Ja słyszałem też takie komentarze, że niektórzy uważają, że był on filerem i że nic nie wnosił do fabuły, że też ze względu na to się on nie podobał oglądającym.
525:  TN - No i ja tutaj z tym troszeczkę bym się kłócił.
526:  TN - Mam nadzieję, że też będziemy mieli na to
528:  TN - okazję.
529:  BFP - Myślę, że to jest jeden z najważniejszych zarzutów merytorycznych, z którym warto będzie się rozprawić, czyli rozbieżność między tym, co znamy z gry, bo to jest największa rozbieżność do tej pory w tym serialu.
539:  BFP - To jest całkowicie inne rozegranie tego wątku niż było w grze i też myślę, że fajnie będzie uzupełnić to słowami samych twórców Nila Dragmana i Craiga Mazina z ostatniego podcastu oficjalnego, gdzie odnoszą się do tego całkiem wprost i w zasadzie
555:  BFP - Podzielałem, używałem tych argumentów, o których ja myślałem, kiedy oglądałem ten odcinek, a byłem nieco zszokowany.
561:  BFP - Dobra panowie, zacznijmy od tego, co część osób, które komentowała dość negatywnie ten odcinek, uznała za dobry, czyli właśnie te fragmenty, w których nie ma dwóch całujących się mężczyzn, a mamy przybraną córkę i przybranego ojca.
575:  BFP - Muszę powiedzieć, że bardzo podobał mi się już na samym początku odcinek,
581:  BFP - krótki dialog między, to jest chyba pierwszy dialog, który następuje, pomiędzy Joelle'em a Ellie, kiedy Ellie próbuje jakoś zagadać.
589:  BFP - Ostatni odcinek skończył się śmiercią Tess.
592:  BFP - I Joel próbuje powiedzieć, nie musisz mnie za nic przepraszać, czy cokolwiek nie powiesz nie będzie miało znaczenia.
599:  BFP - On mówi, ja nawet nie próbowałem cię przeprosić.
602:  BFP - Dlaczego ty masz wrażenie, że ja próbuję cię za coś przeprosić?
605:  BFP - To ty z własnej nieprzymuszonej woli zdecydowałeś się razem z Tess wziąć mnie w drogę, bo masz interes do ubicia i nie masz prawa zrzucać na mnie winy za śmierć Tess.
615:  BFP - Co zostaje skwitowane naprawdę ciekawym, pełnym szacunku...
620:  BFP - Z kinieniem.
621:  BFP - Tak, z kinieniem Joella na zasadzie, okej, jesteś zbyt dorosły jak na swój wiek.
627:  TN - Tak, to pokazało, że Ellie jest bardzo emocjonalnie już dojrzałą osobą i rzeczywiście to, co powiedziała do Joella, dało mu do myślenia tak i stwierdził, że rzeczywiście tak jest, że ona ma rację, że był zły na nią, pomimo tego, że to nie ona jest powodem
648:  TN - tego, że Tess umarła, tak?
650:  TN - To on razem z Tess podjęli taki wybór.
655:  GW - No i tutaj też Filipie od razu, bo zadawałeś to pytanie w swojej recenzji, gdzie jest kanapka Ellie?
661:  GW - Już dawno ją zjadło, bo zauważysz, że Joel podrzuca już jej suszone mięso do zjedzenia w trakcie trasy, także już na pewno ten chlebek z kurczakiem poszedł.
671:  BFP - Zaraz, przecież ona wyciąga tę kanapkę później.
674:  GW - Nie, nie, nie.
675:  GW - To chyba nie jest ta kanapka.
676:  GW - Nie, nie, nie, to już nie jest kanapka, stary.
679:  BFP - Czy to na pewno nie jest kanapka?
683:  S01 - Ustawmy fakty!
686:  S01 - Ważne informacje!
688:  S01 - Czy to była kanapka?
689:  S01 - Skąd to była kanapka?
691:  S01 - Czy to była ta sama kanapka?
692:  S01 - Czy to była polska kanapka?
694:  KMM - Czy kurczaki już nie istnieją na tym świecie?
697:  KMM - Czy pleśń jest tak samo groźna jak inne rodzaje grzybów w tym świecie?
701:  KMM - Teraz czaty będą mnie poprawiać, że pleśń nie jest grzybem.
704:  TN - Jeszcze pominęliśmy pierwszą scenę, jeżeli mogę, w której Joel kładzie kamień na kamieniu i bardzo często widzimy na szlakach w górach, że to jest wskazówka do nawigacji, ale również często są takie interpretacje, że to jest związane z czyjąś śmiercią.
722:  TN - I odnosi się to też do różnych kultur, że po prostu w taki sposób... Ołtarzyk taki.
728:  TN - Tak, takie ołtarzyki.
729:  TN - I tutaj rzeczywiście możemy myśleć o tym, że to ma właśnie takie znaczenie, że Joel kładzie te kamienie, żeby dać ten ołtarz Tess, która przed chwilą można powiedzieć, że... Twórcy to nawet potwierdzili.
743:  BFP - I to są te rzeczy, które mi się podobają, które urealniają ten serial względem gry.
748:  BFP - gdzie gameplay jest w stanie wyjaśnić przeskoki czasowe, bądź też przejście na zasadzie, a to ty jesteś niezainfekowana?
756:  BFP - Nie, dobra, to ruszamy.
757:  BFP - W poprzednim odcinku mieliśmy tą rozkminę nad tym, czy rzeczywiście tak jest i brak wiary, a tutaj mamy jednak Joella, który przeprocesowuje stratę i to wiadomo, nie jest dla niego tak...
770:  BFP - porażające, jak to co widzieliśmy w pierwszym odcinku i 20 lat wcześniej, ale jednak jest jakieś odniesienie się do tego, a nie po prostu rozdział trzeci, tak jak było w grze.
780:  BFP - I podoba mi się, właśnie te drobne rzeczy uczłowieczają te postaci i w jakiś sposób są w stanie je bardziej ugruntować emocjonalnie w naszym ich wyobrażeniu.
791:  BFP - no ale jedna scena kiedy oni docierają do stacji i stacji benzynowej jak mniemam czy jakiegoś sklepu i Joel odkłada tam karabin bo już nie przyda się co też jest moim zdaniem bardzo uczowiczające i urealniające jakby po co nosić broń bo w grze będziesz nosił ten karabin bo może znajdziesz amunicję przy jakimś trupie a ciebie to nic nie kosztuje natomiast no nie karabin moi drodzy trochę waży
818:  BFP - Dokładnie.
819:  BFP - No ale mamy dziwną scenę, która pokazuje, że jest jakiś sadyzm w małej Annie.
828:  GW - A to co jest ta scena?
829:  GW - Wydaje mi się, że w ogóle to jest fascynacja światem, bo ona nie znała wcześniej tego, że są właśnie zakażeni.
836:  GW - Wydaje mi się, że to jest
837:  GW - Ta dziecięca jeszcze ciekawość świata i jednocześnie ten taki pociąg do przemocy mimo wszystko Eli, ale jak zeszła właśnie na dół, jak w ogóle schodziła na dół, to mi się włączył ten mem z kotem, ten kot, który jest tak przestraszony czegoś, że ma takie no, no, no, no, no, dosłownie miałem coś takiego przez cały czas, aż poszło ujęcie w stronę tego zakażonego i tak kiedy on się na nią rzuci, kiedy on się na nią rzuci.
863:  GW - No ale ostatecznie tutaj wychodzi po prostu, że to jest jeszcze ta dziecięco-nastoletnia ciekawość świata, wydaje mi się.
875:  BFP - Stronnictwo Popularów napisało, Eli miało Stasiuk moment, a propos krojenia żab i tak dalej.
883:  KMM - Burn.
883:  KMM - Natalia też pisała, że to jest jakieś oswajanie się ze strachem wobec klikaczy i jeszcze ktoś pisał, że California Flick, że to jest odpowiednik naszego krojenia żaby, że ciekawość.
893:  KMM - Ja to w pewnym sensie kupuję, chociaż wolałbym, żeby to było zrobione troszeczkę bardziej wiarygodnie, tzn.
898:  KMM - nie ma żadnego powodu, żeby np.
900:  KMM - ona nie mogła tam zawołać Joella, żeby coś, nie wiem, pogadać na ten temat, cokolwiek, bo ona jakby ukrywa się z tym, nie wiem z jakiego powodu... Ukrywa się z tym, że zeszła na dło... Tak.
912:  GW - Teoretycznie narażała się na niebezpieczeństwo.
914:  TN - Tak, moim zdaniem to było nieodpowiedzialne z jej strony.
917:  TN - No mega nieodpowiedzialne.
918:  BFP - Ale to jest element tej postaci, jej osobowości.
920:  BFP - Joel ją trzyma na krótkiej smyczy.
922:  BFP - Nie daje jej broni, pilnuje, żeby nie dostała amunicji.
926:  BFP - Więc jakby trzyma ją na bardzo krótkiej smyczy i jest natura... Dlaczego ona się różni od Sary, jego córki?
934:  BFP - Bo jest bardziej samodzielna.
936:  BFP - I to też przypomnijcie sobie z poprzedniego odcinka, kiedy Tess mówi, to ty byłaś w tym opuszczonym centrum handlowym, które było odseparowane?
942:  BFP - Tak.
943:  BFP - I byłaś tam sama?
944:  BFP - Tak.
944:  BFP - Okej, szacun dziewczyno, masz jaja.
947:  BFP - Więc ona ma taki element osobowości, który sprawia, że nie musimy mówić, że to jest racjonalne, ale to jest zgodne z tą osobowością i wciąż z wieloma nastolatkami, którzy są już w okolicy.
957:  GW - Tak samo wkurzające, tak samo w grze, tak samo w serialu.
960:  GW - No ale no właśnie, zgodne z mentalnością nastolatka.
963:  BFP - Dokładnie tak.
963:  BFP - Ehm...
966:  BFP - Też odbieram tę scenę jako taką ciekawość świata niż pociąg do sadyzmu.
971:  BFP - To jest kadr, na którym chciałem się zatrzymać, bo on jest niebywały.
974:  BFP - To jest jeden z pierwszych kadrów,
976:  BFP - Jedno z pierwszych zdjęć promocyjnych, które zostały wypuszczone przez HBO po rozpoczęciu prac nad serialem.
985:  BFP - I on był po prostu listem dla fanów, miłosnym do tego, ponieważ wygląda jak kadr z gry.
993:  BFP - Tu nie chodzi nawet o ten drugi plan, tu chodzi o ustawienie kamery względem bohaterów.
999:  BFP - To, że widzimy kamerę umieszczoną centralnie nad Joelem, po lewej stronie Ellie, jakbyśmy zmienili troszeczkę ten plener, moglibyśmy mieć wrażenie, że to jest kadr dosłownie z gry The Last of Us Part I.
1012:  KMM - Widok trzecioosobowy pięknie oddany, ale to już któryś raz, to nie jest pierwszy raz, kiedy się to twórcom udaje, prawda?
1018:  KMM - Tak.
1019:  KMM - Mieliśmy też ten odcinek, w którymś z odcinków, tuż po scenie z mostem drewnianym, też był taki kadr zza pleców.
1025:  KMM - Bardzo mi się podoba to, że do tego tak nawiązują, chociaż to, co mi się bardzo nie podoba, to to, o czym nie powiedzieliśmy na samym początku, a mianowicie, że to jest pierwszy odcinek, który nie zaczyna się od retrospekcji.
1034:  KMM - Retrospekcja jest włączona.
1037:  KMM - I ja bardzo tutaj cierpię, ponieważ dla mnie największą atrakcją tego serialu są właśnie retrospekcje dotyczące tego, co się dzieje i powiedziałbym... Brakuje ci mejzynizmu, tak?
1046:  KMM - Tak, brakuje mi mejzynizmu.
1048:  KMM - Bardzo chciałbym, żeby może właśnie ten styl prowadzenia narracji pojawił się trochę później.
1053:  KMM - Nawet nie wiem, czy nie w drugim sezonie, może w drugiej części pierwszego sezonu, żeby nie przesadzać.
1059:  KMM - Ale na tym etapie zauważcie, że wiemy niewiele relatywnie.
1062:  KMM - To znaczy wiemy, że naukowcy się bali i później, że jebło w Jakarcie.
1065:  KMM - To jest wszystko, co wiemy praktycznie.
1067:  TN - Ale mimo wszystko w tym odcinku też bardzo dużo dowiadujemy się o tym, jak pandemia przebiegła z opowieści Joella, którą daje Ellie w trakcie tej podróży.
1077:  TN - I tak naprawdę też mamy potwierdzenie, nasze potwierdzenie, nie wiem, czy to jest do końca potwierdzenie, ale tej teorii z Monką, o której...
1085:  TN - Tutaj mówiliśmy, bo Joel też mówi o tym.
1089:  GW - Tam fajnie opowiadał, że no i ten grzyb rozniósł się w mące, w cukrze, w miksie do naleśników.
1097:  GW - Była tam taka mała przerwa, żeby to zaznaczyć, zaakcentować.
1102:  KMM - Wiecie tak, ale tutaj jest więcej mam wrażenie tej retrospekcji z okresu wojny ludzi z ludźmi niż wojny ludzi z zarażonymi.
1108:  KMM - To znaczy mam wrażenie, że ten akcent położony na pokazywanie faszyzujących się Stanów Zjednoczonych jest tutaj dopiero bardzo znaczący i na tym się skoncentrowano, a ja wciąż nie mam jeszcze danych, które wypełniają mi fazę tuż po zarażeniu, a przed faszyzacją Stanów Zjednoczonych i czystkami ludzi, zresztą tutaj jest ta wstrząsająca scena, którą teraz Filip pokazuje.
1129:  KMM - że one pływają o zwłoki i o to się dowiadujemy, że to są zwłoki ludzi, którzy nie byli zarażeni, tylko po prostu byli przenoszeni do jakiegoś obozu koncentracyjnego.
1137:  KMM - Więc wiecie, to jest może kwestia znowu mojego feblika, który mam po studiach, mianowicie ja naczytałem się tak bardzo, bo byłem do tego zmuszany, literatury obozowej, że dla mnie to jest bardzo wyświechtany trop i motyw, więc od razu zaznaczam, że tutaj jest mój bajas.
1149:  KMM - Być może dla kogoś to nie jest wyświechtane, ja już to widziałem wiele razy i chciałbym zobaczyć coś, czego jeszcze nie widziałem.
1155:  BFP - Tutaj nie było nic obozowego, to znaczy nie było dla nich miejsca w strefach kwarantanny i oni po prostu do nich strzelali.
1161:  BFP - Oni strzelali, ponieważ martwi ludzie nie są w stanie przenosić grzyba.
1165:  BFP - Dead don't turn.
1166:  BFP - Tak, to zostało wyjaśnione, więc tutaj nie było nic obozowego.
1169:  GW - A jeszcze Krzysztofie będziesz miał 6 odcinków, żeby uzupełnić wiedzę o świecie.
1173:  BFP - Bardzo, no to liczę.
1175:  BFP - Ja wciąż zachęcam, żeby patrzeć na serial jak na serial, a nie na Wikipedię.
1179:  BFP - Aczkolwiek to też nie...
1183:  TN - Proszę.
1183:  TN - Aczkolwiek to też nie jest do końca serial o tym, jak powstała pandemia, tak?
1187:  TN - To jest serial o człowieczeństwie, o stracie, o miłości, co tak naprawdę pokazał nam ten odcinek.
1193:  TN - Więc wydaje mi się, że ta ekspozycja, która jest do tego trzeciego odcinka, mówi nam dosyć dużo i przynajmniej dla mnie wystarczająco na temat tego, jak zaczęła się ta pandemia.
1205:  TN - jak to przebiegało i ja chcę dalej poznać historię, co będzie dalej działo się z Joelem Yelly.
1211:  TN - I akurat jeżeli o mnie chodzi, to nie do końca potrzebuję jakiejś dalszej ekspozycji odnośnie tego, jak wydarzyła się cała ta pandemia, bo w moim odczuciu wiem wystarczająco dużo.
1225:  BFP - Przepraszam, że tak zerwę nam narrację, ale widzę, że tutaj odezwał się kolega, którego ja zablokowałem na Instagramie, który w komentarzach wcześniej napisał, powołując się na Krzysztofa, że Krzysztof się mylił, to nie najbardziej paskudny pocałunek nastąpił w poprzednim, drugim odcinku, czyli między zainfekowanym grzybem a tez, tylko w tym odcinku, czyli między mężczyzną a mężczyzną.
1248:  BFP - Krzysztofie, czy ty chciałbyś jakkolwiek się do tego odnieść, bo zostałeś wtedy wywołany i pomyślałem, że może dobrze byłoby dać ci szansę, żeby zabrać tutaj głos i nie być łączonym z takimi przekonaniami.
1260:  KMM - A muszę?
1261:  KMM - Ja myślę, że nie trzeba nic mówić.
1263:  KMM - To znaczy uważam, że jest takie piękne powiedzenie z Miki Valtariego z Ignizianina Sinue.
1272:  KMM - Jego mowa była gorsza niż brzęczenie much i wydaje mi się, że to bardzo tutaj dobrze pasuje.
1278:  KMM - Nie lubię się odnosić i uważam, że też nie powinno się dawać audytorium tego typu.
1283:  KMM - stwierdzeniom i jeszcze raz podkreślę z całą mocą, że obrzydzenie i wstręt to nie jest coś, co się powinno czuć do ludzi.
1291:  KMM - Jeżeli ktoś czuje obrzydzenie lub wstręt na widok osoby niepełnosprawnej, znam takich.
1296:  KMM - Jeżeli ktoś czuje obrzydzenie lub wstręt na widok osoby w kryzysie bezdomności albo z niepełnosprawnością, to już się rzekło, albo
1306:  KMM - w stanie upojenia, albo leżącej w ataku padaczkowym z pianą otoczoną z ust i przechodząc oczywiście obok niej, ponieważ na pewno się schlała w związku z powyższym nie należy zadzwonić po pogotowie, albo na widok ludzi, którzy się kochają w jakikolwiek sposób.
1321:  KMM - Są też ludzie, którzy są na tyle pruderyjni, że czują obrzydzenie na widok jakiegokolwiek stosunku seksualnego.
1329:  KMM - czy czują obrzydzenie widząc kobietę karmiącą piersią w przestrzeni publicznej.
1334:  KMM - We wszystkich tych przypadkach należy się pilna konsultacja z lekarzem, ponieważ nie jest to normalne.
1340:  TN - Mi się wydaje, że za dużo po prostu już poświęciliśmy atencji takim komentarzom.
1345:  GW - Nie karmy troli.
1346:  GW - Przemieliczmy to po prostu.
1347:  BFP - Zgadzam się.
1347:  BFP - Wydaje mi się, że to, co powiedział Krzysztof, było piękną kropką na końcu bardzo długiego i wcale nie takiego pięknego zdania.
1355:  BFP - I nie mówię o twoim zdaniu, Krzysztof.
1357:  BFP - To jest dla mnie moment, w którym faktycznie zaczyna się ten odcinek.
1361:  BFP - I ja będę się odnosił dzisiaj do, moim zdaniem, uzasadnionego zarzutu, że ten odcinek nie posuwa fabuły naprzód.
1371:  BFP - Ludzie mówią, ale ta historia stoi przez ten odcinek w miejscu.
1378:  BFP - No really?
1379:  BFP - Życzyłbym sobie, ja chciałbym dostać serial, który byłby złożony wyłącznie z takich odcinków, takich zamkniętych historii.
1384:  BFP - Nie miałbym z tym żadnego problemu.
1386:  BFP - Gdyby to była antologia z takimi historiami, na przykład postaci z gier.
1390:  GW - World War Z w świecie The Last of Us, tak?
1392:  GW - W formie reportażu takiego.
1393:  S01 - Dokładnie tak.
1396:  S01 - Sukcesja w świecie The Last of Us!
1400:  BFP - Właśnie zdemonetyzowało odcinek.
1405:  BFP - To było zbyt epickie, żeby można było monetyzować ten odcinek.
1409:  BFP - Swoją drogą, przepraszam, ale ja wiem, że zaraz będziemy mieli w marcu sukcesję i mam nadzieję, że kogoś z was uda mi się namówić do spotkań.
1418:  BFP - Namówić też do spotkań i omówień tydzień do tygodnia i wtedy wreszcie, jak ktoś słusznie powiedział, będę mógł powiedzieć, to jest taka sukcesja w świecie sukcesji.
1429:  GW - Zamkniemy tą pętlę w końcu.
1431:  KMM - te pętlę, ona już nieskończoność będzie się nakręcać i będzie perpetuum mobile, to będzie... Nie, ale rzeczywiście taki wątek to by mnie kupiło bardzo, jeżeli byśmy mieli więcej takich antologicznych historii jak, nie wiem, z Black Mirror właśnie chociażby, czy Love, Death & Robots, to byłoby ciekawe rzeczywiście, ale ja bym chciał, żeby równocześnie naświetlało jednak mimo wszystko z różnych tych encyklopedycznych, już nazwijmy to,
1454:  KMM - punktów widzenia pandemie, wybuch, outbreak i tak dalej, bo to naprawdę jest interesujące.
1459:  KMM - W takich narracjach ja wiem, że gracze The Last of Us chcą przede wszystkim tego rozwijania relacji między postaciami, ale ja cały czas kręcę swoją agendę, która jest, ja chcę tego jak najmniej i może to jest właśnie furtka, żebyśmy zobaczyli to z innych stron i równocześnie jeszcze jeden element z różnych krajów, bo na razie jesteśmy w tym odcinku, ten odcinek jest najbardziej amerykanocentryczny, jaki był do tej pory.
1482:  KMM - Ten ostatni, który mieliśmy w zeszłym tygodniu dał nadzieję na to, że będzie trochę więcej perspektyw także z innych krajów.
1488:  KMM - Może w przyszłości też się na to zdecydują, byłoby super.
1492:  BFP - No ale pamiętajmy o jednej ważnej zasadzie pewnej zwięzłości narracji i tego, że jeżeli rzeczywiście masz takie tematy, takie motywy przewodnie, jak na przykład bezwarunkowa miłość, a wszyscy ci, którzy właśnie zadają, bo to był ten argument, który bym chciał użyć, wszyscy ci, którzy zadają sobie pytanie, po jaką cholerę był ten odcinek, po co była nam historia Billa i Franka, to zachęcam was, spróbujcie z perspektywy już całego sezonu spojrzeć na każdy z odcinków,
1518:  BFP - z myślą, to jest historia bezwarunkowej miłości, bądź różnych formach silnej miłości.
1523:  BFP - I naprawdę wtedy wszystkie historie nabierą dla was być może drugiego dna, być może jeszcze więcej sensu.
