THE EXPANSE – żegnamy najlepszy serial sci-fi tej generacji
🔗 https://www.youtube.com/watch?v=JrodmJ-knro
BFP (Bartosz Filip Malinowski, Bez/Schematu)
AK (Artur Kurasiński)
KMM (Krzysztof M. Maj)

0:  BFP - Belta Lauda, panowie.
1483:  KMM - A, okej.
1487:  KMM - Holden jest takim generycznym, typowym bohaterem, który jest zawsze taki wielejebny, zawsze wszystko będzie wspaniale.
1495:  KMM - Wszystkie kobiety będą przed nimi opuszczać kiecki i zawsze wszyscy będą mówić, że jest doskonały.
1501:  KMM - Jest aż do zniesienia.
1503:  BFP - I ratuje wszechświat.
1504:  BFP - Pięć razy.
1507:  KMM - Ale najgorsze znajomi.
1508:  KMM - To jest postać, która moim zdaniem, czy mnie, tak strasznie nie przypasowała, że ja przyznaję szczerze, przewinąłem wszystkie sceny znajomi w dwóch ostatnich sezonach.
1519:  KMM - To już był mój punkt odporności na tę kobietę, został całkowicie przekroczony, ale to nie oznacza, że to jest źle napisana postać.
1526:  KMM - To jest świetnie napisana postać, ale ja takich postaci w moim życiu nie toleruję, więc miałem z nią problem.
1532:  KMM - I to bardzo duży problem.
1535:  KMM - No więc to jeżeli chodzi o moje problemy z eksploatacją.
1536:  KMM - Natomiast jeżeli bym miał spróbować obronić tę kwestię związaną z protomolekułą, to powiedziałbym tak, że jest dużo produkcji science fiction, które kompletnie spaprały wprowadzenie
1549:  KMM - alternatywnego obcego pierwiastka.
