Recenzja DUNE. Czy to ekranizacja, na którą czekaliśmy?
🔗 https://www.youtube.com/watch?v=xcFjoPEcfE4
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Duna, chciałbyś coś dodać do tego?
484:  BFP - Armii walczą ze sobą, Sauron zostaje pokonany, ludzie zakładają sobie pętlę na szyję, jeżeli chodzi o, wiadomo, pierścień i tak dalej.
494:  BFP - I tutaj również zaczyna się od tego, czego w książce tak de facto nie ma, czyli wprowadzenia kontekstualnego do świata i zaczyna się od tego, że Harkonneni rządzą Arrakis od...
507:  BFP - 80 lat i zaprowadzili swój porządek i teraz muszą się stamtąd zmyć i teraz Ruta Trydów dostanie pod swoją opiekę tę planetę od Imperatora.
518:  BFP - I rozumiem dlaczego Cię to kręci i rozumiem dlaczego to jest ukazane jako właśnie taka skala, tylko to generalnie, ja nie oczekiwałbym, żeby to kręciło każdego.
527:  BFP - Nie każdy ma takie spojrzenie jak Ty i nie każdy ma takie spojrzenie jak ja.
530:  BFP - Filmy powstają po to, żeby nie być malowidłami, które można podziwiać, tylko po to, żeby miały jakąś historię, która zaczyna się od punktu A, idzie przez punkt B i kończy na punkcie Z.
540:  BFP - Więc historia, przekaz tej historii, wzloty i upadki bohatera, emocje i niepewność, która temu towarzyszy, nawet jeżeli wiemy, jak się kończy historia, są podstawą opowieści audiowizualnej.
557:  BFP - I spieszę donieść, że tutaj Dune'a nie zawodzi.
561:  BFP - I to, co było dla mnie największym chyba zaskoczeniem, pomimo że czytałem Dune'ę Franka Herbert'a dawno temu,
567:  BFP - To jest to, że filmowa Dune'a Denisa Villneva to jest epopeja historyczna, to jest dramat kostiumowy.
579:  BFP - I jak my rozmawialiśmy tuż po premierze i po naszych seansach, to powiedziałem Ci, że mnie się to kojarzy z takim starym Hollywood i taką właśnie epopeją historyczną jak na przykład Loren Zarabi albo Ben Hur.
596:  BFP - I dzięki temu, i to też musi zostać oddane Frankowi Herbertowi, Frank Herbert w doskonały sposób zabezpieczył się przed utratą terminu ważności swojego dzieła.
608:  BFP - Otóż zawsze jak tworzysz fantazy i podam tu za przykład pieśń Lodu i Ognia i Grę o Tron, która kilkukrotnie będzie jeszcze wracała myślę jako punkt odniesienia, nie dziwiąc się czemu, ale jak tworzysz fantazy to ono się nigdy nie zdezaktualizuje, bo ono sięga do przeszłości.
627:  BFP - Ale kiedy tworzysz science fiction, to ono niemalże zawsze wgląda w jakąś wersję przyszłości i może się szybko zdezaktualizować.
633:  BFP - Z całym szacunkiem dla geniusza Lema, nawet niektóre jego dzieła wydają się trącić myszką ze względu na to, że przekroczyliśmy pewne granice rozwoju technologicznego.
644:  BFP - I Frank Herbert doskonale się przed tym zabezpieczył.
648:  BFP - Nie zrobił tego, co na przykład Arthur C. Clarke, który pisał dużo o robotach.
652:  BFP - Otóż on wyłączył roboty i sztuczną inteligencję w mądry sposób ze swojej opowieści i wyłączył także de facto komputery.
662:  BFP - Ten świat jest bardzo analogowy i do czego zmierzam?
667:  BFP - Przewrotność w podejściu Herberta, która pięknie jest uwypuklona przez Wilneva.
671:  BFP - to jest to, że on opowiada o przyszłości sięgając do przeszłości.
675:  BFP - To przypomina starcie jakichś rodów rzymskich, albo średniowieczej rywalizacji między Francją a Anglią chociażby.
687:  BFP - Wojnę dwóch róż, skoro przywołaliśmy też kilku rodów.
689:  BFP - Oczywiście, że tak.
690:  BFP - I więcej jest właśnie takich elementów zaczerpniętych z przeszłości, starożytności, dramatów kostiumowych, klasycznych filmów Hollywoodu,
701:  BFP - niż nowoczesnych technologii i wizji science fiction i dzięki temu to się świetnie broni, bo to jest uniwersalna historia, która jednak ma bardzo głęboko zakorzenione archetypy i toposy uwarunkowane historycznie, które odnajdywaliśmy także w Game of Thrones i to moim zdaniem doskonale wypada w tym filmie i się broni.
722:  KMM - Absolutnie, tu w ramach follow-upu muszę dopowiedzieć, że Frank Herbert zakładał, że to wyeliminowanie technologii z science fiction będzie czymś zastąpione i zostało zastąpione eksploracją potęgi ludzkiego umysłu.
736:  KMM - Zakon mentatów w tym świecie, doskonali umiejętności matematyczne do tego stopnia, że jest w stanie, zresztą jest taki jeden moment w filmie, gdzie jest to pokazane jak
746:  KMM - Jeden z bohaterów wywraca oczy do góry i szybko wykonuje obliczenie, które dzisiejszy wykonałby superkomputer.
753:  KMM - Jest wspomniany już zakon Bene Gesserit, które opanowały sztukę psjonicznego manipulowania umysłami, przewidywania przyszłości do pewnego stopnia.
762:  KMM - Są wreszcie zakony wspomniane w filmie.
765:  KMM - Tak, bioinżyniera Tlaxlan, którzy to opanowali zdolność wytwarzania kadziak solotlowych, de facto pozwalających na uzyskanie nieśmiertelności.
775:  KMM - Tam ogniskiem zainteresowania jest ciało i umysł, zamiast maszyny i ducha w maszynie również.
783:  KMM - To oczywiście kwestia dżihadu butleriańskiego i tego, w jaki sposób maszyny zostały wyeliminowane z tego świata i badania nad sztuczną inteligencją i tak dalej, i tak dalej.
791:  KMM - O tym zresztą możemy poczytać w prequelach.
793:  KMM - autorstwa syna Franka Herberta.
796:  KMM - Inna rzecz, że gorszych literacko, ale to już zostawiam.
799:  KMM - Natomiast jest jeszcze drugi element, bo wspomniałeś o tym aspekcie historycznym i Villeneuve genialnie to pokazuje, tylko on używa do tego wyłącznie kodów wizualnych i częściowo pomaga mu w tym Zimmer, dokładając kody dźwiękowe.
813:  KMM - Przecież te wszystkie momenty, kiedy widzimy figurki byka albo symbolikę byków, momenty, w którym atrydzi krzyczą, to będę zamiast miać ciary, tak jak miałem w filmie, atrydys, atrydys, tak samo jak krzyczeli achilles, achilles Grecy w troi Rolanda Emeryka.
831:  KMM - Nie wiem, czy to jest aluzja, ale tak to wyglądało.
834:  KMM - Momenty, w których ja widzę, że oni formują Schiltron albo jakąkolwiek formację starogrecką,
840:  KMM - W ogóle sama nazwa rodu i fakt, że jak doczytamy troszeczkę na ich temat, wiemy, że oni wywodzą swój ród z rodu Agamemnona i sięgają do historii starożytnej Grecji.
850:  KMM - I Wilnew nie musi tego powiedzieć, tam nie ma żadnego dialogu, w tym jest powiedziane, o, Atrydzi wywodzą swoje genealogie od Agamemnona.
857:  KMM - Nie, to jest zrobione kodami wizualnymi.
859:  KMM - kadrem pokazującym nam byka, na początku niezrozumiałym, później drugim kadrem, w którym widzimy, jak atrydzi pakują głowę byka, która oczywiście symbolizuje polowanie nań, które pozbawiło życia dziadka pole atrydy, co wiemy z prehistorii.
875:  KMM - I to są drobne momenty, to są kilkusekundowe sekwencje, które budują tę atmosferę i ten klimat niesamowity, który nie przypomina klimatu science fiction, bo z czym się stereotypowo kojarzy science fiction?
887:  KMM - Śliczne, sterylne, obłe kształty, wspaniałe, lśniące, białe, czarne, ewentualnie bardzo dużo diody.
895:  KMM - I pierwsza scena, którą widać praktycznie w filmie, moment przyjazdu orszaku imperatora, który wywrócił mi oczy do góry nogami, kiedy widzę trap spuszczany ze statku i pierwszy raz w historii kina science fiction widzę, że ten trap jest wyłożony dywanem perskim.
913:  KMM - To jest realizacja tej starej dywizji, którą miał George Lucas, used universe, pokazuje świat takim, jakim on wyglądałby, nie jakby wyszedł z planu filmowego, teraz właśnie ukończony, błyszczący i liśniący, tylko tak, aby przetoczyły się przez niego 20 czy 50 lat, a w Dune'ie Villeneuve'a widać, że przez ten świat przetoczyło się 500 lat albo 600 lat.
935:  KMM - i ten wiek świata widać na każdym kroku i jest to zrobione rewelacyjnie absolutnie.
942:  KMM - I druga rzecz, którą przywołam właśnie w kontekście historycznym, do szału mnie doprowadziły opinie recenzentów i części widzów, którzy mówili, po co ta kobza, której towarzyszy Marsz ATD, Dudy, tak, wszystko jedno, po co to jest?
957:  KMM - właśnie po to, żeby pokazać, że to nie jest, trudno sobie wynaleźć instrument, który brzmi bardziej i wygląda bardziej folkowo, bardziej ziemsko, a nie nieziemsko właśnie.
967:  KMM - I to o to chodzi, żeby osadzić ten świat w przestrzeni historycznej.
971:  KMM - Nie jest proste, i zawsze to będę powtarzał, wytworzyć świat w przestrzeni.
975:  KMM - Sztuką jest wytworzyć świat w czasie.
978:  BFP - Zanim ktoś nam upuści krwi w komentarzach, to ja tylko spieszę z erratą, że oczywiście Troy nie zrobił Roland Emmerich, tylko Wolfgang Petersen.
988:  KMM - Petersen, masz rację, oczywiście, tak.
992:  BFP - Ale też był Tamachilles, więc pasuje.
996:  BFP - Uprzedziłeś mnie z tymi dudami, bo ja właśnie chciałem powiedzieć, że ten moment, kiedy szukam czegoś,
1002:  BFP - Teraz upuszczono mi krwi w komentarzach za to, że używałem wielkiego słowa.
1007:  BFP - Ale to jest bardzo dobre słowo.
1009:  BFP - Remarkable.
1011:  BFP - Coś wyjątkowego.
1013:  BFP - Coś, co mnie inspiruje.
1015:  BFP - Czegoś, na co nie natrafiam w każdym filmie science fiction.
1018:  BFP - To właśnie był ten moment, kiedy ląduje ród atrydów na Arrakis i wychodzi gość z dudami.
1024:  BFP - I gra na dudach.
1025:  BFP - Po prostu to było niezwykłe.
1027:  BFP - To było remarkable.
1029:  KMM - Zresztą fajne słowo, swoją drogą, bo dosłownie znaczy przecież godne komentarza, prawda, jak się wpatrzymy w etymologię.
1036:  KMM - To jest właśnie to, jak ja to zobaczyłem, ja chciałem o tym zacząć rozmawiać.
1040:  BFP - Remarkable jest słowem godnym komentarza, również na pewno będzie komentarz na temat słowa remarkable, że nadużywamy
1046:  BFP - słów angielskich.
1048:  BFP - Natomiast też mi się bardzo podoba jak w tym production design a propos słów angielskich, ale to naprawdę ciężko jest znaleźć właściwy zamiennik dla i kostiumografii, i scenografii.
1061:  BFP - To jest...
1062:  BFP - Perfekcyjna równowaga między funkcją i formą, czyli z jednej strony rzeczywiście są te rzeczy, o których ty mówisz, że kostiumy są wytarte, że sprzęt nie do końca działa tak jak powinien, że słyszymy trzeszczenie Harvestera, który przejeżdża, bo w złym stanie Harkonneni pozostawili sprzęt na Arrakis, ale z drugiej strony mamy tę formę, czyli zachowanie pewnych rytuałów, zachowanie pewnego ceremoniału,
1088:  BFP - Tak, że przylatuje sługa imperatora czy jakiś jego urzędnik i rozwija scroll i czyta z tego scrolla na zasadzie czemu, ale no ten ceremoniał, ta forma, która ma dla mnie również jest odwołaniem się do świata starożytnego.
1106:  BFP - w bardzo oczywisty sposób dla mnie do cesarstwa, do cesarstwa rzymskiego.
1111:  BFP - Natomiast chciałem jeszcze zwrócić uwagę, mówiąc o tym, że to jest bardziej dramat historyczny, który akurat jest w kontekście gatunkowym science fiction, to to, że ja zapomniałem, jak wiele mistycyzmu jest w Dune'ie.
1132:  BFP - Gdzie naprawdę, jeszcze raz mówię, że ja to mówiłem wcześniej Tobie, ale tutaj chcę, żeby to wybrzmiało, że dla mnie Dune jest bardziej fantasy niż science fiction.
1143:  BFP - I ten, pamiętasz, rozmawialiśmy o tym, jak zaczyna się, nawet zanim zobaczymy pierwszą scenę w filmie, zanim pojawi się logo Warner Bros.,
1153:  BFP - To jest ciemny ekran i słyszymy dziwny, zniekształcony głos, który mówi o tym, że głosy są z głębi.
1160:  BFP - I ja byłem porażony, ja nie wiedziałem, co się dzieje.
1163:  BFP - Ja myślałem i ty myślałeś, że to trailer kolejnego filmu.
1166:  BFP - Tak, absolutnie.
1166:  BFP - Ale nie, to już było wprowadzenie.
1169:  BFP - I to był ciekawy zabieg, który podkreśla właśnie to,
1174:  BFP - co mam na myśli, kiedy mówię o mistycyzmie.
1176:  BFP - Ben Gesserit, dobrze mówię?
1179:  KMM - – Bene Gesserit, to można tak czytać, albo Bene Gesserit, tak po angielsku.
1186:  BFP - – Tak, to jest cała taka frakcja, która buduje ten mistycyzm w tej części.
1192:  BFP - I również ta psychomanipulacja czy Jedi mind tricks, których można używać i których używa także główny bohater, Paul Atryda,
1203:  BFP - jest tym elementem mistycznym, który jest no właśnie pewną magią i jednocześnie ten duży element tajemnicy, sakralności, który raz jeszcze dla mnie jest kompletną taką kontrapozycją do tego czym jest science fiction, jak rozumiemy science fiction i tutaj sprawdza się znakomicie.
1226:  BFP - A przy tym komplementuje analogowość tego całego filmu i tego całego świata przedstawionego.
1231:  BFP - Jak mówię o analogowości, to już powiedziałem, nie ma komputerów, są jakieś prymitywne liczniki.
1237:  BFP - Okej, jest może dron, hunter-seeker, prawda?
1241:  BFP - Ale też jest sterowany przez człowieka, to nie jest sztuczna inteligencja.
1246:  BFP - Tarcze, które są polem siłowym, których używają bohaterowie.
1250:  BFP - To, że walczy się na ostrza.
1252:  BFP - Tam w zasadzie nie ma sceny, w której ktoś by biegał z karabinem i strzelał.
1256:  BFP - Nie, tam walczą na ostrza, co jeszcze raz jest nawiązanie w ogóle do przyszłości.
1262:  BFP - I jedna ze scen, kluczowych scen w historii Dune'y, mogę tylko powiedzieć, że scena ze skrzynią,
1270:  BFP - dzieje się w bibliotece.
1271:  BFP - Jest normalna biblioteka, gdzie są normalne książki.
1275:  BFP - Jeszcze raz, ten urzędnik czy ten konsul imperatora, który przylatuje też, ma zwój, który rozwija.
1281:  BFP - Więc jakby ta analogowość jest...
1284:  BFP - No oczywiście, że czymś niezwykłym, ale doskonale uzupełniającym ten miscytyzm i to generalne poczucie, że siedzimy bardziej w przeszłości niż w przyszłości, a że to jest bardziej fantazja niż science fiction, co moim zdaniem, bo raz jeszcze, ja gdzieś to wyparłem z pamięci.
1300:  BFP - Nie odświeżałem sobie tej książki przez bardzo długi czas i byłem bardzo pozytywnie zaskoczony, bo ja chyba bardziej przyjmuję właśnie taką perspektywę świeżego widza, czy świeżego uczestnika tego świata niż ty.
1314:  KMM - Ja też jakiś czas temu czytałem Herberta, natomiast miałem na świeżo samo uniwersum, głównie z uwagi na encyklopedię Duny, którą polecam wszystkim, którzy są skonfundowani tym, co widzą na ekranie.
1324:  KMM - Tam jest kupa informacji na ten temat, ale w tym wątku starożytnym, bo super, że nam to wybrzmiewa, bo ja w momencie, w którym oglądałem Dunę, teraz się staram unikać spoilerów, bo jakieś elementy fabularne mogą być za takie uznane, więc
1340:  KMM - Jest moment, w którym odwiedzamy planetę Gidi Prime, która jest siedzibą rodu Harkonnenów i ja patrzę na tę i ja widzę trop filmowy pod tytułem starożytni kosmici, ale konkretni starożytni kosmici, to znaczy ci, którzy zostali zwizualizowani i zaprojektowani przez Giggera, czyli człowieka specjalisty od efektów, które zostały wykorzystane w ósmym pasażerze Nostromo i w późniejszych iteracjach Obcego.
1363:  KMM - Ja zobaczyłem te Gigerowskie kształty i sobie pomyślałem, nie, to może Krzysztof, coś nadinterpretowujesz.
1368:  KMM - Po czym wracam do domu i czytam na ten temat i widzę, że pierwsza diuna miała być zaprojektowana właśnie z wykorzystaniem talentu scenograficznego Gigera, tylko że porzucono ten projekt.
1379:  KMM - Jodorkowskiego, Alejandro Jodorkowskiego, tak.
1382:  KMM - I znowu, może jest tak, że to była aluzja, ale organiczność projektów Giggera zawsze była jeszcze naznaczona tym drugim elementem, to znaczy widać było, że to nie są kosmici, którzy przyjeżdżają właśnie tymi lśniącymi statkami na Ziemię, tylko to jest starożytna rasa kosmitów, z którymi ty musisz się zmierzyć.
1401:  KMM - I one mają jakąś niesamowitą historię, zresztą w późniejszych iteracjach cyklu obcym właśnie ta historia staje się takim neksusem, który zaśrodkowuje uwagę widza na tym temacie.
1411:  KMM - I tutaj jest to samo.
1412:  KMM - I jeszcze do tego wszystkiego mamy historię konfliktu rodu Harkonnenów i Atrydów, która nawet w filmie nie zostaje przedstawiona.
1420:  KMM - My wiemy, że ona jest, ona jest gdzieś zapowiedziana, gdzieś niedopowiedziana, ale my w zasadzie nie wiemy, jakie są motywacje barona Wladimira Harkonnena z swoją drogą.
1430:  KMM - Ach, to, co robi Stellan Skarsgård, ma cztery sceny, a kradnie film praktycznie, poza Rebeku Ferguson, która jest niesamowita w roli Lady Atrydy.
1440:  KMM - I nie wiesz, co się tam dzieje.
1443:  KMM - Wiadomo, że był tam jakiś gigantyczny konflikt, ale de facto nie wiemy.
1447:  KMM - Nie wiemy też, jaka była historia Imperium.
1450:  KMM - To wszystko jest zawieszone w próżni, nomen omen, ale zasugerowane językiem filmu wizualnym.
1457:  BFP - Tak, słowo o aktorstwie i aktorach, którzy zostali dobrani znakomicie i rzeczywiście tutaj błyszczy Rebecca Ferguson jako Lady Jessica, jako konkubina ojca głównego bohatera, czyli Leto Atrydy.
1473:  KMM - Charlotte Rumping też, jako matka pielebna Bene Cesarit.
1478:  KMM - Tak.
1480:  KMM - Ja dzięki tobie obejrzałem ten film Deni Villeneuve'a, dzięki któremu po pierwsze dowiedziałem się, że… Na którym tłumaczy scenę.
1488:  KMM - Tak, tłumaczy całą tę scenę.
1490:  KMM - I Deni Villeneuve mówi, że on zdecydował się ukryć twarz jednej z najlepszych brytyjskich aktorek obecnie żyjących,
1498:  KMM - pod woalem, ponieważ wzmagało to tajemniczość zakonu Bene Gesserit.
1503:  KMM - To jest koniec jego tłumaczenia i zdecydował się na to, a ona i tak zdołała za tego woalu zagrać niesamowicie absolutnie.
1511:  KMM - Wspaniała rola.
1513:  BFP - Tak, Jason Momoa naprawdę nieźle wypada jako Duncan Idaho i rzeczywiście prezentuje więcej emocji niż większość innych bohaterów.
1522:  KMM - I nie gra Jasona Momoa, co dziwne, nie?
1524:  KMM - Tylko gra Duncan Idaho.
1526:  BFP - czy powiedziałbym momoę w odpowiednich dawkach.
1532:  BFP - Tak.
1532:  BFP - Świetnie wypada jeden z moich ulubionych aktorów, czyli Oscar Isaac jako Leto Atryda i jego majestatyczna broda tutaj w lśni.
1540:  BFP - I naprawdę Timothée Chalamet jako Paul Atryda wypada bardzo dobrze.
1546:  BFP - I oczywiście, że
1548:  BFP - Musi być skonfundowany przez większą część filmu i dopiero staje się mężczyzną i myślę, że będzie miał więcej do zagrania w kolejnej części.
1557:  BFP - Natomiast, i tu chciałbym przejść do kilku moich zarzutów do tego filmu.
1563:  BFP - Pierwszy jest taki, skoro już jesteśmy przy aktorstwie, to są świetni aktorzy, którzy dostali za mało materiału.
1571:  BFP - Taki Gurney, którego gra Josh Brolin, ma bardzo niewiele do zagrania.
1576:  BFP - Baron Harkonnen i Stellan Skarsgård, który był fenomenalny, też ma tego materiału niewiele do zagrania.
1584:  BFP - Sam Leto Atryda
1586:  BFP - również, Danka Najda, jakby te postaci nie mają za bardzo co robić, pojawiają się na krótko na ekranie, odbębniają swoje i znikają.
1595:  BFP - I to mi trochę wadziło i rozumiem zarzut, który się pojawia, że ten film jest bardzo wykalkulowany
1604:  BFP - ale przez to też bezduszny, bo brakuje w nim relacji między postaciami i wyrazistego rozwoju tych postaci, czy tego, co te postaci wnoszą do życia bohaterów.
1612:  BFP - Co taki Gurney wnosi do życia Paula Atrydy?
1615:  BFP - Nic nie spoilując, nic nie mówiąc, niewiele.
1618:  BFP - Naprawdę niewiele, ma z nim w zasadzie jedną, konkretniejszą scenę jakiejś interakcji, ale...
1624:  BFP - Szkoda, że ma się takie talenty i ich się nie wykorzystuje.
1627:  BFP - I zaraz powiem, jaka byłaby moja myśl, co można by z tym zrobić.
1631:  BFP - I drugi mój zarzut, także związany ze scenariuszem, jest taki, że ten film naprawdę traktuje się na poważnie.
1639:  BFP - To znaczy, w książce Herberta było nieco więcej humoru i nieco więcej lekkości niż tutaj.
1644:  BFP - Jakby, okej, to nie jest...
1646:  BFP - Tak lekkie, czy lekkie, no pieśń Lodu i Ognia nie jest lekka, ale jednak ma w sobie bardzo dużo czaru.
1653:  BFP - I takiej... No, błyskotliwości.
1659:  BFP - Błyskotliwego humoru.
1660:  BFP - Tutaj go w ogóle nie ma.
1661:  BFP - Znaczy, są może dwie sceny, które próbują być śmieszne, ale nie są śmieszne.
1665:  BFP - Właśnie dlatego, że ten kij w dupie bardzo przeszkadza filmowi i mogłoby być nieco więcej humoru, a nawet jeżeli by go zupełnie nie było, to przynajmniej można było nie podejmować prób wprowadzenia tego humoru.
1677:  BFP - I ja wywodzę z tego trochę taką konkluzję.
