Czy serialowy SANDMAN dorównał komiksowi? | Dyskusja
🔗 https://www.youtube.com/watch?v=wl8JYeE5JbY
KMM (Krzysztof M. Maj)
RC (Ryszard Chojnowski, Rysław)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  GW - Pożyłem kawałek jądra tego Maca, co ty mi pierdolisz tutaj?
188:  BFP - Chciałbym poprosić, żeby każdy z Was zaprezentował taką swoją przedmowę, to znaczy Wasze generalne emocje, uczucie, z którymi pozostawił Was ten serial, co pewnie będzie jakiegoś rodzaju narzuceniem tonu, który będziemy prezentowali w dalszej dyskusji.
204:  BFP - Rysław.
206:  BFP - Ja z tobą się mocno spierałem już podczas seansu i to tak na żywo.
211:  BFP - Nie mówię, że nie zmieniłem niektórych swoich poglądów na temat tego serialu, ale chciałbym wysłuchać o twoich ogólnych, generalnych odczuciach.
220:  RC - to od razu dla osób, które nie wiedzą, jestem wielkim, wielkim fanem Sandmana od samego początku, bo jeszcze czytałem niektóre zeszyty, kiedy nie wychodził, kiedy nie był dostępny w wersji polskiej, później pojawił się w wydaniu Świata Komiksu, jeszcze w miękkich okładkach, później się pojawiło w grubych.
238:  RC - Pokaż, pokaż, ale pokaż ten piękny, no weź, no pokaż ten piękny.
243:  RC - Tutaj mam uwerturę, o której też chciałbym powiedzieć, wprowadzenie.
247:  RC - No tutaj jest jeden z tomów
249:  RC - omnibusa Sandmanowego.
252:  RC - Pozostałe leżą, bo to jest ciężka, to jest ciężka kniga.
255:  BFP - Nie ma w ogóle w polskim wydaniu tego, nie?
256:  RC - Nie ma i chyba nie będzie, bo w angielskim też było bardzo ograniczone.
259:  RC - To było, nie wiem, tam parę tysięcy sztuk w ogóle.
263:  RC - Więc to jest rarytas teraz, jeśli mogę tak powiedzieć.
267:  RC - No i ja Sandmana czytałem, kiedy był, mówię, pierwsze parę zeszytów chyba w połowie lat 90.,
276:  RC - a później zacząłem czytać te polskie wydania pod koniec lat 90.
283:  RC - Zakochałem się całkowicie, zresztą twórczość pana Anila znam dość dobrze i bardzo cenię w większości.
291:  RC - Natomiast przez wiele lat słyszałem pogłoski o tym, że Sandman ma wyjść jako serial i w końcu, w końcu wyszedł, chociaż do końca też nie wiedziałem, czy też nie wierzyłem za bardzo, że to się stanie.
305:  RC - Tutaj chcielibyśmy też chyba wspólnie wyjaśnić pewne niedomówienie.
308:  RC - To nie jest serial Netflixa.
310:  RC - To nie jest serial Netflixa, to jest serial Warner Bros., a Netflix jest dystrybutorem.
314:  RC - Wcale może dojść kiedyś do takiej sytuacji.
316:  BFP - I sponsorem, znaczy wyłożył kasę.
318:  RC - Tak, sponsorem, ale dorzucił tam, to nie były chyba jakieś bardzo duże pieniądze.
324:  BFP - To były duże pieniądze, ponieważ Warner, który jest właścicielem HBO obecnie,
333:  BFP - HBO nie chciało wystawić tego serialu, to znaczy nie chciało wrzucić na swoją platformę, nie chciało wyłożyć pieniędzy.
339:  BFP - Czyli Warner, który jest producentem, usłyszał nie od HBO i dopiero usłyszał tak od Netflixa i problemem były sprawy budżetowe i to, że był zbyt wysoki budżet dedykowany na serial, w który HBO nie wierzyło, że odniesie sukces.
353:  RC - Ale wracając teraz do rzeczy.
354:  RC - W ogóle postać Sandmana to jest postać, która pojawiała się w komiksach DC w latach chyba 50. i 60.
360:  RC - Neil Gaiman dostał propozycję napisania tej postaci oraz świata stworzenia zupełnie od nowa.
367:  RC - I to było w roku bodajże 88.
371:  RC - I to, co mamy w serialu, to jest zapis, czy też przedstawienie dwóch tomów pierwszych, czyli Preludiów i Nocturnów oraz jeszcze pokażę tutaj Domu Lalki.
385:  RC - To są dwa pierwsze tomy, które zostały przedstawione w...
392:  RC - No dobrze, dość wiernie.
396:  RC - W niektórych aspektach bardzo odeszli od tego, co było w komiksach.
401:  RC - W zasadzie teoretycznie można by ten pierwszy sezon podzielić na dwa sezony.
407:  RC - Od odcinka 1-5, drugi, w zasadzie odcinek 6 jest takim spoiwem i później odcinek 7-10, to są dwie historie.
417:  RC - dwie odrębne opowieści, które od razu powiem, bardzo mi się podobały, natomiast mam sporo zastrzeżeń, zarówno co do wyborów aktorskich, jak i pewnych zmian, które poczyniono, jak i pewnych sytuacji, które mogą, moim zdaniem, mogę się oczywiście mylić, ale mogą prowadzić do złego zrozumienia albo
445:  RC - W zasadzie nie mogę się tak wypowiadać, że złego zrozumienia, ponieważ wszystkie te zmiany akceptował Neil Gaiman, który był producentem wykonawczym.
451:  RC - Także z mojego punktu widzenia są to zmiany niepotrzebne albo prowadzące do błędnego odebrania treści albo inaczej, do zamieszania trochę ludziom w głowach.
464:  RC - Będzie szczególnie jedna zmiana, która moim zdaniem, mimo że początkowo wydawała się drobna,
471:  RC - w drugiej części serialu doprowadziła do zupełnej zmiany odbioru pewnych postaci, które mamy w komiksie i które w komiksie wybrzmiewają inaczej,
482:  RC - Natomiast w serialu... Ale spoko, do tego przejdziemy sobie jeszcze, bo będziemy szli postać po postaci.
488:  RC - Szczególnie w obecnej sytuacji mogą być odbierane inaczej niż powinny.
496:  RC - Moim zdaniem oczywiście to jest tylko i wyłącznie tutaj odpowiadam tylko za swoje zdanie, ale zaraz przejdziemy do szczegółów.
500:  RC - Jeszcze chciałbym zanim Wam oddam głos, moi drodzy, jedna uwaga dla naszych kochanych widzów.
505:  RC - Tu będzie mnóstwo spoilerów.
508:  BFP - Tak, tak, spoilerowa dyskusja, tak jak powiedziałem na początku, pogłębiona spoilerowa dyskusja, musicie się z tym liczyć.
516:  KMM - Bezspoilerowe to jest na bezschematu już impresja Filipa, ja zrobiłem też swoją wcześniej, więc tam o spoilery się nie ma co obawiać, natomiast tutaj wgryzamy się troszeczkę głębiej, bo nie sposób o tym porozmawiać, nie zdradzając wam tego, co się dzieje w serialu.
533:  BFP - To Krzysztof, jak już jesteś przy głosie, twoje impresje, wiadomo, zawarłeś ich sporo w recenzjach, jakbyś miał skrócić swoją recenzję do kilku zdań, żeby zrobić takie słowo wstępne.
545:  KMM - No to po pierwsze ja bardzo doceniam Soundmana Netflixowego, slash Warner Brosowego za jakość produkcyjną.
554:  KMM - To znaczy już bardzo dużo było takich seriali fantastycznych, w tym zwłaszcza seriali fantasy.
560:  KMM - Wspominam ostatni serial fantasy jaki widziałem, to znaczy koło czasu i to był koszmar absolutny.
565:  KMM - w których jakość produkcyjna była na poziomie kseny wojowniczej księżniczki.
568:  KMM - Ja wiem, że lata dziewięćdziesiąte są piękne, że połamy nostalgią do lat dziewięćdziesiątych, nostalgią do gier, komiksów i seriali i filmów z lat dziewięćdziesiątych, ale ja miałem jeden problem zawsze z nimi wszystkimi, to znaczy ja chciałem realizmu w fantastyce.
582:  KMM - i realizmu światotwórczego.
584:  KMM - Możemy mieć surrealny temat, możemy mieć nadnaturalne i nadprzyrodzone postaci, ale ja chciałem, żeby świat był pełnokrwisty, żebym nie widział plastikowych kostiumów, żebym nie widział paździerzy, która wyłazi z zalinoleum.
596:  KMM - I tego nie ma w tym serialu.
598:  KMM - I to jest moment, w którym mogę śmiało powiedzieć, że wreszcie moja subskrypcja Netflixa daje mi produkcję na poziomie House of Cards, a nie produkcję na poziomie, no na przykład Lock and Key.
610:  KMM - Dobry serial, ale nie to samo.
613:  KMM - W każdym razie jakość produkcyjna zdecydowanie jest tutaj na plus.
617:  KMM - Na plus jest to, że ja nie pamiętam, kiedy miałem taką imersję przy jakimkolwiek serialu.
622:  KMM - Zacząłem oglądać i nie wiedziałem, kiedy się skończył.
625:  KMM - Z jednym zastrzeżeniem, o którym też trochę wspominam u siebie w recenzji, mianowicie na poziomie siódmego odcinka jest wyczuwalny spadek tempa narracyjnego.
634:  KMM - To nie oznacza, że to jest zła część, ale wyraźnie jest gorsza od poprzedniej.
640:  KMM - To jest ten problem, o którym Hitchcock mówił.
642:  KMM - Jeżeli zaczynamy od eksplozji, potem musi być coraz lepiej, coraz bardziej emocjonująco, coraz bardziej gwałtownie i coraz bardziej dramatycznie.
650:  KMM - A tymczasem tutaj mieliśmy spadek napięcia.
652:  KMM - Na szczęście to było po szóstym odcinku, który jest przepiękny, który jest taką elegią w zasadzie na odejście.
660:  KMM - a równocześnie fantastycznym sposobem na pokazanie, jak można ten budżet wykorzystać w pełnoskalowym pokazaniu wiekuistości życia niektórych postaci.
673:  KMM - W tym przypadku oczywiście chodzi o...
676:  KMM - Jedną z tych napotkanych przez samego Sandmana.
678:  KMM - Ja jak zwykle nie będę pamiętał imion i nazwisk postaci, to jest stały numer u mnie.
683:  KMM - Więc to jest druga kwestia na plus i trzecia kwestia światotwórstwo, to znaczy fakt, że praktycznie każdy epizod to jest inny świat fantastyczny, inny setting.
693:  KMM - bardzo zadziałał na plus.
695:  KMM - I znowu, od siódmej części w górę troszeczkę zarzucono tę zasadę światłotwórczą i mamy w zasadzie wszystko osadzone już w jednej przestrzeni, rzadko kiedy przenosimy się do innych, z wyjątkiem właśnie tego, co się działo w odcinku szóstym i to było przepiękne, bo przenosimy się do różnych przestrzeni historycznych.
712:  KMM - Natomiast potem zostaje w zasadzie śnienie i świat współczesny, w którym jest Sam.
716:  KMM - Więc tutaj troszeczkę mi tego zabrakło.
718:  KMM - Ale generalnie jest to serial, co do którego trudno mieć moim zdaniem zarzuty na tle innych produkcji, które się ukazują.
725:  KMM - Więc stąd moja bardzo pozytywna i entuzjastyczna ocena człowieka, który nie czytał komiksów,
730:  KMM - przeglądał jej jeno i wie, jaka jest tam kreska, więc może się troszeczkę wypowiedzieć na temat tego, czy serial dobrze oddaje estetykę światotwórczą.
737:  KMM - Natomiast nie może się wypowiadać na temat kwestii fabularnych, ale poczuł się zachęcony do przeczytania, więc myślę, że każdy, kto nie widział Sandmana, może śmiało obejrzeć, ale jeżeli ktoś nie czytał komiksów i nie widział Sandmana, to jest szansa, że nie tylko będzie zadowolony z obejrzenia, ale także może się poczuje zachęcony do przeczytania.
755:  KMM - Grzegorz?
757:  GW - To właśnie tutaj, jakby kontynuując dokładnie wypowiedź Krzysztofa, to właśnie po obejrzeniu stwierdzam, że najpierw warto obejrzeć, jeżeli ktoś jest nieobeznany, a jeszcze nie wie, jak się do tego zabrać, warto najpierw obejrzeć serial, a potem właśnie rozbudować sobie poznawanie tego świata przez przeczytanie komiksu.
779:  GW - Tutaj no właśnie z racji tego, że wszystko działo się pod pewną kuratelą Geimana, widać, że całość jest spójna i dość dobrze oddana, jeżeli chodzi o materiał źródłowy.
796:  GW - Celowo bądź też z przyczyn chociażby licencyjnych nie nawiązywano praktycznie w ogóle do świata DC i bardzo dobrze.
805:  GW - I to jest właśnie ten zabieg, o który się
807:  GW - trochę obawiałem, jak to rozwiążą, czy w ogóle coś zrobią, czy tego nie zrobią.
813:  GW - Jest ileś tych różnic, które właśnie odejście od Uniwersum DC spowodowało, które ostatecznie wyszły bardzo dobrze.
824:  GW - Uzupełniono parę scen, których mi brakowało w ogóle w komiksie i to też jestem... Jak na początku nie chciałem się z tobą, Filipie, zgodzić, że...
836:  GW - Serial bywa lepszy niż komiks, nie jest dalej, nie zgadzam się, ale pięknie uzupełniono rzeczy, których mi w komiksie brakowało, więc mamy ten trade-off wydaje mi się z pewnym pozytywnym wynikiem dla serialu.
853:  GW - I wciąż jest jeden problem, do którego miałem obawy i słusznie i to jest oddanie pewnych rzeczy, które statycznym obrazem można
866:  GW - sobie dopowiedzieć i przez wyobraźnię inaczej nakreślić.
871:  GW - To takie pojęcie nieskończoności w niektórych obrazach, w niektórych scenach.
878:  GW - Niestety ruchomym obrazem nie działa to tak dobrze.
883:  GW - wiele efektów specjalnych no niestety ten serial stoi na efektach specjalnych, wyszło tanio wyszło źle, są źle doświetlone pod kątem technicznym tutaj mi pogłębimy to jeszcze tak, tak, jasne, ale generalnie stwierdzam to tak, to będzie moje i wstęp i zakończenie dla osób, które nie znają materiału źródłowego to tak spokojnie osią z hakiem i tak naprawdę bardzo dobra zachęta, żeby poznać komiks
912:  GW - dla osób, które bardzo lubią materiał źródłowy, a nie są fundamentalistami w stosunku do materiału źródłowego, to ta ocena może być nawet oczko wyższa.
924:  GW - Także ja jestem usatysfakcjonowany, chociaż mam pewne uwagi.
929:  BFP - To ja niepotrzebnie, nie powtarzając wszystkiego, co powiedziałem w swojej recenzji, do której oczywiście wszystkich zapraszam, którzy jej nie widzieli czy nie słyszeli, tym bardziej, że będę w
942:  BFP - W tym spotkaniu krytyczniejszy, czy bardziej krytyczny wobec serialowego Sandmana, to skrótowo ja jako fan naprawdę marzyłem o ekranizacji, śniłem można by powiedzieć, aż dotarłem do punktu, w którym podobnie jak sam Gaiman nie wierzyłem, że można to zrobić.
958:  BFP - A jeżeli można było to zrobić, to czułem, że będzie to albo trawestacja i sam Gaiman powiedział, że kiedyś wypuścił scenariusz tylko po to, żeby został skillowany projekt, nad którym pracowano.
970:  BFP - Tak bardzo źle to się zapowiadało.
973:  BFP - Albo
974:  BFP - Przeczuwałem, że będzie to coś inspirowanego Sandmanem, że on gdzieś będzie się przewijał, czy może to będzie coś w świecie DC i tam pojawi się Morpheus, bo Morpheus należy do świata DC.
984:  BFP - Ale nie wierzyłem, że to będzie adoptacja Expressis Verbi, że uda się wiernie oddać zawartość tej sagi.
991:  BFP - I ta produkcja urzeczywistniła ten sen, to znaczy ja ją nazywam wyśnioną ekranizacją, mimo że nie jest idealną ekranizacją.
1000:  BFP - czyli nie spodziewałem się, że tego dojdzie, nie wiedziałem, że wyjdzie tak fantastycznie,
1005:  BFP - Ale nie mogę powiedzieć, że jest to ekranizacja lepsza niż na przykład miniserialowa kontynuacja Watchmen, którą uważam za jedną.
1014:  BFP - I to nawet trudno powiedzieć, czy to jest adaptacja.
1016:  BFP - To jest po prostu pewnego rodzaju sequel, ale tak bliski duchu oryginału i tak ciekawie go rozwijający.
1021:  BFP - Trochę inna szkoła niż to, co zaprezentował tutaj Warner Bros., Neil Gaiman i David Goyer, który jest także scenarzystą.
1031:  BFP - Nie do końca zgodzę się z tym, co powiedział Grzegorz i będę dzisiaj argumentował kilka razy, że to jest serial, który momentami przerasta komiks, ale jednocześnie jest tak wierny oryginałowi, tak dosłownie traktuje wierność temu materiałowi źródłowemu, że cierpi na tym w ostatnich kilku odcinkach adaptując Dom Lalki.
1052:  BFP - Ale jeżeli chodzi o to, co się dzieje w pierwszych sześciu odcinkach,
1056:  BFP - które adaptują Preludia i Nocturny, to uważam, że momentami potrafi być czymś, co ja nazywam Sandman Remastered.
1064:  BFP - I dokładnie tak też traktuje to Neil Gaiman.
1066:  BFP - Mówi, to jest ta wizja, którą miałem.
1068:  BFP - I ponownie powiem to, co powiedział Rysław.
1073:  BFP - To nie jest tak, że Netflix zapłacił Gamenowi, żeby to mówił.
1077:  BFP - On jest ewidentnie silnie emocjonalny związany z tą produkcją, włożył w nią sporo pracy i zrealizował pewne rzeczy, tak jak chciałby, żeby Senmen wyglądał dzisiaj, bo Senmen wyszedł pierwszy tom ponad 30 lat temu, chyba 33 lata temu bodajże, w 89, o ile się nie mylę.
1091:  BFP - Więc wciąż podtrzymuje swoją najwyższą ocenę i...
1095:  BFP - Tym razem trochę zabawię się i w adwokata, i w oskarżyciela jednocześnie.
1100:  BFP - Będę miał więcej uwag niż miałem podczas recenzji, albo pogłębię także te, które miałem.
1106:  BFP - To pozwolę sobie szybko zacząć, przechodząc do kolejnego punktu, na ile został zachowany duch oryginału i na ile wierny jest ten serial motywom przewodnim Sandmana.
1115:  BFP - W moim odczuciu jest bardzo wierny, bo wiele osób pokazuje na Wiedźmina i pokazuje na Sandmana,
1123:  BFP - No tak.
1124:  BFP - I mówi, tak się robi adaptacja.
1127:  BFP - Tylko
1129:  BFP - Ja mam z tym zasadniczy problem.
1131:  BFP - Po pierwsze już ustaliliśmy, że to Warner Bros.
1133:  BFP - się tym zajmowało.
1135:  BFP - Netflix wyłożył tylko pieniądze.
1137:  BFP - Po drugie Neil Gaiman miał kreatywną kontrolę nad całym procesem i jego wizja tutaj cały czas unosi się nad materiałem, który został odrestaurowany na lepsze bądź gorsze.
1146:  BFP - Pewnie będziemy się tutaj spierali.
1149:  BFP - Ale w przeciwieństwie do Wiedźmina nie traktuje tak liberalnie materiału źródłowego.
1153:  BFP - To znaczy ja dzisiaj odświeżyłem sobie dwa pierwsze tomy, czyli cały pierwszy sezon serialowo.
1160:  BFP - Pokrywa najważniejsze punkty i bity z pierwszego i drugiego tomu.
1163:  BFP - Tam naprawdę jest jeden do jednego fabularnie to, co się miało dziś.
1166:  BFP - Nawet jeżeli trochę się zmienia postaci, nawet jeżeli ich motywacje się zmieniają, to jest dokładnie to, co powinno być w Sandmanie.
1172:  BFP - Czyli to, czego często się nie wyczuwa, kiedy się ogląda ten sezon albo czyta dwa pierwsze tomy.
1177:  BFP - Setup do czegoś większego.
1179:  BFP - Sandman był zawsze o pytaniu filozoficznym, które postawione zostało także w przewybitnej, wspaniałej grze Rysław Uśmiechnij się, Planescape Torment.
1187:  BFP - co może zmienić naturę człowieka.
1190:  BFP - Tylko tutaj, w tym wypadku, to jest co może zmienić naturę nieskończonego.
1194:  BFP - I od samego początku to jest seria o poszukiwaniu celu i sensu własnej egzystencji, gdy przechodzi się kryzys w życiu.
1201:  BFP - I Morfeusz przeżywa kryzys w momencie, w którym zostaje w komiksie na 70 lat, w serialu na 100 lat wyjęty ze swoich obowiązków.
1211:  BFP - Bo okazuje się, że nagle zaczyna coś czuć.
1213:  BFP - I tym uczuciem jest nieprawdopodobna potrzeba zemsty.
1217:  BFP - Kiedy on się w końcu uwalnia stamtąd w pierwszym odcinku, to jedyne o czym myśli, to jest brutalna zemsta.
1222:  BFP - Naprawienie błędów, które wywołał człowiek poprzez pojmanie go i traci potem ten sens i musi znaleźć sobie nowy sens.
1233:  BFP - I zaczyna się zmieniać trochę jako istota, jednocześnie nie do końca się zmieniając.
1237:  BFP - Pierwszy sezon perfekcyjnie to oddaje.
1239:  BFP - To jest ten początek drogi do przemiany, opowieść o tym, jak ten wiek niewoli go odmienił.
1243:  BFP - Do tego mamy znakomite wprowadzenie w pierwszym odcinku, którego brakowało w komiksach, czyli trochę takie ukonstytuowanie reguł rządzących tym światem i samego głównego bohatera Morfeusza.
1253:  BFP - Mamy wyraziste zawiązanie fabuły, czyli tak, jest niewola, a ja przez cały sezon, potem się okazuje, że tylko do szóstego odcinka, będę odzyskiwał swoje regalia, czyli rubin, maska i woreczek z piaskiem.
1264:  BFP - No i to, co powiedział Grzegorz.
1267:  BFP - I o tym zaraz będziemy mówili więcej, przechodząc przez postaci.
1270:  BFP - świetne ukontekstowienie pewnych postaci i umieszczenie ich w nowej perspektywie, jak Korynczyk, jak Roderick Burgess i jego syn Alex Burgess, jak John Dee i jego matka.
1281:  BFP - Także powiedziałbym, to jest bardzo wierny oryginałowi materiał, który nie bierze jeńców, to znaczy wrzuca widzów i tak do dość głębokiej wody, ale uważam, że przez tą wierność duchowi
1296:  BFP - za bardzo próbuje być dosłowny w swojej wierności, czyli naprawdę przenosi całe panele i całe fragmenty do serialu, gdzie naprawdę nie sprawdza się to w przypadku moim zdaniem słabego tomu, jakim był Dom Lalki.
1307:  BFP - Tyle ode mnie.
1308:  BFP - Rysławie.
1309:  BFP - Krzysztof.
1310:  KMM - Tylko dorzucę jedną rzecz, że
1313:  KMM - To jest nie tylko adaptacja, ale to jest też i musi być serial pomyślany dla tych, którzy nie czytali Sandmana.
1319:  KMM - W związku z powyższym pewne ustępstwa, które tam zostały poczynione, na przykład na rzecz bardziej spójnego wyjaśniania, co się dzieje w świecie i kim jest Sandman, były bezwzględnie konieczne.
1331:  KMM - I nawet jeśli ktoś... Widziałem takie uwagi na czatach, że
1335:  KMM - Pierwszy czy drugi zeszyt się zalecały właśnie tym, że to był trochę enigmatyczny, że w serialu to było zbyt kawałnawe wyłożone.
1342:  KMM - Ja to sobie bardzo cenię, to znaczy dzięki temu w ogóle wiedziałem, co się dzieje, a moja duża obawa była taka, że będę mieć tutaj dokładnie ten sam problem, co miałem w Amerykańskich Bogach czy w Dobrym Omenie, fun fact, obydwie książki czytałem i miałem zielonego pojęcia, co się w tym serialu dzieje.
1357:  KMM - I tu jest przykład właśnie w moim przekonaniu złej adaptacji, a tutaj dobrej, bo pamiętajcie, że dobra adaptacja to jest tak zwany przekład intersemiotyczny.
1366:  KMM - Co to znaczy?
1367:  KMM - Jak tłumacz tłumaczy z jednego języka na drugi język, to nie tłumaczy dosłownie, tylko stara się wynajdywać dowcipy w rodzimym języku, takie, które by odpowiadały obcemu językowi.
1377:  KMM - Czasem musi coś wymyślić.
1380:  KMM - czasem musi coś zrobić po swojemu.
1381:  KMM - O to samo chodzi w adaptacjach.
1383:  KMM - Przekład jest z jednego języka medium na język drugiego medium i serial jako medium rządzi się jednym prawem.
1389:  KMM - Postać jest czymś, co nas kotwiczy jakoś.
1392:  KMM - Świat jest czymś, co daje nam kontekst i jedno i drugie zatem musi być dobrze przedstawione.
1397:  KMM - Świat musi być atrakcyjny, imersywny, a postać musi być taka, która będzie zgodna z tym, jak się portretuje postaci bohaterów
1404:  KMM - Hollywoodzie i tak dalej, musi mieć jakąś wędrówkę, musi przeżywać przygodę, która będzie zmieniała jego nastawienie do rzeczywistości.
1413:  KMM - Jeżeli zaczyna jako antybohater, to będzie kończył jako bohater z refleksjami na temat tego, czy faktycznie warto było postępować źle i tak dalej, i tak dalej.
1421:  KMM - Tak mówię, nie wnikam w to, jak bardzo zniuansowany sposób jest to przedstawione w komiksach, bo nie mogę, ale mogę zrozumieć, dlaczego jest to tak zrobione w serialu.
1432:  RC - To teraz.
1433:  RC - Rysławie.
1434:  RC - Okej.
1434:  RC - To ja chciałem powiedzieć, że
1437:  RC - jeśli chodzi o zmiany, które zostały dokonane w komiksie, było parę zmian, które uważam za bardzo dobre i upraszczające całą narrację.
1447:  RC - Bo jak czytamy komiks i nie znamy np.
1450:  RC - uniwersum Justice League of America, to możemy być lekko zagubieni.
1455:  RC - A tutaj w komiksie to Justice League of America i postacie takie jak Strach na Wróble, nawet na niektórych kadrach jest Batman, pojawiają się od czasu do czasu.
1466:  RC - W komiksie zostało to wycięte w całości, szczególnie w wątku Johna Dee, ale także później w wątku części drugiej, czyli w Wirze Snów, gdzie mamy Lytę Hall i jej męża Hectora.
1482:  RC - To też zostało wycięte i w ogóle cały ten wątek został nieprawdopodobnie uproszczony.
1487:  RC - On w komiksie jest znacznie bardziej rozbudowany i tam nie jest tak, że
1495:  RC - I z tych złych koszmarów jest więcej, bo są dwa.
1498:  RC - Koszmary zostają skazane na wygnanie, a nie tak, że nagle odkupują się, co mi zupełnie nie pasowało, bo ja mam z tym serialem główny problem.
1509:  RC - Wynika ze zmian polegających na
1513:  RC - niezrozumiałym dla mnie często, jak mamy whitewashing, czyli wybielanie, tutaj mamy w niektórych postaciach wyczernianie postaci, które czasami mi zupełnie nie przeszkadza, ale w przypadku niektórych postaci jest zabiegiem
1530:  RC - wywołującym reperkusje, bardzo poważne reperkusje, które odbijają się na narracji i na sensie w ogóle tejże narracji.
1541:  RC - I takim problemem, taką zmianą wydawała mi się zmiana śmierci.
1548:  RC - w komiksie jest gotką, bladą dziewczyną, w nastroszonych włosach, w serialu jest czarną aktorką, zresztą świetnie grającą.
1556:  RC - Z tym nie mam problemu.
1558:  RC - Mam problem, kiedy cofają się w czasie do XIV wieku i mimo że wcześniej Sandman, bodajże w odcinku drugim, kiedy, nie, w czwartym, przepraszam, w odcinku czwartym, kiedy wizytuje piekło,
1570:  RC - jest pokazany oczami swojej dawnej ukochanej, która siedzi w tym piekle, jako, tak jak ona by go widziała, czyli jako... Ale tylko na moment.
1582:  RC - ...wojownika, to tutaj, czyli mamy pokazane, że wieczni, śmiertelni mogą zmieniać swój wygląd, dostosowując się do okoliczności, do kontekstu, w którym się znajdują, to tutaj mamy to tak...
1600:  RC - nie wiem po co, wrzucenie czarnoskórej śmierci do średniowiecznej Anglii, gdzie w kartmie sobie siedzi Geoffrey Chaucer i rozmawia o opowieściach canterburyjskich i wino czy tam piwo nalewa też czarnoskóra dziewka karczemna,
1618:  RC - coś, co nie miało prawa się pojawić, w sensie historycznym.
