Czy powinniśmy się bać SZTUCZNEJ INTELIGENCJI? Artur Kurasiński i Krzysztof M. Maj  |🚀28
117:  AK - Jestem zdziwiony, bo tak jak powiedziałeś, ten spór, można powiedzieć, toczy się nieustannie, po prostu od zarania wieków, odkąd myśmy jako ludzie wyszli z jaskiń, zaczęliśmy strugać te patyki, montować na nich kawałki ociosanych kamieni, to zawsze był ktoś, kto powiedział, że dzieci u nas się nie bawiły patykami, przestańcie.
135:  AK - Potem się mówiło, maszyny to zło.
137:  AK - Wygrzebałem nawet niedawno informację o tym, że w Nowym Jorku, i to w takim bardzo poczytnym piśmie,
143:  AK - Potępiano rowerzystów, mówiąc o tym, że kobiety, które jeżdżą na siodełkach, nie będą zachodziły w ciąże, a ludzie, którzy jeżdżą w kółko, wariują.
152:  AK - To są lunatycy.
153:  AK - I to było poważnie próbowano, poważnie to argumentować.
157:  AK - Więc zawsze było tak, że nowość budziła w nas, jako ludziach, cały czas budzi przerażenie.
162:  AK - My tego nie znamy.
163:  AK - Ba, elektryczność była również takim demonem.
166:  AK - No przecież jak to?
167:  AK - Nie widzimy tego, a to płynie w jakichś sieciach, jakichś kablach.
172:  AK - I może to porazić, w związku z tym to jest złe.
174:  AK - Więc z ambon prawie, że wyganiano tą elektryczność.
178:  AK - To samo dzieje się obecnie oczywiście z szeroko zaawansowaną technologią, bo serio, my po prostu jako ludzie przestaliśmy nadążać za tempem rozwoju.
186:  AK - Ja staram się z racji obowiązków zawodowych patrzeć na to, analizować, przynajmniej starać się zrozumieć, co się dzieje, ale odpadłem kompletnie na Web3, to było dla mnie
196:  AK - poziom, nie wiem, matematyki niedyskretnej, czy tam jakkolwiek to się nazywa, a potem jeszcze dodatkowo weszła AI, która jest, no, można powiedzieć, no, fajne, bo tam prompty się wpisuje w tego czata GPT, natomiast za tym stoi ogromna nauka matematyka i to jest coś bardzo, bardzo głębokiego, więc jak przechodzimy do rozmów na poziomie, jedziesz taksówką i pan, który ci wiezie, mówi, to co, panie Krzysztofie, ten AI nas zabije, czy nie?
220:  AK - No, to jest takie...
221:  AK - A dlaczego miałby nas zabić?
222:  AK - W sensie, czy kalkulator chce nas zabić?
224:  AK - To jest takie pytanie, które zawsze staram się postawić.
227:  AK - Czy twój laptop chce cię zabić?
228:  AK - No nie, ale to jest tylko laptop.
229:  AK - Nie, nie, nie.
230:  AK - On tam jest napakowany algorytmami.
232:  AK - Czy on budzi się rano?
233:  AK - Czy on ma wolną wolę?
234:  AK - Uważasz, że ma wolną wolę?
235:  AK - Czy ma świadomość?
236:  AK - Czy ma cel?
237:  AK - Nie ma, bo to jest algorytm.
239:  AK - W związku z tym przestańmy narzucać nasze ludzkie emocje.
243:  AK - Nie projektujmy, jak to mówią psychologowie, nie narzucajmy tym sztucznym inteligencjom naszych zamiarów.
249:  KMM - Właśnie mam wrażenie, że ludzie mylą ogólną sztuczną inteligencję, która była w literaturze fantastyczno-naukowej, w filmach, w serialach, w grach, z tym, z czym mamy dzisiaj do czynienia.
259:  KMM - Bo mamy do czynienia z modelami generatywnymi.
262:  AK - Modele generatywne, które w wielkim skrócie działają na takiej zasadzie, że mamy zbiór danych, ten taki zasób, na którym one się uczą, te algorytmy, i mamy bardzo prosty w miarę algorytm, który mówi będę teraz zgadywał, co ty byś chciał ode mnie otrzymać.
276:  AK - Ala poszła do lasu,
278:  AK - Udało mi się, fajnie, ale tam może również powstać jaskinia, dom albo autostrada.
283:  AK - Ten sztuczny, ten algorytm sztucznej inteligencji generatywnej działa w sposób probabilistyczny.
289:  AK - On nie jest w stanie przewidzieć, on przewiduje przyszłość, ale on nie decyduje o niej.
294:  AK - W tym sensie to nie jest źródło wiedzy.
296:  AK - Więc jeżeli podchodzimy do tych rewelacji na poziomie o, on nie wie kim ja jestem, albo o, on nie wie w jakim roku urodziła się dana osoba i mówimy głupi, głupi ten algorytm jest,
307:  AK - Tak, oczywiście.
308:  AK - Tak samo jak głupi jest Wikipedia, bo tam nie ma bardzo dużej ilości informacji, która jest częścią naszej kultury.
314:  AK - Natomiast to pamiętajmy o tym, że nie jest wyrocznia.
319:  AK - To nie są mechanizmy, które mają za zadanie dobrze obliczać, bo wielokrotnie udawało mi się bardzo prosto, na prostych równaniach łapać,
328:  AK - ten chociażby czat GPT, który po prostu wykładał się i złapany za rękę mówił, przepraszam, popełniłem błąd, jak mam to poprawić?
335:  AK - A, okej, 2 plus 2 to jednak jest 4, sorry.
337:  AK - I tak to będzie wyglądało.
339:  AK - W związku z tym pewnie postęp będzie nadchodził i już mamy jaskółki tego, obecnie operujemy na czacie GPT na modelu numer 4, GPT-4, ale za chwilę będziemy mieli numer 5 i właśnie stąd być może
353:  AK - już wielkimi krokami szybkimi zbliżymy się do tej generatywnej, albo inaczej generalnej Artificial General Intelligence, czyli tej silnej sztucznej inteligencji, o której właśnie osoby z zakresu science fiction, literatury i filmów mówiły od dawna.
369:  KMM - Mam wrażenie, że w ogóle ten czat GPT-4 i 3,5, który już się pojawił, to on sprawił, że wszyscy zaczęli mówić na temat sztucznej inteligencji w ogólności, ponieważ wreszcie dostali narzędzie, nazwijmy to...
382:  KMM - szum nieprogramistyczne, którymi są w stanie komunikować się językiem naturalnym.
386:  KMM - Nie wiem, czy pamiętasz, jak wchodziły pierwsze systemy operacyjne, to ludzie się strasznie ekscytowali tym, że można zadać pytanie o imię albo o to, ile masz lat.
395:  KMM - Windows odpowiadał wtedy 3.11, ile ma lat.
398:  KMM - I mam wrażenie, że to jest dokładnie to samo.
400:  KMM - Ludzie wreszcie dostali możliwość komunikowania się na takim bardzo elementarnym poziomie.
404:  KMM - Nawet w tak elementarnym poziomie, że Krzysztof Stanowski z kanału sportowego jest w stanie się tym bawić.
409:  KMM - Pozdrawiamy.
410:  KMM - Pamiętam tylko, że problem polega na tym, że nie doczytał jak się bawił czatem GPT, że na dole jest napisane, że to jest pula danych do 2020 któregoś roku, pierwszego.
420:  KMM - konkretnie, więc to nie jest Google.
422:  KMM - Z tym się nie rozmawia tak jak z wyszukiwarką.
424:  KMM - Można z Bingiem AI próbować tak rozmawiać, bo tam już jest podpięty pod to internet, ale to jest internet w wersji Microsoftowej bez algorytmów Google'owych z kolei.
433:  AK - Jest już możliwość wpięcia się przez wersję płatną właśnie GPT-4.
438:  AK - Umożliwia to, mamy połączenie z internetem, można browsować internet, również też stosować pluginę.
444:  AK - Natomiast oczywiście to, z czym mam do czynienia obecnie, to jest też, zgadzam się z tym, bo to jest bardzo fajna teza, to jest rewolucja pod kątem interfejsu.
453:  AK - Dlatego, że paręnaście lat temu, żeby uzyskać taki efekt, jaki teraz możemy sobie zrobić za pomocą wpisania, a jakie jest fajne miasto w Europie, w którym jeszcze nie byłem i chcę pojechać tam z osobami typu dwie osoby dorosłe i dwójka dzieci, służ mi jakąś trasę.
469:  AK - To było potrzebne stworzenie ogromnego oprogramowania, ściągnięcia ogromnych baz danych i zrobienie jakichś tysięcy symulacji.
476:  AK - Teraz my korzystamy z tego narzędzia, tak samo korzystamy z czatów, tak?
480:  AK - Jak na Messengera Facebookowego, Discorda czy Slacka.
485:  AK - I ludzie rzucili się i okazało się, że po raz pierwszy w historii ludzkości, bodajże w ciągu dwóch miesięcy, liczba osób aktywnych użytkowników czata GPT przekroczyła 100 milionów użytkowników.
495:  AK - To jest największy, najbardziej taki, można powiedzieć, najlepszy dowód na to, że dobrze przygotowana technologia, która znajduje zastosowanie, to jest bardzo ważne, w przeciwieństwie właśnie do Web3, ma ogromną moc adopcji.
509:  AK - I z tym będziemy mieli też do czynienia w przypadku kolejnych kroków, czy takich właśnie wynalazków opartych o AI, bo już się nauczyliśmy, że nie może być potężne, to musi być potężne i zrozumiałe dla klienta, czyli dla użytkownika końcowego takiego jak ja czy ty.
524:  AK - dopóki wtedy, dopiero wtedy możemy mówić o jakimś przełomie.
527:  AK - Stąd też na przykład rewolucja, która za chwilę będzie zachodziła, czy już zachodzi, jeżeli chodzi o kwestie graficzne.
533:  AK - To, co pokazał kilka dni temu Adobe swoim Fireflyem, to jest niebywałe.
539:  AK - Zaznaczasz kawałek grafiki i mówisz niech to będzie teraz jezioro.
543:  AK - To ma być rower?
544:  AK - Nie, ja tu chcę mieć samochód.
546:  AK - Śmieli się moi koledzy, że tak dokładnie kiedyś wyobrażano sobie DTP, czyli zamiast stać nad głową grafika i mówić przesuń piksel w prawo, piksel w lewo, teraz sam możesz to zrobić.
555:  AK - I to jest właśnie ta wielka rewolucja.
557:  AK - My porozumiewamy się, wytworzony został fajny interfejs człowiek-maszyna, który jest bardzo naturalny dla nas, bo my poruszamy się, wykorzystujemy swój język,
567:  AK - Na razie pisane, ale już obecnie możemy nawet za pomocą aplikacji na telefonie, chyba obecnie jeszcze na razie na iPhone'ach, na iOS'ie, już kiedy ściągniemy sobie 3GPT, tam jest ten komponent głosowy.
577:  AK - W związku z tym tak, za chwilę będziemy rozmawiali i ta komunikacja będzie dwubiegunowa z maszynami i to będzie najpiękniejszy moment w historii naszej ludzkości, dlatego że
587:  AK - Programiści, czyli ci magicy od kodu, będą nagle musieli zejść ze swoich tronów, bo my wszyscy będziemy programistami.
595:  AK - Już nie będzie problemu ze zrobieniem strony internetowej.
597:  AK - Nie trzeba będzie znać kodu, nie trzeba będzie znać składni tego magicznego i tajemnego języka, tylko usiądziesz, powiesz, zaprojektuj mi stronę, będzie miała żółte tło, tam będzie taki duży czerwony cyferblat, niech on odmierza czas od śmierci, nie wiem, Einsteina.
613:  AK - zrobione.
613:  AK - Kod HTML, proszę bardzo, wklej sobie na stronę i to wisi.
616:  AK - Nie potrzebuję znać kodu HTML, nie potrzebuję znać JavaScriptu, nie potrzebuję znać CSSa, nic.
622:  AK - Ty mówisz, co chcesz osiągnąć za efekt i to się dzieje.
625:  AK - To jest magia.
626:  KMM - Ale to jest piękne, że powiedziałeś o tym, że zmieniają się interfejsy, bo przypominam sobie zupełnie anegdotycznie, jak niecierpliwiłem się widząc, no zwłaszcza jak młodsi studenci komunikowali się z wyszukiwarką.
637:  KMM - Ja przyzwyczajony byłem do tego, że stosowałem kody różnego rodzaju, tam znaki logiczne.
643:  AK - Plusy, tak?
644:  KMM - plusy, cudzysłowy, tak, file type PDF.
647:  KMM - Jaki jest artykuł na ten temat?
649:  KMM - I to było pytanie zadane semantycznie właśnie.
652:  KMM - Dlatego to jest potężne, co mówisz, bo możemy myśleć o integracji z systemami smart home, o integracji w ogóle z tym, w jaki sposób funkcjonujemy dzisiaj w rzeczywistości cyfrowej na takim bardzo właśnie ludzkim poziomie.
666:  KMM - I tutaj prowadzi mnie to do bardzo prostej rzeczy, to znaczy dużo ludzi widzi w tym właśnie
671:  KMM - Kłopot, że chociażby znika taki zawód potencjalnie jak właśnie no powiedzmy grafik 2D, czy grafika użytkowa, czy montażysta filmów, bo Adobe Firefly też umożliwia montowanie bardzo szybkie.
683:  KMM - Ale pytanie brzmi, czy to nie jest tak, że po prostu znikną te najbardziej nazwijmy to rzemieślnicze z zawodów kreatywnych, a będziemy potrzebowali nagle o wiele bardziej wykwalifikowanych pracowników kreatywnych wyższego szczebla?
696:  AK - Właśnie to jest esencja tego pytania.
697:  AK - Jak ktoś się zaczyna zastanawiać nad tym, jak wyglądała ewolucja naszego gatunku i ewolucja też pod kątem technologicznym, no to ja mogę rzucać takie nazwy i jestem ciekaw, czy ty będziesz w stanie odpowiedzieć na takie pytanie, czym zajmował się ten zawód.
713:  AK - Pewnie będzie, że jesteś bardzo wykształconą osobą, ale spróbujmy.
716:  AK - Druciarz.
717:  AK - Czym zajmował się druciarz?
719:  AK - Bingo.
721:  AK - Latarnika pewnie znajdziesz w swojej głowie.
723:  AK - Nie mówię o tym latarniku książkowym, tylko o tym człowieku, który gasił latarnie gazowe.
728:  KMM - Zecera też będę... Zecera też.
730:  AK - Powroźnik pewnie też dojdziesz.
732:  AK - Pewnie z Duna też jeszcze pewnie będziesz mógł definicję jakąś podać.
737:  AK - Ale na przykład wygrzebałem taką osobę, która budziła pracowników w erze industrialnej w Anglii.
745:  AK - strzelając grochem w okna.
746:  AK - To byli ludzie, którzy chodzili ulicami, ponieważ ludzie nie mieli zegarków, nie było ich w ogóle, nie było takiego urządzenia, nie było ich stać.
752:  AK - W związku z tym oni tym grochem budzili codziennie rano pracowników do fabryki.
757:  KMM - Bardzo ważny zawód.
758:  AK - Bardzo ważny zawód, bo bez tego nie byłoby fabryk, nie byłoby ubrań, nie byłoby chociażby produkowanych masowo samochodów Forte.
764:  AK - No i to jest właśnie pytanie, czy
767:  AK - W wczesnych czasach nie było takiego, nie panował taki nastrój właśnie wielkiego przygnębienia, że pojawiły się zegarki masowo produkowane i ci pukacze do tych okien tym grochem zostali po prostu z tego zawodu wyrogowani.
779:  AK - Pewnie tak było.
780:  AK - Tak samo jak mleczarz, który kiedyś rozwoził mleko i stawiał nam bańki pod drzwiami.
784:  AK - I wiele, wiele setek osób, które obecnie po prostu przestały w naszym społeczeństwie funkcjonować, bo albo przejęły ich rolę maszynę, albo właściwie te produkty i usługi, które oni oferowali, znikły.
794:  AK - Nie przestały być nam potrzebne.
796:  AK - Ja rozumiem, siedzimy tu i teraz i pewnie dużo z nas, osób, jak tu siedzimy, zna grafików, ludzi, którzy stracą pracę.
804:  AK - Tylko to zawsze było.
805:  AK - Znaczy na tym polega postęp.
806:  AK - Jeżeli chcemy jechać Uberem,
808:  AK - Jeżeli chcemy mieć dobrą opiekę społeczną i opiekę medyczną, jeżeli chcemy mieć dobrą edukację, to nie ma możliwości, żebyśmy cały czas powtarzali te błędy z XIX wieku.
819:  AK - Musi przyjść ten komponent, pojawić się komponent technologiczny, który powie, dobra, za cenę wyrzucenia
826:  AK - obcięcia, wyrugowania kilkuset tysięcy osób, albo może milionów, my przejdziemy na wyższy poziom.
832:  AK - Ja wiem, że jeżeli będę taką osobą, a być może będę, która zostanie zredukowana, jej rola zostanie zmniejszona, albo właściwie wyrzucona poza nawias społeczeństwa z uwagi na automatyzację i właśnie sztuczą inteligencję, będę z tego powodu płakał.
845:  AK - Natomiast to samo zadziało się w przeszłości wielokrotnie, więc
848:  AK - Patrząc na makroskalę, to się dzieje i działo od zawsze.
853:  AK - Teraz, jak siedzimy, zastanawiamy się, że znikną zawody?
855:  AK - Oczywiście.
856:  AK - Tylko pomyślmy sobie, że to wiąże się z postępem.
859:  AK - Nie ma możliwości, abyśmy mieli platformę streamingową, ale nie mieli internetu, nie korzystali z mediów społecznościowych.
867:  AK - To implikuje wiele innych rzeczy.
870:  AK - Ja oczywiście uważam, że powinniśmy zastanawiać się, próbować w jakiś sposób modelować to, co się będzie działo.
876:  AK - Możemy regulować prawnie sztuczną inteligencję, ale nie możemy zatrzymać tego postępu.
881:  AK - Idea pojawienia się sztucznej inteligencji jest to, że ona będzie zmieniała, a zmiana również polega na tym, że część z nas po prostu straci pracę.
888:  AK - Wiem, bardzo jest to bolesne, mi jest to prosto mówić, bo prawdopodobnie będę jedną z ostatnich osób, oby, będę robił wszystko, żeby to się stało bardzo późno.
897:  AK - ale też być może będę tego ofiarą.
899:  AK - Tylko, jak mówię, będziemy dzięki temu beneficjentami tego, że zmieni się sposób, w jaki jesteśmy na przykład opiekowani pod kątem medycznym.
906:  AK - Bo nie ma możliwości.
908:  AK - Przy okazji, wiesz ile jest geriatrów w Polsce?
910:  KMM - Domyślam się, że o wiele za mało.
913:  AK - Tak, mamy parę milionów osób już, które, delikatnie mówiąc, które są w wieku prawie że postprodukcyjnym, zbliżają się do wieku 60-70 lat.
922:  AK - To jest kilkaset osób.
923:  AK - To jest 400 chyba 30 osób w 2021 na wiele, wiele milionów osób.
928:  AK - W związku z tym, jakim sposobem ja za chwilę, mając 49 lat, wejdę w tą
933:  AK - smugę cienia i będę mógł oczekiwać na co?
936:  AK - Na to, że jak coś mi się popsuje w plecach, to do kogo zadzwonię?
939:  AK - Do człowieka, który ma na głowie kilkadziesiąt tysięcy osób?
942:  AK - Jest jednym lekarzem na kilkanaście tysięcy osób?
944:  AK - Nie.
945:  AK - Ja pewnie zwrócę się do jakiegoś telemedyka, który będzie podłączony na jakiś wielki bazy danych i tak jak obecnie szukamy informacji na poziomie doktora Googla, boli mnie nos, czy to jest rak, czy to może jednak jest zapalenie tutaj, no to tak samo będziemy komunikować, tylko
962:  AK - to w jakiś sposób bardziej poukładane naprawdę ma szansę zmienić sposób, w którym funkcjonujemy.
967:  AK - Tak samo, jeżeli chodzi o edukację.
968:  AK - Nie możemy dalej reprodukować tego pruskiego sposobu uczenia, tak?
973:  AK - Na uczelniach w podstawówkach, tak samo na uczelniach wyższych.
976:  KMM - Ja jestem aż zdumiony nawet, że nie dochodzi teraz w tym momencie do rewolucji, ponieważ sam czat GPT kompromituje nasz sposób
986:  KMM - zadawania zadań domowych, sprawozdawania wszystkiego.
990:  KMM - Zresztą były przypadki pisania sprawozdań uczelnianych.
993:  KMM - To była głośna sprawa, które były wielomilionowe i zostały ocenione pozytywnie, ponieważ sztuczna inteligencja jest w stanie bez żadnego problemu ten urzędniczy bełkot
1005:  KMM - I to jest właśnie to, że wydaje mi się, że zapominamy trochę o tym, że już doprowadziliśmy się, zanim był ten świt AI, do sytuacji, w której zamienialiśmy się trochę w maszyny.
1015:  KMM - Gamedev crunchował za duże światy, światy otwarte, w których nie dało się zaprojektować wszystkiego.
1020:  KMM - CD Projekt Red się na tym przejechał na swoich ambicjach.
1024:  KMM - Inne przypadki, grafik chociażby właśnie, któremu mówiono dobrze za projektur 90 rodzajów logotypu, bo miał takiego szefa akurat, a on był po ASP albo po grafice użytkowej, chciał zrobić przepiękne logo, miał pomysł na to, ale nie, ma zrobić 90 rodzajów.
1039:  KMM - No więc teraz pracodawca może, jeżeli nie ma takich ambicji, kupić sobie program i zapodawać mu w nieskończoność te nieszczęsne logotypy, a może tamten człowiek wtedy będzie miał się okazję rozwijać kreatywnie, nie?
1049:  AK - To jest oczywiście ten pozytywny, ja również patrzę raczej na to z takiego pozytywnego punktu widzenia.
1056:  AK - Rzecz jasna nie jestem zwolennikiem tezy, wszyscy będziemy siedzieli nad brzegiem jakiegoś ciepłego morza i kontemplowali, wiesz, i wymyślali na nowo filozofię.
1064:  KMM - I zasysali UBI, tak?
1066:  AK - To raczej się nie wydarzy.
1067:  AK - To znaczy część z nas pewnie wybierze taki sposób życia, ale uważam, że po prostu większość jednak osób będzie żyła podobnie jak teraz, tylko będziemy mieli więcej czasu i trzeba będzie wymyślać sobie.
1077:  AK - Praca będzie przywilejem.
1079:  AK - Zaczynam tak na to patrzeć.
1081:  AK - To znaczy faktycznie taka realnie mająca wpływ na coś praca będzie przywilejem.
1086:  AK - Być może część z nas będzie pomagała innym osobom.
1089:  AK - Być może będziemy przeprowadzali przez pasy starsze osoby.
1094:  AK - ale taka prawdziwa praca w rozumieniu takiego, wiesz, siedzenia i snucia imperialnych planów, myślę, że będzie przynależna bardzo w wąskiej grupie osób.
1103:  AK - Być może to jest ta fundamentalna zmiana, która nas czeka.
1106:  AK - O tym w ogóle nie mówimy, że my się starzejemy jako ludzkość, a już nie mówimy jako Europa.
1111:  AK - My jesteśmy bardzo starym społeczeństwem.
1113:  AK - W związku z tym
1114:  AK - tak bardzo teraz narzekamy na ten AI, a kto nam poda miskę ryżu na starość?
1119:  AK - To raczej nie będą nasze dzieci, bo właśnie okazuje się, że ten poziom dzietności u nas regularnie spada.
1123:  AK - Więc żeby w ogóle funkcjonować, a być może w ogóle przetrwać jako cywilizacja ludzka, to musimy wdrożyć system pod tytułem niech te roboty za nas wykonują pracę, niech one się nami opiekują, niech nam zamiatają ulice, tworzą produkty i tak dalej.
1138:  AK - Być może to będzie jedyny sposób na przetrwanie naszego gatunku.
1142:  KMM - Poruszyłeś też problem diagnostyki medycznej, fakt faktem, że nawet lekarze mówią, że taki bardzo podstawowy poziom diagnostyki, który im zabiera czas cenny właśnie, który mogą wtedy poświęcić ciężkim przypadkom, może być spokojnie przyjęty przez sztuczną inteligencję i mówią nawet, że o wiele lepiej, żeby faktycznie jakiś model generatywny na bazie zaufanej bazy danych decydował niż właśnie doktor Google, bo to jest zresztą ironiczne, już memiczne, że cokolwiek sprawdzimy w Google, okazuje się, że mamy raka.
1170:  KMM - Tak.
1171:  KMM - No bo tak też są pisane te teksty, a te teksty też pisali ludzie, copywriterzy konkretnie, którym płacono psie pieniądze.
1177:  KMM - To samo jest jeżeli chodzi o kurierów.
1179:  KMM - Kurier dowożący w korkach jedzenie czy jakiekolwiek inne towary nie dostaje najwyższej stawki na rynku.
1187:  KMM - Natomiast dron, który będzie dowoził, to już zmienia postać rzeczy, ale oczywiście sprawia nagle, że kurierów nie ma.
1194:  KMM - Więc cały czas wracamy do tego problemu, że musimy w którymś momencie postawić sobie pytanie, czy rzeczywiście chcemy, żeby prace, które sami nie do końca je cenimy, żeby one rzeczywiście były tylko po to, żeby pracować.
1206:  KMM - Fordyści, do których się tak wszyscy odwołują, mówili, że postęp technologiczny jest po to, żebyśmy pracowali mniej, a odpoczywali więcej.
1213:  AK - No właśnie, to się nie dzieje, jak popatrzymy sobie na krzywe ilości pracy, to się okazuje, że pracujemy właściwie albo tyle samo, albo wręcz trochę nawet więcej.
1222:  AK - Są kraje, tak jak na przykład Grecja i Polska, gdzie my uwielbiamy pracować, to jest tak naprawdę mielić powietrze, żeby po prostu cały czas wykonywać jakieś prace, ale one nie przekładają się na efekt.
1233:  AK - Więc dochodzi ten moment i być może to jest coś, co będzie nam narzucone przez większe organizacje typu Unia Europejska, ale wydaje mi się, że to właśnie jest ten czas, w którym powinniśmy sobie bardzo jasno powiedzieć, słuchajcie, może my źle po prostu ukierunkowaliśmy całe swoje życie, może my nie musimy pracować w rozumieniu, chodzić od ósmej do siedemnastej, tylko możemy mieć...
1253:  AK - jakąś formę, niech to będzie hobby, albo być może nawet jakiegoś zajęcia, które niekoniecznie musi być naszą pracą, ale poświęcajmy mu swój czas w ciągu dnia, a potem miejmy jeszcze czas na rodzinę i na odpoczynek.
1265:  AK - Bo jak popatrzymy sobie, z czego się składa nasze życie, to jest przede wszystkim praca, edukacja i końcówka naszego życia to jest taki niby odpoczynek, a wtedy jesteśmy zmęczeni, schorowani i nie czerpiemy takiej satysfakcji, jakbyśmy mieli 40 czy 30 lat.
1279:  AK - Więc uważam, że
1281:  AK - Być może jest w naszej głowie potrzeba przejścia takiego Rubiconu, że to może nie trzeba czekać do 75. roku życia, żeby nagle wyjechać kamperem i pojechać po całym świecie.
1292:  AK - Nie, być może można zrobić to wcześniej.
1294:  AK - I znowu, być może do tego potrzebujemy podatku nakładanego na tych producentów różnego typu algorytmy i roboty.
1301:  AK - Być może Universal Basic Income, czyli ten dochód gwarantowany podstawowy jest też potrzebny, żebyśmy ten świat jakoś zestawili i żeby on się nie rozpadł, a być może potrzebujemy czegoś jeszcze i tak jak patrzyłem na kolejny produkt, który się pojawił na rynku wyprodukowany ze stajni Apple'a, czyli Apple.
1318:  AK - okulary do zmniejszonej rzeczywistości.
1320:  AK - To jest kolejna rzecz, która bardzo się wpasowuje w tę układankę, bo akurat Apple jest bardzo odsłana.
1327:  AK - Oni nie powiedzieli w ogóle o AI.
1329:  AK - Tam był machine learning, AI nie był wymieniany.
1331:  AK - Natomiast absolutnie to jest coś, co będzie częścią tego nowego świata.
1334:  AK - I znowu, dla większości osób, które mają problem, zarabiają średnią krajową, jakaś zabawka Apple'a za 4 tysiące dolarów, to dla nich jest po prostu kosmos.
1343:  AK - Ale my wiemy, że to jest przyszłość i prawdopodobnie piąta, szósta, siódma literacja będzie na tyle tania, że będzie możliwa do kupienia, wiesz, jak jednorazowe soczewki w budce ruchu i to będzie twoja rzeczywistość.
1354:  AK - Więc wydaje mi się, że fajnie jest patrzeć i mieć takich ludzi, którzy mówią, no dobra,
1360:  AK - to właściwie dokąd jedzie ten pociąg i też mieć ludzi, którzy mówią halo, halo, wiesz co, nie bądźmy tak optymistycznie nastawieni, czy hura optymistycznie, ile takich ludzi należy i sam się tytułuję mianem techrealista.
1371:  AK - Kiedyś byłem techoptymistą, zawadzałem niebezpiecznie o techsolucjonizm, a teraz powiedziałbym szczerze, że jestem osobą, która mówi, wiem jakie są negatywne strony technologii, dlatego mówię, nie wierzmy w to, że technologia puszczy na sam opas, na pewno nie korporacje technologiczne, które tworzą i monetyzują tą technologię, że one będą się same regulowały.
1388:  AK - To jest
1389:  AK - Bullshit.
1390:  AK - Nieprawdopodobny bullshit.
1391:  AK - Przerabialiśmy Binder Dandrat.
1392:  AK - Absolutnie nie.
1394:  AK - Stąd też trzeba patrzeć na to, co się dzieje w Unii Europejskiej versus Ameryka, bo Ameryka lubi klasyczny taki biznes, wiesz, twardy kapitalizm, taki troszkę jeszcze turbo.
1403:  AK - Więc oni patrzą na nas jak na wariatów.
1404:  AK - Jak to wy sobie regulujecie życie, uprzykrzacie, jakieś RODO wprowadzacie?
1407:  AK - Po co wam to jest?
1408:  AK - Nie będzie można sprzedawać danych teleadresowych.
1410:  AK - No właśnie, my mówimy Europejczycy dlatego, że chcemy mieć prywatność.
1413:  AK - Prywatność to jest produkt, to jest feature.
1416:  AK - Dlaczego chcecie to ograniczać?
