Patrz jak ZMASAKROWALI mojego Wiedźmina😞| Rodowód Krwi
🔗 https://www.youtube.com/watch?v=A_bkAVrvoR0
KMM (Krzysztof M. Maj)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

29:  BFP - Kochani, już jesteśmy na żywo, już jesteśmy na żywo, wydzielimy sobie za moment czat.
806:  KMM - Konkluzją tego serialu jest to, że pierwszy Wiedźmin został stworzony przez elfów, Jezus Maria, a z drugiej strony, że ludzie weszli do świata Wiedźmina przez koniunkcję sfer.
815:  KMM - To są jedyne rzeczy, o których się widz dowiaduje i to są dwie rzeczy, które są całkowitą bzdurą w odniesieniu do lore.
821:  BFP - Dominiko, chciałeś uzupełnić a propos serwetki.
823:  DS - Tak Krzysztofie, ty mówisz, że to na pewno jest nieprawda, że ona zapisała ten pomysł na skrawku serwetki, a moim zdaniem to jest bardzo prawdopodobne.
831:  DS - Wiesz dlaczego?
833:  KMM - Dawaj.
833:  DS - Bo Lauren usłyszała, że J.K.
836:  DS - Rowling zapisała swój pomysł na skrawku serwetki.
839:  DS - I ona pomyślała, że to jest przepis na bestseller.
844:  DS - Napisała, zrealizowała i teraz się okazało, że no jednak musi być coś więcej.
849:  BFP - Nie mogę się doczekać, aż Lauren będzie retroaktywnie zmieniała lore całego Wiedźmina na Twitterze, tak jak J.K.
855:  BFP - Rowling.
856:  BFP - No, myślałem, że ktoś z was będzie miał to jedno zdanie, ja sobie przygotowałem takie zdanie, ono ma tylko cztery słowa i gdybym miał tymi czterema słowami opisać ten serial, to byłyby to słowa po chuj ten jaskier.
869:  BFP - Podobnie zresztą jak cała narratorka, które absolutnie nic nie wprowadzają.
873:  BFP - Jakby wzięli już tego jaskra, to niech coś z nim zrobią, ale nie.
877:  BFP - Zaczynamy od jakiejś bitwy, pojawia się mini-driver,
880:  BFP - aktorka, która jest tą narratorką i można było, to jest, to jest jak z Animusem w Assassin's Creedzie.
886:  BFP - Jak ja odpalam Assassin's Creed'a, to ja kurwa nie chcę siadać w Animusie, dajcie mi grać piratem od razu, dajcie mi biegać po, nie wiem, Aleksandrina Boga, a nie każcie mi chodzić Desmondem Milesem w bluzie w kapturze i siadać w biureczku i odpalać guziczkiem Animusa.
901:  BFP - Naprawdę niepotrzebny był ten wstęp i niepotrzebne było zakończenie i niepotrzebny był cały ten serial, tak swoją drogą, ale wiecie co?
908:  JM - Tak jak w epilogach czasami jest to słynne zdanie, a wtedy się obudziła.
913:  JM - Mniej więcej jest ten sam poziom.
915:  BFP - A wtedy się zesrał jaskier.
917:  KMM - Podbijając leitmotiv, który wprowadziła Dominika, Filip, ty nic nie rozumiesz.
922:  KMM - Loren chciała mieć władcę.
923:  KMM - pierścieni, kiedy Galadriela na początku wbija i mówi, że tutaj była wielka bitwa.
928:  KMM - Tutaj też miałeś wielką bitwę.
930:  KMM - To jest fan... Czego?
931:  KMM - Roszczeniowy millennialsie chcesz jeszcze?
933:  KMM - Masz oczekiwania jakieś rozdęte?
936:  BFP - Widziałem tę wielką bitwę do góry nogami, bo tak zaczyna się ten serial.
940:  BFP - Artur, ja chcę oddać tobie głos, bo myślę, że ty fajnie podejmiesz ten wątek, ale ja zacznę totalnie bez schematu, jeżeli chodzi o moje zarzuty.
949:  BFP - I przyznam, ten serial...
951:  BFP - przekroczył pewną granicę, która jest granicą dobrego smaku i której ja nie jestem w stanie dłużej zaakceptować w przypadku misji Netflixa.
959:  BFP - Netflix ma politykę inkluzywności.
962:  BFP - Ja ją bardzo wspieram.
963:  BFP - Pytanie, jak ona jest realizowana?
964:  BFP - Ja to kiedyś nazwałem checklistingiem.
967:  BFP - W tym serialu pojawia się postać o imieniu Fenrik.
972:  BFP - To jest ona.
973:  BFP - Ona jest osobą z niepełnosprawnością.
975:  BFP - Jest osobą głuchą.
977:  BFP - Pojawia się w tym serialu po to, żeby wypowiedzieć dwa zdania, wymigać dwa zdania i zostać zabita przez Ballora.
985:  BFP - Ona została napisana w taki sposób, żeby być narzędziem w rękach innego z bohaterów.
991:  BFP - Ona nie ma osobowości.
993:  BFP - Ona nie ma motywacji.
994:  BFP - Ona nie ma żadnego rysu psychologicznego.
997:  BFP - Jeżeli Netflix chciałby ze szczególną troską odnosić się do grup społecznych, które mają trudniej i reprezentować je godnie, eksponować je, pokazywać nam inność, która jest normalna, to to jest niedźwiedzia przysługa.
1015:  BFP - To jest krzywdzenie tych grup.
1017:  BFP - Mamy wątek homoseksualny
1022:  BFP - Jeden, jeden bodajże.
1024:  BFP - Tak mi się wydaje.
1026:  BFP - Na moment się pojawia.
1027:  BFP - Dwa?
1028:  JM - Albo dwa.
1029:  JM - To są rodzice.
1031:  BFP - To są rodzice, no tak.
1033:  BFP - Jej Gwen.
1034:  BFP - To nie jest rud smoka.
1035:  BFP - W sensie mamy po prostu jedną scenę w sypialni, w której...
1040:  BFP - Kochanek nie ma wpływu na pozycję rodową albo pozycję dworską tej postaci, nie wpływa na jej emocje, motywację zupełnie.
1049:  BFP - I co gorsza, i tak uważam, że ten wątek Fenrik i osoby głuchej to jest niewybaczalny grzech to co się dzieje.
1057:  BFP - Ale również to przemieszanie akcentów i kolorów skóry.
1061:  BFP - Gdzie mamy w jednym plemieniu, czy w jednym klanie elfów, czarnoskórych, białych, azjatów, którzy jedni mówią szkockim akcentem, inni mówią walijskim akcentem, to nie ma żadnego uzasadnienia światotwórczego, kompletnie.
1075:  BFP - Przecież to jest jeszcze chyba przed Koniunkcją Sfer, więc to ma jeszcze gorsze uzasadnienie w przypadku Wiedźmina, którego oglądaliśmy.
1082:  BFP - Oddaję Ci już głos Arturze, ale mnie bardzo niepokoi to, co się wydarzyło w tym miniserialu, bo pokazuje mi, że ten checklisting może naprawdę prowadzić do sytuacji, w której ktoś będzie robił produkcje, które będą miały dofinansowanie Netflixa, czy będą na zlecenie Netflixa, będzie mówił, no jak, no mamy niepełnosprawnego, no porusza się na wózku, powiedział dwa zdania, no i odcięli mu głowę, nie?
1103:  BFP - No nie, no mamy homoseksualnego, no pojawia się tam, chwilę siedzi z tyłu, coś powiedział, pocałował kogoś delikatnie w szyję, w plec, a potem go już nie ma, ale to nie szkodzi.
1111:  BFP - Czyli robienie krzywdy właśnie tym grupom, które chcielibyśmy, żeby były godnie reprezentowane, czyli wszyte w scenariusz jako przekonujące postaci, które mają, to ładnie mówią anglosasi, sense of agency, poczucie wpływu na fabułę, żebyśmy mogli jakkolwiek, jakkolwiek się z nimi utożsamiać, pomimo tego, że mogą być inni od nas.
1133:  BFP - Artur, oddaję Ci głos.
1135:  AK - Znaczy jeszcze gwoli ścisłości to nie wiem, czy zauważyliście, ale jedna z magiczek ta, która pomagała temu biednemu uciekinierowi z tej celi, z tym dwimerytem.
1149:  AK - Błagam, nie każcie mi pamiętać imion, bo...
1152:  AK - śmiałem się już, próbując zapisywać sobie w głowie elfickie nazwy, czyli lokacji, które występowały, chociaż oczywiście one występowały u Sadkowskiego, natomiast miałem wrażenie, że to jest po prostu taka sieka podana i ten biedny widz Netflixa po prostu nic z tego nie rozumie.
1166:  AK - Natomiast wracając do tego, o czym chciałem powiedzieć, tak, była jeszcze jedna osoba, która była niepełnosprawna ruchowo, więc mieliśmy jeszcze dodatkowe wzmocnienie, plus, wybaczcie mi, ale ja to poruszę, dlatego że jak gdyby
1180:  AK - Ja nie wiem, czy osoby niskorosłe w tych rolach naprawdę w XXI wieku powinny brać udział i powinny być obsadzane.
1189:  AK - Dlatego, że mieliśmy piękny przykład na to, jak we Władcy Pierścieni normalni aktorzy o normalnym wzroście byli zmniejszani pomocą CGI czy też sztuczek czysto, nazwijmy to, prostych takich telewizyjnych i nie było z tym żadnego problemu.
1203:  AK - Aktorzy grających krasnoludów byli normalnymi aktorami.
1207:  AK - Dlaczego o tym chcę powiedzieć?
1208:  AK - Bo ja miałem wrażenie lekkiego cringe'u, dlatego że nie pasują mi te osoby.
1213:  AK - Nie dlatego, że uważam, że nie powinno się obsadzać osób niskorosłych w rolach, które właśnie kojarzą się z nimi, czyli gnomów, krasnoludów, ale one są moim zdaniem, to robi się im krzywdy.
1224:  AK - To co powiedziałeś na początku Filipie, ja się z tym zgadzam.
1227:  AK - Mnie to zaczęło razić, to znaczy mamy możliwość robienia fajnych efektów specjalnych,
1232:  AK - A to, co jest robione obecnie, czy w takim serialu właśnie jak Rodowód Krwi, już u mnie wywoływało taki lekki cringe.
1241:  AK - Mieliśmy oczywiście osoby o różnych kolorach.
1244:  AK - To, co powiedziałeś, też rzeczywiście się z tym zgadzam.
1248:  AK - Ja nie jestem fanem krzyczenia o potrzebie aryjskości w świecie Wiedźmina i że to, ponieważ było pisane przez Polaka, to nie ma czarnych driad i tak dalej.
1257:  AK - To oczywiście...
1258:  AK - Można sobie inaczej wyobrażać te światy, bo w końcu są światy fantastyczne i w każdym tym świecie mogą następować dziwne zjawiska.
1264:  AK - Natomiast faktem jest to, że jak patrzę na ten serial i włączam sobie tylko ścieżkę dźwiękową, to ja tam słyszę dokładne zrzynkę z Tolkiena, czy Tolkiena, kto woli.
1277:  AK - Dlatego, że Tolkien przynajmniej da się go obronić, bo to była pisana baśń na potrzeby kraju, który tych baśni miał troszkę albo za mało, albo chciał mieć je inaczej zbudowane.
1291:  AK - Dlatego Tolkien pisał język, inne języki, rozbudowywał je, był w tym mistrzem i tworzył całe tomy.
1298:  AK - A tu jest to zbudowane trochę na zasadzie gry World of Warcraft 1, gdzie jak były krasnoludy, to mieliśmy szkocki akcent.
1305:  AK - Jak mieliśmy złych magów, to oni mówili jakimś takim bardzo wysokim, prawie że wschodnioeuropejskim akcentem.
1313:  AK - Kompletnie tego nie rozumiem.
1316:  AK - To jest pójście na łatwiznę, zarżnięcie wszystkich rzeczy, już pomijam te biedne uszy, elfie, które mnie już raziły, śmieszyły, nie wiedziałem, co z nimi zrobić, patrzyłem na nie, unikałem, ale nie byłem w stanie.
1326:  AK - To jest jak gdyby dokładnie ten poziom plastyczności, czy jak gdyby wizji tego świata.
1330:  AK - Jeżeli masz elfy, to one muszą być takie, jakby widziałeś 30 lat temu, czy 20 lat temu oglądając pierwszego Władcy w Pierścieni, tak?
1337:  AK - Nie wychodzisz poza to.
1338:  AK - Na przykład nikomu nie wyszło do głowy, co już próbowali robić na przykład ludzie, którzy stali za Star Trekiem.
1343:  AK - Że jak masz obcego, to on na przykład ma zupełnie inną twarz, bo ma inne kości policzkowe, bo ma inne, nie wiem, bruzdy nad twoimi brwiami.
1352:  AK - Próbujesz... Nie.
1353:  AK - Elfy tylko są dziwne w tym, że mają odstające uszy.
1356:  AK - Czy dzięki temu elfy są w czymś lepsze?
1358:  BFP - No w filmie tego... Czy nie różnią się od ludzi niczym, tak?
1361:  AK - No nie.
1361:  AK - No w kulturkina przynajmniej jest to, że one słyszą lepiej.
1363:  AK - Mają, nie wiem, lepszy zmysł muzyczny.
1365:  AK - Przez te uszy.
1365:  AK - To jest takie na zasadzie...
1367:  AK - Dlatego, że mają jakiś lepszy zmysł.
1369:  AK - Dlatego moim zdaniem oczywiście ten checklisting, o którym wspomniałeś jest absurdalny i ja rozumiem, że on jest takim właśnie, przepraszam, że to powiem, ale typowo amerykańskim brakiem zrozumienia nie to, że literatury europejskiej, ale po prostu wrażliwości.
1385:  AK - To jest taki, okej, dajmy to, żeby ludzie się od nas odwalili i nikt nie może nas krytykować, dlatego że nam powie, że ten film jest na przykład zbyt odległy od tego, o czym teraz mówimy.
1399:  AK - I ja nie do końca zgadzam się, że w każdym filmie, a szczególnie w fentezy powinniśmy takie tematy wrzucać,
1403:  AK - wrzucajmy je, a róbmy to z umiarem, kulturą i odniesieniem do literatury, czy też do materiału źródłowego.
1409:  AK - Tu dla mnie to było kompletnie od czapy.
1411:  AK - Nie mówię o płci, nie mówię o tym, że nie mogą być Hindusi grający elfów, czy nie mogą być Azjaci, którzy oczywiście muszą być obsadzeni w roli mistrzów karate i szabli.
1421:  AK - To jest znowu jakimś takim prawie że malowaniem twarzy na czarny osobom białym, ale tak to się w tym filmie tutaj pokazuje.
1429:  AK - Więc ja mam kryzys,
1430:  AK - Więc wywoływane tym, że myślałem, że przyrobiliśmy to już przy okazji paru jeszcze innych seriali Netflixowych, a to się powtarza.
1437:  AK - Być może jest to problem taki, że tego typu produkcje nie mają zbyt dużego poważania jednak w tej firmie i one po prostu mają tam budżet na może duży, no nie wiem ile to było w takim razie, obliczmy, że to było 50 milionów dolarów, to nie jest jakiś olbrzymi budżet.
1453:  AK - bombastyczny budżet, w związku z tym może tam nikt na górze się tym nie przejmuje i po prostu jest jakaś ściągawka, jest jakiś PDF, który po prostu nie trzeba zrobić sobie, odczekować i tyle.
1461:  AK - Natomiast jeżeli dalej będą takie produkcje powstawały, to jest dokładnie to, co kiedyś nas bawiło w latach 90., wszystkie kseny wojowniczki, ale to absolutnie nie rozwija tego gatunku i jest olbrzymim kamieniem takim, który wisi i będzie ciągnął tego typu produkcje w dół.
1478:  BFP - Ja już oddaję tobie głos, Jaga, ale jeszcze chciałem przeczytać trzy komentarze.
1482:  BFP - Jeden pięknie się wpisuje w to, co powiedziałeś przed chwilą, Artur.
1485:  BFP - Milosz K88 no i co?
1487:  BFP - Gdyby nie uszy, to nie widać, że to elfy.
1489:  BFP - Tak!
1490:  BFP - To znaczy, na Boga już pomijając fakt, że tam wrzucili cholernego Awallaha, który nic nie mówi i wrzucili cholernego Eredina z tym swoim wąkiem homoseksualnym, to czy wy oglądając te postaci naprawdę myślicie, o tak, oni będą mieli 1200 lat, albo na przykład 2000 lat?
1504:  BFP - Nic!
1504:  BFP - No!
