DARK SOULS 2 to...? 🤔
🔗 https://www.youtube.com/watch?v=ygoqdolsYao
KMM (Krzysztof M. Maj)
RN (Rafał Nawrocki, Demonidias)
MD (Mateusz Drozd, Kiszak)
AS (Adam Szymański, Balmora House)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Czym jest do prawdy Dark Souls 2?
199:  KMM - To było straszne, ale trwało to jakieś godzinę, godzinę czterdzieści, coś w tym stylu.
204:  KMM - Ja uważam, że Dark Souls 2 optymalnie jest przejść magiem, to znaczy dlatego, że człowiek się wtedy tak strasznie denerwuje i będę do tego nawiązywał jeszcze wiele razy.
213:  KMM - I powiem tak, że z perspektywy człowieka, któremu się Elden Ring raczej podobał, choć z pewnymi zastrzeżeniami powiedziałbym, że raczej podobałyby mi się te nie-souls-like'owe elementy Elden Ringa.
223:  KMM - Po tym, jak zagrałem w Dark Souls 1, zrozumiałem, dlaczego ludzie uwielbiający Dark Souls 1 mogą mieć problem z Elden Ringiem.
228:  KMM - Natomiast myślę, że Dark Souls 2 jest dobrym przygotowaniem
231:  KMM - Zwłaszcza jeżeli ktoś chce zagrać sobie jako mag w Eldenku, to może sobie zagrać w Dark Souls 2 jako mag.
236:  KMM - Tam są dwie zalety potężne.
238:  KMM - Pierwsza zaleta jest taka, że jest to praktycznie nielimitowane zaklęcia, umówmy się.
242:  KMM - Jest ich strasznie dużo.
244:  KMM - I po drugie, można sobie wyczyścić lokacje do zera, jeżeli nas denerwuje.
247:  KMM - Ja wyczyściłem dwa razy takie lokacje do zera, to znaczy Heidi's Keep oraz wyczyściłem Iron Keep.
253:  KMM - Nie, Heidi's Tower.
254:  KMM - Więc stwierdziłem, że nie jestem w stanie absolutnie tego wytrzymać i wyczyściłem dosłownie 14 razy każdą z tych lokacji, bawiąc się przy tym,
261:  KMM - Fenomenalnie!
262:  KMM - Ale to trzeba mieć specyficzny mindset.
264:  KMM - I to jest ta moja zaleta Dark Souls 2, którą... Aha, jeszcze druga jest zaleta, to znaczy lokacja główna nazywa się Majula i odmawiam ją nazwać Majula.
273:  KMM - Dwie zalety.
274:  BFP - Nazywam cię Chocinek.
275:  BFP - A ktoś zapytał, dlaczego dzisiaj nie ma z nami Rysława, to chciałem tylko powiedzieć, że Rysław również dostał zaproszenie, ale Rysław powiedział,
282:  BFP - Nie wiem, ja się nie znam na Dark Souls 2, a ciekawe dlaczego, więc dzisiaj nie ma z nami Rysława, będziemy dźwigali to na własnych barkach.
290:  BFP - Powiedziałeś Krzysztof taką rzecz, żeby się nie denerwować, a jak ja słuchałem ciekawej polemiki Kiszaka z moim esejem ostatnim,
301:  BFP - To Kiszak ma taką filozofię i ona w sumie jest dobra dla wszystkich, którzy lubią soulsy.
305:  BFP - Trzeba mieć troszeczkę, albo być troszeczkę na spektrum, żeby to w pełni poczuć, ale ona brzmi, ty masz się denerwować, bo na tym polega życie.
313:  BFP - Życie to jest bullshit, który ty musisz po prostu wchłonąć w siebie, stać się jednością z bullshitem i płynąć z gównem.
320:  BFP - I wtedy jesteś w stanie docenić Dark Souls 2.
323:  KMM - Ale wydaje mi się, że to jest też ten problem, że ludzie uważają, że emocje, które się wyrażą w takiej sytuacji, złość, frustracja, zdenerwowanie, to są złe emocje.
331:  KMM - Jak się denerwujesz, to oceniasz źle grę.
333:  KMM - Ja się z tym bez przerwy spotykam na scenach, a tymczasem ja czerpię niesamowitą satysfakcję z tego, jeżeli coś takiego się dzieje.
339:  KMM - Mnie tylko denerwuje sytuacja, i o której będę mówił zresztą w odniesieniu do Film Nighta, kiedy ja robię wszystko, co jestem w stanie, a jednak gra stwierdza, a nie, nie, nie, będzie ruchańsko.
348:  KMM - I tego nie lubię.
349:  KMM - To jest ten jeden, jedyny moment, kiedy jest to niekonsensualne z mojej strony.
354:  KMM - Chciałbym to słyszeć częściej w życiu.
355:  MD - No tak jest, no słuchajcie, no gry to sztuka, no nie?
357:  MD - Sztuka ma budzić w tobie emocje, czy one są pozytywne, czy negatywne, jak ty je intersubiektywnie zinterpretujesz.
368:  BFP - To już twoje gestie.
371:  BFP - Ale no Mateusz, skoro jesteś przy głosie, to a propos płynięcia z bullshitem, bo myślę, że będzie nawet okazja właśnie przy tych pozytywach Dark Souls odnieść się, albo nawet wytłuścić to, co ty mówiłeś w swojej polemice.
385:  BFP - Ale zacząłem specjalnie od tej jednej rzeczy.
388:  BFP - Jest tam taki moment, kiedy ja narzekałem na autolog, bo działa inaczej niż w Soulsach 1 i 3.
394:  BFP - I ty kluczową rzecz powiedziałeś, która ja nie miałem jak z tym dyskutować.
398:  BFP - Powiedziałeś, no bo ma działać inaczej.
400:  BFP - Kropka.
401:  MD - Znaczy, wiesz co, mi się nie wydaje, że on ma działać inaczej, on po prostu działa inaczej i ja miałem tak samo jak ty bardzo długo, ja się tego dowiedziałem w ogóle chyba w poprzednim roku, no nie?
410:  MD - Bo ty grałeś tak samo jak ja Great Swordem i ten Great Sword ma bardzo długi ten pierwszy atak, taki overhead zamachujący się, prawda?
417:  MD - I logika Starych Soulsów jest taka, że jak masz zaznaczony jakiś target, to nieważne w jaki sposób ty się poruszasz analogiem, to twój atak zawsze zostanie wyprowadzony w stronę zlokowanego targetu.
430:  MD - A w DS-ie 2, pomimo posiadania zlokowanego targetu, nadal masz możliwość wykonywania korekcji tego ataku.
436:  MD - Jeżeli ty będziesz trzymał analog w lewo, to ty zaatakujesz w lewo.
439:  MD - I czy to jest lepsze, że tak działa?
442:  MD - Ja bym powiedział, że nie.
443:  MD - Ale czy możemy się z tym kłócić, że to jest błąd DS-ów 2?
446:  MD - No nie, to jest po prostu inaczej działająca mechanika ataku.
450:  BFP - No ale to jakbyś miał powiedzieć o kilku albo kilkunastu pozytywach Dark Souls 2, które przychodzą Ci na myśl.
457:  BFP - Może nie musisz zacząć od tego, że lubisz gangbangi, chociaż oczywiście możesz.
462:  BFP - Co jest takiego w Dark Souls 2, co Cię podciąga w tej grze, poza jeszcze może oczywistym wyobrażeniem nieracjonalnego i bezgranicznego bólu?
472:  MD - I pierwsza rzecz to jest taka, że lubię mówić, że lubię Dark Souls 2 i uważam i wolę w niej grać niż Feldenringa i to strasznie ludzi triggeruje, a ja lubię być kontrastowy, więc to mnie strasznie jara wewnętrznie.
485:  MD - Ale tak na serio to pierwszą rzeczą jest to, że Dark Souls 2 mają najbardziej...
491:  MD - I to jest ta kwestia, którą ty poruszyłeś, interlokacyjność.
494:  MD - DSy 1 są najbardziej interlokacyjne, bo w DSach 2 nie masz takiego momentu, że ty brniesz dwie godziny w jakąś lokację i ty się znowu pojawiasz w Majuli.
502:  MD - Ale z uwagi na to, że one mają najwięcej rozgałęzień, to jest gra, którą jesteś w stanie poprowadzić w
507:  MD - najbardziej inny sposób za każdym razem, gdy będziesz do niej siadał, ponieważ ona nie ma jednej drogi, którą jest warte iść.
514:  MD - Ona nie ma drogi, która będzie dla ciebie lepsza, szybsza.
517:  MD - Wiadomo, no w kwestii jakiegoś speedrunowania zawsze będziemy w stanie to optymalizować i stwierdzić matematycznie, która droga jest teoretycznie szybsza, ale albo która sprawia, że twoja postać szybciej stanie się silniejsza, prawda?
528:  MD - Ale to jest gra, którą jako jedyną z serii From Software za każdym razem możesz tak naprawdę poprowadzić inaczej.
534:  MD - Już od samego początku, bo w Dark Souls'ie 2 ma to miejsce dopiero w drugiej połowie gry.
537:  MD - W Dark Souls'ie 1 to ma dopiero miejsce w drugiej połowie gry.
540:  MD - Więc początek Dark Souls'ów 1 za każdym razem jest inny.
544:  MD - Z uwagi na to, że to jest gra, gdzie często robisz inne buildy, to często zaczniesz w jakimś innym miejscu.
550:  MD - W Death'ie 1 ja nie widzę na przykład innej możliwości rozpoczęcia tej gry niż pójście do Dark Ruta i ściągnięcie Black Knight Halberda, prawda?
557:  MD - Albo po prostu dojście do Andro i odblokowanie pierwszego skrótu pod gargulcami na samym początku gry, no bo po prostu...
563:  MD - Wszystko inne w tej grze nie ma sensu, zawsze zaczynasz tą samą drogą, w Destiny 2 tego nie masz, ale to co Dark Souls 2 tak naprawdę robi najlepiej, to mi się wydaje, że Dark Souls 2 było największym blueprintem dla Elden Ringa, bo Dark Souls 2 miał najwięcej, ja bym powiedział, że to były takie
579:  MD - Dziecinno-kreatywne nawet elementy, bo w Dark Souls 2 dostaliśmy pierwszy raz mechanikę Power Stance'u, a mechanika Power Stance'u to jest coś, co znalazło się dopiero w następnej odsłonie w Elden Ringu i ludzie w Elden Ringu to dopiero pokochali.
593:  MD - Więc to była gra, która była, mi się wydaje, swego rodzaju benchmarkiem odnośnie tego, co można byłoby spróbować, co by wypaliło i co by nie wypaliło.
602:  BFP - I miał też paradoksalnie pomimo tych takich ciasnych lokacji, to miało też takie wrażenie faktycznie pewnej otwartości świata za sprawą tej majorii tych odgałęzień, które można było rozchodzić, tych lokacji, do których zresztą nawet można było wracać.
617:  BFP - Przynajmniej ja takie trochę wrażenie odnosiłem, jak sobie to zestawiałem w głowie z Elden Ringiem, bo rzeczywiście to chyba nawet sam Miyazaki powiedział albo ktoś z From Software, że Elden Ring był poniekąd wzorowany na Dark Souls 2.
630:  BFP - Rafale,
631:  BFP - Twoje pozytywne spojrzenie na Solsy II.
636:  RN - To tutaj mimo wszystko dodałbym jeszcze do tego, co powiedzieli moi przedmówcy, zróżnicowanie tych lokacji pod kątem tego, że one bardzo mocno się od siebie różnią, tutaj abstrahuję całkowicie od tej spójności tego świata, od tego, czy te lokacje czasami mają jakiekolwiek logiczne uzasadnienie w ich umiejscowieniu w świecie.
658:  RN - Skrajny przykład to jest oczywiście taki koronny w zasadzie, czyli Ion Keep, który nie ma totalnie sensu, jeżeli tam lecimy ze strasznicy żniw.
667:  RN - No bo wjeżdżamy windą tak naprawdę do góry i nagle się okazuje, że nad nami są jakieś niesamowite jeziora lawy po prostu i wielkie góry.
678:  RN - No i są takie różne dziwne rzeczy, natomiast te lokacje w Dark Souls 2 są w miarę krótkie.
683:  RN - To też trochę śmiesznie brzmi, że mówiąc o zaletach gry, mówię to, że tam lokacje są krótkie, ale chodzi mi o to, że w Dark Souls 2, jeżeli traficie do lokacji, która jest mega zła, mega słabo zrobiona, to akurat jesteście dzięki temu w stanie z niej szybko wyjść.
699:  RN - Oczywiście też mam takie wrażenie, że Dark Souls 2 było fajnym takim polem eksperymentalnym.
705:  RN - dla dalszych tytułów.
706:  RN - Tutaj już zostało powiedziane o Power Stance, co jest jak najbardziej faktem, co jest mega zaletą Dark Souls 2.
715:  RN - Tak samo chociażby odblokowanie opcji teleportacji do dowolnego ogniska już od samego początku.
721:  RN - To wpływa bardzo dobrze na jakość w ogóle rozgrywki.
725:  RN - Nie musicie bezsensownie biegać z ogniska do ogniska.
727:  RN - Oczywiście na tym cierpi trochę ten
730:  RN - to połączenie tych lokacji, te skróty.
733:  RN - Natomiast to jest na pewno pozytyw, tak samo jak to, że w ogóle podczas teleportacji, w przeciwieństwie do tego, co było we wcześniejszym Dark Soulsie 1 i w późniejszym Bloodborne'ie, co może być dość dziwne, widzicie w ogóle zrzut ekranu z danej lokacji.
749:  RN - Nie musicie znać i pamiętać każdej lokacji, co przy pierwszym przejściu gry
753:  RN - Może być w miarę przyjemne.
755:  RN - I też, jeżeli chodzi o Dark Souls 2, no to nie sposób tutaj nie wspomnieć o mnogości buildów, gdzie to jest gra, w której możecie tak naprawdę stworzyć najwięcej zróżnicowanych buildów, możecie korzystać faktycznie
771:  RN - z bardzo zróżnicowanego też ekwipunku, nawet jeżeli lecicie powiedzmy pod siłę po raz kolejny, to możecie zawsze czymś zagrać innym.
779:  RN - I co akurat nie jest moim konikiem, no to Dark Souls 2 miało, ma nadal bardzo aktywny tryb multiplayer, jeżeli chodzi o PvP, gdzie
790:  RN - No po prostu w LD nie, no to PvP zostało mocno ubite ze względu na to, że tam zostaliście dorzuceni do gospodarza, do hosta, który ma już jakichś tam sojuszników u siebie w grze, więc ciężko mówić o inwazjach jeden na jeden.
802:  RN - I to też bardzo dużo osób zawsze podkreśla, że ta walka z innymi Gleczami w Dark Souls 2 jest po prostu najciekawiej,
811:  RN - zrobiona, tak?
811:  RN - No bo macie mnogość buildów i tam nie ma jedynego słusznego buildu na PvP i tam zawsze można czymś zaskoczyć.
818:  RN - Także to bym na pewno jeszcze wskazał.
821:  RN - No o minusach na pewno łatwiej będziemy mówić.
825:  BFP - Adamie, przekazuję mikrofon tobie, Rafał niestety popierduje mikrofon, jakkolwiek to nie brzmi.
831:  BFP - Będziemy kombinowali jeszcze zakulisowo, może uda nam się coś wykombinować, możesz pokombinować ewentualnie z innymi ustawieniami, będziemy sprawdzali na żywo, ale jeżeli nie, no to dotoczymy się na tym flaku do końca.
845:  BFP - Adamie, pozytywnie.
847:  AS - Jasne, nie będę tutaj szczególnie odkrywczy, bo wiele z rzeczy, które sam gdzieś miałem w głowie już tutaj padły, ale w każdym razie Majula, tudzież Majula, tudzież Mahula, jakkolwiek się to wymawia, do tej pory nie stworzono lepszego huba w grach From Software i myślę, że w grach w ogóle i to będzie dalej niedościgniony wzór.
871:  AS - Ten przepiękny widok na ocean, ta absolutnie cudowna, melancholijna muzyka.
880:  AS - Szmaragdowa Harold, też jedna z lepszych powierniczek naszego losu w tej grze.
886:  AS - Postacie...
887:  AS - Mniej lub bardziej ciekawe, ok, można było je napisać lepiej, ale samo to miejsce jest po prostu magiczne i chce się do niego wracać.
896:  AS - Co widzę jakieś dyskusje w internecie, na Discordzie, gdziekolwiek, to zawsze Majula number one i tak pewnie jeszcze długo pozostanie, może kiedyś się to zmieni.
906:  AS - Po drugie właśnie różnorodność.
909:  AS - Różnorodność przede wszystkim lokacji.
911:  AS - Tam, gdzie takie Dark Souls 1 było głównie takie zielono-szare i oczywiście ok, była to jakaś spójna wizja, wizja artystyczna, tak w dwójce pozwolono sobie, żeby trochę pojechać po bandzie, mamy tam
925:  AS - bardzo różne lokacje, ferie barw, po prostu wszystkie kolory tęczy i to również bardzo mi się podobało i spoko.
935:  AS - W Dark Souls 2 uznaję to, że warto było poświęcić jakąś taką interlokacyjność, czy nawet sens niektórych lokacji, ale pozwolono się nieco wyszaleć właśnie projektantom, twórcom tych poziomów, artystom.
949:  AS - To mi się bardzo podobało.
951:  AS - No i właśnie taka
953:  AS - Przede wszystkim taka rzecz Quality of Life dostępna od samego początku, czyli po prostu teleportacja między ogniskami.
961:  AS - I taka ostatnia rzecz, nie wiem, nie potrafię tego wytłumaczyć, ale jakoś tak Dark Souls 2 najzwyczajniej w świecie, może poza dodatkami, jakoś tak mnie relaksuje.
974:  MD - Mogę dodać coś od siebie?
975:  MD - Proszę, proszę.
976:  MD - Słuchajcie, jest jeszcze jedna taka rzecz.
978:  MD - Ja to uwielbiam w grach komputerowych i to nie zawsze jest odpowiednio naznaczone,
983:  MD - Ja wam podam jeszcze grę, która w ogóle robi to absurdalnie źle.
986:  MD - Ja generalnie lubię jak gry bardzo dobrze naznaczają twoje poczucie progresji poprzez odhaczanie konkretnych rozdziałów.
993:  MD - Nie dając ci informacji, słuchaj, jesteś w 20% gry, ale posiadają odpowiednie kwantyfikatory, których możesz użyć do odczytywania informacji.
1001:  MD - I w DS1 masz coś takiego w postaci tych czterech dusz, prawda?
1006:  MD - W DS2 masz dokładnie to samo.
1008:  MD - W Death 3 ciężej o tym mówić, w Elden Ring są niby remembrancen, ale czysto teoretycznie potrzebujesz tylko dwóch.
1014:  MD - I to jest gra, która cały czas naznacza ci to poczucie, że słuchaj, ty skończyłeś kolejny duży rozdział gry, ty się chylisz ku końcowi i budujesz w sobie tą świadomość, narasta ten suspens, okej, gdzie już będzie ten last boss.
1030:  MD - i ty nagle wchodzisz do tego zamku i okazuje się, że jeszcze jest kawałek gry przed tobą i ja uważam, że to jest bardzo dobrze poprowadzona reżyseria gry, ale na przykład ja ostatnio się zderzyłem z takim produktem, który się nazywał Dragon's Dogma 2 i tam na przykład było coś takiego, słuchajcie, że ja grałem sobie w grę, gram w nią 20 godzin, wszystko jest okej i mówię, dobra, słuchajcie, ja będę kończył streama, mam nadzieję, że już na kolejnych dwóch streamach uda się to zakończyć, no i najprawdopodobniej zostały jeszcze trochę gry, a jedna osoba mi na czacie napisała,
1059:  MD - Ty, ale wiesz, że ty właśnie odpaliłeś ostatniego quest'a, ty za pół godziny skończysz grę.
1063:  MD - A ja mówię, nie no co ty, to jest niemożliwe, nie?
1065:  MD - Przecież tu nie było zbudowania żadnej akcji, no nie?
1068:  MD - To prawda.
1069:  MD - Tu nie wydarzyło się nic, co mogłoby wskazywać na to, że ja zaraz zakończę grę.
1073:  MD - Ja faktycznie zakończyłem grę w pół godziny.
1075:  MD - I to się stało tak jakby znikąd.
1077:  MD - I to, co w Dark Soulsie 2 się dzieje, to w tej grze budujesz cały czas to napięcie i ty świadomie dochodzisz do tego wierzchołka.
1085:  MD - I to jest świetnie napisane.
1087:  KMM - Marcin... Ja muszę opisać jedną rzecz, to znaczy w ogóle to, że w jednym zdaniu może się pojawić Dragon's Dogma, Fucking Dogma 2 i Dark Souls 2, to jest wyłącznie kwestia licencji poetyki porównania, natomiast
1100:  KMM - To, co jest na miniaturze naszego dzisiejszego spotkania, tak, gówno, to jest odpowiednia ocena Dragon's Dogma 2.
1107:  KMM - Będę umierał na tym wzgórzu.
1110:  KMM - I myślę, że właśnie takie gry jak Dark Souls 2 mogą uświadomić nam, że nawet tytuł, który był oceniany kiedyś tam źle, w perspektywie tego, co dzisiaj deweloperzy potrafią oddać graczom, to jest absolutne arcydzieło.
1124:  KMM - Lśniący Graal, który musi stać chwycony.
1126:  KMM - Ja mam ostatnio bardzo ciekawą sytuację na streamach, że grałem
1130:  KMM - niezłą grę, znaczy Horizon Forbidden West, ale w którymś momencie stwierdziłem, nie, ja nie jestem w stanie, przepraszam was, muszę wrócić do God of War'a, bo różnica między dialogami, między walkami była tak gigantyczna, że to się nawet w głowie nie mieściło.
1145:  KMM - I zobaczcie, to jest 2018 rok,
1147:  KMM - jak bardzo upadliśmy od tego czasu.
1149:  KMM - I to jest strasznie smutne.
1151:  KMM - Ostatnio też czytałem artykuł gdzieś w jakimś portalu popularnonaukowym gamingowym, że jak się rozmawia z graczami, to najczęściej wychodzi, że gramy w gry sprzed sześciu lat.
1161:  KMM - Głównie streamerzy grają w najnowsze tytuły, bo muszą albo chcą.
1164:  KMM - Natomiast przeważnie ludzie grają w te starsze tytuły.
1166:  KMM - Ja się kompletnie nie dziwię i myślę też, że
1169:  KMM - Gdybym nie miał alternatyw, to ja bym w którymś momencie tak czy siak dotarł do Dark Souls i do Dark Souls 2 i Dark Souls 3, mimo że mnie namówili na to ludzie na streamach i im za to bardzo dziękuję.
1178:  KMM - Ale jak mam uczciwie powiedzieć rzeczywiście, jak na tle współczesnych produkcji się prezentują te tytuły, to nie mógłbym zrugać Dark Souls 2 za nic praktycznie i to jest smutne.
1188:  BFP - Znaczy to muszę z tobą odrobinę polemizować, bo powiedziałaś, że jak bardzo upadliśmy, porównując God of War do Horizon, to są naprawdę dwie zupełnie różne gry.
1196:  BFP - Znaczy Horizon jest open worldem.
1197:  KMM - Oczywiście, że to są różne gry, ale pod tym względem różne, że w jednej dialogi masz takie, które rzeczywiście coś wnoszą do świata, a w drugiej dialogi polegają na tym, o, plemię Tipuktu, potrzebuję łuku, zdobądź łuk dla plemienia Tipuktu, o, zdobyłem łuk dla plemienia Tipuktu, to dobrze, bo Aravela, potrzebuję teraz noża dla plemienia Tipuktu, zdobędziesz nóż dla plemienia... Ileż...
1217:  KMM - A można!
1218:  KMM - Tak, a tutaj masz dialogi, które sprawiają, że masz ciary na plecach i akurat seria Soulsów też dobrze pokazuje, że można jednym dialogiem, jednym, jednym zdaniem zbudować klimat.
1228:  KMM - Ja bym chciał też takie dialogi mieć w grach.
1231:  BFP - Też chciałbym mieć takie dialogi w grach, God of War is one of my favorite games.
1233:  MD - Ale patrzcie teraz na to, bo to jest coś, co ja w sumie zarzuciłem Filipowi, jak oglądałem jego materiał, że on nie posiada punktu odniesienia przy innych Souls-like'ach.
1241:  MD - I weź mi powiedz Filip, czy ty grałeś w inne Souls-like'i, nie stworzone przez From Software?
1248:  BFP - Grałem.
1248:  BFP - Grałem w pierwsze Lords of the Fallen.
1250:  BFP - Grałem trochę w to nowe Lords of the Fallen.
1254:  BFP - Pozdrawiam cię tutaj.
1255:  BFP - Grałem w Lies of Pi.
1258:  AS - Proszę dokończyć Lies of Pi.
1259:  AS - Ja chcę o tym porozmawiać.
1261:  BFP - Zamierzam dokończyć Lies of Pi.
1263:  BFP - Grałem chyba w pierwszego Nioha, który też jest chyba traktowany jako Souls-like.
1271:  BFP - I to chyba tyle.
1272:  BFP - Czyli ja błęd nie założyłem, okej, to jest to, co mnie bardzo ciekawiło właśnie.
1276:  BFP - Nie, nie, nie, miałem doświadczenia z Soulsami, więcej nawet właśnie to pierwsze Lords of the Fallen, które nie było świetną grą, bo strasznie uciężałą grą i chyba Nioh, to były, na Nioh, Nioh, nigdy nie mam pewności jak to się, Nioh, Nioh, Nioh.
1294:  BFP - Nioh, Nioh, ja wolę Nioh.
1297:  BFP - To chyba były gry, po które sięgnąłem jeszcze przed takim na poważnie wejściem w Soulsy, co mi zajęło dekadę, także trochę tego liznąłem i żadna z tych gier nie dawała mi tyle satysfakcji, ile From Software'owe, naprawdę żadna z nich, ale żadna też nie była dla mnie tak trudna, to znaczy odbijałem się od nich nie dlatego, że były za trudne, tylko nie dawały mi wystarczająco motywacji, żeby przejść naprzód.
1321:  BFP - Może teraz, kiedy już doświadczyłem Soul Soul, teraz pod Dark Souls 2 wszystko może mi smakować.
1326:  BFP - Ale pojawiła się jedna ważna rzecz, to jest kwestia New Game Plus.
1331:  BFP - które podobno, jeszcze dwie myśli mam, bo jedną usłyszałem u Kishaka, która mnie bardzo przekonała, ale chciałbym ją skonfrontować z Rafałem, bo jeżeli ktoś z naszej czwórki, piątki przepraszam, może mieć wiedzę w tym temacie, to właśnie może być Rafał.
1347:  BFP - I to jest to, że Dark Souls 2 jest bardzo preferowany przez speedrunnerów, bo jest tak konsekwentną grą.
1354:  BFP - że wielu speedrunnerów udaje im się zrobić od początku do końca np.
1357:  BFP - no-hit, bo wiedzą dokładnie czego spodziewać się po tej grze, co mnie się wydaje całkowicie kontrintuicyjne, ale ty, Mateusz, o tym wspomniałeś w swoim materiale, prawda?
1365:  BFP - Że jest bardzo preferowany.
1366:  MD - Tak, jak rozmawiałem z no-hitterami, to bardzo często ludzie wspominają o tym, że Dark Souls 2 jest najbardziej konsekwentny, ma najmniej elementów randomowych, które mogą wpłynąć na zepsucie twojego runa.
1376:  MD - Niesamowite to jest dla mnie.
1378:  BFP - Chciałbym, żeby się rozwinął to i chciałbym, żeby Rafał to rozwinął, bo dla mnie się to w głowie nie mieści.
1383:  MD - Znaczy ja wiem z czego to się bierze.
1386:  MD - To się bierze z tego, że generalnie run w Dark Souls 2 to jest bow run tak naprawdę jeśli chodzi o nohity i tam bardzo dużo rzeczy cheesujesz i bardzo dużo rzeczy robisz z odległości, ale to też jest ważne zaznaczenie, że w zrobieniu nohita nie możesz sobie pozwolić na glitche.
1403:  MD - Więc to nie jest taka sytuacja, że ty czizujesz rzeczy w taki sposób, że psujesz grę lub wykorzystujesz jej błędy.
1410:  MD - Ty wykorzystujesz jej, powiedzmy, może bardziej niedociągnięcia albo sposób, w jaki jesteś w stanie tak jakby nadrobić swoje umiejętności tym łukiem.
1418:  MD - I to się bierze dokładnie z tego, bo Dark Souls 2 są po prostu najbardziej schematyczne.
1424:  MD - Bo w przeliczeniu na przykład takie Dark Souls 3, które będą tutaj bardzo dobrym odniesieniem, no to brak konsekwencji robienia no hitów w Dark Souls 3 bierze się z tego, że posiada największą gamę ataków.
1437:  MD - I to sprawia, że to wymaga największych umiejętności od osoby prowadzącej run, więc dlatego Dark Souls 3 są...
1444:  MD - Czysto teoretycznie najtrudniejsze, ale nie wiem, czy mógłbym powiedzieć, że są najmniej konsekwentne, no bo jednostkę miary, jaką ja bym tutaj przyjął w mówieniu o konsekwencji runowania czegoś, to byłoby zminimalizowanie elementów, które mogą negatywnie wpłynąć na twój run, które nie są zależne od ciebie.
